"","Fecha","AGUAYTIA.Lote.31.C","CNPC.PERU.Lote.X","MONTERRICO.Lote.II","OLYMPIC.Lote.XIII","PETROPERÚ.Lote.I.T.","PLUSPETROL.Lote.56","PLUSPETROL.Lote.88","REPSOL.Lote.57","SAPET.Lote.VII_VI","SAVIA.Lote.Z.2B"
"130",2022-05-05,0,417673,58594,415076,84487,10779450,15876104,6650367,112106,319014
"131",2022-05-06,0,417702,68384,393148,77949,10125982,18524556,6691420,133514,312495
"132",2022-05-07,0,416711,70601,479871,80658,9794043,20376834,6576301,130371,315681
"133",2022-05-08,0,421553,57232,447485,78912,9792204,20682068,6612547,126123,318961
"134",2022-05-09,468759,422884,68086,410600,84685,10771265,19959926,6523071,120375,311848
"135",2022-05-10,126663,418325,69134,474329,82196,10802505,22503058,6484370,124962,317384
"136",2022-05-11,2973,419344,65311,475888,81165,10767721,22346834,6468779,120148,315977
"137",2022-05-12,576194,417504,70543,477706,83086,10761929,22496316,6496207,120573,311435
"138",2022-05-13,96459,421779,74670,367926,81837,10825862,22777673,6426924,111965,315152
"139",2022-05-14,0,419826,74985,453865,80196,10733058,22263305,6500347,122952,317664
"140",2022-05-15,0,418919,79121,401092,78265,10737711,21321250,6479446,122584,318480
"141",2022-05-16,0,418891,74144,481129,77880,10741787,22814436,6476263,122923,317181
"142",2022-05-17,0,406262,72584,495374,70045,10675822,23863549,6599221,126236,292113
"143",2022-05-18,0,415408,70718,478180,72168,9345267,23740074,6628345,125274,317199
"144",2022-05-19,0,418240,77494,478150,84204,10716216,21579714,6622845,125189,316869
"145",2022-05-20,0,421185,76212,523175,82031,10647069,21043801,6596916,114768,312504
"146",2022-05-21,0,417985,79980,513814,81271,10680977,20517832,6573778,126718,318361
"147",2022-05-22,0,419259,68900,488772,80365,10654715,21079688,6563292,124877,319736
"148",2022-05-23,3416,418948,71855,492490,80840,10660567,21982331,6515383,122074,300468
"149",2022-05-24,290,416201,79663,556210,81177,9588238,24500663,6510932,118591,300579
"150",2022-05-25,0,413907,66150,525606,79967,8680451,26290770,6508893,122131,316575
"151",2022-05-26,61276,409575,73449,540299,78812,10117683,24631289,6457656,119695,315285
"152",2022-05-27,685002,404619,76772,540504,79117,11485400,23479839,6524954,115419,318771
"153",2022-05-28,195603,408442,70498,539513,77924,12341374,20190760,6464630,114881,320362
"154",2022-05-29,3421,403487,60138,512951,76984,12364011,20042649,6456881,118223,342197
"155",2022-05-30,661556,402212,53898,518785,77491,10014189,21068555,5792653,117968,341913
"156",2022-05-31,706641,406460,57525,537969,77879,12314252,24831771,6447961,123093,343591
