"Fechas","NumeroSismos","Profundidad_Promedio","Magnitud_Promedio","PROMEDIO MENSUAL(MPCD)","PROMEDIO ANUAL (MPCD)"
"Ene-01",30,53.62,4.74,16289,35826
"Feb-01",37,42.94,4.77,16311,35826
"Mar-01",31,60.78,4.82,21167,35826
"Abr-01",32,65.64,4.74,17024,35826
"May-01",31,88.67,4.77,21227,35826
"Jun-01",269,74,4.74,36502,35826
"Jul-01",174,81.95,4.8,60603,35826
"Ago-01",51,73.75,4.7,68205,35826
"Sep-01",50,72.37,4.69,64893,35826
"Oct-01",42,54.67,4.76,52328,35826
"Nov-01",42,80.55,4.75,31235,35826
"Dic-01",40,61.98,4.9,22447,35826
"Ene-02",47,54.13,4.68,29011,42736
"Feb-02",34,60.22,4.85,23450,42736
"Mar-02",31,32.71,4.72,29350,42736
"Abr-02",30,73.37,4.72,24853,42736
"May-02",28,65.38,4.81,47765,42736
"Jun-02",22,68.39,4.72,59912,42736
"Jul-02",23,73.75,4.7,58598,42736
"Ago-02",23,58.17,4.73,73168,42736
"Sep-02",18,85.75,4.75,72822,42736
"Oct-02",27,63.9,4.85,53345,42736
"Nov-02",32,53.83,4.81,18229,42736
"Dic-02",26,66.12,4.71,20618,42736
"Ene-03",25,41.39,4.77,22892,50638
"Feb-03",22,68.17,4.63,32372,50638
"Mar-03",31,125.21,4.68,36159,50638
"Abr-03",23,72.56,4.69,28228,50638
"May-03",33,57.59,4.73,50698,50638
"Jun-03",41,84.31,4.7,66421,50638
"Jul-03",27,72.37,4.69,61584,50638
"Ago-03",34,85.75,4.75,49318,50638
"Sep-03",42,50.22,4.71,59641,50638
"Oct-03",44,85.64,4.84,77985,50638
"Nov-03",29,74.55,4.81,76979,50638
"Dic-03",41,82.76,4.69,44541,50638
"Ene-04",39,54.2,4.78,44228,82939
"Feb-04",19,51.33,5.17,34088,82939
"Mar-04",31,84.35,4.66,43250,82939
"Abr-04",33,65.38,4.81,62430,82939
"May-04",28,105.79,4.66,84792,82939
"Jun-04",18,94.97,4.79,97445,82939
"Jul-04",37,54.67,4.76,91913,82939
"Ago-04",29,63.9,4.85,92266,82939
"Sep-04",21,85.64,4.84,122503,82939
"Oct-04",30,97.87,4.74,125710,82939
"Nov-04",27,50.89,4.64,114271,82939
"Dic-04",30,55.77,4.8,81314,82939
"Ene-05",35,48.45,4.77,100193,146157
"Feb-05",32,59.7,4.75,88223,146157
"Mar-05",43,78.08,4.62,96672,146157
"Abr-05",43,75.87,4.69,101881,146157
"May-05",39,85.38,4.64,151398,146157
"Jun-05",29,67,4.72,175457,146157
"Jul-05",38,80.55,4.75,185274,146157
"Ago-05",53,53.83,4.81,178691,146157
"Sep-05",41,74.55,4.81,188216,146157
"Oct-05",71,50.89,4.64,134065,146157
"Nov-05",115,76.49,4.75,184670,146157
"Dic-05",147,61.67,4.66,165648,146157
"Ene-06",24,41.39,4.8,129027,171756
"Feb-06",23,32.71,4.72,133808,171756
"Mar-06",19,72.56,4.69,86717,171756
"Abr-06",17,68.39,4.72,86127,171756
"May-06",24,94.97,4.79,144686,171756
"Jun-06",30,85.75,4.75,217767,171756
"Jul-06",21,61.98,4.9,220443,171756
"Ago-06",27,66.12,4.71,227225,171756
"Sep-06",27,82.76,4.69,226438,171756
"Oct-06",30,55.77,4.8,210841,171756
"Nov-06",25,61.67,4.66,190942,171756
"Dic-06",19,95,4.66,184490,171756
"Ene-07",25,60.67,4.63,183816.8,258864
"Feb-07",36,61.15,4.71,192638.2,258864
"Mar-70",25,62.99,4.78,212871.2,258864
"Abr-70",34,69.47,4.72,200503.7,258864
"May-07",25,58.51,4.7,219167.4,258864
"Jun-07",29,36.17,4.93,277739.1,258864
"Jul-07",25,56.87,4.74,295526.9,258864
"Ago-07",226,62,4.68,308342.8,258864
"Sep-07",47,77.52,4.85,300888.5,258864
"Oct-07",43,59.35,4.75,305664.7,258864
"Nov-07",42,66.2,4.86,309639.5,258864
"Dic-07",30,52.3,4.84,294884.5,258864
"Ene-08",31,42.94,4.77,228311.2,327748
"Feb-08",25,65.64,4.74,270696.7,327748
"Mar-08",26,74,4.74,285538,327748
"Abr-08",21,73.75,4.7,279470,327748
"May-08",26,54.67,4.76,338841,327748
"Jun-08",21,61.98,4.9,369132,327748
"Jul-08",23,56.64,4.8,372350,327748
"Ago-08",21,64.15,4.65,369530,327748
"Sep-08",21,69.79,4.79,373364,327748
"Oct-08",28,50.67,4.77,353736,327748
"Nov-08",16,53.7,4.74,353443,327748
"Dic-08",27,95.04,4.77,336961,327748
"Ene-09",16,51.35,4.75,297241,336112
"Feb-09",22,84.35,4.66,279031,336112
"Mar-09",21,57.59,4.73,308531,336112
"Abr-09",24,94.97,4.79,288987,336112
"May-09",28,90.19,4.67,328121,336112
"Jun-09",24,85.64,4.84,362334,336112
"Jul-09",24,66.69,4.69,367233,336112
"Ago-09",34,55.77,4.8,376608,336112
"Sep-09",24,74.53,4.75,375797,336112
"Oct-09",22,50.86,4.9,365712,336112
"Nov-09",23,69.52,4.77,351094,336112
"Dic-09",15,78.67,4.73,328222,336112
"Ene-10",28,60.22,4.85,358628,700299
"Feb-10",24,73.37,4.72,382375,700299
"Mar-10",28,68.39,4.72,382220,700299
"Abr-10",42,58.17,4.73,358235,700299
"May-10",37,63.9,4.85,438203,700299
"Jun-10",32,66.12,4.71,700877,700299
"Jul-10",35,64.15,4.65,795998,700299
"Ago-10",49,54.75,4.74,991489,700299
"Sep-10",63,95,4.66,900604,700299
"Oct-10",50,70.38,4.69,984318,700299
"Nov-10",66,82.47,4.77,1077438,700299
"Dic-10",68,92.49,4.69,1010052,700299
