,,Edad en años cumplidos ( ejemplo: 19 ) ,Género (elegir solo una opción) ,¿A qué generación pertenece ? (importante: elegir solo una opción) ,¿Cantidad de redes sociales que utiliza actualmente? ( Ejemplo: 4),¿Desde hace cuánto tiempo (en años) utiliza redes sociales?  (Inserte un número entero o decimal),¿Cuántos seguidores tiene en sus redes sociales aproximadamente o la red social que utiliza más seguido?  (Inserte un número) ,¿En qué momento del día utiliza más seguido redes Sociales? (elegir solo una opción) ,¿Cuántos caracteres en promedio tienen sus contraseñas de redes sociales? (Inserte un número) Ejemplo: 5,¿Qué caracteres contiene generalmente sus contraseñas de redes sociales? (puede seleccionar más de una opción),¿Considera que la contraseñas de su cuenta de red social es segura? (siendo 1: No segura y 5: Muy segura),¿Prefiere utilizar una  misma contraseña para ingresar a todas sus redes sociales? (elija solo una opción),"Hace algunos días Facebook publicó en su blog oficial una infografía en la que se estima que a diario 600.00 cuentas de Facebook han estado en peligro de ser hackeadas . ¿Sabiendo esa noticia y sobre los peligros del hackeo en redes sociales, cada cuánto tiempo(en días) cambiarías tu contraseña? ",¿Su cuenta ha sido hackeada anteriormente? (elija solo una opción),¿Cada cuántas veces al día usted revisa las notificaciones que le llegan a su celular? (inserte un número) Ejemplo: 10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,6.5,110,En la tarde,11,minúsculas,3,Si,150,No,15
,,25,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),11,6,100,En la noche,13,"símbolos(ejemplo: *;#;%,etc.)",4,No,4,No,100
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,180,En la noche,8,minúsculas,4,Si,30,No,5
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,2000,En la tarde,5,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,10,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,10,300,En la tarde,8,"minúsculas, números",2,Si,30,No,10
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,6,25,En la noche,8,"minúsculas, números",3,No,30,No,1
,,16,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,12,311,En la noche,15,"minúsculas, números",3,Si,20,No,8
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,120,En la noche,5,"símbolos(ejemplo: *;#;%,etc.)",5,No,60,No,6
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,9,290,En la tarde,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,30,No,12
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,15,150,En la noche,16,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,180,No,12
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),11,7,180,En la tarde,21,"mayúsculas, minúsculas, números",4,No,30,No,15
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),12,10,586,En la mañana,8,"minúsculas, números",5,Si,365,No,40
,,30,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,5,1000,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",5,Si,6,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,11,73,En la tarde,17,"minúsculas, números",4,Si,0,No,20
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,10,650,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,10,242,En la mañana,8,"minúsculas, números",4,Si,365,No,6
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,11,200,En la noche,20,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,365,Si,10
,,16,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,3,493,En la tarde,12,minúsculas,5,Si,6,No,4
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,10,188,En la noche,15,"mayúsculas, minúsculas, números",3,Si,6,Si,100
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,14,200,En la noche,8,"mayúsculas, minúsculas, números",4,Si,3,No,7
,,21,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,6,300,En la tarde,8,minúsculas,4,Si,0,No,2
,,17,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),11,6.5,100,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,No,15,No,20
,,17,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,4,25,En la tarde,7,"mayúsculas, minúsculas, números",5,No,365,Si,5
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,9,183,En la tarde,8,"minúsculas, números",4,Si,120,No,14
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,8,1100,En la noche,10,"símbolos(ejemplo: *;#;%,etc.)",3,Si,360,Si,3
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,10,118,En la noche,12,"mayúsculas, minúsculas, números",3,No,180,No,15
,,17,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,9,262,En la noche,8,"minúsculas, números",3,Si,2,No,3
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,230,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,365,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,8,2700,En la tarde,18,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,30,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),10,7,401,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,Si,6
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,10,140,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,200,No,10
,,53,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),7,5,275,En la noche,4,"mayúsculas, minúsculas",2,Si,2,No,2
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,10,120,En la tarde,9,"mayúsculas, minúsculas, números",4,Si,100,No,20
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,5,300,En la mañana,11,"mayúsculas, minúsculas",3,Si,30,No,10
,,53,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),1,5,1,En la noche,7,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",4,Si,60,No,10
,,28,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),5,13,251,En la noche,12,"mayúsculas, minúsculas, números",4,Si,60,No,20
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,150,En la noche,11,minúsculas,3,Si,365,No,20
,,34,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),3,19,800,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,1,No,10
,,56,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,15,50,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,60,No,2
,,52,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,6,100,En la noche,8,"símbolos(ejemplo: *;#;%,etc.), números",3,Si,2,No,5
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,180,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,150,Si,9
,,51,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),6,14,300,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,15,No,8
,,47,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,8,300,En la noche,7,"mayúsculas, minúsculas, números",3,No,180,No,7
,,52,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,5,600,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,90,No,6
,,57,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,10,180,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",3,No,100,No,3
,,37,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),5,22,1200,En la noche,6,"mayúsculas, minúsculas, números",5,No,1,No,2
,,46,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),12,15,1000,En la mañana,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,150,No,20
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,130,En la noche,5,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,3,No,5
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,500,En la noche,10,minúsculas,5,Si,360,No,10
,,22,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,10,250,En la noche,8,"mayúsculas, minúsculas, números",3,Si,2000,No,10
,,27,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,6,200,En la noche,7,mayúsculas,4,No,6,No,5
,,44,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),2,8,200,En la noche,8,"mayúsculas, minúsculas, números",3,Si,365,No,15
,,53,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,10,100,En la noche,8,"símbolos(ejemplo: *;#;%,etc.)",3,No,200,No,5
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,8,400,En la noche,8,"mayúsculas, minúsculas, números",4,No,3,No,9
,,26,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,500,En la mañana,10,mayúsculas,5,No,1,No,20
,,42,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,4.5,1400,En la noche,14,"mayúsculas, minúsculas, números",5,No,5,Si,5
,,46,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,14,500,En la mañana,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,60,No,20
,,35,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),6,9,300,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,6,No,10
,,42,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,13,2400,En la tarde,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,180,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,3,100,En la noche,8,"mayúsculas, minúsculas, números",4,Si,30,No,2
,,46,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,15,45,En la noche,6,"mayúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,28,No,2
,,41,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),9,15,500,En la noche,8,"minúsculas, números",3,No,30,No,5
,,16,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,14,90,En la tarde,9,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,2,No,3
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,13,200,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,Si,69
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,9,240,En la noche,10,"minúsculas, números",3,Si,365,No,6
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,9,620,En la noche,8,"mayúsculas, minúsculas, números",4,No,1,No,8
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,6,500,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,10,No,3
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,80,En la noche,21,"mayúsculas, minúsculas, números",4,Si,7,No,12
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,6,110,En la tarde,10,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,60,No,20
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,6,100,En la noche,14,"mayúsculas, minúsculas, números",4,Si,30,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,13,140,En la tarde,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,10
,,51,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,11,973,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,30,No,6
,,46,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),4,15,1000,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,90,Si,5
,,48,Masculino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,18,200,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,180,Si,10
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,10,65156,En la tarde,11,"minúsculas, números",4,Si,2,No,5
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),10,10,700,En la tarde,9,"mayúsculas, minúsculas, números",1,Si,0,No,100
,,42,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,10,800,En la noche,9,"símbolos(ejemplo: *;#;%,etc.)",3,No,30,No,10
,,39,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),10,14,1296,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,360,No,0
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,7,345,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",4,Si,15,No,9
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,359,En la noche,10,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,8
,,24,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),1,10,1,En la noche,5,"mayúsculas, minúsculas, números",3,Si,0,No,0
,,75,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,2,25,En la mañana,12,"mayúsculas, minúsculas, números",5,Si,120,No,1
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,135,En la noche,10,"minúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,30,Si,5
,,33,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),2,8,200,En la tarde,7,minúsculas,3,Si,1,No,20
,,27,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,300,En la tarde,10,"símbolos(ejemplo: *;#;%,etc.)",4,No,30,No,3
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,8,1,En la noche,10,"minúsculas, números",4,Si,30,Si,10
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,5,8,En la noche,7,"mayúsculas, minúsculas, números",4,Si,5,Si,6
,,33,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),8,14,3000,En la tarde,7,"símbolos(ejemplo: *;#;%,etc.)",4,No,90,Si,4
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,8,400,En la noche,8,"mayúsculas, minúsculas, números",4,Si,30,No,1
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,6,1500,En la noche,6,"símbolos(ejemplo: *;#;%,etc.), números",4,Si,15,No,7
,,17,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,4,5632,En la noche,8,números,3,No,30,No,3
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,12,1000,En la noche,10,"minúsculas, números",5,Si,0,No,15
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),15,3,183,En la tarde,12,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,38
,,36,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),5,5,120,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,90,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,2,178,En la noche,4,minúsculas,4,No,5,No,5
,,40,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),7,6,1000,En la noche,5,"símbolos(ejemplo: *;#;%,etc.)",4,No,150,Si,1
,,53,Masculino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),50,99,9566,En la noche,2,"símbolos(ejemplo: *;#;%,etc.)",5,Si,979478494,Si,59
,,46,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),3,12,50,En la tarde,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,No,3,Si,3
