dpt_cdc,prov_cdc,dist_cdc,altitud
ANCASH,HUARAZ,TARICA,2799
ANCASH,AIJA,AIJA,3427
ANCASH,AIJA,CORIS,2763
ANCASH,AIJA,HUACLLAN,3019
ANCASH,AIJA,LA MERCED,3326
ANCASH,AIJA,SUCCHA,3147
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,3457
ANCASH,ANTONIO RAYMONDI,ACZO,2657
ANCASH,ANTONIO RAYMONDI,CHACCHO,3323
ANCASH,ANTONIO RAYMONDI,CHINGAS,2911
ANCASH,ANTONIO RAYMONDI,MIRGAS,3105
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,3500
ANCASH,ASUNCION,CHACAS,3336
ANCASH,ASUNCION,ACOCHACA,2980
ANCASH,BOLOGNESI,CHIQUIAN,3401
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,2204
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,2114
ANCASH,BOLOGNESI,AQUIA,3382
ANCASH,BOLOGNESI,CAJACAY,2562
ANCASH,BOLOGNESI,CANIS,2502
ANCASH,BOLOGNESI,COLQUIOC,744
ANCASH,BOLOGNESI,HUALLANCA,3641
ANCASH,BOLOGNESI,HUASTA,3365
ANCASH,BOLOGNESI,HUAYLLACAYAN,3259
ANCASH,BOLOGNESI,LA PRIMAVERA,2624
ANCASH,BOLOGNESI,MANGAS,3449
ANCASH,BOLOGNESI,PACLLON,3244
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,3395
ANCASH,BOLOGNESI,TICLLOS,3650
ANCASH,CARHUAZ,CARHUAZ,2632
ANCASH,CARHUAZ,ACOPAMPA,2691
ANCASH,CARHUAZ,AMASHCA,2878
ANCASH,CARHUAZ,ANTA,2777
ANCASH,CARHUAZ,ATAQUERO,2739
ANCASH,CARHUAZ,MARCARA,2757
ANCASH,CARHUAZ,PARIAHUANCA,2785
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,2940
ANCASH,CARHUAZ,SHILLA,3014
ANCASH,CARHUAZ,TINCO,2581
ANCASH,CARHUAZ,YUNGAR,2836
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,3079
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,2758
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,3164
ANCASH,CASMA,CASMA,45
ANCASH,CASMA,BUENA VISTA ALTA,216
ANCASH,CASMA,COMANDANTE NOEL,4
ANCASH,CASMA,YAUTAN,806
ANCASH,CORONGO,CORONGO,3173
ANCASH,CORONGO,ACO,3106
ANCASH,CORONGO,BAMBAS,3002
ANCASH,CORONGO,CUSCA,3241
ANCASH,CORONGO,LA PAMPA,1784
ANCASH,CORONGO,YANAC,2885
ANCASH,CORONGO,YUPAN,2728
ANCASH,HUARI,HUARI,3110
ANCASH,HUARI,ANRA,3203
ANCASH,HUARI,CAJAY,3175
ANCASH,HUARI,CHAVIN DE HUANTAR,3141
ANCASH,HUARI,HUACACHI,3432
ANCASH,HUARI,HUACCHIS,3465
ANCASH,HUARI,HUACHIS,3243
ANCASH,HUARI,HUANTAR,3353
ANCASH,HUARI,MASIN,2552
ANCASH,HUARI,PAUCAS,3424
ANCASH,HUARI,PONTO,3115
ANCASH,HUARI,RAHUAPAMPA,2510
ANCASH,HUARI,RAPAYAN,3239
ANCASH,HUARI,SAN MARCOS,2956
ANCASH,HUARI,SAN PEDRO DE CHANA,3385
ANCASH,HUARI,UCO,3348
ANCASH,HUARMEY,HUARMEY,12
ANCASH,HUARMEY,COCHAPETI,3494
ANCASH,HUARMEY,CULEBRAS,21
ANCASH,HUARMEY,HUAYAN,2693
ANCASH,HUARMEY,MALVAS,3126
ANCASH,HUAYLAS,CARAZ,2278
ANCASH,HUAYLAS,HUALLANCA,1358
ANCASH,HUAYLAS,HUATA,2723
ANCASH,HUAYLAS,HUAYLAS,2691
ANCASH,HUAYLAS,MATO,2234
ANCASH,HUAYLAS,PAMPAROMAS,2742
ANCASH,HUAYLAS,PUEBLO LIBRE,2488
ANCASH,HUAYLAS,SANTA CRUZ,2868
ANCASH,HUAYLAS,SANTO TORIBIO,2919
ANCASH,HUAYLAS,YURACMARCA,1483
ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,3371
ANCASH,MARISCAL LUZURIAGA,CASCA,3139
ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,2922
ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,2905
ANCASH,MARISCAL LUZURIAGA,LLAMA,2829
ANCASH,MARISCAL LUZURIAGA,LLUMPA,3160
ANCASH,MARISCAL LUZURIAGA,LUCMA,3053
ANCASH,MARISCAL LUZURIAGA,MUSGA,3028
ANCASH,OCROS,OCROS,3311
ANCASH,OCROS,ACAS,3702
ANCASH,OCROS,CAJAMARQUILLA,3536
ANCASH,OCROS,CARHUAPAMPA,2276
ANCASH,OCROS,COCHAS,1365
ANCASH,OCROS,CONGAS,3137
ANCASH,OCROS,LLIPA,3029
ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,3621
ANCASH,OCROS,SAN PEDRO,2270
ANCASH,OCROS,SANTIAGO DE CHILCAS,3654
ANCASH,PALLASCA,CABANA,3231
ANCASH,PALLASCA,BOLOGNESI,2876
ANCASH,PALLASCA,CONCHUCOS,3251
ANCASH,PALLASCA,HUACASCHUQUE,3105
ANCASH,PALLASCA,HUANDOVAL,2957
ANCASH,PALLASCA,LACABAMBA,3277
ANCASH,PALLASCA,LLAPO,3308
ANCASH,PALLASCA,PALLASCA,3043
ANCASH,PALLASCA,PAMPAS,3142
ANCASH,PALLASCA,SANTA ROSA,2324
ANCASH,PALLASCA,TAUCA,3341
ANCASH,POMABAMBA,POMABAMBA,3057
ANCASH,POMABAMBA,HUAYLLAN,2855
ANCASH,POMABAMBA,PAROBAMBA,3251
ANCASH,POMABAMBA,QUINUABAMBA,3062
ANCASH,RECUAY,RECUAY,3398
ANCASH,RECUAY,CATAC,3557
ANCASH,RECUAY,COTAPARACO,3023
ANCASH,RECUAY,HUAYLLAPAMPA,2907
ANCASH,RECUAY,LLACLLIN,2993
ANCASH,RECUAY,MARCA,2644
ANCASH,RECUAY,PAMPAS CHICO,3520
ANCASH,RECUAY,PARARIN,3388
ANCASH,RECUAY,TAPACOCHA,3617
ANCASH,RECUAY,TICAPAMPA,3465
ANCASH,SANTA,CHIMBOTE,13
ANCASH,SANTA,CACERES DEL PERU,1166
ANCASH,SANTA,COISHCO,39
ANCASH,SANTA,MACATE,2717
ANCASH,SANTA,MORO,480
ANCASH,SANTA,NEPEÑA,141
ANCASH,SANTA,SAMANCO,128
ANCASH,SANTA,SANTA,21
ANCASH,SANTA,NUEVO CHIMBOTE,22
ANCASH,SIHUAS,SIHUAS,2784
ANCASH,SIHUAS,ACOBAMBA,3129
ANCASH,SIHUAS,ALFONSO UGARTE,3227
ANCASH,SIHUAS,CASHAPAMPA,3577
ANCASH,SIHUAS,CHINGALPO,3187
ANCASH,SIHUAS,HUAYLLABAMBA,3377
ANCASH,SIHUAS,QUICHES,2998
ANCASH,SIHUAS,RAGASH,3528
ANCASH,SIHUAS,SAN JUAN,2729
ANCASH,SIHUAS,SICSIBAMBA,3115
ANCASH,YUNGAY,YUNGAY,2463
ANCASH,YUNGAY,CASCAPARA,2801
ANCASH,YUNGAY,MANCOS,2482
ANCASH,YUNGAY,MATACOTO,2528
ANCASH,YUNGAY,QUILLO,1238
ANCASH,YUNGAY,RANRAHIRCA,2470
ANCASH,YUNGAY,SHUPLUY,2555
ANCASH,YUNGAY,YANAMA,3358
APURIMAC,ABANCAY,ABANCAY,2392
APURIMAC,ABANCAY,CHACOCHE,3468
APURIMAC,ABANCAY,CIRCA,3192
APURIMAC,ABANCAY,CURAHUASI,2684
APURIMAC,ABANCAY,HUANIPACA,3196
APURIMAC,ABANCAY,LAMBRAMA,3271
APURIMAC,ABANCAY,PICHIRHUA,2738
APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,2902
APURIMAC,ABANCAY,TAMBURCO,2619
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2901
APURIMAC,ANDAHUAYLAS,ANDARAPA,2907
APURIMAC,ANDAHUAYLAS,CHIARA,3278
APURIMAC,ANDAHUAYLAS,HUANCARAMA,2980
APURIMAC,ANDAHUAYLAS,HUANCARAY,2905
APURIMAC,ANDAHUAYLAS,HUAYANA,3170
APURIMAC,ANDAHUAYLAS,KISHUARA,3643
APURIMAC,ANDAHUAYLAS,PACOBAMBA,2722
APURIMAC,ANDAHUAYLAS,PACUCHA,3147
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,3393
APURIMAC,ANDAHUAYLAS,POMACOCHA,3670
APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,3225
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,2956
APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,3647
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,3272
APURIMAC,ANDAHUAYLAS,TALAVERA,2830
APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,3307
APURIMAC,ANDAHUAYLAS,TURPO,3297
APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,3184
APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,N.D.
APURIMAC,ANTABAMBA,ANTABAMBA,3640
APURIMAC,ANTABAMBA,EL ORO,3272
APURIMAC,ANTABAMBA,HUAQUIRCA,3575
APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,3296
APURIMAC,ANTABAMBA,OROPESA,3388
APURIMAC,ANTABAMBA,PACHACONAS,3449
APURIMAC,ANTABAMBA,SABAINO,3457
APURIMAC,AYMARAES,CHALHUANCA,2911
APURIMAC,AYMARAES,CAPAYA,3292
APURIMAC,AYMARAES,CARAYBAMBA,3338
APURIMAC,AYMARAES,CHAPIMARCA,3399
APURIMAC,AYMARAES,COLCABAMBA,3152
APURIMAC,AYMARAES,COTARUSE,3257
APURIMAC,AYMARAES,HUAYLLO,3115
APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,3146
APURIMAC,AYMARAES,LUCRE,2820
APURIMAC,AYMARAES,POCOHUANCA,3376
APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,2859
APURIMAC,AYMARAES,SAÑAYCA,3398
APURIMAC,AYMARAES,SORAYA,2881
APURIMAC,AYMARAES,TAPAIRIHUA,2712
APURIMAC,AYMARAES,TINTAY,2796
APURIMAC,AYMARAES,TORAYA,3159
APURIMAC,AYMARAES,YANACA,3315
APURIMAC,COTABAMBAS,TAMBOBAMBA,3292
APURIMAC,COTABAMBAS,COTABAMBAS,3487
APURIMAC,COTABAMBAS,COYLLURQUI,3127
APURIMAC,COTABAMBAS,HAQUIRA,3712
APURIMAC,COTABAMBAS,MARA,3766
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,3698
APURIMAC,CHINCHEROS,CHINCHEROS,2795
APURIMAC,CHINCHEROS,ANCO-HUALLO,3209
APURIMAC,CHINCHEROS,COCHARCAS,3032
APURIMAC,CHINCHEROS,HUACCANA,3078
APURIMAC,CHINCHEROS,OCOBAMBA,3036
APURIMAC,CHINCHEROS,ONGOY,2825
APURIMAC,CHINCHEROS,URANMARCA,3090
APURIMAC,CHINCHEROS,RANRACANCHA,3413
APURIMAC,GRAU,CHUQUIBAMBILLA,3376
APURIMAC,GRAU,CURPAHUASI,3500
APURIMAC,GRAU,GAMARRA,3400
APURIMAC,GRAU,HUAYLLATI,3469
APURIMAC,GRAU,MAMARA,3588
APURIMAC,GRAU,MICAELA BASTIDAS,3510
APURIMAC,GRAU,PATAYPAMPA,3777
APURIMAC,GRAU,PROGRESO,3863
APURIMAC,GRAU,SAN ANTONIO,3452
APURIMAC,GRAU,SANTA ROSA,3572
APURIMAC,GRAU,TURPAY,3531
APURIMAC,GRAU,VILCABAMBA,2784
APURIMAC,GRAU,VIRUNDO,3865
APURIMAC,GRAU,CURASCO,3537
AREQUIPA,AREQUIPA,AREQUIPA,2337
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,2460
AREQUIPA,AREQUIPA,CAYMA,2368
AREQUIPA,AREQUIPA,CERRO COLORADO,2419
AREQUIPA,AREQUIPA,CHARACATO,2459
AREQUIPA,AREQUIPA,CHIGUATA,2946
AREQUIPA,AREQUIPA,JACOBO HUNTER,2250
AREQUIPA,AREQUIPA,LA JOYA,1617
AREQUIPA,AREQUIPA,MARIANO MELGAR,2409
AREQUIPA,AREQUIPA,MIRAFLORES,2415
AREQUIPA,AREQUIPA,MOLLEBAYA,2505
AREQUIPA,AREQUIPA,PAUCARPATA,2410
AREQUIPA,AREQUIPA,POCSI,3045
AREQUIPA,AREQUIPA,POLOBAYA,3075
AREQUIPA,AREQUIPA,QUEQUEÑA,2536
AREQUIPA,AREQUIPA,SABANDIA,2399
AREQUIPA,AREQUIPA,SACHACA,2236
AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,1262
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,4248
AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,1344
AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,1277
AREQUIPA,AREQUIPA,SOCABAYA,2287
AREQUIPA,AREQUIPA,TIABAYA,2173
AREQUIPA,AREQUIPA,UCHUMAYO,1973
AREQUIPA,AREQUIPA,VITOR,1244
AREQUIPA,AREQUIPA,YANAHUARA,2343
AREQUIPA,AREQUIPA,YARABAMBA,2474
AREQUIPA,AREQUIPA,YURA,2529
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,2363
AREQUIPA,CAMANA,CAMANA,15
AREQUIPA,CAMANA,JOSE MARIA QUIMPER,25
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,348
AREQUIPA,CAMANA,MARISCAL CACERES,16
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,72
AREQUIPA,CAMANA,OCOÑA,12
AREQUIPA,CAMANA,QUILCA,81
AREQUIPA,CAMANA,SAMUEL PASTOR,22
AREQUIPA,CARAVELI,CARAVELI,1776
AREQUIPA,CARAVELI,ACARI,162
AREQUIPA,CARAVELI,ATICO,137
AREQUIPA,CARAVELI,ATIQUIPA,345
AREQUIPA,CARAVELI,BELLA UNION,217
AREQUIPA,CARAVELI,CAHUACHO,3396
AREQUIPA,CARAVELI,CHALA,12
AREQUIPA,CARAVELI,CHAPARRA,596
AREQUIPA,CARAVELI,HUANUHUANU,941
AREQUIPA,CARAVELI,JAQUI,272
AREQUIPA,CARAVELI,LOMAS,8
AREQUIPA,CARAVELI,QUICACHA,1815
AREQUIPA,CARAVELI,YAUCA,34
AREQUIPA,CASTILLA,APLAO,631
AREQUIPA,CASTILLA,ANDAGUA,3574
AREQUIPA,CASTILLA,AYO,1982
AREQUIPA,CASTILLA,CHACHAS,3059
AREQUIPA,CASTILLA,CHILCAYMARCA,3892
AREQUIPA,CASTILLA,CHOCO,2500
AREQUIPA,CASTILLA,HUANCARQUI,599
AREQUIPA,CASTILLA,MACHAGUAY,3143
AREQUIPA,CASTILLA,ORCOPAMPA,3796
AREQUIPA,CASTILLA,PAMPACOLCA,2916
AREQUIPA,CASTILLA,TIPAN,2086
AREQUIPA,CASTILLA,UÑON,2730
AREQUIPA,CASTILLA,URACA,433
AREQUIPA,CASTILLA,VIRACO,3220
AREQUIPA,CAYLLOMA,CHIVAY,3632
AREQUIPA,CAYLLOMA,ACHOMA,3487
AREQUIPA,CAYLLOMA,CABANACONDE,3296
AREQUIPA,CAYLLOMA,CALLALLI,3862
AREQUIPA,CAYLLOMA,CAYLLOMA,4332
AREQUIPA,CAYLLOMA,COPORAQUE,3583
AREQUIPA,CAYLLOMA,HUAMBO,3308
AREQUIPA,CAYLLOMA,HUANCA,3078
AREQUIPA,CAYLLOMA,ICHUPAMPA,3397
AREQUIPA,CAYLLOMA,LARI,3358
AREQUIPA,CAYLLOMA,LLUTA,2999
AREQUIPA,CAYLLOMA,MACA,3279
AREQUIPA,CAYLLOMA,MADRIGAL,3271
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,4457
AREQUIPA,CAYLLOMA,SIBAYO,3855
AREQUIPA,CAYLLOMA,TAPAY,2984
AREQUIPA,CAYLLOMA,TISCO,4211
AREQUIPA,CAYLLOMA,TUTI,3837
AREQUIPA,CAYLLOMA,YANQUE,3420
AREQUIPA,CAYLLOMA,MAJES,1410
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,2935
AREQUIPA,CONDESUYOS,ANDARAY,3028
AREQUIPA,CONDESUYOS,CAYARANI,3924
AREQUIPA,CONDESUYOS,CHICHAS,2146
AREQUIPA,CONDESUYOS,IRAY,2396
AREQUIPA,CONDESUYOS,RIO GRANDE,470
AREQUIPA,CONDESUYOS,SALAMANCA,3207
AREQUIPA,CONDESUYOS,YANAQUIHUA,3008
AREQUIPA,ISLAY,MOLLENDO,52
AREQUIPA,ISLAY,COCACHACRA,84
AREQUIPA,ISLAY,DEAN VALDIVIA,23
AREQUIPA,ISLAY,ISLAY,85
AREQUIPA,ISLAY,MEJIA,13
AREQUIPA,ISLAY,PUNTA DE BOMBON,23
AREQUIPA,LA UNION,COTAHUASI,2675
AREQUIPA,LA UNION,ALCA,2726
AREQUIPA,LA UNION,CHARCANA,3402
AREQUIPA,LA UNION,HUAYNACOTAS,2597
AREQUIPA,LA UNION,PAMPAMARCA,2567
AREQUIPA,LA UNION,PUYCA,3674
AREQUIPA,LA UNION,QUECHUALLA,1909
AREQUIPA,LA UNION,SAYLA,3531
AREQUIPA,LA UNION,TAURIA,2857
AREQUIPA,LA UNION,TOMEPAMPA,2621
AREQUIPA,LA UNION,TORO,2957
AYACUCHO,HUAMANGA,AYACUCHO,2760
AYACUCHO,HUAMANGA,ACOCRO,3246
AYACUCHO,HUAMANGA,ACOS VINCHOS,2839
AYACUCHO,HUAMANGA,CARMEN ALTO,2800
AYACUCHO,HUAMANGA,CHIARA,3515
AYACUCHO,HUAMANGA,OCROS,3146
AYACUCHO,HUAMANGA,PACAYCASA,2557
AYACUCHO,HUAMANGA,QUINUA,3275
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,3267
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,2734
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,3176
AYACUCHO,HUAMANGA,SOCOS,3394
AYACUCHO,HUAMANGA,TAMBILLO,3064
AYACUCHO,HUAMANGA,VINCHOS,3129
AYACUCHO,HUAMANGA,JESUS NAZARENO,2734
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,2734
AYACUCHO,CANGALLO,CANGALLO,2570
AYACUCHO,CANGALLO,CHUSCHI,3148
AYACUCHO,CANGALLO,LOS MOROCHUCOS,3327
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,3246
AYACUCHO,CANGALLO,PARAS,3342
AYACUCHO,CANGALLO,TOTOS,3318
AYACUCHO,HUANCA SANCOS,SANCOS,3422
AYACUCHO,HUANCA SANCOS,CARAPO,3230
AYACUCHO,HUANCA SANCOS,SACSAMARCA,3361
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,3460
AYACUCHO,HUANTA,HUANTA,2642
AYACUCHO,HUANTA,AYAHUANCO,2363
AYACUCHO,HUANTA,HUAMANGUILLA,3277
AYACUCHO,HUANTA,IGUAIN,3026
AYACUCHO,HUANTA,LURICOCHA,2611
AYACUCHO,HUANTA,SANTILLANA,3239
AYACUCHO,HUANTA,SIVIA,551
AYACUCHO,HUANTA,LLOCHEGUA,525
AYACUCHO,HUANTA,CANAYRE,507
AYACUCHO,HUANTA,UCHURACCAY,N.D.
AYACUCHO,LA MAR,SAN MIGUEL,2647
AYACUCHO,LA MAR,ANCO,3155
AYACUCHO,LA MAR,AYNA,620
AYACUCHO,LA MAR,CHILCAS,3248
AYACUCHO,LA MAR,CHUNGUI,3572
AYACUCHO,LA MAR,LUIS CARRANZA,2926
AYACUCHO,LA MAR,SANTA ROSA,708
AYACUCHO,LA MAR,TAMBO,3219
AYACUCHO,LA MAR,SAMUGARI,810
AYACUCHO,LA MAR,ANCHIHUAY,752
AYACUCHO,LUCANAS,PUQUIO,3221
AYACUCHO,LUCANAS,AUCARA,3228
AYACUCHO,LUCANAS,CABANA,3288
AYACUCHO,LUCANAS,CARMEN SALCEDO,3459
AYACUCHO,LUCANAS,CHAVIÑA,3316
AYACUCHO,LUCANAS,CHIPAO,3425
AYACUCHO,LUCANAS,HUAC-HUAS,3170
AYACUCHO,LUCANAS,LARAMATE,3040
AYACUCHO,LUCANAS,LEONCIO PRADO,2697
AYACUCHO,LUCANAS,LLAUTA,2669
AYACUCHO,LUCANAS,LUCANAS,3363
AYACUCHO,LUCANAS,OCAÑA,2629
AYACUCHO,LUCANAS,OTOCA,1950
AYACUCHO,LUCANAS,SAISA,3022
AYACUCHO,LUCANAS,SAN CRISTOBAL,3555
AYACUCHO,LUCANAS,SAN JUAN,2898
AYACUCHO,LUCANAS,SAN PEDRO,3139
AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,2464
AYACUCHO,LUCANAS,SANCOS,2810
AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,2962
AYACUCHO,LUCANAS,SANTA LUCIA,2247
AYACUCHO,PARINACOCHAS,CORACORA,3178
AYACUCHO,PARINACOCHAS,CHUMPI,3207
AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,3578
AYACUCHO,PARINACOCHAS,PACAPAUSA,2789
AYACUCHO,PARINACOCHAS,PULLO,2996
AYACUCHO,PARINACOCHAS,PUYUSCA,3294
AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,2904
AYACUCHO,PARINACOCHAS,UPAHUACHO,3325
AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,2518
AYACUCHO,PAUCAR DEL SARA SARA,COLTA,3237
AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,3467
AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,2793
AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,2648
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,3423
AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,3030
