COMPOSICION NUTRICIONAL DE SEGUNDOS (100g),,,,,,,,,,,,,,
Estrato,Código de Segundo,Nombre de Segundo,"Energía
<ENERC>","Proteínas
<PROCNT>","Grasa total
<FAT>","Carbohidratos disponibles
<CHOAVL>","Zinc
<ZN>","Hierro
<FE>","b caroteno
equivalentes totales
<CARTBQ>",Retinol,"Vitamina A
equivalentes totales
<VITA>","Sodio
<NA>",Plato,Orden
A,S0615,ESTOFADO DE RES CON ARROZ,"140,91","8,32","0,87","23,69","1,65","1,40","93,85","21,47","17,37","96,22",1,25
A,S0617,ESTOFADO DE RES CON MENESTRA CON ARROZ,"130,51","7,43","1,15","19,24","1,29","1,71","96,91","22,29","20,95","198,51",1,26
A,S0620,FETUCCINI A LO ALFREDO,"338,90","9,90","19,92","30,37","0,99","2,55","0,00","114,42","165,29","744,52",1,27
A,S0628,FILETE DE PESCADO CON PAPAS FRITAS CON SARSA CRIOLLA,"138,12","5,45","1,25","21,30","0,47","0,73","0,00","19,98","0,99","338,01",1,28
,,CON ARROZ,,,,,,,,,,,,
A,S0632,FILETE DE POLLO CON PAPAS FRITAS CON ARROZ,"121,88","7,23","2,93","15,67","0,71","0,71","0,00","8,21","12,35","251,52",1,29
A,S0644,FREJOLES CON PESCADO CON ARROZ,"160,54","7,05","4,45","20,22","0,61","1,19","0,00","0,00","0,01","68,37",1,30
A,S0650,FREJOLES CON SECO A LA NORTEÑA CON ARROZ,"128,88","7,69","1,03","21,94","1,25","1,62","1,99","4,65","0,54","74,85",1,31
A,S0662,GARBANZO CON POLLO CON ARROZ,"130,37","5,83","3,54","14,04","0,70","2,04","72,04","17,92","16,44","344,93",1,32
A,S0691,KAM LU WANTAN CON ARROZ CHAUFA,"94,16","5,36","0,94","15,27","0,58","0,69","10,75","4,96","9,45","56,58",1,33
A,S0693,LASAGNA DE RES,"256,83","10,55","8,16","5,00","1,07","1,66","0,00","17,51","39,58","21,06",2,34
A,S0705,LENTEJA CON FILETE DE PECHUGA CON ARROZ,"130,82","8,24","1,14","17,00","1,20","1,21","78,68","15,58","18,12","186,35",1,35
A,S0712,LENTEJA CON LOMITO CON ARROZ,"136,91","7,19","1,50","19,00","1,45","1,36","4,47","1,98","2,88","100,51",1,36
A,S0714,LENTEJA CON MILANESA CON ARROZ,"155,03","10,73","1,95","18,17","1,43","1,81","0,00","1,56","4,94","35,23",1,37
A,S0716,LENTEJA CON PESCADO CON ARROZ,"157,89","7,24","4,11","19,75","0,77","1,04","0,13","3,54","2,32","335,96",5,38
A,S0724,LOCRO DE ZAPALLO CON BISTECK CON ARROZ,"116,35","3,11","4,06","16,90","0,45","0,75","36,37","56,23","38,48","218,51",1,39
A,S0728,LOMO A LO STROGONOF CON ARROZ,"148,83","9,31","1,94","21,72","1,77","1,72","0,78","5,22","12,69","54,86",1,40
A,S0733,LOMO SALTADO CON ARROZ,"161,34","5,26","7,34","17,03","1,00","0,98","1,92","6,87","3,67","263,40",13,41
A,S0752,MILANESA CON ARROZ,"174,90","5,42","7,29","20,86","0,62","0,64","162,27","31,16","35,49","111,02",1,42
A,S0762,MONDONGUITO A LA ITALIANA CON ARROZ,"138,94","5,34","1,33","25,01","0,72","0,68","350,35","78,86","59,93","71,23",1,43
A,S0769,OLLUQUITO DE RES CON ARROZ,"129,09","5,04","0,47","25,36","0,92","1,08","0,00","2,29","0,00","52,77",1,44
A,S0771,PACHAMANCA A LA OLLA CON ARROZ,"137,95","7,47","1,43","22,60","0,76","0,86","395,69","69,84","70,11","95,36",2,45
A,S0786,PASTA OTROS,"118,77","8,55","3,00","6,67","1,50","1,70","178,87","41,88","21,90","72,07",2,46
A,S0790,PAVITA AL HORNO CON ARROZ,"127,46","6,92","4,20","12,36","0,85","1,32","431,17","74,61","72,52","91,93",1,47
A,S0796,PAVITA CON MENESTRA CON ARROZ,"136,62","5,96","3,10","15,68","0,90","2,73","204,54","34,50","34,89","107,88",1,48
A,S0805,PECHUGA A LA PLANCHA CON ENSALADA CON ARROZ,"132,06","6,68","3,65","16,88","0,67","0,67","205,04","35,55","40,19","296,05",1,49
A,S0825,PESCADO CON ARROZ,"155,45","7,29","5,09","16,78","0,46","0,90","265,10","45,69","145,95","236,01",2,50
A,S0826,PESCADO CON ENSALADA CON ARROZ,"155,41","7,64","2,61","24,50","0,47","1,36","0,00","1,01","2,04","52,20",1,51
A,S0828,PESCADO CON MENESTRA CON ARROZ,"178,99","10,29","4,22","21,20","0,75","2,18","0,00","2,07","3,18","244,09",4,52
A,S0851,POLLO  A LA BRASA CON PAPAS FRITAS,"184,99","9,43","10,79","11,02","0,77","0,95","0,00","95,07","34,50","399,78",7,53
A,S0852,POLLO  A LA BRAZA + 1 PALITO DE ANTICUCHO CON PAPAS,"145,54","9,71","7,89","6,18","0,86","1,56","211,37","530,33","193,09","338,35",1,54
,,FRITAS,,,,,,,,,,,,
A,S0869,POLLO A LA CHICLAYANA CON ARROZ,"136,51","8,75","1,54","20,77","0,87","0,87","0,00","7,84","9,40","110,62",1,55
A,S0876,POLLO A LA NORTEÑA CON ARROZ,"134,11","8,63","1,94","19,35","0,81","0,93","8,61","11,57","8,67","250,60",1,56
A,S0878,POLLO A LA NORTEÑA CON MENESTRA CON ARROZ,"122,55","9,59","2,43","11,89","0,95","1,46","1,25","7,17","6,69","31,06",1,57
A,S0879,POLLO A LA OLLA CON ARROZ,"149,67","7,33","2,38","23,10","0,78","0,79","0,00","10,75","4,56","350,55",1,58
A,S0880,POLLO A LA OLLA CON ENSALADA CON ARROZ,"117,75","4,77","2,43","18,33","0,58","0,65","162,92","35,25","35,52","813,99",1,59
A,S0885,POLLO A LA PARRILLA CON ENSALADA CON ARROZ,"161,05","3,27","3,33","28,12","0,59","0,53","0,00","5,27","4,79","817,41",1,60
A,S0893,POLLO A LA PLANCHA CON PAPAS DORADAS CON ARROZ,"157,93","3,11","4,05","26,34","0,57","0,44","0,00","7,08","7,19","411,04",1,61
A,S0898,POLLO AL HORNO CON ARROZ,"143,14","8,25","1,36","23,16","0,86","0,85","0,00","6,82","5,46","181,43",2,62
A,S0899,POLLO AL HORNO CON ENSALADA CON ARROZ,"146,72","3,10","2,40","26,92","0,53","0,46","0,00","1,43","2,70","165,72",1,63
A,S0900,POLLO AL HORNO CON ENSALADA RUSA CON ARROZ,"133,69","9,65","3,04","15,32","0,88","0,92","516,75","92,37","93,06","151,04",4,64
A,S0901,POLLO AL HORNO CON MENESTRA CON ARROZ,"131,02","8,42","2,01","16,46","0,90","1,28","0,00","0,00","3,45","265,49",1,65
A,S0905,POLLO AL HUACATAY CON ARROZ,"145,13","10,45","1,27","19,67","1,11","1,62","0,00","2,79","4,61","86,97",1,66
A,S0913,POLLO AL SILLAO CON ARROZ,"143,61","3,25","1,21","22,70","0,55","0,70","5,19","0,86","4,13","51,18",1,67
A,S0926,POLLO CON MANI CON ARROZ,"135,57","6,63","3,74","17,81","0,69","0,66","0,00","2,19","4,49","70,08",1,68
A,S0928,POLLO CON VERDURAS CON ARROZ,"173,67","7,75","6,86","18,40","0,63","2,48","65,41","12,49","19,17","314,47",1,69
A,S0937,POLLO FRITO CON ENSALADA CON ARROZ,"179,72","6,61","8,43","18,88","0,78","0,89","36,48","18,66","16,16","88,95",1,70
A,S0941,POLLO FRITO CON PAPAS FRITAS CON ARROZ,"193,10","3,12","6,66","28,94","0,54","0,49","0,00","8,29","2,32","391,78",1,71
A,S0943,POLLO FRITO CON PURE CON ARROZ,"171,22","7,81","5,44","22,06","0,81","0,71","0,00","7,47","6,34","136,29",1,72
A,S0955,PURE CON POLLO CON ARROZ,"188,45","6,14","7,76","23,07","0,71","0,54","0,00","59,20","11,01","222,14",1,73
A,S0973,SECO DE RES CON ARROZ,"107,04","7,12","1,00","16,81","1,48","1,30","564,08","99,47","100,78","168,14",2,74
A,S0976,SECO A LA NORTEÑA CON ARROZ,"127,84","5,32","1,08","22,84","0,83","0,86","525,43","92,12","92,33","72,14",1,75
A,S0978,SECO A LA NORTEÑA CON MENESTRA CON ARROZ,"133,89","8,50","0,93","18,95","1,47","1,96","12,58","5,17","2,19","314,39",2,76
A,S0987,SECO A LA NORTEÑA DE RES CON MENESTRA CON SARSA,"108,03","3,78","0,83","19,01","0,57","1,00","2,26","6,49","2,36","321,99",1,77
,,CRIOLLA CON ARROZ,,,,,,,,,,,,
A,S0991,SECO DE CABRITO CON MENESTRA CON ARROZ,"108,89","8,08","1,35","14,12","1,52","1,50","16,89","5,31","3,57","111,64",1,78
A,S0992,SECO DE CABRITO CON MENESTRA CON SARSA CRIOLLA CON,"146,54","7,51","1,69","21,96","1,24","1,54","2,23","1,21","1,15","103,44",1,79
,,ARROZ,,,,,,,,,,,,
A,S0993,SECO DE CORDERO CON ARROZ,"171,87","7,22","5,44","22,77","0,36","0,74","5,12","6,93","3,59","72,39",1,80
A,S1002,SECO DE POLLO CON ARROZ,"121,49","6,38","1,81","17,50","0,73","1,08","174,52","41,29","43,65","121,36",2,81
A,S1004,SECO DE POLLO CON MENESTRA CON ARROZ,"135,58","8,15","2,13","17,82","0,88","1,36","34,75","13,74","11,05","285,82",6,82
A,S1008,SECO DE RES A LA NORTEÑA CON MENESTRA CON ARROZ,"143,98","7,71","1,14","23,46","1,41","1,42","8,86","3,04","1,72","48,05",1,83
A,S1009,SECO DE RES CON MENESTRA CON ARROZ,"149,00","7,51","2,17","21,24","1,23","1,76","62,91","18,62","16,36","272,50",9,84
A,S1011,SECO DE RES CON MENESTRA CON SARSA CRIOLLA CON ARROZ,"130,26","7,28","0,81","19,68","1,23","1,69","2,83","7,59","0,56","305,78",1,85
A,S1019,STEAK AL TEQUILA,"108,27","5,64","0,52","18,37","1,12","1,46","188,34","32,24","32,49","73,01",1,86
A,S1031,TACU TACU CON CHURRASCO,"159,70","7,05","3,77","21,32","1,17","1,74","0,00","32,80","4,22","919,04",1,87
A,S1032,TACU TACU CON LOMITO,"129,87","7,70","2,88","15,12","1,02","1,43","0,20","2,84","1,34","523,74",2,88
A,S1040,TALLARINES CHIFA,"189,47","7,52","0,97","36,90","1,08","1,96","0,00","1,33","7,13","58,95",1,89
A,S1041,TALLARINES AL PESTO CON RES,"226,22","16,33","8,34","20,80","2,46","3,21","3,49","10,03","29,12","225,19",1,90
A,S1046,TALLARINES CON POLLO CON CREMA A LA HUANCAINA,"152,26","10,76","3,21","19,51","0,92","2,00","362,22","87,39","79,60","255,22",1,91
A,S1055,TALLARINES ROJOS CON POLLO,"146,58","10,20","2,10","21,19","0,96","2,24","526,27","86,33","83,70","243,92",5,92
A,S1061,TALLARINES SALTADO CON POLLO,"183,00","7,77","4,94","25,53","0,78","2,42","32,32","15,73","11,29","511,10",1,93
A,S1066,TALLARINES VERDES CON CHURRASCO,"198,06","8,86","8,23","21,96","1,35","3,64","0,00","108,17","150,17","108,08",1,94
A,S1069,TALLARINES VERDES CON POLLO,"181,87","8,27","10,77","12,68","0,78","2,17","0,00","63,52","71,36","444,81",1,95
A,S1072,TALLARINES VERDES CON RES,"223,76","11,68","5,17","32,29","1,96","3,99","0,00","33,80","37,83","488,39",5,96
A,S1085,TRIGO CON POLLO CON ARROZ,"128,96","8,13","2,15","18,32","0,74","0,73","0,00","0,84","11,72","18,40",1,97
A,S1090,TRUCHA CON MENESTRA CON ARROZ,"141,84","5,18","4,72","16,34","0,62","1,20","0,00","3,98","3,07","529,13",1,98
A,S1099,AEROPUERTO TACON PA,"176,99","7,63","3,38","28,17","0,55","1,13","0,00","4,00","6,85","109,46",1,99
A,S1102,CEBICHE DE PESCADO,"76,02","9,22","0,97","6,44","0,08","0,84","11,04","11,37","2,95","960,51",1,100
A,S1111,FREJOLES CON SECO ENSALADA CON ARROZ,"135,43","7,62","3,85","14,26","1,03","1,48","0,98","15,15","4,45","276,27",1,101
A,S1145,PURE CON ASADO CON ARROZ,"139,41","5,88","2,80","16,56","1,10","0,93","0,00","6,10","9,27","89,37",2,102
A,S1354,GARBANZO CON ARROZ Y CHULETA FRITA,"193,05","8,33","3,80","20,99","1,22","1,55","0,00","3,72","4,69","104,20",1,103
A,S1402,POLLO AL HORNO CON PURE CON ARROZ,"150,41","7,56","3,65","18,84","0,75","0,68","0,00","7,07","8,28","89,33",2,104
A,S1412,ANTICUCHO CON PAPA CON ARROZ,"113,63","9,31","3,19","5,74","0,95","1,95","0,00","45,98","11,58","119,56",1,105
A,S1691,ENCEBOLLADO DE HIGADO CON FREJOLES CON CON ARROZ,"160,90","8,77","6,19","17,87","1,72","2,38","1,50","2844,75","1740,53","268,06",1,106
A,S1749,TALLARINES VERDES CON CHURRASCO CON CREMA A LA,"184,75","7,45","3,96","26,00","1,03","2,88","0,00","35,40","39,86","148,78",1,107
,,HUANCAINA,,,,,,,,,,,,
A,S1809,CHICHARRON DE PESCADO CON YUCA FRITA CON ARROZ,"319,37","7,46","28,16","9,77","0,26","0,59","0,00","4,75","5,95","287,31",1,108
A,S1857,FILETE DE PESCADO EN SALSA DE MARISCOS,"136,12","6,39","0,76","24,50","0,55","0,61","101,91","20,33","18,02","69,25",1,109
A,S1900,COSTILLAS BARBIQUIU Y ARROZ Y CAMOTE,"190,21","6,48","8,17","20,17","1,00","0,58","442,08","73,73","74,92","392,67",1,110
A,S1907,ARROZ CON FRIJOL Y SECO DE RES,"120,18","6,29","1,68","17,11","1,04","1,43","65,40","14,80","12,19","247,29",10,111
A,S1908,ARROZ CON FRIJOLES Y SECO DE POLLO,"130,18","6,84","2,40","17,41","0,81","1,23","43,47","12,48","13,95","129,11",4,112
B,S0414,AJI DE POLLO CON ARROZ,"156,61","5,96","3,44","22,41","0,65","1,28","14,27","17,56","13,28","131,88",4,1
B,S0420,ARROZ A LA JARDINERA CON POLLO FRITO,"167,39","4,12","5,27","25,37","0,61","0,63","366,12","79,78","63,43","116,12",1,2
B,S0436,ARROZ CHAUFA DE MARISCOS,"165,99","7,21","4,63","22,70","0,78","1,15","0,00","6,14","15,63","75,54",1,3
B,S0439,ARROZ CHAUFA DE POLLO,"169,10","6,26","2,04","30,02","0,84","0,73","0,00","4,47","9,98","178,48",9,4
B,S0445,ARROZ CHAUFA ESPECIAL,"205,17","10,53","7,50","22,75","0,95","0,83","11,44","6,43","13,97","114,13",1,5
B,S0447,ARROZ CON MARISCOS,"158,37","5,33","3,16","26,50","0,58","0,64","45,33","14,16","12,82","256,92",5,6
B,S0455,ARROZ CON POLLO,"145,34","6,99","2,20","23,21","0,80","0,88","240,13","50,36","51,78","170,15",26,7
B,S0496,BISTECK DE RES A LO POBRE CON ARROZ,"189,04","5,48","6,06","27,38","1,05","0,85","0,00","7,12","5,12","310,62",1,8
B,S0498,BISTECK DE RES CON ARROZ,"129,78","6,68","2,10","11,11","1,26","1,10","0,00","0,00","0,03","73,19",1,9
B,S0501,CABRITO CON FREJOLES CON ARROZ,"113,59","7,64","1,71","13,56","1,33","1,71","4,08","1,72","1,08","103,27",1,10
B,S0523,CAU CAU CON ARROZ,"115,30","5,61","1,21","14,28","0,67","0,61","364,04","84,15","62,36","118,07",1,11
B,S0561,CHICKEN QUESADILLA,"193,03","12,21","9,92","1,94","0,68","0,85","6,53","24,75","56,22","225,62",1,12
B,S0605,ESCABECHE DE POLLO CON ARROZ,"125,23","5,63","2,78","19,08","0,52","1,19","391,39","77,82","68,53","301,46",3,13
B,S0613,ESTOFADO DE POLLO CON ARROZ CON ENSALADA,"120,33","5,35","1,61","20,01","0,61","0,64","162,73","29,12","31,28","384,21",1,14
B,S0627,FILETE DE PESCADO CON MENESTRA CON ARROZ,"166,35","7,97","3,96","21,84","0,80","1,57","0,00","4,22","19,76","355,75",1,15
B,S0629,FILETE DE POLLO A LA PARRILLA  CON ENSALADA CON ARROZ,"162,04","8,12","2,42","25,91","0,90","0,77","7,26","5,38","17,66","106,91",1,16
B,S0633,FILETE DE POLLO CON PAPAS FRITAS CON ENSALADA CON,"136,38","6,09","5,90","13,84","0,70","0,77","58,18","23,14","48,37","543,26",1,17
,,ARROZ,,,,,,,,,,,,
B,S0645,FREJOLES CON PESCADO CON ENSALADA CON ARROZ,"257,58","3,99","16,34","23,10","0,36","0,57","1,03","3,79","63,21","648,67",1,18
B,S0682,JALEA DE PESCADO CON ARROZ,"49,89","3,69","0,41","7,33","0,47","0,13","0,00","1,77","3,75","2,27",1,19
B,S0683,JALEA DE PESCADO CON YUCA FRITA,"175,39","6,19","4,46","27,29","0,53","1,09","0,00","0,81","2,22","194,21",1,20
B,S0691,KAM LU WANTAN CON ARROZ CHAUFA,"199,54","6,58","13,04","12,61","0,63","0,67","0,00","6,32","9,14","184,75",1,21
B,S0693,LASAGNA DE RES,"337,85","15,80","18,18","37,71","0,29","0,47","0,00","11,17","18,14","0,00",1,22
B,S0701,LENTEJA CON CHULETA CON ARROZ,"162,22","7,13","3,74","19,82","1,23","1,14","0,00","2,92","2,62","499,39",1,23
B,S0733,LOMO SALTADO CON ARROZ,"188,64","7,30","7,24","22,15","1,44","1,21","5,67","3,26","2,54","93,45",2,24
B,S0741,MACARRONES CON POLLO,"160,52","8,21","4,35","21,99","0,76","2,18","0,00","11,37","25,60","189,91",1,25
B,S0743,MACARRONES CON RES,"174,43","6,45","2,34","31,77","0,75","3,29","0,00","86,25","126,41","101,25",1,26
B,S0762,MONDONGUITO A LA ITALIANA CON ARROZ,"132,91","5,47","3,33","19,32","0,66","0,55","423,43","87,08","73,29","298,25",1,27
B,S0790,PAVITA AL HORNO CON ARROZ,"157,38","5,72","6,70","17,88","0,73","1,21","263,65","50,14","53,49","704,41",1,28
B,S0838,PESCADO EN SALSA DE CHAMPIÑONES CON ARROZ,"182,86","6,66","8,97","19,13","0,55","0,31","15,11","47,16","82,09","222,41",1,29
B,S0846,PICANTE DE RES CON ARROZ,"117,71","4,88","1,56","19,75","0,93","0,82","0,00","3,46","0,82","409,71",1,30
B,S0851,POLLO  A LA BRASA CON PAPAS FRITAS,"113,88","5,30","2,80","16,34","0,48","0,66","0,00","3,77","2,76","1251,27",1,31
B,S0875,POLLO A LA NARANJA CON ARROZ,"128,24","10,12","2,70","15,14","0,87","1,10","154,44","26,34","33,87","134,15",1,32
B,S0886,POLLO A LA PARRILLA CON ENSALADA RUSA CON ARROZ,"163,66","8,08","7,32","15,23","0,75","0,74","121,34","21,59","26,51","74,19",1,33
B,S0891,POLLO A LA PLANCHA CON ENSALADA CON ARROZ,"151,32","8,56","1,15","25,39","0,93","0,78","0,00","1,09","6,00","55,49",1,34
B,S0894,POLLO A LA PLANCHA CON PAPAS FRITAS CON ARROZ,"129,77","7,96","2,76","17,02","0,77","0,74","0,00","2,99","7,75","301,18",1,35
B,S0898,POLLO AL HORNO CON ARROZ,"171,76","9,35","2,79","25,79","0,97","0,93","0,00","7,49","12,57","272,62",2,36
B,S0899,POLLO AL HORNO CON ENSALADA CON ARROZ,"159,00","8,77","3,73","21,30","0,90","0,85","100,45","69,24","37,79","306,65",1,37
B,S0900,POLLO AL HORNO CON ENSALADA RUSA CON ARROZ,"145,68","7,32","5,08","16,55","0,71","0,80","184,97","43,61","38,61","201,55",2,38
B,S0913,POLLO AL SILLAO CON ARROZ,"143,50","11,46","4,34","13,45","0,99","0,98","26,75","4,94","13,83","56,48",1,39
B,S0937,POLLO FRITO CON ENSALADA CON ARROZ,"132,18","5,89","4,15","17,16","0,67","0,64","5,40","5,72","11,52","175,25",1,40
B,S0975,SECO A LA HUACHANA CON MENESTRA CON ARROZ,"151,38","7,94","1,56","21,28","1,27","1,96","4,33","4,60","0,72","366,23",1,41
B,S0976,SECO A LA NORTEÑA CON ARROZ,"150,23","7,05","0,93","27,64","1,48","1,38","0,15","1,72","0,29","14,08",1,42
B,S0984,SECO A LA NORTEÑA DE POLLO CON MENESTRA CON ARROZ,"125,07","8,83","2,46","14,38","0,88","1,31","13,73","8,11","6,85","328,53",2,43
B,S0988,SECO CON MENESTRA CON ARROZ,"133,45","6,23","0,70","22,33","1,06","1,38","5,52","1,87","0,95","86,51",1,44
B,S1004,SECO DE POLLO CON MENESTRA CON ARROZ,"122,36","4,60","0,68","20,77","0,68","1,24","0,75","103,11","31,41","109,91",1,45
B,S1008,SECO DE RES A LA NORTEÑA CON MENESTRA CON ARROZ,"140,61","8,27","1,24","20,36","1,41","2,07","6,63","6,81","1,12","347,99",1,46
B,S1009,SECO DE RES CON MENESTRA CON ARROZ,"136,57","7,56","1,44","19,30","1,28","1,70","166,22","28,76","27,71","250,00",3,47
B,S1020,SUDADO DE PESCADO CON ARROZ,"152,98","5,24","1,33","28,93","0,62","0,58","8,08","8,27","3,94","388,49",1,48
B,S1067,TALLARINES VERDES CON HIGADO,"84,73","4,21","2,11","10,37","0,68","1,78","0,00","850,85","534,79","807,40",1,49
B,S1069,TALLARINES VERDES CON POLLO,"231,33","8,56","4,33","39,40","0,94","3,86","0,00","55,49","88,85","172,62",1,50
B,S1072,TALLARINES VERDES CON RES,"100,48","6,43","4,56","8,15","1,12","1,77","0,00","37,69","50,92","270,73",2,51
B,S1114,ARROZ CON LENTEJAS CON CHURRASCO,"157,06","9,44","2,90","19,86","0,83","0,81","0,00","3,70","1,21","508,80",1,52
B,S1157,TALLARINES AL PESTO CON BISTECK,"139,63","6,12","4,80","17,98","0,97","2,24","0,00","21,34","32,21","127,66",1,53
B,S1165,COMBINADO DE RES,"151,45","4,50","3,78","21,25","0,76","1,40","33,06","7,67","8,01","37,49",1,54
B,S1343,ALBONDIGAS EN SALSA CON ARROZ,"132,62","6,32","3,58","17,97","1,23","1,16","0,00","7,06","5,69","36,02",1,55
B,S1720,VIRADO PAULISTA,"85,93","3,50","2,58","11,21","0,60","0,85","0,00","5,01","7,02","90,69",1,56
B,S1907,ARROZ CON FRIJOL Y SECO DE RES,"160,73","8,32","2,70","21,33","1,37","2,00","8,72","9,47","7,84","326,60",3,57
B,S1908,ARROZ CON FRIJOLES Y SECO DE POLLO,"120,42","4,88","1,00","19,20","0,71","1,32","31,61","16,70","18,58","106,06",1,58
C,S0407,ADOBO DE POLLO CON ARROZ,"143,64","6,57","2,07","24,16","0,82","0,67","0,00","1,52","4,58","99,18",1,1
C,S0410,ADOBO DE RES CON MENESTRA CON ARROZ,"154,69","7,73","1,66","22,98","1,25","1,96","0,00","14,69","1,04","194,78",1,2
C,S0412,AEROPUERTO DE POLLO,"212,34","6,47","2,45","39,14","0,92","1,56","0,29","5,58","6,86","136,64",2,3
C,S0414,AJI DE POLLO CON ARROZ,"145,65","5,93","2,81","21,57","0,68","0,85","0,00","11,30","7,75","138,00",8,4
C,S0419,ARROZ A LA JARDINERA CON POLLO,"141,95","7,34","1,15","24,23","0,82","0,76","67,24","15,71","19,51","54,27",2,5
C,S0421,ARROZ ARABE CON POLLO,"159,86","3,52","0,99","32,08","0,58","1,28","15,47","2,58","4,16","183,77",1,6
C,S0423,ARROZ CHAUFA CON POLLO CHIJAUKAY,"187,08","6,84","8,15","16,84","0,73","1,44","8,73","6,97","14,18","560,07",5,7
C,S0439,ARROZ CHAUFA DE POLLO,"173,63","6,48","2,59","29,62","0,84","0,71","0,00","2,87","7,99","223,12",43,8
C,S0444,ARROZ CHAUFA DE RES,"180,08","7,69","5,90","22,51","1,46","1,22","16,99","9,10","14,66","301,81",1,9
C,S0447,ARROZ CON MARISCOS,"143,77","5,12","3,09","23,08","0,56","0,77","92,26","31,72","24,94","234,87",6,10
C,S0453,ARROZ CON PATO,"174,09","5,60","7,15","20,91","0,70","1,01","132,28","28,03","35,33","470,59",2,11
C,S0455,ARROZ CON POLLO,"139,00","7,04","2,34","21,05","0,77","0,97","247,05","54,66","57,64","240,47",132,12
C,S0479,ARVEJITA VERDE PARTIDA CON PESCADO FRITO CON ARROZ,"255,40","5,16","13,68","25,32","0,69","0,75","0,00","0,95","0,73","80,96",1,13
