Estrato,Codigo,Nombre,Energia,Proteinas,Grasa,Carbohidratos,Zinc,Hierro,Caroteno,Retinol,Vitamina,Sodio,Plato,Orden
B,S0447,Arroz Con Mariscos,158.37,5.33,3.16,26.5,58,0.64,45.33,14.16,12.82,256.92,5,6
B,S0455,Arroz Con Pollo,145.34,6.99,2.2,23.21,80,0.88,240.13,50.36,51.78,170.15,26,7
B,S0496,Bisteck De Res A Lo Pobre Con Arroz,189.04,5.48,6.06,27.38,105,0.85,0,7.12,5.12,310.62,1,8
B,S0498,Bisteck De Res Con Arroz,129.78,6.68,2.1,11.11,126,1.1,0,0,0.03,73.19,1,9
B,S0501,Cabrito Con Frejoles Con Arroz,113.59,7.64,1.71,13.56,133,1.71,4.08,1.72,1.08,103.27,1,10
B,S0523,Cau Cau Con Arroz,115.3,5.61,1.21,14.28,67,0.61,364.04,84.15,62.36,118.07,1,11
B,S0561,Chicken Quesadilla,193.03,12.21,9.92,1.94,68,0.85,6.53,24.75,56.22,225.62,1,12
B,S0605,Escabeche De Pollo Con Arroz,125.23,5.63,2.78,19.08,52,1.19,391.39,77.82,68.53,301.46,3,13
B,S0613,Estofado De Pollo Con Arroz Con Ensalada,120.33,5.35,1.61,20.01,61,0.64,162.73,29.12,31.28,384.21,1,14
B,S0627,Filete De Pescado Con Menestra Con Arroz,166.35,7.97,3.96,21.84,80,1.57,0,4.22,19.76,355.75,1,15
B,S0629,Filete De Pollo A La Parrilla  Con Ensalada Con Arroz,162.04,8.12,2.42,25.91,90,0.77,7.26,5.38,17.66,106.91,1,16
B,S0633,Filete De Pollo Con Papas Fritas Con Ensalada Con Arroz,136.38,6.09,5.9,13.84,70,0.77,58.18,23.14,48.37,543.26,1,17
B,S0645,Frejoles Con Pescado Con Ensalada Con Arroz,257.58,3.99,16.34,23.1,36,0.57,1.03,3.79,63.21,648.67,1,18
B,S0682,Jalea De Pescado Con Arroz,49.89,3.69,0.41,7.33,47,0.13,0,1.77,3.75,2.27,1,19
B,S0683,Jalea De Pescado Con Yuca Frita,175.39,6.19,4.46,27.29,53,1.09,0,0.81,2.22,194.21,1,20
B,S0691,Kam Lu Wantan Con Arroz Chaufa,199.54,6.58,13.04,12.61,63,0.67,0,6.32,9.14,184.75,1,21
B,S0693,Lasagna De Res,337.85,15.8,18.18,37.71,29,0.47,0,11.17,18.14,0,1,22
B,S0701,Lenteja Con Chuleta Con Arroz,162.22,7.13,3.74,19.82,123,1.14,0,2.92,2.62,499.39,1,23
B,S0733,Lomo Saltado Con Arroz,188.64,7.3,7.24,22.15,144,1.21,5.67,3.26,2.54,93.45,2,24
B,S0741,Macarrones Con Pollo,160.52,8.21,4.35,21.99,76,2.18,0,11.37,25.6,189.91,1,25
B,S0743,Macarrones Con Res,174.43,6.45,2.34,31.77,75,3.29,0,86.25,126.41,101.25,1,26
B,S0762,Mondonguito A La Italiana Con Arroz,132.91,5.47,3.33,19.32,66,0.55,423.43,87.08,73.29,298.25,1,27
B,S0790,Pavita Al Horno Con Arroz,157.38,5.72,6.7,17.88,73,1.21,263.65,50.14,53.49,704.41,1,28
B,S0838,Pescado En Salsa De Champiñones Con Arroz,182.86,6.66,8.97,19.13,55,0.31,15.11,47.16,82.09,222.41,1,29
B,S0846,Picante De Res Con Arroz,117.71,4.88,1.56,19.75,93,0.82,0,3.46,0.82,409.71,1,30
B,S0851,Pollo  A La Brasa Con Papas Fritas,113.88,5.3,2.8,16.34,48,0.66,0,3.77,2.76,1251.27,1,31
B,S0875,Pollo A La Naranja Con Arroz,128.24,10.12,2.7,15.14,87,1.1,154.44,26.34,33.87,134.15,1,32
B,S0886,Pollo A La Parrilla Con Ensalada Rusa Con Arroz,163.66,8.08,7.32,15.23,75,0.74,121.34,21.59,26.51,74.19,1,33
B,S0891,Pollo A La Plancha Con Ensalada Con Arroz,151.32,8.56,1.15,25.39,93,0.78,0,1.09,6,55.49,1,34
B,S0894,Pollo A La Plancha Con Papas Fritas Con Arroz,129.77,7.96,2.76,17.02,77,0.74,0,2.99,7.75,301.18,1,35
B,S0898,Pollo Al Horno Con Arroz,171.76,9.35,2.79,25.79,97,0.93,0,7.49,12.57,272.62,2,36
B,S0899,Pollo Al Horno Con Ensalada Con Arroz,159,8.77,3.73,21.3,90,0.85,100.45,69.24,37.79,306.65,1,37
B,S0900,Pollo Al Horno Con Ensalada Rusa Con Arroz,145.68,7.32,5.08,16.55,71,0.8,184.97,43.61,38.61,201.55,2,38
B,S0913,Pollo Al Sillao Con Arroz,143.5,11.46,4.34,13.45,99,0.98,26.75,4.94,13.83,56.48,1,39
B,S0937,Pollo Frito Con Ensalada Con Arroz,132.18,5.89,4.15,17.16,67,0.64,5.4,5.72,11.52,175.25,1,40
B,S0975,Seco A La Huachana Con Menestra Con Arroz,151.38,7.94,1.56,21.28,127,1.96,4.33,4.6,0.72,366.23,1,41
B,S0976,Seco A La Norteña Con Arroz,150.23,7.05,0.93,27.64,148,1.38,0.15,1.72,0.29,14.08,1,42
B,S0984,Seco A La Norteña De Pollo Con Menestra Con Arroz,125.07,8.83,2.46,14.38,88,1.31,13.73,8.11,6.85,328.53,2,43
B,S0988,Seco Con Menestra Con Arroz,133.45,6.23,0.7,22.33,106,1.38,5.52,1.87,0.95,86.51,1,44
B,S1004,Seco De Pollo Con Menestra Con Arroz,122.36,4.6,0.68,20.77,68,1.24,0.75,103.11,31.41,109.91,1,45
B,S1008,Seco De Res A La Norteña Con Menestra Con Arroz,140.61,8.27,1.24,20.36,141,2.07,6.63,6.81,1.12,347.99,1,46
B,S1009,Seco De Res Con Menestra Con Arroz,136.57,7.56,1.44,19.3,128,1.7,166.22,28.76,27.71,250,3,47
B,S1020,Sudado De Pescado Con Arroz,152.98,5.24,1.33,28.93,62,0.58,8.08,8.27,3.94,388.49,1,48
B,S1067,Tallarines Verdes Con Higado,84.73,4.21,2.11,10.37,68,1.78,0,850.85,534.79,807.4,1,49
B,S1069,Tallarines Verdes Con Pollo,231.33,8.56,4.33,39.4,94,3.86,0,55.49,88.85,172.62,1,50
B,S1072,Tallarines Verdes Con Res,100.48,6.43,4.56,8.15,112,1.77,0,37.69,50.92,270.73,2,51
B,S1114,Arroz Con Lentejas Con Churrasco,157.06,9.44,2.9,19.86,83,0.81,0,3.7,1.21,508.8,1,52
B,S1157,Tallarines Al Pesto Con Bisteck,139.63,6.12,4.8,17.98,97,2.24,0,21.34,32.21,127.66,1,53
B,S1165,Combinado De Res,151.45,4.5,3.78,21.25,76,1.4,33.06,7.67,8.01,37.49,1,54
B,S1343,Albondigas En Salsa Con Arroz,132.62,6.32,3.58,17.97,123,1.16,0,7.06,5.69,36.02,1,55
B,S1720,Virado Paulista,85.93,3.5,2.58,11.21,60,0.85,0,5.01,7.02,90.69,1,56
B,S1907,Arroz Con Frijol Y Seco De Res,160.73,8.32,2.7,21.33,137,2,8.72,9.47,7.84,326.6,3,57
B,S1908,Arroz Con Frijoles Y Seco De Pollo,120.42,4.88,1,19.2,71,1.32,31.61,16.7,18.58,106.06,1,58
C,S0407,Adobo De Pollo Con Arroz,143.64,6.57,2.07,24.16,82,0.67,0,1.52,4.58,99.18,1,1
C,S0410,Adobo De Res Con Menestra Con Arroz,154.69,7.73,1.66,22.98,125,1.96,0,14.69,1.04,194.78,1,2
C,S0412,Aeropuerto De Pollo,212.34,6.47,2.45,39.14,92,1.56,0.29,5.58,6.86,136.64,2,3
C,S0414,Aji De Pollo Con Arroz,145.65,5.93,2.81,21.57,68,0.85,0,11.3,7.75,138,8,4
C,S0419,Arroz A La Jardinera Con Pollo,141.95,7.34,1.15,24.23,82,0.76,67.24,15.71,19.51,54.27,2,5
C,S0421,Arroz Arabe Con Pollo,159.86,3.52,0.99,32.08,58,1.28,15.47,2.58,4.16,183.77,1,6
C,S0423,Arroz Chaufa Con Pollo Chijaukay,187.08,6.84,8.15,16.84,73,1.44,8.73,6.97,14.18,560.07,5,7
C,S0439,Arroz Chaufa De Pollo,173.63,6.48,2.59,29.62,84,0.71,0,2.87,7.99,223.12,43,8
C,S0444,Arroz Chaufa De Res,180.08,7.69,5.9,22.51,146,1.22,16.99,9.1,14.66,301.81,1,9
C,S0447,Arroz Con Mariscos,143.77,5.12,3.09,23.08,56,0.77,92.26,31.72,24.94,234.87,6,10
C,S0453,Arroz Con Pato,174.09,5.6,7.15,20.91,70,1.01,132.28,28.03,35.33,470.59,2,11
C,S0455,Arroz Con Pollo,139,7.04,2.34,21.05,77,0.97,247.05,54.66,57.64,240.47,132,12
C,S0479,Arvejita Verde Partida Con Pescado Frito Con Arroz,255.4,5.16,13.68,25.32,69,0.75,0,0.95,0.73,80.96,1,13
C,S0480,Arvejita Verde Partida Con Pollo Al Horno Con Arroz,124.23,7.28,3.45,14.82,73,0.77,0,4.66,8.84,324.27,1,14
C,S0487,Asado De Pollo Con Menestra Con Arroz,123.87,7.39,1.55,17.23,83,1.19,214.7,39,39.76,169.6,1,15
C,S0489,Asado De Res Con Arroz,146.89,4.32,0.59,29.63,89,0.88,0,5.9,0.47,43.63,1,16
C,S0491,Asado De Res Con Menestra Con Arroz,104.28,5.73,0.86,15.33,94,1.34,60.38,11.28,10.84,73.77,2,17
C,S0496,Bisteck De Res A Lo Pobre Con Arroz,147.03,5.46,6.05,12.79,104,0.9,62.94,11.42,12.11,26.03,1,18
C,S0501,Cabrito Con Frejoles Con Arroz,146.43,7.98,3.32,18.38,138,1.64,6.61,8.22,2.67,307.07,5,19
C,S0509,Cabrito A La Norteña Con Arroz,133.86,7.28,1.7,21.69,83,0.84,5.53,10.58,5.84,429.29,1,20
C,S0517,Carapulcra De Cerdo Con Arroz,136.97,6.64,2.55,21.05,64,0.89,0,2.6,0.6,592.02,1,21
C,S0523,Cau Cau Con Arroz,103.16,4.43,1.53,14.99,53,0.47,152.41,45.78,26.03,88.01,3,22
C,S0531,Cerdo Al Horno Con Arroz,161.13,7.66,3.53,23.19,88,0.65,0,4.17,0.86,181.98,1,23
C,S0543,Chicharron De Pescado Con Frejoles Con Arroz,106.81,4.12,1.23,17.79,52,1,473.5,84.64,83.46,150.15,2,24
C,S0552,Chicharron De Pollo Con Ensalada Con Arroz,202.1,6.63,8.98,21.14,72,1.12,0,0.86,3.78,88.89,1,25
C,S0555,Chicharron Mixto,221.9,9.26,14.1,13.65,55,1.13,0.23,10.02,15.36,398.27,2,26
C,S0575,Churrasco Con Arroz,99.64,3.75,0.73,18.53,72,0.65,0,2.61,2.87,161.5,2,27
C,S0586,Combinado De Pollo,150.84,6.15,1.3,27.68,73,2.34,108.07,23.48,21.9,166.15,4,28
C,S0588,Cordero A La Norteña Con Frejoles Con Arroz,172.38,10.36,6.31,19.42,109,1.93,4.72,8.11,2.34,393.8,1,29
C,S0600,Ensalada Rusa Con Pollo Al Horno Con Arroz,121.97,7.14,3.35,14.77,68,0.77,367.75,100.75,76.46,212.88,1,30
C,S0602,Ensalada Rusa Con Pollo Frito Con Arroz,172.87,7.3,2.64,26.4,87,0.76,870.05,147.67,148.88,42.48,1,31
C,S0603,Escabeche De Pescado Con Arroz,227.09,3.28,10.21,30.08,59,0.61,71.11,13.51,11.95,74.63,1,32
C,S0605,Escabeche De Pollo Con Arroz,136.63,7.7,2.81,19.33,75,0.93,118.88,29.85,25.02,131.5,5,33
C,S0609,Estofado De Lengua Con Arroz,133.29,4.88,5.11,15.93,84,0.83,518.35,90.23,89.33,814.76,1,34
C,S0612,Estofado De Pollo Con Arroz,117.05,6.62,1.39,17.55,69,0.74,168.97,35.98,34.96,246.98,7,35
C,S0613,Estofado De Pollo Con Arroz Con Ensalada,116.4,6.02,1.91,18.46,37,1.65,438,77.1,77.09,462.75,1,36
C,S0614,Estofado De Pollo Con Menestra Con Arroz,145.38,7.45,1.95,19.87,111,1.16,200.79,63.18,46.23,331.37,6,37
C,S0617,Estofado De Res Con Menestra Con Arroz,121.33,5.69,1.05,19.25,110,1.36,40.28,8.61,8.82,93.2,1,38
C,S0627,Filete De Pescado Con Menestra Con Arroz,239.77,9.67,10.64,23.05,59,2.81,0,0,0.01,258.52,1,39
C,S0631,Arroz Blanco Con Filete De Pollo Y Papas Sancochadas Y Ensalada,145.81,6.48,2.45,19.91,73,0.69,0,6.89,4.52,75.56,1,40
C,S0632,Filete De Pollo Con Papas Fritas Con Arroz,155.61,8.92,4.83,17.48,82,0.84,0,1.02,5.36,420.52,1,41
