"Marca temporal","Género","Edad","¿Cuántos cursos llevaste el ciclo 2022-2?","¿Cuál fue tu promedio ponderado del ciclo 2022-2? (Redondeado a las décimas / Punto como separador decimal) (Ejemplo: si tu ponderado fue de 15.88, la respuesta debería ser ""15.9"")
","¿Cuántas horas diarias en promedio de sueño tuviste durante el ciclo 2022-2? (Ejemplo: si dormiste 5 horas en promedio, la respuesta debería ser ""5"")","¿Cómo describirías la calidad de tu sueño durante el ciclo 2022-2?","¿Cómo describirías tu nivel de estrés durante el ciclo 2022-2?","¿Cuántas horas de ocio diarias tenías en promedio durante el ciclo 2022-2?  (Ejemplo: si tenías 3 horas de ocio en promedio, la respuesta debería ser ""3"")","¿Faltabas a clase durante el ciclo 2022-2 ?","¿Cuánto tiempo necesitas para llegar a la universidad?","¿Qué tipo de evaluaciones que has tenido durante el ciclo 2022-2, se te dificultaron más?"
"2023/04/25 11:49:34 a. m. GMT-5","Masculino","18","6","16","6","Regular","Medio","5","Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 12:08:09 p. m. GMT-5","Masculino","18","5","16.2","7.5","Regular","Alto","3","Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 12:14:45 p. m. GMT-5","Masculino","18","5","13","6","Regular","Alto","2","Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 1:55:54 p. m. GMT-5","Masculino","17","5","17.6","7","Regular","Bajo","3","Irregularmente","1h y media","Trabajos grupales"
"2023/04/26 1:13:13 a. m. GMT-5","Masculino","21","7","14.5","4","Mala","Alto","3","Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"2023/04/26 7:30:09 p. m. GMT-5","Masculino","18","6","14.4","6","Mala","Medio","6","Nunca","menos de 30 min","Examenes;Trabajos grupales"
"2023/04/26 7:33:55 p. m. GMT-5","Femenino","19","5","14","6","Regular","Medio","3","Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/04/26 7:41:06 p. m. GMT-5","Masculino","17","6","12.5","Dormía 6 horas diarias ","Buena","Medio","4 horas de ocio durante la semana ","Nunca","3 h","Test;Tareas"
"2023/04/26 7:42:21 p. m. GMT-5","Masculino","19","7","14","5","Mala","Alto","4-5 horas por día ","Irregularmente","2 h","Test"
"2023/04/26 8:09:57 p. m. GMT-5","Masculino","18","6","15.9","7","Buena","Bajo","4","Irregularmente","menos de 30 min","Examenes;Test"
"2023/04/26 8:42:50 p. m. GMT-5","Femenino","18","6","16.4","6","Regular","Alto","3","Nunca","1h y media","Examenes;Trabajos grupales"
"2023/04/26 8:47:58 p. m. GMT-5","Masculino","23","5","11","5","Mala","Alto","7","Irregularmente","2 h","Examenes"
"2023/04/26 9:29:10 p. m. GMT-5","Masculino","20","7","13,4","6","Regular","Alto","2","Irregularmente","1h y media","Examenes"
"2023/04/26 10:22:41 p. m. GMT-5","Femenino","18","6","15.85","6","Regular","Alto","4","Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/04/26 11:25:46 p. m. GMT-5","Femenino","18","7","16,4","6","Regular","Medio","2","Irregularmente","1 h","Examenes;Tareas;Proyectos"
"2023/04/26 11:28:01 p. m. GMT-5","Femenino","18","7","12","5","Pésima","Alto","5 o 6","Medianamente","menos de 30 min","Examenes;Tareas"
"2023/04/26 11:29:53 p. m. GMT-5","Masculino","18","7","17.2","6.5","Regular","Bajo","4","Irregularmente","menos de 30 min","Proyectos;Trabajos grupales"
"2023/04/26 11:34:16 p. m. GMT-5","Masculino","18","6","18.4","6","Regular","Alto","1","Medianamente","1h y media","Examenes;Tareas;Proyectos"
"2023/04/26 11:36:37 p. m. GMT-5","Femenino","17","7","15","4","Mala","Alto","4","Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/04/27 6:59:46 p. m. GMT-5","Masculino","18","7","16","6","Buena","Alto","4","Medianamente","1 h","Examenes;Tareas;Proyectos"
"2023/04/27 7:01:48 p. m. GMT-5","Masculino","18","3","18.4","6","Regular","Medio","6","Irregularmente","1h y media","Tareas;Proyectos;Trabajos grupales"
"2023/04/27 7:04:00 p. m. GMT-5","Masculino","23","7","16.9","4","Regular","Alto","1","Irregularmente","1 h","Examenes"
"2023/04/27 7:04:42 p. m. GMT-5","Femenino","18","5","15.4","6","Mala","Alto","3","Irregularmente","1h y media","Examenes;Proyectos"
"2023/04/27 7:11:36 p. m. GMT-5","Femenino","19","5","12 aprox ","Muy poco","Regular","Medio","Muchos","Nunca","menos de 30 min","Examenes;Proyectos"
"2023/04/27 7:12:51 p. m. GMT-5","Masculino","18","6","13.07","5","Regular","Alto","3","Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"2023/04/27 7:14:59 p. m. GMT-5","Masculino","20","5","14.87","5","Regular","Medio","2","Irregularmente","2 h","Tareas;Trabajos grupales"
"2023/04/27 7:20:32 p. m. GMT-5","Masculino","19","6","13.5","6","Regular","Medio","3","Nunca","menos de 30 min","Examenes"
"2023/04/27 7:21:38 p. m. GMT-5","Femenino","19","6","16.3","6","Buena","Alto","8","Irregularmente","menos de 30 min","Examenes"
"2023/04/27 7:33:25 p. m. GMT-5","Masculino","18","8","15","5","Mala","Medio","1","Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
"2023/04/27 7:44:39 p. m. GMT-5","Masculino","18","8","15","4","Pésima","Medio","1","Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
"2023/04/27 9:15:53 p. m. GMT-5","Masculino","20","6","15.1","6","Pésima","Alto","1","Nunca","2 h","Tareas;Proyectos;Trabajos grupales"
"2023/04/27 9:57:44 p. m. GMT-5","Femenino","17","7","15.9","6","Mala","Alto","2","Irregularmente","2 h","Examenes;Tareas"
"2023/04/28 12:14:49 a. m. GMT-5","Masculino","20","7","14.4","5","Pésima","Medio","6","Regularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/04/28 1:36:54 a. m. GMT-5","Masculino","21","6","16","7","Regular","Medio","4","Nunca","menos de 30 min","Examenes"
"2023/04/28 8:28:26 a. m. GMT-5","Masculino","18","5","14.5","6","Mala","Alto","2","Irregularmente","1 h","Examenes;Test"
"2023/04/28 8:31:52 a. m. GMT-5","Femenino","20","6","15","8","Buena","Bajo","3","Regularmente","2 h","Examenes;Test"
"2023/04/28 11:02:26 a. m. GMT-5","Femenino","18","6","16.00","4","Mala","Alto","1","Irregularmente","2 h","Examenes;Test;Proyectos"
"2023/04/28 12:10:04 p. m. GMT-5","Masculino","17","6","17.6","8","Regular","Alto","3","Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/04/28 12:30:02 p. m. GMT-5","Masculino","19","3","16.5","9","Buena","Medio","5","Medianamente","menos de 30 min","Examenes;Test"
"2023/04/28 1:21:46 p. m. GMT-5","Femenino","19","4","16.5","6","Buena","Medio","3","Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"2023/04/28 4:29:53 p. m. GMT-5","Masculino","18","6","16","7","Buena","Medio","3","Irregularmente","1 h","Examenes"
"2023/04/28 4:51:28 p. m. GMT-5","Masculino","19","6","14","6","Regular","Medio","6","Irregularmente","3 h","Examenes;Proyectos"
"2023/04/28 9:12:29 p. m. GMT-5","Masculino","17","7","18.8","7","Buena","Medio","2","Irregularmente","menos de 30 min","Proyectos;Trabajos grupales"
"2023/04/28 10:19:30 p. m. GMT-5","Masculino","90","5","13","7","Regular","Alto","3","Irregularmente","menos de 30 min","Examenes"
"2023/04/29 12:56:06 a. m. GMT-5","Masculino","18","4","16","7","Buena","Medio","2","Nunca","1 h","Examenes"
"2023/04/29 10:17:37 a. m. GMT-5","Femenino","17","7","14.5","8","Buena","Medio","2","Nunca","1 h","Proyectos;Trabajos grupales"
"2023/04/29 11:25:19 a. m. GMT-5","Masculino","18","5","14.65","5","Mala","Medio","2","Irregularmente","menos de 30 min","Examenes"
"2023/04/29 12:15:04 p. m. GMT-5","Femenino","19","6","16.2","6","Regular","Alto","4","Irregularmente","menos de 30 min","Examenes"
"2023/04/29 12:29:09 p. m. GMT-5","Masculino","18","6","15.47","7","Regular","Medio","1","Irregularmente","1 h","Test"
"2023/04/29 7:29:56 p. m. GMT-5","Masculino","18","7","14","7","Buena","Medio","1","Nunca","menos de 30 min","Proyectos"
"2023/04/30 12:41:45 a. m. GMT-5","Femenino","20","6","16.4","3","Pésima","Medio","4","Regularmente","1 h","Trabajos grupales"
"2023/04/30 12:55:52 a. m. GMT-5","Masculino","18","7","16.9","5","Mala","Alto","2","Nunca","1 h","Proyectos;Trabajos grupales"
"2023/04/30 4:59:17 p. m. GMT-5","Masculino","19","4","15","8","Regular","Medio","3","Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/01 9:05:33 p. m. GMT-5","Masculino","18","5","19","5","Regular","Medio","4","Nunca","1h y media","Proyectos;Trabajos grupales"
"2023/05/01 10:33:55 p. m. GMT-5","Femenino","17","6","13.2","5","Buena","Medio","5","Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/01 11:01:33 p. m. GMT-5","Masculino","20","5","16.2","7","Excelente","Medio","6","Nunca","1 h","Examenes;Test;Proyectos"
"2023/05/01 11:19:20 p. m. GMT-5","Masculino","16","5","14.2","8","Pésima","Alto","5","Regularmente","2 h","Tareas;Proyectos;Trabajos grupales"
"2023/05/02 8:08:30 a. m. GMT-5","Masculino","18","7","16","9","Mala","Alto","4","Irregularmente","2 h y media","Examenes;Test"
"2023/05/02 8:09:33 a. m. GMT-5","Masculino","20","7","17","7","Pésima","Alto","4","Medianamente","3 h","Examenes;Test;Tareas"
"2023/05/02 8:10:48 a. m. GMT-5","Femenino","19","7","14","6","Mala","Medio","2","Medianamente","2 h","Examenes;Test;Proyectos"
"2023/05/02 8:11:37 a. m. GMT-5","Femenino","17","7","12","6","Regular","Alto","5","Irregularmente","2 h y media","Examenes;Tareas;Proyectos"
"2023/05/02 8:12:24 a. m. GMT-5","Masculino","20","8","15","7","Mala","Medio","4","Medianamente","3 h","Examenes;Trabajos grupales"
"2023/05/02 8:13:08 a. m. GMT-5","Femenino","18","7","19","7","Regular","Medio","5","Medianamente","3 h","Examenes;Test;Trabajos grupales"
"2023/05/02 8:14:26 a. m. GMT-5","Femenino","20","6","12","6","Pésima","Alto","4","Irregularmente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:15:02 a. m. GMT-5","Masculino","20","8","13","9","Pésima","Alto","2","Nunca","1 h","Examenes;Test;Trabajos grupales"
"2023/05/02 8:15:57 a. m. GMT-5","Femenino","19","7","18","5","Pésima","Bajo","4","Irregularmente","más de 3 h","Examenes;Trabajos grupales"
"2023/05/02 8:16:42 a. m. GMT-5","Masculino","20","8","12","6","Pésima","Medio","4","Nunca","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:17:22 a. m. GMT-5","Prefiero no decirlo","20","5","14.5","5","Pésima","Medio","4","Regularmente","2 h","Examenes;Trabajos grupales"
"2023/05/02 8:17:57 a. m. GMT-5","Masculino","17","7","13","9","Mala","Alto","4","Irregularmente","2 h y media","Examenes;Trabajos grupales"
"2023/05/02 8:18:44 a. m. GMT-5","Masculino","19","5","15.3","6","Regular","Alto","2","Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:19:37 a. m. GMT-5","Masculino","19","5","12.3","4","Pésima","Alto","6","Irregularmente","1h y media","Test;Proyectos;Trabajos grupales"
"2023/05/02 8:20:08 a. m. GMT-5","Femenino","18","7","17","8","Buena","Medio","4","Medianamente","1h y media","Test;Trabajos grupales"
"2023/05/02 8:20:47 a. m. GMT-5","Femenino","18","5","16.5","6","Pésima","Alto","4","Regularmente","más de 3 h","Examenes;Trabajos grupales"
"2023/05/02 8:22:19 a. m. GMT-5","Femenino","18","7","11","6","Pésima","Alto","5","Nunca","1 h","Examenes;Trabajos grupales"
"2023/05/02 8:22:54 a. m. GMT-5","Masculino","18","7","17.5","5","Buena","Medio","0","Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:23:00 a. m. GMT-5","Prefiero no decirlo","20","6","11","5","Pésima","Alto","5","Regularmente","2 h y media","Examenes;Trabajos grupales"
"2023/05/02 8:23:41 a. m. GMT-5","Masculino","17","5","15","6","Regular","Medio","2","Irregularmente","1 h","Examenes;Test;Tareas"
"2023/05/02 8:23:43 a. m. GMT-5","Femenino","20","7","11.5","6","Pésima","Alto","5","Regularmente","3 h","Examenes;Trabajos grupales"
"2023/05/02 8:24:27 a. m. GMT-5","Femenino","18","6","12","5","Mala","Medio","2","Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"2023/05/02 8:25:08 a. m. GMT-5","Masculino","18","7","12.3","5","Pésima","Medio","3","Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"2023/05/02 8:25:41 a. m. GMT-5","Femenino","17","7","11.4","6","Pésima","Medio","2","Irregularmente","1h y media","Examenes;Proyectos"
"2023/05/02 8:26:19 a. m. GMT-5","Prefiero no decirlo","19","7","13.5","6","Regular","Alto","4","Medianamente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:26:56 a. m. GMT-5","Masculino","18","7","14","6","Mala","Medio","3","Regularmente","1h y media","Examenes;Test"
"2023/05/02 8:27:34 a. m. GMT-5","Femenino","19","5","15","5","Regular","Medio","3","Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:27:43 a. m. GMT-5","Masculino","17","7","12.3","6","Mala","Alto","2","Irregularmente","1h y media","Examenes;Test"
"2023/05/02 8:29:28 a. m. GMT-5","Prefiero no decirlo","18","6","12.2","6","Mala","Medio","3","Medianamente","2 h","Proyectos;Trabajos grupales"
"2023/05/02 8:30:08 a. m. GMT-5","Masculino","17","7","14.2","5","Pésima","Alto","2","Medianamente","2 h","Examenes;Trabajos grupales"
"2023/05/02 8:30:57 a. m. GMT-5","Femenino","19","7","13.1","5","Pésima","Alto","1","Irregularmente","1h y media","Examenes;Tareas"
"2023/05/02 8:31:05 a. m. GMT-5","Femenino","20","5","14.3","4","Mala","Alto","2","Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"2023/05/02 8:32:15 a. m. GMT-5","Femenino","16","7","13.4","5","Mala","Alto","3","Medianamente","2 h y media","Examenes;Test"
"2023/05/02 8:33:32 a. m. GMT-5","Femenino","18","7","12.4","5","Regular","Medio","2","Medianamente","1h y media","Examenes"
"2023/05/02 8:34:17 a. m. GMT-5","Prefiero no decirlo","19","7","14.2","5","Regular","Alto","2","Medianamente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:34:55 a. m. GMT-5","Masculino","19","5","13.5","6","Pésima","Alto","2","Medianamente","1h y media","Examenes"
"2023/05/02 8:35:37 a. m. GMT-5","Femenino","20","7","11","5","Pésima","Alto","2","Medianamente","1h y media","Test;Trabajos grupales"
"2023/05/02 8:35:51 a. m. GMT-5","Femenino","17","5","18.5","6","Excelente","Medio","2","Nunca","1h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:36:47 a. m. GMT-5","Masculino","18","6","12.4","6","Mala","Alto","4","Regularmente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:37:25 a. m. GMT-5","Femenino","19","7","11.3","7","Regular","Alto","2","Regularmente","1h y media","Examenes"
"2023/05/02 8:38:05 a. m. GMT-5","Masculino","19","7","12.2","6","Mala","Alto","3","Irregularmente","1h y media","Examenes;Tareas"
"2023/05/02 8:38:50 a. m. GMT-5","Masculino","19","6","12.1","7","Mala","Medio","2","Medianamente","2 h","Examenes;Test;Tareas"
"2023/05/02 8:39:58 a. m. GMT-5","Masculino","17","5","13.2","6","Regular","Bajo","1","Irregularmente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:39:59 a. m. GMT-5","Femenino","20","7","13","6","Mala","Alto","3","Medianamente","1h y media","Examenes;Tareas"
"2023/05/02 8:41:15 a. m. GMT-5","Masculino","18","7","11.4","6","Regular","Medio","2","Irregularmente","2 h y media","Examenes;Tareas"
"2023/05/02 8:42:01 a. m. GMT-5","Femenino","17","8","12","7","Regular","Medio","4","Medianamente","1h y media","Examenes;Test;Tareas"
"2023/05/02 8:42:15 a. m. GMT-5","Prefiero no decirlo","18","5","12.6","4","Mala","Medio","6","Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:43:14 a. m. GMT-5","Masculino","19","6","11.6","6","Mala","Alto","3","Medianamente","1h y media","Examenes;Tareas"
"2023/05/02 8:44:01 a. m. GMT-5","Femenino","19","7","11.2","6","Regular","Alto","3","Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"2023/05/02 8:44:49 a. m. GMT-5","Masculino","19","7","13.4","5","Mala","Medio","3","Medianamente","1h y media","Examenes;Test"
"2023/05/02 8:45:39 a. m. GMT-5","Prefiero no decirlo","19","5","14.3","6","Buena","Medio","3","Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:45:42 a. m. GMT-5","Masculino","19","7","12.6","6","Regular","Medio","4","Medianamente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:46:39 a. m. GMT-5","Femenino","19","7","12.2","5","Mala","Medio","3","Medianamente","1h y media","Examenes;Test;Tareas"
"2023/05/02 8:46:59 a. m. GMT-5","Masculino","19","6","11.6","3","Mala","Alto","4","Irregularmente","1h y media","Proyectos;Trabajos grupales"
"2023/05/02 8:47:25 a. m. GMT-5","Femenino","18","7","11.4","7","Mala","Medio","2","Medianamente","1 h","Examenes;Test"
"2023/05/02 8:47:57 a. m. GMT-5","Femenino","19","7","14","6","Mala","Medio","3","Medianamente","2 h","Examenes;Test;Tareas"
"2023/05/02 8:48:48 a. m. GMT-5","Femenino","19","7","12.6","6","Mala","Alto","3","Medianamente","1h y media","Examenes"
"2023/05/02 8:49:46 a. m. GMT-5","Femenino","19","7","12.4","6","Mala","Alto","3","Medianamente","2 h y media","Examenes;Tareas;Proyectos"
"2023/05/02 8:50:18 a. m. GMT-5","Masculino","19","5","13.7","2","Regular","Medio","3","Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:50:33 a. m. GMT-5","Masculino","19","7","12.2","6","Mala","Medio","3","Regularmente","1h y media","Examenes;Test"
"2023/05/02 8:51:09 a. m. GMT-5","Masculino","17","4","16.4","5","Regular","Medio","2","Nunca","1h y media","Examenes;Test;Tareas"
"2023/05/02 8:51:35 a. m. GMT-5","Femenino","18","7","12.3","6","Mala","Medio","3","Medianamente","2 h y media","Examenes;Tareas"
"2023/05/02 8:52:14 a. m. GMT-5","Femenino","20","7","12.7","6","Regular","Medio","4","Regularmente","2 h y media","Examenes;Trabajos grupales"
"2023/05/02 8:53:09 a. m. GMT-5","Masculino","17","6","14","6","Mala","Alto","4","Medianamente","1 h","Examenes;Tareas"
"2023/05/02 8:53:46 a. m. GMT-5","Femenino","18","7","12","6","Mala","Alto","3","Medianamente","1h y media","Examenes;Test"
"2023/05/02 8:54:20 a. m. GMT-5","Femenino","19","7","12.5","6","Pésima","Medio","2","Medianamente","1h y media","Examenes;Trabajos grupales"
"2023/05/02 8:55:11 a. m. GMT-5","Femenino","18","7","13.3","6","Regular","Alto","3","Medianamente","2 h y media","Examenes;Proyectos"
"2023/05/02 8:55:46 a. m. GMT-5","Femenino","18","7","11.3","6","Pésima","Medio","3","Medianamente","2 h y media","Examenes;Test;Tareas"
"2023/05/02 8:56:30 a. m. GMT-5","Femenino","18","7","12.5","6","Buena","Medio","3","Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 8:57:11 a. m. GMT-5","Femenino","19","7","14.3","6","Regular","Alto","5","Medianamente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"2023/05/02 11:03:59 a. m. GMT-5","Masculino","18","6","14.6","6","Regular","Medio","4","Irregularmente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"2023/05/04 1:36:30 p. m. GMT-5","Masculino","17","3","13.26","4","Buena","Medio","5","Medianamente","2 h y media","Tareas;Proyectos"
"2023/05/04 1:37:19 p. m. GMT-5","Masculino","20","7","14.4","6","Pésima","Alto","5","Regularmente","menos de 30 min","Examenes;Test;Proyectos"
"2023/05/04 2:39:13 p. m. GMT-5","Prefiero no decirlo","65","8","5.65","22","Pésima","Bajo","vas a caer","Regularmente","más de 3 h","Examenes;Test;Trabajos grupales"
"2023/05/04 8:48:02 p. m. GMT-5","Masculino","19","6","16.4","3","Pésima","Medio","3","Nunca","1h y media","Test;Proyectos"
"2023/05/04 8:48:47 p. m. GMT-5","Masculino","19","6","16.4","3","Pésima","Medio","3","Nunca","1h y media","Test;Proyectos"
"2023/05/04 8:50:24 p. m. GMT-5","Masculino","27","7","trece punto seis de promedio ponderado","ocho horas diarias de sueño","Regular","Medio","3 horas de ocio","Medianamente","menos de 30 min","Examenes"
"2023/05/05 11:55:25 a. m. GMT-5","Masculino","16","8","0.0","6","Excelente","Bajo","6","Regularmente","1 h","Test;Tareas;Proyectos"
"2023/05/22 5:26:37 p. m. GMT-5","Masculino","18","6","15.6","6","Buena","Medio","5","Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
