Marca temporal,Selecciona tu sexo,Edad en años (Ejemplo: 19),¿En qué ciclo de te encuentras?,Indicar cual es el recurso tecnológico que más te ayuda académicamente,Cuantos dispositivos tecnológicos electrónicos dispones para fines de estudio ?,¿En qué ciclo lo adquiriste?,"De esas horas de estudio, ¿cuántas se ven acompañadas de recursos tecnológicos aproximadamente?","En una escala del 1 al 10, ¿Cuánto consideras que incluir recursos tecnológicos es beneficioso para el rendimiento académico?",¿Cuál consideras el grupo de cursos donde mejor aprovechaste los recursos tecnológicos?,De acuerdo con ese grupo ¿cuál consideras el curso donde se puede aprovecha mejor el uso de recursos  tecnológicos? (Todo en mayúscula y el nombre completo),¿Cuántas horas aproximadas dispones de uso de internet diariamente?(libre),Empleas activamente algún recurso de H,¿Aproximadamente cuantas horas le dedicas semanalmente al estudio?,¿Cuál es tu promedio ponderado previo a ese ciclo que?,¿Cuál era tu promedio ponderado posterior al empleo de dicho recurso tecnológico?,¿Empleas activamente aplicaciones de software para el estudio de tus cursos?,Que carrera estudias?,¿Qué tipo de aplicaciones más empleas?,¿Cuántos días estudias por semana?
04/05/2023 10:08:15,Masculino,20,4,No uso activamente recursos tecnologicos con fines académicos,0,1,1,7,"Humanidades, arte y ciencias sociales",Comunicación,3,No,40,17.35,14.35,Sí,Ingeniería Electrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 10:15:04,Masculino,20,4,Tablet,3,1,8,10,Cursos de carrera,DINAMICA Y VIBRACIONES,12,Sí,35,14.34,15.54,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 10:18:20,Masculino,22,4,No uso activamente recursos tecnologicos con fines académicos,7,4,4,9,"Proyectos Interdisciplinarios, tesis y Real life experiences",Pi3,24,No,42,17.54,17.36,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 10:25:42,Femenino,19,4,Laptop,2,1,6,10,"Humanidades, arte y ciencias sociales","EN LOS CURSOS DE NÚMEROS, PORQUE SE PUEDE SACAR PROBLEMAS DEL MISMO LIBRO Y NO NECESITAS ESTAR COPIANDO O IMPRIMIENDO EL PROBLEMA",24,Sí,34,13.53,16.87,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",4
04/05/2023 10:26:18,Femenino,18,4,Laptop,1,2,2,7,"Proyectos Interdisciplinarios, tesis y Real life experiences",PI2,8,Sí,36,14.35,16.96,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",3
04/05/2023 10:29:20,Masculino,20,4,Laptop,3,3,5,9,Cursos de carrera,INTRODUCCIÓN A LA MECÁNICA DE SÓLIDOS,2,Sí,36,14.87,15.95,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 10:31:35,Masculino,20,4,Laptop,2,1,22,10,Cursos de carrera,CURSOS DE CARRERA,8,Sí,35,14.75,14.38,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 10:40:22,Femenino,18,4,Laptop,2,1,8,10,"Cursos de carrera, Ciencias Generales",GEOMETRÍA DESCRIPTIVA,24,Sí,35,13.46,16.84,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 10:41:21,Femenino,20,4,Laptop,3,3,5,10,"Cursos de carrera, Ciencias Generales",Matematicas y fisica,7,Sí,36,14.95,15.78,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 10:51:04,Masculino,22,4,No uso activamente recursos tecnologicos con fines académicos,0,2,5,10,"Humanidades, arte y ciencias sociales",Ciencias generales,24,No,40,17.32,16.26,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 10:53:29,Masculino,20,4,Laptop,2,3,7,7,Ciencias Generales,TERMODINÁMICA,10,Sí,36,14.52,16.35,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 11:05:57,Masculino,20,4,Laptop,2,1,5,8,Ciencias Generales,CALCULO,9,Sí,34,14.34,16.84,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 11:07:10,Masculino,18,4,No uso activamente recursos tecnologicos con fines académicos,20,1,13,7,Ciencias Generales,Programación,60,No,42,17.62,16.48,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
04/05/2023 11:10:31,Femenino,19,4,Laptop,2,1,11,7,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTOS INTERDICIPLINARIO 3,24,Sí,35,13.35,17.24,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 11:11:58,Femenino,20,4,No uso activamente recursos tecnologicos con fines académicos,0,1,3,8,"Cursos de carrera, Ciencias Generales",CURSOS DE CARRERA,8,No,42,17.34,16.45,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 11:18:10,Masculino,19,2,Laptop,2,1,2,7,Ciencias Generales,FUNDAMENTO DE ELECTRICIDAD Y MAGNETISMO,24,Sí,36,14.34,15.96,Sí,Ingeniería Electrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
04/05/2023 11:27:29,Femenino,21,4,Laptop,1,1,10,8,Cursos de carrera,INVESTIGACIÓN DE OPERACIONES I,15,Sí,34,13.75,14.68,Sí,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 11:29:36,Masculino,20,7,Laptop,3,5,5,7,"Humanidades, arte y ciencias sociales",.,8,Sí,36,14.65,16.45,Sí,Ingeniría de la Energía,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 11:31:23,Masculino,20,7,No uso activamente recursos tecnologicos con fines académicos,0,1,3,8,Cursos de carrera,PROYECTO FINAL DE CARRERA 1,24,No,41,17.45,16.53,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",4
04/05/2023 11:38:02,Femenino,20,4,Laptop,2,1,7,8,Ciencias Generales,Estadística y Probabilidades,24,Sí,36,14.37,15.86,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
04/05/2023 11:42:44,Masculino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,2,4,7,"Cursos de carrera, Ciencias Generales",PROGRAMACION,4,No,42,17.38,11.13,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
04/05/2023 11:46:03,Femenino,18,3,Tablet,3,1,13,9,Ciencias Generales,Programacion,9,Sí,36,14.74,12.56,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 11:55:25,Femenino,20,2,No uso activamente recursos tecnologicos con fines académicos,13,2,10,9,Ciencias Generales,"CÁLCULO DE UNA VARIABLE, CÁLCULO VECTORIAL, PROGRAMACIÓN, INTRODUCCIÓN A LA MECÁNICA, COMUNICACIÓN Y CIENCIA DE LOS MATERIALES.",8,No,42,16.54,16.35,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 12:09:22,Masculino,20,4,Laptop,4,1,10,10,Cursos de carrera,PROGRAMACIÓN 2,2,Sí,32,13.53,16.83,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 12:49:48,Masculino,21,6,Laptop,3,2,8,9,Cursos de carrera,CIRCUITOS DIGITALES,24,Sí,36,14.35,16.75,Sí,Ingeniería Mecatrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 12:56:10,Masculino,20,5,No uso activamente recursos tecnologicos con fines académicos,0,4,4,8,Cursos de carrera,Programación y Estadística,3,No,42,18.87,16.42,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
04/05/2023 13:02:16,Masculino,20,4,Computadora,2,2,4,10,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTOS INTERDISCIPLINARIOS 1 Y 2,8,Sí,32,14.75,16.28,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 16:59:48,Masculino,19,5,Tablet,9,1,2,7,"Humanidades, arte y ciencias sociales",HUMANIDADES,5,Sí,33,14.36,15.84,"Sí, pero no activamente",Ingeniería Mecatrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",1
04/05/2023 17:18:32,Masculino,19,5,Laptop,2,1,2,8,Cursos de carrera,Termodinámica y electroneumática,5,Sí,33,14.95,15.34,Sí,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",3
04/05/2023 19:23:36,Masculino,19,3,Laptop,15,1,17,5,Ciencias Generales,CÁLCULO VECTORIAL,3,Sí,35,13.32,16.35,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 20:00:05,Femenino,17,1,Laptop,2,1,10,7,Cursos de carrera,INTRODUCCIÓN A CIENCIA DE DATOS,12,Sí,33,14.52,15.63,Sí,Ciencia de datos,"Lenguajes de programación (Python, C++, etc.)",6
04/05/2023 20:54:34,Masculino,24,5,No uso activamente recursos tecnologicos con fines académicos,0,,8,8,Cursos de carrera,CIRCUITOS ELECTRICOS Y ELECTRONICOS I,4,No,40,17.34,16.56,"Sí, pero no activamente",Ingeniería Mecatrónica,Ninguno,6
04/05/2023 21:50:54,Masculino,18,4,Laptop,4,3,5,9,Cursos de carrera,Estática,10,Sí,5,14.62,16.23,"Sí, pero no activamente",Ingeniería Mecatrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 0:31:29,Femenino,21,4,Laptop,3,1,12,8,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTO INTERDISCIPLINARIO II,24,Sí,12,14.35,17.38,Sí,Ingeniería Mecatrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",4
05/05/2023 0:56:22,Femenino,20,4,Laptop,2,1,4,8,Ciencias Generales,INTRODUCCIÓN A LA MECÁNICA,16,Sí,34,14.34,15.87,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",2
05/05/2023 9:28:57,Masculino,17,2,Laptop,11,1,4,10,Ciencias Generales,Calculo,6,Sí,33,15.34,13.34,Sí,Ingeniería Mecatrónica,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 9:32:19,Masculino,18,2,Laptop,2,1,6,9,"Humanidades, arte y ciencias sociales, Cursos de carrera, Ciencias Generales, Proyectos Interdisciplinarios, tesis y Real life experiences",CURSO DE CARRERA,24,Sí,35,13.75,14.62,Sí,Ingeniería Mecatrónica,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 9:45:02,Masculino,19,6,Celular,3,1,5,10,Cursos de carrera,Imagen y Marca,5,Sí,33,14.65,13.69,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",2
05/05/2023 9:46:48,Masculino,20,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,10,Cursos de carrera,GEOLOGÍA GENERAL,24,No,43,16.45,16.41,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 20:04:44,Femenino,19,4,Laptop,3,1,7,9,Ciencias Generales,PROGRAMACIÓN,3,Sí,35,14.37,15.94,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 9:58:59,Masculino,21,5,Laptop,3,1,6,8,Cursos de carrera,INTRODUCCIÓN A LA MECÁNICA,10,Sí,36,14.38,15.39,"Sí, pero no activamente",Ingeniería Mecatrónica,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 11:00:12,Masculino,19,4,Laptop,4,1,6,9,Ciencias Generales,PROGRAMACIÓN 2,7,Sí,40,17.75,16.74,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 11:01:01,Masculino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,2,,3,"Humanidades, arte y ciencias sociales",Humanidades,4,No,38,15.54,16.29,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 11:02:39,Masculino,19,5,Laptop,2,4,10,8,"Humanidades, arte y ciencias sociales",Economía y gobernanzas,24,Sí,36,16.53,15.94,"Sí, pero no activamente",Ingenieria Química,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 11:45:18,Femenino,20,2,Laptop,3,1,8,8,Ciencias Generales,CIENCIAS GENERALES,24,Sí,35,15.35,16.37,"Sí, pero no activamente",Ingeniería Ambiental,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 12:57:36,Femenino,21,4,Laptop,3,1,17,10,Cursos de carrera,Fundamento de operaciones y Gestión de costos,24,Sí,36,15.87,16.34,Sí,Ingeniería Industrial,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 13:22:36,Femenino,19,4,Laptop,2,1,6,5,Cursos de carrera,BIOLOGIA PARA INGENIEROS,5,Sí,33,13.75,15.25,"Sí, pero no activamente",Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 13:23:12,Masculino,20,5,Laptop,2,1,8,9,Ciencias Generales,Programación,24,Sí,33,14.36,15.86,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 13:30:44,Femenino,17,1,Laptop,3,1,8,10,Ciencias Generales,CIENCIAS GENERALES,24,Sí,36,16.95,17.45,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 13:30:53,Masculino,17,1,Celular,21,1,12,1,Cursos de carrera,12,12,Sí,35,14.32,18.82,Sí,Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 13:33:46,Femenino,18,3,Laptop,4,1,8,9,Ciencias Generales,CIENCIAS GENERALES,24,Sí,36,14.52,15.02,"Sí, pero no activamente",Ingeniería Mecatrónica,"Lenguajes de programación (Python, C++, etc.)",3
05/05/2023 13:34:06,Masculino,17,1,Laptop,2,1,4,8,Ciencias Generales,CÁLCULO 1,15,Sí,36,15.34,15.84,Sí,Ingeniería Industrial,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",7
05/05/2023 13:34:39,Femenino,17,3,Laptop,2,1,6,8,Cursos de carrera,QUIMICA APLICADA,24,Sí,33,14.62,15.12,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 13:34:40,Masculino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,2,6,9,Ciencias Generales,CIENCIA DE LOS MATERIALES,12,No,38,17.35,18.85,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 13:35:28,Femenino,18,3,Celular,2,1,4,8,"Humanidades, arte y ciencias sociales",HUMANIDADES,24,Sí,33,14.34,15.74,"Sí, pero no activamente",Bioingeniería,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
05/05/2023 13:36:09,Masculino,17,1,Laptop,2,1,2,8,Ciencias Generales,Cálculo,8,Sí,33,14.94,15.74,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 13:37:02,Femenino,22,9,No uso activamente recursos tecnologicos con fines académicos,-5,2,8,8,"Proyectos Interdisciplinarios, tesis y Real life experiences",Tesis,6,No,43,18.25,14.15,Sí,Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 13:38:11,Masculino,16,1,Laptop,2,1,2,8,"Proyectos Interdisciplinarios, tesis y Real life experiences",PROYECTOS INTERDICIPLINARIOS,5,Sí,31,14.65,15.05,Sí,Ingeniería Mecánica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",3
05/05/2023 13:38:32,Masculino,18,1,No uso activamente recursos tecnologicos con fines académicos,0,2,5,7,Cursos de carrera,Cálculo,17,No,42,18.45,16.85,No,Ingeniería Mecánica,"Aplicaciones de texto (word, outlook, etc.)",6
05/05/2023 13:38:40,Masculino,17,1,Laptop,2,1,10,8,Cursos de carrera,CURSOS DE CARRERA,24,Sí,33,12.37,16.17,"Sí, pero no activamente",Ingeniería Mecánica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
05/05/2023 13:39:29,Masculino,20,7,Laptop,2,4,15,10,Ciencias Generales,Termodinámica,70,Sí,35,14.38,15.18,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 13:43:13,Masculino,17,1,Laptop,2,1,8,10,Cursos de carrera,INTRODUCCIÓN A CS,16,Sí,35,16.75,17.55,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",8
05/05/2023 13:47:04,Masculino,19,4,Laptop,3,2,15,10,Ciencias Generales,PROGRAMACIÓN II,168,Sí,34,12.74,13.54,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
05/05/2023 13:47:06,Femenino,22,7,Laptop,15,1,8,10,Cursos de carrera,Mate2,16,Sí,35,13.35,17.15,Sí,Ingeniería Industrial,"Aplicaciones de organización (Google calendar, calendario, etc.)",7
05/05/2023 13:47:46,Femenino,19,4,Laptop,3,2,12,7,Ciencias Generales,FUNDAMENTOS DE ELECTRICIDAD Y MAGNETISMO,24,Sí,35,14.39,15.19,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 13:48:26,Masculino,20,5,No uso activamente recursos tecnologicos con fines académicos,0,2,,7,Ciencias Generales,Ciencias,12,No,43,16.34,13.14,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",8
05/05/2023 13:49:29,Femenino,22,4,Laptop,2,1,13,10,Cursos de carrera,CURSOS DE CARRERAS,24,Sí,34,12.37,17.17,Sí,Ingeniería Industrial,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 13:49:40,Femenino,26,4,Laptop,3,1,8,10,Ciencias Generales,Termodinámica,17,Sí,33,12.39,12.79,"Sí, pero no activamente",Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
05/05/2023 13:49:50,Femenino,19,4,Laptop,3,1,6,10,Ciencias Generales,CURSOS GENERALES,10,Sí,36,11.25,11.65,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",5
05/05/2023 13:53:50,Masculino,20,9,Laptop,3,4,4,9,Ciencias Generales,Ciencias Generales,2,Sí,36,10.56,10.96,Sí,Ingeniería Mecánica,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 13:54:56,Femenino,21,8,Laptop,3,6,5,7,"Humanidades, arte y ciencias sociales",DOE,5,Sí,35,10.38,10.58,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",3
05/05/2023 13:56:13,Femenino,22,10,No uso activamente recursos tecnologicos con fines académicos,0,2,6,6,Cursos de carrera,BIOTRANSPORTE,12,No,42,18.36,11.56,"Sí, pero no activamente",Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",8
05/05/2023 13:56:20,Femenino,18,4,Laptop,2,1,8,9,Cursos de carrera,ALGORITMOS Y ESTRUCTURA DE DATOS,24,Sí,35,16.87,17.6,Sí,Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",6
05/05/2023 13:57:13,Masculino,19,4,Laptop,2,1,10,10,Cursos de carrera,CIRCUITOS DIGITALES,24,Sí,35,18.65,18.85,Sí,Ingeniería Mecatrónica,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 13:57:37,Masculino,17,2,Laptop,3,3,3,2,Cursos de carrera,57,15,Sí,36,17.84,18.04,No,Ingeniería Mecatrónica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",4
05/05/2023 13:58:24,Femenino,18,3,Laptop,3,2,9,8," Proyectos Interdisciplinarios, tesis y Real life experiences",Pi2,9,Sí,34,10.65,10.85,Sí,Ingeniería Mecánica,"Lenguajes de programación (Python, C++, etc.)",7
05/05/2023 13:58:50,Masculino,18,2,Laptop,3,1,11,9,Cursos de carrera,Programacion,6,Sí,35,11.78,11.98,Sí,Ingeniería Electrónica,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 14:00:05,Masculino,22,10,Celular,15,1,2,8,Ciencias Generales,Fisica 2,8,Sí,35,11.54,11.74,Sí,Bioingeniería,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 14:01:06,Masculino,22,2,Celular,2,1,3,9,Cursos de carrera,Cursos de carreras,4,Sí,31,12.56,12.96,Sí,Ingeniería Electrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 14:03:33,Masculino,17,3,Computadora,2,1,4,10,Ciencias Generales,PROGRAMACIÓN II,18,Sí,35,13.78,14.18,"Sí, pero no activamente",Ingeniería Mecatrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",3
05/05/2023 14:04:43,Femenino,20,5,Laptop,5,2,12,5,Cursos de carrera,INVESTIGACIÓN DE OPERACIONES,24,Sí,33,14.21,14.61,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",6
05/05/2023 14:05:07,Masculino,17,1,No uso activamente recursos tecnologicos con fines académicos,0,2,7,10,Cursos de carrera,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,8,No,43,17.75,16.65,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 14:05:18,Femenino,21,5,No uso activamente recursos tecnologicos con fines académicos,0,2,6,9,Ciencias Generales,FUNDAMENTOS DE LA ELECTRICIDAD Y MAGNETISMO,8,No,42,18.74,12.79,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",5
05/05/2023 14:05:41,Femenino,18,3,Laptop,3,1,5,8,Ciencias Generales,PROGRAMACIÓN,6,Sí,34,16.35,16.75,Sí,Ingeniería Mecánica,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",4
05/05/2023 14:05:41,Femenino,17,1,Laptop,3,1,15,9,Ciencias Generales,Cálculo,40,Sí,35,14.39,14.79,Sí,Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",7
05/05/2023 14:05:51,Femenino,17,1,Laptop,3,1,2,10,Ciencias Generales,Programacion,3,Sí,35,12.34,12.74,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",4
05/05/2023 14:08:47,Masculino,21,2,No uso activamente recursos tecnologicos con fines académicos,0,1,4,9,Ciencias Generales,programación,20,No,40,16.37,16.77,"Sí, pero no activamente",Ingeniería Electrónica,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",5
05/05/2023 14:10:23,Femenino,23,3,Laptop,3,2,16,6,Ciencias Generales,CIENCIAS,2345,Sí,34,12.39,12.79,Sí,Ingenieria Química,"Inteligencias Artificiales (ChatGPT, Youchat, etc.)",6
