"","Género","Edad","Ciclo","Carrera","Curso","H.Estudio","Calificación","Peso","Estatura","H.Desayuno","H.Almuerzo","H.Cena","A.Desayuno","A.Almuerzo","A.Cena","Comer","Agua","Académicas","Enfermedad","Dormido","Alimentación","Rendimiento"
"15","F",20,"2","Ing. Industrial",6,4,"3",63,1.65,"6-7am","1:00-2:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc)",45,2.1,"Sí","No","Nunca","5","5"
"16","M",21,"4","Ing. Civil",6,8,"4",54,1.63,"6-7am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",20,2.33,"No","No","En ocasiones","3","4"
"17","F",18,"4","Bioingeniería",6,5,"3",62,1.64,"6-7am","1:00-2:00 PM","No suelo cenar","Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","Café o filtrantes, No suelo cenar",30,1,"Sí","No","En ocasiones","3","3"
"18","M",21,"3","Ing. Civil",4,5,"4",55,1.69,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc)",30,1.5,"Sí","Sí","Nunca","3","3"
"19","F",22,"7","Ing. Industrial",4,2,"4",84,1.72,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",30,1.5,"Sí","Sí","En ocasiones","3","3"
"20","F",18,"1","Administración y Negocios Digitales",7,5,"3",65,1.55,"6-7am","1:00-2:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en pastas (tallarines)","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",40,2,"Sí","No","Nunca","4","3"
"21","M",21,"9","Ing. de la Energía",3,8,"4",60,1.6,"No suelo desayunar","1:00-2:00 PM","8:00-9:00 PM","Pastas(tallarines, macarrones), Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en frituras","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)",40,1,"Sí","No","Con frecuencia","4","2"
"22","F",18,"2","Ing. Ambiental",5,4,"5",47,1.5,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Café o filtrantes",40,2,"Sí","No","En ocasiones","4","2"
"23","M",18,"2","Ing. Industrial",6,3.5,"3",48,1.58,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en ensaladas","Pastas(tallarines, macarrones), Verduras, frutas, Café o filtrantes",35,0.75,"Sí","No","En ocasiones","4","3"
"24","M",18,"2","Ing. Industrial",6,10,"4",65,1.7,"6-7am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Sopas, Lácteos (Yogurt, leche, queso)",60,2.5,"Sí","No","En ocasiones","4","5"
"25","M",18,"2","Ing. Industrial",6,8,"3",63.5,1.67,"5-6am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes",18,1,"Sí","No","En ocasiones","4","4"
"26","M",19,"2","Ing. Industrial",7,5,"4",62,1.68,"7-8am","12:00-1:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en ensaladas","Cereales (arroz, pan, cebada, avena, etc)",15,2,"Sí","No","En ocasiones","3","2"
"27","M",20,"2","Ing. Industrial",7,4,"3",47,1.54,"9-10am","2:00-3:00 PM","10:00 a más","Carnes, huevos o embutidos, Café o filtrantes","Alimentos basados en menestras","Verduras, frutas",30,1,"Sí","No","En ocasiones","3","3"
"28","F",20,"2","Bioingeniería",7,2,"4",41,1.56,"5-6am","11:00-12:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",40,1,"Sí","No","En ocasiones","4","2"
"29","F",19,"2","Ing. Ambiental",6,6,"3",55,1.5,"6-7am","12:00-1:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",30,1.25,"Sí","Sí","En ocasiones","4","4"
"30","F",20,"2","Ing. Civil",7,6,"4",57,1.57,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Sopas, Café o filtrantes",40,1.5,"Sí","No","En ocasiones","3","4"
"31","F",17,"2","Ing. Industrial",7,4,"4",73,1.65,"7-8am","2:00-3:00 PM","No suelo cenar","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",60,3,"Sí","Sí","Nunca","4","3"
"32","M",18,"2","Ciencias de la Computación",5,10,"3",70,1.72,"6-7am","2:00-3:00 PM","7:00-8:00 PM","Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Verduras, frutas",20,2,"Sí","Sí","Nunca","3","3"
"33","F",20,"7","Ing. Industrial",6,3,"4",63,1.68,"8-9am","12:00-1:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en ensaladas","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas",20,1.5,"Sí","No","Nunca","4","2"
"34","M",20,"4","Ing. Civil",6,7,"4",65.7,1.72,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Sopas",40,2,"Sí","No","Nunca","3","2"
"35","M",18,"3","Ing. Industrial",5,4,"3",80,1.75,"6-7am","2:00-3:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes",20,1.25,"Sí","No","En ocasiones","4","3"
"36","F",20,"3","Ing. Mecánica",5,5,"2",60,1.55,"9-10am","1:00-2:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",30,1,"No","No","Nunca","5","2"
"37","M",18,"4","Ing. Ambiental",8,7,"4",54,1.64,"5-6am","1:00-2:00 PM","10:00 a más","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Sopas",30,3,"Sí","No","En ocasiones","4","3"
"38","M",18,"4","Ing. Ambiental",8,7,"4",54,1.63,"5-6am","1:00-2:00 PM","10:00 a más","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Sopas",30,3,"Sí","No","En ocasiones","4","3"
"39","M",17,"2","Ing. Mecatrónica",7,5,"5",65,1.65,"7-8am","12:00-1:00 PM","10:00 a más","Lácteos (Yogurt, leche, queso)","Alimentos basados en pastas (tallarines)","Sopas",60,3,"Sí","Sí","Nunca","2","3"
"40","M",18,"3","Ing. Industrial",6,4,"3",71,1.73,"7-8am","3:00 a más","No suelo cenar","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Lácteos (Yogurt, leche, queso), No suelo cenar",30,2.5,"Sí","No","Nunca","4","1"
"41","F",20,"4","Ing. Industrial",5,7,"3",57,1.6,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",30,2,"Sí","Sí","En ocasiones","3","3"
"42","F",19,"2","Ing. Industrial",6,3,"4",63,1.62,"6-7am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Lácteos (Yogurt, leche, queso)",30,1.5,"Sí","No","Nunca","3","3"
"43","F",18,"2","Ing. Civil",6,4.5,"3",65,1.61,"10-11am","3:00 a más","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",45,2,"Sí","No","En ocasiones","2","2"
"44","F",21,"2","Ing. Ambiental",6,5,"3",48,1.45,"7-8am","12:00-1:00 PM","No suelo cenar","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","No suelo cenar",60,1,"Sí","No","Con frecuencia","3","3"
"45","M",18,"2","Bioingeniería",7,5,"3",59,1.55,"No suelo desayunar","2:00-3:00 PM","10:00 a más","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",20,2,"Sí","Sí","En ocasiones","3","4"
"46","F",18,"2","Ing. Industrial",6,6,"3",50,1.5,"9-10am","3:00 a más","10:00 a más","Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en frituras","Lácteos (Yogurt, leche, queso)",30,2,"Sí","No","Nunca","3","2"
"47","M",22,"2","Ciencias de la Computación",5,4,"3",78.5,1.73,"7-8am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","No suelo cenar",40,1.5,"Sí","Sí","En ocasiones","3","3"
"48","F",18,"3","Bioingeniería",5,2,"3",70,1.7,"8-9am","1:00-2:00 PM","No suelo cenar","Verduras, frutas, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",60,1.5,"Sí","Sí","Nunca","4","3"
"49","M",18,"3","Ciencias de Datos",6,5,"4",55.3,1.68,"6-7am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Pastas(tallarines, macarrones), Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",30,0.5,"Sí","No","Nunca","4","1"
"50","F",18,"3","Ing. Industrial",6,3,"3",52,1.42,"8-9am","2:00-3:00 PM","10:00 a más","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",60,1,"Sí","No","En ocasiones","3","4"
"51","F",22,"6","Ing. Mecánica",5,3,"4",50.2,1.66,"9-10am","2:00-3:00 PM","8:00-9:00 PM","Verduras, frutas, Café o filtrantes","Alimentos basados en guisos","Sopas",40,1,"Sí","No","En ocasiones","3","3"
"52","M",18,"4","Ing. Mecatrónica",4,5,"3",70,1.7,"6-7am","1:00-2:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones)","Alimentos basados en frituras","Lácteos (Yogurt, leche, queso)",32,1.25,"Sí","Sí","En ocasiones","4","4"
"53","M",19,"3","Ing. Química",5,6,"4",78,1.76,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Sopas","Alimentos basados en menestras","Sopas",24,3,"Sí","Sí","En ocasiones","4","4"
"54","M",18,"3","Bioingeniería",5,2,"3",62,1.76,"6-7am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc)",60,2,"Sí","No","En ocasiones","4","2"
"55","F",22,"4","Ing. Electrónica",6,7,"4",65,1.59,"9-10am","3:00 a más","8:00-9:00 PM","Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Sopas",21,1.25,"Sí","No","Nunca","4","4"
"56","M",21,"5","Ing. Electrónica",5,8,"3",76,1.78,"8-9am","12:00-1:00 PM","9:00-10:00 PM","Sopas","Alimentos basados en frituras","Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",24,1,"Sí","Sí","En ocasiones","4","4"
"57","M",23,"4","Ing. de la Energía",4,7,"4",78,1.89,"8-9am","12:00-1:00 PM","9:00-10:00 PM","Verduras, frutas","Alimentos basados en frituras","Cereales (arroz, pan, cebada, avena, etc), Sopas",25,3,"No","No","Nunca","4","4"
"58","M",21,"4","Ciencias de la Computación",5,6,"4",60,1.7,"9-10am","3:00 a más","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.)",25,3,"Sí","Sí","Nunca","4","4"
"59","M",19,"5","Ing. Civil",4,6,"4",69,1.68,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Sopas","Alimentos basados en guisos","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)",35,3,"Sí","Sí","Nunca","4","4"
"60","F",20,"6","Ing. Mecánica",4,5.5,"3",50.4,1.64,"7-8am","12:00-1:00 PM","10:00 a más","Carnes, huevos o embutidos, Verduras, frutas, Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","No suelo cenar",45,1.7,"No","No","En ocasiones","3","1"
"61","F",19,"4","Ing. Química",4,7,"4",70,1.69,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",24,3,"Sí","No","En ocasiones","4","5"
"62","M",21,"4","Ciencias de la Computación",4,7,"4",70,1.69,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Pastas(tallarines, macarrones), Verduras, frutas",25,3,"Sí","Sí","Nunca","4","4"
"63","M",19,"4","Ing. Química",4,7,"4",74,1.79,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Sopas, Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en menestras","Lácteos (Yogurt, leche, queso), Café o filtrantes",25,3,"Sí","No","Nunca","4","4"
"64","M",19,"4","Ing. Mecánica",5,4,"2",61,1.76,"7-8am","2:00-3:00 PM","8:00-9:00 PM","Sopas, Café o filtrantes","Alimentos basados en frituras","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",20,1.5,"Sí","No","Con frecuencia","2","3"
"65","F",19,"5","Ing. Química",4,8,"4",80,1.79,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones), Café o filtrantes","Alimentos basados en guisos","Verduras, frutas, Café o filtrantes",25,3,"Sí","No","Nunca","5","5"
"66","F",22,"4","Ing. Química",4,6,"4",70,1.78,"7-8am","2:00-3:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Pastas(tallarines, macarrones)","Alimentos basados en frituras","Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",25,3,"Sí","Sí","En ocasiones","5","4"
"67","M",21,"4","Ing. Electrónica",5,5,"4",70,1.78,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Verduras, frutas, Sopas",25,3,"Sí","No","Nunca","4","4"
"68","F",19,"4","Ing. de la Energía",5,7,"4",76,1.76,"8-9am","1:00-2:00 PM","10:00 a más","Carnes, huevos o embutidos, Pastas(tallarines, macarrones)","Alimentos basados en menestras","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",25,3,"Sí","No","Nunca","4","5"
"69","F",19,"5","Ing. Química",4,7,"5",75,1.7,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Verduras, frutas","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Sopas",25,3,"No","No","Nunca","5","5"
"70","M",19,"2","Ing. Mecatrónica",6,4,"3",70,1.7,"7-8am","12:00-1:00 PM","8:00-9:00 PM","Café o filtrantes","Alimentos basados en guisos","Lácteos (Yogurt, leche, queso)",30,1,"Sí","No","Nunca","4","3"
"71","M",18,"3","Ciencias de la Computación",6,1,"4",70,1.71,"5-6am","12:00-1:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes",20,1,"Sí","No","Nunca","4","2"
"72","M",19,"4","Ing. Mecánica",4,5,"4",78,1.79,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",20,3,"No","No","Nunca","5","5"
"73","M",18,"2","Ing. Industrial",6,8,"3",70,1.77,"9-10am","2:00-3:00 PM","9:00-10:00 PM","Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en menestras","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",10,1,"Sí","Sí","En ocasiones","3","3"
"74","M",19,"5","Ing. Electrónica",4,6,"4",75,1.7,"7-8am","1:00-2:00 PM","7:00-8:00 PM","Pastas(tallarines, macarrones), Verduras, frutas","Alimentos basados en frituras","Sopas",25,3,"Sí","Sí","Nunca","5","5"
"75","M",19,"5","Ing. Civil",3,6,"4",70,1.75,"8-9am","2:00-3:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Pastas(tallarines, macarrones), Verduras, frutas",24,3,"No","No","En ocasiones","5","4"
"76","M",20,"4","Ing. Civil",6,5.5,"4",60.5,1.72,"9-10am","2:00-3:00 PM","No suelo cenar","Sopas","Alimentos basados en menestras","No suelo cenar",25,1.3,"No","No","En ocasiones","4","3"
"77","M",19,"4","Ing. Ambiental",4,7,"4",80,1.78,"8-9am","1:00-2:00 PM","10:00 a más","Sopas, Lácteos (Yogurt, leche, queso)","Alimentos basados en frituras","Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",24,3,"Sí","Sí","Nunca","5","5"
"78","M",20,"5","Ing. Industrial",5,4,"4",79,1.8,"7-8am","12:00-1:00 PM","7:00-8:00 PM","Verduras, frutas, Café o filtrantes","Alimentos basados en frituras","Cereales (arroz, pan, cebada, avena, etc), Sopas",25,1,"No","No","Nunca","5","5"
"79","F",20,"3","Bioingeniería",5,6,"3",57,1.6,"9-10am","1:00-2:00 PM","No suelo cenar","Verduras, frutas","Alimentos basados en menestras","No suelo cenar",30,1.5,"Sí","Sí","Con frecuencia","3","4"
"80","M",19,"4","Ing. Ambiental",5,5,"4",70,1.7,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Sopas, Lácteos (Yogurt, leche, queso)",25,3,"Sí","Sí","Nunca","4","4"
"81","M",19,"4","Ing. Industrial",5,8,"4",70,1.78,"9-10am","1:00-2:00 PM","8:00-9:00 PM","Sopas","Alimentos basados en guisos","Verduras, frutas",23,1,"No","Sí","Con frecuencia","4","5"
"82","M",20,"2","Ing. Industrial",7,1,"3",70,1.75,"8-9am","2:00-3:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes, No suelo desayunar","Alimentos basados en ensaladas","Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes, No suelo cenar",45,2,"Sí","No","En ocasiones","3","4"
"83","M",20,"3","Ing. Industrial",4,7,"4",68,1.74,"8-9am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Sopas","Alimentos basados en menestras","Pastas(tallarines, macarrones), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",25,3,"Sí","Sí","Nunca","5","5"
"84","M",20,"4","Ing. Electrónica",5,4,"4",60,1.75,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Sopas","Alimentos basados en guisos","Cereales (arroz, pan, cebada, avena, etc)",24,1,"Sí","Sí","En ocasiones","4","5"
