NCursos,Álgebra,Aritmética,Geometría,Trigonometría,Física,Química,Computación,Programación,PromMate,PromCiencias,PromComputación,PromProgramación,HorasSec,DificultadExamen,HorasUtec,CálculoP1,CálculoP2,CálculoP3,ProgramaciónP1,ProgramaciónP2,QuímicaP1,QuímicaP2,QuímicaP3,IntroMecánicaP1,IntroMecánicaP2,IntroMecánicaP3
4,1,1,,1,,1,,,15,16,,,12,4,8,2,4,3,,4,4,4,4,2,2,2
6,1,,1,1,1,1,1,,16,16,15,,4,3,9,3,3,3,,2,4,4,3,3,3,4
6,1,1,1,1,1,1,,,18,17,,,1,3,18,2,5,5,,5,4,5,4,4,5,5
4,1,,1,1,1,,,,15,11,,,6,4,14,2,4,4,,1,2,1,3,4,4,4
6,1,1,1,1,1,1,,,18,17,,,3,4,5,2,5,4,,4,4,3,5,4,2,4
5,1,1,1,1,,1,,,16,15,,,3,3,6,4,5,3,,5,5,5,4,4,3,4
5,1,1,1,1,1,,,,17,11,,,20,3,20,3,4,3,,4,1,1,2,1,2,1
3,1,1,,1,,,,,16,13,,,2,3,5,1,3,3,,3,4,2,2,3,2,2
5,1,1,,,1,1,,,14,15,20,,2,2,4,4,5,4,,5,4,4,4,2,4,4
2,,,1,,,1,,,17,19,,,3,5,6,1,4,3,,4,4,3,4,4,4,4
3,,,1,,1,1,,,15,13,,,5,4,5,3,4,3,,4,4,3,3,3,1,2
7,1,1,1,1,1,1,1,,19,17,,,14,4,18,2,3,2,,4,4,2,4,3,2,2
5,1,,1,1,1,,1,,18,15,17,,20,5,22,4,4,4,,4,3,3,4,4,4,3
6,1,1,1,1,1,1,,,13,15,,,9,4,24,2,3,2,,3,3,3,3,2,2,3
7,1,1,1,1,1,1,1,,14,15,20,,3,4,3,4,3,3,,3,5,4,4,1,2,3
6,1,1,1,1,1,1,,,15,20,,,3,4,6,4,1,3,1,3,4,3,3,3,4,4
6,1,1,1,1,1,1,,,20,20,,,5,1,10,5,5,5,,4,5,5,5,5,5,5
7,1,1,1,1,1,1,1,,19,17,19,,15,2,22,3,3,3,,3,4,3,3,3,3,2
2,1,,,,,1,,,17,18,,,18,4,30,2,4,3,,3,4,3,4,4,3,2
4,1,,,,,1,1,1,15,14,17,13,2,3,3,3,4,2,1,3,3,3,4,3,3,2
4,1,,,,1,1,1,,14,13,20,,28,2,40,4,3,3,,4,5,4,4,4,3,4
7,1,1,1,1,1,1,1,,20,17,19,,22.5,3,22.5,4,5,5,,5,4,4,4,5,4,4
7,1,1,1,1,1,1,1,,19,18,20,,2,4,3,2,4,3,,4,4,4,3,2,3,1
3,,1,1,,,,1,,19,16,13,,26,4,7,3,3,1,,1,2,2,2,1,1,1
6,1,1,1,1,,1,1,,14,14,14,,2,4,4,4,4,3,,3,3,3,3,2,2,2
6,1,1,1,1,1,1,,,17,14,,,28,3,20,2,5,4,,4,4,3,5,5,5,4
6,1,1,1,1,1,1,,,18,17,,,20,3,42,4,5,5,,3,5,4,4,5,4,4
4,1,,1,1,1,,,,19,18,,,5,4,6,4,4,4,,4,4,4,4,4,4,4
6,1,1,1,1,1,1,,,17,13,,,3,2,20,1,5,3,,4,3,4,4,2,1,1
6,1,1,1,1,1,1,,,14,16,,,5,1,7,1,4,5,,5,1,1,2,1,1,1
7,1,1,1,1,1,1,1,,16,13,15,,4,3,3,2,4,3,,4,4,4,2,3,3,4
6,1,1,1,1,1,1,,,14,13,,,21,4,30,4,3,4,,3,4,4,4,1,4,3
4,1,,1,1,1,,,,16,13,,,9,4,10,3,4,4,,3,5,3,3,2,4,4
4,1,1,1,,,1,,,18,13,,,5,3,6,2,3,3,,3,4,3,3,2,3,3
6,1,1,1,1,1,1,,,16,13,,,4,5,4,3,3,3,,3,2,1,4,4,3,3
7,1,1,1,1,1,1,1,,19,18,15,,6,4,4,4,5,4,,3,4,4,5,4,4,4
4,,1,1,1,,1,,,18,18,,,5,4,8,2,3,3,,2,3,3,3,4,2,2
4,,,,1,1,,1,1,20,18,18,17,1.5,4,2.5,3,3,2,1,4,4,4,4,3,2,2
7,1,1,1,1,1,1,1,,19,19,19,,8,3,8,3,5,4,,3,4,4,5,3,4,4
6,1,1,1,1,1,1,,,16,14,17,,2,4,12,3,4,4,,3,4,3,4,4,4,3
7,1,1,1,1,1,1,1,,20,18,18,,2,3,4,2,4,4,,3,4,4,5,4,4,4
7,1,1,1,1,,1,1,1,16,19,19,19,8,3,7,1,4,4,1,2,4,3,4,1,1,1
7,1,1,1,1,1,1,1,,17,19,18,,14,3,28,3,4,3,,4,3,3,3,2,3,3
6,1,1,1,1,1,1,,,17,18,,,3,3,10,2,5,4,,3,5,3,3,3,4,3
6,1,1,1,1,,1,1,,18,16,17,,3,4,7,3,3,2,,4,4,4,4,2,2,1
4,1,1,1,1,,,,,17,13,,,10,3,17,3,4,4,,2,4,4,5,3,4,4
6,1,1,1,1,1,1,,,18,17,,,10,4,12,3,5,5,,4,4,3,5,4,4,5
3,1,,1,,,1,,,13,17,,,6,4,8,4,3,4,,3,5,5,5,4,3,3
6,1,1,1,1,1,1,,,18,20,,,4,3,8,3,3,3,,3,3,3,3,3,3,3
4,1,,1,1,,,1,,20,20,19,,30,2,40,3,1,1,,5,5,1,1,3,4,2
3,,1,1,,,1,,,14,13,,,2,5,4,5,2,2,,3,4,4,4,2,2,3
3,1,1,1,,,,,,19,19,,,4,3,6,3,4,3,,5,5,3,3,5,4,4
5,1,1,1,1,1,,,,19,20,,,28,4,21,3,5,5,,3,3,3,4,5,5,5
6,1,1,1,1,1,1,,,15,16,,,2.5,5,5,3,4,5,,5,4,4,4,2,3,3
7,1,1,1,1,1,1,1,,19,15,20,,3,5,6,1,4,4,,3,5,4,4,1,2,4
4,1,1,,,1,1,,,16,19,,,6,3,6,1,4,4,,4,5,4,4,4,4,4
6,1,1,1,1,1,1,,,18,20,,,6,3,20,4,5,4,,5,4,3,4,4,4,3
5,1,1,1,,,1,1,,13,17,15,,6,3,20,4,4,4,,3,4,4,3,2,2,1
7,1,1,1,1,1,1,1,,20,17,18,,10,3,15,3,4,4,,4,4,4,4,3,3,3
6,1,,1,1,1,1,,,18,19,17,,3,2,15,3,4,3,,3,4,4,4,3,3,3
7,1,1,1,1,1,1,1,,17,19,19,,5,1,7,4,4,3,,5,4,5,4,4,4,4
2,,,,,,1,,,20,19,,,30,4,48,4,4,4,,3,4,3,3,4,3,4
5,1,1,1,1,1,,,,19,20,,,6,3,13,1,4,3,,5,4,3,3,4,3,4
6,1,1,1,1,1,1,1,,15,11,,,3,5,5,5,3,3,,4,4,3,4,4,3,2
7,1,1,1,1,1,1,,,11,14,17,,3,3,28,3,4,3,,3,4,3,3,2,3,3
6,1,1,1,1,1,1,,,15,13,,,10,4,20,4,4,3,,3,3,4,4,3,3,3
7,1,1,1,1,1,1,1,,19,15,20,,4,4,6,3,3,3,,3,4,3,4,3,3,2
5,1,1,1,1,1,,,,19,18,,,3,3,3,5,4,4,,2,4,4,4,3,3,3
6,1,1,1,1,1,1,,,17,18,,,3,3,56,2,5,5,,5,5,3,4,1,3,3
6,1,1,1,1,1,1,,,12,11,,,6,5,7,1,3,1,,1,1,1,2,2,1,1
7,1,1,1,1,1,1,1,,18,13,,,24,3,14,2,4,4,,3,5,4,4,3,3,3
7,1,1,1,1,1,1,1,,14,13,16,,3,4,6,3,5,4,,5,4,4,4,3,3,3
7,1,1,1,1,1,1,1,,15,16,14,,3,2,6,2,3,3,,3,5,4,4,5,5,5
3,1,1,,,,1,,,14,14,,,4,5,10,5,3,3,,2,3,2,3,2,1,2
7,1,1,1,1,1,1,1,,20,15,18,,15,4,30,2,5,4,,5,4,3,3,3,4,4
5,1,1,1,1,,1,,,19,14,13,,3.5,3,8,3,4,4,,4,4,3,2,3,3,2
5,1,,,1,1,1,1,,15,14,15,,6,4,11,3,4,3,,3,3,3,3,2,3,3
1,,1,,,,,,,18,16,,,8,3,15,3,4,4,,4,3,3,4,4,4,3
7,1,1,1,1,1,1,1,,15,16,,,3,4,8,1,2,2,,2,3,2,2,2,2,2
7,1,1,1,1,1,1,1,,17,20,14,,35,4,60,5,5,5,,4,4,4,4,4,4,4
7,1,1,1,1,1,1,1,,19,19,15,,5,4,8,1,1,2,,2,4,3,2,5,5,4
6,1,1,1,1,1,1,,,10,13,,,3,3,2,2,1,1,,1,2,1,1,3,3,3
7,1,1,1,1,1,1,1,,17,17,18,,4,3,28,1,3,3,,3,3,4,4,3,3,2
7,1,1,1,1,1,1,1,,18,18,13,,4,3,10,2,3,4,1,4,3,3,5,3,3,3
7,1,1,1,1,1,1,1,1,15,15,14,16,4,3,22,4,5,5,1,5,5,5,5,5,5,5
3,1,,,,1,,1,,11,14,15,,1,5,4,1,1,1,,2,4,4,2,1,1,1
4,1,1,,,1,1,,,15,19,,,9,3,20,1,4,3,,5,4,3,4,4,4,3
1,1,,,,,,,,17,17,,,2,4,12,5,3,3,,4,1,1,2,1,1,1
4,1,1,1,,1,,,,18,18,,,10,5,12,3,3,4,,5,4,3,3,3,3,4
3,1,,1,,1,,,,16,14,,,5,4,7,1,3,3,,3,3,2,2,4,4,3
