Marca temporal,¿Con qué género te identificas?,¿A qué carrera perteneces?,"¿Cuál fue el último ciclo que cursaste en 2022-II? (Por ejemplo, si ahora estás en 3er ciclo, el último ciclo cursado en 2022-II fue el 2do).",¿Cuántos cursos llevaste el ciclo 2022-1?,¿Cuántos cursos llevaste el ciclo 2022-2?,"¿Cuántas horas de sueño solías tener en el periodo 2022-1? (Si en caso eran 6h y media, colocar: 6.5)","¿Cuántas horas de sueño solías tener en el periodo 2022-2? (Si en caso eran 6h y media, colocar: 6.5)",¿Cuántas horas de clase en promedio tenías al día en el periodo 2022-1?,¿Cuántas horas de clase en promedio tenías al día en el periodo 2022-2?  ,¿Cuál fue tu promedio ponderado en 2022-1?  (Escribir con el punto como separador de la siguiente forma: 15.83),¿Cuál fue tu promedio ponderado en 2022-2?  (Escribir con el punto como separador de la siguiente forma: 15.83),¿Cuántos cursos aprobaste en el periodo 2022-1?,¿cuántos cursos aprobaste en el periodo 2022-2?,"¿Cuántas horas libres en promedio tenías al día en el periodo 2022-1? (Si en caso eran 3h y media, colocar: 3.5)","¿Cuántas horas libres en promedio tenías al día en el periodo 2022-2? (Si en caso eran 3h y media, colocar:  3.5)","En promedio, ¿cuál crees que fue tu nivel de estrés el periodo 2022-1?","En promedio, ¿cuál crees que fue tu nivel de estrés el periodo 2022-2?",¿Qué tanto interés tuviste en recibir asistencia psicológica durante el periodo 2022-2?,¿Tenías conocimiento del programa Salud Mental de Bienestar Estudiantil?,¿Ha utilizado los programas de salud mental de la universidad durante el año 2022?,¿Cuántas veces has asistido a una sesión de terapia mediante los servicios de salud mental de Bienestar Estudiantil?, ¿Cuánto tiempo has tenido que esperar para recibir o agendar una cita? (En días),¿Cuáles crees que son las principales debilidades del servicio?,"Respecto al motivo de tu visita, ¿qué tan apoyado te has sentido después de usar los servicios de psicología?",¿Cual es tu nivel de satisfacción en general con el servicio de psicología de Bienestar Estudiantil? ,¿Recomendarías el programa de Salud Mental a un amigo o conocido que este pasando por una etapa de estrés académico?,¿Por qué no hiciste uso de los servicios de Bienestar Estudiantil?,¿Cuántas sesiones crees que deben de tener los estudiantes como mínimo al mes para conseguir buenos resultados al hacer uso de estos servicios?,¿Cómo preferirías que se realicen las sesiones que pueda organizar el departamento de psicología de Bienestar Estudiantil?,¿Cuáles son los medios por los cuales Bienestar Estudiantil debería difundir información sobre su programa Salud Mental?
26/04/2023 19:52:02,Femenino,INGENIERÍA CIVIL,4rto ciclo,6,6,6,5.5,6,8,13.4,14.30,4,6,4,4.5,Muy alto,Alto,Muy interesado,No,No,,,,,,,No contaba con tiempo,3,Presenciales,"Correo Institucional, Volantes en la universidad"
26/04/2023 20:03:49,Masculino,CIENCIA DE LA COMPUTACIÓN,3er ciclo,3,3,8,7,4,4,12,11,3,3,3,3,Medio,Alto,Poco interesado,No,No,,,,,,,No estaba enterado,2,Presenciales,"Redes sociales, Correo Institucional"
26/04/2023 20:17:16,Masculino,INGENIERÍA CIVIL,3er ciclo,6,6,7,6.5,4,4,17.57,16.75,6,6,3,4,Medio,Medio,Poco interesado,Si,No,,,,,,,"No contaba con tiempo, Miedo y vergüenza",2,Presenciales,"Redes sociales, Correo Institucional"
26/04/2023 23:49:25,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,6,5,6,7,6,14.5,13.07,7,5,2,4,Medio,Muy alto,Poco interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",4 o más,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad, Anuncios del Canvas"
27/04/2023 13:32:23,Otros,INGENIERÍA INDUSTRIAL,4rto ciclo,6,6,9,3,9,3,13,11,6,6,6,6,Bajo,Bajo,Poco interesado,No,No,,,,,,,No contaba con tiempo,2,Virtuales,Correo Institucional
27/04/2023 13:35:16,Masculino,BIOINGENIERÍA,3er ciclo,7,6,7.5,6.5,7,6,15.25,13.86,7,5,2.5,3.5,Medio,Medio,Nada interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",2,Virtuales,"Redes sociales, Correo Institucional, CHARLAS"
27/04/2023 15:20:29,Femenino,INGENIERÍA QUÍMICA,2do ciclo,7,5,6,5,5,4,17.1,15.59,7,5,2,3,Medio,Alto,Muy interesado,Si,No,,,,,,,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad"
27/04/2023 18:15:18,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,5,7,8,6,5,15.23,14.32,7,5,4,3,Alto,Muy alto,Muy interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",3,Presenciales,"Redes sociales, Volantes en la universidad"
27/04/2023 18:23:46,Masculino,CIENCIA DE DATOS,2do ciclo,5,5,6,7,4,4,16.5,16.2,5,5,3,2,Muy alto,Alto,Poco interesado,Si,No,,,,,,,No contaba con tiempo,4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
27/04/2023 18:35:43,Femenino,BIOINGENIERÍA,3er ciclo,7,5,6,4,6,4,11,12.2,4,5,2,4,Alto,Alto,Nada interesado,Si,No,,,,,,,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",4 o más,Presenciales,Volantes en la universidad
27/04/2023 19:58:31,Femenino,INGENIERÍA INDUSTRIAL,2do ciclo,6,6,1,7,6,6,19,18,6,6,0,0,Muy alto,Muy alto,Muy interesado,No,No,,,,,,,No contaba con tiempo,4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad"
27/04/2023 21:38:58,Masculino,CIENCIA DE LA COMPUTACIÓN,2do ciclo,6,6,6,6,6,6,18.35,17.35,6,6,2,1,Alto,Muy alto,Poco interesado,No,No,,,,,,,Miedo y vergüenza,4 o más,Presenciales,"Redes sociales, Correo Institucional"
27/04/2023 22:09:42,Otros,BIOINGENIERÍA,2do ciclo,6,5,4,5,6,7,13.4,14.2,4,5,5,4.5,Alto,Medio,Poco interesado,Si,No,,,,,,,"Malas referencias, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",4 o más,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
28/04/2023 0:28:11,Femenino,BIOINGENIERÍA,2do ciclo,5,6,7,7,4,5,15.46,13.45,6,6,3.5,3.5,Alto,Alto,Poco interesado,Si,Si,3,7,Las agendas de los psicólogos suelen estar llenas,Poco apoyado,3,Si,,3,Virtuales,"Redes sociales, Correo Institucional"
28/04/2023 1:51:28,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,6,7,7,7,6,15.5,16,7,6,4,4,Medio,Medio,Poco interesado,No,No,,,,,,,No estaba enterado,3,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
28/04/2023 14:59:50,Masculino,CIENCIA DE DATOS,2do ciclo,6,4,7.5,6,5,3,12.6,14.8,5,4,3.5,2,Medio,Muy alto,Nada interesado,Si,No,,,,,,,"No estaba enterado, Malas referencias, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito, No sabia ",4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
28/04/2023 16:13:11,Masculino,INGENIERÍA CIVIL,3er ciclo,6,7,5,5,6,7,17,16,6,6,2,2,Alto,Muy alto,Poco interesado,Si,No,,,,,,,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza, Considero que no lo necesito",1,Virtuales,"Redes sociales, Correo Institucional"
28/04/2023 18:21:01,Femenino,INGENIERÍA CIVIL,3er ciclo,6,5,5,4,4,5,14.45,13.35,6,5,2,3,Medio,Medio,Muy interesado,Si,Si,2,2,Las agendas de los psicólogos suelen estar llenas,Muy apoyado,5,Si,,3,Presenciales,Redes sociales
28/04/2023 19:59:09,Femenino,BIOINGENIERÍA,4rto ciclo,5,4,6.5,7.3,4,3,16.11,15.31,5,4,3.1,2.3,Medio,Bajo,Poco interesado,Si,Si,1,10,Las agendas de los psicólogos suelen estar llenas,Apoyado,4,Si,,2,Presenciales,Volantes en la universidad
28/04/2023 20:29:43,Masculino,INGENIERÍA ELECTRÓNICA,3er ciclo,6,6,8,8,8,7,16.13,14.34,5,5,2,3,Alto,Alto,Muy interesado,Si,No,,,,,,,"No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",4 o más,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
28/04/2023 22:31:56,Masculino,INGENIERÍA INDUSTRIAL,3er ciclo,7,7,6,6,5,6,14.35,14.75,6,6,3,3,Muy alto,Alto,Muy interesado,Si,Si,1,2,Las agendas de los psicólogos suelen estar llenas,Apoyado,4,Si,,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
28/04/2023 22:35:51,Masculino,INGENIERÍA MECATRÓNICA,5to ciclo,7,7,6,3,8,9,16.12,15.36,7,7,4,2,Medio,Muy alto,Poco interesado,Si,No,,,,,,,No contaba con tiempo,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
28/04/2023 22:37:25,Otros,INGENIERÍA QUÍMICA,9no ciclo,2,1,6,7,3,2,20,5,2,1,3,5,Bajo,Bajo,Muy interesado,Si,Si,1,4,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas",Apoyado,2,Si,,2,Presenciales,Correo Institucional
28/04/2023 22:38:05,Masculino,INGENIERÍA CIVIL,4rto ciclo,6,7,6,6,9,8,15,15,7,7,3,2,Alto,Medio,Poco interesado,Si,Si,1,2,Las agendas de los psicólogos suelen estar llenas,Apoyado,5,Si,,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
29/04/2023 12:13:34,Femenino,INGENIERÍA INDUSTRIAL,3er ciclo,5,5,7,6,5,5,13,15,3,5,2,2,Medio,Alto,Poco interesado,Si,No,,,,,,,"Malas referencias, No contaba con tiempo, Miedo y vergüenza",2,Presenciales,"Redes sociales, Correo Institucional"
29/04/2023 12:20:04,Masculino,INGENIERÍA ELECTRÓNICA,4rto ciclo,5,5,6,6,6,5,14,14.3,5,4,6,5,Alto,Muy alto,Poco interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo, Miedo y vergüenza",2,Presenciales,"Volantes en la universidad, CHARLAS"
29/04/2023 15:55:22,Masculino,INGENIERÍA INDUSTRIAL,3er ciclo,6,6,7,5,5,5,14.68,16.95,6,6,6,4,Muy alto,Medio,Nada interesado,Si,Si,4 o más,5,Las agendas de los psicólogos suelen estar llenas,Muy apoyado,5,Si,,2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS, Todos los medios posibles para hacer llegar la importancia del programa"
30/04/2023 18:18:36,Femenino,INGENIERÍA CIVIL,4rto ciclo,6,5,6,5,8,5,12.71,13.95,4,4,2,3,Muy alto,Muy alto,Muy interesado,Si,Si,1,1,La página Web “Registra tu cita” tiene problemas,Apoyado,5,Si,,4 o más,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
30/04/2023 18:37:00,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,6,7,7,8,5,15.95,15.47,7,6,1.5,1,Alto,Alto,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,1,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
30/04/2023 18:49:35,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,6,6,5,6,7,14.5,13.07,7,5,2,4,Medio,Muy alto,Poco interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
30/04/2023 18:50:52,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,6,6,5.5,4.5,8,8,13.4,11.4,6,4,3,3,Bajo,Alto,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,4 o más,Presenciales,"Correo Institucional, Volantes en la universidad"
30/04/2023 18:53:30,Masculino,INGENIERÍA CIVIL,4rto ciclo,6,6,4,4,5,6,16,16,6,6,3,3.5,Alto,Muy alto,Poco interesado,No,No,,,,,,,No contaba con tiempo,4 o más,Presenciales,Volantes en la universidad
30/04/2023 20:57:06,Femenino,INGENIERÍA INDUSTRIAL,2do ciclo,7,5,5,6,6,4,13.7,13.55,6,4,4,4,Alto,Medio,Poco interesado,Si,No,,,,,,,No había horarios disponibles acorde a mi tiempo libre,3,Presenciales,"Correo Institucional, CHARLAS"
30/04/2023 21:01:25,Femenino,INGENIERÍA AMBIENTAL,2do ciclo,1,7,8,4,3,6,16,12,1,5,4,1,Medio,Muy alto,Muy interesado,Si,No,,,,,,,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
30/04/2023 21:20:45,Femenino,INGENIERÍA CIVIL,3er ciclo,5,5,6,5,6,6,14,15.8,4,5,2,2,Alto,Alto,Poco interesado,Si,No,,,,,,,"No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",1,Virtuales,"Redes sociales, Volantes en la universidad, CHARLAS"
30/04/2023 21:29:17,Masculino,INGENIERÍA MECÁNICA,6to ciclo,5,5,7,7,6,6,12,12,5,5,4,4,Medio,Medio,Poco interesado,No,No,,,,,,,"No estaba enterado, Considero que no lo necesito",3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad"
30/04/2023 21:37:40,Masculino,BIOINGENIERÍA,2do ciclo,7,7,4,4,7,7,16.05,15.11,7,6,3,3,Alto,Muy alto,Nada interesado,No,No,,,,,,,Miedo y vergüenza,4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
30/04/2023 23:28:52,Masculino,BIOINGENIERÍA,3er ciclo,8,8,4.5,5,9,9,15,14,8,8,1,1,Muy alto,Muy alto,Nada interesado,Si,No,,,,,,,No contaba con tiempo,4 o más,Presenciales,Volantes en la universidad
30/04/2023 23:31:21,Femenino,INGENIERÍA INDUSTRIAL,2do ciclo,7,6,7,6.5,6,6,18.15,17.03,7,6,4.5,3.5,Bajo,Medio,Nada interesado,No,No,,,,,,,No estaba enterado,3,Presenciales,"Redes sociales, Correo Institucional"
1/05/2023 0:14:12,Masculino,INGENIERÍA INDUSTRIAL,2do ciclo,7,5,7,7,5,3,14.39,15.34,7,5,3,5,Alto,Medio,Poco interesado,No,No,,,,,,,No estaba enterado,2,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad"
1/05/2023 0:34:37,Femenino,BIOINGENIERÍA,3er ciclo,5,6,7,4,4,5,14.7,14.2,5,5,3,1,Bajo,Medio,Poco interesado,Si,No,,,,,,,Considero que no lo necesito,1,Virtuales,"Correo Institucional, Volantes en la universidad, CHARLAS"
1/05/2023 1:07:02,Masculino,INGENIERÍA CIVIL,3er ciclo,6,6,7,7,5,6,16.38,14.57,6,6,4,3,Medio,Alto,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,1,Presenciales,"Redes sociales, Correo Institucional"
1/05/2023 9:28:23,Femenino,INGENIERÍA INDUSTRIAL,2do ciclo,7,7,6,5,5,5,16.9,16.9,7,7,2,2,Medio,Medio,Nada interesado,No,No,,,,,,,"No contaba con tiempo, Considero que no lo necesito",2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
1/05/2023 12:45:34,Masculino,INGENIERÍA MECATRÓNICA,2do ciclo,7,6,8,6.6,5,6,18.30,18.75,7,6,6,4,Bajo,Alto,Muy interesado,Si,No,,,,,,,Cometí un error y no se reservo la cita,4 o más,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
1/05/2023 17:57:03,Femenino,BIOINGENIERÍA,3er ciclo,7,7,6,5,9,9,15.1,15.8,7,7,5,5,Muy alto,Muy alto,Muy interesado,Si,Si,4 o más,30,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías",Muy apoyado,5,Si,,2,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
1/05/2023 17:57:10,Masculino,INGENIERÍA ELECTRÓNICA,4rto ciclo,6,6,3.5,4.5,7,7,15.66,16.55,6,6,3.5,4.5,Muy alto,Medio,Poco interesado,Si,No,,,,,,,Considero que no lo necesito,4 o más,Presenciales,"Redes sociales, Correo Institucional"
1/05/2023 17:59:53,Masculino,INGENIERÍA INDUSTRIAL,3er ciclo,6,6,7,8,5,5,16.75,15.74,6,5,1,2,Medio,Medio,Nada interesado,Si,No,,,,,,,"No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",3,Presenciales,"Redes sociales, Correo Institucional"
1/05/2023 18:46:47,Femenino,INGENIERÍA INDUSTRIAL,3er ciclo,6,6,6,5.5,6,6,15.32,15.32,6,6,5,4,Alto,Alto,Poco interesado,No,Si,2,2,Las agendas de los psicólogos suelen estar llenas,Muy apoyado,4,Si,,2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad"
1/05/2023 18:49:16,Femenino,INGENIERÍA MECÁNICA,4rto ciclo,6,6,6.5,7,4,4,15.8,16.75,6,6,4,4,Muy alto,Medio,Poco interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",2,Virtuales,"Redes sociales, Correo Institucional"
1/05/2023 21:49:39,Masculino,CIENCIA DE LA COMPUTACIÓN,2do ciclo,6,6,5.5,4.5,5,5,17.8,18,6,6,4,3,Medio,Alto,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,3,Virtuales,"Redes sociales, Correo Institucional, Charlas"
2/05/2023 10:04:57,Masculino,CIENCIA DE LA COMPUTACIÓN,4rto ciclo,6,5,7,6,6,6,16.33,13.5,6,3,3,3,Bajo,Alto,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad"
