,Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,Gold%,WPM,WCPM,Split
77,Mithy,Origen,Support,10,30,8,32,71,2.5,71.2,20.9,20,79,333,11.1,2.5,7.6,143,8.4,120.2,11.4,1.13,0.25,Spring Playoffs
82,Patrik,Origen,ADC,10,30,27,31,49,2.5,68.5,20.3,20,-67,-430,-5.2,7.6,26.2,446,25,253,24.1,0.47,0.32,Spring Playoffs
86,Rekkles,Fnatic,ADC,11,64,44,17,47,5.4,55.2,12.5,9,13,313,7.8,9.8,31.4,402,22.7,336.8,26.5,0.53,0.5,Spring Playoffs
94,Attila,Vitality,ADC,19,42,61,46,87,3.2,67,16.3,26,179,129,10.1,9.7,33.1,481,26.1,306.1,26.8,0.34,0.39,Summer Regular
104,Crownshot,SK Gaming,ADC,19,37,71,48,90,3.4,71.9,18.5,32,248,-7,4.8,9.9,32.5,564,30.7,312.9,28.4,0.37,0.4,Summer Regular
107,Dreams,SK Gaming,Support,19,37,17,56,144,2.9,71.9,21.6,32,-47,-1,3.9,1.3,4.6,148,7.8,108.8,9.7,1.36,0.21,Summer Regular
114,Hans Sama,Misfits,ADC,12,33,38,26,45,3.2,69.2,14.6,17,-155,-140,-8.7,9.3,30.4,429,26.9,297.4,27.2,0.44,0.24,Summer Regular
120,Hylissang,Fnatic,Support,16,75,26,63,147,2.7,66.8,29.4,50,-121,-126,-2.3,1,3.5,234,11.5,145.3,11.2,1.2,0.3,Summer Regular
121,IgNar,Schalke 04,Support,18,61,22,24,183,8.5,74.5,12.3,28,25,223,-1.8,1.4,5.1,159,8.8,128.5,10.7,1.62,0.37,Summer Regular
123,Jactroll,Vitality,Support,19,42,23,70,115,2,62.4,24.8,26,42,28,-6.7,1.1,4,196,11.2,112.3,9.8,1.35,0.23,Summer Regular
127,Jeskla,Excel Esports,ADC,13,31,34,40,48,2.1,58.2,20.2,15,-78,120,-1.7,8.7,29.6,457,28,273.2,25.2,0.53,0.19,Summer Regular
131,Kobbe,Splyce,ADC,18,67,89,31,85,5.6,67.7,13.7,33,119,34,0.6,10.6,33.8,503,27.2,360.2,29.3,0.33,0.39,Summer Regular
140,Mikyx,G2 Esports,Support,17,82,22,41,188,5.1,66.2,21.9,18,48,-51,-5.4,0.8,2.8,287,13.3,156.1,11.6,1.34,0.32,Summer Regular
141,Mithy,Origen,Support,18,39,15,58,111,2.2,60.3,24.7,11,-4,57,6.7,1.5,4.8,147,8.4,104.6,9.2,1.37,0.34,Summer Regular
144,Mystiques,Excel Esports,Support,13,31,14,46,63,1.7,54.6,23.2,15,-75,-77,-3.8,1.3,4.5,146,9.2,103.6,9.7,1.37,0.29,Summer Regular
149,Norskeren,Splyce,Support,18,67,18,58,169,3.2,72.8,25.6,33,106,-33,-1.7,1.2,4.2,180,10,125.7,10,1.39,0.39,Summer Regular
152,Patrik,Origen,ADC,18,39,59,38,76,3.6,64.6,16.2,11,-146,-193,-4.3,9.2,29.4,507,28.1,293.8,26.4,0.43,0.29,Summer Regular
153,Perkz,G2 Esports,ADC,17,82,89,32,100,5.9,59.6,17.1,24,85,160,5.3,9.8,33.8,535,24.5,349.1,26.6,0.38,0.25,Summer Regular
157,Rekkles,Fnatic,ADC,15,80,53,18,110,9.1,63.7,9.5,20,-220,-40,-3.4,9.9,32.1,480,23.9,328.3,25.1,0.53,0.38,Summer Regular
164,Upset,Schalke 04,ADC,18,61,104,30,89,6.4,70.2,15.4,22,163,24,2.9,10.5,35.2,583,31.3,350.1,29.5,0.4,0.38,Summer Regular
165,Vander,Rogue,Support,18,39,23,53,129,2.9,65.5,22.3,28,-38,1,3.4,1.5,4.9,163,9.7,111.8,10.6,1.45,0.3,Summer Regular
167,Woolite,Rogue,ADC,16,38,49,52,82,2.5,61.8,23.5,19,-430,-268,-13.3,8.4,31.1,434,26.8,277.1,26.1,0.44,0.29,Summer Regular
179,Hylissang,Fnatic,Support,13,54,18,49,101,2.4,64,23.8,38,130,123,4.6,1.5,5.2,208,9.8,149.3,12.3,1.25,0.3,Summer Playoffs
180,IgNar,Schalke 04,Support,11,55,11,25,113,5,65.3,17.2,18,-108,-41,-1.2,1.1,3.9,139,7.1,110.6,9.4,1.8,0.44,Summer Playoffs
187,Mikyx,G2 Esports,Support,10,60,8,32,109,3.7,63.9,23.2,20,-152,-158,-4.6,1,4.1,159,7.7,136.1,10.9,1.53,0.5,Summer Playoffs
192,Perkz,G2 Esports,ADC,10,60,54,23,58,4.9,61.2,16.7,20,-94,68,-3.8,9.8,34.9,599,29.5,344,27.8,0.33,0.27,Summer Playoffs
193,Rekkles,Fnatic,ADC,13,54,50,30,62,3.7,60.2,14.6,31,125,-33,3.5,10.1,35.5,567,28.2,330.1,28,0.47,0.53,Summer Playoffs
195,Upset,Schalke 04,ADC,11,55,60,19,62,6.4,64.2,13.1,18,95,119,0.8,10,35.5,562,27.6,338.5,29.3,0.38,0.25,Summer Playoffs
208,Kobbe,Splyce,ADC,11,55,49,22,46,4.3,66.9,15.5,27,-66,-262,-1.5,9.6,31.7,436,24.5,333.3,27.4,0.29,0.25,Gauntlet
211,Norskeren,Splyce,Support,11,55,1,39,88,2.3,62.7,27.5,27,-70,3,2.5,1.4,4.7,149,8.9,110.9,9.1,1.52,0.38,Gauntlet
