Ciclo,Edad,Peso,Sexo,Carrera,TiempoUtec,TiempoFuera,VecesUtec,Satisfaccion,PrecioMinimo,PrecioMaximo,Conocimiento,Vegetarianismo,MotivoSí,MotivoNo,TiempoVeg,CrueldadAnimal,MedioAmbiente,ConocAmbien,AprenderVeg,AdoptarVeg,OpcionesVeg,VegMin,VegMax
4,20,59.4,Masculino,Ingenieria Civil,NA,20,4,No compro alimentos en UTEC,10,17,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,10,20
4,19,67,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,10,18,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,2,Interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,52,Femenino,Ingenieria Ambiental,15,30,1,Medianamente satisfecho,10,21,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Regular,Importante,4,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,15,18
4,19,69,Masculino,Ingenieria Civil,7,20,2,Medianamente satisfecho,10,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Nada,No tengo conocimiento sobre su implicancia,4,Interesado,3,No me importa conseguir alimentos vegetarianos,NA,NA
5,20,50.1,Femenino,Ingenieria Ambiental,10,30,1,Medianamente satisfecho,11,NA,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy interesado,3,Regular,NA,20.5
5,19,78.976,Masculino,Ingenieria Civil,NA,22,1,Nada satisfecho,10,12,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Muy importante,5,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,12
4,21,60.3,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,12,17,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,NA,Poco,Importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,82.5,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,12,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,15
4,20,50,Femenino,Ingenieria Civil,10,20,2,Satisfecho,11,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Muy poco interesado,3,Regular,10,13
4,19,60,Masculino,Ingenieria Civil,NA,15,NA,No compro alimentos en UTEC,10,11,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Importante,3,Interesado,1,Regular,10,20
5,20,55,Masculino,Ingeniería Mecatrónica,15,30,2,Satisfecho,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,10,15
5,19,75.5,Masculino,Ingenieria Electronica,15,20,2,Satisfecho,12,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Importante,2,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,NA,NA
4,21,70,Masculino,Ingenieria Civil,5,40,3,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Poco,Importante,5,Muy poco interesado,2,Difícil,15,18
4,21,80,Masculino,Ingenieria Civil,30,30,5,Satisfecho,10,27,Básico,No,Salud,Gusto personal,NA,Bastante,Muy importante,4,Interesado,3,Difícil,12,15
4,20,74,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,10,10,Nada,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Nada importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,48.8,Femenino,Ingenieria Ambiental,10,60,5,Satisfecho,14,28,Avanzado,Sí,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,7,Mucho,Muy importante,5,Muy interesado,5,Regular,15,20
5,20,59,Femenino,Ingenieria Electronica,NA,NA,NA,Nada satisfecho,12,15,Básico,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Muy poco interesado,3,Regular,17,13
4,20,76,Masculino,Ingenieria Electronica,5,10,6,Satisfecho,10,28,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Importante,3,Muy interesado,4,Regular,10,15
4,21,75.5,Masculino,Ingenieria Civil,NA,14,1,No compro alimentos en UTEC,11,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Bastante,Importante,3,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,17
4,19,63.5,Femenino,Ingenieria Civil,10,20,2,Medianamente satisfecho,10,17,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,67,Masculino,Ingenieria Civil,8,15,4,Satisfecho,10,18,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Muy poco importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,18,45,Femenino,Ingenieria Electronica,20,20,4,Nada satisfecho,10,10,Avanzado,No,Obligación,Gusto personal,NA,Regular,Muy poco importante,4,Muy poco interesado,4,Difícil,NA,NA
4,18,70,Masculino,Ingeniería Mecatrónica,NA,NA,NA,No compro alimentos en UTEC,12,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,2,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,20
5,21,81,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,11,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Importante,3,Muy poco interesado,1,No tengo conocimiento sobre alimentos vegetarianos,11,12
4,18,60,Masculino,Ingenieria Electronica,NA,30,NA,No compro alimentos en UTEC,10,12,Básico,No,Salud,Gusto personal,NA,Bastante,Importante,3,Muy poco interesado,3,Difícil,12,15
5,19,50,Femenino,Bioingenieria,NA,20,NA,No compro alimentos en UTEC,11,20,Avanzado,No,Interés por los derechos de los animales,Gusto personal,NA,Regular,Importante,4,Interesado,3,Regular,14,20
4,21,65,Femenino,Ciencias de la computación,NA,NA,NA,No compro alimentos en UTEC,11,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,No tengo conocimiento sobre su implicancia,3,Interesado,3,Regular,11,20
5,21,58,Femenino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,15,25,Avanzado,Sí,Salud,Costo,NA,Regular,Muy importante,5,Muy interesado,5,Difícil,12,15
4,19,56.1,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,11,17,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,NA,Bastante,No tengo conocimiento sobre su implicancia,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
5,22,60,Femenino,Ingenieria Industrial,18,30,1,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,3,Difícil,12,15
5,19,46,Femenino,Ingenieria Quimica,10,60,2,Medianamente satisfecho,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,75,Femenino,Ingenieria Civil,10,20,2,Medianamente satisfecho,10,15,Intermedio,"No, pero desearía serlo",Salud,Costo,NA,Bastante,Importante,3,Muy interesado,4,Regular,15,20
4,20,59,Masculino,Ingenieria Electronica,NA,60,7,No compro alimentos en UTEC,12,15,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,72.5,Masculino,Ingenieria Civil,NA,40,5,No compro alimentos en UTEC,10,25,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Regular,Muy importante,2,Muy poco interesado,3,Difícil,12,12
4,19,66,Masculino,Ingenieria Electronica,NA,20,NA,No compro alimentos en UTEC,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
4,19,59,Femenino,Ingenieria Civil,45,20,1,Medianamente satisfecho,12,18,Básico,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Muy importante,3,Muy interesado,4,Difícil,15,20
5,23,70.4,Masculino,Ingenieria Industrial,NA,NA,NA,No compro alimentos en UTEC,11,14,Básico,No,No adoptaría el veganismo o el vegetarianismo,Soy vegetariano o vegano,NA,Bastante,Muy importante,4,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,NA,NA
5,22,78,Masculino,Ingenieria Civil,NA,15,5,No compro alimentos en UTEC,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy poco importante,2,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,11,14
4,19,65,Femenino,Ingeniería Mecatrónica,NA,10,NA,Nada satisfecho,10,14,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,4,Muy interesado,4,Difícil,11,15
4,20,56.1,Femenino,Ingenieria Civil,NA,40,NA,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,NA,Regular,Muy importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12
4,18,68,Masculino,Ingeniería Mecatrónica,15,20,5,Satisfecho,10,13,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,10,14
4,20,66,Masculino,Ingenieria Civil,27,20,NA,Nada satisfecho,8,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Muy importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,18,15
4,19,50.2,Masculino,Ingenieria Civil,10,25,NA,Medianamente satisfecho,12,18,Intermedio,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Interesado,3,Regular,13,20
4,22,60,Masculino,Ingenieria Civil,20,10,NA,Medianamente satisfecho,11,17,Básico,Sí,Salud,Gusto personal,2,Regular,Importante,2,Interesado,5,Difícil,13,20
5,22,65,Masculino,Ingenieria Industrial,10,60,NA,No compro alimentos en UTEC,15,20,Intermedio,No,Salud,Costo,NA,Regular,Importante,3,Interesado,4,Difícil,13,15
5,20,75,Masculino,Ingenieria Quimica,NA,25,2,No compro alimentos en UTEC,13,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,2,Interesado,2,Regular,13,16
4,20,75,Masculino,Ingeniería Mecatrónica,5,15,2,Medianamente satisfecho,12,15,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Nada,Importante,4,Interesado,5,Difícil,10,13
4,19,80.5,Masculino,Ingeniería Mecatrónica,5,25,1,Medianamente satisfecho,12,NA,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,2,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12
4,20,90,Femenino,Ingenieria Civil,NA,30,1,No compro alimentos en UTEC,10,35,Básico,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,20
5,20,63,Femenino,Ingenieria Civil,7,15,NA,No compro alimentos en UTEC,10,NA,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Interesado,2,Regular,12,19
5,20,68,Masculino,Ingenieria Ambiental,NA,25,2,No compro alimentos en UTEC,12,13,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,5,Muy interesado,1,No tengo conocimiento sobre alimentos vegetarianos,12,10
4,22,60,Masculino,Ingenieria Civil,NA,15,NA,No compro alimentos en UTEC,11,16,Básico,No,Interés por los derechos de los animales,Costo,NA,Bastante,Muy importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,15,18
4,19,70,Masculino,Ingenieria Industrial,5,10,5,Completamente satisfecho,NA,15,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Muy importante,5,Nada interesado,5,Fácil,15,17
5,19,70,Femenino,Ingenieria Civil,20,45,1,Medianamente satisfecho,12,14,Básico,No,Sostenibilidad y medio ambiente,Costo,NA,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,14
4,18,65,Masculino,Ingenieria Industrial,NA,15,3,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,55,Femenino,Ingenieria Ambiental,NA,40,2,No compro alimentos en UTEC,12,18,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Bastante,Importante,4,Interesado,4,Regular,12,15
4,20,66,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,10,11,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,19,60.5,Masculino,Ingeniería Mecatrónica,15,12,NA,No compro alimentos en UTEC,10,15,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,4,Muy poco interesado,3,Regular,10,18
4,19,49,Femenino,Ingenieria Civil,NA,15,NA,No compro alimentos en UTEC,12,15,Básico,No,Salud,Gusto personal,NA,Bastante,Muy importante,4,Muy poco interesado,3,Regular,NA,NA
4,19,49,Femenino,Ingenieria Civil,10,30,2,Medianamente satisfecho,15,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Muy importante,4,Interesado,3,Regular,20,20
4,20,65,Femenino,Ingenieria Quimica,20,15,2,Completamente satisfecho,11,14,Intermedio,No,Salud,Costo,NA,Regular,Muy importante,3,Interesado,3,Regular,15,18
5,21,70,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,12,15,Nada,No,Salud,Costo,NA,Regular,Importante,3,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,15,12
4,19,58,Masculino,Ingenieria Civil,NA,30,NA,No compro alimentos en UTEC,12,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,No tengo conocimiento sobre su implicancia,2,Muy interesado,4,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
5,19,55,Masculino,Ingenieria Civil,NA,10,NA,No compro alimentos en UTEC,11,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy poco importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,80,Masculino,Ingenieria Civil,14,20,NA,Nada satisfecho,15,15,Intermedio,"No, pero desearía serlo",Salud,Gusto personal,NA,Bastante,Muy importante,5,Interesado,5,Fácil,15,20
4,20,70,Masculino,Ingenieria Civil,5,20,2,Medianamente satisfecho,13,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,4,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
5,19,60,Masculino,Ingenieria Civil,30,10,4,Satisfecho,10,13,Básico,"No, pero desearía serlo",Salud,Salud,NA,Regular,Importante,3,Interesado,4,Regular,14,18
5,20,70,Femenino,Administración y Negocios Digitales,20,23,1,Satisfecho,14,16,Intermedio,No,Entorno familiar y/o social,Gusto personal,7,Regular,Importante,2,Interesado,3,Regular,16,20
5,27,76,Femenino,Administración y Negocios Digitales,8,30,1,Satisfecho,12,15,Básico,No,Interés por los derechos de los animales,Gusto personal,NA,Mucho,Muy importante,4,Interesado,4,Regular,15,20
4,19,50,Femenino,Bioingenieria,10,NA,1,Satisfecho,13,15,Nada,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Muy importante,3,Interesado,3,Regular,13,15
5,18,72,Masculino,Ingeniería Mecatrónica,NA,25,1,Medianamente satisfecho,10,13,Básico,No,Sostenibilidad y medio ambiente,Gusto personal,NA,Regular,Importante,3,Muy poco interesado,1,Fácil,10,13
5,20,62,Masculino,Bioingenieria,5,10,1,Medianamente satisfecho,11,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,4,Interesado,2,No me importa conseguir alimentos vegetarianos,10,15
4,19,58,Femenino,Ingenieria Civil,NA,30,NA,No compro alimentos en UTEC,11,18,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
5,22,54,Femenino,Bioingenieria,10,30,3,Nada satisfecho,10,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Nada importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,NA,NA
4,17,60,Femenino,Ingenieria Quimica,NA,NA,NA,No compro alimentos en UTEC,12,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,2,No me importa conseguir alimentos vegetarianos,14,18
4,18,70,Masculino,Ingenieria Quimica,NA,20,NA,No compro alimentos en UTEC,10,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy importante,2,Interesado,1,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
4,19,73,Masculino,Ingenieria Civil,15,30,3,No compro alimentos en UTEC,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy importante,5,Interesado,4,No tengo conocimiento sobre alimentos vegetarianos,10,13
4,22,65,Masculino,Ingenieria Civil,10,40,1,Satisfecho,10,17,Intermedio,No,Salud,Gusto personal,NA,Regular,Muy importante,4,Interesado,3,No me importa conseguir alimentos vegetarianos,12,20
4,19,63,Femenino,Ingenieria Civil,30,15,1,Medianamente satisfecho,10,15,Básico,"No, pero desearía serlo",Salud,Salud,NA,Bastante,Importante,3,Interesado,4,Regular,13,15
4,19,64,Masculino,Ingenieria Civil,30,30,4,Medianamente satisfecho,11,11,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,NA,Nada,Muy importante,1,Interesado,5,Regular,11,11
4,20,70.3,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,12,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Importante,1,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,13,17
5,20,77,Masculino,Ingeniería Mecatrónica,5,15,NA,No compro alimentos en UTEC,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,15
4,19,54,Femenino,Ingeniería Mecatrónica,15,20,1,Medianamente satisfecho,11,15,Intermedio,No,Salud,Costo,NA,Mucho,Muy importante,4,Muy interesado,4,Difícil,10,12
5,19,58,Femenino,Ingenieria Quimica,15,25,5,Medianamente satisfecho,10,24,Básico,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,4,Muy interesado,4,Difícil,14,24
4,20,79,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,10,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Mucho,Muy importante,5,Interesado,5,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
5,20,60,Masculino,Ciencias de la computación,NA,10,2,No compro alimentos en UTEC,10,14,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Muy interesado,4,Difícil,10,18
4,19,62,Masculino,Ingenieria Industrial,6,20,3,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Importante,3,Interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,21,72,Masculino,Ingenieria Civil,5,30,4,Satisfecho,10,14,Intermedio,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Gusto personal,NA,Poco,Muy importante,4,Interesado,4,Regular,15,25
5,19,49,Femenino,Ingenieria Ambiental,15,20,1,Medianamente satisfecho,10,40,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Gusto personal,NA,Mucho,Muy importante,3,Muy interesado,1,Regular,10,30
5,18,59,Femenino,Ingenieria Civil,14,16,7,Medianamente satisfecho,16,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,NA,Regular,Muy poco importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,17,25
4,22,68,Masculino,Ingenieria Civil,30,60,4,Medianamente satisfecho,13,16,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Importante,3,Muy interesado,2,Regular,15,25
4,20,82,Masculino,Ingenieria Civil,15,15,1,Medianamente satisfecho,11,20,Nada,Sí,Creencias,Gusto personal,NA,Bastante,Muy poco importante,3,Muy poco interesado,4,Difícil,18,14
5,22,80,Masculino,Ingeniería Mecatrónica,5,10,3,Medianamente satisfecho,12,15,Básico,Sí,Interés por los derechos de los animales,Costo,NA,Regular,Nada importante,3,Interesado,3,Regular,15,20
5,21,87,Masculino,Bioingenieria,10,25,3,Satisfecho,12,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,4,Interesado,3,Difícil,12,16
4,21,75,Masculino,Bioingenieria,12,10,3,Medianamente satisfecho,10,15,Intermedio,No,Salud,Gusto personal,NA,Regular,Importante,2,Interesado,3,Difícil,10,15
5,20,50,Femenino,Bioingenieria,15,10,6,Medianamente satisfecho,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Importante,4,Muy poco interesado,1,Regular,13,15
