Marca temporal,Edad,Género,Carrera,Distrito en el que vives,Ciclo de Estudio,¿Qué tan buena consideras que es tu educación financiera?,¿Has llevado un curso de finanzas en UTEC?,"En caso de marcar ""Sí"". ¿Crees que esto te ayudó a moderar tus gastos?",¿Cuánto dinero sueles ahorrar al mes?,¿Cuántas veces al mes comes fuera de casa?,¿Planificas y controlas tus finanzas personales?,¿Has invertido tu dinero en algún momento?,¿Cuentas con una tarjeta de crédito?,¿Has solicitado préstamos?,¿Con qué frecuencia estableces un presupuesto mensual?,¿Sueles contabilizar tus gastos en transporte/comida?,¿Cuánto meses llevas ahorrando?,¿Cuánto dinero tienes ahorrado a día de hoy?
2/05/2023 17:59:32,17,Masculino,Ingeniería Civil,Los Olivos,1,2,No,,Menos de S/50,3-5 veces al mes.,Sí,No,No,No,A veces,No,1,200
2/05/2023 18:06:07,17,Masculino,Ingeniería Mecánica,Santiago de Surco,1,5- Muy buena,No,,S/100 - S/200,5-10 veces al mes.,Sí,Sí,No,No,Nunca,No,9,1000
2/05/2023 18:07:53,16,Masculino,Ingeniería Mecatrónica,Chorrillos,1,4,No,,S/50 - S/100,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,6,300
3/05/2023 9:17:45,18,Masculino,Ingeniería Mecánica,Los Olivos,3,3,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,No,No,No,A veces,Sí,2,60
3/05/2023 9:47:43,18,Femenino,Ingeniería Ambiental,Santiago de Surco,2,3,No,1 - Completamente en desacuerdo,S/50 - S/100,Más de 10 veces al mes.,Sí,No,Sí,No,Nunca,Sí,4,200
3/05/2023 9:48:11,19,Femenino,Ingeniería Ambiental,Barranco,2,4,No,,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,6,200
3/05/2023 9:49:24,17,Femenino,Ingeniería Ambiental,San Juan de Lurigancho,2,4,No,,Más de S/200,Más de 10 veces al mes.,Sí,No,No,No,Siempre,Sí,2,500
3/05/2023 9:56:56,20,Masculino,Ingeniería Ambiental,San Martin de Porres,2,2,Sí,4,S/100 - S/200,5-10 veces al mes.,Sí,No,No,No,A veces,Sí,6,600
3/05/2023 9:56:57,19,Femenino,Bioingeniería,Chorrillos,5,4,No,,S/50 - S/100,5-10 veces al mes.,No,No,Sí,No,A veces,Sí,4,300
3/05/2023 10:04:11,18,Masculino,Ingeniería Ambiental,Barranco,2,3,No,,S/50 - S/100,3-5 veces al mes.,No,No,No,No,Nunca,Sí,2,1200
3/05/2023 10:06:04,21,Femenino,Ingeniería Ambiental,Carabayllo,10,4,Sí,3,S/100 - S/200,Más de 10 veces al mes.,Sí,No,Sí,Sí,A veces,Sí,18,750
3/05/2023 10:10:11,18,Masculino,Ingeniería Civil,San Juan de Lurigancho,4,5- Muy buena,Sí,3,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,Siempre,Sí,3,670
3/05/2023 10:17:56,20,Femenino,Ingeniería Ambiental,San Juan de Lurigancho,3,5- Muy buena,No,5 - Completamente de acuerdo,S/50 - S/100,Menos de 3 veces al mes.,Sí,Sí,No,No,Siempre,Sí,4,500
3/05/2023 10:21:55,22,Femenino,Ingeniería Ambiental,Independencia,5,3,Sí,3,S/50 - S/100,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,6,500
3/05/2023 10:34:08,18,Femenino,Ingeniería Industrial,Cercado de Lima,4,2,No,2,Menos de S/50,Menos de 3 veces al mes.,Sí,Sí,Sí,No,A veces,No,12,200
3/05/2023 10:57:44,20,Masculino,Ingeniería Civil,Santiago de Surco,5,4,Sí,5 - Completamente de acuerdo,S/100 - S/200,3-5 veces al mes.,Sí,No,No,Sí,A veces,Sí,7,400
3/05/2023 11:00:50,17,Femenino,Ingeniería Química,Los Olivos,3,3,No,,S/50 - S/100,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,4,150
3/05/2023 11:01:00,18,Femenino,Ingeniería Industrial,Barranco,2,3,No,1 - Completamente en desacuerdo,Menos de S/50,5-10 veces al mes.,No,No,Sí,No,A veces,Sí,4,100
3/05/2023 11:06:33,19,Femenino,Ingeniería Ambiental,Ancón,2,4,No,3,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,4,2000
3/05/2023 11:06:53,18,Femenino,Ciencias de la Computación,Surquillo,3,2,No,,No ahorro,Más de 10 veces al mes.,No,No,Sí,No,Siempre,No,0,10
3/05/2023 11:08:24,19,Masculino,Ingeniería Industrial,Barranco,2,3,No,1 - Completamente en desacuerdo,Menos de S/50,Más de 10 veces al mes.,No,Sí,Sí,No,A veces,No,0,100
3/05/2023 11:09:20,18,Masculino,Bioingeniería,Rímac,2,3,No,1 - Completamente en desacuerdo,Más de S/200,Menos de 3 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,6,400
3/05/2023 11:10:00,21,Femenino,Ingeniería Mecatrónica,Chorrillos,4,5- Muy buena,No,3,Menos de S/50,3-5 veces al mes.,Sí,No,No,Sí,A veces,Sí,11,100
3/05/2023 11:23:54,20,Masculino,Ingeniería Civil,Barranco,5,2,No,,S/100 - S/200,3-5 veces al mes.,Sí,No,No,No,Siempre,Sí,2,400
3/05/2023 11:27:05,20,Masculino,Ingeniería Mecatrónica,Ancón,3,3,No,,Menos de S/50,3-5 veces al mes.,No,No,Sí,Sí,Nunca,No,12,10
3/05/2023 11:56:57,18,Femenino,Ingeniería Mecatrónica,San Miguel,3,4,No,,S/100 - S/200,Más de 10 veces al mes.,Sí,No,Sí,No,Siempre,Sí,3,120
3/05/2023 17:06:36,21,Femenino,Bioingeniería,Lince,9,3,No,2,Menos de S/50,Menos de 3 veces al mes.,No,No,Sí,No,A veces,Sí,3,500
3/05/2023 19:03:30,17,Masculino,Ingeniería Civil,Los Olivos,1,3,No,,S/100 - S/200,3-5 veces al mes.,No,No,No,No,A veces,Sí,1,200
3/05/2023 19:04:10,17,Masculino,Ingeniería Mecatrónica,El Agustino,1,3,No,,Menos de S/50,3-5 veces al mes.,No,No,No,No,Nunca,Sí,24,600
3/05/2023 20:56:54,21,Femenino,Ingeniería Civil,Ate,7,3,Sí,4,Menos de S/50,Más de 10 veces al mes.,No,Sí,No,No,A veces,Sí,12,500
3/05/2023 21:05:19,20,Femenino,Ingeniería Civil,Barranco,5,1- Muy mala,No,,No ahorro,Menos de 3 veces al mes.,No,Sí,Sí,Sí,A veces,Sí,1,50
3/05/2023 21:45:40,21,Femenino,Ingeniería Electrónica,San Isidro,1,3,No,,Menos de S/50,Menos de 3 veces al mes.,Sí,No,Sí,No,Siempre,Sí,0,1
4/05/2023 7:29:35,18,Masculino,Ingeniería Mecatrónica,Breña,3,4,No,,S/50 - S/100,5-10 veces al mes.,Sí,Sí,No,No,A veces,Sí,2,120
4/05/2023 8:27:29,18,Otro,Bioingeniería,Santiago de Surco,3,2,No,,Menos de S/50,Más de 10 veces al mes.,No,No,No,No,Nunca,Sí,1,130
4/05/2023 8:28:25,18,Otro,Bioingeniería,Chaclacayo,3,3,No,,S/50 - S/100,5-10 veces al mes.,Sí,No,No,No,A veces,Sí,4,100
4/05/2023 11:26:14,22,Masculino,Ingeniería Civil,Barranco,7,5- Muy buena,Sí,4,S/100 - S/200,Más de 10 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,20,2500
4/05/2023 12:04:49,22,Femenino,Ingeniería Industrial,Barranco,2,3,No,,S/50 - S/100,3-5 veces al mes.,Sí,Sí,No,Sí,Siempre,Sí,2,150
4/05/2023 12:09:19,19,Masculino,Ingeniería Mecatrónica,Barranco,4,2,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,No,Sí,No,Siempre,Sí,14,7777
4/05/2023 16:28:49,18,Masculino,Ingeniería Mecatrónica,San Martin de Porres,3,2,No,,Más de S/200,Más de 10 veces al mes.,No,No,Sí,No,Nunca,No,10,1300
4/05/2023 19:34:56,18,Masculino,Ciencias de Datos,San Juan de Miraflores,3,3,No,3,S/50 - S/100,Nunca.,Sí,Sí,Sí,No,A veces,Sí,10,300
4/05/2023 20:25:21,19,Masculino,Ingeniería Mecatrónica,Rímac,2,3,Sí,3,Menos de S/50,Más de 10 veces al mes.,Sí,Sí,No,No,Nunca,Sí,2,10
4/05/2023 21:09:08,21,Femenino,Ingeniería Química,San Martin de Porres,4,5- Muy buena,No,1 - Completamente en desacuerdo,Más de S/200,3-5 veces al mes.,Sí,No,Sí,No,Siempre,Sí,4,2000
5/05/2023 11:08:25,18,Femenino,Ingeniería Industrial,Chorrillos,3,3,No,3,S/50 - S/100,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,6,100
5/05/2023 11:11:43,21,Masculino,Ingeniería de la Energía,San Miguel,7,5- Muy buena,Sí,4,S/100 - S/200,3-5 veces al mes.,Sí,No,No,Sí,A veces,No,1,300
5/05/2023 11:13:26,18,Masculino,Ingeniería Mecatrónica,Miraflores,4,4,No,3,S/100 - S/200,Más de 10 veces al mes.,Sí,No,No,No,Siempre,Sí,36,4000
5/05/2023 11:14:20,32,Masculino,Ingeniería Mecánica,Santiago de Surco,5,4,Sí,4,Más de S/200,Más de 10 veces al mes.,Sí,Sí,Sí,Sí,A veces,Sí,12,6000
5/05/2023 11:14:25,20,Masculino,Ingeniería de la Energía,Miraflores,6,4,Sí,4,Más de S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,18,250
5/05/2023 11:14:56,20,Masculino,Ingeniería Electrónica,Miraflores,7,4,Sí,5 - Completamente de acuerdo,S/100 - S/200,5-10 veces al mes.,Sí,No,No,No,A veces,Sí,60,20
5/05/2023 11:15:03,19,Masculino,Ingeniería Civil,Lurigancho,4,3,Sí,3,Más de S/200,Menos de 3 veces al mes.,Sí,Sí,No,No,A veces,Sí,2,300
5/05/2023 11:22:01,21,Masculino,Ingeniería Mecatrónica,Magdalena del Mar,7,4,Sí,3,S/50 - S/100,Más de 10 veces al mes.,No,Sí,No,No,Siempre,No,15,500
5/05/2023 12:06:06,18,Femenino,Ciencias de la Computación,Surquillo,3,5- Muy buena,No,4,S/50 - S/100,5-10 veces al mes.,Sí,No,Sí,No,A veces,No,0,50
5/05/2023 12:41:42,18,Masculino,Ciencias de la Computación,Lurigancho,3,4,No,,Más de S/200,3-5 veces al mes.,Sí,Sí,No,No,A veces,Sí,3,1000
5/05/2023 12:57:19,16,Femenino,Ingeniería Mecatrónica,San Martin de Porres,1,3,No,,S/50 - S/100,3-5 veces al mes.,No,Sí,No,No,A veces,Sí,12,950
5/05/2023 13:04:55,18,Femenino,Ciencias de Datos,Santiago de Surco,2,3,No,,S/100 - S/200,5-10 veces al mes.,Sí,No,No,No,A veces,Sí,240,400
5/05/2023 13:59:54,18,Femenino,Ingeniería Química,La Molina,3,2,No,,S/50 - S/100,3-5 veces al mes.,Sí,No,Sí,No,Siempre,Sí,18,400
5/05/2023 14:00:44,19,Masculino,Bioingeniería,La Molina,4,5- Muy buena,Sí,4,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,Sí,Siempre,Sí,22,1000
5/05/2023 14:04:12,21,Femenino,Ingeniería Mecánica,La Molina,3,4,No,3,No ahorro,5-10 veces al mes.,No,No,Sí,No,Nunca,No,3,200
5/05/2023 14:08:29,17,Masculino,Ingeniería Mecatrónica,Barranco,6,3,No,,Menos de S/50,Menos de 3 veces al mes.,No,Sí,Sí,No,A veces,No,3,400
5/05/2023 14:12:52,19,Femenino,Ciencias de la Computación,Santiago de Surco,6,3,Sí,4,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,Siempre,Sí,26,1200
5/05/2023 14:13:55,23,Masculino,Ingeniería Industrial,Miraflores,8,4,Sí,3,Más de S/200,3-5 veces al mes.,Sí,Sí,Sí,Sí,Siempre,No,27,2100
5/05/2023 14:34:33,19,Femenino,Ingeniería Química,San Isidro,5,3,No,,Menos de S/50,Más de 10 veces al mes.,Sí,No,Sí,No,A veces,Sí,3,300
5/05/2023 14:46:25,20,Femenino,Ingeniería Industrial,San Juan de Lurigancho,2,3,No,,S/50 - S/100,5-10 veces al mes.,Sí,No,Sí,No,A veces,Sí,4,560
5/05/2023 18:00:47,22,Masculino,Ingeniería Civil,Jesús María,9,5- Muy buena,Sí,4,S/100 - S/200,5-10 veces al mes.,Sí,Sí,Sí,Sí,Siempre,Sí,35,1000
5/05/2023 18:01:50,18,Masculino,Ingeniería Mecánica,Los Olivos,6,4,Sí,2,S/100 - S/200,5-10 veces al mes.,Sí,No,Sí,No,Nunca,No,0,200
5/05/2023 18:20:59,19,Masculino,Bioingeniería,San Isidro,4,2,No,,Menos de S/50,5-10 veces al mes.,No,No,Sí,Sí,Nunca,No,2,50
5/05/2023 18:33:09,20,Masculino,Ingeniería Industrial,Santiago de Surco,2,4,Sí,4,S/100 - S/200,3-5 veces al mes.,No,Sí,No,Sí,Siempre,Sí,6,800
5/05/2023 18:59:44,17,Femenino,Ingeniería Industrial,Los Olivos,3,5- Muy buena,Sí,5 - Completamente de acuerdo,Menos de S/50,Más de 10 veces al mes.,Sí,Sí,No,No,Nunca,Sí,2,1200
5/05/2023 19:05:22,20,Femenino,Ingeniería Electrónica,Santiago de Surco,2,2,No,,No ahorro,Menos de 3 veces al mes.,No,No,Sí,No,A veces,No,0,1
5/05/2023 19:19:07,22,Masculino,Ingeniería Industrial,San Juan de Lurigancho,3,4,No,3,S/100 - S/200,3-5 veces al mes.,Sí,Sí,No,No,Siempre,Sí,12,1200
5/05/2023 19:20:02,18,Masculino,Ingeniería Mecatrónica,Chorrillos,5,4,Sí,3,S/50 - S/100,5-10 veces al mes.,Sí,Sí,No,Sí,Siempre,Sí,24,2300
5/05/2023 19:51:10,23,Masculino,Ingeniería Química,Cercado de Lima,6,5- Muy buena,Sí,4,S/50 - S/100,5-10 veces al mes.,Sí,No,Sí,No,A veces,Sí,5,150
5/05/2023 22:46:52,20,Masculino,Ingeniería Civil,Los Olivos,3,1- Muy mala,Sí,5 - Completamente de acuerdo,No ahorro,Más de 10 veces al mes.,Sí,No,No,No,A veces,No,1,100
5/05/2023 23:04:52,21,Masculino,Ingeniería Mecánica,Santa Anita,7,3,Sí,4,S/100 - S/200,5-10 veces al mes.,Sí,No,No,No,A veces,Sí,61,2500
6/05/2023 6:35:53,20,Masculino,Ciencias de Datos,Jesús María,6,3,No,,S/50 - S/100,3-5 veces al mes.,Sí,Sí,Sí,No,Nunca,Sí,5,350
6/05/2023 11:57:03,18,Femenino,Ingeniería Industrial,San Juan de Miraflores,1,4,No,,S/50 - S/100,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,36,1300
6/05/2023 11:58:19,17,Femenino,Ingeniería Civil,Santiago de Surco,1,2,No,,Menos de S/50,5-10 veces al mes.,No,No,No,No,Nunca,No,0,50
6/05/2023 12:07:14,24,Masculino,Ingeniería Mecatrónica,Surquillo,7,3,No,,Más de S/200,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,4,800
6/05/2023 12:08:21,23,Masculino,Ciencias de la Computación,San Juan de Lurigancho,9,4,No,,Más de S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,37,6800
6/05/2023 12:12:49,17,Masculino,Ingeniería Ambiental,Santiago de Surco,1,4,No,,Más de S/200,Más de 10 veces al mes.,Sí,No,No,No,A veces,No,2,600
6/05/2023 12:13:16,19,Masculino,Ciencias de la Computación,Lince,1,3,No,1 - Completamente en desacuerdo,S/100 - S/200,Más de 10 veces al mes.,No,No,No,No,Siempre,Sí,1,300
6/05/2023 12:14:48,17,Masculino,Ciencias de la Computación,San Isidro,1,3,No,,S/50 - S/100,Más de 10 veces al mes.,No,Sí,No,No,Nunca,No,0,1200
6/05/2023 12:33:02,16,Masculino,Ingeniería Mecatrónica,Chorrillos,1,3,No,,Menos de S/50,Menos de 3 veces al mes.,Sí,No,No,No,Nunca,Sí,5,200
6/05/2023 12:33:15,19,Masculino,Ingeniería Mecatrónica,Santiago de Surco,7,2,Sí,3,Menos de S/50,Menos de 3 veces al mes.,No,No,No,No,Nunca,No,2,814.18
6/05/2023 12:35:42,17,Masculino,Ingeniería Mecatrónica,La Molina,1,3,No,,Menos de S/50,3-5 veces al mes.,Sí,No,No,No,Siempre,Sí,216,500
