"","Edad","Altura","Peso","Sexo","Hora.desayuno","Hora.desgaste","Tipo.de.producto","Producto.principal","Porción.producto.principal","Costo.producto.principal","Unidades.producto.principal","Tipo.producto.secundario","Producto.secundario","Porción.producto.secundario","Costo.unidad.producto.secundario","Unidades.producto.secundario","Actividad.pre.desgasto","Tiempo.pre.desgaste"
"14",19,170,65,"Masculino","08:00","14:00","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",6
"15",19,160,80,"Masculino","05:00","12:00","Bebida","Maca","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",10,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Galleta","Una porción pequeña",2,2,"Poco",7
"16",19,172,75,"Masculino","07:00","11:00","Bebida","Quaker","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Huevo  ","Una porción estandar (normal)",0,4,"Mucho",4
"17",18,156,56,"Masculino","08:40","08:40","Bebida","Maca","En tamaño, como un vaso de jugo",0,"5","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Arroz","Una porción estandar (normal)",0,7,"Regular",0
"18",18,163,60,"Masculino","08:00","12:00","Bebida","7semillas","En tamaño, como un vaso de jugo",0,"1","snaks (galletas, chocolates, etc.)","Galleta","Una porción estandar (normal)",0,3,"Poco",4
"19",25,178,64,"Masculino","06:30","11:30","Bebida","Cafe","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,3,"Poco",5
"20",17,153,45,"Femenino","06:30","11:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"2","No consumí producto secundario","Ninguno","Nada",0,0,"Poco",4.5
"21",18,161,57,"Femenino","08:20","13:00","Bebida","Cafe","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Regular",4.6667
"22",20,148,45,"Femenino","00:00","11:30","Bebida","Arroz (con alguna proteina(carne))","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Regular",11.5
"23",17,170,65,"Masculino","11:00","12:30","Bebida","Maca","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción pequeña",0,2,"Poco",1.5
"24",20,171,76,"Masculino","07:20","10:00","Comida","Pan/(mantequilla,jamon,palta)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"2","No consumí producto secundario","Ninguno","No",0,0,"Poco",2.6667
"25",19,176,80,"Masculino","10:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Muy poco",3
"26",18,189,86,"Masculino","00:00","12:00","Comida","Quinua","Un plato de segundo",0,"2","snaks (galletas, chocolates, etc.)","Galleta","Una porción estandar (normal)",0,3,"Mucho",12
"27",17,165,63,"Masculino","08:30","14:00","Comida","Arroz (con alguna proteina(carne))","Un plato de segundo",0,"1","snaks (galletas, chocolates, etc.)","Galleta","Una porción estandar (normal)",2,1,"Normal",5.5
"28",23,157,50,"Femenino","09:00","12:30","Bebida","Avena","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",3,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",1,1,"Poco",3.5
"29",22,162,71,"Masculino","12:00","11:00","Bebida","EmPanada","En tamaño, como un vaso de jugo",10,"2 empanadas 1 refresco ","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Refresco","Una porción pequeña",2,1,"Regular",NA
"30",18,175,60,"Masculino","00:00","12:30","Bebida","Quinua","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","No consumí producto secundario","Ninguno","No consumí ",0,0,"Regular",12.5
"31",20,172,75,"Masculino","07:00","12:00","Bebida","Jugo de fruta(s)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",5,2,"Regular",5
"32",19,160,47,"Masculino","07:30","00:00","Comida","Leche","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"3","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Pan","Una porción estandar (normal)",2,3,"Muy poco",NA
"33",19,175,62,"Masculino","00:00","11:30","Bebida","Avena","Pan",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",11.5
"34",18,170,70,"Masculino","08:00","12:00","Bebida","Maca","En tamaño, como un vaso de jugo",7,"3","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Fruta","Una porción pequeña",0,3,"Muy poco",4
"35",20,148,58,"Femenino","09:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción estandar (normal)",3,2,"Poco",4
"36",16,173,61,"Masculino","08:05","13:30","Comida","Papa rellena","Un plato de segundo",3,"1","No consumí producto secundario","Ninguno","No consumi",0,0,"Poco",5.4167
"37",17,170,86,"Masculino","00:00","13:00","Bebida","Cafe","En tamaño, como un vaso de jugo",7,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",5,1,"Normal",13
"38",17,165,83,"Masculino","00:00","14:30","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",14.5
"39",17,169,55,"Masculino","06:30","13:00","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Mucho",6.5
"40",17,180,55,"Masculino","00:00","12:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","No consumí producto secundario","Ninguno","No consumi una porcion",0,0,"Normal",12
"41",18,166,66,"Masculino","00:00","14:00","Ninguno","No desayuno","No tomo",0,"No tomo ","No tomo ","No desayuno","No tomo",0,0,"Mucho",14
"42",18,170,65,"Masculino","08:00","15:00","Comida","Arroz (con alguna proteina(carne))","Un plato de segundo",0,"1","No consumí producto secundario",NA,"0",0,0,"Normal",7
"43",22,158,63,"Femenino","09:30","13:00",NA,"Pollo","Pan frances",0,"1","No consumí producto secundario",NA,".",NA,NA,"Mucho",3.5
"44",21,170,80,"Masculino","00:00","14:40","Bebida","Avena","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,3,"Poco",14.6667
"45",17,154,43,"Femenino","00:00","15:00","Ninguno","No desayuno","no desayuno",0,"0","No consumí producto secundario","No desayuno","no desayuno",0,0,"Normal",15
"46",22,170,70,"Masculino","09:10","13:00","Bebida","Agua","Vaso de agua",0,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción pequeña",0,1,"Poco",3.8333
"47",19,162,65,"Masculino","08:00","12:00","Bebida","Leche","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"2","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción estandar (normal)",0,3,"Normal",4
"48",17,164,57,"Femenino","09:00","12:00",NA,"Pan/(mantequilla,jamon,palta)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","No consumí producto secundario","Ninguno","no comi",0,0,"Poco",3
"49",17,161,53,"Femenino","10:45","13:00","Bebida","Fruta","En tamaño, como un vaso de jugo",0,"2","Fruta","Fruta","Una porción estandar (normal)",0,2,"Normal",2.25
"50",17,168,73,"Masculino","06:15","11:00","Bebida","Quinua","En tamaño, como un vaso de jugo",1,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción grande",1,2,"Poco",4.75
"51",21,161,70,"Femenino","00:00","00:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",0
"52",19,171,65,"Masculino","00:00","12:30","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,1,"Regular",12.5
"53",20,165,73,"Masculino","05:30","12:00","Bebida","Arroz","Un plato de segundo",0,"3","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Fruta","Una porción pequeña",0,4,"Poco",6.5
"54",21,168,60,"Femenino","07:30","12:00","Bebida","Yogurt ","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Galleta","Una porción pequeña",0,1,"Muy poco",4.5
"55",18,163,68,"Femenino","10:30","13:00","Bebida","Maca","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",2.5
"56",21,174,76,"Masculino","08:00","08:30","Bebida","Arroz (con alguna proteina(carne))","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Chocolate","Una porción pequeña",0,2,"Muy poco",0.5
"57",19,184,120,"Masculino","08:20","11:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"3","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",1.5,2,"Poco",2.6667
"58",20,158,55,"Femenino","11:00","12:30","Bebida","Leche","En tamaño, como un vaso de jugo",5,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",5,2,"Poco",1.5
"59",20,176,71,"Masculino","07:40","11:00","Bebida","Quaker","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",4,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",2,2,"Normal",3.3333
"60",19,158,75,"Femenino","00:00","13:00","Bebida","Quinua","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",1.5,1,"Normal",13
"61",18,180,104,"Masculino","09:30","13:00","Comida","Arroz (con alguna proteina(carne))","Un plato de segundo",NA,"1","kekes (keke de chocolate, de pecanas, de naranja, etc.)","Keke","Una porción estandar (normal)",0,3,"Muy poco",3.5
"62",17,163,51,"Masculino","06:00","13:00","Comida","Arroz","Un plato de segundo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción estandar (normal)",0,1,"Regular",7
"63",18,178,70,"Masculino","07:00","10:30","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,3,"Normal",3.5
"64",17,169,67,"Masculino","00:00","12:00","Bebida","Avena","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)",NA,"Una porción estandar (normal)",0,1,"Muy poco",12
"65",19,168,69,"Masculino","08:00","13:20","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",5.3333
"66",17,154,64,"Femenino","07:00","09:00","Bebida","Pan/(mantequilla,jamon,palta)","En tamaño, como un vaso de jugo",5,"1","No consumí producto secundario",NA,".",0,NA,"Muy poco",2
"67",18,145,48,"Femenino","00:00","12:30","Bebida","Jugo de fruta(s)","Un plato de sopa",0,"2","Fruta","Pan","Una porción pequeña",0,2,"Poco",12.5
"68",18,164,60,"Masculino","00:00","13:00","Ninguno","No desayuno","Nada",0,"0","No consumí producto secundario","Ninguno","Nada",0,0,"Normal",13
"69",22,170,85,"Masculino","09:30","13:00","Comida","Caldo o sopa","Un plato de sopa",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",10,1,"Poco",3.5
"70",18,174,68,"Masculino","08:00","11:30","Bebida","Maca","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",3.5
"71",20,158,54,"Masculino","08:00","12:30","Bebida","Maca","Un plato de segundo",NA,"1","No consumí producto secundario",NA,"No ",0,0,"Normal",4.5
"72",19,160,59,"Femenino","10:00","15:00","Comida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"3","snaks (galletas, chocolates, etc.)","Fruta","Una porción grande",0,1,"Poco",5
"73",19,174,84,"Masculino","08:30","14:30","Bebida","Avena","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",3,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",2,1,"Normal",6
"74",21,167,60,"Masculino","08:00","12:00","Bebida","Maca","En tamaño, como un vaso de jugo",0,"Agua","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción grande",0,2,"Muy poco",4
"75",18,180,82,"Masculino","07:00","17:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",5,3,"Regular",10
"76",19,161,55,"Femenino","00:00","11:00","Bebida","Cafe","En tamaño, como un vaso de jugo",5,"1","No consumí producto secundario","Ninguno","Nada",0,0,"Poco",11
"77",20,158,70,"Femenino","07:00","13:00","Bebida","Avena","Un plato de sopa",0,"1","Fruta","Fruta","Una porción pequeña",0,8,"Poco",6
"78",19,170,65,"Masculino","07:00","09:30","Bebida","Avena","Una taza",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,3,"Poco",2.5
"79",20,165,64,"Femenino","09:00","13:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",4
"80",22,169,64,"Masculino","06:00","11:00","Bebida","Maca","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",5
"81",18,185,84,"Masculino","08:00","11:00","Bebida","Ponche de habas","En tamaño, como un vaso de jugo",3,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",3,1,"Normal",3
"82",19,180,80,"Masculino","07:30","10:00","Comida","Arroz (con alguna proteina(carne))","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Galleta","Una porción pequeña",0,1,"Normal",2.5
"83",20,169,75,"Masculino","08:00","13:00","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Regular",5
"84",18,163,62,"Masculino","06:20","11:00","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Regular",4.6667
"85",18,156,60,"Femenino","06:30","09:00","Bebida","Avena","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",2.5
"86",17,165,53,"Masculino","00:00","10:00","Bebida","Agua","En tamaño, como un vaso de jugo",0,"1","Fruta","Fruta","Una porción pequeña",0,1,"Mucho",10
"87",18,164,68,"Masculino","09:00","12:00","Bebida","Leche","En tamaño, como un vaso de jugo",2.5,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",3
"88",19,160,63,"Femenino","07:30","10:00","Bebida","Quinua","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",2.5
"89",20,174,85,"Masculino","00:00","07:00","Bebida","Avena","En tamaño, como un vaso de jugo",0,"2","No consumí producto secundario",NA,"Una porción pequeña",0,0,"Normal",7
"90",20,167,59,"Femenino","09:30","13:00","Bebida","Huevo  ","300g",0,"3","No consumí producto secundario","Ninguno","Una porción pequeña",0,0,"Mucho",3.5
"91",20,182,90,"Masculino","00:00","10:00","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,1,"Normal",10
"92",21,178,65,"Masculino","08:00","12:00","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",4
"93",18,173,56,"Masculino","07:00",NA,"Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"2","No consumí producto secundario","Ninguno","0",0,0,"Normal",NA
"94",23,169,60,"Masculino","00:00","13:00","Ninguno","No desayuno","No desayuné ",0,"0","No consumí producto secundario",NA,"0",0,0,"Regular",13
"95",21,155,64,"Femenino","09:00","11:00","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",2
"96",18,180,80,"Masculino","10:00","12:30","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción estandar (normal)",0,2,"Muy poco",2.5
"97",19,147,52,"Femenino","06:30","09:00","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción grande",0,2,"Regular",2.5
"98",18,172,72,"Masculino","07:15","14:30","Bebida","Leche de soya","En tamaño, como un vaso de jugo",4,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",2,2,"Poco",7.25
"99",19,174,64,"Masculino","07:00","11:30","Bebida","Cafe","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción grande",0,4,"Normal",4.5
"100",20,165,56,"Masculino","06:10","11:40","Bebida","Quinua","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción pequeña",0,1,"Normal",5.5
"101",19,169,62,"Femenino","08:00","16:00","Bebida","Soya","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Normal",8
"102",23,175,80,"Masculino","06:00","13:00","Bebida","Arroz (con alguna proteina(carne))","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Normal",7
"103",20,170,70,"Masculino","06:30","10:00","Bebida","Quaker","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",3.5
"104",18,152,50,"Femenino","06:00","11:00","Bebida","Maca","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,2,"Poco",5
"105",20,160,62,"Femenino","08:00","11:30","Bebida","Maca","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Fruta","Una porción pequeña",0,1,"Poco",3.5
"106",18,165,60,"Femenino","07:30","11:00","Bebida","Maca","Un plato de segundo",11,"1","Fruta","Fruta","Una porción estandar (normal)",0,1,"Mucho",3.5
"107",18,167,50,"Femenino","06:20","08:50","Comida","EmPanada","Un plato de segundo",2.9,"1 empanada ","snaks (galletas, chocolates, etc.)","Galleta","Una porción estandar (normal)",0,1,"Normal",2.5
"108",20,174,50,"Femenino","06:00","12:30","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,2,"Normal",6.5
"109",20,155,58,"Femenino","10:00","12:00","Bebida","Maca","En tamaño, como un vaso de jugo",3,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Galleta","Una porción estandar (normal)",1,1,"Poco",2
"110",19,185,85,"Masculino","07:30","11:30","Bebida","Quaker","Un plato de sopa",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Poco",4
"111",18,180,77,"Femenino","08:30","10:00","Bebida","Pan","Un plato de sopa",0,"1","Fruta","Avena","Una porción pequeña",0,1,"Regular",1.5
"112",19,160,51,"Femenino","10:00","11:30","Bebida","Leche","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Normal",1.5
"113",20,153,50,"Femenino","10:00","10:00","Bebida","Maca","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",2,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",1.5,2,"Regular",0
"114",18,173,67,"Masculino","08:00","13:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","Huevo ","Huevo  ","Una porción estandar (normal)",0,1.5,"Poco",5
"115",17,168,69,"Masculino","00:00","13:00","Bebida","Pan","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Galleta","Una porción estandar (normal)",0,0,"Normal",13
"116",20,171,70,"Masculino","09:00","13:00","Bebida","Refresco (x ingrediente)","En tamaño, como un vaso de jugo",2,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",1.5,3,"Poco",4
"117",19,176,73,"Masculino","07:00","11:00","Comida","Huevo  ","Plato de entrada",0,"3","Fruta","Fruta","Una porción estandar (normal)",0,1,"Muy poco",4
"118",19,150,52,"Otro","06:30","11:00","Bebida","Leche","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",4.5
"119",21,171,60,"Masculino","07:30","09:30","Bebida","Quaker","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,2,"Poco",2
"120",21,175.5,62.5,"Masculino","00:00",NA,"Ninguno","No desayuno","0",0,"0","No consumí producto secundario","Chocolate","Una porción pequeña",2,1,"Muy poco",NA
"121",20,179,60,"Otro","08:00","11:00","Bebida","Jugo de fruta(s)","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",8,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Keke","Una porción estandar (normal)",3,2,"Regular",3
"122",22,170,188,"Masculino","06:00","10:00","Bebida","Huevo  ","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","No consumí producto secundario","Ninguno","Una porción estandar (normal)",0,0,"Poco",4
"123",20,175,80,"Masculino","07:00","12:00","Bebida","Arroz","En tamaño, como un vaso de jugo",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,2,"Muy poco",5
