"¿Cuál es tu edad?","¿Cuál es su género?","¿Qué carrera estudias?","¿En qué ciclo se encuentra?","¿Conoces alguna inteligencia artificial?","¿Has utilizado la IA antes?","¿Desde cuando utilizas sistemas de IA en tu entorno académico?","¿Crees que mejoró tu rendimiento académico?","¿Para que cursos utilizas más sistemas de IA?  ","Escribe tu promedio ponderado del ciclo 2022-2","¿Cuál es tu actitud hacia la IA?","¿Cuánto tiempo en promedio usas IA al día? (Solo escribe el número de horas, si lo usas dos horas y media escribe ""2.5"" Si no usa escribe ""0"")","¿Qué tan beneficiosos consideras que son los sistemas de IA? (1= Nada beneficioso 10= Extremadamente beneficioso)","¿Cuáles son tus principales preocupaciones acerca de la IA? ","¿Qué nivel de confianza tienes en la IA?","¿Crees que la regulación de la IA es necesaria?","¿En qué nivel de optimismo clasificarías el futuro de la IA?","¿Crees que la inteligencia artificial tendrá un impacto significativo en tu futura profesión o campo de estudio?","¿Cuál de las siguientes áreas crees que se beneficiará más con el avance de la inteligencia artificial en el futuro?","¿Te gustaría aprender más sobre inteligencia artificial y cómo se aplica en la vida cotidiana, en tu campo de estudio o en tu futura profesión?","¿Qué inteligencias artificiales conoces?","¿Estarías dispuesto/a a estudiar algo relacionado con la tecnología para mantener tus habilidades actualizadas y no quedarte sin trabajo?","¿Crees que la creciente dependencia de la inteligencia artificial podría afectar la capacidad de las personas para ejercer un juicio crítico independiente?","En tu uso cotidiano de IAs, ¿Cuánto consideras que te proporciona resultados útiles?. (1= Nada útil 10= Extremadamente útil ; Si no usas sistemas de IA pon ""0"") ","Del 1 al 10 ¿Cuánto tiempo sientes que ahorras usando inteligencia artificial para tus actividades? (1= Nada de tiempo 10= Demasiado Tiempo; Si no usas sistemas de IA pon ""0"")","",""
"20","Masculino","Ciencias de la Computación","4","Sí","Sí","Desde este ciclo","Sí","Programación","15","Positiva","0.5","8","Que los usuarios lo usen de manera negativa.","Medio","Sí","Optimista","Sí","Todos","Sí","ChatGPT","Sí","Sí","6","7","",""
"18","Masculino","Ciencia de Datos","3","Sí","Sí","Desde el ciclo pasado","No","Programación","15.6","Positiva","1.5","8","Que se convierta en ultron","Medio","Sí","Optimista","Sí","Área Estudiantil","Tal vez","ChatGPT","Tal vez","Sí","7","9","",""
"18","Femenino","Bioingeniería","5","Sí","Sí","Mucho antes","Sí","Numeros","13","Neutral","1","8","Si la información es certera","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","8","8","",""
"19","Masculino","Ingeniería Civil","5","Sí","Sí","Mucho antes","No","Letras","15.84","Positiva","0.1","8","Que nos quiten el trabajo.","Medio","No","Optimista","Sí","Área estudiantil y laboral.","Sí","ChatGPT, Mid journey, CopyAI","Sí","Sí","6","7","",""
"19","Femenino","Ingeniería Mecánica","3","Sí","Sí","Desde este ciclo","Sí","Letras","16.2","Positiva","0.5","9","quiten el trabajo","Medio","No","Optimista","Tal vez","Área Laboral","Sí","ChatGPT","Sí","Sí","6","2","",""
"21","Femenino","Ingeniería Ambiental","5","No","No","No he hecho uso de sistemas de IA","No he usado","NA","11","Neutral","0","6","Que se usen piezas de arte para que la IA aprenda sin darle derechos de autor a los artistas o que se vulnere más la privacidad de las personas ","Medio","Sí","Neutral","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","0","0","",""
"22","Masculino","Ingeniería Civil","4","Sí","No","No he hecho uso de sistemas de IA","No he usado","NA","14","Neutral","0","5","Que su uso indiscriminado y sin regulación haga que los humanos no piensen por si mismos","Medio","Sí","Neutral","Tal vez","Área Laboral","Tal vez","ChatGPT, Google Bard, Youchat, Wombo","Tal vez","Sí","0","0","",""
"18","Femenino","Ingeniería Electrónica","3","Sí","Sí","Desde este ciclo","Sí","Letras","17.31","Neutral","1.5","6","Se use de forma incorrecta ","Medio","Sí","Neutral","Tal vez","Área Estudiantil","Sí","ChatGPT, Youchat","Sí","Sí","4","5","",""
"20","Femenino","Ingeniería Ambiental","3","Sí","Sí","Desde este ciclo","Sí","Numeros","14.5","Positiva","1","9","Que lo usen como fuente principal y no contrasten las fuentes","Medio","Sí","Optimista","No","Área Laboral","Sí","ChatGPT","Sí","Sí","8","8","",""
"21","Masculino","Ciencias de la Computación","6","Sí","Sí","Desde el ciclo pasado","Sí","Numeros","13","Positiva","0.5","7","Las posibilidades que esta pueda llegar a superar al ser humano","Medio","Sí","Optimista","Tal vez","Área Laboral","Tal vez","ChatGPT","Sí","Sí","5","5","",""
"22","Femenino","Bioingeniería","5","Sí","Sí","Desde este ciclo","Sí","Ciencias","14","Positiva","1.5","10","En el ámbito académico, ninguna.","Medio","No","Optimista","Sí","Área Estudiantil","Sí","ChatGPT, Perplexity AI","Sí","Sí","9","10","",""
"18","Masculino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Numeros","14","Positiva","2","10","ninguna","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","10","10","",""
"19","Masculino","Bioingeniería","5","Sí","Sí","Desde este ciclo","Sí","Numeros","14.4","Positiva","1","10","Que limiten la IA impidiendo el desarrollo, veo en la IA mucho potencial para diversos rubros","Alto","No","Muy optimista","Sí","Áreas de investigación","Sí","ChatGPT","Sí","Sí","10","10","",""
"18","Femenino","Ciencia de Datos","2","Sí","Sí","Desde este ciclo","Sí","Ciencias","14.5","Neutral","1","8","Puede generar dependencia en los estudiantes ","Medio","Sí","Optimista","No","Área Estudiantil","Sí","ChatGPT","Sí","Sí","8","8","",""
"30","Femenino","Ingeniería Industrial","10","Sí","Sí","Desde el ciclo pasado","No","Letras","16","Neutral","0","5","Uso responsable ","Medio","Sí","Neutral","Tal vez","Área Artística","Sí","ChatGPT","No","Sí","0","0","",""
"19","Femenino","Bioingeniería","4","Sí","Sí","Mucho antes","Sí","Ciencias","16.23","Positiva","8","8","El tiempo que paso usandolos.","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT, Wombo","Sí","Sí","8","6","",""
"22","Femenino","Ingeniería Civil","4","No","No","No he hecho uso de sistemas de IA","No he usado","NA","14.58","Neutral","0","6","Que no tenga límites","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT","Tal vez","Sí","0","0","",""
"17","Masculino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","No","Programación","17","Positiva","3.5","8","Que se confíe demasiado en los resultados y se pierda la noción de los temas en general","Alto","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Google Bard","Sí","Sí","7","8","",""
"17","Femenino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Sí","Programación","17.45","Positiva","1","8","Que la gente le de mal uso. ","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","No","7","4","",""
"20","Femenino","Ingeniería Ambiental","4","Sí","Sí","No he hecho uso de sistemas de IA","No he usado","NA","14.02","Neutral","0","6","Que las personas no lo ocupen correctamente ","Medio","Sí","Optimista","Tal vez","Área Laboral","Sí","ChatGPT, Google Bard, Wombo","Sí","Sí","0","0","",""
"24","Masculino","Ingeniería Industrial","10","Sí","No","No he hecho uso de sistemas de IA","No he usado","NA","16","Positiva","0","8","Seguridad de información. ","Bajo","No","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","0","0","",""
"20","Femenino","Ingeniería Química","1","Sí","Sí","Mucho antes","No he usado","Ciencias","..","Neutral","3","7","---","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT, Google Bard, Youchat, Wombo","Sí","Sí","4","4","",""
"18","Femenino","Ingeniería Química","2","Sí","Sí","Desde el ciclo pasado","Sí","Programación","15","Positiva","2.5","8","dependencia","Medio","Sí","Optimista","Tal vez","Área Estudiantil","Sí","Google Bard","Sí","Sí","8","7","",""
"19","Masculino","Ciencias de la Computación","2","Sí","Sí","Desde este ciclo","Sí","Numeros","15","Positiva","1","7","Que las personas dependan de ello","Medio","Sí","Optimista","Tal vez","Área Artística","Sí","ChatGPT","Sí","Sí","7","4","",""
"24","Masculino","Ingeniería Mecatrónica","5","Sí","Sí","Desde este ciclo","Sí","Ciencias","15.4","Positiva","1","10","Que nos domine","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Bing, Dall E","Sí","Sí","8","8","",""
"19","Femenino","Ingeniería Industrial","5","Sí","No","Desde este ciclo","Sí","Letras","13","Positiva","3.5","7","Que se equivoqué","Medio","Sí","Neutral","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","Sí","5","5","",""
"21","Femenino","Bioingeniería","6","Sí","Sí","Desde este ciclo","Sí","Programación ","14.5","Positiva","3","10","Que son premium","Medio","Sí","Muy optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","8","8","",""
"18","Masculino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Sí","Numeros","16.9","Positiva","0.3","9","Ninguna","Alto","Sí","Optimista","Tal vez","Área Estudiantil","Sí","ChatGPT, Wombo","Sí","Sí","7","9","",""
"18","Femenino","Ingeniería Química","1","Sí","Sí","Mucho antes","No","Programación ","14","Neutral","1.5","5","Que no, nose deja pensar ","Medio","Sí","Neutral","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","Sí","5","4","",""
"20","Masculino","Ciencias de la Computación","5","Sí","Sí","Desde este ciclo","Sí","Programación ","16","Positiva","1","8","la manipulacion de imagenes y/o audios usando IA.","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","7","5","",""
"17","Masculino","Ciencia de Datos","3","Sí","Sí","Desde este ciclo","No","Programación ","17.45","Neutral","2","6","Que quite el trabajo a otras personas","Medio","Sí","Optimista","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","Sí","4","3","",""
"18","Femenino","Ciencia de Datos","3","Sí","Sí","Desde este ciclo","No","Programación ","14.6","Positiva","1","4","costumbre negativa","Medio","Sí","Neutral","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","3","5","",""
"17","Masculino","Ingeniería Química","1","Sí","Sí","Mucho antes","Sí","NA","Es mi primer ciclo","Neutral","0","8","ninguna","Alto","Sí","Optimista","Tal vez","Área Laboral","Sí","ChatGPT, Youchat","Tal vez","Sí","8","7","",""
"25","Masculino","Ingeniería Industrial","8","Sí","No","Desde este ciclo","Sí","Programación","13","Positiva","0.5","10","La propiedad intelectual","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","8","9","",""
"25","Femenino","Bioingeniería","4","No","No","Desde el ciclo pasado","No he usado","NA","13.78","Negativa","0","4","Que no se logre tener un buen aprendizaje y que las personas no usen su criterio propio, ya sea en opiniones, trabajos, proyectos por guiarse de la respuesta de las IA.","Bajo","Sí","Neutral","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","Sí","0","0","",""
"17","Masculino","Ingeniería Química","1","Sí","Sí","Desde este ciclo","Sí","Ciencias","no tengo :c","Positiva","0.30","10","Que me proporcione datos erróneos ","Medio","Sí","Neutral","Sí","todas las anteriores ","Sí","ChatGPT","Sí","No","8","6","",""
"18","Masculino","Ciencias de la Computación","4","Sí","Sí","Desde este ciclo","Sí","Programación ","12.3","Positiva","0.5","9","Malas estrategias para el interés académico, profesional, artístico y laboral y su sobre-reutilización que amplia la dependencia de actividadesde las personas.","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT, Google Bard","Sí","Sí","7","9","",""
"18","Masculino","Bioingeniería","3","Sí","Sí","Mucho antes","No","NA","16.9","Positiva","0.5","6","El uso desmedido e irresponsable de la gente (muchos la usan sin contrastar la información).","Medio","Sí","Neutral","Sí","Área Laboral","Sí","ChatGPT, Youchat, Wombo","Sí","Sí","4","2","",""
"17","Masculino","Ciencias de la Computación","1","Sí","Sí","Desde este ciclo","Sí","Letras","20","Positiva","1","8","Que el turnitin la detecte","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","9","9","",""
"20","Masculino","Ingeniería Industrial","2","Sí","No","Desde este ciclo","Sí","Letras","15","Positiva","1","5","Nada ","Medio","Sí","Neutral","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","4","2","",""
"18","Femenino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Sí","Numeros","14.78","Positiva","1","9","La dependencia respecto a su uso.","Alto","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","9","7","",""
"22","Masculino","Ingeniería Mecatrónica","4","Sí","Sí","Mucho antes","No","Todos","17","Positiva","0","10","NA","Alto","No","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Canva","Sí","Sí","7","1","",""
"24","Masculino","Ingeniería Química","5","Sí","Sí","Desde este ciclo","No","Programación ","12.45","Positiva","3.5","8","La recopilación de información ","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","7","7","",""
"18","Masculino","Ciencia de Datos","3","Sí","Sí","Desde el ciclo pasado","Sí","Programación ","16.1","Neutral","1","8","Ninguna","Medio","Sí","Optimista","Sí","Área Laboral","Tal vez","ChatGPT, Youchat","Sí","Sí","6","5","",""
"20","Masculino","Ingeniería Mecatrónica","6","Sí","Sí","Desde el ciclo pasado","Sí","Numeros","14","Positiva","1","9","políticamente cesgada","Alto","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","9","10","","\"
"16","Masculino","Ingeniería de la Energía","1","Sí","Sí","Mucho antes","Sí","NA","no tuve","Positiva","1","8","el hecho que algunas personas lo usen de mal forma en medida de dejar de razonar o utilizar su creatividad para resolver problemas en l vida","Medio","Sí","Neutral","Tal vez","Mecánica ","Sí","ChatGPT, Google Bard, Youchat, Wombo","Sí","No","6","7","",""
"19","Femenino","Ingeniería Ambiental","5","Sí","Si","Mucho antes","Si","Ciencias","12.6","Positiva","3.5","6","Vulnerabilidad de mi información.","Nulo","Si","Neutral","No","Área laboral","No","Github Copilot","No","Si","9","1","",""
"21","Femenino","Ingeniería Mecánica","3","Sí","No","Desde el ciclo pasado","Si","Programación","16.6","Neutral","2","5","Disminución del criterio de las personas","Nulo","No","Muy optimista","Tal vez","Área Artística","Si","ChatGPT","No","Si","9","6","",""
"23","Femenino","Ingeniería Mecatrónica","6","Sí","Sí","Desde este ciclo","Tal vez","Letras","14.2","Neutral","0.5","8","Disminución del criterio de las personas","Bajo","No","Muy optimista","Si","Áreas de investigación","Si","Github Copilot","Si","No","10","2","",""
"18","Femenino","Ingeniería Mecatrónica","2","Sí","Sí","Desde el ciclo pasado","No","Programación","15.2","Positiva","0.5","7","No obtener información verídica","Medio","Si","Muy optimista","Si","Área estudiantil y laboral","Tal vez","Github Copilot","Si","Si","4","7","",""
"22","Femenino","Ingeniería Mecatrónica","3","Sí","Sí","Desde el ciclo pasado","No","Numeros","11.9","Negativa","0","6","No tengo preocupaciones","Alto","Si","Muy pesimista","Tal vez","Medicina","No","ChatGPT","Tal vez","No","8","9","",""
"20","Femenino","Ingeniería Ambiental","6","No","No","No he hecho uso de sistemas de IA","No","Letras","16.6","Neutral","2.5","8","No obtener información verídica","Bajo","No","Muy pesimista","Si","Medicina","Tal vez","Youchat","Tal vez","Si","5","5","",""
"19","Masculino","Ciencias de la Computación","6","Sí","Sí","Desde este ciclo","No","Numeros","12.9","Negativa","3.5","6","Disminución del criterio de las personas","Nulo","No","Muy pesimista","Si","Área estudiantil","Tal vez","Youchat","Tal vez","Si","6","5","",""
"22","Femenino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Si","Ciencias","15","Negativa","1","8","No tengo preocupaciones","Bajo","Si","Muy optimista","Si","Área laboral","Si","Google Bard","Si","Si","4","0","",""
"17","Masculino","Administración y Negocios Digitales","4","No","No","No he hecho uso de sistemas de IA","Si","Programación","11.5","Negativa","0","7","Dependencia de las personas en las IAs","Alto","No","Optimista","No","Todos","Tal vez","Google Bard","Si","No","6","9","",""
"23","Masculino","Ingeniería Mecánica","5","No","No","No he hecho uso de sistemas de IA","Si","Letras","12.6","Negativa","3","5","No obtener información verídica","Bajo","Si","Muy optimista","Si","Área Artística","No","Github Copilot","Si","Si","10","1","",""
"19","Femenino","Ingeniería Industrial","1","Sí","No","Desde el ciclo pasado","No","Numeros","11.1","Neutral","3","9","Reemplazar a las personas laboralmente","Alto","Si","Neutral","Tal vez","Área estudiantil","Tal vez","ChatGPT","Tal vez","No","2","8","",""
"20","Masculino","Ingeniería Civil","2","No","No","Desde este ciclo","Tal vez","Letras","17.3","Negativa","1.5","9","Mal uso de las IAs","Nulo","No","Neutral","No","Medicina","No","Wombo","No","Si","3","8","",""
"18","Femenino","Ciencia de Datos","4","Sí","Sí","Desde este ciclo","No","Programación","13","Neutral","0.5","5","Mal uso de las IAs","Bajo","No","Neutral","No","Todos","No","Google Bard","Tal vez","Si","6","2","",""
