Carrera,Ciclo,Promedio,Edad,Ocio,Transporte,Creditos,Tiempo_libre,Nivel_estres,Recreativos,Competencia,Sobrecarga,Caracter_profesor,Evaluaciones,Trabajo_profesores,Tiempo_limitado,No_entender_temas,Asesorias,Horas_asesorias,Ayuda_asesorias,Satisfaccion_asesorias,Valor_estres
Bioingenieria,IV Ciclo,16.110000000000003,19,6,0,19,5,Semana de exámenes finales,Feliz y relajado,3,4,4,4,4,3,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.7428571428571429
Ing Industrial,IV Ciclo,16.55,17,2,0,6,5,Entrega de trabajos finales,Feliz y relajado,3,4,4,4,4,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8285714285714286
Ing Industrial,VI Ciclo,18.650000000000002,19,3,1,17,2,Entrega de trabajos finales,Enérgico capaz de todo,2,3,3,4,3,4,2,No,0,No asistí a asesorías,No asistí a asesorías,0.6
Ing Mecatronica,IV Ciclo,14,18,6,1,17,2,Entrega de trabajos finales,Feliz y relajado,3,2,3,3,3,3,3,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.5714285714285714
Ing Industrial,IV Ciclo,13.8,19,8,2,14,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,5,3,4,4,5,4,No,0,No asistí a asesorías,No asistí a asesorías,0.8285714285714286
Ing Industrial,IV Ciclo,16.1,21,3,3,20,6,Semana de examenes parciales,Con ideas claras para mis proyectos,2,5,5,5,5,5,4,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",0.8857142857142857
Ing Ambiental,I Ciclo,14.7,17,5,2,20,4,Semana de examenes parciales,Feliz y relajado,1,3,3,3,3,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.6
Ing Industrial,II Ciclo,16,23,1,2,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,3,3,3,5,Si,3,Muchisimo,"Satisfecho, las asesorias me salvaron",0.8285714285714286
Ing Ambiental,I Ciclo,11,19,1,1,16,3,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,2,2,1,3,2,2,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.42857142857142855
Bioingenieria,II Ciclo,15,18,3,1,21,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,3,3,3,4,1,5,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.6857142857142857
Ing Civil,II Ciclo,17,19,2,1,22,5,Semana de examenes parciales,Con ideas claras para mis proyectos,5,4,3,5,3,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8571428571428571
Ciencias de la Computacion,I Ciclo,15,18,4,0,22,5,Semana de exámenes finales,Feliz y relajado,4,5,2,5,4,5,3,No,0,No asistí a asesorías,No asistí a asesorías,0.8
Ing Mecatronica,II Ciclo,18.5,17,5,0,22,5,Semana de exámenes finales,Feliz y relajado,5,4,4,4,4,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.8285714285714286
Ciencias de la Computacion,II Ciclo,14.350000000000001,17,2,0,17,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,2,4,3,3,2,3,Si,6,Regular,"Satisfecho, las asesorias me salvaron",0.5714285714285714
Ing Mecatronica,II Ciclo,18.650000000000002,18,6,1,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,4,4,3,4,2,3,Si,2,Poco,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ing Civil,II Ciclo,15.2,17,1,0,21,6,Entrega de trabajos finales,Con ideas claras para mis proyectos,4,4,2,3,4,3,3,Si,6,Poco,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ciencias de la Computacion,II Ciclo,15.950000000000001,17,4,2,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,5,5,5,5,4,5,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.9428571428571428
Ing Industrial,I Ciclo,15,17,3,0,20,6,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,4,5,4,5,4,3,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.8
Ciencias de la Computacion,II Ciclo,14.7,17,3,2,22,3,Todas las semanas me causan estrés por la cantidad de tareas,Enérgico capaz de todo,4,5,2,4,4,5,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8
Ing Industrial,II Ciclo,13,18,3,2,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,3,5,5,4,4,4,5,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.8571428571428571
Ing Ambiental,I Ciclo,13,18,1,0,21,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,5,4,4,4,5,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8285714285714286
Bioingenieria,II Ciclo,11,19,5,1,22,6,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,3,5,4,4,3,5,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Ambiental,III Ciclo,15.89,17,4,0,18,5,Semana de examenes parciales,Feliz y relajado,4,4,3,3,4,3,2,Si,3,Regular,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ing Mecatronica,II Ciclo,11.05,16,4,2,20,2,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,3,5,2,5,5,1,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6285714285714286
Ciencia de Datos,I Ciclo,14,17,3,1,20,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,4,3,4,3,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Ing Mecatronica,I Ciclo,16.85,17,8,1,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,5,3,4,3,4,3,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.7428571428571429
Ing Mecatronica,II Ciclo,13.25,17,2,1,20,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,5,3,5,4,5,5,Si,3,Regular,"Frustrado, pude hacerlo mejor",0.8571428571428571
Bioingenieria,II Ciclo,15.96,19,3,1,20,3,Semana de exámenes finales,Feliz y relajado,5,3,4,4,1,2,2,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.6
Ing Mecanica,I Ciclo,17.8,19,1,0,20,5,Entrega de trabajos finales,Con ideas claras para mis proyectos,5,4,1,5,4,5,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Bioingenieria,III Ciclo,13,18,4,0,17,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,3,3,5,5,5,4,No,0,No asistí a asesorías,No asistí a asesorías,0.8285714285714286
Ing Mecatronica,III Ciclo,13.44,21,4,1,16,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,4,3,4,4,2,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6571428571428571
Ing Mecatronica,II Ciclo,12.18,19,4,1,19,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,1,1,1,1,1,Si,0,Poco,"Frustrado, pude hacerlo mejor",0.37142857142857144
Ing Mecatronica,I Ciclo,14.4,18,4,1,7,6,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,4,4,4,4,5,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8
Ing Industrial,I Ciclo,14,17,3,1,7,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,4,3,5,3,2,4,Si,4,Poco,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Mecatronica,I Ciclo,17,17,1,2,23,1,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,5,4,5,5,5,5,Si,1,Poco,"Frustrado, pude hacerlo mejor",0.9428571428571428
Ing Ambiental,II Ciclo,15.65,18,2.5,1,7,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,3,1,4,2,3,3,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.5428571428571428
Ing Electronica,III Ciclo,15,17,4,0,24,4,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,2,5,5,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.9142857142857143
Administración y Negocios Digitales,V Ciclo,14.3,19,3,2,23,6,Semana de exámenes finales,Feliz y relajado,3,4,4,2,2,3,4,No,0,No asistí a asesorías,No asistí a asesorías,0.6285714285714286
Ing Industrial,II Ciclo,13.5,19,2,0,20,5,Semana de exámenes finales,Feliz y relajado,2,5,2,5,5,4,5,Si,4,Poco,"Satisfecho, las asesorias me salvaron",0.8
Bioingenieria,III Ciclo,14.43,19,4,0,22,6,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,4,4,2,3,3,2,4,No,0,No asistí a asesorías,No asistí a asesorías,0.6285714285714286
Bioingenieria,I Ciclo,15.239999999999998,17,3,0,17,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",1
Ing Mecanica,III Ciclo,16.75,17,3,1,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,3,2,3,3,3,2,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.5428571428571428
Ing Civil,I Ciclo,14.88,17,4,2,21,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,2,4,5,5,4,Si,1,Regular,"Frustrado, pude hacerlo mejor",0.8
Ing Industrial,I Ciclo,14,21,6,3,21,3,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,5,3,4,5,5,5,3,Si,6,Regular,"Frustrado, pude hacerlo mejor",0.8571428571428571
Ing de la Energia,II Ciclo,12.67,20,4,1,15,2,Semana de exámenes finales,Feliz y relajado,1,2,3,3,3,4,4,No,0,No asistí a asesorías,No asistí a asesorías,0.5714285714285714
Ing Quimica,I Ciclo,15.3,18,1,2,20,5,Semana de exámenes finales,Feliz y relajado,2,5,3,4,4,3,4,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.7142857142857143
Ing Ambiental,I Ciclo,14,18,2,2,20,5,Semana de examenes parciales,Con ideas claras para mis proyectos,1,5,1,3,3,1,2,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.45714285714285713
Ing Civil,II Ciclo,15.1,19,1,2,7,4,Entrega de trabajos finales,Feliz y relajado,3,2,4,4,4,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Ambiental,III Ciclo,13.8,18,3,2,18,4,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,4,5,5,3,3,4,5,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.8285714285714286
Administración y Negocios Digitales,V Ciclo,15,21,5,0,20,5,Semana de exámenes finales,Feliz y relajado,4,5,5,5,3,1,3,No,0,No asistí a asesorías,No asistí a asesorías,0.7428571428571429
Ing Mecanica,III Ciclo,16,18,4,2,20,4,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,2,4,2,4,3,2,1,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.5142857142857142
Ing Mecatronica,IV Ciclo,12.19,18,4,0,21,3,Entrega de trabajos finales,Feliz y relajado,2,5,5,4,4,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8571428571428571
Ing Quimica,II Ciclo,14,19,2,1,20,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,5,4,5,5,5,5,Si,8,Poco,"Satisfecho, las asesorias me salvaron",0.8571428571428571
Ing Civil,II Ciclo,15.850000000000001,18,4,3,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,3,5,4,4,5,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Ambiental,II Ciclo,14.01,18,1,1,21,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,2,3,3,4,3,3,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.6
Ing Ambiental,I Ciclo,13.350000000000001,18,3,0,20,4,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,4,2,2,2,2,2,Si,5,Regular,"Satisfecho, las asesorias me salvaron",0.5142857142857142
Ing Civil,IV Ciclo,14.3,18,2,0,22,5,Todas las semanas me causan estrés por la cantidad de tareas,Enérgico capaz de todo,3,4,4,4,4,4,3,No,0,No asistí a asesorías,No asistí a asesorías,0.7428571428571429
Ing Ambiental,I Ciclo,11.870000000000001,19,3,3,6,3,Semana de exámenes finales,Enérgico capaz de todo,5,5,4,4,3,5,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.8857142857142857
Bioingenieria,I Ciclo,16,18,4,0,21,2,Semana de exámenes finales,Feliz y relajado,2,4,2,3,4,4,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ing Ambiental,I Ciclo,11,17,1,2,17,5,Entrega de trabajos finales,Feliz y relajado,3,5,4,5,4,4,3,Si,2,Poco,"Descontento, no consegui resultados",0.8
Ing Industrial,II Ciclo,12.850000000000001,19,8,0,16,3,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,4,5,4,5,4,3,4,Si,4,Muchisimo,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Industrial,II Ciclo,15,18,2,1,23,4,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,5,5,3,5,3,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8857142857142857
Ing Ambiental,II Ciclo,14,18,6,1,17,5,Semana de exámenes finales,Feliz y relajado,3,5,4,3,4,4,5,Si,3,Regular,"Satisfecho, las asesorias me salvaron",0.8
Ing Ambiental,I Ciclo,14.65,19,6,2,20,6,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,5,2,4,4,4,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Industrial,II Ciclo,15.57,19,4,2,20,4,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,1,4,3,4,4,4,5,Si,3,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Civil,I Ciclo,16.75,17,2,1,21,2,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,4,4,5,4,4,3,2,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Ing Electronica,III Ciclo,15.83,18,3,0,22,1,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,1,5,4,3,4,3,5,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.7142857142857143
Ing Civil,II Ciclo,15.38,17,4,0,24,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,5,5,3,4,4,3,Si,7,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Industrial,I Ciclo,13.54,19,3,1,20,3,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,4,3,5,5,5,4,Si,5,Muchisimo,"Satisfecho, las asesorias me salvaron",0.8285714285714286
Ing Ambiental,VII Ciclo,16.2,21,4,2,19,6,Entrega de trabajos finales,Feliz y relajado,2,4,4,2,2,5,1,No,0,No asistí a asesorías,No asistí a asesorías,0.5714285714285714
Ing Mecatronica,I Ciclo,13.3,18,2,2,19,2,Entrega de trabajos finales,Feliz y relajado,4,3,3,3,3,3,4,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",0.6571428571428571
Ciencias de la Computacion,II Ciclo,16.4,17,3,2,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,1,4,3,4,5,5,3,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Civil,II Ciclo,17.45,18,4,0,22,4,Entrega de trabajos finales,Feliz y relajado,5,3,3,3,3,3,5,Si,6,Muchisimo,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Ambiental,II Ciclo,13,17,2,2,20,5,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,3,4,4,3,3,3,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6571428571428571
Ing Mecatronica,V Ciclo,13,19,6,0,16,5,Semana de exámenes finales,Enérgico capaz de todo,4,5,5,4,4,4,4,Si,2,Regular,"Descontento, no consegui resultados",0.8571428571428571
Ing Civil,II Ciclo,14.9,18,2,0,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,4,4,4,4,4,3,No,0,No asistí a asesorías,No asistí a asesorías,0.8
Ing Mecanica,II Ciclo,12,17,4,1,19,3,Semana de exámenes finales,Feliz y relajado,3,5,5,5,5,4,5,No,0,No asistí a asesorías,No asistí a asesorías,0.9142857142857143
Ing Industrial,I Ciclo,16.8,18,4,2,22,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,4,4,4,4,5,5,Si,1,Regular,"Frustrado, pude hacerlo mejor",0.8857142857142857
Ing Mecatronica,III Ciclo,14.5,17,3,1,18,5,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,4,3,2,4,4,4,3,Si,10,Regular,"Satisfecho, las asesorias me salvaron",0.6857142857142857
Ing Industrial,II Ciclo,11.5,20,4,2,16,4,Semana de exámenes finales,Feliz y relajado,3,4,1,2,4,1,1,No,0,No asistí a asesorías,No asistí a asesorías,0.45714285714285713
Ing Mecanica,II Ciclo,13.5,17,4,2,20,4,Semana de exámenes finales,Estresado porque pude haber avanzado proyectos,3,5,3,4,4,5,5,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ciencia de Datos,II Ciclo,11.55,17,4,0,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,2,5,4,5,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.8285714285714286
Ing Industrial,I Ciclo,15.850000000000001,17,4,0,20,4,Entrega de trabajos finales,Feliz y relajado,3,4,2,3,1,3,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.6
Ing Mecatronica,IV Ciclo,15.629999999999999,18,2.5,1,21,4,Semana de examenes parciales,Estresado porque pude haber avanzado proyectos,4,4,3,3,4,5,4,Si,3,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Ciencias de la Computacion,II Ciclo,13.5,17,3,1,18,3,Semana de exámenes finales,Feliz y relajado,3,4,4,4,4,4,4,Si,2,Muchisimo,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Ing Civil,II Ciclo,13,18,5,2,20,3,Semana de exámenes finales,Estresado porque pude haber avanzado proyectos,3,3,3,3,4,2,1,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.5428571428571428
Ing Mecanica,IV Ciclo,11.4,18,6,0,21,6,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,2,2,4,4,3,3,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6
Ing Mecatronica,II Ciclo,12.5,16,4,1,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,3,3,5,4,4,2,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.6857142857142857
Ing Mecatronica,VII Ciclo,15.6,22,3,2,18,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,1
Ing Industrial,II Ciclo,15.03,20,4,0,19,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,1,5,5,5,2,4,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.7714285714285715
Ing Industrial,II Ciclo,18.150000000000002,17,3,2,21,3,Entrega de trabajos finales,Feliz y relajado,4,3,5,4,5,4,5,Si,1,Regular,"Frustrado, pude hacerlo mejor",0.8571428571428571
Ing Industrial,III Ciclo,13.53,20,1,0,17,6,Semana de examenes parciales,Con ideas claras para mis proyectos,2,4,2,3,2,2,4,Si,6,Muchisimo,"Satisfecho, las asesorias me salvaron",0.5428571428571428
Bioingenieria,IX Ciclo,18.2,22,4,0,22,6,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,5,3,1,1,1,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.6
Ing Industrial,II Ciclo,16.4,21,2,1,23,6,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,4,5,4,2,4,4,3,No,0,No asistí a asesorías,No asistí a asesorías,0.7428571428571429
Administración y Negocios Digitales,X Ciclo,19,19,4,3,12,3,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,1,1,1,1,1,1,1,Si,7,Poco,"Descontento, no consegui resultados",0.2
Ing Industrial,IV Ciclo,11.53,19,5,1,20,3,Semana de exámenes finales,Feliz y relajado,3,4,4,4,3,5,5,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.8
Administración y Negocios Digitales,I Ciclo,16.8,18,3,2,22,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,4,5,5,5,5,Si,2,Regular,"Frustrado, pude hacerlo mejor",0.9714285714285714
Ing Industrial,II Ciclo,16.1,17,2,1,21,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,3,3,3,1,4,Si,4,Poco,"Frustrado, pude hacerlo mejor",0.6285714285714286
Ing Quimica,II Ciclo,11.4,17,5,2,17,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,2,4,3,2,3,4,3,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6
Ciencias de la Computacion,II Ciclo,15.450000000000001,16,3,1,20,5,Entrega de trabajos finales,Estresado porque pude haber avanzado proyectos,5,4,4,4,3,3,2,Si,2,Poco,"Frustrado, pude hacerlo mejor",0.7142857142857143
Ing Mecatronica,II Ciclo,12,18,8,0,15,5,Semana de exámenes finales,Feliz y relajado,3,5,4,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,0.9142857142857143
Ing Mecanica,II Ciclo,13.5,18,4,2,19,5,Semana de exámenes finales,Feliz y relajado,4,3,4,4,4,4,4,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Ciencia de Datos,II Ciclo,14.75,20,4,0,20,5,Semana de exámenes finales,Enérgico capaz de todo,5,4,2,4,4,4,4,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
Ing Civil,II Ciclo,16.5,19,2,2,23,6,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,4,5,4,5,5,5,5,Si,2,Poco,"Descontento, no consegui resultados",0.9428571428571428
Ing Mecatronica,I Ciclo,15.5,18,4,1,7,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,5,5,4,5,5,5,Si,4,Muchisimo,"Frustrado, pude hacerlo mejor",0.9142857142857143
Ing Industrial,II Ciclo,13.5,19,2,0,20,5,Semana de exámenes finales,Feliz y relajado,2,5,3,3,4,3,5,Si,4,Poco,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Bioingenieria,I Ciclo,10.9,17,4,1,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,5,5,5,5,5,5,5,No,0,No asistí a asesorías,No asistí a asesorías,1
Ciencias de la Computacion,II Ciclo,15.75,18,5,0,20,6,Semana de examenes parciales,Con ideas claras para mis proyectos,4,5,2,3,4,5,3,Si,4,Muchisimo,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Ing Industrial,III Ciclo,15,18,1,2,5,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,4,2,3,5,3,4,Si,6,Regular,"Satisfecho, las asesorias me salvaron",0.6857142857142857
Ing Ambiental,II Ciclo,12.3,17,2,2,21,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,5,5,5,5,5,Si,6,Regular,"Frustrado, pude hacerlo mejor",0.9428571428571428
Ing Industrial,I Ciclo,16.9,17,2,0,20,5,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,3,3,4,4,2,4,5,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
Ing Ambiental,III Ciclo,18,17,3,2,21,4,Todas las semanas me causan estrés por la cantidad de tareas,Estresado porque pude haber avanzado proyectos,3,5,3,3,3,3,3,No,0,No asistí a asesorías,No asistí a asesorías,0.6571428571428571
Ing Industrial,I Ciclo,15.7,18,2,1,24,3,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,3,4,2,4,4,5,3,Si,2,Regular,"Satisfecho, las asesorias me salvaron",0.7142857142857143
