title,artist,top genre,bpm,dB,dur,top year
T-Shirt,Migos,atl hip hop,139,-4,242,2017
Sky Walker (feat. Travis Scott),Miguel,dance pop,146,-11,259,2017
Malibu,Miley Cyrus,dance pop,140,-6,232,2017
Nights With You,MØ,art pop,120,-4,197,2017
Slow Hands,Niall Horan,dance pop,86,-7,188,2017
Magnolia,Playboi Carti,atl hip hop,163,-7,182,2017
Chameleon,PNAU,alternative dance,120,-3,198,2017
Feel It Still,Portugal. The Man,indie rock,79,-5,163,2017
Congratulations,Post Malone,dfw rap,123,-4,220,2017
I Fall Apart,Post Malone,dfw rap,144,-5,223,2017
Swang,Rae Sremmurd,hip hop,140,-9,208,2017
Black Beatles,Rae Sremmurd,hip hop,146,-6,292,2017
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,108,-10,177,2017
Losin Control,Russ,hawaiian hip hop,97,-7,238,2017
Too Good At Goodbyes,Sam Smith,dance pop,92,-8,201,2017
No Lie,Sean Paul,dance pop,102,-3,221,2017
Fetish (feat. Gucci Mane),Selena Gomez,dance pop,123,-4,186,2017
Broccoli,Shelley FKA DRAM,alternative r&b,146,-7,225,2017
Don't Leave,Snakehips,edm,122,-3,215,2017
Love Galore (feat. Travis Scott),SZA,pop,135,-6,275,2017
Look What You Made Me Do,Taylor Swift,pop,128,-6,212,2017
...Ready For It?,Taylor Swift,pop,160,-7,208,2017
Something Just Like This,The Chainsmokers,dance pop,103,-7,247,2017
Paris,The Chainsmokers,dance pop,100,-6,222,2017
All Night,The Vamps,boy band,145,-5,198,2017
Middle Of The Night,The Vamps,boy band,130,-4,175,2017
I Feel It Coming,The Weeknd,canadian contemporary r&b,93,-6,269,2017
goosebumps,Travis Scott,hip hop,130,-3,244,2017
BUTTERFLY EFFECT,Travis Scott,hip hop,141,-6,191,2017
Jocelyn Flores,XXXTENTACION,emo rap,134,-9,119,2017
Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,150,-8,276,2017
I Would Like,Zara Larsson,dance pop,121,-4,227,2017
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,161,-4,144,2017
Stay,Zedd,complextro,102,-5,210,2017
