title,artist,top genre,bpm,dB,dur,top year
Truth Hurts,Lizzo,dance pop,158,-3,173,2019
Good as Hell,Lizzo,dance pop,96,-3,160,2019
Soltera - Remix,Lunay,latin,92,-4,266,2019
Light On,Maggie Rogers,indie pop,102,-6,234,2019
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,114,-6,217,2019
Here With Me,Marshmello,brostep,100,-4,156,2019
One Thing Right,Marshmello,brostep,88,-2,182,2019
Piece Of Your Heart,MEDUZA,edm,124,-7,153,2019
Going Bad (feat. Drake),Meek Mill,hip hop,86,-6,181,2019
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,dance pop,99,-5,199,2019
Slide Away,Miley Cyrus,dance pop,148,-7,234,2019
Pure Water (with Migos),Mustard,cali rap,202,-6,192,2019
Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,120,-5,177,2019
Motivation,Normani,dance pop,171,-4,194,2019
Options,NSG,afro dancehall,102,-5,240,2019
Clout (feat. Cardi B),Offset,atl hip hop,140,-7,206,2019
High Hopes,Panic! At The Disco,modern rock,82,-3,191,2019
Adan y Eva,Paulo Londra,argentine hip hop,172,-4,257,2019
Pop Out (feat. Lil Tjay),Polo G,chicago rap,168,-7,167,2019
Circles,Post Malone,dfw rap,120,-3,215,2019
Better Now,Post Malone,dfw rap,145,-6,231,2019
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,-4,158,2019
Wow.,Post Malone,dfw rap,100,-7,150,2019
Goodbyes (feat. Young Thug),Post Malone,dfw rap,150,-4,175,2019
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,144,-10,354,2019
Ride It,Regard,dance pop,118,-4,158,2019
Keisha & Becky - Remix,Russ Millions,uk drill,141,-10,253,2019
Post Malone (feat. RANI),Sam Feldt,dance pop,107,-4,174,2019
My Type,Saweetie,cali rap,105,-6,126,2019
Otro Trago,Sech,latin,176,-5,226,2019
Señorita,Shawn Mendes,canadian pop,117,-6,191,2019
If I Can't Have You,Shawn Mendes,canadian pop,124,-4,191,2019
Don’t Feel Like Crying,Sigrid,dance pop,120,-4,157,2019
Vossi Bop,Stormzy,grime,188,-6,196,2019
Lover,Taylor Swift,pop,69,-8,221,2019
Cruel Summer,Taylor Swift,pop,170,-6,178,2019
You Need To Calm Down,Taylor Swift,pop,85,-6,171,2019
SICKO MODE,Travis Scott,hip hop,155,-4,313,2019
EARFQUAKE,"Tyler, The Creator",hip hop,80,-9,190,2019
Boasty (feat. Idris Elba),Wiley,grime,103,-5,177,2019
Strike a Pose (feat. Aitch),Young T & Bugsey,afroswing,138,-6,214,2019
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98,-7,200,2019
