title,artist,top genre,bpm,dB,dur,top year
The Monster,Eminem,detroit hip hop,110,-4,250,2013
Berzerk,Eminem,detroit hip hop,95,-4,239,2013
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,152,-4,187,2013
I Cry,Flo Rida,dance pop,126,-5,224,2013
Cruise,Florida Georgia Line,contemporary country,148,-3,209,2013
I Love It (feat. Charli XCX),Icona Pop,candy pop,126,-3,157,2013
Demons,Imagine Dragons,modern rock,90,-3,175,2013
Radioactive,Imagine Dragons,modern rock,136,-4,187,2013
Power Trip (feat. Miguel),J. Cole,conscious hip hop,100,-7,241,2013
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,100,-7,178,2013
The Other Side,Jason Derulo,dance pop,128,-4,227,2013
Holy Grail,JAY-Z,east coast hip hop,145,-7,338,2013
Love Me Again,John Newman,dance pop,126,-5,240,2013
Beauty And A Beat,Justin Bieber,canadian pop,128,-5,228,2013
Mirrors,Justin Timberlake,dance pop,77,-7,484,2013
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,102,-4,326,2013
Black Skinhead,Kanye West,chicago rap,130,-6,188,2013
This Is How We Do,Katy Perry,dance pop,96,-6,204,2013
Sonnentanz - Sun Don't Shine,Klangkarussell,austrian pop,120,-8,236,2013
All I Want,Kodaline,irish pop,187,-10,306,2013
High Hopes,Kodaline,irish pop,77,-6,230,2013
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,126,-6,215,2013
Love Me,Lil Wayne,hip hop,125,-6,255,2013
Somewhere Only We Know,Lily Allen,dance pop,81,-11,209,2013
Royals,Lorde,art pop,85,-10,190,2013
Team,Lorde,art pop,100,-7,193,2013
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,146,-4,258,2013
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,95,-7,236,2013
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,dance pop,85,-9,319,2013
Daylight,Maroon 5,pop,120,-6,225,2013
Animals - Radio Edit,Martin Garrix,dance pop,128,-5,176,2013
It's a Beautiful Day,Michael Bublé,adult standards,144,-4,199,2013
We Can't Stop,Miley Cyrus,dance pop,80,-6,231,2013
I Will Wait,Mumford & Sons,modern folk rock,131,-5,277,2013
La La La,Naughty Boy,tropical house,125,-4,221,2013
Hey Porsche,Nelly,dance pop,116,-5,209,2013
Little Talks,Of Monsters and Men,folk-pop,103,-5,267,2013
Best Song Ever,One Direction,boy band,118,-3,200,2013
One Way or Another (Teenage Kicks),One Direction,boy band,162,-3,157,2013
True Love (feat. Lily Allen),P!nk,dance pop,192,-5,231,2013
Still into You,Paramore,candy pop,136,-4,216,2013
Ain't It Fun,Paramore,candy pop,104,-4,297,2013
Home,Phillip Phillips,folk-pop,121,-6,210,2013
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,136,-4,230,2013
Don't Stop the Party (feat. TJR),Pitbull,dance pop,127,-4,206,2013
Blurred Lines,Robin Thicke,contemporary r&b,120,-8,263,2013
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,175,-5,293,2013
Reload - Radio Edit,Sebastian Ingrosso,dance pop,128,-5,221,2013
Come & Get It,Selena Gomez,dance pop,80,-4,232,2013
Look Right Through - MK Vocal Edit,Storm Queen,deep disco house,120,-8,148,2013
Papaoutai,Stromae,belgian pop,116,-7,232,2013
I Knew You Were Trouble.,Taylor Swift,pop,77,-7,220,2013
22,Taylor Swift,pop,104,-7,232,2013
Everything Has Changed,Taylor Swift,pop,80,-7,245,2013
Chocolate,The 1975,modern alternative rock,100,-4,225,2013
Ho Hey,The Lumineers,folk-pop,80,-9,163,2013
Sweater Weather,The Neighbourhood,modern alternative rock,124,-3,240,2013
What About Us,The Saturdays,bubblegum dance,124,-5,221,2013
Another Love,Tom Odell,chill pop,123,-9,244,2013
Bad (feat. Rihanna) - Remix,Wale,gangster rap,114,-7,239,2013
Scream & Shout,will.i.am,dance pop,130,-7,283,2013
#thatPOWER,will.i.am,dance pop,128,-6,280,2013
The Fox (What Does the Fox Say?),Ylvis,comic,128,-4,214,2013
Clarity,Zedd,complextro,128,-3,271,2013
