title,artist,top genre,bpm,dB,dur,top year
Whatcha Say,Jason Derulo,dance pop,144,-6,221,2010
Ridin' Solo,Jason Derulo,dance pop,89,-4,216,2010
In My Head,Jason Derulo,dance pop,110,-4,199,2010
Down,Jay Sean,dance pop,132,-4,213,2010
Do You Remember,Jay Sean,dance pop,126,-5,211,2010
Young Forever,JAY-Z,east coast hip hop,140,-3,254,2010
Heartbreak Warfare,John Mayer,neo mellow,97,-8,270,2010
Half of My Heart,John Mayer,neo mellow,115,-9,250,2010
Baby,Justin Bieber,canadian pop,65,-5,214,2010
California Gurls,Katy Perry,dance pop,125,-4,235,2010
Teenage Dream,Katy Perry,dance pop,120,-5,228,2010
Commander,Kelly Rowland,atl hip hop,125,-4,218,2010
TiK ToK,Kesha,dance pop,120,-3,200,2010
Your Love Is My Drug,Kesha,dance pop,120,-4,187,2010
Take It Off,Kesha,dance pop,125,-5,215,2010
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,120,-3,172,2010
Wavin' Flag,K'NAAN,reggae fusion,76,-6,221,2010
Live Like We're Dying,Kris Allen,idol,92,-3,213,2010
Bad Romance,Lady Gaga,art pop,119,-4,295,2010
Telephone,Lady Gaga,art pop,122,-6,221,2010
Alejandro,Lady Gaga,art pop,99,-7,274,2010
Right Above It,Lil Wayne,hip hop,76,-4,272,2010
My Chick Bad,Ludacris,atl hip hop,85,-7,217,2010
How Low,Ludacris,atl hip hop,144,-7,202,2010
Misery,Maroon 5,pop,103,-5,216,2010
When We Collide,Matt Cardle,talent show,82,-6,226,2010
Cooler Than Me - Single Mix,Mike Posner,dance pop,130,-5,213,2010
Can't Be Tamed,Miley Cyrus,dance pop,117,-3,168,2010
Animal,Neon Trees,modern alternative rock,148,-6,212,2010
Fireflies,Owl City,indietronica,180,-7,228,2010
She Said,Plan B,grime,147,-6,211,2010
Only Girl (In The World),Rihanna,barbadian pop,126,-4,235,2010
Rude Boy,Rihanna,barbadian pop,174,-4,223,2010
What's My Name?,Rihanna,barbadian pop,100,-3,263,2010
Man Down,Rihanna,barbadian pop,156,-4,267,2010
Hard,Rihanna,barbadian pop,182,-4,251,2010
Dancing On My Own - Radio Edit,Robyn,art pop,117,-6,278,2010
King of Anything,Sara Bareilles,acoustic pop,119,-4,207,2010
This Ain't a Love Song,Scouting For Girls,dance pop,177,-4,211,2010
Eenie Meenie,Sean Kingston,dance pop,121,-3,202,2010
Riverside,Sidney Samson,dutch house,126,-2,321,2010
Alors on danse - Radio Edit,Stromae,belgian pop,120,-9,206,2010
Stuck Like Glue,Sugarland,contemporary country,84,-5,248,2010
One - Radio Edit,Swedish House Mafia,dance pop,125,-7,170,2010
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,125,-6,206,2010
Dynamite,Taio Cruz,dance pop,120,-4,203,2010
Break Your Heart,Taio Cruz,dance pop,122,-4,202,2010
The Flood,Take That,boy band,101,-6,289,2010
Back To December,Taylor Swift,pop,142,-5,293,2010
Mine,Taylor Swift,pop,121,-3,231,2010
Today Was A Fairytale,Taylor Swift,pop,158,-4,242,2010
If I Die Young,The Band Perry,contemporary country,131,-7,223,2010
For the First Time,The Script,celtic rock,174,-5,253,2010
All Time Low,The Wanted,boy band,134,-5,205,2010
Seek Bromance (Avicii Vocal Edit),Tim Berg,edm,126,-3,201,2010
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,116,-7,232,2010
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,126,-7,293,2010
Pass Out,Tinie Tempah,dance pop,91,-3,268,2010
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,123,-3,208,2010
"Hey, Soul Sister",Train,dance pop,97,-4,217,2010
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,87,-6,211,2010
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,74,-5,242,2010
Say Aah (feat. Fabolous),Trey Songz,dance pop,93,-4,208,2010
What You Know,Two Door Cinema Club,indie rock,139,-4,192,2010
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,120,-3,221,2010
OMG (feat. will.i.am),Usher,atl hip hop,130,-6,269,2010
Hey Daddy (Daddy's Home),Usher,atl hip hop,96,-4,224,2010
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,131,-6,264,2010
We No Speak Americano (Edit),Yolanda Be Cool,australian dance,125,-5,157,2010
BedRock,Young Money,dance pop,148,-6,288,2010
