title,artist,top genre,bpm,dB,dur,top year
Shout Out to My Ex,Little Mix,dance pop,126,-4,246,2016
7 Years,Lukas Graham,danish pop,120,-6,237,2016
Alaska,Maggie Rogers,indie pop,104,-11,188,2016
Cold Water,Major Lazer,dance pop,93,-5,185,2016
You & Me,Marc E. Bassy,pop,84,-8,218,2016
Alone,Marshmello,brostep,142,-4,274,2016
In the Name of Love,Martin Garrix,dance pop,134,-6,196,2016
NO,Meghan Trainor,dance pop,92,-4,214,2016
The Ocean (feat. Shy Martin),Mike Perry,dance pop,90,-6,183,2016
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,102,-7,198,2016
Final Song,MØ,art pop,105,-6,236,2016
This Town,Niall Horan,dance pop,112,-8,233,2016
Close,Nick Jonas,dance pop,124,-5,234,2016
History,Olivia Holt,alt z,101,-7,204,2016
History,One Direction,boy band,87,-4,187,2016
Wherever I Go,OneRepublic,dance pop,100,-6,170,2016
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,163,-6,215,2016
Not Nice,PARTYNEXTDOOR,pop,128,-9,203,2016
Needed Me,Rihanna,barbadian pop,111,-8,192,2016
Work,Rihanna,barbadian pop,92,-6,219,2016
Lost Boy,Ruth B.,alt z,124,-15,275,2016
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,186,-6,201,2016
Same Old Love,Selena Gomez,dance pop,98,-4,229,2016
Hands To Myself,Selena Gomez,dance pop,111,-7,201,2016
Treat You Better,Shawn Mendes,canadian pop,83,-4,188,2016
I Know What You Did Last Summer,Shawn Mendes,canadian pop,114,-5,224,2016
The Greatest (feat. Kendrick Lamar),Sia,australian dance,192,-6,210,2016
Cheap Thrills (feat. Sean Paul),Sia,australian dance,90,-5,225,2016
Sweet Lovin' - Radio Edit,Sigala,dance pop,125,-3,202,2016
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,95,-6,230,2016
Just Hold On,Steve Aoki,dance pop,115,-4,199,2016
Somebody Else,The 1975,modern alternative rock,101,-6,348,2016
The Sound,The 1975,modern alternative rock,121,-5,249,2016
Closer,The Chainsmokers,dance pop,95,-6,245,2016
Don't Let Me Down,The Chainsmokers,dance pop,160,-5,208,2016
Roses,The Chainsmokers,dance pop,100,-7,227,2016
Ophelia,The Lumineers,folk-pop,76,-7,160,2016
Starboy,The Weeknd,canadian contemporary r&b,186,-7,230,2016
Once In a While,Timeflies,dance pop,105,-6,215,2016
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,120,-3,196,2016
Cool Girl,Tove Lo,art pop,102,-7,199,2016
Renegades,X Ambassadors,modern alternative rock,90,-6,195,2016
Unsteady,X Ambassadors,modern alternative rock,117,-6,194,2016
Never Forget You,Zara Larsson,dance pop,146,-6,213,2016
PILLOWTALK,ZAYN,dance pop,125,-4,203,2016
