title,artist,top genre,bpm,dB,dur,top year
Boyfriend,Justin Bieber,canadian pop,97,-6,171,2012
Mercy,Kanye West,chicago rap,140,-9,329,2012
Brokenhearted,Karmin,dance pop,120,-3,227,2012
The One That Got Away,Katy Perry,dance pop,134,-4,227,2012
Part Of Me,Katy Perry,dance pop,130,-5,216,2012
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,conscious hip hop,74,-8,314,2012
m.A.A.d city,Kendrick Lamar,conscious hip hop,91,-7,350,2012
Die Young,Kesha,dance pop,128,-5,212,2012
C'Mon,Kesha,dance pop,126,-5,214,2012
Ride,Lana Del Rey,art pop,94,-6,289,2012
Video Games,Lana Del Rey,art pop,122,-10,282,2012
Born To Die,Lana Del Rey,art pop,86,-7,286,2012
BURN IT DOWN,Linkin Park,alternative metal,110,-4,230,2012
Sexy And I Know It,LMFAO,dance pop,130,-4,199,2012
Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,168,-5,250,2012
Primadonna,MARINA,art pop,128,-3,221,2012
How to Be a Heartbreaker,MARINA,art pop,140,-5,221,2012
One More Night,Maroon 5,pop,93,-3,219,2012
Payphone,Maroon 5,pop,110,-5,231,2012
Adorn,Miguel,dance pop,179,-6,193,2012
Madness,Muse,modern rock,180,-8,281,2012
Everybody Talks,Neon Trees,modern alternative rock,155,-4,177,2012
Starships,Nicki Minaj,dance pop,125,-2,211,2012
Pound The Alarm,Nicki Minaj,dance pop,125,-4,206,2012
Dirty Paws,Of Monsters and Men,folk-pop,112,-7,278,2012
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,106,-4,186,2012
What Makes You Beautiful,One Direction,boy band,125,-2,200,2012
Live While We're Young,One Direction,boy band,126,-2,200,2012
Million Voices - Radio Edit,Otto Knows,edm,126,-6,193,2012
Good Time,Owl City,indietronica,126,-4,206,2012
Blow Me (One Last Kiss),P!nk,dance pop,114,-3,256,2012
Take a Walk,Passion Pit,alternative dance,101,-6,264,2012
"Gone, Gone, Gone",Phillip Phillips,folk-pop,118,-6,210,2012
Home,Phillip Phillips,folk-pop,121,-6,210,2012
Gangnam Style (강남스타일),PSY,k-pop,132,-3,219,2012
We Found Love,Rihanna,barbadian pop,128,-4,215,2012
Where Have You Been,Rihanna,barbadian pop,128,-6,243,2012
R.I.P. (feat. Tinie Tempah),Rita Ora,dance pop,72,-3,228,2012
Mama Do The Hump,Rizzle Kicks,uk hip hop,98,-4,216,2012
Candy,Robbie Williams,dance pop,116,-7,201,2012
Feel the Love (feat. John Newman),Rudimental,dance pop,180,-7,245,2012
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,gangster rap,128,-7,197,2012
Bangarang (feat. Sirah),Skrillex,brostep,110,-2,215,2012
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,95,-6,207,2012
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,129,-3,213,2012
I Knew You Were Trouble.,Taylor Swift,pop,77,-7,220,2012
We Are Never Ever Getting Back Together,Taylor Swift,pop,86,-6,193,2012
Ho Hey,The Lumineers,folk-pop,80,-9,163,2012
Chasing The Sun,The Wanted,boy band,128,-6,199,2012
Angels,The xx,downtempo,92,-18,172,2012
Drive By,Train,dance pop,122,-3,196,2012
50 Ways to Say Goodbye,Train,dance pop,140,-3,248,2012
Heart Attack,Trey Songz,dance pop,150,-5,233,2012
Rack City,Tyga,dance pop,99,-11,203,2012
Faded,Tyga,dance pop,95,-8,207,2012
Climax,Usher,atl hip hop,136,-9,233,2012
Anna Sun,WALK THE MOON,dance pop,140,-7,321,2012
"Work Hard, Play Hard",Wiz Khalifa,dance pop,140,-4,219,2012
