title,artist,top genre,bpm,dB,dur,top year
Shake It Out,Florence + The Machine,baroque pop,107,-4,278,2011
Pumped Up Kicks,Foster The People,indietronica,128,-6,240,2011
Tongue Tied,Grouplove,indie pop,113,-6,218,2011
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,90,-3,211,2011
Tonight Tonight,Hot Chelle Rae,dance pop,100,-5,200,2011
Dirt Road Anthem,Jason Aldean,contemporary country,127,-5,229,2011
It Girl,Jason Derulo,dance pop,92,-5,192,2011
Don't Wanna Go Home,Jason Derulo,dance pop,122,-5,206,2011
On The Floor,Jennifer Lopez,dance pop,130,-5,285,2011
Down On Me,Jeremih,chicago rap,160,-8,228,2011
Do It Like A Dude,Jessie J,dance pop,140,-4,195,2011
All Of The Lights,Kanye West,chicago rap,142,-3,300,2011
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,126,-4,231,2011
Firework,Katy Perry,dance pop,124,-5,228,2011
E.T.,Katy Perry,dance pop,152,-5,230,2011
Motivation,Kelly Rowland,atl hip hop,141,-6,231,2011
Pretty Girl Rock,Keri Hilson,dance pop,160,-5,244,2011
We R Who We R,Kesha,dance pop,120,-5,205,2011
Blow,Kesha,dance pop,120,-4,220,2011
Earthquake (feat. Tinie Tempah),Labrinth,indie poptimism,153,-4,275,2011
Just A Kiss,Lady A,contemporary country,143,-6,219,2011
Born This Way,Lady Gaga,art pop,124,-5,260,2011
The Edge Of Glory,Lady Gaga,art pop,128,-7,321,2011
6 Foot 7 Foot,Lil Wayne,hip hop,79,-5,249,2011
How To Love,Lil Wayne,hip hop,154,-6,240,2011
Party Rock Anthem,LMFAO,dance pop,130,-4,262,2011
Sexy And I Know It,LMFAO,dance pop,130,-4,199,2011
The Show Goes On,Lupe Fiasco,chicago rap,143,-4,240,2011
I Follow Rivers - The Magician Remix,Lykke Li,art pop,122,-6,280,2011
Midnight City,M83,french shoegaze,105,-7,241,2011
Donald Trump,Mac Miller,hip hop,163,-7,166,2011
Buzzin Remix,Mann,pop rap,104,-4,224,2011
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,128,-4,201,2011
Sure Thing,Miguel,dance pop,81,-8,195,2011
When We Stand Together,Nickelback,alternative metal,188,-4,191,2011
Super Bass,Nicki Minaj,dance pop,127,-4,200,2011
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,indie folk,82,-6,228,2011
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,dance pop,111,-4,202,2011
Good Life,OneRepublic,dance pop,95,-8,253,2011
Raise Your Glass,P!nk,dance pop,122,-5,203,2011
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,129,-3,252,2011
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,dance pop,128,-3,234,2011
Read All About It,Professor Green,grime,101,-6,236,2011
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,alternative rock,106,-5,282,2011
S&M,Rihanna,barbadian pop,128,-5,244,2011
We Found Love,Rihanna,barbadian pop,128,-4,215,2011
What's My Name?,Rihanna,barbadian pop,100,-3,263,2011
Down With The Trumpets,Rizzle Kicks,uk hip hop,115,-5,187,2011
Loca People - Radio Edit,Sak Noel,electro house,128,-3,216,2011
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,117,-4,188,2011
Who Says,Selena Gomez & The Scene,dance pop,101,-3,196,2011
Sweat - Remix,Snoop Dogg,g funk,130,-6,196,2011
Save The World,Swedish House Mafia,dance pop,127,-8,213,2011
Higher,Taio Cruz,dance pop,128,-5,188,2011
If I Die Young,The Band Perry,contemporary country,131,-7,223,2011
Glad You Came,The Wanted,boy band,127,-4,198,2011
More - RedOne Jimmy Joker Remix,Usher,atl hip hop,125,-3,220,2011
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,131,-6,264,2011
Black and Yellow,Wiz Khalifa,dance pop,164,-5,218,2011
Roll Up,Wiz Khalifa,dance pop,125,-5,228,2011
