,Tipo de cambio - TC Interbancario (S/ por US$) - Compra,Tipo de cambio - TC Interbancario (S/ por US$) - Venta
4/19/2022,3.698,3.702833333
4/20/2022,3.719666667,3.7235
4/21/2022,3.704333333,3.708833333
4/22/2022,3.704,3.707166667
4/23/2022,3.725,3.728333333
4/24/2022,3.749833333,3.7545
4/25/2022,3.7535,3.757166667
4/26/2022,3.753,3.756333333
4/27/2022,3.769833333,3.776833333
4/28/2022,3.769833333,3.7745
4/29/2022,3.7465,3.752666667
4/30/2022,3.722,3.728
5/1/2022,3.716833333,3.721833333
5/2/2022,3.715666667,3.72
5/3/2022,3.717833333,3.7235
5/4/2022,3.7185,3.721333333
5/5/2022,3.728,3.731
5/6/2022,3.749333333,3.7455
5/7/2022,3.780833333,3.785
5/8/2022,3.780333333,3.785166667
5/9/2022,3.783333333,3.785833333
5/11/2022,3.8185,3.824666667
5/12/2022,3.847333333,3.852
5/13/2022,3.823666667,3.832166667
5/14/2022,3.856833333,3.86
5/15/2022,3.881166667,3.8855
5/16/2022,3.886,3.888833333
5/17/2022,3.899666667,3.902666667
5/18/2022,3.939333333,3.951833333
5/19/2022,3.969833333,3.976
5/20/2022,3.946833333,3.957333333
5/21/2022,3.941333333,3.948333333
5/22/2022,3.886833333,3.895166667
5/23/2022,3.881666667,3.888
5/24/2022,3.866166667,3.874166667
5/25/2022,3.879333333,3.883166667
5/26/2022,3.907333333,3.911166667
5/27/2022,3.913166667,3.916666667
5/28/2022,3.908666667,3.913666667
5/29/2022,3.916833333,3.920333333
5/30/2022,3.916333333,3.920166667
6/2/2022,3.882,3.889833333
6/3/2022,3.9165,3.920833333
6/4/2022,3.913833333,3.916833333
6/5/2022,3.8845,3.891333333
6/6/2022,3.902,3.907166667
6/7/2022,3.9095,3.913
6/8/2022,3.926666667,3.930166667
6/9/2022,3.891666667,3.897333333
6/10/2022,3.880833333,3.884166667
6/11/2022,3.855666667,3.861166667
6/12/2022,3.845833333,3.8525
6/13/2022,3.855,3.858666667
6/14/2022,3.839,3.843
6/15/2022,3.838833333,3.843833333
6/16/2022,3.856166667,3.858666667
6/17/2022,3.876166667,3.8795
6/18/2022,3.859833333,3.8625
6/19/2022,3.864666667,3.866833333
6/20/2022,3.849333333,3.854333333
6/21/2022,3.837,3.841333333
6/22/2022,3.833,3.835166667
6/24/2022,3.841333333,3.845
6/25/2022,3.862166667,3.865333333
6/26/2022,3.8685,3.872166667
6/27/2022,3.877666667,3.883
6/28/2022,3.8955,3.898833333
6/29/2022,3.89,3.893166667
6/30/2022,3.874,3.878333333
7/1/2022,3.8765,3.880666667
7/2/2022,3.851666667,3.855666667
7/3/2022,3.862666667,3.867166667
7/4/2022,3.875333333,3.878666667
7/5/2022,3.886333333,3.889333333
7/6/2022,3.878333333,3.881166667
7/7/2022,3.864166667,3.869666667
7/8/2022,3.884833333,3.8875
7/9/2022,3.896,3.9005
7/10/2022,3.899833333,3.905
7/11/2022,3.907166667,3.9115
7/12/2022,3.935166667,3.939166667
7/13/2022,3.946166667,3.949833333
7/14/2022,3.9465,3.949833333
7/15/2022,3.970666667,3.973
7/16/2022,3.9805,3.983333333
7/17/2022,3.962666667,3.9675
7/18/2022,3.948666667,3.952166667
7/19/2022,3.962833333,3.9665
7/20/2022,3.9785,3.981666667
7/21/2022,3.972833333,3.9765
7/22/2022,3.9555,3.96
7/23/2022,3.9685,3.971333333
7/24/2022,3.981,3.983166667
7/25/2022,3.982666667,3.984666667
7/26/2022,3.987666667,3.990333333
7/27/2022,3.976333333,3.980333333
7/28/2022,3.974166667,3.976666667
7/29/2022,3.984,3.985833333
7/30/2022,3.977833333,3.980166667
7/31/2022,3.9825,3.984833333
8/1/2022,3.999333333,4.0015
8/2/2022,3.994666667,3.997166667
8/3/2022,3.988333333,3.990333333
8/4/2022,3.977,3.980166667
8/5/2022,3.971833333,3.975333333
8/6/2022,3.988333333,3.9905
8/8/2022,3.96,3.96775
8/9/2022,3.97,3.9725
8/10/2022,3.9555,3.957666667
8/11/2022,3.9485,3.951333333
8/12/2022,3.9245,3.927333333
8/13/2022,3.910333333,3.914
8/14/2022,3.862333333,3.866666667
8/15/2022,3.855333333,3.858666667
8/16/2022,3.853666667,3.857166667
8/17/2022,3.826833333,3.830166667
8/18/2022,3.835666667,3.838
8/19/2022,3.8385,3.8415
8/20/2022,3.825333333,3.829833333
8/21/2022,3.835166667,3.839166667
8/22/2022,3.847166667,3.849833333
8/23/2022,3.848666667,3.8515
8/24/2022,3.8425,3.848
8/25/2022,3.861666667,3.865666667
8/26/2022,3.849666667,3.8565
8/27/2022,3.841833333,3.846
8/28/2022,3.851833333,3.855
8/29/2022,3.826333333,3.83
8/30/2022,3.832333333,3.835666667
8/31/2022,3.845166667,3.849
9/1/2022,3.841,3.845666667
9/2/2022,3.8365,3.846333333
9/5/2022,3.830833333,3.837833333
9/6/2022,3.826833333,3.8305
9/7/2022,3.832666667,3.836333333
9/8/2022,3.845333333,3.847833333
9/9/2022,3.844666667,3.848
9/10/2022,3.832333333,3.835833333
9/11/2022,3.828666667,3.834
9/12/2022,3.814,3.818
9/13/2022,3.812,3.814666667
9/14/2022,3.814,3.818
9/15/2022,3.816833333,3.820666667
9/16/2022,3.817666667,3.82
9/17/2022,3.808833333,3.811333333
9/18/2022,3.81,3.812166667
9/19/2022,3.809,3.811666667
