"Genero","Edad","Cursos","Promedio","HorasSueño","Calidad","Estres","Ocio","Faltas","Tiempollegada","Evaluaciones"
"Masculino",21,5,14.5,6,"Pésima","Medio",4,"Irregularmente","menos de 30 min","Examenes;Trabajos;Tareas;Proyectos"
"Masculino",20,5,15,3,"Regular","Medio",3,"Medianamente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",19,7,16.8,7,"Regular","Medio",2,"Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",19,6,14,4,"Pésima","Alto",1,"Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,7,14.3,8,"Excelente","Bajo",2,"Nunca","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",21,6,16.3,6,"Regular","Medio",6,"Irregularmente","2 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",19,5,16.6,5,"Mala","Alto",4,"Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Femenino",19,5,12.2,4,"Mala","Medio",4,"Nunca","2 h y media","Examenes;Test;Tareas;Proyectos"
"Masculino",18,6,17.4,6,"Regular","Alto",3,"Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",17,6,16.4,7,"Buena","Medio",2,"Irregularmente","1 h","Examenes;Trabajos;Tareas;Proyectos"
"Masculino",18,5,15.3,7,"Buena","Medio",3,"Irregularmente","1 h","Examenes;Trabajos;Tareas;Proyectos"
"Masculino",18,6,14.5,6,"Mala","Alto",4,"Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,6,16,6,"Regular","Medio",5,"Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,5,16.2,8,"Regular","Alto",3,"Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,5,13,6,"Regular","Alto",2,"Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",17,5,17.6,7,"Regular","Bajo",3,"Irregularmente","1h y media","Trabajos grupales"
"Masculino",21,7,14.5,4,"Mala","Alto",3,"Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"Masculino",18,6,14.4,6,"Mala","Medio",6,"Nunca","menos de 30 min","Examenes;Trabajos grupales"
"Femenino",19,5,14,6,"Regular","Medio",3,"Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",17,6,12.5,6,"Buena","Medio",4,"Nunca","3 h","Test;Tareas"
"Masculino",18,6,15.9,7,"Buena","Bajo",4,"Irregularmente","menos de 30 min","Examenes;Test"
"Femenino",18,6,16.4,6,"Regular","Alto",3,"Nunca","1h y media","Examenes;Trabajos grupales"
"Masculino",23,5,11,5,"Mala","Alto",7,"Irregularmente","2 h","Examenes"
"Masculino",20,7,13.4,6,"Regular","Alto",2,"Irregularmente","1h y media","Examenes"
"Femenino",18,6,15.8,6,"Regular","Alto",4,"Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Femenino",18,7,16.4,6,"Regular","Medio",2,"Irregularmente","1 h","Examenes;Tareas;Proyectos"
"Masculino",18,7,17.2,6,"Regular","Bajo",4,"Irregularmente","menos de 30 min","Proyectos;Trabajos grupales"
"Masculino",18,6,18.4,6,"Regular","Alto",1,"Medianamente","1h y media","Examenes;Tareas;Proyectos"
"Femenino",17,7,15,4,"Mala","Alto",4,"Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,7,16,6,"Buena","Alto",4,"Medianamente","1 h","Examenes;Tareas;Proyectos"
"Masculino",18,3,18.4,6,"Regular","Medio",6,"Irregularmente","1h y media","Tareas;Proyectos;Trabajos grupales"
"Masculino",23,7,16.9,4,"Regular","Alto",1,"Irregularmente","1 h","Examenes"
"Femenino",18,5,15.4,6,"Mala","Alto",3,"Irregularmente","1h y media","Examenes;Proyectos"
"Masculino",18,6,13.1,5,"Regular","Alto",3,"Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"Masculino",20,5,14.9,5,"Regular","Medio",2,"Irregularmente","2 h","Tareas;Trabajos grupales"
"Masculino",19,6,13.5,6,"Regular","Medio",3,"Nunca","menos de 30 min","Examenes"
"Femenino",19,6,16.3,6,"Buena","Alto",8,"Irregularmente","menos de 30 min","Examenes"
"Masculino",18,8,15,5,"Mala","Medio",1,"Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
"Masculino",18,8,15,4,"Pésima","Medio",1,"Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
"Masculino",20,6,15.1,6,"Pésima","Alto",1,"Nunca","2 h","Tareas;Proyectos;Trabajos grupales"
"Femenino",17,7,15.9,6,"Mala","Alto",2,"Irregularmente","2 h","Examenes;Tareas"
"Masculino",20,7,14.4,5,"Pésima","Medio",6,"Regularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",21,6,16,7,"Regular","Medio",4,"Nunca","menos de 30 min","Examenes"
"Masculino",18,5,14.5,6,"Mala","Alto",2,"Irregularmente","1 h","Examenes;Test"
"Femenino",20,6,15,8,"Buena","Bajo",3,"Regularmente","2 h","Examenes;Test"
"Femenino",18,6,16,4,"Mala","Alto",1,"Irregularmente","2 h","Examenes;Test;Proyectos"
"Masculino",17,6,17.6,8,"Regular","Alto",3,"Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,3,16.5,9,"Buena","Medio",5,"Medianamente","menos de 30 min","Examenes;Test"
"Femenino",19,4,16.5,6,"Buena","Medio",3,"Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,6,16,7,"Buena","Medio",3,"Irregularmente","1 h","Examenes"
"Masculino",19,6,14,6,"Regular","Medio",6,"Irregularmente","3 h","Examenes;Proyectos"
"Masculino",17,7,18.8,7,"Buena","Medio",2,"Irregularmente","menos de 30 min","Proyectos;Trabajos grupales"
"Masculino",18,4,16,7,"Buena","Medio",2,"Nunca","1 h","Examenes"
"Femenino",17,7,14.5,8,"Buena","Medio",2,"Nunca","1 h","Proyectos;Trabajos grupales"
"Masculino",18,5,14.7,5,"Mala","Medio",2,"Irregularmente","menos de 30 min","Examenes"
"Femenino",19,6,16.2,6,"Regular","Alto",4,"Irregularmente","menos de 30 min","Examenes"
"Masculino",18,6,15.5,7,"Regular","Medio",1,"Irregularmente","1 h","Test"
"Masculino",18,7,14,7,"Buena","Medio",1,"Nunca","menos de 30 min","Proyectos"
"Femenino",20,6,16.4,3,"Pésima","Medio",4,"Regularmente","1 h","Trabajos grupales"
"Masculino",18,7,16.9,5,"Mala","Alto",2,"Nunca","1 h","Proyectos;Trabajos grupales"
"Masculino",19,4,15,8,"Regular","Medio",3,"Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,5,19,5,"Regular","Medio",4,"Nunca","1h y media","Proyectos;Trabajos grupales"
"Femenino",17,6,13.2,5,"Buena","Medio",5,"Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,5,16.2,7,"Excelente","Medio",6,"Nunca","1 h","Examenes;Test;Proyectos"
"Masculino",16,5,14.2,8,"Pésima","Alto",5,"Regularmente","2 h","Tareas;Proyectos;Trabajos grupales"
"Masculino",18,7,16,9,"Mala","Alto",4,"Irregularmente","2 h y media","Examenes;Test"
"Masculino",20,7,17,7,"Pésima","Alto",4,"Medianamente","3 h","Examenes;Test;Tareas"
"Femenino",19,7,14,6,"Mala","Medio",2,"Medianamente","2 h","Examenes;Test;Proyectos"
"Femenino",17,7,12,6,"Regular","Alto",5,"Irregularmente","2 h y media","Examenes;Tareas;Proyectos"
"Masculino",20,8,15,7,"Mala","Medio",4,"Medianamente","3 h","Examenes;Trabajos grupales"
"Femenino",18,7,19,7,"Regular","Medio",5,"Medianamente","3 h","Examenes;Test;Trabajos grupales"
"Femenino",20,6,12,6,"Pésima","Alto",4,"Irregularmente","1h y media","Examenes;Trabajos grupales"
"Masculino",20,8,13,9,"Pésima","Alto",2,"Nunca","1 h","Examenes;Test;Trabajos grupales"
"Femenino",19,7,18,5,"Pésima","Bajo",4,"Irregularmente","más de 3 h","Examenes;Trabajos grupales"
"Masculino",20,8,12,6,"Pésima","Medio",4,"Nunca","1h y media","Examenes;Trabajos grupales"
"Prefiero no decirlo",20,5,14.5,5,"Pésima","Medio",4,"Regularmente","2 h","Examenes;Trabajos grupales"
"Masculino",17,7,13,9,"Mala","Alto",4,"Irregularmente","2 h y media","Examenes;Trabajos grupales"
"Masculino",19,5,15.3,6,"Regular","Alto",2,"Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,5,12.3,4,"Pésima","Alto",6,"Irregularmente","1h y media","Test;Proyectos;Trabajos grupales"
"Femenino",18,7,17,8,"Buena","Medio",4,"Medianamente","1h y media","Test;Trabajos grupales"
"Femenino",18,5,16.5,6,"Pésima","Alto",4,"Regularmente","más de 3 h","Examenes;Trabajos grupales"
"Femenino",18,7,11,6,"Pésima","Alto",5,"Nunca","1 h","Examenes;Trabajos grupales"
"Masculino",18,7,17.5,5,"Buena","Medio",0,"Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"Prefiero no decirlo",20,6,11,5,"Pésima","Alto",5,"Regularmente","2 h y media","Examenes;Trabajos grupales"
"Masculino",17,5,15,6,"Regular","Medio",2,"Irregularmente","1 h","Examenes;Test;Tareas"
"Femenino",20,7,11.5,6,"Pésima","Alto",5,"Regularmente","3 h","Examenes;Trabajos grupales"
"Femenino",18,6,12,5,"Mala","Medio",2,"Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"Masculino",18,7,12.3,5,"Pésima","Medio",3,"Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"Femenino",17,7,11.4,6,"Pésima","Medio",2,"Irregularmente","1h y media","Examenes;Proyectos"
"Prefiero no decirlo",19,7,13.5,6,"Regular","Alto",4,"Medianamente","1h y media","Examenes;Trabajos grupales"
"Masculino",18,7,14,6,"Mala","Medio",3,"Regularmente","1h y media","Examenes;Test"
"Femenino",19,5,15,5,"Regular","Medio",3,"Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",17,7,12.3,6,"Mala","Alto",2,"Irregularmente","1h y media","Examenes;Test"
"Prefiero no decirlo",18,6,12.2,6,"Mala","Medio",3,"Medianamente","2 h","Proyectos;Trabajos grupales"
"Masculino",17,7,14.2,5,"Pésima","Alto",2,"Medianamente","2 h","Examenes;Trabajos grupales"
"Femenino",19,7,13.1,5,"Pésima","Alto",1,"Irregularmente","1h y media","Examenes;Tareas"
"Femenino",20,5,14.3,4,"Mala","Alto",2,"Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"Femenino",16,7,13.4,5,"Mala","Alto",3,"Medianamente","2 h y media","Examenes;Test"
"Femenino",18,7,12.4,5,"Regular","Medio",2,"Medianamente","1h y media","Examenes"
"Prefiero no decirlo",19,7,14.2,5,"Regular","Alto",2,"Medianamente","1h y media","Examenes;Trabajos grupales"
"Masculino",19,5,13.5,6,"Pésima","Alto",2,"Medianamente","1h y media","Examenes"
"Femenino",20,7,11,5,"Pésima","Alto",2,"Medianamente","1h y media","Test;Trabajos grupales"
"Femenino",17,5,18.5,6,"Excelente","Medio",2,"Nunca","1h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,6,12.4,6,"Mala","Alto",4,"Regularmente","1h y media","Examenes;Trabajos grupales"
"Femenino",19,7,11.3,7,"Regular","Alto",2,"Regularmente","1h y media","Examenes"
"Masculino",19,7,12.2,6,"Mala","Alto",3,"Irregularmente","1h y media","Examenes;Tareas"
"Masculino",19,6,12.1,7,"Mala","Medio",2,"Medianamente","2 h","Examenes;Test;Tareas"
"Masculino",17,5,13.2,6,"Regular","Bajo",1,"Irregularmente","1h y media","Examenes;Trabajos grupales"
"Femenino",20,7,13,6,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Tareas"
"Masculino",18,7,11.4,6,"Regular","Medio",2,"Irregularmente","2 h y media","Examenes;Tareas"
"Femenino",17,8,12,7,"Regular","Medio",4,"Medianamente","1h y media","Examenes;Test;Tareas"
"Prefiero no decirlo",18,5,12.6,4,"Mala","Medio",6,"Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,6,11.6,6,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Tareas"
"Femenino",19,7,11.2,6,"Regular","Alto",3,"Medianamente","1h y media","Examenes;Test;Trabajos grupales"
"Masculino",19,7,13.4,5,"Mala","Medio",3,"Medianamente","1h y media","Examenes;Test"
"Prefiero no decirlo",19,5,14.3,6,"Buena","Medio",3,"Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,7,12.6,6,"Regular","Medio",4,"Medianamente","1h y media","Examenes;Trabajos grupales"
"Femenino",19,7,12.2,5,"Mala","Medio",3,"Medianamente","1h y media","Examenes;Test;Tareas"
"Masculino",19,6,11.6,3,"Mala","Alto",4,"Irregularmente","1h y media","Proyectos;Trabajos grupales"
"Femenino",18,7,11.4,7,"Mala","Medio",2,"Medianamente","1 h","Examenes;Test"
"Femenino",19,7,14,6,"Mala","Medio",3,"Medianamente","2 h","Examenes;Test;Tareas"
"Femenino",19,7,12.6,6,"Mala","Alto",3,"Medianamente","1h y media","Examenes"
"Femenino",19,7,12.4,6,"Mala","Alto",3,"Medianamente","2 h y media","Examenes;Tareas;Proyectos"
"Masculino",19,5,13.7,2,"Regular","Medio",3,"Nunca","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,7,12.2,6,"Mala","Medio",3,"Regularmente","1h y media","Examenes;Test"
"Masculino",17,4,16.4,5,"Regular","Medio",2,"Nunca","1h y media","Examenes;Test;Tareas"
"Femenino",18,7,12.3,6,"Mala","Medio",3,"Medianamente","2 h y media","Examenes;Tareas"
"Femenino",20,7,12.7,6,"Regular","Medio",4,"Regularmente","2 h y media","Examenes;Trabajos grupales"
"Masculino",17,6,14,6,"Mala","Alto",4,"Medianamente","1 h","Examenes;Tareas"
"Femenino",18,7,12,6,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Test"
"Femenino",19,7,12.5,6,"Pésima","Medio",2,"Medianamente","1h y media","Examenes;Trabajos grupales"
"Femenino",18,7,13.3,6,"Regular","Alto",3,"Medianamente","2 h y media","Examenes;Proyectos"
"Femenino",18,7,11.3,6,"Pésima","Medio",3,"Medianamente","2 h y media","Examenes;Test;Tareas"
"Femenino",18,7,12.5,6,"Buena","Medio",3,"Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"Femenino",19,7,14.3,6,"Regular","Alto",5,"Medianamente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,6,14.6,6,"Regular","Medio",4,"Irregularmente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"Masculino",17,3,13.3,4,"Buena","Medio",5,"Medianamente","2 h y media","Tareas;Proyectos"
"Masculino",20,7,14.4,6,"Pésima","Alto",5,"Regularmente","menos de 30 min","Examenes;Test;Proyectos"
"Masculino",19,6,16.4,3,"Pésima","Medio",3,"Nunca","1h y media","Test;Proyectos"
"Masculino",19,6,16.4,3,"Pésima","Medio",3,"Nunca","1h y media","Test;Proyectos"
"Masculino",27,7,13.6,8,"Regular","Medio",3,"Medianamente","menos de 30 min","Examenes"
"Masculino",18,6,15.6,6,"Buena","Medio",5,"Nunca","1 h","Tareas;Proyectos;Trabajos grupales"
"Prefiero no decirlo",20,5,13.5,5,"Mala","Alto",3,"Medianamente","1h y media","Examenes;Test;Tareas"
"Masculino",18,6,16.4,5,"Mala","Medio",2,"Irregularmente","2 h","Examenes;Trabajos grupales"
"Femenino",18,6,15.2,6,"Regular","Medio",2,"Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,5,15.8,6,"Buena","Bajo",3,"Irregularmente","2 h y media","Test;Proyectos;Trabajos grupales"
"Masculino",17,7,14.9,3,"Mala","Alto",1,"Irregularmente","2 h","Examenes;Test;Proyectos"
"Prefiero no decirlo",17,7,16.2,7,"Regular","Medio",2,"Nunca","menos de 30 min","Test;Proyectos;Trabajos grupales"
"Prefiero no decirlo",22,4,15.3,5,"Regular","Medio",1,"Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,6,14.6,3,"Buena","Bajo",3,"Medianamente","2 h y media","Examenes;Tareas;Trabajos grupales"
"Femenino",17,7,16.5,8,"Excelente","Bajo",2,"Nunca","menos de 30 min","Examenes;Test;Trabajos grupales"
"Prefiero no decirlo",19,4,13.2,6,"Mala","Medio",3,"Nunca","2 h","Tareas;Proyectos;Trabajos grupales"
"Femenino",19,6,16.4,5,"Mala","Alto",2,"Irregularmente","1h y media","Test;Proyectos;Trabajos grupales"
"Femenino",17,7,14.5,5,"Mala","Alto",4,"Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"Femenino",18,6,17.2,7,"Excelente","Alto",4,"Nunca","menos de 30 min","Examenes;Tareas;Proyectos"
"Masculino",17,6,14,5,"Mala","Alto",5,"Medianamente","2 h y media","Examenes;Test;Tareas"
"Prefiero no decirlo",18,5,13.2,3,"Pésima","Alto",6,"Medianamente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"Femenino",16,7,14.2,6,"Mala","Bajo",5,"Regularmente","2 h","Examenes;Tareas;Trabajos grupales"
"Masculino",18,5,16.3,8,"Buena","Medio",3,"Irregularmente","2 h","Examenes;Tareas;Trabajos grupales"
"Prefiero no decirlo",16,7,16.2,6,"Regular","Alto",4,"Irregularmente","1 h","Examenes;Test;Proyectos"
"Femenino",23,6,16.3,5,"Mala","Alto",6,"Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",26,5,14.6,8,"Regular","Alto",3,"Nunca","1 h","Test;Proyectos;Trabajos grupales"
"Femenino",19,4,14,6,"Regular","Bajo",4,"Regularmente","3 h","Examenes;Test;Tareas"
"Femenino",18,3,16,7,"Excelente","Medio",3,"Regularmente","1h y media","Tareas;Proyectos;Trabajos grupales"
"Masculino",19,5,17,6,"Mala","Alto",2,"Regularmente","menos de 30 min","Examenes;Tareas;Proyectos"
"Masculino",20,5,15,4,"Regular","Medio",3,"Medianamente","menos de 30 min","Tareas;Proyectos;Trabajos grupales"
"Femenino",21,5,16,8,"Buena","Bajo",7,"Medianamente","menos de 30 min","Examenes;Tareas;Trabajos grupales"
"Femenino",18,4,16.5,8,"Regular","Bajo",3,"Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",22,6,16,7,"Buena","Medio",3,"Irregularmente","1h y media","Examenes;Tareas;Proyectos"
"Prefiero no decirlo",18,3,13,7,"Regular","Medio",4,"Irregularmente","1 h","Examenes;Test;Tareas"
"Masculino",20,4,14.4,7,"Buena","Alto",4,"Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,7,11.2,3,"Pésima","Alto",2,"Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"Femenino",17,6,13.6,6,"Buena","Medio",2,"Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,5,12.3,5,"Regular","Medio",4,"Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Femenino",17,8,15.9,4,"Buena","Alto",1,"Nunca","3 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,7,14,3,"Pésima","Medio",3,"Irregularmente","1h y media","Examenes;Tareas"
"Masculino",17,6,13.4,5,"Regular","Alto",3,"Nunca","1 h","Examenes;Proyectos;Trabajos grupales"
"Femenino",18,5,15.3,4,"Regular","Medio",2,"Medianamente","1h y media","Examenes;Tareas;Proyectos"
"Masculino",17,5,12.3,5,"Regular","Medio",2,"Nunca","1h y media","Proyectos;Trabajos grupales"
"Masculino",19,4,15.3,7,"Regular","Alto",4,"Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,5,16.8,8,"Buena","Medio",3,"Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,7,16.5,4,"Buena","Medio",4,"Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,6,16.4,6,"Buena","Medio",2,"Regularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"Prefiero no decirlo",21,5,16,4,"Buena","Bajo",5,"Medianamente","menos de 30 min","Examenes;Test;Proyectos"
"Femenino",22,5,14,3,"Buena","Medio",4,"Irregularmente","1 h","Examenes;Tareas;Proyectos"
"Masculino",18,6,8.7,4,"Regular","Alto",6,"Medianamente","1 h","Examenes;Tareas"
"Masculino",22,6,16,7,"Regular","Alto",4,"Irregularmente","2 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",18,7,13.5,7,"Buena","Bajo",3,"Irregularmente","1 h","Examenes;Tareas;Trabajos grupales"
"Masculino",25,5,16,6,"Buena","Alto",3,"Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Femenino",20,5,13.2,3,"Mala","Medio",2,"Irregularmente","1h y media","Examenes;Trabajos grupales"
"Masculino",24,6,15.4,6,"Regular","Bajo",4,"Medianamente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,6,11.7,4,"Buena","Medio",1,"Nunca","2 h","Tareas;Trabajos grupales"
"Femenino",17,7,16,8,"Regular","Medio",5,"Medianamente","1h y media","Examenes;Tareas;Trabajos grupales"
"Femenino",21,6,12.4,6,"Mala","Alto",4,"Medianamente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,5,10.5,2,"Mala","Alto",3,"Nunca","1h y media","Tareas;Trabajos grupales"
"Femenino",24,6,16.3,7,"Buena","Bajo",4,"Irregularmente","1 h","Examenes;Tareas;Proyectos"
"Femenino",19,6,17,7,"Excelente","Bajo",4,"Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",20,6,12.4,4,"Regular","Bajo",3,"Medianamente","2 h y media","Tareas;Proyectos;Trabajos grupales"
"Masculino",19,6,15.2,4,"Regular","Medio",3,"Irregularmente","2 h y media","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,5,9.6,5,"Regular","Medio",3,"Medianamente","1h y media","Examenes;Tareas;Proyectos"
"Masculino",18,5,11.4,3,"Regular","Medio",6,"Irregularmente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Femenino",19,6,8.6,3,"Mala","Medio",3,"Irregularmente","menos de 30 min","Examenes;Proyectos;Trabajos grupales"
"Femenino",18,6,12.3,7,"Regular","Alto",4,"Medianamente","1h y media","Tareas;Proyectos"
"Femenino",21,7,14.3,8,"Regular","Medio",4,"Medianamente","2 h","Examenes;Test"
"Femenino",20,7,11.8,7,"Buena","Medio",4,"Medianamente","1h y media","Tareas"
"Femenino",18,5,12.8,12,"Regular","Medio",9,"Medianamente","2 h","Examenes;Test"
"Masculino",18,7,14.7,8,"Mala","Medio",5,"Medianamente","1 h","Examenes;Test;Tareas"
"Masculino",19,7,10.7,8,"Mala","Alto",4,"Irregularmente","1 h","Examenes;Test;Tareas"
"Masculino",18,6,12.4,6,"Mala","Medio",2,"Irregularmente","1 h","Test"
"Femenino",20,4,13.8,8,"Mala","Medio",4,"Irregularmente","2 h","Examenes;Test;Tareas"
"Prefiero no decirlo",19,5,12.7,7,"Regular","Medio",4,"Medianamente","1 h","Examenes;Test"
"Masculino",20,7,15,6,"Pésima","Medio",4,"Irregularmente","1h y media","Examenes;Test"
"Femenino",18,7,12.8,7,"Regular","Medio",4,"Medianamente","1h y media","Examenes;Test;Tareas"
"Prefiero no decirlo",20,5,12.6,7,"Pésima","Medio",5,"Irregularmente","2 h","Examenes;Test;Proyectos"
"Masculino",18,6,14.8,5,"Mala","Alto",5,"Irregularmente","1h y media","Examenes;Test"
"Prefiero no decirlo",19,7,12.9,8,"Regular","Alto",7,"Medianamente","2 h","Examenes;Test;Tareas"
"Femenino",19,6,12.4,6,"Regular","Medio",9,"Irregularmente","1h y media","Examenes"
"Masculino",21,6,11.7,8,"Regular","Medio",6,"Irregularmente","1 h","Examenes;Test"
"Femenino",20,7,12.8,7,"Regular","Medio",6,"Irregularmente","1h y media","Examenes;Test"
"Femenino",19,7,12.2,8,"Regular","Medio",5,"Medianamente","1h y media","Examenes;Test"
"Femenino",21,7,12.8,7,"Buena","Medio",9,"Medianamente","menos de 30 min","Examenes;Proyectos"
"Masculino",18,7,15.2,7,"Regular","Medio",4,"Irregularmente","1h y media","Examenes;Proyectos"
"Femenino",21,6,13.7,6,"Regular","Medio",3,"Medianamente","1h y media","Examenes;Proyectos;Trabajos grupales"
"Prefiero no decirlo",22,5,14.4,7,"Buena","Alto",2,"Irregularmente","1 h","Examenes;Proyectos;Trabajos grupales"
"Masculino",19,4,16.3,7,"Excelente","Bajo",2,"Nunca","2 h","Test;Tareas;Trabajos grupales"
"Femenino",21,5,14.2,5,"Buena","Bajo",4,"Irregularmente","menos de 30 min","Tareas;Proyectos"
"Prefiero no decirlo",17,4,16.3,8,"Buena","Bajo",2,"Nunca","2 h y media","Test;Trabajos grupales"
"Masculino",19,7,13.5,6,"Pésima","Alto",1,"Nunca","2 h","Examenes;Tareas;Trabajos grupales"
"Prefiero no decirlo",18,5,12.5,8,"Regular","Medio",3,"Irregularmente","1h y media","Proyectos;Trabajos grupales"
"Masculino",19,6,17.2,7,"Buena","Alto",6,"Medianamente","1 h","Examenes;Test;Proyectos"
"Masculino",18,7,12.3,5,"Regular","Bajo",2,"Nunca","3 h","Examenes;Test;Proyectos"
"Femenino",18,4,17,9,"Mala","Alto",2,"Irregularmente","menos de 30 min","Examenes;Tareas"
