Edad,Sexo,Preferencia,Frecuencia CD2,Frecuencia CD1,Frecuencia CP,Pago,Tiempo,Prioridad,Indispensabilidad
19,Femenino,Ambos,4,4,0,No estaría dispuesto a pagar por el delivery,5.0,Otros,No
18,Femenino,Ambos,2,4,4,5-10 soles,20.0,Calidad,Sí
20,Masculino,Ambos,10,3,4,1-5 soles,60.0,Calidad,Sí
42,Femenino,Ambos,4,4,1,Más de 10 soles,60.0,Calidad,Sí
18,Femenino,Ambos,7,0,3,5-10 soles,30.0,Calidad,Sí
22,Femenino,Ambos,4,4,0,No estaría dispuesto a pagar por el delivery,30.0,Calidad,Sí
17,Femenino,Ambos,1,0,4,1-5 soles,60.0,Calidad,Sí
22,Femenino,Delivery,4,3,1,1-5 soles,30.0,Precio Bajo,Sí
18,Masculino,Ambos,2,4,4,1-5 soles,30.0,Calidad,Sí
21,Masculino,Ambos,2,2,4,1-5 soles,20.0,Calidad,Sí
21,Femenino,Restaurante,0,3,3,5-10 soles,45.0,Calidad,Sí
17,Femenino,Ambos,2,4,2,5-10 soles,30.0,Calidad,Sí
32,Femenino,Restaurante,3,3,19,5-10 soles,15.0,Calidad,Sí
18,Femenino,Delivery,4,2,3,5-10 soles,30.0,Calidad,Sí
18,Femenino,Delivery,3,4,3,5-10 soles,60.0,Calidad,Sí
17,Femenino,Restaurante,13,2,4,5-10 soles,45.0,Calidad,Sí
17,Femenino,Ambos,4,4,1,1-5 soles,45.0,Calidad,Sí
18,Masculino,Restaurante,2,4,4,5-10 soles,40.0,Precio Bajo,Sí
16,Femenino,Restaurante,4,4,4,5-10 soles,30.0,Tiempo,Sí
17,Femenino,Delivery,9,1,2,1-5 soles,20.0,Precio Bajo,Sí
17,Femenino,Restaurante,4,1,2,1-5 soles,60.0,Calidad,Sí
19,Femenino,Delivery,10,4,12,5-10 soles,30.0,Calidad,Sí
17,Femenino,Restaurante,10,18,3,1-5 soles,40.0,Calidad,Sí
18,Femenino,Delivery,7,2,1,5-10 soles,45.0,Calidad,Sí
18,Masculino,Restaurante,3,2,1,5-10 soles,60.0,Calidad,Sí
19,Masculino,Ambos,2,3,4,5-10 soles,30.0,Precio Bajo,Sí
17,Femenino,Ambos,4,4,4,5-10 soles,45.0,Calidad,Sí
21,Femenino,Delivery,2,4,3,1-5 soles,60.0,Calidad,Sí
19,Masculino,Delivery,10,4,8,5-10 soles,35.0,Calidad,Sí
17,Masculino,Restaurante,4,3,4,1-5 soles,45.0,Calidad,Sí
17,Femenino,Restaurante,4,4,2,5-10 soles,25.0,Precio Bajo,Sí
17,Masculino,Ambos,4,13,4,5-10 soles,45.0,Precio Bajo,Sí
19,Masculino,Ambos,2,4,10,1-5 soles,30.0,Precio Bajo,Sí
17,Masculino,Ambos,15,4,12,1-5 soles,35.0,Precio Bajo,Sí
18,Masculino,Ambos,1,4,3,5-10 soles,60.0,Calidad,No
23,Masculino,Restaurante,4,4,30,5-10 soles,30.0,Precio Bajo,Sí
17,Femenino,Restaurante,4,2,4,1-5 soles,45.0,Calidad,Sí
17,Femenino,Ambos,9,0,4,5-10 soles,45.0,Calidad,Sí
17,Femenino,Ambos,1,20,3,1-5 soles,15.0,Precio Bajo,Sí
18,Masculino,Ambos,4,4,11,5-10 soles,30.0,Calidad,Sí
17,Masculino,Ambos,1,4,3,1-5 soles,60.0,Precio Bajo,Sí
21,Femenino,Ambos,4,4,1,5-10 soles,20.0,Calidad,Sí
18,Masculino,Ambos,4,4,4,1-5 soles,20.0,Calidad,Sí
27,Femenino,Restaurante,8,4,4,1-5 soles,40.0,Calidad,Sí
16,Femenino,Restaurante,4,1,1,Más de 10 soles,50.0,Calidad,No
18,Masculino,Ambos,4,4,1,1-5 soles,40.0,Tiempo,Sí
18,Femenino,Ambos,4,12,4,5-10 soles,,Calidad,Sí
17,Femenino,Ambos,10,3,4,5-10 soles,40.0,Calidad,Sí
18,Masculino,Delivery,11,4,4,5-10 soles,40.0,Calidad,Sí
24,Femenino,Ambos,3,2,4,1-5 soles,20.0,Precio Bajo,Sí
17,Femenino,Restaurante,4,13,30,5-10 soles,40.0,Calidad,Sí
17,Femenino,Ambos,2,0,3,1-5 soles,50.0,Calidad,No
28,Masculino,Restaurante,1,2,4,1-5 soles,20.0,Calidad,Sí
31,Femenino,Restaurante,13,10,4,5-10 soles,60.0,Calidad,Sí
30,Masculino,Restaurante,1,2,4,1-5 soles,45.0,Calidad,No
19,Masculino,Ambos,4,1,3,1-5 soles,30.0,Calidad,No
19,Masculino,Restaurante,2,0,3,No estaría dispuesto a pagar por el delivery,30.0,Precio Bajo,Sí
28,Femenino,Ambos,4,4,4,1-5 soles,45.0,Calidad,No
32,Femenino,Restaurante,2,0,4,1-5 soles,30.0,Calidad,Sí
19,Masculino,Restaurante,3,0,2,1-5 soles,35.0,Calidad,Sí
19,Masculino,Delivery,10,7,12,1-5 soles,30.0,Tiempo,Sí
29,Femenino,Restaurante,4,4,2,5-10 soles,40.0,Calidad,Sí
17,Femenino,Ambos,4,3,2,1-5 soles,30.0,Calidad,Sí
18,Femenino,Ambos,0,1,4,5-10 soles,40.0,Precio Bajo,Sí
25,Masculino,Restaurante,2,1,3,1-5 soles,40.0,Calidad,No
22,Femenino,Ambos,3,2,4,5-10 soles,60.0,Precio Bajo,Sí
21,Masculino,Delivery,17,10,4,1-5 soles,50.0,Precio Bajo,Sí
19,Masculino,Ambos,2,3,4,5-10 soles,60.0,Calidad,No
19,Masculino,Restaurante,4,4,4,5-10 soles,50.0,Precio Bajo,No
19,Masculino,Ambos,13,4,12,5-10 soles,50.0,Otros,No
20,Masculino,Restaurante,1,2,2,5-10 soles,30.0,Calidad,Sí
26,Masculino,Restaurante,3,1,2,1-5 soles,45.0,Calidad,No
17,Masculino,Ambos,4,1,4,5-10 soles,60.0,Calidad,Sí
19,Masculino,Ambos,10,4,3,5-10 soles,30.0,Calidad,Sí
23,Masculino,Restaurante,3,0,4,5-10 soles,60.0,Calidad,No
19,Masculino,Ambos,4,4,4,1-5 soles,20.0,Precio Bajo,Sí
17,Masculino,Delivery,4,4,3,5-10 soles,90.0,Calidad,Sí
36,Masculino,Restaurante,17,8,4,1-5 soles,30.0,Calidad,Sí
28,Femenino,Ambos,2,2,4,5-10 soles,45.0,Calidad,Sí
19,Masculino,Restaurante,2,3,4,5-10 soles,60.0,Precio Bajo,Sí
41,Masculino,Restaurante,4,4,4,1-5 soles,40.0,Precio Bajo,Sí
19,Masculino,Restaurante,13,10,9,5-10 soles,30.0,Tiempo,Sí
19,Masculino,Restaurante,3,4,4,1-5 soles,60.0,Calidad,No
19,Masculino,Delivery,4,4,4,5-10 soles,45.0,Calidad,Sí
22,Femenino,Ambos,4,4,3,5-10 soles,40.0,Precio Bajo,Sí
15,Masculino,Restaurante,9,10,3,5-10 soles,30.0,Calidad,Sí
23,Masculino,Restaurante,4,2,2,1-5 soles,30.0,Calidad,Sí
20,Masculino,Ambos,8,4,12,1-5 soles,40.0,Calidad,Sí
27,Masculino,Restaurante,4,0,4,1-5 soles,10.0,Calidad,Sí
19,Masculino,Delivery,1,12,4,5-10 soles,30.0,Calidad,Sí
24,Masculino,Restaurante,4,0,2,5-10 soles,30.0,Tiempo,Sí
19,Masculino,Ambos,1,3,4,1-5 soles,50.0,Precio Bajo,Sí
18,Femenino,Restaurante,3,2,3,5-10 soles,50.0,Tiempo,Sí
19,Masculino,Ambos,9,2,23,5-10 soles,40.0,Precio Bajo,No
19,Masculino,Restaurante,2,1,4,1-5 soles,30.0,Calidad,Sí
56,Femenino,Restaurante,1,0,3,5-10 soles,30.0,Calidad,No
18,Masculino,Ambos,3,0,1,1-5 soles,35.0,Precio Bajo,Sí
18,Masculino,Restaurante,4,3,2,1-5 soles,60.0,Calidad,Sí
19,Masculino,Restaurante,4,4,7,5-10 soles,30.0,Precio Bajo,No
19,Masculino,Restaurante,2,4,4,5-10 soles,30.0,Calidad,Sí
19,Masculino,Ambos,4,4,3,1-5 soles,30.0,Calidad,Sí
25,Masculino,Restaurante,13,3,1,5-10 soles,20.0,Calidad,Sí
30,Masculino,Delivery,4,4,4,1-5 soles,30.0,Calidad,Sí
27,Masculino,Restaurante,4,2,3,1-5 soles,30.0,Calidad,Sí
22,Masculino,Restaurante,0,2,4,1-5 soles,5.0,Calidad,Sí
20,Masculino,Ambos,12,4,25,5-10 soles,30.0,Precio Bajo,Sí
18,Masculino,Restaurante,2,0,1,1-5 soles,15.0,Precio Bajo,Sí
21,Femenino,Restaurante,4,17,4,5-10 soles,60.0,Tiempo,No
18,Masculino,Restaurante,12,4,4,5-10 soles,30.0,Calidad,Sí
39,Masculino,Restaurante,11,4,12,5-10 soles,25.0,Calidad,Sí
18,Femenino,Ambos,3,0,4,5-10 soles,30.0,Precio Bajo,Sí
19,Femenino,Restaurante,4,4,1,1-5 soles,30.0,Calidad,Sí
34,Masculino,Restaurante,4,3,2,1-5 soles,30.0,Precio Bajo,No
21,Masculino,Ambos,4,0,4,5-10 soles,30.0,Calidad,Sí
35,Masculino,Restaurante,4,3,4,1-5 soles,30.0,Calidad,No
22,Masculino,Ambos,1,10,3,1-5 soles,30.0,Calidad,Sí
35,Masculino,Restaurante,2,2,4,1-5 soles,10.0,Calidad,Sí
37,Femenino,Restaurante,0,0,3,1-5 soles,30.0,Calidad,Sí
19,Femenino,Delivery,10,15,10,Más de 10 soles,20.0,Calidad,Sí
17,Femenino,Ambos,4,1,4,1-5 soles,40.0,Calidad,Sí
20,Femenino,Restaurante,4,3,2,5-10 soles,60.0,Calidad,Sí
20,Masculino,Delivery,21,3,8,1-5 soles,60.0,Calidad,Sí
18,Masculino,Ambos,2,4,30,1-5 soles,45.0,Precio Bajo,Sí
22,Masculino,Ambos,4,0,13,5-10 soles,45.0,Calidad,Sí
19,Masculino,Delivery,21,2,4,Más de 10 soles,60.0,Calidad,Sí
30,Masculino,Restaurante,4,1,4,5-10 soles,30.0,Calidad,No
20,Masculino,Delivery,11,4,4,5-10 soles,30.0,Calidad,Sí
22,Masculino,Delivery,4,3,4,5-10 soles,30.0,Calidad,Sí
29,Masculino,Ambos,11,4,4,Más de 10 soles,60.0,Calidad,Sí
17,Masculino,Ambos,3,0,0,1-5 soles,45.0,Precio Bajo,No
18,Masculino,Delivery,4,4,11,1-5 soles,60.0,Precio Bajo,Sí
18,Femenino,Restaurante,11,11,7,1-5 soles,30.0,Calidad,No
18,Masculino,Delivery,4,4,0,5-10 soles,30.0,Precio Bajo,Sí
17,Femenino,Restaurante,4,2,3,1-5 soles,60.0,Calidad,No
14,Masculino,Ambos,4,4,1,1-5 soles,45.0,Tiempo,No
51,Femenino,Restaurante,2,4,2,5-10 soles,40.0,Calidad,Sí
20,Masculino,Restaurante,4,2,10,Más de 10 soles,40.0,Calidad,Sí
18,Masculino,Restaurante,4,4,4,1-5 soles,50.0,Calidad,Sí
20,Femenino,Restaurante,4,4,4,5-10 soles,30.0,Calidad,Sí
17,Femenino,Delivery,4,3,1,5-10 soles,25.0,Calidad,Sí
17,Masculino,Delivery,4,11,2,1-5 soles,30.0,Calidad,Sí
21,Femenino,Ambos,1,4,4,1-5 soles,30.0,Calidad,Sí
20,Masculino,Restaurante,4,4,4,1-5 soles,20.0,Calidad,Sí
19,Masculino,Ambos,4,7,1,1-5 soles,30.0,Calidad,Sí
19,Masculino,Delivery,13,8,10,5-10 soles,50.0,Calidad,Sí
21,Femenino,Ambos,1,4,2,1-5 soles,30.0,Calidad,Sí
23,Masculino,Delivery,4,0,4,1-5 soles,20.0,Calidad,Sí
19,Masculino,Delivery,15,4,3,5-10 soles,60.0,Calidad,Sí
19,Masculino,Restaurante,4,4,3,1-5 soles,20.0,Precio Bajo,Sí
19,Masculino,Restaurante,1,4,1,1-5 soles,45.0,Precio Bajo,Sí
19,Masculino,Ambos,4,2,3,5-10 soles,60.0,Precio Bajo,Sí
18,Masculino,Delivery,1,0,3,1-5 soles,10.0,Precio Bajo,Sí
20,Masculino,Restaurante,3,4,4,5-10 soles,20.0,Precio Bajo,Sí
19,Femenino,Restaurante,4,10,15,5-10 soles,30.0,Calidad,Sí
20,Masculino,Ambos,4,4,4,5-10 soles,60.0,Calidad,No
19,Masculino,Delivery,1,0,0,1-5 soles,20.0,Calidad,Sí
20,Masculino,Restaurante,4,4,4,5-10 soles,40.0,Calidad,Sí
20,Femenino,Delivery,2,4,4,5-10 soles,60.0,Calidad,Sí
20,Masculino,Restaurante,4,3,1,5-10 soles,40.0,Tiempo,Sí
19,Masculino,Ambos,4,4,3,1-5 soles,40.0,Calidad,Sí
20,Masculino,Ambos,1,4,4,5-10 soles,60.0,Precio Bajo,Sí
19,Masculino,Ambos,4,2,4,1-5 soles,35.0,Precio Bajo,Sí
18,Femenino,Delivery,4,11,13,5-10 soles,5.0,Calidad,Sí
19,Masculino,Delivery,4,10,4,1-5 soles,20.0,Calidad,Sí
21,Masculino,Ambos,8,7,4,5-10 soles,45.0,Precio Bajo,Sí
20,Masculino,Ambos,4,4,2,5-10 soles,45.0,Precio Bajo,Sí
20,Masculino,Restaurante,4,1,1,1-5 soles,60.0,Precio Bajo,Sí
20,Masculino,Ambos,4,4,2,1-5 soles,60.0,Calidad,Sí
21,Masculino,Restaurante,13,13,4,5-10 soles,30.0,Precio Bajo,Sí
19,Masculino,Delivery,4,0,3,1-5 soles,30.0,Tiempo,Sí
19,Femenino,Delivery,23,1,4,1-5 soles,20.0,Calidad,Sí
18,Masculino,Delivery,4,4,4,1-5 soles,30.0,Calidad,Sí
18,Femenino,Restaurante,0,0,7,1-5 soles,15.0,Otros,Sí
20,Masculino,Delivery,4,0,2,5-10 soles,20.0,Calidad,Sí
19,Femenino,Ambos,3,4,2,1-5 soles,45.0,Calidad,Sí
19,Femenino,Ambos,3,0,4,1-5 soles,30.0,Calidad,Sí
27,Femenino,Restaurante,4,1,1,5-10 soles,30.0,Calidad,Sí
