Marca temporal,Edad,Sexo,Peso,Estatura,Carrera,Procedencia,Residencia,Beca,Independiente,Motivo,Ciclo,Edad_ingreso,Org_est,Voluntariado,Promedio,Promedio_acumulado,Cursos_jalados,Autoeval,Causas,Horas_est,Horas_sue,Alim_menor,Alim_nut,Extra,Amigos,Expres_pub,Horas_fam,Prob_acad,Prob_emo,Prob_eco,Ingreso,Gastos,din_gasto,din_ahorro,,,,,,
9/22/2022 15:44:42,19,Masculino,68,172,Ciencia de Datos,Pasco,Barranco,No cuento con ningún tipo de Beca,Sí,Soy de Provincia;Para continuar mis estudios superiores.,IV,17,No,No,13.58,14.25,2,3,Sentimientos de soledad;Depresión;Ansiedad;Estrés;El cambio a modo presencialidad,6,5,Cena,4,5,4,Sí,7,2,2,2,0,"Alimentación;Transporte;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1200,300,,,,,,
9/25/2022 18:24:33,18,Masculino,57,164,Ingeniería Mecatrónica,Puno,Santiago de Surco,Beca 18,Sí,Para continuar mis estudios superiores.,III,17,No,Sí,15.1,16.6,0,3,Depresión;Ansiedad,6,7,Desayuno,4,2,1,Sí,1,3,1,1,1000,Alimentación;Materiales de estudio,500,300,,,,,,
10/26/2022 14:49:03,19,Femenino,49,155,Bioingeniería,Huánuco,San Luis,Beca 18,No,,III,18,No,No,14.45,15.29,1,4,"Pocas horas de sueño, Estrés",6,5,Desayuno,4,2,3,Sí,1,2,2,2,700,"Alimentación, Transporte, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi)",700,300,,,,,,
10/26/2022 14:49:03,19,Femenino,49,155,Bioingeniería,Huánuco,San Luis,Beca 18,No,,III,18,Sí,No,14.05,15.29,1,4,"Pocas horas de sueño, Estrés",6,5,Desayuno,4,2,3,Sí,1,2,2,2,700,"Alimentación, Transporte, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi)",700,300,,,,,,
11/14/2022 17:51:50,19,Femenino,55,153,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,San Martín de Porres,Beca 18,No,,III,17,Sí,Sí,15.25,15.1,0,4,"Excesiva carga académica, Pocas horas de sueño, Ansiedad, Estrés, El cambio a modo presencialidad",6,7,Desayuno,5,8,4,Sí,6,1,2,2,920,"Alimentación, Transporte, Entretenimiento",630,290,,,,,,
11/14/2022 17:51:50,19,Femenino,55,153,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,San Martín de Porres,Beca 18,No,,III,17,Sí,Sí,15.25,14,0,4,"Excesiva carga académica, Pocas horas de sueño, Ansiedad, Estrés, El cambio a modo presencialidad",6,7,Desayuno,5,8,4,Sí,5,1,2,2,920,"Alimentación, Transporte, Entretenimiento",630,290,,,,,,
11/3/2022 15:43:44,19,Masculino,60,168,Ingeniería Mecánica,Cajamarca,Chorrillos,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",V,18,Sí,No,13.1,14.1,4,3,"Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, Ansiedad, Estrés, El cambio a modo presencialidad",6,6,Desayuno,4,4,4,Sí,1,1,1,2,1260,"Alimentación, Transporte, Materiales de estudio, Alquiler",1000,260,,,,,,
9/22/2022 11:41:19,18,Femenino,50,156,Ingeniería Ambiental,Ayacucho,Barranco,Beca 18,Sí,Para continuar mis estudios superiores.,III,16,No,No,14,14.61,1,2,Excesiva carga académica;Pocas horas de sueño;Sentimientos de soledad;Depresión;Estrés;El cambio a modo presencialidad,6,4,Desayuno,3,10,4,Sí,1,1,2,2,1250,"Alimentación;Transporte;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Gastos médicos;Alquiler",700,200,,,,,,
9/23/2022 21:25:19,19,Femenino,49,156,Ingeniería Ambiental,Ayacucho,Barranco,Beca 18,Sí,Para continuar mis estudios superiores.,III,16,No,No,14,14.61,1,3,Excesiva carga académica;Pocas horas de sueño;Sentimientos de soledad;Depresión;Estrés;El cambio a modo presencialidad,6,4,Desayuno,3,10,4,Sí,1,1,2,2,1250,"Alimentación;Transporte;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Gastos médicos;Alquiler",700,200,,,,,,
11/15/2022 15:11:00,19,Masculino,65,176,Ingeniería de la Energía,Cuzco,Barranco,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",III,17,No,No,16.1,13.1,1,3,"Excesiva carga académica, Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, Estrés, El cambio a modo presencialidad",6,5,Desayuno,4,5,2,Sí,2,1,1,3,1200,"Alimentación, Transporte, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",920,200,,,,,,
9/22/2022 12:27:48,18,Femenino,65,160,Ingeniería Mecánica,Puno,Barranco,Beca 18,Sí,Soy de Provincia,I,18,NA,NA,NA,NA,NA,3,Excesiva carga académica;El cambio a modo presencialidad;Problemas de salud,6,5,Desayuno,3,2,3,Sí,1,3,3,3,1000,Prendas de vestir;Alquiler,1200,200,,,,,,
9/23/2022 23:14:14,18,Femenino,63,160,Ingeniería Mecánica,Puno,Barranco,Beca 18,Sí,Soy de Provincia,I,18,NA,NA,NA,NA,NA,2,Excesiva carga académica;El cambio a modo presencialidad;Problemas de salud,6,5,Desayuno,3,2,3,Sí,1,3,3,3,1000,Prendas de vestir;Alquiler,1200,200,,,,,,
10/8/2022 16:25:35,18,Femenino,58,160,Ingeniería Electrónica,Lima Provincias,Lince,Beca Mujeres en la Ciencia,Sí,Soy de Provincia,II,17,Sí,No,18.05,18.1,0,4,"Excesiva carga académica, Procrastinación",6,5,Cena,3,2,4,Sí,3,2,1,1,1500,"Alimentación, Transporte, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Materiales de estudio, Alquiler",1000,200,,,,,,
10/8/2022 16:17:37,18,Femenino,55,155,Ingeniería Ambiental,Lima Metropolitana o Provincia Constitucional del Callao,Cercado de Lima,Beca 18,No,,III,17,Sí,No,14.02,12,2,1,"Excesiva carga académica, Procrastinación, Pocas horas de sueño, Sentimientos de soledad, Depresión, Ansiedad, Estrés",6,6,Almuerzo,4,0,1,Sí,2,1,1,3,920,"Transporte, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi)",508,200,,,,,,
10/8/2022 16:17:37,18,Femenino,55,155,Ingeniería Ambiental,Lima Metropolitana o Provincia Constitucional del Callao,Cercado de Lima,Beca 18,No,,III,17,Sí,No,14.02,12.1,2,1,"Excesiva carga académica, Procrastinación, Pocas horas de sueño, Sentimientos de soledad, Depresión, Ansiedad, Estrés",6,6,Almuerzo,4,0,1,Sí,2,1,1,3,920,"Transporte, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi)",508,200,,,,,,
11/14/2022 17:34:59,20,Femenino,58,160,Ingeniería Industrial,Moquegua,Barranco,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",III,18,No,Sí,16,15.55,0,5,"Excesiva carga académica, Actividades extracurriculares demandantes, Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, Ansiedad, Estrés",6,6,Cena,5,12,3,No,8,1,1,1,1200,"Alimentación, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",1100,100,,,,,,
11/2/2022 17:13:55,18,Masculino,63,170,Ciencias de la Computación,Apurímac,Chorrillos,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",IV,17,Sí,No,14,14.55,0,3,"Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, El cambio a modo presencialidad",6,6,Desayuno,3,7,5,Sí,3,1,2,2,1200,"Alimentación, Entretenimiento, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",1100,100,,,,,,
9/24/2022 1:41:22,20,Femenino,60,167,Ingeniería Industrial,La Libertad,Ate,Beca Mujeres en la Ciencia,Sí,Para continuar mis estudios superiores.,II,18,No,Sí,16,15.1,2,3,Excesiva carga académica;Actividades extracurriculares demandantes;Sentimientos de soledad;Depresión;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente,6,5,Almuerzo,3,2,4,No,1,1,2,2,1000,"Transporte;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Gastos médicos;Alquiler",900,100,,,,,,
9/22/2022 13:29:41,19,Femenino,60,167,Ingeniería Industrial,La Libertad,Ate,Beca Mujeres en la Ciencia,Sí,Para continuar mis estudios superiores.,II,18,No,Sí,16,15,2,3,Excesiva carga académica;Actividades extracurriculares demandantes;Sentimientos de soledad;Depresión;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente,6,5,Almuerzo,3,2,4,No,1,1,2,2,1000,"Transporte;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Gastos médicos;Alquiler",900,100,,,,,,
11/4/2022 22:09:43,18,Femenino,57,153,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,Provincia Constitucional del Callao,Beca 18,No,,III,16,No,No,12,12,2,4,"Procrastinación, Pocas horas de sueño, Estrés, El cambio a modo presencialidad",6,4,Cena,4,2,4,Sí,3,1,1,2,300,"Transporte, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi)",200,100,,,,,,
10/8/2022 16:09:56,17,Masculino,66,160,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,San Martín de Porres,Beca UTEC,No,,II,16,No,Sí,16.7,16.7,0,2,"Excesiva carga académica, Procrastinación, Pocas horas de sueño, Estrés, El cambio a modo presencialidad",6,6,Desayuno,4,0,3,Sí,5,3,3,3,300,"Alimentación, Transporte",200,100,,,,,,
9/22/2022 12:00:52,20,Femenino,58,169,Ingeniería Industrial,Piura,Barranco,Beca 18,Sí,Soy de Provincia,III,19,No,No,15,14.54,0,4,Excesiva carga académica;Procrastinación;Pocas horas de sueño;Sentimientos de soledad;Estrés;El cambio a modo presencialidad,6,3,Desayuno,3,1,3,No,1,2,2,3,1200,"Alimentación;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1000,50,,,,,,
11/9/2022 5:56:45,18,Masculino,75,173,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,Pueblo Libre,No cuento con ningún tipo de Beca,No,,II,18,No,No,12.75,12.75,2,3,Excesiva carga académica,6,6,Desayuno,3,0,3,No,2,3,1,2,60,Alimentación,40,20,,,,,,
11/9/2022 5:56:45,18,Masculino,75,173,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,Pueblo Libre,No cuento con ningún tipo de Beca,No,,II,18,No,No,12.75,12.75,2,3,Excesiva carga académica,6,6,Desayuno,3,0,3,No,2,3,1,2,60,Alimentación,40,20,,,,,,
11/9/2022 5:56:45,18,Femenino,72,173,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,Pueblo Libre,No cuento con ningún tipo de Beca,No,,II,18,No,No,12,12.75,2,2,Excesiva carga académica,6,6,Desayuno,3,0,3,No,2,3,1,2,60,Alimentación,40,20,,,,,,
11/9/2022 5:56:45,19,Masculino,65,173,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,Pueblo Libre,No cuento con ningún tipo de Beca,No,,II,18,Sí,No,12.75,12.75,2,3,Excesiva carga académica,6,6,Desayuno,3,0,3,No,2,3,1,2,60,Alimentación,40,20,,,,,,
10/8/2022 21:45:18,20,Masculino,70,171,Ingeniería Mecatrónica,Lima Metropolitana o Provincia Constitucional del Callao,Chorrillos,No cuento con ningún tipo de Beca,No,,II,20,No,No,15.1,15.1,0,3,Excesiva carga académica,6,7,Desayuno,3,2,4,Sí,3,2,2,2,250,Alimentación,250,0,,,,,,
11/3/2022 16:31:09,17,Masculino,60,160,Ingeniería Industrial,Lima Metropolitana o Provincia Constitucional del Callao,Comas,Beca 18,No,,I,17,No,No,,,,3,"Excesiva carga académica, Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, Estrés, El cambio a modo presencialidad",5,7,Desayuno,3,5,4,No,6,1,2,2,920,"Alimentación, Transporte, Entretenimiento",600,320,,,,,,
11/3/2022 16:31:09,17,Masculino,60,160,Ingeniería Industrial,Lima Metropolitana o Provincia Constitucional del Callao,Comas,Beca 18,No,,I,17,No,No,,,,3,"Excesiva carga académica, Quehaceres del hogar demandantes, Procrastinación, Pocas horas de sueño, Estrés, El cambio a modo presencialidad",5,7,Desayuno,3,5,4,No,5,1,2,2,920,"Alimentación, Transporte, Entretenimiento",600,320,,,,,,
9/22/2022 16:06:18,18,Masculino,56,164,Ingeniería Mecatrónica,Puno,Santiago de Surco,Beca 18,Sí,Para continuar mis estudios superiores.,III,17,No,Sí,15,16.6,0,2,Depresión;Ansiedad,5,7,Desayuno,4,2,1,Sí,1,3,1,1,1000,Alimentación;Materiales de estudio,500,300,,,,,,
10/8/2022 16:12:01,19,Femenino,50,153,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,San Juan de Lurigancho,No cuento con ningún tipo de Beca,No,,III,17,Sí,Sí,14,15,2,4,"Excesiva carga académica, Quehaceres del hogar demandantes, Pocas horas de sueño, Estrés, Problemas de salud",5,5,Cena,3,6,4,Sí,5,2,2,2,500,"Alimentación, Transporte, Materiales de estudio",300,200,,,,,,
10/8/2022 16:12:01,19,Femenino,50,153,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,San Juan de Lurigancho,No cuento con ningún tipo de Beca,No,,III,17,Sí,Sí,14,14,2,4,"Excesiva carga académica, Quehaceres del hogar demandantes, Pocas horas de sueño, Estrés, Problemas de salud",5,5,Cena,3,6,4,Sí,7,2,2,2,500,"Alimentación, Transporte, Materiales de estudio",300,200,,,,,,
11/14/2022 15:44:37,18,Masculino,66,177,Ingeniería Civil,Arequipa,Chorrillos,Beca Hijo de Docente,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",IV,17,Sí,Sí,18,18,0,4,"Procrastinación, Problemas de salud",5,8,Desayuno,4,4,3,Sí,2,2,2,2,1700,"Alimentación, Transporte, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Materiales de estudio, Gastos médicos, Alquiler",1500,200,,,,,,
9/27/2022 11:00:23,17,Masculino,55,178,Ciencias de la Computación,Cajamarca,Pachacamac,Beca 18,Sí,Pierdo mucho tiempo en el transporte desde mi casa a la universidad;Soy de Provincia;Para continuar mis estudios superiores.,III,18,Sí,No,15.4,14.1,1,3,Excesiva carga académica;Procrastinación;Pocas horas de sueño;Sentimientos de soledad,5,6,Desayuno,4,2,4,No,3,2,2,3,960,Alimentación;Transporte,650,200,,,,,,
9/22/2022 20:09:08,19,Masculino,51,178,Ciencias de la Computación,Cajamarca,Pachacamac,Beca 18,Sí,Pierdo mucho tiempo en el transporte desde mi casa a la universidad;Soy de Provincia;Para continuar mis estudios superiores.,III,18,No,No,15.14,14.98,1,3,Excesiva carga académica;Procrastinación;Pocas horas de sueño;Sentimientos de soledad,5,6,Desayuno,4,2,4,No,3,2,2,3,960,Alimentación;Transporte,650,200,,,,,,
10/8/2022 17:04:25,18,Femenino,50,155,Ingeniería Ambiental,Ayacucho,Barranco,Beca 18,Sí,Para continuar mis estudios superiores.,III,17,No,No,15,15,1,3,"Excesiva carga académica, Actividades extracurriculares demandantes, Pocas horas de sueño, Sentimientos de soledad, Depresión, Ansiedad, Estrés, Sentir que no encaja en la Universidad ni donde reside actualmente, El cambio a modo presencialidad, Problemas de salud",5,4,Cena,3,2,3,Sí,1,2,1,1,1200,"Alimentación, Transporte, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Materiales de estudio, Gastos médicos, Alquiler",900,200,,,,,,
11/9/2022 5:06:27,19,Masculino,70,165,Ciencias de la Computación,Ica,Barranco,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",II,18,No,No,14.25,13.5,1,3,"Actividades extracurriculares demandantes, Procrastinación, Pocas horas de sueño, Ansiedad, Estrés",5,7,Desayuno,3,6,3,Sí,2,1,1,2,1260,"Alimentación, Alquiler",1100,160,,,,,,
9/22/2022 11:25:39,18,Femenino,73,162,Ingeniería Ambiental,La Libertad,Barranco,Beca 18,Sí,Soy de Provincia;Para continuar mis estudios superiores.,III,18,No,No,13.89,15.9,2,4,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Depresión;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente,5,6,Desayuno,3,12,3,Sí,4,1,1,2,1600,"Alimentación;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1500,100,,,,,,
9/23/2022 19:06:36,18,Femenino,57,162,Ingeniería Ambiental,La Libertad,Barranco,Beca 18,Sí,Soy de Provincia;Para continuar mis estudios superiores.,III,18,No,No,13.89,15.9,2,3,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Depresión;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente,5,6,Desayuno,3,12,3,Sí,4,1,1,2,1600,"Alimentación;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1500,100,,,,,,
10/25/2022 21:38:39,19,Femenino,60,160,Ingeniería Ambiental,Cuzco,Barranco,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",III,18,No,No,13,14,3,3,"Excesiva carga académica, Quehaceres del hogar demandantes, Pocas horas de sueño, Sentimientos de soledad, Depresión, Ansiedad, Estrés, El cambio a modo presencialidad",5,6,Desayuno,3,12,4,Sí,3,2,2,2,1260,"Alimentación, Alquiler",1100,100,,,,,,
9/22/2022 1:56:59,22,Masculino,75,171,Ingeniería Electrónica,Lima Metropolitana o Provincia Constitucional del Callao,Los Olivos,No cuento con ningún tipo de Beca,Sí,Quería experimentar la independencia familiar;Pierdo mucho tiempo en el transporte desde mi casa a la universidad,IV,21,No,No,15.3,15.2,0,3,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Sentimientos de soledad;Ansiedad;Estrés,5,5,Desayuno,3,4,3,No,2,3,2,3,820,Alimentación;Transporte,400,100,,,,,,
9/22/2022 23:11:09,19,Masculino,60,171,Ingeniería Electrónica,Lima Metropolitana o Provincia Constitucional del Callao,Los Olivos,No cuento con ningún tipo de Beca,Sí,Quería experimentar la independencia familiar;Pierdo mucho tiempo en el transporte desde mi casa a la universidad,IV,21,No,No,15.3,15.2,0,1,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Sentimientos de soledad;Ansiedad;Estrés,5,5,Desayuno,3,4,3,No,2,3,2,3,820,Alimentación;Transporte,400,100,,,,,,
9/24/2022 9:03:00,21,Masculino,65,162,Ingeniería Civil,San Martín,Barranco,Beca Hijo de Docente,Sí,Soy de Provincia;Para continuar mis estudios superiores.,III,17,No,No,15.65,15.8,0,2,Procrastinación,5,7,Cena,1,3,3,No,7,2,1,2,1050,Alimentación;Alquiler,900,100,,,,,,
