País / Código,Número,Posición,Debut,Estatura,Peso,Nacimiento,Origen,Lugar de compra,Clase,Especial,Extra sticker
SUI,14,Mediocampista,2016,1.90,80,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SEN,14,Mediocampista,2021,1.67,73,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ARG,16,Delantero,2017,1.65,68,1988,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
TUN,19,Delantero,2016,1.73,75,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
KSA,18,Delantero,2012,1.71,72,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SUI,3,Portero,2021,1.94,88,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
DEN,15,Delantero,2013,1.77,73,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SEN,10,Mediocampista,2019,1.75,59,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SUI,16,Delantero,2015,1.85,84,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
BRA,13,Mediocampista,2018,1.80,72,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CRC,10,Defensa,2013,1.95,97,1988,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
BEL,11,Mediocampista,2020,1.92,79,2001,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ENG,18,Delantero,2020,1.78,65,2001,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FRA,7,Defensa,2021,1.80,75,1998,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
BRA,17,Delantero,2021,1.76,63,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POL,12,Mediocampista,2008,1.87,84,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
AUS,1,,,,,,Paquete ,Quisco 1,Escudo,TRUE ,FALSE 
KSA,2,Portero,2015,1.85,70,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
KSA,12,Mediocampista,2019,1.76,69,1994,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
KSA,11,Mediocampista,2012,1.80,62,1989,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
AUS,15,Delantero,2018,1.72,53,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
MAR,4,Defensa,2016,1.88,76,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
BEL,13,Mediocampista,2016,1.76,72,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CRC,5,Defensa,2011,1.80,77,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
IRN,5,Defensa,2018,1.83,78,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
BEL,10,Mediocampista,2010,1.81,68,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
TUN,8,Defensa,2014,1.84,74,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POL,15,Mediocampista,2013,1.80,75,1994,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CAN,5,Defensa,2012,1.88,82,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ARG,6,Defensa,2009,1.83,81,1988,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
JPN,7,Defensa,2021,1.78,72,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
QAT,19,Delantero,2014,1.94,77,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POR,12,Mediocampista,2015,1.88,83,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CMR,5,Defensa,2015,1.65,70,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ARG,4,Defensa,2016,1.72,69,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FRA,3,Portero,2020,1.91,91,1995,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
DEN,19,Delantero,2020,1.90,82,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
QAT,18,Delantero,2016,1.80,68,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
AUS,8,Defensa,2014,1.83,76,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CRO,18,Delantero,2018,1.82,84,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
URU,15,Mediocampista,2016,1.87,81,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
USA,4,Defensa,2019,1.75,62,2000,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SRB,17,Delantero,2013,1.88,90,1994,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
TUN,18,Delantero,2010,1.79,73,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SUI,11,Mediocampista,2010,1.69,72,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
GER,11,Mediocampista,2011,1.80,79,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
TUN,1,,,,,,Paquete ,Quisco 1,Escudo,TRUE ,FALSE 
JPN,8,Defensa,2010,1.89,87,1988,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
GHA,3,Portero,2015,1.90,100,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FRA,2,Portero,2008,1.88,82,1986,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SEN,1,,,,,,Paquete ,Quisco 1,Escudo,TRUE ,FALSE 
USA,18,Delantero,2020,1.85,79,2002,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SRB,15,Mediocampista,2013,1.69,62,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
JPN,5,Defensa,2019,1.81,76,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FWC,0,,,,,,Paquete ,Tambo 1,Logo,FALSE ,FALSE 
FWC,3,,,,,,Paquete ,Tailoy 1,Logo,FALSE ,FALSE 
QAT,2,Arquero,2009,1.88,83,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,3,Arquero,2020,1.80,66,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,6,Defensa,2010,1.85,82,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,7,Defensa,2016,1.66,60,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,9,Defensa,2016,1.80,73,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,11,Mediocampista,2013,1.90,87,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,13,Mediocampista,2017,1.63,71,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
QAT,18,Delantero,2016,1.80,68,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ECU,4,Defensa,2016,1.87,85,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ECU,6,Defensa,2019,1.75,78,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ECU,13,Mediocampista,2018,1.75,72,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,4,Defensa,2012,1.75,70,1989,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,5,Defensa,2018,1.97,83,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,7,Defensa,2015,1.95,89,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,10,Mediocampista,2019,1.75,59,1999,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,11,Mediocampista,2011,1.74,66,1989,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,15,Delantero,2020,1.80,75,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SEN,17,Delantero,2021,1.78,72,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
NED,1,,,,,,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
NED,15,Delantero,2018,1.78,74,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
NED,19,Delantero,2019,1.79,78,1999,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ENG,3,Arquero,2021,1.88,77,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ENG,8,Defensa,2014,1.88,70,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ENG,17,Delantero,2015,1.88,85,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ENG,19,Delantero,2012,1.70,69,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
IRN,6,Defensa,2015,1.88,81,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
IRN,12,Mediocampista,2015,1.90,78,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
IRN,16,Delantero,2009,1.86,77,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
USA,4,Defensa,2019,1.75,62,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
USA,9,Defensa,2017,1.90,89,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
USA,10,Defensa,2020,1.78,70,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
USA,13,Mediocampista,2017,1.80,86,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
USA,19,Delantero,2018,1.85,66,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
WAL,6,Defensa,2007,1.80,71,1989,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,3,Arquero,2018,1.89,85,1986,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,6,Defensa,2009,1.83,81,1988,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,9,Mediocampista,2018,1.80,70,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,11,Mediocampista,2017,1.77,70,1996,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,14,Delantero,2021,1.70,71,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,17,Delantero,2019,1.80,72,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ARG,19,Delantero,2005,1.70,72,1987,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KSA,1,,,,,,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
KSA,9,Defensa,2019,1.82,73,1999,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KSA,12,Mediocampista,2019,1.76,69,1994,Paquete,Wong,Jugador,FALSE ,FALSE 
KSA,13,Mediocampista,2017,1.76,68,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
KSA,19,Delantero,2022,1.71,64,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
MEX,11,Mediocampista,2014,1.73,62,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
MEX,12,Mediocampista,2005,1.69,60,1986,Paquete,Wong,Jugador,FALSE ,FALSE 
MEX,15,Delantero,2018,1.68,58,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POL,2,Arquero,2009,1.92,96,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POL,5,Defensa,2013,1.83,77,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POL,9,Defensa,2009,1.73,75,1989,Paquete,Wong,Jugador,FALSE ,FALSE 
POL,12,Mediocampista,2008,1.87,84,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
POL,15,Mediocampista,2013,1.80,75,1994,Paquete,Wong,Jugador,FALSE ,FALSE 
FRA,3,Arquero,2020,1.91,91,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
FRA,17,Delantero,2014,1.76,73,1991,Paquete,Wong,Jugador,FALSE ,FALSE 
FRA,19,Delantero,2022,1.75,73,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
AUS,6,Defensa,2018,1.76,79,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
AUS,9,Defensa,2019,1.98,79,1998,Paquete,Wong,Jugador,FALSE ,FALSE 
AUS,13,Mediocampista,2018,1.79,65,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
AUS,14,Mediocampista,2012,1.74,68,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
AUS,15,Delantero,2018,1.72,53,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
DEN,7,Defensa,2016,1.80,74,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
DEN,8,Defensa,2013,1.99,96,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
DEN,12,Mediocampista,2014,1.87,84,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
TUN,6,Defensa,2008,1.85,74,1990,Paquete,Wong,Jugador,FALSE ,FALSE 
TUN,8,Defensa,2014,1.84,74,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
TUN,10,Defensa,2021,1.90,81,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ESP,1,,,,,,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
ESP,4,Defensa,2013,1.78,77,1989,Paquete,Wong,Jugador,FALSE ,FALSE 
ESP,7,Defensa,2021,1.89,85,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ESP,14,Mediocampista,2009,1.89,76,1988,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
ESP,15,Defensa,2019,1.79,72,1998,Paquete,Wong,Jugador,FALSE ,FALSE 
ESP,19,Delantero,2019,1.74,70,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRC,4,Defensa,2010,1.70,65,1989,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRC,10,Defensa,2013,1.95,97,1988,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRC,14,Delantero,2011,1.79,66,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRC,15,Delantero,2021,1.75,70,2004,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
GER,3,Arquero,2012,1.87,85,1992,Paquete,Wong,Jugador,FALSE ,FALSE 
GER,11,Mediocampista,2011,1.80,79,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
JPN,10,Mediocampista,2011,1.77,68,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
JPN,18,Delantero,2021,1.78,71,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BEL,14,Mediocampista,2018,1.94,77,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BEL,15,Mediocampista,2008,1.86,81,1989,Paquete,Wong,Jugador,FALSE ,FALSE 
CAN,3,Arquero,2016,1.85,88,1994,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CAN,18,Delantero,2015,1.74,70,1990,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
MAR,15,Delantero,2018,1.82,72,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRO,3,Arquero,2021,1.95,88,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRO,6,Defensa,2017,1.75,68,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRO,8,Defensa,2021,1.87,79,1998,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRO,12,Mediocampista,2006,1.72,66,1985,Paquete,Wong,Jugador,FALSE ,FALSE 
CRO,13,Mediocampista,2014,1.88,82,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
CRO,18,Delantero,2018,1.82,84,1993,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BRA,2,Arquero,2015,1.91,91,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BRA,5,Defensa,2011,1.84,84,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BRA,10,Mediocampista,2010,1.71,68,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BRA,13,Mediocampista,2018,1.80,72,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
BRA,17,Delantero,2021,1.76,63,1996,Paquete,Wong,Jugador,FALSE ,FALSE 
SRB,1,,,,,,Paquete,Tailoy 1,Escudo,TRUE ,FALSE 
SRB,2,Arquero,2013,1.91,85,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SRB,6,Defensa,2017,1.88,85,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SRB,8,Mediocampista,2014,1.87,73,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SRB,9,Mediocampista,2015,1.84,82,1992,Paquete,Wong,Jugador,FALSE ,FALSE 
SRB,13,Mediocampista,2017,1.91,76,1995,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SRB,19,Delantero,2020,1.90,75,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,7,Defensa,2011,1.82,77,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,11,Mediocampista,2010,1.69,72,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,13,Mediocampista,2011,1.85,82,1992,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,14,Mediocampista,2016,1.90,80,1996,Paquete,Wong,Jugador,FALSE ,FALSE 
SUI,15,Mediocampista,2017,1.82,79,1991,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,16,Delantero,2015,1.85,84,1997,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
SUI,17,Delantero,2019,1.85,85,2000,Paquete,Tailoy 1,Jugador,FALSE ,FALSE 
