Edad (años cumplidos) ,Género,Carrera,Ciclo,Lugar de residencia,¿Qué método de estudio usas con más frecuencia?,¿De qué manera prefiere realizar sus apuntes para un examen?,¿Que zona es de su preferencia para aplicar su método de estudio?,¿Eres autodidacta?,¿Prefieres estudiar solo o con un grupo de amigos?,Días de anticipación que tomas para rendir un examen ,¿Cuántos días sueles estudiar a la semana? fuera de clases,Tiempo que le dedica a estudiar en horas al día - Ej. 1 o 15 (solo el número de horas),Moda de notas en los exámenes del ciclo regular anterior. Ej. 14 o 14.5 (máximo 1 decimal) ,Promedio general del ciclo regular anterior. Ej. 13 o 13.5 (máximo 1 decimal) 
20,Masculino,Ing. Mecatrónica,7,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Ambos,10,4,1,16,16
19,Femenino,Ing. Industrial,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,Si,Solo,4,5,5,17,17.3
19,Femenino,Ing. Electrónica,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Biblioteca,No,Ambos,7,3,5,15,15.29
18,Masculino,Ing. Mecatrónica,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Solo,10,4,4,16,16
18,Masculino,Ing. Mecánica,4,Provincia,Resúmenes escritos,Ambos,Casa,Si,Solo,5,7,2,13,15
18,Femenino,Administración y negocios digitales,3,Provincia,Resúmenes escritos,Virtual,Casa,Si,Ambos,3,4,8,13,13
20,Femenino,Bioingeniería,4,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","Resúmenes gráficos (mapas mentales, diagramas)",Físico,Biblioteca,Si,Ambos,4,1,5,16.5,14.5
19,Femenino,Ing. Ambiental,7,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Resúmenes gráficos (mapas mentales, diagramas)",Físico,Biblioteca,Si,Con amigos,5,4,3,14,15.7
19,Femenino,Ing. Mecatrónica,5,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Solo,3,3,6,14,13.94
18,Femenino,Administración y negocios digitales,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Solo,4,3,2,15,16
21,Femenino,Bioingeniería,6,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Ambos,8,5,2,15,12
19,Masculino,Ing.Civil,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Resúmenes gráficos (mapas mentales, diagramas)",Virtual,Casa,Si,Con amigos,6,5,2,14,14
18,Masculino,Ing. Industrial,2,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Ambos,10,6,4,14,12
18,Femenino,Ing. Mecatrónica,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Ambos,3,3,4,14,12.50
18,Femenino,Ciencia de la computación,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Ambos,3,7,7,14,14.5
22,Masculino,Ing. Electrónica,7,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resaltado,Ambos,Biblioteca,No,Solo,4,4,4,13,11.4
18,Femenino,Ing. Industrial,2,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Flashcards,Físico,Casa,Si,Ambos,3,6,5,14.3,14.4
19,Femenino,Bioingeniería,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,Si,Con amigos,10,6,5,16,15.5
20,Femenino,Ing. Industrial,7,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Ambos,Casa,Si,Solo,7,2,3,13.6,13.1
20,Masculino,Ing. Industrial,9,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Resúmenes gráficos (mapas mentales, diagramas)",Virtual,Biblioteca,Si,Con amigos,4,4,2,14,13
18,Masculino,Ing. Mecatrónica,3,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Casa,Si,Ambos,5,4,2,18,14
19,Masculino,Ing. Mecatrónica,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Virtual,Biblioteca,Si,Ambos,5,4,4,17,16
18,Masculino,Ing.Civil,3,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","Resúmenes gráficos (mapas mentales, diagramas)",Ambos,Casa,Si,Ambos,5,4,2,16,14
19,Masculino,Ciencia de datos,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Solo,3,2,5,13,12
20,Femenino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Virtual,Casa,No,Ambos,5,3,1,13,14.3
19,Masculino,Ing. Industrial,5,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Casa,Si,Con amigos,6,2,4,14.25,14.5
19,Masculino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Virtual,Casa,Si,Ambos,10,3,5,19.5,19.5
21,Femenino,Ing. Mecánica,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","Resúmenes gráficos (mapas mentales, diagramas)",Físico,Biblioteca,No,Solo,1,2,3,13,12.5
20,Masculino,Ciencia de la computación,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Cafetería,Si,Ambos,10,2,10,19,15
19,Masculino,Ing.Civil,4,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",No tengo un método de estudios,Ambos,Casa,Si,Ambos,2,3,2,16.5,17.12
20,Masculino,Ing. Mecánica,4,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Físico,Biblioteca,Si,Ambos,10,7,7,14,13.98
18,Masculino,Ing. Mecánica,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Cafetería,Si,Con amigos,7,3,2,14.5,13.5
20,Masculino,Ing.Civil,7,Provincia,Flashcards,Ambos,Casa,Si,Con amigos,3,1,2,15,16.5
18,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Casa,No,Solo,3,2,4,16,15
20,Femenino,Ing. Mecánica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Flashcards,Virtual,Casa,Si,Ambos,10,6,6,15,15.5
22,Masculino,Ing. Mecatrónica,6,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Físico,Casa,Si,Ambos,7,6,4,12,13.3
18,Femenino,Ing. Mecatrónica,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Casa,Si,Solo,7,4,2,16,16
21,Masculino,Ing. Mecatrónica,4,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Casa,Si,Ambos,5,2,10,15,15
20,Masculino,Ciencia de la computación,3,Provincia,Resúmenes escritos,Físico,Biblioteca,No,Ambos,3,4,10,16,15
19,Masculino,Ing. Industrial,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Flashcards,Físico,Biblioteca,Si,Ambos,9,7,5,17,16.5
21,Masculino,Bioingeniería,9,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",No tengo un método de estudios,Ambos,Casa,Si,Con amigos,7,3,3,19,18.75
21,Masculino,Bioingeniería,9,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,Si,Con amigos,8,6,5,19,18.75
19,Femenino,Bioingeniería,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Parque,Si,Con amigos,3,2,4,15,14.5
20,Masculino,Ing. Mecatrónica,7,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Virtual,Cafetería,Si,Con amigos,8,4,4,16,15
18,Femenino,Ing.Civil,3,Provincia,Resúmenes escritos,Físico,Casa,Si,Ambos,3,3,2,16,16
18,Femenino,Bioingeniería,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,Si,Ambos,3,5,4,11,13
21,Femenino,Administración y negocios digitales,2,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Ambos,Casa,No,Ambos,1,1,1,18,17.7
19,Masculino,Administración y negocios digitales,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Ambos,Casa,Si,Ambos,4,5,3.5,15,15.35
22,Masculino,Bioingeniería,10,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",No tengo un método de estudios,Físico,Casa,Si,Solo,7,5,4,18,16.3
18,Femenino,Bioingeniería,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Solo,5,5,8,18,17.8
19,Masculino,Ing. Electrónica,4,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",No tengo un método de estudios,Físico,Cafetería,No,Con amigos,1,1,1,15,16.4
21,Masculino,Ing. Mecánica,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Solo,7,4,7,14.5,13
18,Masculino,Ing. Mecatrónica,2,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,No,Ambos,3,3,4,13,15.5
20,Femenino,Administración y negocios digitales,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Virtual,Casa,Si,Ambos,9,3,2,18,15
22,Masculino,Ing. de la energía,8,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Ambos,10,7,4,15,13.5
22,Masculino,Ing. Mecánica,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Biblioteca,Si,Solo,1,5,6,16,11.98
19,Masculino,Ciencia de la computación,2,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Casa,No,Solo,4,3,6,15,13.3
20,Masculino,Ing.Civil,6,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Ambos,6,3,3,14,14
21,Femenino,Ing. Industrial,7,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,No,Ambos,4,4,3,16,15
19,Masculino,Ciencia de la computación,5,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Biblioteca,No,Ambos,4,4,4,14,15.3
18,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,Si,Ambos,7,7,4,16,17.2
22,Masculino,Ing. Mecatrónica,10,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,Si,Con amigos,4,2,2,13,15.4
19,Masculino,Ciencia de datos,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Físico,Biblioteca,Si,Ambos,5,3,2,18,18
19,Femenino,Ing. Ambiental,4,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Casa,No,Ambos,3,4,4,2,16.36
20,Femenino,Ing. Ambiental,7,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",No tengo un método de estudios,Virtual,Biblioteca,No,Ambos,7,2,5,15,15.4
20,Masculino,Ing. Mecatrónica,7,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Físico,Casa,Si,Ambos,7,6,8,14,15.4
18,Masculino,Ing. Mecánica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Casa,No,Ambos,5,3,2,14,15
22,Masculino,Ing. Electrónica,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Biblioteca,Si,Ambos,10,4,4,14.5,15.3
21,Masculino,Ing. Química,4,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Casa,Si,Ambos,2,2,8,15,16.5
21,Masculino,Ing.Civil,4,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Virtual,Biblioteca,Si,Con amigos,6,5,4,15,14
22,Femenino,Bioingeniería,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Ambos,Casa,Si,Ambos,4,3,4,14,14.33
19,Masculino,Ing. Ambiental,5,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",No tengo un método de estudios,Ambos,Biblioteca,Si,Solo,10,7,1,17,15
