Marca temporal,¿Que edad tienes?(responder solo con el número),Género,¿En qué distrito de Lima vives? ,"¿De qué Universidad eres? Mencionar sede
Ejemplo:  UTEC - Barranco",DISTRITO - U,Distancia Vivienda - Universidad (Km),¿Cómo calificas la calidad de transporte en lima?,¿Cuál es tu principal medio de transporte para llegar a la universidad? ,¿Cuál es tiempo máximo que te demoras en llegar a tu universidad? (minutos),¿Qué tan estresante consideras el impacto del transporte en tus calificaciones?,¿Cuántos días a la semana asistes a la universidad? (Responder solo con un número),"¿Cuál es tu promedio ponderado? (Utilice decimales si es necesario)
Ejemplo: 15.6","¿Cuántos días a la semana te encuentras en situaciones de tráfico congestionado en Lima, por el cual llegas tarde a la universidad y consideras que te perjudica académicamente ?",Porcentaje,"¿Qué tan de acuerdo estás en fomentar las alternativas de transporte (como bicicleta, scooter, caminar, etc.) para evitar la congestión vehicular en Lima?"
24/04/2023 21:55:30,19,Masculino,Surquillo ,San Martin ,Surquillo,3.4,Regular,Me traslado caminando,30,Nada estresante,5,16,1,20,A medias
24/04/2023 21:55:39,17,Masculino,Jesús María,UPC ,San Isidro,1.2,Regular,Me traslado caminando,50,Nada estresante,4,16.3,1,25,Muy de acuerdo
24/04/2023 22:00:34,19,Femenino,Puente piedra,UPN  ,Comas,25.4,Regular,Transporte público,50,Muy estresante,5,10,3,60,Muy de acuerdo
24/04/2023 22:04:44,21,Masculino,Santiago de Surco,UTEC ,BarranncO,5.1,Regular,Transporte público,30,Poco estresante,5,16.3,1,20,Muy de acuerdo
24/04/2023 22:04:49,17,Masculino,Jesús María,UPC ,Chorrillos,17.3,Regular,Transporte público,90,Poco estresante,4,17,1,25,A medias
24/04/2023 22:13:49,19,Femenino,San Borja,U DE LIMA ,Surco,4.6,Regular,Transporte público,90,Poco estresante,4,16,1,25,Muy de acuerdo
24/04/2023 22:15:48,19,Masculino,Cercado de lima ,Universidad Nacional mayor de san Marcos ,Cercado de Lima,7.5,Regular,Me traslado caminando,30,Muy estresante,5,12.3,2,40,A medias
24/04/2023 22:16:50,18,Masculino,surco,UNI,Rímac,24.6,Muy mala,Transporte público,120,Muy estresante,3,15.7,2,66.6,Muy de acuerdo
24/04/2023 22:16:58,19,Femenino,San Isidro,UTEC ,Barranco,6.9,Muy mala,Transporte público,120,Muy estresante,5,14,3,60,Muy de acuerdo
24/04/2023 22:18:03,19,Masculino,Los olivos,UTEC ,Barranco,24.1,Mala,Transporte público,120,Muy estresante,5,16,2,40,Muy de acuerdo
24/04/2023 22:19:33,19,Masculino,Miraflores ,UPC ,San Isidro,10.4,Regular,Transporte público,50,Poco estresante,5,15.8,2,40,Muy de acuerdo
24/04/2023 22:48:14,18,Masculino,Lurigancho,Universidad César Vallejo ,Ate,21.5,Regular,Transporte público,90,Poco estresante,6,16,5,83.3,Muy de acuerdo
24/04/2023 23:44:20,20,Femenino,Santa Anita,UTEC ,Barranco,17.1,Mala,Transporte público,120,Muy estresante,5,15.7,2,40,Muy de acuerdo
25/04/2023 1:05:14,20,Masculino,San Juan de Miraflores,UTEC ,Barranco,7.8,Muy mala,Motocicleta,50,Muy estresante,5,16.4,4,80,Muy de acuerdo
25/04/2023 5:55:44,17,Femenino,Carabayllo,PUCP ,SAN MIGUEL,                               39.4,Muy mala,Transporte público,120,Muy estresante,5,14.5,4,80,Muy de acuerdo
25/04/2023 7:15:19,18,Femenino,Surco,U DE LIMA ,SURCO,10.9,Mala,Taxi,50,Muy estresante,5,15,3,60,Desacuerdo
25/04/2023 7:23:39,17,Masculino,San Juan de Miraflores,UTEC ,Barranco,7.8,Mala,Taxi,50,Muy estresante,5,13.9,4,80,Muy de acuerdo
25/04/2023 10:27:26,18,Femenino,Carabayllo ,PUCP,SAN MIGUELL,                               39.4,Regular,Transporte público,120,Muy estresante,5,16.3,3,60,A medias
25/04/2023 10:41:24,19,Masculino,Ventanilla,UPC ,SAN MIGUELL,25.2,Mala,Transporte público,90,Muy estresante,6,14.3,3,50,Muy de acuerdo
25/04/2023 10:46:26,18,Femenino,Carabayllo ,UPN ,Comas,19.8,Muy mala,Transporte público,30,Muy estresante,4,17.9,3,75,Muy de acuerdo
25/04/2023 10:50:14,17,Femenino,Puente Piedra,UTEC ,Barranco,                               36.6,Mala,Transporte público,90,Poco estresante,5,15,3,60,A medias
25/04/2023 11:55:49,19,Femenino,Los Olivos ,UTEC ,Barranco,23.9,Regular,Transporte público,50,Muy estresante,6,13.8,5,83.3,A medias
25/04/2023 12:33:41,19,Masculino,San Miguel,UNMSM,LIMA,3.3,Mala,Transporte público,30,Muy estresante,4,18.7,1,25,Muy de acuerdo
25/04/2023 12:43:59,21,Masculino,Surquillo,UNMSM ,LIMA,13.7,Muy mala,Transporte público,90,Muy estresante,5,12.3,3,60,Muy de acuerdo
25/04/2023 12:50:58,17,Masculino,Bellavista,UTEC ,Barranco,29.3,Buena,Transporte público,90,Poco estresante,5,14.6,1,20,Muy de acuerdo
25/04/2023 12:53:35,18,Masculino,Ate,UTEC ,Barranco,26.3,Regular,Transporte público,120,Poco estresante,6,17,1,16.6,Desacuerdo
25/04/2023 12:53:40,19,Masculino,Chorrillos,UPC ,Chorrillos,2.2,Regular,Motocicleta,50,Muy estresante,5,"14,7",3,60,Muy de acuerdo
25/04/2023 13:14:43,20,Femenino,Ate,UTEC ,Barranco,26.3,Regular,Transporte público,120,Poco estresante,5,15.1,2,40,Muy de acuerdo
25/04/2023 13:24:29,19,Femenino,Barranco ,UTEC ,Barranco,                                 0.8,Mala,Me traslado caminando,30,Nada estresante,5,14,2,40,Muy de acuerdo
25/04/2023 14:40:27,17,Masculino,Independencia,UTEC ,Barranco,18.8,Mala,Transporte público,120,Muy estresante,5,18.5,2,40,A medias
25/04/2023 14:54:14,18,Femenino,San Juan de Lurigancho,UNMSM ,LIMA,16.3,Regular,Transporte público,120,Muy estresante,3,16.7,1,33.3,Muy de acuerdo
25/04/2023 15:48:09,19,Masculino,Los Olivos,UTEC,Barranco,23.9,Mala,Transporte público,120,Muy estresante,5,15.1,3,60,A medias
25/04/2023 18:32:40,19,Masculino,Barranco,UTEC,Barranco,                                  0.8,Muy mala,Bicicleta o scooter.,30,Muy estresante,5,15.2,3,60,Muy de acuerdo
25/04/2023 19:02:23,20,Masculino,Barranco,UTEC ,Barranco,                                 0.8,Regular,Taxi,30,Nada estresante,5,14,1,20,Muy de acuerdo
25/04/2023 20:57:18,19,Masculino,La Perla-Callao,UPC,SAN MIGUEL,2.1,Mala,Transporte público,30,Muy estresante,5,16,1,20,Muy de acuerdo
25/04/2023 22:02:54,18,Masculino,Chorrillos,UTEC ,Barranco,6.2,Regular,Transporte público,50,Poco estresante,5,16.8,3,60,A medias
26/04/2023 0:43:37,19,Masculino,Los olivos,Utec,Barranco,24.1,Muy mala,Transporte público,120,Poco estresante,4,16.7,1,25,Muy de acuerdo
26/04/2023 0:47:03,19,Femenino,Los olivos,UTEC ,Barranco,24.1,Regular,Transporte público,30,Poco estresante,3,16.5,2,66.6,Muy de acuerdo
26/04/2023 7:53:24,19,Masculino,Chorrillos,UTEC,Barranco,6.2,Buena,Transporte público,50,Nada estresante,5,15,3,60,Muy de acuerdo
26/04/2023 7:54:21,19,Femenino,Independencia,Utec ,Barranco,18.8,Mala,Transporte público,120,Muy estresante,6,17.3,4,66.6,A medias
26/04/2023 7:57:15,20,Femenino,Barranco,UTEC,Barranco,                                 0.8,Regular,Me traslado caminando,30,Nada estresante,6,15,1,16.6,Muy de acuerdo
26/04/2023 8:02:35,20,Masculino,Los olivod,UTEC,Barranco,23.9,Muy mala,Me traslado caminando,30,Muy estresante,6,14,5,83.3,Muy de acuerdo
26/04/2023 8:22:20,20,Femenino,Villa el Salvador,UTEC,BARRANCO,18.8,Regular,Transporte público,90,Muy estresante,6,14.5,3,50,A medias
26/04/2023 8:32:23,21,Masculino,Barranco,UTEC ,Barranco,                                0.8,Regular,Transporte público,30,Poco estresante,6,14.7,2,33.3,Muy de acuerdo
26/04/2023 8:45:00,17,Masculino,San Isidro,UTEC ,Barranco,6.9,Regular,Taxi,30,Poco estresante,5,16.5,2,40,Muy de acuerdo
26/04/2023 8:47:23,18,Femenino,Chorrillos,UTEC ,Barranco,6.2,Muy mala,Transporte público,30,Muy estresante,5,16.3,2,40,Muy de acuerdo
26/04/2023 9:31:05,18,Femenino,Chorrillos,UTEC ,Barranco,6.2,Regular,Transporte público,50,Poco estresante,5,12.6,4,80,A medias
26/04/2023 10:31:49,18,Masculino,Santa Anita,UPC,Surco,8.9,Mala,Transporte público,30,Nada estresante,5,15.1,1,20,A medias
26/04/2023 10:42:36,19,Femenino,San Juan de Lurigancho,UTEC ,Barranco,23.1,Mala,Transporte público,90,Muy estresante,5,14.7,3,60,Muy de acuerdo
26/04/2023 11:08:12,21,Femenino,San Juan de Lurigancho,UTEC ,Barranco,23.1,Mala,Transporte público,90,Muy estresante,5,16.2,2,40,Muy de acuerdo
26/04/2023 11:23:22,18,Masculino,Santiago de Surco,UTEC,BARRANCO,5.1,Regular,Me traslado caminando,30,Poco estresante,5,12.6,3,60,Muy de acuerdo
26/04/2023 11:30:04,20,Masculino,San Isidro,UTEC ,Barranco,6.9,Muy mala,Motocicleta,30,Muy estresante,6,14.4,5,83.3,A medias
26/04/2023 11:38:42,19,Masculino,San Juan de Lurigancho,UTEC ,Barranco,23.1,Muy mala,Transporte público,90,Poco estresante,4,15.2,2,50,A medias
26/04/2023 11:48:05,19,Masculino,Los olivos,UPC ,San Isidro,17.7,Mala,Transporte público,50,Poco estresante,3,16.3,2,66.6,Muy de acuerdo
26/04/2023 12:53:59,24,Masculino,Santiago de Surco,U DE LIMA ,SurcO,10.2,Muy mala,Auto particular,30,Poco estresante,5,16.8,4,80,Muy de acuerdo
26/04/2023 13:35:45,17,Femenino,Cercado de Lima,UTEC ,Barranco,12.2,Muy mala,Transporte público,90,Muy estresante,4,12.4,3,75,Desacuerdo
26/04/2023 14:08:33,18,Masculino,San Juan de Miraflores,UTEC ,Barranco,8.1,Muy mala,Taxi,50,Poco estresante,3,17.1,1,33.3,A medias
26/04/2023 14:28:59,19,Femenino,San Juan de Lurigancho,UCSUR,Villa el Salvador,                               32.7,Regular,Transporte público,90,Poco estresante,4,16.1,2,50,Muy de acuerdo
26/04/2023 15:13:12,19,Masculino,Santiago de Surco,UTEC ,Barranco,5.1,Mala,Me traslado caminando,30,Nada estresante,6,15.4,1,16.6,Muy de acuerdo
26/04/2023 15:27:25,18,Masculino,Comas,UTEC ,Barrannco,29.1,Muy mala,Transporte público,120,Muy estresante,6,11.5,5,83.3,A medias
26/04/2023 15:34:58,19,Masculino,San Juan de Lurigancho,UTEC ,Barranco,23.1,Mala,Transporte público,120,Muy estresante,6,13.5,5,83.3,A medias
26/04/2023 16:11:31,18,Masculino,Comas,UTEC,Barraanco,29.1,Regular,Transporte público,120,Muy estresante,5,14.7,4,80,A medias
26/04/2023 16:11:51,18,Masculino,Barranco,UTEC,Barranco,                                 0.8,Mala,Me traslado caminando,30,Muy estresante,5,13.8,1,20,Muy de acuerdo
26/04/2023 16:44:15,40,Masculino,Cercado de Lima,San Marcos,Lima,8.1,Mala,Transporte público,30,Nada estresante,6,14.7,4,66.6,Muy de acuerdo
26/04/2023 16:57:34,18,Masculino,Chorrillos,UTEC ,Barranco,6.2,Regular,Bicicleta o scooter.,30,Nada estresante,5,17.5,1,20,A medias
26/04/2023 16:57:59,18,Masculino,San Borja,UTEC,Barranco,10.4,Mala,Bicicleta o scooter.,50,Muy estresante,5,17.2,2,40,Muy de acuerdo
26/04/2023 16:58:03,18,Masculino,Santiago de Surco,UTEC ,Barranco,5.1,Regular,Auto particular,30,Nada estresante,5,16.6,1,20,Muy de acuerdo
26/04/2023 16:59:33,18,Masculino,San Juan de Lurigancho,UTEC,Barranco,23.1,Regular,Transporte público,90,Poco estresante,5,15,2,40,Muy de acuerdo
26/04/2023 17:27:21,18,Masculino,Los olivos,UTEC ,Barranco,24.1,Regular,Transporte público,120,Muy estresante,6,15.2,2,33.3,Muy de acuerdo
26/04/2023 20:29:09,18,Femenino,Chorrillos,UTEC ,Barranco,6.2,Mala,Transporte público,50,Poco estresante,4,15,2,50,Muy de acuerdo
26/04/2023 21:15:21,22,Femenino,San Juan de Lurigancho,UTEC ,Barranco,26.5,Regular,Transporte público,120,Poco estresante,6,13.4,3,50,A medias
26/04/2023 21:22:28,18,Femenino,Independencia,UTEC ,Barranco,18.5,Muy mala,Transporte público,120,Muy estresante,6,14,3,50,Desacuerdo
26/04/2023 22:33:16,19,Masculino,Barranco,UTEC,Barranco,1.2,Mala,Auto particular,30,Nada estresante,5,15.7,1,20,Muy de acuerdo
26/04/2023 23:25:35,17,Femenino,Carabayllo,UTEC ,Barranco,                                51.2,Mala,Transporte público,120,Muy estresante,4,16.4,1,25,Muy de acuerdo
27/04/2023 1:03:46,23,Masculino,Chorrillos,UTEC ,Barranco,6.6,Mala,Transporte público,120,Muy estresante,5,14.9,2,40,Muy de acuerdo
27/04/2023 6:47:37,22,Masculino,San isidro ,UPC ,San Miguel,7.4,Muy mala,Auto particular,50,Muy estresante,4,14,2,50,Muy de acuerdo
27/04/2023 8:27:06,20,Masculino,SMP,UTEC ,Barranco,28.1,Mala,Transporte público,120,Poco estresante,6,15,3,50,A medias
27/04/2023 8:46:46,19,Femenino,Chorrillos,UTEC ,Barranco,6.6,Buena,Transporte público,30,Nada estresante,6,14.1,1,16.6,Muy de acuerdo
27/04/2023 10:27:10,19,Femenino,La victoria,U DE LIMA ,Surco,9.1,Mala,Auto particular,120,Muy estresante,5,13.5,3,60,Muy de acuerdo
27/04/2023 10:28:24,23,Masculino,Miraflores,UNMSM ,Lima,13.2,Mala,Transporte público,50,Muy estresante,5,17.8,4,80,A medias
27/04/2023 10:29:18,17,Femenino,San Juan de Lurigancho,Utec ,Barranco,26.5,Muy mala,Transporte público,120,Muy estresante,5,15.8,4,80,Muy de acuerdo
27/04/2023 10:30:02,24,Femenino,San Miguel,UPC ,Chorrillos,19.2,Muy mala,Motocicleta,120,Muy estresante,6,13.4,5,83.3,Muy de acuerdo
27/04/2023 10:30:46,20,Masculino,Ate,Utec ,Barrannco,30.1,Muy mala,Transporte público,120,Muy estresante,6,13.4,5,83.3,Muy de acuerdo
27/04/2023 10:50:23,22,Masculino,Chorrillos,UTEC ,Barranco,6.6,Muy mala,Transporte público,50,Muy estresante,6,13.4,4,66.6,A medias
27/04/2023 11:06:07,19,Masculino,Pueblo Libre,UTEC ,Barranco,12.1,Regular,Transporte público,90,Poco estresante,5,14.3,1,20,Muy de acuerdo
27/04/2023 11:19:36,19,Masculino,Chorrillos,UTEC,Barranco,6.6,,Transporte público,50,Muy estresante,6,14.6,4,66.6,Muy de acuerdo
27/04/2023 11:59:06,19,Femenino,Miraflores,Ucsur ,Villa el Salvador,17.2,Muy mala,Transporte público,120,Muy estresante,6,14.6,4,66.6,Muy de acuerdo
27/04/2023 12:00:03,20,Masculino,Surquillo,PUCP ,San Miguel,11.2,Muy mala,Auto particular,120,Muy estresante,5,12.7,4,80,A medias
27/04/2023 12:01:59,24,Femenino,La molina,UTEC ,Barranco,17.5,Muy mala,Auto particular,90,Muy estresante,5,15.7,4,80,A medias
27/04/2023 12:02:53,20,Femenino,La victoria,UTEC ,Barranco,9.5,Mala,Auto particular,50,Muy estresante,5,13.5,3,60,Muy de acuerdo
27/04/2023 12:03:50,20,Masculino,Miraflores,UTEC ,Barranco,4.3,Mala,Bicicleta o scooter.,30,Muy estresante,5,14.6,4,80,Muy de acuerdo
27/04/2023 12:04:38,18,Femenino,Comas,Ucsur ,Los Olivos,                                44.4,Buena,Transporte público,90,Muy estresante,5,15.8,4,80,Muy de acuerdo
27/04/2023 13:31:54,20,Femenino,Chorrillos,UTEC ,Barranco,8.2,Muy mala,Transporte público,30,Muy estresante,6,15.4,4,66.6,Muy de acuerdo
27/04/2023 14:02:15,17,Femenino,Breña,UTEC ,Barranco,15.3,Muy mala,Bicicleta o scooter.,30,Poco estresante,5,18.3,2,40,Muy de acuerdo
27/04/2023 14:04:58,20,Femenino,Lurín,UNMSM ,Lima,                                51.5,Muy mala,Transporte público,90,Nada estresante,5,14.8,4,80,Muy de acuerdo
27/04/2023 14:05:43,18,Femenino,Comas,U DE LIMA  ,Surco,29.3,Muy mala,Transporte público,120,Muy estresante,6,15.257,4,66.6,Muy de acuerdo
27/04/2023 14:06:27,22,Femenino,Chorrillos,Utec ,Barranco,8.2,Regular,Transporte público,90,Muy estresante,5,17.923,4,80,Muy de acuerdo
27/04/2023 14:07:44,21,Femenino,Santiago de Surco,Upc ,Chorrillos,13.6,Muy mala,Motocicleta,120,Muy estresante,5,13.467,4,80,Muy de acuerdo
27/04/2023 14:08:18,22,Femenino,La molina,UPC ,Surco,12.7,Muy mala,Transporte público,120,Muy estresante,6,15.789,3,50,Muy de acuerdo
27/04/2023 14:09:37,23,Femenino,Rímac,Utec,Barranco,15.1,Muy mala,Transporte público,90,Muy estresante,6,14.689,3,50,Muy de acuerdo
27/04/2023 14:11:53,22,Femenino,La molina,Upc ,Chorrillos,25.5,Regular,Transporte público,50,Muy estresante,6,16.738,4,66.6,Muy de acuerdo
27/04/2023 14:50:39,20,Masculino,San Miguel,Universidad Peruana de Ciencias Aplicadas,San Miguel,5.6,Mala,Auto particular,30,Poco estresante,5,14.7,3,60,Muy de acuerdo
27/04/2023 15:40:24,20,Femenino,San Borja,UTEC ,Barranco,10.5,Regular,Transporte público,50,Poco estresante,4,16.3,2,50,Muy de acuerdo
27/04/2023 16:18:36,23,Masculino,La molina,Utec,Barranco,20,Mala,Auto particular,120,Nada estresante,5,16.8,3,60,Muy de acuerdo
27/04/2023 16:19:38,19,Masculino,Ate,Utec,Barranco,26.5,Regular,Transporte público,120,Muy estresante,6,15.8,4,66.6,Muy de acuerdo
27/04/2023 16:20:47,22,Femenino,Chorrillos,Utec ,Barranco,8.2,Mala,Transporte público,120,Muy estresante,5,11.9,3,60,A medias
27/04/2023 16:21:29,20,Femenino,La victoria,UNMSM ,Lima,13.2,Mala,Transporte público,90,Muy estresante,5,14.9,4,80,Muy de acuerdo
27/04/2023 16:22:16,21,Masculino,Lince,Utec,Barranco,8.1,Regular,Transporte público,120,Muy estresante,6,18.9,5,83.3,Muy de acuerdo
27/04/2023 16:23:00,19,Femenino,Los olivos,U DE LIMA ,Surco,25.4,Mala,Transporte público,120,Muy estresante,5,14.9,3,60,Muy de acuerdo
27/04/2023 16:24:11,20,Masculino,Surquillo,San Martin de Porres ,San Martin de Porres,25.8,Regular,Me traslado caminando,30,Poco estresante,6,17.4,4,66.6,Muy de acuerdo
27/04/2023 16:25:02,16,Femenino,Comas,Ucsur ,Los Olivos,8.7,Regular,Transporte público,90,Muy estresante,6,16.9,5,83.3,Muy de acuerdo
27/04/2023 16:36:59,21,Femenino,Chorrillos,Utec ,Barranco,8.2,Regular,Transporte público,120,Muy estresante,5,16.8,4,80,Muy de acuerdo
27/04/2023 16:38:04,21,Femenino,La molina,U DE LIMA ,Surco,6.4,Mala,Bicicleta o scooter.,30,Muy estresante,5,16.9,1,20,Muy de acuerdo
27/04/2023 16:39:01,20,Masculino,Pueblo Libre,PUCP  ,San Miguel,3.8,Mala,Bicicleta o scooter.,90,Muy estresante,6,13.478,5,83.3,Muy de acuerdo
27/04/2023 16:39:34,19,Femenino,San Juan de Lurigancho,Utec,Barranco,27.5,Regular,Transporte público,120,Muy estresante,6,14.9,4,66.6,Muy de acuerdo
27/04/2023 16:40:15,22,Masculino,Cercado de Lima,Ucsur ,Los Olivos,15.6,Buena,Transporte público,120,Muy estresante,6,17.7,5,83.3,Muy de acuerdo
27/04/2023 16:40:56,20,Femenino,La molina,Upc ,Chorrillo,27.5,Regular,Auto particular,90,Muy estresante,5,13.689,4,80,A medias
27/04/2023 16:41:44,18,Masculino,Barranco,Universidad Peruana de Ciencias Aplicadas,Surco,12.9,Regular,Taxi,50,Poco estresante,5,16.8,1,20,A medias
27/04/2023 16:42:37,20,Masculino,Santiago de Surco,UPC ,San Isidro,13.5,Regular,Auto particular,90,Muy estresante,6,12.7,5,83.3,Muy de acuerdo
27/04/2023 16:43:37,20,Femenino,Santa Anita,UTEC ,Barranco,18.3,Mala,Transporte público,120,Muy estresante,6,16.9,5,83.3,Muy de acuerdo
27/04/2023 16:44:38,23,Femenino,Santiago de Surco,Ucv ,Ate,27.6,Muy mala,Transporte público,90,Muy estresante,5,13.7,4,80,Muy de acuerdo
27/04/2023 16:45:30,19,Femenino,Cercado de Lima,Ucv,Callao,12.6,Regular,Transporte público,90,Muy estresante,5,16.9,4,80,Muy de acuerdo
27/04/2023 16:47:58,18,Masculino,Lince,Upn ,Comas,22.3,Muy mala,Transporte público,90,Muy estresante,6,16.8,5,83.3,Muy de acuerdo
27/04/2023 16:50:28,20,Masculino,Surquillo,UTEC ,Barranco,5.7,Mala,Motocicleta,30,Poco estresante,5,12.6,2,40,Muy de acuerdo
27/04/2023 16:51:08,18,Femenino,La molina,Universidad del Pacífico ,Jesús María,18.1,Regular,Auto particular,90,Muy estresante,6,17.8,4,66.6,Muy de acuerdo
27/04/2023 16:51:39,21,Femenino,Chorrillos,UPC ,Chorrillos,6.7,Muy mala,Transporte público,50,Muy estresante,4,14.8,3,75,A medias
27/04/2023 16:52:24,22,Femenino,Miraflores,UTEC ,Barranco,2.8,Muy mala,Auto particular,50,Muy estresante,6,17.8,4,66.6,Muy de acuerdo
27/04/2023 16:53:30,23,Femenino,Chorrillos,Utec,Barranco,6.1,Muy mala,Transporte público,120,Muy estresante,6,16.8,1,16.6,Muy de acuerdo
27/04/2023 16:54:21,18,Masculino,La molina,UTEC,Barranco,19.5,Muy mala,Transporte público,50,Poco estresante,4,15.2,3,75,Muy de acuerdo
27/04/2023 16:55:48,22,Masculino,Miraflores,UPC ,San Miguel,10.8,Muy mala,Me traslado caminando,90,Muy estresante,4,13.5,2,50,Muy de acuerdo
27/04/2023 16:54:45,21,Femenino,Lurín,Utec,Barranco,27.5,Muy mala,Transporte público,120,Muy estresante,5,17.793,1,20,A medias
27/04/2023 16:55:33,23,Femenino,Miraflores,Utec,Barranco,3.5,Mala,Auto particular,50,Muy estresante,5,16.738,4,80,Muy de acuerdo
27/04/2023 16:56:12,20,Femenino,Comas,Ucv,Callao,23,Mala,Transporte público,90,Muy estresante,5,13.7,4,80,A medias
27/04/2023 16:57:10,20,Masculino,Chorrillos,Upn,Los Olivos,26.5,Regular,Transporte público,90,Muy estresante,6,13.478,4,66.6,Muy de acuerdo
27/04/2023 16:57:55,18,Masculino,Miraflores,Universidad del Pacífico ,Jesús María,8.9,Mala,Auto particular,50,Muy estresante,5,16.278,4,80,Muy de acuerdo
27/04/2023 16:58:14,18,Masculino,Barranco,UPC ,San Miguel,16.2,Muy mala,Transporte público,120,Muy estresante,6,13.8,2,33.3,Muy de acuerdo
27/04/2023 16:59:26,18,Femenino,Santiago de Surco,Ucsur,Villa el Salvador,11.5,Mala,Taxi,30,Poco estresante,6,13.628,5,83.3,Muy de acuerdo
27/04/2023 17:00:29,19,Femenino,La molina,Utec,Barranco,18.5,Muy mala,Taxi,50,Muy estresante,5,13.478,4,80,Muy de acuerdo
27/04/2023 17:01:17,20,Femenino,Santa Anita,Utec,Barranco,17.2,Muy mala,Transporte público,120,Muy estresante,5,13.379,4,80,Muy de acuerdo
27/04/2023 17:02:43,23,Masculino,Chorrillos,UTEC,Barranco,6.1,Buena,Me traslado caminando,50,Muy estresante,6,16.8,3,50,Muy de acuerdo
27/04/2023 19:59:14,20,Femenino,Lurín,PUCP ,San Miguel,10.2,Muy mala,Transporte público,30,Poco estresante,5,15,1,20,Muy de acuerdo
27/04/2023 20:20:25,18,Masculino,Miraflores,UTEC ,Barranco,4.5,Regular,Auto particular,30,Poco estresante,3,13.5,2,66.6,Muy de acuerdo
27/04/2023 21:07:37,19,Masculino,Cercado de Lima,UTEC ,Barranco,12.1,Muy mala,Transporte público,50,Poco estresante,5,14.3,3,60,Muy de acuerdo
27/04/2023 21:20:31,19,Masculino,Santa Anita,UTEC ,Barranco,15.8,Regular,Transporte público,120,Muy estresante,4,14.4,1,25,A medias
28/04/2023 11:08:03,21,Masculino,Ate,UTEC ,Barranco,26.5,Mala,Transporte público,120,Poco estresante,5,13.2,4,80,A medias
28/04/2023 13:18:50,20,Femenino,La molina,Utec ,Barranco,18.5,Mala,Transporte público,90,Muy estresante,6,14.7,5,83.3,Muy de acuerdo
28/04/2023 13:19:33,19,Femenino,Pueblo Libre,Utec ,Barranco,12.3,Muy mala,Transporte público,120,Muy estresante,6,13.7,5,83.3,A medias
28/04/2023 13:20:05,21,Femenino,Santiago de Surco,Utec ,Barranco,5.6,Muy mala,Transporte público,120,Muy estresante,6,14.3,5,83.3,Muy de acuerdo
28/04/2023 13:20:46,18,Femenino,Surquillo,U DE LIMA ,Surco,8.1,Mala,Auto particular,50,Muy estresante,6,18.8,4,66.6,Muy de acuerdo
28/04/2023 13:38:16,19,Femenino,Los olivos,UTEC ,Barranco,24.5,Mala,Transporte público,90,Muy estresante,4,16.4,3,75,A medias
