AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,CV(k),PESO,EJES,PASAJEROS
B,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,306.609,1589.7,2,1
A,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,221.875,1688.76,2,1
C,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,289.801,1706.27,2,1
A,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,392.24,1718.59,2,1
A,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,175.711,6322.02,2,1
A,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,192.236,6287.45,2,1
C,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,371.54,6143.28,2,1
A,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,162.849,6257.4,2,1
B,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,168.483,6464.43,2,1
B,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,119.694,6601.03,2,1
A,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,393.737,6239.65,2,1
B,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,358.017,6147.58,2,1
B,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,156.637,6227.83,2,1
B,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,122.269,7298.47,3,1
A,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,255.571,7136.99,3,1
C,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,160.972,9181.77,3,1
C,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,367.317,7292.94,3,1
C,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,223.15,8593.03,3,1
C,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,357.439,7133.14,3,1
B,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,3.433,9184.56,3,1
A,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,165.979,7484.02,3,1
A,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,159.143,9087.8,3,1
A,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,377.815,11572.91,4,1
B,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,310.874,14502.9,4,1
A,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,167.402,13728.55,4,1
C,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,453.915,12757.96,4,1
C,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,248.758,10873.23,4,1
B,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,265.355,13547.57,4,1
C,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,502.869,16756.22,5,1
B,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,246.298,21753.66,5,1
A,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,351.177,19590.15,5,1
A,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,333.987,19584.01,5,1
A,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,147.889,20315.09,5,1
B,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,224.874,18771.82,5,1
A,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,251.068,22824.88,5,1
A,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,465.276,20324.13,5,1
B,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,164.188,21091.75,5,1
A,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,158.302,20722.33,5,1
B,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,355.715,1007.51,2,2
C,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,530.572,1042.29,2,2
B,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,422.494,1294.85,2,2
A,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,272.804,1301.56,2,2
A,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,338.144,1352.26,2,2
A,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,486.589,1363.32,2,2
A,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,328.095,1369.88,2,2
C,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,520.262,1647.46,2,2
B,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,453.298,1735.16,2,2
C,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,443.145,6732.06,2,2
A,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,378.427,6000.51,2,2
A,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,138.618,6992.47,2,2
B,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,352.627,6695.9,2,2
B,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,1.726,6504.57,2,2
A,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,366.126,6474.75,2,2
C,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,326.797,6440.53,2,2
A,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,150.388,6809.85,2,2
B,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,150.353,6070.72,2,2
A,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,415,7421.45,3,2
C,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,249.687,9470.02,3,2
B,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,384.618,9451.12,3,2
B,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,18.24,7735.75,3,2
B,AGOSTO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,299.535,7567.47,3,2
B,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,291.981,9355.7,3,2
C,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,351.784,7964.25,3,2
C,MARZO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,389.945,8495.77,3,2
B,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,181.24,7766.57,3,2
A,ENERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,405.368,8487.12,3,2
A,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,169.807,8106.71,3,2
A,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,373.032,9323.85,3,2
C,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,266.523,11300.59,4,2
B,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,163.387,12242.4,4,2
A,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,171.619,10585.25,4,2
C,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,155.401,14344.52,4,2
B,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,235.11,18314.19,5,2
A,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,361.033,23859.96,5,2
C,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,350.093,20238.12,5,2
C,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,484.375,20047.54,5,2
A,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,368.214,21733.49,5,2
C,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,207.247,20492.2,5,2
B,ENERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,155.942,21174.4,5,2
B,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,332.806,1076.27,2,3
C,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,426.226,1170.47,2,3
A,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,408.692,1199.94,2,3
C,FEBRERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,439.81,1263.63,2,3
B,SETIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,244.032,1317.58,2,3
A,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,424.395,1379.04,2,3
A,JULIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,318.108,1399.01,2,3
B,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,55.327,1425.34,2,3
C,OCTUBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,498.129,1463.69,2,3
B,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,355.89,1651.91,2,3
A,SETIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,277.563,1686.64,2,3
A,MAYO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,265.188,1773.76,2,3
C,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,150.72,6556.55,2,3
C,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,136.123,6587.09,2,3
B,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,89.79,6236.75,2,3
C,OCTUBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,163.623,6953.3,2,3
C,MAYO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,148.691,6885.86,2,3
C,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,240.049,6285.12,2,3
B,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,0,6348.17,2,3
B,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,406.253,6059.66,2,3
C,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,385.05,8169.68,3,3
C,ABRIL,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,321.775,7283.52,3,3
A,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,137.589,7141.61,3,3
A,DICIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,263.813,7693.67,3,3
B,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,PESADOS,149.829,9374.22,3,3
A,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,448.958,9119.52,3,3
C,JUNIO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,430.371,7530.67,3,3
B,NOVIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,374.88,9288.84,3,3
B,MARZO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,2.521,9710.07,3,3
A,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,453.626,8224.65,3,3
B,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,435.013,9688.03,3,3
B,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,442.864,16324.85,4,3
B,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,387.544,15043.86,4,3
B,DICIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,366.544,14530.1,4,3
B,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,PESADOS,438.368,13057.33,4,3
C,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,250.98,15371.57,4,3
C,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,PESADOS,366.499,14465.22,4,3
C,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,245.412,10250.16,4,3
A,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,431.136,16138.99,4,3
