Precio,Dormitorios,Antiguedad,Luminosidad,Tipo,Area_total_m2,Area_constr_m2,NroBanios,Estado de Inmueble,Distrito,Cocheras,Uso_profesional,Uso_comercial,Nro_pisos,Piscina,Amoblado
49,5+,3,NoEspecifica,Casa,316,229,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
200,5+,4,Muy luminoso,Casa,1206,451,5,Muy bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
20,5+,3,Muy luminoso,Casa,510,400,3,Remodelado,SanJuanDeMiraflores,2,Si,Si,3,0,0
47,5+,4,Muy luminoso,Casa,250,353,5,Muy bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
59.5,5+,3,Muy luminoso,Casa de Playa,700,700,5,Excelente,Asia,4,NoEspecifica,No,3,1,1
49.8,4,4,Muy luminoso,Casa de Playa en condominio,356,250,5,Excelente,Asia,2,No,No,3,1,1
13.8,3,2,Muy luminoso,Casa,187,527,4,Excelente,Carabayllo,1,Si,Si,3,0,0
36,5+,1,Muy luminoso,Casa de Playa,200,190,5,Excelente,Mala,2,NoEspecifica,NoEspecifica,1,1,1
98,5+,2,Muy luminoso,Casa,806,270,5,Remodelado,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,2,NoEspecifica,0
60,5+,3,NoEspecifica,Casa,518,320,5,NoEspecifica,SanBorja,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
49.5,4,3,Muy luminoso,Casa en condominio,1000,500,5,Excelente,Lurin,0,NoEspecifica,NoEspecifica,1,1,0
48,5+,2,Luminoso,Casa de campo,1050,300,5,Remodelado,Lurigancho,4,NoEspecifica,NoEspecifica,2,1,0
52,4,3,NoEspecifica,Casa,300,270,3,A Remodelar,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
16.95,3,3,Muy luminoso,Casa,180,180,3,Excelente,SanJuanDeLurigancho,2,No,Si,1,NoEspecifica,NoEspecifica
40,4,1,Muy luminoso,Casa,280,280,5,Muy bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,1
75,4,3,Muy luminoso,Casa,730,270,3,Excelente,LaMolina,1,No,No,2,0,0
82.5,3,4,Muy luminoso,Casa,275,275,4,Bueno,Miraflores,3,Si,No,2,0,0
95,4,9,Muy luminoso,Casa,600,330,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
41.5,3,3,Muy luminoso,Casa,248,203,3,NoEspecifica,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,2,0,0
47.5,4,1,Muy luminoso,Casa,1264,324,4,Remodelado,Pachacamac,5,NoEspecifica,NoEspecifica,2,1,0
17.4,3,8,Muy luminoso,Casa en condominio,397,170,3,Excelente,Lurigancho,3,NoEspecifica,NoEspecifica,2,0,0
14.3,3,1,Luminoso,Casa en condominio,45,45,2,A Remodelar,Miraflores,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
22,5+,3,Luminoso,Casa,153,308,5,Muy bueno,SanMartinDePorres,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
18.7,5+,3,Luminoso,Casa,160,359,5,Muy bueno,SanMartinDePorres,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
27,5+,5,Muy luminoso,Casa,160,480,5,Muy bueno,SanJuanDeLurigancho,1,NoEspecifica,NoEspecifica,4,NoEspecifica,0
49,3,3,Muy luminoso,Casa,367,239,5,Remodelado,SanIsidro,4,NoEspecifica,NoEspecifica,4,0,0
29.5,4,2,Muy luminoso,Casa,167,116,3,Bueno,SanMiguel,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
27.5,5+,2,Muy luminoso,Casa,189,350,5,Muy bueno,SanMartinDePorres,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
29.5,3,3,Luminoso,Casa,160,140,2,A Remodelar,SantiagoDeSurco,1,Si,No,2,NoEspecifica,0
42.5,5+,9,NoEspecifica,Casa de Playa,200,290,5,NoEspecifica,Mala,4,NoEspecifica,NoEspecifica,2,1,1
17,5+,4,Muy luminoso,Casa,200,241,3,NoEspecifica,SanJuanDeMiraflores,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
17.2,2,3,Muy luminoso,Casa,160,160,2,Muy bueno,Chorrillos,2,NoEspecifica,NoEspecifica,1,0,1
51,5+,1,Muy luminoso,Casa,250,250,3,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
11.5,5+,3,NoEspecifica,Casa,153,153,4,NoEspecifica,SanMartinDePorres,2,NoEspecifica,Si,3,NoEspecifica,0
99.5,5+,1,Muy luminoso,Casa,425,525,5,Excelente,Miraflores,3,NoEspecifica,NoEspecifica,3,0,0
47.5,3,3,NoEspecifica,Casa,252,168,4,NoEspecifica,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,0,0
7.6,4,1,Luminoso,Casa,108,160,2,Excelente,VillaElSalvador,0,NoEspecifica,NoEspecifica,2,NoEspecifica,0
16,5+,3,NoEspecifica,Casa de campo,1024,200,5,NoEspecifica,Cieneguilla,5,NoEspecifica,NoEspecifica,2,1,NoEspecifica
12.5,4,3,NoEspecifica,Casa,269,269,4,NoEspecifica,Lurigancho,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
23.5,4,4,NoEspecifica,Casa,248,150,3,NoEspecifica,Lince,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
56.8,5+,4,Luminoso,Casa,301,330,3,Bueno,SanBorja,2,Si,No,3,NoEspecifica,0
31.2,5+,3,Muy luminoso,Casa en condominio,240,240,4,Excelente,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,0,0
31.2,5+,3,Muy luminoso,Casa,240,240,4,Excelente,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,0,0
49,3,3,Muy luminoso,Casa,355,278,4,Excelente,SanBorja,2,NoEspecifica,NoEspecifica,2,1,0
36.2,5+,3,Luminoso,Casa,225,215,4,NoEspecifica,SanMiguel,1,No,No,2,0,NoEspecifica
42,5+,3,Muy luminoso,Casa,160,276,4,Excelente,SantiagoDeSurco,2,No,No,3,NoEspecifica,0
23,5+,3,Muy luminoso,Casa,480,500,5,Bueno,VillaMariaDelTriunfo,3,NoEspecifica,NoEspecifica,4,NoEspecifica,NoEspecifica
61,4,4,Luminoso,Casa,390,313,3,Muy bueno,SanIsidro,4,Si,No,3,0,0
89,4,3,Muy luminoso,Casa,1096,438,5,Muy bueno,LaMolina,4,NoEspecifica,No,2,NoEspecifica,0
34,4,3,Muy luminoso,Casa,210,210,4,Excelente,SantiagoDeSurco,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
58,5+,3,NoEspecifica,Casa,326,326,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
55,3,3,Luminoso,Casa en condominio,268,250,4,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
41.139,5+,3,Muy luminoso,Casa,278,278,5,Excelente,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,4,0,0
52,4,4,Luminoso,Casa,552,252,3,Bueno,SanBorja,2,NoEspecifica,NoEspecifica,2,0,0
51,4,2,Muy luminoso,Casa,306,222,3,Bueno,SantiagoDeSurco,2,Si,No,2,NoEspecifica,0
31.9,5+,2,Muy luminoso,Casa,213,160,5,NoEspecifica,LaMolina,1,NoEspecifica,Si,2,NoEspecifica,NoEspecifica
39.9,4,4,NoEspecifica,Casa,800,300,3,NoEspecifica,Chaclacayo,5,NoEspecifica,NoEspecifica,2,0,0
73,5+,4,NoEspecifica,Casa,366,250,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
75.5,4,3,NoEspecifica,Casa,301,300,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,4,0,0
31.9,5+,2,Muy luminoso,Casa,214,214,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
124.32,5+,3,Muy luminoso,Casa,592,302,4,Muy bueno,SanBorja,5,NoEspecifica,NoEspecifica,2,1,0
55,5+,3,Luminoso,Casa,360,360,5,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
54.5,3,5,Muy luminoso,Casa,517,280,4,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,1,NoEspecifica,0
18.5,3,3,NoEspecifica,Casa,150,150,5,NoEspecifica,Brenia,0,NoEspecifica,NoEspecifica,1,NoEspecifica,0
40,5+,3,Muy luminoso,Casa de Playa en condominio,390,390,5,Excelente,CerroAzul,3,NoEspecifica,NoEspecifica,4,1,0
60,4,3,Muy luminoso,Casa,370,370,5,Remodelado,MagdalenaDelMar,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
36,5+,1,Muy luminoso,Casa de Playa en condominio,317,317,5,Excelente,CerroAzul,5,No,NoEspecifica,2,1,1
40.6,3,1,Luminoso,Casa en condominio,330,240,3,Bueno,Chorrillos,2,NoEspecifica,NoEspecifica,2,0,0
50,5+,5,Muy luminoso,Casa de Playa en condominio,400,400,5,Excelente,CerroAzul,3,No,No,3,1,0
50,4,8,Muy luminoso,Casa en condominio,300,250,5,Excelente,Chorrillos,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
75,3,3,Muy luminoso,Casa,396,387,5,Muy bueno,SanIsidro,3,NoEspecifica,NoEspecifica,3,NoEspecifica,0
16,5+,4,Muy luminoso,Casa,218,218,4,Muy bueno,Chaclacayo,1,Si,Si,2,NoEspecifica,0
8.7,2,3,Muy luminoso,Casa,84,134,2,A Remodelar,SanMartinDePorres,0,NoEspecifica,NoEspecifica,2,NoEspecifica,0
75,4,1,Muy luminoso,Casa en condominio,300,290,5,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
35,3,1,Luminoso,Casa en condominio,270,193,3,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
17,3,1,NoEspecifica,Casa,120,90,3,NoEspecifica,Ate,0,NoEspecifica,NoEspecifica,2,0,NoEspecifica
87,5+,1,Muy luminoso,Casa,750,465,5,Muy bueno,LaMolina,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
50,3,4,NoEspecifica,Casa,200,330,2,Remodelado,SanIsidro,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
125,4,4,Muy luminoso,Casa en condominio,284,193,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
55,4,2,Muy luminoso,Casa,312,320,4,Muy bueno,SanBorja,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
85,4,1,Muy luminoso,Casa,322,353,4,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
19,5+,4,Muy luminoso,Casa,173,173,3,Remodelado,LaVictoria,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
18,5+,3,Luminoso,Casa,252,252,3,A Remodelar,LosOlivos,1,NoEspecifica,NoEspecifica,2,0,NoEspecifica
45,5+,1,Muy luminoso,Casa,300,300,5,Excelente,Ate,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
25,3,1,Luminoso,Casa,41,106,2,Muy bueno,PuentePiedra,0,No,No,3,NoEspecifica,NoEspecifica
49.9,3,5,Muy luminoso,Casa,500,350,3,Excelente,LaMolina,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
14,3,3,Muy luminoso,Casa de campo,1024,300,2,NoEspecifica,Cieneguilla,5,NoEspecifica,NoEspecifica,2,1,1
87,4,1,Muy luminoso,Casa,750,465,5,Excelente,LaMolina,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
26,5+,4,Muy luminoso,Casa de campo,1024,300,5,Excelente,Cieneguilla,5,No,No,2,1,1
49.9,4,3,Luminoso,Casa,333,370,3,Muy bueno,SantiagoDeSurco,2,Si,No,2,NoEspecifica,0
28.5,5+,5,Luminoso,Casa,160,280,3,A Remodelar,Ate,1,Si,No,3,NoEspecifica,0
40,5+,3,NoEspecifica,Casa,210,600,5,NoEspecifica,SantiagoDeSurco,0,NoEspecifica,NoEspecifica,3,NoEspecifica,0
87,4,3,Luminoso,Casa,1015,340,5,A Remodelar,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
48,4,3,Muy luminoso,Casa,258,220,4,Excelente,SantiagoDeSurco,2,No,No,2,NoEspecifica,1
35,3,1,Muy luminoso,Casa en condominio,270,193,3,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
75,4,1,Muy luminoso,Casa en condominio,300,290,5,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
110,4,4,Muy luminoso,Casa,420,350,3,A Remodelar,SanIsidro,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
23.2,5+,3,Muy luminoso,Casa,132,350,5,Excelente,Carabayllo,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
23.5,4,2,Luminoso,Casa,260,230,4,Muy bueno,Ate,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
34.9,3,1,Muy luminoso,Casa en condominio,270,193,3,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
55,5+,1,Muy luminoso,Casa en condominio,350,350,3,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
55,4,3,Muy luminoso,Casa en condominio,350,350,3,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
110,4,3,Muy luminoso,Casa,450,360,4,Muy bueno,SanIsidro,4,NoEspecifica,NoEspecifica,2,NoEspecifica,0
43,4,4,Muy luminoso,Casa,279,279,2,Bueno,Miraflores,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
87,4,1,Muy luminoso,Casa,750,550,5,Excelente,LaMolina,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
27.9,3,3,Muy luminoso,Casa,240,215,4,Excelente,LaMolina,1,Si,NoEspecifica,3,NoEspecifica,0
140,3,9,Muy luminoso,Casa,700,428,4,Excelente,LaMolina,3,No,No,2,NoEspecifica,0
15,5+,1,Luminoso,Casa,145,290,4,Bueno,SanMiguel,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
20,3,2,Muy luminoso,Casa,160,160,2,Muy bueno,LosOlivos,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
27.5,4,3,Muy luminoso,Casa de Playa,182,125,4,Excelente,Asia,2,NoEspecifica,NoEspecifica,2,1,1
20.9,5+,2,Muy luminoso,Casa,216,216,4,Muy bueno,LosOlivos,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
30,3,3,NoEspecifica,Casa,221,155,2,NoEspecifica,SanIsidro,1,NoEspecifica,NoEspecifica,1,0,NoEspecifica
135,4,3,NoEspecifica,Casa,606,500,5,NoEspecifica,SanIsidro,4,NoEspecifica,NoEspecifica,2,0,0
52,4,3,NoEspecifica,Casa,335,354,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,0,NoEspecifica
79,5+,3,NoEspecifica,Casa,495,366,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,1,0
67,4,3,NoEspecifica,Casa,340,338,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
88.9,5+,3,NoEspecifica,Casa,587,462,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,1,NoEspecifica
55,4,3,NoEspecifica,Casa,314,337,4,NoEspecifica,LaMolina,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
98,4,3,NoEspecifica,Casa,320,5000,5,NoEspecifica,MagdalenaDelMar,5,NoEspecifica,NoEspecifica,3,0,NoEspecifica
65,4,3,NoEspecifica,Casa,387,315,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
125,4,3,NoEspecifica,Casa,436,400,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
100,4,3,NoEspecifica,Casa,1008,412,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
79,4,3,NoEspecifica,Casa,1100,380,4,NoEspecifica,LaMolina,5,NoEspecifica,NoEspecifica,2,0,0
53.5,4,3,NoEspecifica,Casa,463,239,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
79,4,3,NoEspecifica,Casa,1084,400,5,NoEspecifica,LaMolina,5,NoEspecifica,NoEspecifica,2,0,0
180,4,5,NoEspecifica,Casa,475,373,4,Remodelado,SanIsidro,3,NoEspecifica,NoEspecifica,2,0,0
39,5+,3,Luminoso,Casa,362,362,5,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
52,4,7,NoEspecifica,Casa en condominio,300,225,3,NoEspecifica,LaMolina,1,NoEspecifica,NoEspecifica,2,1,0
67.4,5+,3,Luminoso,Casa,467,467,3,Excelente,SanBorja,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
32.8,5+,2,NoEspecifica,Casa,152,250,5,NoEspecifica,SanBorja,2,Si,NoEspecifica,3,NoEspecifica,NoEspecifica
41.5,4,4,Muy luminoso,Casa,200,250,3,A Remodelar,SanBorja,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
94.9,5+,3,Luminoso,Casa,468,468,5,Bueno,SanBorja,4,Si,NoEspecifica,3,NoEspecifica,0
32.8,5+,2,Luminoso,Casa,152,250,5,Muy bueno,SanLuis,2,Si,NoEspecifica,3,NoEspecifica,NoEspecifica
67,5+,3,Muy luminoso,Casa,340,340,4,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
26.9,5+,1,Luminoso,Casa en condominio,210,210,4,Excelente,Ate,2,NoEspecifica,NoEspecifica,3,1,0
26,5+,2,Luminoso,Casa,120,210,3,Bueno,LaMolina,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
36,4,1,Muy luminoso,Casa,120,210,4,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
33.8,5+,3,NoEspecifica,Casa,160,220,3,NoEspecifica,PuebloLibre,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
43,3,2,Luminoso,Casa en condominio,360,279,4,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
48.1,5+,2,Muy luminoso,Casa,347,347,5,Excelente,LaMolina,2,Si,Si,3,NoEspecifica,NoEspecifica
67,5+,3,Muy luminoso,Casa,345,340,4,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,4,NoEspecifica,0
20,3,3,NoEspecifica,Casa,200,109,2,A Remodelar,JesusMaria,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
49,5+,5,Luminoso,Casa,220,270,5,A Remodelar,SanBorja,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
18,5+,3,NoEspecifica,Casa de Playa,160,250,5,NoEspecifica,Ancon,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
16.5,5+,3,Muy luminoso,Casa,160,318,5,Excelente,Comas,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
13,5+,2,Muy luminoso,Casa,120,180,2,Muy bueno,Comas,0,Si,NoEspecifica,2,NoEspecifica,NoEspecifica
15,5+,1,NoEspecifica,Casa,138,350,5,NoEspecifica,Carabayllo,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
45,4,1,Muy luminoso,Casa,464,431,4,Excelente,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
34.9,4,1,Muy luminoso,Casa,160,230,3,Excelente,LaMolina,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
35,5+,1,Luminoso,Casa,200,260,4,Muy bueno,LaMolina,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
50,5+,1,Muy luminoso,Casa,617,400,5,Bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,NoEspecifica,0
22.5,2,3,NoEspecifica,Casa en condominio,66,120,2,NoEspecifica,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
46,5+,2,Luminoso,Casa,522,404,4,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,NoEspecifica,0
18,5+,3,Luminoso,Casa,153,280,5,Bueno,Carabayllo,1,Si,Si,3,NoEspecifica,NoEspecifica
125,4,2,Muy luminoso,Casa,1250,375,4,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
168.47,4,1,Muy luminoso,Casa,1306,461,4,Excelente,SantiagoDeSurco,5,NoEspecifica,NoEspecifica,2,NoEspecifica,0
49.6,5+,2,Luminoso,Casa,320,320,4,A Remodelar,LaMolina,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
39.5,4,4,Muy luminoso,Casa,169,280,4,Excelente,Ate,1,NoEspecifica,NoEspecifica,3,0,0
37,4,2,Muy luminoso,Casa,192,232,3,Muy bueno,LaMolina,1,NoEspecifica,NoEspecifica,2,0,0
35,3,2,Luminoso,Casa,175,230,3,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
45.5,5+,2,Luminoso,Casa,268,377,4,Bueno,PuebloLibre,3,NoEspecifica,NoEspecifica,3,0,0
19.4,5+,2,Luminoso,Casa,160,258,3,Muy bueno,Chorrillos,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
35,3,3,Muy luminoso,Casa,160,120,2,Excelente,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
77,5+,1,Muy luminoso,Casa,450,430,5,Excelente,LaMolina,4,NoEspecifica,NoEspecifica,2,0,NoEspecifica
115,5+,2,Muy luminoso,Casa,1142,660,5,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
32,5+,2,Muy luminoso,Casa,160,130,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
46.5,5+,3,NoEspecifica,Casa,356,356,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
30.5,3,3,Muy luminoso,Casa,200,193,3,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
34.5,2,3,Luminoso,Casa,110,110,1,NoEspecifica,Barranco,0,NoEspecifica,NoEspecifica,1,NoEspecifica,NoEspecifica
68.5,4,3,Muy luminoso,Casa de Playa,330,160,3,Excelente,Asia,4,NoEspecifica,NoEspecifica,2,1,0
35,2,3,Luminoso,Casa,275,236,2,A Remodelar,Miraflores,2,NoEspecifica,NoEspecifica,1,NoEspecifica,NoEspecifica
74,4,1,Muy luminoso,Casa,464,298,5,Excelente,LaMolina,3,Si,NoEspecifica,3,1,0
63,5+,1,Muy luminoso,Casa en condominio,461,408,4,Excelente,LaMolina,4,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
29.5,4,3,Luminoso,Casa,240,240,3,Bueno,Ate,1,NoEspecifica,NoEspecifica,3,NoEspecifica,0
7.5,3,5,Muy luminoso,Casa,138,100,3,Excelente,Carabayllo,1,No,Si,3,1,0
17.5,5+,3,NoEspecifica,Casa,148,240,3,NoEspecifica,SanMartinDePorres,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
28.5,5+,2,Muy luminoso,Casa,100,188,5,Bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,4,NoEspecifica,0
36,5+,2,Muy luminoso,Casa,200,430,5,Excelente,SanJuanDeLurigancho,2,Si,Si,3,NoEspecifica,NoEspecifica
79.9,4,1,Muy luminoso,Casa,450,443,5,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
75,4,3,Muy luminoso,Casa de Playa en condominio,235,170,4,Excelente,Asia,1,No,No,2,1,0
63,4,3,Muy luminoso,Casa de Playa en condominio,243,150,4,Excelente,Asia,1,No,No,2,1,0
13.9,5+,5,Muy luminoso,Casa,202,276,2,NA,SanMartinDePorres,1,Si,Si,2,NoEspecifica,NoEspecifica
38,5+,2,Muy luminoso,Casa,232,232,3,Excelente,LaMolina,1,NoEspecifica,NoEspecifica,2,NoEspecifica,0
57.9,5+,3,Muy luminoso,Casa,350,350,4,Excelente,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,3,NoEspecifica,0
150,4,3,Muy luminoso,Casa,432,300,5,NoEspecifica,SanIsidro,2,NoEspecifica,NoEspecifica,3,1,0
21,3,3,Muy luminoso,Casa,120,100,2,A Remodelar,MagdalenaDelMar,0,Si,Si,2,NoEspecifica,NoEspecifica
32.5,5+,6,Muy luminoso,Casa de Playa,240,240,5,Excelente,Asia,2,No,No,2,0,1
33.5,5+,6,Muy luminoso,Casa de Playa,240,240,5,Excelente,Asia,2,No,No,2,0,1
32.5,5+,6,NoEspecifica,Casa de Playa,245,245,5,NoEspecifica,Asia,2,No,No,2,1,1
7.8,4,5,Muy luminoso,Casa en condominio,104,113,3,Excelente,Carabayllo,1,NoEspecifica,NoEspecifica,2,1,0
54.5,4,6,Luminoso,Casa,212,212,4,Muy bueno,Miraflores,2,No,No,3,NoEspecifica,0
25,4,3,Luminoso,Casa,170,100,2,A Remodelar,SanMiguel,4,NoEspecifica,Si,2,NoEspecifica,0
17.7,1,3,Muy luminoso,Casa,173,40,1,Muy bueno,SantiagoDeSurco,0,Si,Si,1,NoEspecifica,0
17.5,5+,3,NoEspecifica,Casa,148,160,5,NoEspecifica,SanMartinDePorres,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
