Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bélgica,,,73,72,74,74,73,73,73,74,74,77,77,76,76,75,75,74,76,72,69,69,69,69,69,71,73,74,,,,,,,,,,,,82,78,79,80,80,79,79,77,78,75,76,75,73,72,71,72,75,77,75,75,76,
Benin,,,4,5,2,6,12,9,9,8,11,6,9,8,18,,,,,11,3,,47,,,,,,,,,,,,,,,,3,5,7,5,7,7,9,9,14,10,29,19,5,19,9,11,20,26,14,15,6,11,
Burkina Faso,,,7,10,8,4,4,4,4,4,4,6,9,5,8,7,6,6,8,12,11,15,14,10,,,,,,,,,,,,6,4,18,14,15,18,19,18,8,5,8,,7,7,6,3,2,6,4,5,5,5,3,3,4,
Bangladesh,,,,,,,,,,,,,,,,,,57,61,65,68,67,62,61,64,66,64,72,,74,77,80,83,84,84,85,87,88,91,,91,93,90,93,92,91,91,88,92,93,92,93,93,94,,96,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,61,62,59,57,61,62,66,62,59,53,55,51,53,49,48,48,48,52,55,57,55,57,58,
Bahrein,,,,,,,,,,,17,15,17,14,6,10,12,14,9,51,45,61,37,24,27,41,14,29,,,,,,,17,18,37,,,,10,13,12,9,9,6,5,8,12,13,6,5,12,19,15,24,24,21,20,,
Bahamas,,,,,,,,,,,,,,,5,3,6,,,,4,6,8,8,12,28,43,53,,,,,,,,,,1,22,28,44,37,33,32,40,59,61,60,58,70,63,67,69,68,70,61,67,63,60,,
Bosnia y Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,43,53,58,61,62,59,55,56,60,60,64,65,66,68,69,73,
Belarús,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,75,65,68,63,62,58,52,50,53,53,48,53,49,49,47,46,48,55,54,52,54,
Belice,,,,,,,,,,,,,,,,18,29,33,30,18,18,,13,4,,6,15,16,,,,,18,21,17,12,13,13,14,41,11,1,1,9,11,12,3,5,1,1,1,2,2,1,2,2,3,5,5,4,4
Bermudas,,,,,,,,,,,,87,70,69,59,50,48,48,50,34,45,49,83,82,82,79,,,,,,,,,0,0,,,,,,,,,,,,,,,,,70,98,75,44,32,44,75,84,
Bolivia,,,5,7,5,4,3,3,0,0,3,3,1,3,2,3,2,1,2,2,3,4,3,1,0,0,3,3,,,,,12,17,22,17,16,15,27,38,27,21,16,16,13,11,10,7,6,6,6,4,5,4,3,4,,,,,
Brasil,,,3,3,5,8,7,10,8,10,13,15,19,20,24,25,23,25,33,38,37,39,38,39,41,44,48,50,,54,52,55,57,59,55,53,53,53,54,53,58,54,52,51,53,52,50,47,44,38,35,33,34,35,33,36,38,36,34,32,
Barbados,,,,,,,,5,10,22,25,25,35,41,35,29,47,50,59,64,53,70,72,87,84,84,80,51,,,,,55,62,61,59,51,54,57,55,52,51,50,52,47,50,57,43,49,53,64,58,55,52,53,57,60,56,59,49,
Brunei Darussalam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,,,8,11,,,5,7,6,8,,3,4,2,4,4,4,4,3,7,7,11,10,4,8,
Bhután,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,,,,48,40,,,,,,50,46,38,1,41,70,69,48,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,91,91,86,86,85,79,73,75,76,78,87,86,87,90,89,93,95,96,96,
República Centroafricana,,,21,50,43,54,54,47,53,48,44,38,,33,22,24,18,24,38,44,26,,,,,,,,,,,,,39,42,45,49,36,59,61,68,49,48,37,16,38,48,22,11,3,3,4,8,7,1,80,64,82,52,,
Canadá,,,31,33,34,36,41,46,49,53,51,52,51,48,44,46,49,51,54,51,48,51,53,55,58,60,63,61,59,60,58,58,59,61,62,62,62,62,65,67,65,63,63,61,60,57,55,53,46,49,47,44,47,45,44,51,53,49,48,48,
Europa Central y del Báltico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,71,75,76,77,81,81,81,82,83,84,83,80,80,81,80,80,79,79,78,79,80,81,83,82,83,83,
Suiza,,,91,90,90,90,89,90,89,89,89,89,89,90,89,91,91,90,91,91,90,92,93,92,92,92,93,93,92,93,94,93,94,94,93,93,94,93,93,92,89,91,89,89,89,89,88,88,87,88,86,86,62,56,68,68,67,71,73,74,71
Islas del Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,3,4,4,4,5,4,3,4,4,5,5,4,4,10,10,11,10,8,9,8,7,7,7,7,9,9,,,10,11,12,15,15,12,13,14,16,16,15,17,16,18,15,15,12,12,15,13,12,13,14,14,14,14,14,13,13,13,
China,,,,,,,,,,,,,,,,,,,,,,,,,48,26,29,58,,,,,79,81,82,84,84,85,87,88,88,89,90,91,91,92,92,93,93,94,94,93,94,94,94,94,94,94,93,93,
Côte d'Ivoire,,,1,3,3,5,4,5,5,5,6,6,8,8,8,11,7,7,6,8,,10,10,11,,9,,,,,,,,,,7,6,17,19,21,14,19,21,22,26,25,19,18,12,15,16,10,10,28,17,21,14,16,10,10,
Camerún,,,4,3,3,5,3,3,8,8,14,10,10,9,9,11,10,4,4,6,4,,8,,,,17,18,,,9,,,,,8,8,8,,,3,4,5,5,4,3,3,8,21,16,7,20,9,9,8,7,10,8,,,
"Congo, República Democrática del",,,18,,,8,,,,,7,,7,7,4,7,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, República del",,,40,52,48,51,44,42,45,,29,34,39,32,8,12,13,16,21,8,7,,,9,4,4,2,,,,,,,2,2,3,,,,,,,,,,,,10,14,27,30,21,20,23,52,67,78,50,14,8,
Colombia,,,3,3,5,6,8,8,10,10,8,13,20,26,28,21,22,19,17,20,20,27,24,18,15,17,15,19,,,,33,32,37,33,34,29,30,32,30,32,39,38,34,37,35,36,39,32,27,21,16,17,17,17,23,24,20,20,21,
Comoras,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,33,35,34,8,9,4,3,2,3,13,13,6,31,26,33,21,15,28,36,28,15,20,36,56,
Cabo Verde,,,,,,,,,,,,,,,,,,,15,1,5,,,,3,,,,,,,,,,,,,78,84,83,90,96,94,88,90,56,38,59,,27,18,15,13,14,14,14,16,23,17,19,
Costa Rica,,,,,,15,17,17,19,18,19,21,19,21,25,24,25,21,20,22,28,29,25,27,24,22,20,24,,,,,,,27,25,25,43,53,68,66,62,63,65,62,65,64,63,63,46,61,60,61,62,59,53,52,53,55,57,
Estados pequeos del Caribe,,,,,,,,,,,13,13,16,13,10,11,13,13,15,13,13,16,17,20,22,24,29,28,,,,26,28,33,35,35,32,31,34,30,25,33,26,23,29,23,20,24,22,17,26,30,33,28,30,33,,,,,
Cuba,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,10,9,10,13,19,22,27,24,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,,,,,,,,,,,13,14,15,16,20,38,37,42,47,50,55,55,51,55,55,56,54,59,,59,55,56,58,58,56,51,52,56,54,52,49,50,55,49,48,47,46,45,48,50,50,43,40,45,48,47,40,29,26,32,
República Checa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,78,82,84,86,88,88,88,89,89,90,90,88,89,90,87,87,86,88,88,88,89,89,90,91,91,91,
Alemania,,,87,87,88,87,87,88,86,87,87,97,89,88,85,86,87,86,86,86,84,84,85,84,84,86,88,88,89,89,89,88,88,84,85,84,85,85,87,86,84,87,87,84,84,86,85,83,83,84,84,83,83,83,84,84,85,85,85,85,84
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,15,18,27,54,43,,41,,35,24,22,,,,,,32,40,47,49,48,,53,56,57,54,60,56,57,58,54,45,41,66,,74,,,,,,,,
Dinamarca,,,38,40,41,42,43,46,49,53,54,54,55,54,56,56,56,56,55,54,55,56,56,57,57,58,59,60,59,59,60,59,61,58,58,60,59,63,65,66,64,65,67,66,66,63,63,65,63,65,61,60,58,58,61,62,71,70,71,72,74
República Dominicana,,,,,,,,,,,,4,17,22,17,15,23,18,21,26,24,19,16,24,,41,42,51,,,,,,,,,8,8,,,,34,82,82,82,80,84,78,71,72,68,67,63,56,52,58,55,57,58,,
Argelia,,,,,,,6,,8,8,7,9,,3,2,2,1,1,1,0,0,1,1,1,2,2,1,2,,,,,2,3,2,3,5,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,,,
Asia oriental y el Pacífico (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,41,27,30,53,,,,,73,76,77,79,80,79,81,83,83,83,83,84,84,84,84,85,83,85,83,82,83,84,84,86,86,85,85,85,
inicial del dividendo demográfico,,,,,,,19,18,16,18,22,24,25,26,21,19,21,22,24,23,20,21,20,26,29,28,38,40,,,,46,46,48,48,49,50,55,51,51,49,50,50,49,48,48,46,47,45,46,43,43,46,45,48,52,50,50,50,54,
Asia oriental y el Pacífico,,,,,,,,,,,,,,,,,,,,,,,,,60,53,56,68,,,,,79,80,82,82,82,82,83,84,84,84,84,83,83,80,79,81,78,77,77,74,74,74,75,77,75,81,81,81,
Europa y Asia central (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40,44,42,39,40,41,40,41,38,36,37,36,34,33,33,33,33,34,36,38,37,36,36,
Europa y Asia central,,,74,68,68,68,70,70,70,71,71,75,73,72,72,73,74,74,74,73,71,71,72,71,71,73,77,77,78,78,78,78,77,76,77,77,74,75,76,76,73,74,74,74,73,73,72,72,70,70,70,69,68,67,69,71,72,72,71,72,
Ecuador,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,2,,,2,2,4,7,8,8,8,8,10,8,9,11,9,10,7,7,9,8,8,9,10,7,8,6,6,7,7,6,6,6,
"Egipto, República Árabe de",,,,,,21,22,22,26,27,27,28,31,25,26,34,25,25,29,20,11,9,8,12,14,10,20,34,,,,,,,39,40,32,38,44,37,38,33,35,30,30,24,21,19,36,42,42,43,43,47,50,52,48,49,49,45,
Zona del Euro,,,77,69,70,71,72,72,72,74,74,78,76,75,74,75,75,75,76,75,74,73,74,74,74,75,78,79,79,79,80,80,80,78,79,79,80,81,83,82,79,79,80,79,79,79,78,78,76,77,77,76,75,76,76,78,78,78,78,78,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,51,25,30,,,,,,,,,,,,,,,,,
España,,,28,31,32,39,44,40,46,54,53,60,65,62,65,70,69,70,73,73,72,70,71,70,69,70,72,71,72,72,75,75,77,76,77,78,78,76,78,78,78,77,78,77,77,76,76,75,73,73,,,67,,68,70,72,70,67,67,66
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,68,65,67,67,72,75,72,74,73,70,63,64,66,62,62,63,63,67,66,65,69,67,66,,54
Etiopía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,10,7,7,9,13,14,11,10,5,5,23,16,14,14,15,12,16,12,13,9,7,6,,
Unión Europea,,,76,68,68,68,70,70,70,72,72,76,74,73,72,73,75,75,75,74,73,73,73,73,73,75,77,77,79,79,79,79,78,77,78,78,79,81,82,82,79,80,80,80,79,79,78,78,76,77,77,76,75,76,76,78,79,78,78,79,
Frágiles y situaciones de conflicto afectados,,,,3,,,,,,,,,7,7,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,6,5,8,,,,5,7,6,6,7,5,4,5,,,7,,,,
Finlandia,,,,56,54,57,59,63,64,66,67,69,72,71,73,77,75,74,75,72,70,72,77,75,74,77,81,80,81,81,83,82,82,82,82,83,83,83,86,85,85,85,85,84,83,84,81,81,81,77,77,74,72,70,68,70,69,68,67,68,67
Fiji,,,,,,,,2,2,2,2,3,3,4,3,2,3,2,3,2,1,3,4,4,5,8,8,9,,23,29,27,31,34,30,,,,,,46,42,38,39,39,26,23,25,22,22,22,22,20,22,20,20,22,20,21,27,
Francia,,,72,71,70,71,71,72,72,72,74,73,72,71,72,76,75,76,76,75,73,72,74,73,73,74,76,76,76,76,77,78,78,77,79,79,80,80,82,82,81,82,81,81,81,80,79,79,78,79,78,76,77,77,78,79,80,80,80,81,
Islas Feroe,,,,,,,,,,,,,,,,,4,5,3,8,8,7,2,0,1,4,6,20,12,7,7,6,9,4,3,,7,5,5,5,8,3,2,4,6,7,4,4,16,7,,,,,,,,,,,
Micronesia (Estados Federados de),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,17,21,1,1,2,1,1,1,0,0,0,,,,,,,
Gabón,,,15,14,12,11,9,8,7,6,9,8,,,,1,1,2,1,2,,5,4,6,,,,,,,,,,1,1,,2,3,4,5,1,2,2,3,7,4,4,4,3,4,,,,,,,,,,,
Reino Unido,,,80,79,80,81,81,81,81,82,80,82,81,80,79,81,80,79,78,75,71,66,65,63,64,65,73,75,80,80,80,80,78,79,80,82,83,83,84,84,75,75,78,77,76,75,77,73,68,66,68,63,66,59,68,72,76,74,69,72,70
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,42,31,33,33,27,36,38,43,45,52,36,44,48,50,46,46,38,31,36,36,39,
Ghana,,,1,1,1,1,1,1,0,1,0,1,1,2,2,1,1,2,1,1,1,1,0,1,1,,,,,,,,4,,,,9,7,13,19,9,11,,5,8,23,21,12,10,10,7,8,6,10,9,9,9,6,4,5,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,19,17,18,25,22,19,,17,10,3,4,10,,,,,3,4,16,4,,,,
Gambia,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,36,20,24,5,12,11,4,1,2,1,2,2,3,3,1,1,5,39,6,2,0,1,11,12,14,4
Guinea-Bissau,,,,,,,,,,,2,2,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,
Guinea Ecuatorial,,,,,,,,,,,,,,,,,,,,4,2,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grecia,,,11,9,11,13,14,14,19,29,35,31,36,37,45,44,49,50,46,46,47,53,50,49,48,49,53,54,55,52,53,49,50,51,47,50,48,52,54,51,49,51,55,57,59,55,51,52,46,46,40,37,32,31,33,36,37,36,34,38,43
Granada,,,,,,,,,,,,,,,,,,4,5,3,8,,,,4,5,3,3,,,,,,20,16,15,13,22,44,13,65,51,24,24,19,20,26,56,41,,,,,,,,,,,,
Groenlandia,,,,,,,,,,,,,,,,,2,2,4,3,2,7,10,7,11,2,3,4,1,1,2,3,3,3,2,2,4,3,1,1,1,4,4,2,3,3,7,3,2,5,7,4,1,12,4,4,8,7,4,,
Guatemala,,,,,,14,16,21,23,25,28,28,26,27,27,25,24,17,21,23,24,29,26,25,23,21,17,24,,,,,,31,31,28,31,30,33,34,31,37,40,40,42,57,35,50,47,43,43,39,41,41,39,43,42,42,44,44,43
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,3,3,4,6,3,3,15,19,16,5,,5,,,,,,,,,,,,,,,,11,10,10,12,13,17,19,24,15,16,16,8,5,4,4,2,3,4,4,6,17,3,,
Ingreso alto,,,67,64,64,65,67,68,67,68,69,72,71,70,67,68,70,70,69,68,69,69,69,70,71,71,76,76,,76,76,73,74,74,75,76,76,79,78,77,75,75,75,74,73,72,71,71,68,67,66,65,64,63,65,67,67,69,68,69,
"Hong Kong, Región Administrativa Especial",,,90,92,92,93,94,95,95,96,96,96,96,96,96,97,97,96,96,96,96,96,96,95,96,95,96,96,,,,,93,94,94,94,93,93,94,93,94,93,87,74,75,80,69,68,57,35,46,35,23,25,30,31,14,87,90,92,89
Honduras,,,,3,4,4,6,7,8,8,8,3,3,6,11,11,10,10,10,11,12,12,9,9,6,4,4,4,,,,,,13,14,9,24,23,21,27,16,17,24,25,24,22,29,29,,26,24,20,30,,38,34,33,29,33,21,
Países pobres muy endeudados (PPME),,,,10,9,9,7,7,9,,8,8,9,8,6,7,6,7,7,7,,,,,,,,,,,,,,,,9,12,13,15,18,14,14,15,14,14,14,13,15,14,15,13,12,15,18,21,23,24,20,18,,
Croacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,71,74,74,72,69,76,76,73,73,73,72,73,68,66,68,70,67,68,67,63,63,63,67,68,67,67,67,
Haití,,,,,,,,,,,24,26,27,28,35,38,35,33,37,48,,68,,,,,,,73,69,85,84,83,84,75,62,77,84,,,,,,,,,,,,,,,,,,,,,,,
Hungría,,,,,10,10,52,11,12,11,10,11,11,10,10,9,67,67,68,68,65,63,63,61,62,67,69,69,,,,,66,67,63,68,70,76,81,85,86,85,86,87,88,85,84,81,80,82,82,82,81,82,83,86,88,87,87,87,
Sólo BIRF,,,,,,,,,,,,,,,,,,,,,,,,,37,29,33,48,,,,,64,67,68,68,64,63,65,66,65,65,66,66,65,65,63,65,62,63,61,61,63,62,64,65,65,65,65,68,
BIRF y la AIF,,,,,,,,,,,,,,,,,,,,,,,,,36,28,33,47,,,,,64,67,67,67,62,61,64,64,63,63,64,64,64,64,61,63,61,61,59,59,61,60,62,63,63,63,63,66,
total de la AIF,,,,,,,,,,,10,9,10,11,9,9,9,14,14,14,,15,,,,,,,,,,,,,,,23,24,24,,23,23,25,24,,,25,26,26,26,25,23,24,26,22,31,23,22,20,,
mezcla de la AIF,,,12,10,10,11,13,13,13,12,14,13,13,14,10,11,11,12,12,11,,10,,12,13,12,13,14,,,,,,,,,18,20,18,18,17,17,21,18,,,18,18,20,20,21,16,17,19,22,25,21,20,19,22,
Indonesia,,,0,,,,,2,1,1,1,1,2,2,1,1,1,2,2,3,2,3,4,7,10,13,19,25,,32,35,41,47,53,52,51,51,42,44,54,57,56,54,52,50,47,44,42,38,40,37,34,36,37,40,44,47,42,43,46,
Sólo AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,31,30,30,30,32,34,32,32,29,29,33,,,37,,,,,
Isla de Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,43,42,45,48,48,48,50,54,52,53,55,53,52,45,52,56,60,58,59,60,49,51,53,58,63,66,71,70,70,72,73,73,76,73,72,74,76,79,78,75,75,76,73,71,66,64,62,66,63,61,62,60,63,69,72,70,69,71,
No clasificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlanda,,,,21,24,25,28,28,32,34,36,34,38,42,47,42,47,50,50,53,54,58,61,62,64,65,65,65,68,67,69,70,69,68,70,71,81,80,83,85,86,87,88,86,85,86,84,84,85,85,84,86,85,85,84,87,88,86,88,89,90
"Irán, República Islámica del",,,,4,4,4,4,3,4,4,4,5,5,4,1,1,1,0,,,,,,,,,,,,,,,,,,,,9,11,8,7,9,9,9,8,8,10,,,,16,12,,19,21,29,21,19,22,,
Iraq,,,,1,,,,,,,,,23,21,21,15,24,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Islandia,,,1,2,2,2,3,4,3,4,3,4,5,4,6,5,6,6,5,6,8,7,9,9,12,9,9,8,12,10,8,6,6,7,9,12,11,12,9,13,13,13,14,15,17,19,19,27,19,19,15,14,14,12,14,12,13,13,11,15,11
Israel,,,65,60,66,64,68,69,71,71,70,71,74,73,76,75,77,79,80,80,82,81,80,81,82,83,85,85,86,87,87,87,89,91,91,89,91,92,92,93,82,82,82,84,83,83,82,76,92,94,94,94,92,92,93,94,92,94,93,93,92
Italia,,,74,76,77,77,79,79,81,82,83,83,83,83,81,83,83,83,84,82,84,83,83,85,85,85,87,88,88,88,88,88,88,88,89,89,89,89,89,89,88,88,88,86,86,85,85,84,83,82,82,81,81,82,83,83,84,83,83,82,
Jamaica,,,8,7,,,,,,,,,47,49,58,54,57,55,59,52,63,66,59,56,53,53,52,54,,,,14,20,24,26,26,24,22,21,18,18,14,8,7,7,5,5,5,9,18,8,4,14,8,5,4,5,3,5,3,
Jordania,,,,,5,7,18,15,10,13,16,23,26,26,21,20,21,31,38,35,34,43,43,41,48,43,36,48,,45,51,46,50,51,54,49,,42,56,57,61,66,68,69,69,373,71,76,75,72,72,68,68,72,71,70,72,73,75,74,
Japón,,,88,90,90,91,91,92,93,92,92,93,94,94,92,94,95,95,96,95,95,96,96,96,96,96,97,97,96,96,96,96,96,96,96,95,95,95,94,94,94,93,93,93,93,92,91,90,89,88,88,88,89,88,88,87,87,87,87,87,86
Kazajstán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,32,27,24,24,0,16,16,16,15,12,11,13,14,13,12,11,12,10,11,14,18,15,12,13,
Kenya,,,,,,,,,,,,,,,,,15,10,13,14,12,11,12,12,10,11,11,13,,,29,20,36,28,29,28,26,25,24,22,21,23,24,24,26,32,36,37,36,36,34,,,36,,31,31,28,28,31,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,,28,20,18,20,20,22,25,28,32,35,23,19,19,16,23,21,18,25,24,29,27,22,
Camboya,,,2,1,1,1,0,0,1,2,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,96,96,97,97,97,97,95,96,96,94,92,90,90,93,91,90,92,91,
Kiribati,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,,18,16,23,28,11,11,6,14,17,14,,,,
Saint Kitts y Nevis,,,,,,,,,,,,,,,,,,,,,,28,25,28,,,45,57,,,,,,39,31,41,28,34,,71,73,73,70,77,69,95,92,90,89,89,87,87,88,88,86,82,86,86,,,
"Corea, República de",,,18,45,47,59,61,67,74,76,77,82,84,84,85,81,87,85,88,89,90,90,91,91,91,91,92,92,93,93,93,93,93,93,93,92,89,87,86,90,90,90,92,92,91,91,89,89,87,89,88,85,85,86,87,89,90,89,88,87,
Kuwait,,,,,,,,,,,5,4,5,6,5,8,10,11,11,9,10,15,22,19,16,,88,83,87,85,6,19,5,4,5,5,4,4,10,9,4,5,6,5,4,,3,3,3,6,7,5,,5,4,6,6,5,8,5,
América Latina y el Caribe (excluido altos ingresos),,,8,9,10,11,12,13,13,16,20,23,24,28,28,25,24,23,26,25,21,21,20,25,26,28,38,36,,48,45,49,54,56,56,55,54,56,59,58,58,58,57,56,55,55,53,51,51,49,48,47,48,50,50,52,53,52,50,49,
República Democrática Popular Lao,,,9,1,6,6,1,3,2,0,31,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,8,15,24,28,26,21,21,22,
Líbano,,,,,,,,43,50,58,60,64,67,69,,,,75,,,,,,,,,,,,,,,,,,,,69,67,64,66,64,63,52,63,65,56,60,65,56,59,49,44,47,56,58,46,41,57,,
Liberia,,,,4,,,,1,,,2,2,2,2,1,1,1,1,1,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libia,,,0,0,0,0,0,"0,00E+00",0,0,0,"0,00E+00","0,00E+00",0,"0,00E+00","0,00E+00",0,0,0,0,0,0,,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,3,3,2,2,,,,,,1,,1,,
