Marca temporal,Género,Edad,Carrera,Ciclo,Cantidad de curso,Promedio ponderado,Horas de sueño,Horas de estudio,Juegas videojuegos,Horas de videojuegos,Semana de examen,Plataforma,Area de juego,Modo de Jugar,Juego en Linea,Razon de Jugar,Importancia,Video Juego Rendimiento,Dependencia,Curso Desaprobado,Curso Repetido,Curso Desempenado
29/4/2022 18:47:28,Mujer,19,Ingeniería Civil,IV,8,15.66,7,3,nunca,0,0,Pc,Estrategia,Amigos,algunas veces,Ocio,nunca,rara vez,nunca,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 18:51:48,Hombre,17,Ingeniería Ambiental,I,7,17,7,1,algunas veces,6,0,Movil,Estrategia,Solo(a),rara vez,Ansiedad,con frecuencia,rara vez,rara vez,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:52:02,Hombre,22,Ingeniería Civil,VII,6,16,7,4,algunas veces,6,0,Pc,Estrategia,Amigos,siempre,Ocio,algunas veces,rara vez,rara vez,Sí,Cursos de carrera,Cursos de carrera
29/4/2022 18:55:48,Hombre,18,Ingeniería Industrial,III,7,14,8,6,siempre,5,2,Movil,Disparos,Solo(a),con frecuencia,Relajación,algunas veces,nunca,nunca,Sí,Ciencias generales,Cursos de carrera
29/4/2022 18:57:20,Hombre,19,Ciencias de la Computación,V,6,14.32,6,4,con frecuencia,4,0,Pc,Disparos,Amigos,siempre,Relajación,siempre,nunca,siempre,No,No eh jalado ningún curso,Proyectos interdisciplinarios
29/4/2022 19:02:43,Hombre,19,Ingeniería Mecatrónica,V,6,13.52,8,3,siempre,5,4,Pc,Simuladores,Solo(a),rara vez,Ocio,algunas veces,algunas veces,algunas veces,Sí,Ciencias generales,Cursos de carrera
29/4/2022 19:02:52,Hombre,40,Ingeniería Mecánica,IX,4,16.13,11.88888889,1,nunca,80,8,Tablet,Otros,Amigos,nunca,Ansiedad,nunca,siempre,siempre,Sí,HACS,HACS
29/4/2022 19:09:01,Mujer,18,Ingeniería Industrial,III,5,18,8,8,algunas veces,2,1,Pc,Lucha,Amigos,con frecuencia,Relajación,nunca,rara vez,algunas veces,Sí,Ciencias generales,Cursos de gestión
29/4/2022 19:16:41,Hombre,19,Ingeniería Electrónica,X,8,15.8,7,8,rara vez,0,0,"Consola (PSP , Xbox ,etc)",Estrategia,Solo(a),nunca,Ocio,con frecuencia,con frecuencia,con frecuencia,Sí,Ciencias generales,HACS
29/4/2022 19:17:37,Hombre,18,Ciencias de la Computación,III,4,15.6,8,8,rara vez,2,0,"Consola (PSP , Xbox ,etc)",Disparos,Solo(a),rara vez,Relajación,algunas veces,nunca,nunca,Sí,Ciencias generales,Cursos de carrera
29/4/2022 19:20:04,Hombre,19,Ciencias de la Computación,III,6,14.3,4,4,siempre,10,0,Pc,Disparos,Solo(a),siempre,Competición,con frecuencia,nunca,algunas veces,No,No eh jalado ningún curso,HACS
29/4/2022 19:23:34,Hombre,17,Ingeniería Ambiental,I,6,15.85,7,4,algunas veces,4,1,Pc,Estrategia,Solo(a),algunas veces,Ocio,rara vez,algunas veces,rara vez,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 19:25:27,Mujer,19,Ingeniería Ambiental,III,5,16,7,4,rara vez,0,0,Pc,Otros,Solo(a),nunca,Ansiedad,nunca,nunca,nunca,No,No eh jalado ningún curso,HACS
29/4/2022 19:26:33,Hombre,18,Ciencias de la Computación,V,7,15.13,6,5,algunas veces,4,0,Pc,Disparos,Solo(a),siempre,Relajación,algunas veces,rara vez,rara vez,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 19:26:48,Hombre,17,Ingeniería Mecatrónica,II,6,14.9,6,2,algunas veces,1,0,Pc,Disparos,Solo(a),algunas veces,Relajación,rara vez,rara vez,nunca,No,No eh jalado ningún curso,HACS
29/4/2022 20:02:58,Hombre,19,Ingeniería Mecatrónica,IV,6,15.9,7,4,siempre,4,0,Movil,Disparos,Solo(a),siempre,Ocio,con frecuencia,rara vez,rara vez,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 20:06:58,Mujer,17,Ingeniería Civil,III,6,15.93,7,5,con frecuencia,8,0,Pc,Estrategia,Amigos,con frecuencia,Competición,algunas veces,algunas veces,rara vez,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 20:12:08,Hombre,18,Ingeniería Civil,III,7,15.83,7,2,siempre,18,0,Movil,Disparos,Solo(a),siempre,Ocio,con frecuencia,rara vez,con frecuencia,Sí,Ciencias generales,Cursos de carrera
29/4/2022 20:17:45,Hombre,21,Ingeniería Civil,VII,6,17.17,5,6,algunas veces,2,0,"Consola (PSP , Xbox ,etc)",Simuladores,Solo(a),rara vez,Ocio,nunca,nunca,rara vez,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 20:30:02,Mujer,18,Bioingeniería,III,4,17.61,7,6,siempre,4,0,Pc,Otros,Amigos,con frecuencia,Ocio,con frecuencia,nunca,rara vez,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 20:33:01,Hombre,18,Ingeniería Industrial,II,5,13.5,7,5,con frecuencia,17,0,Pc,Disparos,Amigos,siempre,Amigos,algunas veces,algunas veces,rara vez,Sí,Ciencias generales,Ciencias generales
29/4/2022 21:34:58,Hombre,20,Ingeniería Industrial,III,5,14.7,7,5,siempre,10,0,Pc,Lucha,Solo(a),algunas veces,Relajación,algunas veces,algunas veces,algunas veces,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 21:36:50,Hombre,21,Ciencias de la Computación,IX,4,13.43,6,2,siempre,22,0,Pc,Estrategia,Amigos,con frecuencia,Amigos,con frecuencia,algunas veces,rara vez,Sí,Cursos de carrera,Proyectos interdisciplinarios
29/4/2022 22:01:50,Mujer,20,Bioingeniería,III,5,17.3,5,6,algunas veces,3,0,Movil,Estrategia,Solo(a),algunas veces,Relajación,rara vez,rara vez,rara vez,Sí,Ciencias generales,Cursos de carrera
29/4/2022 22:22:33,Mujer,24,Bioingeniería,VII,6,14.06,8,6,algunas veces,1,0,Pc,Arcade,Solo(a),siempre,Ocio,nunca,nunca,siempre,Sí,Ciencias generales,Cursos de carrera
29/4/2022 22:25:29,Hombre,21,Ingeniería Industrial,III,6,14.38,6,7,con frecuencia,10,1,Pc,Estrategia,Solo(a),con frecuencia,Competición,rara vez,rara vez,algunas veces,Sí,Ciencias generales,Cursos de gestión
29/4/2022 22:38:58,Hombre,18,Ciencias de la Computación,III,6,17.5,7,3,con frecuencia,10,0,Pc,Estrategia,Amigos,siempre,Competición,algunas veces,algunas veces,nunca,No,No eh jalado ningún curso,Ciencias generales
30/4/2022 1:06:22,Hombre,18,Ingeniería Mecánica,IV,8,16,8,2,con frecuencia,2,0,Pc,Lucha,Amigos,con frecuencia,Relajación,algunas veces,algunas veces,rara vez,No,No eh jalado ningún curso,Cursos de carrera
30/4/2022 8:00:57,Hombre,18,Ingeniería Mecatrónica,V,6,18,6,4,con frecuencia,10,0,Pc,Estrategia,Solo(a),con frecuencia,Ocio,rara vez,algunas veces,rara vez,No,No eh jalado ningún curso,Ciencias generales
30/4/2022 8:35:45,Hombre,18,Ingeniería Mecatrónica,V,7,16.79,7,7,algunas veces,2,0,Pc,Otros,Amigos,siempre,Amigos,rara vez,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
30/4/2022 10:58:53,Hombre,19,Ingeniería Civil,IV,8,17.21,6,4,siempre,14,0,Movil,Otros,Amigos,siempre,Ocio,con frecuencia,rara vez,algunas veces,No,No eh jalado ningún curso,Ciencias generales
30/4/2022 11:25:04,Hombre,20,Ingeniería Civil,IV,7,13,5,1,con frecuencia,4,0,Movil,Otros,Solo(a),con frecuencia,Relajación,algunas veces,algunas veces,nunca,Sí,Ciencias generales,Proyectos interdisciplinarios
30/4/2022 12:56:01,Hombre,18,Ingeniería Mecatrónica,III,4,14,6,4,rara vez,2,0,Movil,Otros,Solo(a),nunca,Relajación,nunca,rara vez,nunca,Sí,Ciencias generales,Cursos de carrera
30/4/2022 13:00:13,Hombre,18,Ingeniería Ambiental,III,6,14,7,7,siempre,6,4,Movil,Estrategia,Amigos,con frecuencia,Amigos,algunas veces,rara vez,nunca,Sí,Ciencias generales,HACS
30/4/2022 13:48:56,Hombre,19,Ingeniería Mecatrónica,IV,5,15,7,4,rara vez,1,0,Pc,Disparos,Amigos,siempre,Ocio,nunca,nunca,nunca,No,No eh jalado ningún curso,Cursos de carrera
30/4/2022 14:58:22,Hombre,19,Ingeniería Mecatrónica,IV,6,14.95,6,2,algunas veces,3,0,Movil,Arcade,Solo(a),con frecuencia,Ocio,algunas veces,algunas veces,rara vez,Sí,Ciencias generales,Cursos de gestión
30/4/2022 15:15:31,Hombre,21,Ingeniería Mecatrónica,II,6,16.34,7,4,con frecuencia,12,0,Pc,Estrategia,Solo(a),con frecuencia,Ansiedad,con frecuencia,nunca,con frecuencia,Sí,Ciencias generales,Cursos de carrera
30/4/2022 18:03:19,Hombre,18,Ingeniería Mecánica,III,5,15.22,6,4,siempre,2,0,Pc,Disparos,Amigos,siempre,Amigos,nunca,nunca,con frecuencia,Sí,Ciencias generales,Proyectos interdisciplinarios
30/4/2022 19:02:11,Hombre,20,Ingeniería Mecatrónica,VII,5,15.5,8,2,siempre,30,0,Pc,Otros,Amigos,siempre,Amigos,siempre,rara vez,con frecuencia,No,No eh jalado ningún curso,Ciencias generales
30/4/2022 23:08:57,Mujer,19,Bioingeniería,V,6,18.95,5,7,rara vez,1,0,"Consola (PSP , Xbox ,etc)",Deportivos,Solo(a),nunca,Competición,rara vez,rara vez,rara vez,No,No eh jalado ningún curso,Cursos de carrera
30/4/2022 23:18:03,Hombre,19,Ingeniería Mecánica,IV,5,12.46,6,5,algunas veces,5,2,Pc,Disparos,Amigos,algunas veces,Relajación,rara vez,nunca,nunca,Sí,Ciencias generales,Cursos de gestión
1/5/2022 10:57:45,Hombre,20,Ciencias de la Computación,IV,8,14.32,5,10,algunas veces,8,0,Pc,Disparos,Amigos,siempre,Amigos,algunas veces,rara vez,con frecuencia,Sí,Cursos de carrera,Ciencias generales
1/5/2022 11:15:42,Hombre,20,Bioingeniería,V,5,15.52,6,4,con frecuencia,3,0,Pc,Otros,Solo(a),con frecuencia,Ocio,rara vez,rara vez,nunca,Sí,Ciencias generales,Ciencias generales
1/5/2022 12:47:22,Hombre,23,Ingeniería Electrónica,VI,5,14.63,5,10,algunas veces,4,0,Pc,Disparos,Amigos,siempre,Relajación,nunca,con frecuencia,rara vez,Sí,Ciencias generales,Cursos de carrera
1/5/2022 12:52:59,Hombre,18,Ciencias de la Computación,III,6,17.85,6,8,algunas veces,10,4,Pc,Arcade,Amigos,con frecuencia,Relajación,algunas veces,algunas veces,algunas veces,No,No eh jalado ningún curso,Ciencias generales
1/5/2022 15:05:46,Hombre,18,Ingeniería Mecánica,IV,7,15,8,6,siempre,14,0,Movil,Estrategia,Solo(a),siempre,Relajación,siempre,siempre,algunas veces,No,No eh jalado ningún curso,Cursos de carrera
1/5/2022 16:51:34,Mujer,18,Administración de Negocios Digitales,III,5,12.27,8,3,algunas veces,3,0,Pc,Otros,Solo(a),rara vez,Ocio,rara vez,rara vez,nunca,Sí,Ciencias generales,Cursos de carrera
1/5/2022 17:09:21,Hombre,21,Ciencias de Datos,III,7,14.7,8,6,algunas veces,2,0,Movil,Estrategia,Solo(a),algunas veces,Relajación,rara vez,algunas veces,con frecuencia,No,No eh jalado ningún curso,Ciencias generales
1/5/2022 17:30:32,Mujer,20,Bioingeniería,V,6,14.3,7,2.5,algunas veces,1,1,Movil,Arcade,Solo(a),nunca,Relajación,nunca,nunca,rara vez,Sí,Ciencias generales,HACS
1/5/2022 18:52:17,Hombre,19,Ingeniería Química,IV,4,14.25,8,3,siempre,4,0,"Consola (PSP , Xbox ,etc)",Disparos,Amigos,siempre,Amigos,siempre,algunas veces,con frecuencia,Sí,Cursos de carrera,Cursos de carrera
1/5/2022 19:57:50,Hombre,18,Ingeniería Mecatrónica,III,6,15.57,5,5,con frecuencia,10,0,Pc,Disparos,Amigos,con frecuencia,Relajación,algunas veces,rara vez,nunca,No,Ciencias generales,Ciencias generales
1/5/2022 20:08:46,Hombre,21,Ingeniería Civil,IV,7,15.45,7,4,con frecuencia,6,0,Pc,Simuladores,Amigos,siempre,Amigos,algunas veces,con frecuencia,algunas veces,No,No eh jalado ningún curso,Cursos de carrera
1/5/2022 20:51:25,Hombre,21,Ingeniería Civil,IV,7,17.4,7,5,algunas veces,2,0,Pc,Arcade,Amigos,algunas veces,Amigos,con frecuencia,siempre,rara vez,No,No eh jalado ningún curso,Proyectos interdisciplinarios
1/5/2022 21:44:39,Mujer,17,Ingeniería Ambiental,I,7,15,6,4,algunas veces,6,0,Movil,Otros,Solo(a),nunca,Ocio,rara vez,rara vez,algunas veces,No,No eh jalado ningún curso,Ciencias generales
1/5/2022 22:59:20,Hombre,18,Ingeniería Industrial,III,4,12.7,7,2,siempre,20,0,Pc,Estrategia,Amigos,siempre,Ocio,con frecuencia,rara vez,con frecuencia,Sí,Ciencias generales,Cursos de carrera
2/5/2022 16:26:53,Hombre,22,Ingeniería Civil,VI,4,14.34,6,2,siempre,14,0,Movil,Disparos,Solo(a),siempre,Ocio,nunca,nunca,siempre,Sí,Ciencias generales,Cursos de gestión
2/5/2022 16:42:38,Hombre,24,Ingeniería Civil,X,5,14,7,3,rara vez,1,0,Movil,Deportivos,Solo(a),rara vez,Otro,rara vez,rara vez,algunas veces,No,No eh jalado ningún curso,Cursos de carrera
2/5/2022 16:59:56,Hombre,17,Ingeniería Industrial,I,4,15,7,8,con frecuencia,15,0,Movil,Estrategia,Amigos,con frecuencia,Ocio,rara vez,nunca,rara vez,No,No eh jalado ningún curso,Ciencias generales
2/5/2022 17:14:21,Hombre,17,Ingeniería Civil,X,8,20,3,19,siempre,0,8,Pc,Deportivos,Amigos,algunas veces,Ocio,siempre,con frecuencia,con frecuencia,No,Cursos de carrera,Cursos de carrera
2/5/2022 18:10:34,Hombre,21,Ingeniería Electrónica,IV,8,11.46,7,3,con frecuencia,7,0,Movil,Estrategia,Solo(a),algunas veces,Ansiedad,algunas veces,nunca,rara vez,Sí,Ciencias generales,Cursos de carrera
2/5/2022 19:31:14,Hombre,18,Ingeniería Mecánica,IV,7,14.32,8,4,siempre,3,0,Pc,Estrategia,Amigos,siempre,Competición,algunas veces,rara vez,rara vez,Sí,Ciencias generales,Ciencias generales
2/5/2022 19:32:55,Mujer,19,Ingeniería Civil,IV,6,14.83,7,2,algunas veces,1.5,0,Pc,Estrategia,Amigos,algunas veces,Competición,rara vez,algunas veces,algunas veces,No,No eh jalado ningún curso,Proyectos interdisciplinarios
2/5/2022 23:17:55,Mujer,17,Bioingeniería,II,6,14.45,8,8,rara vez,2,0,Pc,Arcade,Solo(a),algunas veces,Ansiedad,rara vez,algunas veces,algunas veces,No,No eh jalado ningún curso,HACS
2/5/2022 23:20:53,Mujer,19,Ciencias de Datos,II,6,16.09,9,6,algunas veces,1,1,"Consola (PSP , Xbox ,etc)",Disparos,Amigos,rara vez,Relajación,rara vez,rara vez,rara vez,Sí,Ciencias generales,Cursos de carrera
2/5/2022 23:23:36,Mujer,20,Ingeniería Electrónica,III,6,14.56,9,8,algunas veces,4,0,Movil,Estrategia,Amigos,con frecuencia,Competición,algunas veces,algunas veces,rara vez,No,No eh jalado ningún curso,Cursos de gestión
2/5/2022 23:29:15,Mujer,19,Bioingeniería,V,5,15.45,8,3,con frecuencia,4,0,"Consola (PSP , Xbox ,etc)",Otros,Solo(a),algunas veces,Ansiedad,algunas veces,con frecuencia,nunca,Sí,HACS,Cursos de carrera
2/5/2022 23:43:39,Mujer,21,Ingeniería Industrial,IV,6,14.95,10,7,algunas veces,3,1,Tablet,Arcade,Solo(a),rara vez,Ansiedad,algunas veces,algunas veces,algunas veces,No,No eh jalado ningún curso,Ciencias generales
2/5/2022 23:48:36,Mujer,23,Ingeniería Química,VII,6,14.5,7,9,con frecuencia,3,2,Movil,Simuladores,Amigos,siempre,Ocio,rara vez,rara vez,rara vez,Sí,Ciencias generales,Cursos de carrera
2/5/2022 23:51:23,Hombre,21,Ingeniería Química,VII,4,17.56,9,5,con frecuencia,7,1,"Consola (PSP , Xbox ,etc)",Estrategia,Amigos,algunas veces,Ocio,algunas veces,siempre,nunca,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 10:05:59,Hombre,20,Ingeniería Civil,IV,8,14.13,5,2,con frecuencia,10,3,Movil,Otros,Solo(a),con frecuencia,Relajación,rara vez,rara vez,rara vez,Sí,Ciencias generales,Proyectos interdisciplinarios
3/5/2022 10:09:32,Mujer,18,Bioingeniería,I,6,11,6,1,algunas veces,1,1,Pc,Disparos,Amigos,siempre,Amigos,nunca,algunas veces,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:12:33,Mujer,20,Ingeniería Civil,IV,7,15,6,3,rara vez,1,0,Movil,Lucha,Solo(a),algunas veces,Ocio,nunca,nunca,nunca,No,No eh jalado ningún curso,Cursos de gestión
3/5/2022 10:14:36,Mujer,21,Ingeniería Ambiental,V,7,13.13,5,2,con frecuencia,3,0,Pc,Disparos,Amigos,siempre,Ocio,algunas veces,rara vez,algunas veces,Sí,Cursos de carrera,HACS
3/5/2022 10:16:04,Hombre,19,Ingeniería Electrónica,III,6,14.15,4,1,algunas veces,2,2,Pc,Otros,Solo(a),siempre,Relajación,algunas veces,algunas veces,algunas veces,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:17:58,Mujer,23,Ingeniería Química,VI,6,16,6,2,rara vez,1,0,Tablet,Arcade,Solo(a),algunas veces,Ocio,nunca,nunca,nunca,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 10:19:30,Hombre,20,Ingeniería de la Energía,IV,7,14,6,1,algunas veces,2,0,Movil,Otros,Solo(a),con frecuencia,Ocio,rara vez,rara vez,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:20:36,Mujer,21,Ciencias de Datos,IV,7,16,6,3,rara vez,1,0,"Consola (PSP , Xbox ,etc)",Estrategia,Amigos,con frecuencia,Ocio,rara vez,rara vez,nunca,Sí,HACS,Ciencias generales
3/5/2022 10:23:20,Mujer,25,Administración de Negocios Digitales,VI,5,15,5,2,siempre,3,0,"Consola (PSP , Xbox ,etc)",Estrategia,Amigos,siempre,Relajación,rara vez,rara vez,rara vez,Sí,Ciencias generales,Ciencias generales
3/5/2022 10:25:05,Mujer,19,Ingeniería Industrial,II,6,14,4,2,rara vez,1,0,Movil,Estrategia,Solo(a),algunas veces,Ansiedad,rara vez,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:26:09,Hombre,24,Ciencias de Datos,VII,5,13.58,4,1,con frecuencia,2,0,Pc,Otros,Solo(a),con frecuencia,Competición,rara vez,nunca,rara vez,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 10:30:30,Mujer,21,Ingeniería Mecatrónica,V,5,12,5,2,rara vez,1,0,Movil,Arcade,Solo(a),con frecuencia,Ocio,nunca,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:35:19,Hombre,20,Ingeniería Mecánica,V,5,14,5,5,rara vez,1,0,"Consola (PSP , Xbox ,etc)",Deportivos,Solo(a),algunas veces,Ocio,rara vez,nunca,nunca,No,No eh jalado ningún curso,HACS
3/5/2022 10:41:49,Mujer,23,Ciencias de Datos,IV,5,10.56,6,2,algunas veces,1,0,Pc,Lucha,Solo(a),algunas veces,Ocio,nunca,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:47:02,Hombre,19,Ingeniería Industrial,V,5,14.6,4,1,con frecuencia,2,0,Movil,Estrategia,Amigos,algunas veces,Relajación,nunca,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 10:54:30,Mujer,19,Ingeniería Ambiental,V,6,12.03,6,2,rara vez,2,0,Movil,Estrategia,Solo(a),rara vez,Relajación,rara vez,rara vez,rara vez,Sí,Proyectos Interdiciplinarios,Ciencias generales
3/5/2022 10:56:07,Mujer,22,Ingeniería Ambiental,VI,6,11.25,5,2,rara vez,1,0,Pc,Lucha,Solo(a),con frecuencia,Amigos,rara vez,rara vez,rara vez,Sí,Cursos de gestión,Cursos de carrera
3/5/2022 11:01:36,Mujer,19,Ciencias de Datos,V,6,11.26,5,5,rara vez,1,0,Movil,Simuladores,Solo(a),algunas veces,Competición,rara vez,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 11:18:39,Hombre,20,Ingeniería Civil,VI,6,15.68,6,7,rara vez,4,0,Movil,Disparos,Amigos,con frecuencia,Ocio,rara vez,algunas veces,nunca,No,No eh jalado ningún curso,Proyectos interdisciplinarios
3/5/2022 11:30:55,Mujer,18,Ciencias de Datos,III,6,13.46,6,4,con frecuencia,8,1,Pc,Lucha,Solo(a),algunas veces,Relajación,algunas veces,algunas veces,rara vez,Sí,Ciencias generales,Cursos de gestión
3/5/2022 12:01:20,Mujer,19,Ingeniería Ambiental,IV,6,12.65,4,2,rara vez,1,0,Pc,Disparos,Solo(a),rara vez,Ansiedad,rara vez,rara vez,nunca,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 12:05:00,Mujer,17,Ingeniería Ambiental,II,5,16.78,9,3,con frecuencia,8,2,"Consola (PSP , Xbox ,etc)",Estrategia,Solo(a),rara vez,Relajación,con frecuencia,con frecuencia,nunca,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 13:01:29,Mujer,24,Ingeniería de la Energía,IX,6,15.48,8,9,rara vez,1,0,Pc,Estrategia,Solo(a),rara vez,Ocio,rara vez,rara vez,rara vez,Sí,Ciencias generales,Cursos de carrera
3/5/2022 13:03:21,Mujer,23,Ingeniería Civil,VI,6,17.45,6,10,rara vez,2,1,Movil,Estrategia,Solo(a),rara vez,Ansiedad,algunas veces,algunas veces,algunas veces,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 13:10:33,Hombre,20,Administración de Negocios Digitales,IV,4,12.25,5,2,algunas veces,2,0,Movil,Disparos,Solo(a),algunas veces,Ansiedad,algunas veces,rara vez,nunca,No,No eh jalado ningún curso,Cursos de carrera
3/5/2022 13:13:04,Mujer,23,Ingeniería Mecatrónica,VIII,6,16.5,8,6,algunas veces,2,0,Tablet,Estrategia,Solo(a),rara vez,Ocio,rara vez,rara vez,rara vez,No,No eh jalado ningún curso,Ciencias generales
3/5/2022 13:14:22,Hombre,19,Ciencias de la Computación,VI,7,11.69,6,2,algunas veces,2,0,Pc,Disparos,Amigos,algunas veces,Relajación,algunas veces,rara vez,rara vez,No,No eh jalado ningún curso,HACS
