"";"DOMINIO";"T_vivienda";"Número_de_Vivienda";"mat_paredes_ext";"agua_p";"asist_tec";"t_alumbrado";"serv_elect";"procedencia_agua";"emp_pago_agua";"viv_ocup";"num_hab";"acceso_agua";"num_hab_dormir";"precio_alquiler";"precio_gasto_mes_agua";"precio_gasto_mes_elect"
"13";"Lima Metropolitana";"Casa independiente";"048";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;600;544;605
"14";"Lima Metropolitana";"Casa independiente";"073";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;300;363;871
"15";"Lima Metropolitana";"Casa independiente";"086";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;500;605;1088
"16";"Lima Metropolitana";"Casa independiente";"109";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;400;1052;1197
"17";"Lima Metropolitana";"Casa independiente";"121";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;500;919;810
"18";"Lima Metropolitana";"Casa independiente";"014";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;500;484;967
"19";"Lima Metropolitana";"Casa independiente";"043";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;1200;725;1209
"20";"Lima Metropolitana";"Casa independiente";"050";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;1200;302;254
"21";"Lima Metropolitana";"Casa independiente";"067";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;300;484;943
"22";"Lima Metropolitana";"Casa independiente";"027";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;500;629;1028
"23";"Lima Metropolitana";"Casa independiente";"114";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";2;"Si";1;200;423;605
"24";"Lima Metropolitana";"Casa independiente";"018";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";4;"Si";3;480;302;605
"25";"Lima Metropolitana";"Casa independiente";"039";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;400;484;1209
"26";"Lima Metropolitana";"Departamento en edificio";"061";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;640;967;1451
"27";"Lima Metropolitana";"Casa independiente";"104";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;280;423;967
"28";"Lima Metropolitana";"Casa independiente";"213";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;560;786;1693
"29";"Lima Metropolitana";"Casa independiente";"056";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";3;280;484;484
"30";"Lima Metropolitana";"Casa independiente";"078";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";3;560;605;1814
"31";"Lima Metropolitana";"Casa independiente";"232";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, comprándola a plazos";6;"Si";5;1200;725;1209
"32";"Lima Metropolitana";"Casa independiente";"013";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;500;484;725
"33";"Lima Metropolitana";"Casa independiente";"032";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;1000;1137;1209
"34";"Lima Metropolitana";"Casa independiente";"140";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;800;605;1209
"35";"Lima Metropolitana";"Casa independiente";"158";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";3;300;363;290
"36";"Lima Metropolitana";"Casa independiente";"191";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;600;725;967
"37";"Lima Metropolitana";"Departamento en edificio";"014";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;800;629;774
"38";"Lima Metropolitana";"Departamento en edificio";"030";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1000;605;1088
"39";"Lima Metropolitana";"Departamento en edificio";"044";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;1200;544;1959
"40";"Lima Metropolitana";"Departamento en edificio";"076";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;1500;520;1451
"41";"Lima Metropolitana";"Departamento en edificio";"092";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";4;"Si";3;1000;725;967
"42";"Lima Metropolitana";"Departamento en edificio";"109";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;1000;907;1028
"43";"Lima Metropolitana";"Departamento en edificio";"122";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;1200;580;665
"44";"Lima Metropolitana";"Departamento en edificio";"100";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1200;290;1451
"45";"Lima Metropolitana";"Departamento en edificio";"151";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1800;423;1632
"46";"Lima Metropolitana";"Casa independiente";"012";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1000;1511;1632
"47";"Lima Metropolitana";"Departamento en edificio";"030";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;800;544;1814
"48";"Lima Metropolitana";"Departamento en edificio";"047";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1000;907;1330
"49";"Lima Metropolitana";"Departamento en edificio";"081";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";2;1200;302;242
"50";"Lima Metropolitana";"Departamento en edificio";"098";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;800;1052;1632
"51";"Lima Metropolitana";"Departamento en edificio";"114";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;1000;725;786
"52";"Lima Metropolitana";"Departamento en edificio";"162";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;900;967;2056
"53";"Lima Metropolitana";"Casa independiente";"046";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;320;665;1451
"54";"Lima Metropolitana";"Casa independiente";"062";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;320;605;605
"55";"Lima Metropolitana";"Casa independiente";"078";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;720;605;725
"56";"Lima Metropolitana";"Casa independiente";"001";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1200;822;1511
"57";"Lima Metropolitana";"Departamento en edificio";"014";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";4;"Si";3;1000;387;580
"58";"Lima Metropolitana";"Departamento en edificio";"040";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;1200;351;713
"59";"Lima Metropolitana";"Casa independiente";"053";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;2000;725;605
"60";"Lima Metropolitana";"Casa independiente";"080";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";4;1500;242;520
"61";"Lima Metropolitana";"Departamento en edificio";"118";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1000;846;1572
"62";"Lima Metropolitana";"Casa independiente";"043";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";9;"Si";4;1500;363;967
"63";"Lima Metropolitana";"Casa independiente";"084";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;1200;484;1451
"64";"Lima Metropolitana";"Casa independiente";"108";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";3;1000;605;846
"65";"Lima Metropolitana";"Casa independiente";"006";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;500;532;653
"66";"Lima Metropolitana";"Casa independiente";"058";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;500;242;544
"67";"Lima Metropolitana";"Casa independiente";"085";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";2;1000;423;653
"68";"Lima Metropolitana";"Casa independiente";"134";"Adobe";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Pilón de uso público";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;100;121;919
"69";"Lima Metropolitana";"Departamento en edificio";"018";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";1;555;363;1209
"70";"Lima Metropolitana";"Casa independiente";"078";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";2;"Si";1;231;786;1330
"71";"Lima Metropolitana";"Vivienda en casa de vecindad";"094";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, fuera de la vivienda pero dentro del edificio";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";3;"Si";3;555;181;387
"72";"Lima Metropolitana";"Vivienda en casa de vecindad";"114";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, fuera de la vivienda pero dentro del edificio";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";1;"Si";0;370;484;967
"73";"Lima Metropolitana";"Casa independiente";"001";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";4;"Si";3;463;1149;967
"74";"Lima Metropolitana";"Casa independiente";"047";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";4;"Si";3;648;302;605
"75";"Lima Metropolitana";"Casa independiente";"114";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";13;"Si";7;1203;1403;2128
"76";"Lima Metropolitana";"Casa independiente";"138";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;648;1149;907
"77";"Lima Metropolitana";"Casa independiente";"035";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";7;"Si";6;1480;1451;1935
"78";"Lima Metropolitana";"Casa independiente";"125";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;370;484;1088
"79";"Lima Metropolitana";"Departamento en edificio";"007";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";5;"Si";2;463;459;846
"80";"Lima Metropolitana";"Casa independiente";"025";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";4;463;363;1814
"81";"Lima Metropolitana";"Casa independiente";"097";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";2;"Si";1;740;484;605
"82";"Lima Metropolitana";"Casa independiente";"115";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;370;484;1814
"83";"Lima Metropolitana";"Casa independiente";"005";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";1;500;484;725
"84";"Lima Metropolitana";"Casa independiente";"036";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;400;423;302
"85";"Lima Metropolitana";"Casa independiente";"130";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;1000;1511;1088
"86";"Lima Metropolitana";"Departamento en edificio";"005";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;1200;1004;1149
"87";"Lima Metropolitana";"Casa independiente";"019";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";7;"Si";6;2500;1306;1693
"88";"Lima Metropolitana";"Casa independiente";"062";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Otro";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;600;1693;1814
"89";"Lima Metropolitana";"Casa independiente";"005";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, por invasión";4;"Si";2;400;1125;1850
"90";"Lima Metropolitana";"Casa independiente";"037";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, por invasión";4;"Si";2;300;339;423
"91";"Lima Metropolitana";"Casa independiente";"055";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";3;800;605;919
"92";"Lima Metropolitana";"Casa independiente";"087";"Adobe";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, por invasión";3;"Si";2;80;218;145
"93";"Lima Metropolitana";"Casa independiente";"106";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";3;500;605;967
"94";"Lima Metropolitana";"Casa independiente";"139";"Adobe";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, por invasión";4;"Si";2;350;508;726
"95";"Lima Metropolitana";"Casa independiente";"007";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;925;1088;1814
"96";"Lima Metropolitana";"Casa independiente";"086";"Adobe";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, por invasión";4;"Si";3;93;363;302
"97";"Lima Metropolitana";"Casa independiente";"007";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;370;423;1511
"98";"Lima Metropolitana";"Casa independiente";"023";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";4;463;846;907
"99";"Lima Metropolitana";"Casa independiente";"058";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;231;206;363
"100";"Lima Metropolitana";"Casa independiente";"072";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";3;"Si";2;324;544;907
"101";"Lima Metropolitana";"Casa independiente";"086";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";7;"Si";5;925;484;846
"102";"Lima Metropolitana";"Vivienda en casa de vecindad";"104";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso colectivo";"Red pública, fuera de la vivienda pero dentro del edificio";"Empresa prestadora de servicios";"Propia, totalmente pagada";1;"Si";0;185;846;846
"103";"Lima Metropolitana";"Casa independiente";"008";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";7;"Si";5;1500;665;1693
"104";"Lima Metropolitana";"Casa independiente";"065";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";3;2000;484;967
"105";"Lima Metropolitana";"Departamento en edificio";"101";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso colectivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";1;"Si";1;500;302;302
"106";"Lima Metropolitana";"Departamento en edificio";"120";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso colectivo";"Red pública, fuera de la vivienda pero dentro del edificio";"Empresa prestadora de servicios";"Cedida por otro hogar o institución";1;"Si";1;250;302;326
"107";"Lima Metropolitana";"Casa independiente";"154";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";3;2000;665;2418
