"","Edad","Sexo","TotalCurso","PCiencias","CDCiencias","Atencion","Claridad","Reparacion"
"48",19,"Femenino",7,14,"Química General","Baja","Adecuada","Adecuada"
"49",18,"Masculino",7,17,"Laboratorio de Química General","Adecuada","Adecuada","Adecuada"
"50",18,"Femenino",5,13.63,"Introduccion a la Mecanica","Adecuada","Baja","Baja"
"51",17,"Masculino",6,16.33,"Introduccion a la Mecanica","Baja","Baja","Adecuada"
"52",20,"Femenino",7,14,"Programación I","Baja","Adecuada","Adecuada"
"53",20,"Masculino",6,17,"Cálculo Vectorial","Adecuada","Excelente","Adecuada"
"54",19,"Masculino",6,13,"Cálculo Vectorial","Baja","Baja","Baja"
"55",18,"Femenino",6,15.64,"Introduccion a la Mecanica","Adecuada","Adecuada","Baja"
"56",18,"Femenino",6,15,"Cálculo de una Variable","Baja","Baja","Baja"
"57",20,"Femenino",5,14,"Cálculo Vectorial","Adecuada","Adecuada","Adecuada"
"58",20,"Femenino",5,12,"Ciencia de los Materiales","Baja","Adecuada","Adecuada"
"59",20,"Masculino",6,12.1,"Introduccion a la Mecanica","Demasiada","Excelente","Adecuada"
"60",18,"Masculino",6,15,"Programación I","Adecuada","Adecuada","Excelente"
"61",20,"Femenino",5,11,"Cálculo Vectorial","Adecuada","Adecuada","Adecuada"
"62",21,"Masculino",5,13,"Laboratorio de Química General","Adecuada","Adecuada","Adecuada"
"63",17,"Femenino",7,13,"Cálculo de una Variable","Baja","Adecuada","Adecuada"
"64",18,"Femenino",5,14,"Cálculo de una Variable","Baja","Adecuada","Baja"
"65",19,"Femenino",6,15,"Ecuaciones Diferenciales","Adecuada","Adecuada","Adecuada"
"66",20,"Masculino",6,14,"Cálculo de una Variable","Baja","Adecuada","Adecuada"
"67",18,"Masculino",6,15,"Cálculo de una Variable","Baja","Adecuada","Adecuada"
"68",21,"Masculino",4,13,"Arquitectura de computadoras","Adecuada","Baja","Adecuada"
"69",17,"Femenino",7,11,"Cálculo de una Variable","Baja","Baja","Adecuada"
"70",17,"Masculino",8,15,"Química General","Baja","Excelente","Excelente"
"71",18,"Masculino",5,15,"Óptica y Ondas","Baja","Baja","Adecuada"
"72",23,"Masculino",4,10,"Química General","Adecuada","Adecuada","Adecuada"
"73",19,"Masculino",6,14,"Óptica y Ondas","Baja","Baja","Baja"
"74",20,"Femenino",7,15,"Introduccion a la Mecanica","Baja","Baja","Adecuada"
"75",17,"Masculino",6,18,"Química General","Demasiada","Excelente","Excelente"
"76",19,"Masculino",6,16,"Programacion II","Baja","Baja","Excelente"
"77",18,"Femenino",7,15,"Introduccion a la Mecanica","Baja","Baja","Baja"
"78",18,"Masculino",8,15,"Programación I","Baja","Baja","Baja"
"79",18,"Femenino",7,18,"Química General","Baja","Adecuada","Baja"
"80",19,"Masculino",5,13,"Introduccion a la Mecanica","Baja","Baja","Adecuada"
"81",20,"Femenino",6,14,"Introduccion a la Mecanica","Baja","Adecuada","Adecuada"
"82",23,"Femenino",5,14,"Programación I","Demasiada","Excelente","Baja"
"83",20,"Masculino",6,14,"Programacion II","Baja","Adecuada","Adecuada"
"84",20,"Masculino",6,18.5,"Introduccion a la Mecanica","Adecuada","Adecuada","Excelente"
"85",20,"Masculino",5,16,"Ecuaciones Diferenciales","Adecuada","Adecuada","Adecuada"
"86",20,"Masculino",5,14,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"87",22,"Masculino",6,17,"Introduccion a la Mecanica","Adecuada","Adecuada","Excelente"
"88",19,"Femenino",5,15,"Introduccion a la Mecanica","Baja","Baja","Baja"
"89",18,"Masculino",4,14,"Óptica y Ondas","Adecuada","Baja","Adecuada"
"90",18,"Masculino",6,14,"Programacion II","Baja","Baja","Baja"
"91",20,"Femenino",4,13,"Programacion II","Baja","Excelente","Excelente"
"92",20,"Masculino",6,16.67,"Programacion II","Baja","Baja","Baja"
"93",19,"Masculino",7,12,"Introduccion a la Mecanica","Adecuada","Baja","Baja"
"94",19,"Femenino",5,13,"Introduccion a la Mecanica","Baja","Baja","Adecuada"
"95",19,"Femenino",5,13,"Programacion II","Adecuada","Adecuada","Excelente"
"96",20,"Femenino",6,12,"Cálculo de una Variable","Baja","Adecuada","Excelente"
"97",18,"Masculino",7,12.7,"Óptica y Ondas","Adecuada","Adecuada","Adecuada"
"98",19,"Femenino",7,15,"Introduccion a la Mecanica","Adecuada","Baja","Adecuada"
"99",20,"Masculino",6,17.4,"Óptica y Ondas","Baja","Baja","Adecuada"
"100",20,"Femenino",6,14.8,"Ecuaciones Diferenciales","Adecuada","Adecuada","Adecuada"
"101",19,"Femenino",6,16,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"102",19,"Femenino",7,14,"Introduccion a la Mecanica","Baja","Adecuada","Adecuada"
"103",23,"Masculino",6,16,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"104",20,"Femenino",6,13.67,"Introduccion a la Mecanica","Baja","Adecuada","Adecuada"
"105",22,"Masculino",7,15,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"106",20,"Femenino",7,14,"Programación I","Demasiada","Adecuada","Excelente"
"107",19,"Masculino",6,13.32,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"108",20,"Masculino",6,14,"Fundamentos de Electricidad y Magnetismo","Adecuada","Adecuada","Adecuada"
"109",20,"Femenino",5,14,"Introduccion a la Mecanica","Baja","Baja","Baja"
"110",21,"Femenino",6,14,"Programacion II","Baja","Baja","Adecuada"
"111",20,"Femenino",6,11,"Ecuaciones Diferenciales","Demasiada","Excelente","Baja"
"112",18,"Femenino",5,14,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"113",19,"Femenino",6,17,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"114",19,"Masculino",5,12,"Métodos Numéricos","Baja","Baja","Adecuada"
"115",19,"Masculino",4,12,"Cálculo de una Variable","Adecuada","Baja","Adecuada"
"116",19,"Masculino",6,11,"Programacion II","Demasiada","Baja","Excelente"
"117",21,"Femenino",5,11,"Ninguno","Baja","Excelente","Baja"
"118",18,"Femenino",7,13,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"119",20,"Masculino",7,17.5,"Química General","Adecuada","Adecuada","Adecuada"
"120",18,"Femenino",6,15,"Cálculo Vectorial","Adecuada","Baja","Baja"
"121",20,"Femenino",4,12,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"122",20,"Masculino",5,15,"Óptica y Ondas","Baja","Baja","Baja"
"123",21,"Femenino",7,14,"Fundamentos de Electricidad y Magnetismo","Adecuada","Excelente","Excelente"
"124",18,"Femenino",6,15,"Introduccion a la Mecanica","Baja","Baja","Baja"
"125",20,"Masculino",7,13,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"126",19,"Femenino",7,11,"Programación I","Adecuada","Adecuada","Adecuada"
"127",19,"Femenino",6,14.9,"Termodinámica","Baja","Baja","Baja"
"128",18,"Femenino",6,16.5,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"129",20,"Masculino",6,15.3,"Cálculo de una Variable","Baja","Baja","Baja"
"130",21,"Femenino",4,11,"Cálculo Vectorial","Baja","Baja","Baja"
"131",19,"Femenino",4,14,"Fundamentos de Electricidad y Magnetismo","Adecuada","Adecuada","Adecuada"
"132",18,"Femenino",6,14.5,"Óptica y Ondas","Baja","Excelente","Excelente"
"133",18,"Masculino",5,18,"Programación I","Demasiada","Adecuada","Adecuada"
"134",18,"Femenino",7,15.5,"Introduccion a la Mecanica","Baja","Adecuada","Baja"
"135",19,"Femenino",7,14,"Programacion II","Adecuada","Excelente","Adecuada"
"136",23,"Masculino",4,13.8,"teoria de la computacion","Baja","Baja","Baja"
"137",18,"Femenino",5,14,"Cálculo de una Variable","Baja","Baja","Adecuada"
"138",18,"Masculino",4,12,"Cálculo de una Variable","Demasiada","Excelente","Excelente"
"139",18,"Masculino",6,13,"Programacion II","Baja","Baja","Baja"
"140",18,"Masculino",6,15,"Programacion II","Baja","Baja","Baja"
"141",18,"Femenino",7,14,"Programación I","Baja","Adecuada","Adecuada"
"142",18,"Masculino",6,18,"Programación I","Demasiada","Excelente","Excelente"
"143",20,"Masculino",6,18,"Ninguno en particular","Adecuada","Baja","Baja"
"144",20,"Masculino",6,15,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"145",19,"Masculino",4,15,"Óptica y Ondas","Baja","Baja","Baja"
"146",18,"Masculino",6,7,"Química General","Baja","Baja","Baja"
"147",19,"Femenino",5,13.12,"Programacion II","Adecuada","Adecuada","Adecuada"
"148",21,"Masculino",4,14,"Química General","Demasiada","Excelente","Excelente"
"149",17,"Femenino",7,16,"Cálculo de una Variable","Demasiada","Baja","Baja"
"150",20,"Masculino",6,15,"Programacion II","Adecuada","Baja","Adecuada"
