Puntuacion,Colegio,Disponibilidad de recursos tecnologicos no materiales ,Disponibilidad de recursos tecnologicos materiales,Ingresos familiares por mes (soles),"Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines academicos","Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines de entretenimiento",Edad aprende a usar Internet,Grado ,Red social mas usada,Acceso a internet,Frecuencia de spam,Uso de addblock ,Numero de aplicaciones descargadas al mes,Sexo,Edad,Horas en internet (total),Número de recursos materiales,Número de recursos no materiales,Dispositivos con acceso a internet,Nivel de conectividad,Promedio escolar de ultimo trimestre,"Numero total de contenido multimedia visto, usado o descargado por dia. ",Interés en la ciberseguridad (%)
4,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Tablet, Router",900,7,5,10,3,Facebook,Sí,50,No,6,M,15,12,3,3,2,39,13.5,8,47
7,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Módem",2300,8,8,7,3,Whattsapp,Sí,25,Si,12,M,15,16,4,4,6,105,14.6,8,79
10,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Tablet, Router",2800,8,3,7,3,WhatsApp,Sí,0,Si,5,M,15,11,5,4,7,127,16.7,4,65
5,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Laptop, Tablet",1100,5,5,9,3,Facebook,No,25,No,8,M,15,10,4,4,3,52,14.8,6,48
8,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Tablet",2650,6,7,5,3,WhatsApp,Sí,0,Si,7,M,15,13,3,4,7,126,15.7,10,49
9,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal",2100,5,5,11,3,Twitter ,Sí,0,No,5,F,15,10,3,4,5,100,16.3,6,50
0,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",700,5,3,11,3,Facebook,No,0,No,2,m,15,8,2,5,2,33,10.8,4,75
5,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",1300,5,5,8,4,Facebook,No,0,No,3,f,16,10,2,4,3,59,12.9,8,83
8,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",1300,5,5,8,3,Facebook,Sí,25,No,5,f,15,10,2,4,3,57,15.4,7,19
7,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Computadora personal, Módem",1650,8,5,10,4,WhatsApp,Sí,25,No,4,f,16,13,3,4,4,75,15.3,9,68
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Computadora personal, Router",1900,7,2,9,4,Facebook,Sí,50,No,5,m,16,9,3,5,5,91,17.2,7,53
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",1600,4,6,7,4,Facebook,Sí,75,Si,6,f,16,10,2,4,4,70,17.4,7,37
1,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Módem",600,5,2,11,5,Facebook,No,25,No,2,m,17,7,3,3,2,27,10.6,5,86
3,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Módem",930,6,4,9,5,Facebook,Sí,0,No,2,m,17,10,3,4,2,42,12.1,3,70
10,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Laptop, Router",1800,7,4,9,4,WhatsApp,Sí,25,Si,8,m,16,11,4,5,5,78,15.8,9,69
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Computadora personal, Tablet, Router",3000,6,5,9,5,Facebook,Sí,25,Si,11,B,17,11,4,5,8,143,17.0,3,39
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Tablet, Router",3000,5,7,7,4,Facebook,Sí,25,Si,11,f,16,12,5,5,8,143,16.5,6,53
4,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Módem",1100,8,3,8,4,WhatsApp,Sí,75,No,3,f,16,11,3,3,3,50,13.3,8,18
4,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",900,5,8,9,4,Facebook,Sí,25,No,0,f,16,13,2,4,2,43,12.8,7,82
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Router",2300,7,5,7,5,Facebook,Sí,50,No,8,f,17,12,4,4,6,110,16.6,5,90
2,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Router",2700,5,7,6,5,WhatsApp,Sí,25,No,5,F,17,12,4,3,7,129,11.2,6,86
2,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Tablet",2000,5,7,7,4,Facebook,Sí,25,No,5,F,16,12,4,4,5,91,12.5,4,49
3,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Laptop, Módem",1350,5,8,9,5,Facebook,Sí,75,No,14,M,17,13,4,5,3,64,12.6,10,36
3,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Tablet, Router",3300,6,8,7,3,WhatsApp,Sí,50,No,7,F,15,14,5,4,8,157,10.8,10,32
4,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Módem",700,5,7,10,5,WhatsApp,Sí,25,No,3,M,17,12,3,4,2,32,14.3,4,70
9,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Tablet",2000,7,2,9,5,Facebook,Sí,25,No,6,m,17,9,3,4,5,87,17.1,5,90
3,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal, Router",1400,5,7,7,5,Facebook,Sí,25,Si,8,f,17,12,3,4,4,67,12.5,10,53
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal, Router",850,5,8,9,4,Facebook,Sí,25,No,4,m,16,13,3,3,2,39,11.6,9,81
0,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Tablet, Router",3000,5,8,9,4,WhatsApp,Sí,25,No,4,m,16,13,4,5,8,143,11.0,4,16
10,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal, Router",900,4,2,9,3,Facebook,Sí,0,Si,4,f,15,6,3,3,2,39,16.7,4,20
10,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Tablet, Router, Módem",3100,7,3,6,5,WhatsApp,Sí,0,Si,5,m,17,10,6,5,8,135,16.3,7,22
9,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",2810,7,3,6,4,WhatsApp,Sí,0,Si,3,f,16,10,4,5,7,128,17.2,8,69
10,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Laptop, Tablet, Router",1050,7,4,11,4,Facebook,Sí,0,Si,3,m,16,11,3,3,3,46,17.0,7,69
9,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Laptop, Tablet",2300,6,6,8,3,Facebook,Sí,25,No,13,F,13,12,4,4,6,110,17.3,8,57
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1230,5,6,9,3,Whatsapp,Sí,25,No,2,F,14,11,2,3,3,56,12.5,6,16
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Laptop",980,5,8,8,3,Facebook,No,25,No,0,F,14,13,3,3,2,47,11.6,8,15
8,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",2780,5,8,7,3,Twitter,Sí,50,No,9,M,15,13,4,4,7,132,16.8,4,64
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Computadora personal, Router",1700,5,9,8,3,Facebook,Sí,25,No,5,M,14,14,4,4,4,81,12.0,8,71
3,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",3000,6,9,6,3,Facebook,Sí,25,No,13,M,13,15,4,4,8,143,12.1,5,54
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1210,5,3,10,3,Whatsapp,Sí,25,No,2,M,13,8,2,3,3,55,10.6,6,66
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1300,5,7,9,3,Whatsapp,No,0,No,2,F,14,12,2,3,3,57,10.6,5,43
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,920,5,6,8,3,Facebook,No,25,No,3,M,14,11,1,3,2,44,11.4,4,57
3,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,560,5,7,11,3,Whatsapp,No,0,No,3,M,15,12,1,3,1,26,12.9,7,17
9,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Módem",2500,6,6,8,3,Facebook,Sí,0,Si,4,M,14,12,4,5,6,119,17.4,4,19
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2160,5,7,7,3,Facebook,Sí,0,Si,4,F,15,12,1,3,5,94,12.3,6,62
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,450,5,7,8,3,Facebook,Sí,0,No,5,F,13,12,1,3,1,21,12.8,5,54
2,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Computadora personal",850,4,8,7,3,Facebook,No,0,No,3,M,14,12,2,4,2,37,12.2,10,71
3,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",1400,5,7,9,3,Facebook,Sí,25,No,3,M,15,12,2,4,4,67,11.6,5,32
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",2100,5,5,8,3,Facebook,Sí,25,No,4,F,14,10,2,3,5,100,13.5,5,73
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Laptop, Router",1650,5,6,8,3,Facebook,Sí,50,No,5,F,14,11,3,3,4,75,13.4,6,17
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",700,5,5,7,3,WhatsApp,No,0,No,1,F,14,10,2,3,2,32,13.6,5,17
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Laptop,720,5,6,8,3,WhatsApp,No,25,No,3,F,14,11,1,3,2,34,12.3,8,45
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",1300,5,5,8,3,WhatsApp,No,0,No,3,F,15,10,2,4,3,59,15.0,4,18
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Módem",1600,5,7,7,5,Facebook,Sí,25,No,3,M,14,12,3,4,4,76,12.7,7,44
8,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,900,6,4,8,4,WhatsApp,No,0,No,1,F,14,10,1,3,2,43,14.8,5,46
5,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",900,5,6,8,3,WhatsApp,No,0,No,3,M,14,11,2,4,2,39,13.6,8,45
6,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",900,6,6,8,3,WhatsApp,Sí,0,No,3,F,14,12,2,3,2,43,15.3,5,17
10,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",3100,5,3,8,3,Facebook,Sí,50,No,5,F,15,8,2,5,8,148,17.8,6,65
8,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Laptop, Computadora personal",2000,6,4,8,4,Facebook,Sí,25,No,5,F,16,10,2,4,5,87,15.1,7,84
3,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",1200,5,7,7,4,WhatsApp,No,25,No,6,M,15,12,2,4,3,55,12.1,6,47
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",920,4,7,9,4,WhatsApp,No,0,No,3,F,15,11,2,3,2,40,13.2,6,62
4,I.E. N° 56207 Ricardo Palma Soriano Espinar,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",1250,5,7,9,4,WhatsApp,Sí,0,No,2,F,15,12,2,3,3,57,13.1,4,47
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Laptop",3000,7,3,6,3,WhatsApp,Sí,25,No,2,m,14,10,3,3,8,130,11.9,7,72
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Router",1210,7,3,6,3,WhatsApp ,Sí,75,No,2,f,14,10,4,3,3,58,11.3,7,29
8,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Computadora personal, Router",1300,7,4,11,3,"WhatsApp, facebook",Sí,0,Si,10,m,14,11,4,4,3,57,16.6,9,18
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",920,6,6,8,3,Facebook ,Sí,50,Si,10,F,14,12,4,4,2,40,12.4,7,43
3,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente",560,5,6,9,3,WhatsApp,Sí,50,Si,2,F,14,11,2,4,1,26,11.1,8,16
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",2500,5,8,8,3,WhatsApp,Sí,0,No,2,F,15,13,2,3,6,114,12.4,10,61
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2160,5,8,7,3,Facebook,Sí,50,Si,2,M,15,13,1,3,5,98,10.6,10,76
8,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,450,5,9,8,3,Facebook,Sí,75,No,1,F,15,14,1,3,1,20,14.5,6,79
5,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Módem",850,6,9,6,4,Facebook,Sí,50,No,7,M,15,15,4,3,2,39,12.8,6,18
6,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online",Teléfono Inteligente,1400,5,3,10,3,"Facebook, Whatsapp",Sí,75,Si,2,M,16,8,1,5,4,61,14.0,2,67
10,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,2100,5,7,9,4,Facebook,Sí,50,No,6,M,16,12,1,3,5,96,17.7,4,69
8,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",1650,5,6,8,4,Whattsapp,Sí,25,Si,12,M,16,11,2,3,4,75,16.7,4,20
5,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",700,5,7,11,4,WhatsApp,Sí,0,Si,5,M,17,12,2,4,2,33,12.7,6,37
3,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",720,6,6,8,5,Facebook,No,25,No,8,M,17,12,2,4,2,31,11.8,10,36
6,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Laptop, Router",1300,5,7,7,5,WhatsApp,Sí,0,Si,7,M,17,12,3,3,3,59,14.4,10,71
10,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",1600,5,7,8,4,Twitter ,Sí,0,No,5,F,16,12,2,3,4,73,15.4,10,21
5,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",900,4,8,7,5,Facebook,No,0,No,2,m,16,12,2,3,2,43,14.6,8,67
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",900,7,4,11,4,Facebook,No,0,No,3,f,16,11,2,3,2,43,13.4,3,34
4,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Laptop, Computadora personal",1600,6,6,8,4,Facebook,Sí,25,No,5,f,16,12,2,4,4,70,12.4,6,18
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",900,5,6,9,4,WhatsApp,Sí,25,No,4,f,16,11,2,4,2,41,11.1,9,33
8,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente",900,5,8,8,5,Facebook,Sí,50,No,5,m,16,13,2,3,2,41,16.5,8,68
7,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",900,5,8,7,5,Facebook,Sí,75,Si,6,f,17,13,2,4,2,39,15.8,5,72
2,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Laptop",3100,5,9,8,4,Facebook,No,25,No,2,m,17,14,3,3,8,135,10.5,10,86
6,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop, Computadora personal, Router",2000,6,9,6,5,Facebook,Sí,0,No,2,m,17,15,4,5,5,95,14.8,5,88
5,I.E. N° 56175 Sagrado Corazón De Jesús,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono básico, Teléfono Inteligente, Computadora personal, Router",1200,5,3,10,3,WhatsApp,Sí,25,Si,8,m,14,8,4,4,3,52,14.0,2,45
6,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint",Teléfono Inteligente,920,5,7,9,5,Facebook,Sí,25,Si,11,B,16,12,1,3,2,40,13.0,5,83
1,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Computadora personal",1250,5,6,8,5,Facebook,Sí,25,Si,11,f,17,11,2,3,3,57,9.4,4,18
10,I.E. N° 56175 Sagrado Corazón De Jesús,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",3000,5,7,11,5,WhatsApp,Sí,75,No,3,f,17,12,2,3,8,136,15.8,6,56
