Marca temporal,Sexo,Edad,Ventaja,FrecuenciaAP,ProductoAP,DispositivoAP,CantidadAP,GastoAP,CantidadMesAP,GastoMesAP,MetodoPagaAP,MomentoDiaAP,EscalaAP,FrecuenciaAC,ProductoAC,DispositivoAC,CantidadAC,GastoAC,CantidadMesAC,GastoMesAC,MetodoPagaAC,MomentoDiaAC,EscalaAc
16/07/2021 6:19:45,Masculino,19,Comodidad,Regularmente,Comida,Smartphone / tablet,5,50,12,100,Efectivo,Noche,10,Poco frecuente,Comida,Smartphone / Tablet,3,50,5,50,Efectivo,Noche,10
16/07/2021 6:29:41,Masculino,18,Comodidad,Poco frecuente,Otros,Computadora / laptop,2,30,2,30,Tarjeta,Tarde,10,Regularmente,Otro,PC / Laptop,2,30,2,30,Tarjeta,Tarde,10
16/07/2021 7:53:57,Masculino,16,Mejores precios,Poco frecuente,Comida,Smartphone / tablet,6,120,30,500,Tarjeta,Tarde,8,Regularmente,Comida,PC / Laptop,7,115,16,800,Tarjeta,Tarde,9
16/07/2021 7:58:17,Masculino,18,Mejores precios,Poco frecuente,Electrónicos,Computadora / laptop,2,100,1,100,Tarjeta,Noche,7,Poco frecuente,Electrónicos,PC / Laptop,1,100,1,100,Tarjeta,Noche,7
16/07/2021 8:16:21,Femenino,17,Ofertas,Poco frecuente,Comida,Smartphone / tablet,6,20,24,80,Tarjeta,Tarde,4,Muy frecuente,Comida,Smartphone / Tablet,6,40,30,100,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 8:21:36,Masculino,20,Seguridad,Poco frecuente,Electrónicos,Computadora / laptop,2,50,2,50,Tarjeta,Noche,7,Regularmente,Electrónicos,PC / Laptop,2,200,2,200,Tarjeta,Noche,9
16/07/2021 8:34:08,Masculino,18,Comodidad,Regularmente,Electrónicos,Computadora / laptop,3,30,9,60,Efectivo,Tarde,9,Regularmente,Comida,Smartphone / Tablet,2,30,4,50,Efectivo,Tarde,7
16/07/2021 8:43:19,Femenino,21,Comodidad,Poco frecuente,Comida,Smartphone / tablet,4,50,4,50,Tarjeta,Tarde,7,Regularmente,Ropa,Smartphone / Tablet,3,100,6,150,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 8:44:13,Masculino,16,Mejores precios,Poco frecuente,Electrónicos,Computadora / laptop,1,2500,0,0,Tarjeta,Noche,8,Poco frecuente,Electrónicos,PC / Laptop,1,250,2,300,Tarjeta,Noche,8
16/07/2021 9:04:55,Femenino,18,Comodidad,Poco frecuente,Comida,Smartphone / tablet,5,50,20,150,Tarjeta,Tarde,8,Muy frecuente,Comida,Smartphone / Tablet,4,30,35,250,Tarjeta,Noche,9
16/07/2021 9:13:44,Masculino,17,Rapidez,Regularmente,Comida,Smartphone / tablet,4,40,8,30,Efectivo,Tarde,8,Regularmente,Comida,Smartphone / Tablet,3,40,4,120,Efectivo,Tarde,8
16/07/2021 9:16:11,Femenino,19,Comodidad,Poco frecuente,Comida,Smartphone / tablet,2,30,10,200,Tarjeta,Noche,10,Muy frecuente,Ropa,Smartphone / Tablet,2,100,3,150,Tarjeta,Noche,10
16/07/2021 9:21:35,Masculino,21,Comodidad,Poco frecuente,Comida,Smartphone / tablet,1,50,2,100,Tarjeta,Noche,7,Poco frecuente,Comida,Smartphone / Tablet,1,50,2,100,Tarjeta,Noche,7
16/07/2021 9:22:58,Femenino,21,Mejores precios,Poco frecuente,Comida,Computadora / laptop,3,30,3,30,Tarjeta,Tarde,8,Poco frecuente,Ropa,PC / Laptop,1,50,1,50,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 9:31:39,Masculino,21,Comodidad,Poco frecuente,Electrónicos,Computadora / laptop,3,250,5,350,Tarjeta,Tarde,7,Muy frecuente,Comida,Smartphone / Tablet,4,150,6,250,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 9:43:45,Masculino,18,Mejores precios,Poco frecuente,Electrónicos,Smartphone / tablet,6,100,1,14,Tarjeta,Noche,7,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,4
16/07/2021 9:48:48,Masculino,20,Mejores precios,Regularmente,Otros,Smartphone / tablet,4,20,5,50,Tarjeta,Tarde,9,Siempre,Electrónicos,Smartphone / Tablet,5,30,4,30,Tarjeta,Noche,9
16/07/2021 9:54:47,Masculino,16,Comodidad,Poco frecuente,Comida,Smartphone / tablet,4,40,8,160,Efectivo,Tarde,9,Regularmente,Comida,Smartphone / Tablet,4,40,14,230,Efectivo,Tarde,9
16/07/2021 9:54:52,Masculino,18,Comodidad,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,4,Regularmente,Comida,Smartphone / Tablet,6,100,6,90,Tarjeta,Mañana,10
16/07/2021 10:02:29,Masculino,19,Comodidad,Poco frecuente,Electrónicos,Smartphone / tablet,3,50,3,50,Tarjeta,Tarde,7,Regularmente,Comida,Smartphone / Tablet,3,25,3,50,Tarjeta,Noche,9
16/07/2021 10:08:22,Femenino,20,Comodidad,Poco frecuente,Comida,Computadora / laptop,3,45,4,100,Efectivo,Tarde,8,Regularmente,Comida,PC / Laptop,2,50,6,150,Tarjeta,Tarde,9
16/07/2021 10:11:18,Masculino,17,Mejores precios,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,6,Regularmente,Electrónicos,Smartphone / Tablet,1,10,1,10,Otro,Tarde,9
16/07/2021 10:18:26,Masculino,18,Rapidez,Poco frecuente,Comida,Computadora / laptop,3,20,6,48,Efectivo,Noche,4,Regularmente,Comida,PC / Laptop,6,40,15,100,Efectivo,Noche,7
16/07/2021 10:28:25,Femenino,19,Mejores precios,Poco frecuente,Comida,Smartphone / tablet,3,100,1,100,Aplicación bancaria (Ejemplo: Yape),Tarde,6,Regularmente,Comida,PC / Laptop,3,100,3,100,Aplicación bancaria (Ejemplo: Yape),Noche,7
16/07/2021 10:38:04,Masculino,17,Ofertas,Regularmente,Electrónicos,Computadora / laptop,3,35,6,150,Tarjeta,Noche,10,Regularmente,Electrónicos,PC / Laptop,2,30,2,100,Tarjeta,Noche,10
16/07/2021 10:39:01,Masculino,18,Comodidad,Regularmente,Electrónicos,Smartphone / tablet,4,30,4,30,Efectivo,Tarde,7,Regularmente,Comida,Smartphone / Tablet,6,40,6,40,Tarjeta,Tarde,9
16/07/2021 10:39:09,Masculino,18,Ofertas,Regularmente,Otros,Computadora / laptop,2,100,5,300,Tarjeta,Tarde,9,Regularmente,Otro,PC / Laptop,5,200,6,500,Tarjeta,Tarde,10
16/07/2021 10:43:19,Masculino,18,Rapidez,Regularmente,Electrónicos,Computadora / laptop,2,35,4,70,Tarjeta,Tarde,7,Poco frecuente,Electrónicos,PC / Laptop,2,25,2,25,Tarjeta,Noche,6
16/07/2021 10:47:04,Femenino,19,Ofertas,Regularmente,Ropa,Smartphone / tablet,5,150,10,320,Tarjeta,Noche,8,Regularmente,Ropa,Smartphone / Tablet,11,120,11,120,Tarjeta,Noche,9
16/07/2021 10:47:04,Femenino,17,Rapidez,Regularmente,Comida,Computadora / laptop,3,200,8,250,Efectivo,Noche,8,Poco frecuente,Comida,PC / Laptop,2,100,4,150,Efectivo,Noche,5
16/07/2021 11:04:52,Masculino,18,Rapidez,Nunca,Ninguno,Computadora / laptop,0,0,0,0,No compro online,No compro online,2,Poco frecuente,Otro,PC / Laptop,2,40,5,150,Efectivo,Tarde,6
16/07/2021 11:22:40,Masculino,29,Comodidad,Poco frecuente,Ropa,Smartphone / tablet,4,50,4,200,Tarjeta,Noche,10,Regularmente,Otro,PC / Laptop,3,15,4,450,Efectivo,Tarde,10
16/07/2021 11:40:54,Masculino,17,Mejores precios,Poco frecuente,Electrónicos,Computadora / laptop,2,70,2,70,Tarjeta,Tarde,9,Poco frecuente,Comida,PC / Laptop,1,50,2,80,Tarjeta,Tarde,7
16/07/2021 11:48:44,Masculino,18,Seguridad,Poco frecuente,Comida,Computadora / laptop,1,70,1,70,Efectivo,Noche,4,Poco frecuente,Comida,Smartphone / Tablet,1,70,1,70,Efectivo,Noche,4
16/07/2021 11:54:21,Femenino,18,Comodidad,Poco frecuente,Comida,Smartphone / tablet,5,100,5,150,Efectivo,Tarde,6,Regularmente,Otro,PC / Laptop,2,200,4,500,Tarjeta,Tarde,8
16/07/2021 12:21:02,Femenino,19,Comodidad,Poco frecuente,Otros,Computadora / laptop,5,100,5,100,Tarjeta,Noche,3,Regularmente,Comida,PC / Laptop,30,250,30,250,Tarjeta,Noche,8
16/07/2021 12:42:50,Masculino,17,Rapidez,Poco frecuente,Comida,Computadora / laptop,4,55,2,120,Efectivo,Mañana,7,Muy frecuente,Comida,PC / Laptop,3,55,4,200,Tarjeta,Mañana,8
16/07/2021 12:43:44,Femenino,18,Comodidad,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,1,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,10
16/07/2021 13:13:30,Masculino,20,Rapidez,Poco frecuente,Electrónicos,Computadora / laptop,4,100,2,100,Tarjeta,Tarde,5,Regularmente,Comida,Smartphone / Tablet,4,50,3,50,Tarjeta,Tarde,8
16/07/2021 13:34:45,Masculino,17,Ofertas,Poco frecuente,Electrónicos,Smartphone / tablet,5,600,6,700,Tarjeta,Tarde,9,Regularmente,Electrónicos,Smartphone / Tablet,5,70,8,500,Tarjeta,Tarde,10
16/07/2021 13:39:50,Femenino,18,Mejores precios,Poco frecuente,Ropa,Computadora / laptop,4,300,2,600,Tarjeta,Tarde,5,Regularmente,Ropa,PC / Laptop,2,300,5,200,Tarjeta,Tarde,7
16/07/2021 13:39:53,Femenino,18,Comodidad,Regularmente,Comida,Smartphone / tablet,3,70,10,300,Tarjeta,Tarde,10,Muy frecuente,Otro,Smartphone / Tablet,3,70,15,400,Tarjeta,Noche,10
16/07/2021 13:55:45,Masculino,21,Comodidad,Poco frecuente,Comida,Smartphone / tablet,3,35,6,70,Tarjeta,Tarde,5,Regularmente,Comida,Smartphone / Tablet,3,40,9,120,Tarjeta,Tarde,5
16/07/2021 14:10:58,Masculino,18,Comodidad,Regularmente,Electrónicos,Smartphone / tablet,1,50,2,50,Tarjeta,Tarde,7,Poco frecuente,Electrónicos,Smartphone / Tablet,1,20,1,20,Aplicación bancaria (Ejemplo: Yape),Tarde,8
16/07/2021 14:16:28,Masculino,18,Ofertas,Poco frecuente,Comida,Computadora / laptop,4,60,5,300,Tarjeta,Noche,6,Regularmente,Comida,PC / Laptop,4,65,10,600,Tarjeta,Noche,7
16/07/2021 14:20:43,Masculino,19,Ofertas,Regularmente,Otros,Computadora / laptop,3,60,2,100,Tarjeta,Mañana,8,Poco frecuente,Otro,PC / Laptop,3,50,3,150,Tarjeta,Tarde,7
16/07/2021 14:21:45,Masculino,20,Rapidez,Poco frecuente,Comida,Smartphone / tablet,1,15,2,30,Efectivo,Noche,8,Poco frecuente,Comida,Smartphone / Tablet,1,15,2,30,Efectivo,Noche,9
16/07/2021 14:27:57,Masculino,20,Comodidad,Regularmente,Comida,Smartphone / tablet,4,60,30,120,Tarjeta,Tarde,9,Regularmente,Comida,Smartphone / Tablet,4,60,32,130,Tarjeta,Tarde,10
16/07/2021 14:54:12,Femenino,17,Comodidad,Poco frecuente,Comida,Smartphone / tablet,4,60,4,60,Tarjeta,Noche,5,Regularmente,Comida,Smartphone / Tablet,3,25,4,50,Tarjeta,Tarde,9
16/07/2021 15:00:06,Femenino,18,Mejores precios,Poco frecuente,Ropa,Smartphone / tablet,1,55,2,100,Tarjeta,Tarde,10,Muy frecuente,Ropa,PC / Laptop,3,120,2,200,Tarjeta,Tarde,10
16/07/2021 15:00:13,Masculino,18,Rapidez,Poco frecuente,Comida,Smartphone / tablet,4,50,3,25,Tarjeta,Tarde,10,Muy frecuente,Comida,Smartphone / Tablet,4,60,5,35,Tarjeta,Tarde,10
16/07/2021 15:13:33,Masculino,20,Mejores precios,Regularmente,Otros,Smartphone / tablet,4,20,5,50,Tarjeta,Tarde,9,Siempre,Electrónicos,Smartphone / Tablet,5,30,4,30,Tarjeta,Noche,9
16/07/2021 16:02:51,Femenino,23,Ofertas,Poco frecuente,Ropa,Computadora / laptop,3,50,5,120,Tarjeta,Tarde,7,Regularmente,Comida,Smartphone / Tablet,4,50,10,120,Tarjeta,Noche,8
16/07/2021 16:56:50,Masculino,22,Comodidad,Poco frecuente,Comida,Computadora / laptop,3,40,3,130,Tarjeta,Noche,8,Regularmente,Comida,PC / Laptop,3,30,3,120,Tarjeta,Noche,9
16/07/2021 18:00:42,Masculino,19,Seguridad,Poco frecuente,Otros,Computadora / laptop,1,20,1,20,Aplicación bancaria (Ejemplo: Yape),Mañana,8,Regularmente,Comida,PC / Laptop,1,20,1,20,Tarjeta,Mañana,8
16/07/2021 18:05:16,Femenino,17,Comodidad,Poco frecuente,Comida,Smartphone / tablet,4,50,13,150,Efectivo,Tarde,6,Muy frecuente,Comida,Smartphone / Tablet,4,50,25,300,Tarjeta,Noche,10
16/07/2021 18:13:40,Masculino,20,Seguridad,Poco frecuente,Electrónicos,Computadora / laptop,7,85,14,100,Tarjeta,Noche,7,Regularmente,Comida,Smartphone / Tablet,7,20,15,170,Tarjeta,Tarde,9
16/07/2021 18:19:55,Masculino,19,Comodidad,Poco frecuente,Electrónicos,Computadora / laptop,3,50,1,80,Tarjeta,Noche,4,Regularmente,Comida,PC / Laptop,2,100,3,300,Tarjeta,Noche,9
16/07/2021 19:04:26,Masculino,18,Comodidad,Poco frecuente,Comida,Smartphone / tablet,5,60,4,240,Efectivo,Mañana,8,Muy frecuente,Electrónicos,PC / Laptop,5,600,5,700,Tarjeta,Noche,10
16/07/2021 19:05:32,Masculino,18,Ofertas,Poco frecuente,Ropa,Computadora / laptop,3,200,2,300,Efectivo,Tarde,4,Poco frecuente,Comida,Smartphone / Tablet,2,50,2,100,Tarjeta,Tarde,5
16/07/2021 22:34:01,Femenino,17,Rapidez,Regularmente,Comida,Smartphone / tablet,3,60,12,240,Efectivo,Tarde,8,Regularmente,Comida,Smartphone / Tablet,3,80,12,320,Aplicación bancaria (Ejemplo: Yape),Tarde,7
16/07/2021 22:41:31,Masculino,19,Mejores precios,Regularmente,Ropa,Computadora / laptop,6,400,4,200,Tarjeta,Noche,10,Poco frecuente,Electrónicos,PC / Laptop,3,200,3,200,Tarjeta,Noche,10
17/07/2021 8:39:16,Masculino,22,Comodidad,Regularmente,Electrónicos,Computadora / laptop,5,50,30,600,Tarjeta,Tarde,10,Muy frecuente,Comida,PC / Laptop,5,30,40,600,Tarjeta,Noche,10
17/07/2021 8:43:19,Masculino,19,Seguridad,Poco frecuente,Comida,Smartphone / tablet,2,60,8,250,Tarjeta,Tarde,8,Muy frecuente,Comida,Smartphone / Tablet,3,70,12,300,Tarjeta,Tarde,10
17/07/2021 10:35:20,Masculino,17,Comodidad,Poco frecuente,Comida,Smartphone / tablet,4,45,4,45,Efectivo,Tarde,3,Poco frecuente,Comida,Smartphone / Tablet,2,26,2,26,Efectivo,Tarde,3
17/07/2021 13:05:35,Masculino,17,Seguridad,Nunca,Ropa,Computadora / laptop,1,100,1,100,Tarjeta,Mañana,6,Poco frecuente,Electrónicos,Otros,2,100,2,100,Tarjeta,Mañana,6
17/07/2021 15:18:28,Masculino,18,Otros,Poco frecuente,Electrónicos,Computadora / laptop,2,30,2,30,Aplicación bancaria (Ejemplo: Yape),Tarde,4,Poco frecuente,Electrónicos,PC / Laptop,2,30,2,30,Aplicación bancaria (Ejemplo: Yape),Tarde,4
17/07/2021 16:41:32,Femenino,18,Comodidad,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,7,Regularmente,Otro,PC / Laptop,3,100,3,100,Tarjeta,Tarde,9
18/07/2021 20:28:39,Masculino,18,Ofertas,Poco frecuente,Comida,Smartphone / tablet,1,27,1,27,Tarjeta,Noche,3,Poco frecuente,Comida,PC / Laptop,1,27,2,50,Tarjeta,Tarde,8
18/07/2021 23:25:04,Masculino,18,Rapidez,Poco frecuente,Otros,Computadora / laptop,4,200,6,400,Tarjeta,Tarde,6,Muy frecuente,Electrónicos,PC / Laptop,5,400,8,800,Tarjeta,Tarde,8
19/07/2021 10:25:49,Masculino,18,Ofertas,Nunca,Ninguno,No compro online,2,0,0,0,No compro online,No compro online,6,Poco frecuente,Comida,Smartphone / Tablet,3,24,4,220,Aplicación bancaria (Ejemplo: Yape),Noche,7
19/07/2021 12:19:47,Femenino,18,Ofertas,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,3,Poco frecuente,Ropa,Smartphone / Tablet,2,80,3,100,Tarjeta,Tarde,6
19/07/2021 13:15:42,Masculino,19,Ofertas,Poco frecuente,Electrónicos,Computadora / laptop,1,50,1,60,Tarjeta,Tarde,5,Muy frecuente,Comida,PC / Laptop,4,80,7,100,Tarjeta,Noche,8
21/07/2021 11:37:03,Femenino,19,Otros,Poco frecuente,Comida,Computadora / laptop,3,20,6,70,Tarjeta,Tarde,6,Regularmente,Comida,Smartphone / Tablet,6,50,10,150,Tarjeta,Tarde,8
21/07/2021 21:25:32,Femenino,19,Comodidad,Poco frecuente,Comida,Smartphone / tablet,3,50,3,100,Efectivo,Tarde,8,Regularmente,Ropa,PC / Laptop,5,60,5,120,Tarjeta,Tarde,9
22/07/2021 15:22:49,Femenino,22,Mejores precios,Regularmente,Electrónicos,Computadora / laptop,2,40,2,40,Efectivo,Tarde,7,Muy frecuente,Comida,Smartphone / Tablet,5,50,10,120,Tarjeta,Noche,10
16/07/2021 1:56:56,Masculino,51,Comodidad,Poco frecuente,Comida,Smartphone / tablet,5,250,12,600,Efectivo,Mañana,10,Regularmente,Comida,Smartphone / Tablet,6,300,12,550,Tarjeta,Mañana,10
16/07/2021 8:22:07,Masculino,41,Comodidad,Nunca,Comida,Computadora / laptop,3,70,10,400,Tarjeta,Mañana,1,Regularmente,Comida,Smartphone / Tablet,5,100,20,700,Tarjeta,Tarde,4
16/07/2021 8:30:11,Masculino,27,Comodidad,Poco frecuente,Electrónicos,Computadora / laptop,1,200,1,200,Tarjeta,Noche,4,Siempre,Comida,Smartphone / Tablet,6,600,20,800,Tarjeta,Mañana,10
16/07/2021 8:42:14,Masculino,39,Seguridad,Poco frecuente,Comida,Smartphone / tablet,5,70,20,200,Tarjeta,Mañana,7,Muy frecuente,Comida,Smartphone / Tablet,10,150,30,250,Tarjeta,Mañana,9
16/07/2021 9:23:39,Femenino,33,Seguridad,Poco frecuente,Electrónicos,Computadora / laptop,2,60,4,100,Tarjeta,Noche,6,Regularmente,Otro,PC / Laptop,3,80,6,200,Tarjeta,Noche,7
16/07/2021 10:20:50,Masculino,34,Comodidad,Regularmente,Comida,Smartphone / tablet,3,50,3,100,Aplicación bancaria (Ejemplo: Yape),Noche,9,Muy frecuente,Comida,Smartphone / Tablet,3,150,10,250,Aplicación bancaria (Ejemplo: Yape),Noche,9
16/07/2021 10:49:30,Masculino,35,Comodidad,Poco frecuente,Electrónicos,Computadora / laptop,2,40,5,100,Tarjeta,Noche,8,Muy frecuente,Comida,PC / Laptop,3,40,3,200,Tarjeta,Noche,10
16/07/2021 10:49:34,Femenino,62,Comodidad,Regularmente,Ropa,Computadora / laptop,5,160,20,350,Tarjeta,Noche,10,Muy frecuente,Comida,PC / Laptop,4,100,20,600,Tarjeta,Tarde,10
16/07/2021 11:16:05,Femenino,31,Ofertas,Poco frecuente,Comida,Smartphone / tablet,4,60,12,200,Tarjeta,Tarde,9,Regularmente,Comida,Smartphone / Tablet,6,80,50,350,Efectivo,Tarde,9
