"Edad","Sexo","Carrera","Ciclo","Distrito","DistanciaKM","Movilidad","Numvehiculos","Distanciamin","Sentimientoseguridad","Seguro","Inseguro","VictimaRobo","NumRobo","MomentoRobo","HoraRobo","PrimerRobo","SegundoRobo","RecuperasteAlgo","DinRoboUno","TrasporteRobo","Factores","Universidad","Manera","Ideas"
18,"Femenino","Bioingeniería",3,"San Juan De Miraflores",8.5,"Bus",1,60,"Preocupado","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Bioingeniería",3,"Barranco",1.7,"Taxi, Caminando, Bicicleta",1,10,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Ing. Industrial",6,"Barranco",1.7,"Caminando",0,15,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","."
20,"Masculino","Bioingeniería",3,"San Isidro",6.2,"Otro",1,20,"Vulnerable","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos",NA
17,"Masculino","Bioingeniería",3,"Otro",16.4,"Bus, Colectivo, Taxi",2,75,"Protegido","Todo el día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Mayor protección policial alrededor de la universidad"
20,"Femenino","Bioingeniería",3,"Santiago De Surco",8,"Bus",2,40,"Preocupado","En ningún momento del día","Todo el día","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","No"
18,"Masculino","Ciencias de la computación",3,"San Borja",9.7,"Bicicleta",1,40,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos","Buses"
18,"Femenino","Ingeniería Mecatrónica",3,"Independencia",19.6,"Metropolitano, Taxi, Caminando",2,63,"Preocupado","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ciencias de la computación",3,"Santiago De Surco",10.2,"Metropolitano, Bus, Colectivo, Caminando",2,50,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Femenino","Ing. Química",4,"Puente Piedra",45,"Metropolitano, Corredor, Bus",3,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Residencia universitaria"
22,"Femenino","Ing. Industrial",5,"Santa Anita",16.9,"Auto propio",1,60,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Un aplicación de alerta ante algún intento de robo."
18,"Femenino","Bioingeniería",3,"La Molina",16.1,"Auto propio",1,50,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ciencia de datos",2,"Santiago De Surco",3.1,"Bus, Caminando",1,30,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos",NA
22,"Masculino","Bioingeniería",4,"San Juan Del Lurigancho",24.2,"Metropolitano, Corredor, Tren, Bus",2,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Medio de transporte privado (bus universitario)",NA
19,"Masculino","Bioingeniería",3,"Lima",9.2,"Taxi, Auto propio",1,40,"Protegido","Todo el día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos",NA
18,"Femenino","Ingeniería Mecatrónica",2,"San Miguel",13,"Metropolitano, Corredor",2,50,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Bioingeniería",3,"Santiago De Surco",6,"Bus, Bicicleta",1,25,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Medio de transporte privado (bus universitario)",NA
19,"Masculino","Bioingeniería",3,"Ate Vitarte",19,"Metropolitano, Corredor",2,135,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Más lockers en la universidad, Medio de transporte privado (bus universitario)","Quizá, si la universidad agrega residencia en su nueva expansión podría ayudar bastante a muchos estudiantes que venimos de distancias lejanas"
21,"Femenino","Bioingeniería",7,"Santiago De Surco",3.1,"Taxi",1,18,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ing. Ambiental",4,"San Isidro",7.3,"Corredor",1,30,"Protegido","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Bioingeniería",3,"Cieneguilla",17,"Metropolitano, Corredor",2,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ingeniería Mecatrónica",3,"Miraflores",0.5,"Caminando",0,5,"Protegido","Todo el día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ing. Electrónica",4,"Santiago De Surco",6,"Bus, Taxi, Bicicleta",1,30,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Las ideas planteadas me parecen acertadas."
24,"Masculino","Ing. de la Energía",4,"San Juan Del Lurigancho",15,"Corredor",2,60,"Seguro","Todo el día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ing. Química",5,"San Juan Del Lurigancho",17.5,"Tren, Bus",2,90,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
17,"Femenino","Ing. Mecánica",3,"Miraflores",3.2,"Bus, Bicicleta",1,30,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ing. Civil",3,"Comas",33.3,"Metropolitano, Bus, Taxi, Mototaxi",2,120,"Preocupado","En ningún momento del día","Todo el día","Sí",1,"Tarde",04:30:00,"0",0,"No","0","Metropolitano","Llevaba muchas cosas en mi mochila, La inseguridad de las calles",9,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos","aumento de policias"
18,"Masculino","Ingeniería Mecatrónica",3,"Lima",12,"Metropolitano, Corredor, Tren, Bus, Taxi, Auto propio",1,30,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","-"
20,"Masculino","Ingeniería Mecatrónica",3,"San Borja",4.6,"Metropolitano, Corredor",2,80,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Medio de transporte privado (bus universitario)","No"
19,"Femenino","Ing. Química",5,"Puente Piedra",15.5,"Metropolitano, Mototaxi, Bicicleta",2,120,"Preocupado","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Femenino","Bioingeniería",9,"Barranco",1.5,"Bus, Taxi, Caminando",1,20,"Seguro","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
19,"Masculino","Bioingeniería",5,"Comas",25,"Metropolitano, Caminando",2,80,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos","Aumentar la seguridad en los alrededores en horarios nocturnos"
18,"Masculino","Ciencias de la computación",5,"Ate Vitarte",13,"Metropolitano, Bus, Taxi",2,40,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos","Poner más secciones en turno mañana o tarde"
17,"Femenino","Bioingeniería",3,"Carabayllo",33.9,"Metropolitano, Caminando",2,NA,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos","Formar grupos entre estudiantes que vivan cerca."
20,"Masculino","Ciencias de la computación",5,"San Luis",9.3,"Bus",1,60,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Medio de transporte privado (bus universitario)",NA
21,"Masculino","Ciencias de la computación",5,"El Agustino",24.5,"Metropolitano, Corredor, Tren, Bus",2,180,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Más lockers en la universidad","Un transporte de la universidad"
20,"Masculino","Ciencias de la computación",6,"La Molina",22,"Auto propio",1,70,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos",NA
19,"Masculino","Ciencias de la computación",5,"San Borja",8.3,"Metropolitano, Bus, Taxi, Caminando",2,80,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
19,"Femenino","Ing. Industrial",4,"Comas",24.7,"Metropolitano, Corredor",2,60,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
19,"Femenino","Bioingeniería",5,"Santiago De Surco",2.7,"Colectivo, Taxi, Caminando",1,15,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Promoviendo horarios virtuales para cursos nocturnos","Tener la posibilidad de dar virtual la clase de noche y presencial para los q puedan"
18,"Femenino","Ciencia de datos",3,"Chorrillos",30,"Metropolitano, Taxi",1,45,"Vulnerable","En ningún momento del día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","No"
19,"Femenino","Ingeniería Mecatrónica",5,"San Martin De Porres",28.5,"Metropolitano, Bus",2,110,"Preocupado","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Ing. Mecánica",5,"Barranco",2,"Otro",2,4,"Protegido","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Promoviendo horarios virtuales para cursos nocturnos","UTEC - Uber, descuentos por transporte"
17,"Otro","Bioingeniería",3,"Lima",12.4,"Metropolitano, Caminando",2,70,"Preocupado","Tarde","Noche","Sí",2,"Noche",07:30:00,"70",100,"No","0","Metropolitano","Salí muy tarde de la universidad, La inseguridad de las calles, La inseguridad del transporte",6,"Más lockers en la universidad",NA
20,"Masculino","Ing. Civil",4,"Barranco",0.5,"Metropolitano, Bus, Taxi, Caminando, Bicicleta",1,30,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ing. Industrial",3,"Chorrillos",6,"Metropolitano",1,15,"Cauteloso","Mañana","Noche","Sí",1,"Noche",21:00:00,"30",0,"No","Nada","Metropolitano","Llevaba muchas cosas en mi mochila, Salí muy tarde de la universidad, La inseguridad de las calles",6,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Ing. de la Energía",9,"San Borja",6.6,"Metropolitano, Corredor, Bus",2,40,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad","Los cursos nocturnos sean en el laboratorio."
18,"Femenino","Ingeniería Mecatrónica",2,"Otro",14,"Bus, Taxi",2,90,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","considero que el medio de transporte privado es la mejor opción."
18,"Femenino","Bioingeniería",3,"El Agustino",16.8,"Metropolitano, Bus, Mototaxi",3,90,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","-"
18,"Masculino","Ingeniería Mecatrónica",3,"Jesús María",9.5,"Metropolitano",1,40,"Seguro","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Bioingeniería",3,"San Juan De Miraflores",9,"Taxi",1,45,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ing. Química",3,"Ate Vitarte",13.4,"Metropolitano, Bus, Auto propio",2,50,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","No"
19,"Masculino","Ciencias de la computación",5,"Santiago De Surco",5.1,"Auto propio",1,20,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos",NA
18,"Femenino","Ing. Química",3,"La Molina",16,"Metropolitano, Corredor",2,75,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
22,"Masculino","Bioingeniería",8,"La Molina",15,"Metropolitano, Corredor, Colectivo, Auto propio",1,90,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Crear mejores horarios de forma que no se requiera llevar clases virtuales de forma presencial. Es decir tener clases virtuales primero seguidas de clases presenciales."
20,"Femenino","Ingeniería Mecatrónica",2,"Puente Piedra",NA,"Metropolitano, Auto propio",3,150,"Preocupado","Mañana","Todo el día","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","-"
23,"Masculino","Ciencias de la computación",1,"San Miguel",12,"Bus, Taxi",2,40,"Seguro","Mañana","Tarde","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
24,"Masculino","Ciencias de la computación",3,"Lince",7.1,"Corredor",1,45,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Promover la seguridad en su distrito"
20,"Femenino","Ing. Ambiental",4,"Miraflores",47,"Bus, Bicicleta",1,40,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos","No"
21,"Masculino","Ciencias de la computación",1,"Comas",26,"Auto propio",1,60,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos","No"
22,"Masculino","Bioingeniería",5,"La Molina",20,"Metropolitano, Corredor, Colectivo",3,120,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos","no"
23,"Masculino","Ing. Civil",5,"Independencia",18,"Metropolitano",1,3,"Seguro","Tarde","Tarde","Sí",3,"Mañana",04:00:00,"2",3,"Si","200","Metropolitano","Salí muy tarde de la universidad",5,"Promoviendo horarios virtuales para cursos nocturnos","3"
20,"Masculino","Bioingeniería",8,"Comas",12.5,"Tren, Mototaxi, Caminando",2,150,"Vulnerable","Mañana","Mañana","Sí",4,"Tarde",12:00:00,"27",NA,"No",NA,"Colectivo","Llevaba muchas cosas en mi mochila, Salí muy tarde de la universidad, La inseguridad de las calles",8,"Promoviendo horarios virtuales para cursos nocturnos","No"
21,"Masculino","Bioingeniería",9,"Barranco",0.5,"Caminando, Bicicleta",0,15,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Más lockers en la universidad",NA
17,"Masculino","Ing. Electrónica",1,"Carabayllo",45,"Metropolitano",2,120,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad","Mejores tiempos."
18,"Masculino","Ing. Electrónica",1,"La Molina",15,"Metropolitano",3,90,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Más lockers en la universidad","Las clases no tan tarde"
17,"Masculino","Ingeniería Mecatrónica",2,"Chaclacayo",58,"Metropolitano, Bus, Caminando",3,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ing. Mecánica",3,"Los Olivos",20,"Metropolitano",1,90,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Administración y negocios digitales",3,"Santiago De Surco",9.5,"Taxi",1,30,"Seguro","Todo el día","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Más horarios"
23,"Femenino","Bioingeniería",6,"La Molina",20,"Metropolitano, Corredor, Colectivo, Taxi",2,105,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Promoviendo horarios virtuales para cursos nocturnos",NA
18,"Femenino","Ingeniería Mecatrónica",5,"San Miguel",12,"Taxi, Auto propio",1,20,"Protegido","Mañana","Tarde","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ing. Industrial",2,"San Borja",45,"Metropolitano, Bus",2,2,"Preocupado","Noche","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Promoviendo horarios virtuales para cursos nocturnos","23"
17,"Masculino","Ing. Industrial",3,"Comas",25,"Metropolitano",2,90,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","No"
18,"Femenino","Ing. Mecánica",3,"San Martin De Porres",18,"Metropolitano, Bus, Auto propio",2,60,"Preocupado","Mañana","Noche","Sí",1,"Noche",10:00:00,"200",NA,"Si","50","Metropolitano","Llevaba muchas cosas en mi mochila, Me distraje",5,"Más lockers en la universidad",NA
19,"Masculino","Ciencias de la computación",5,"Santiago De Surco",25,"Taxi, Auto propio",1,30,"Seguro","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos",NA
19,"Masculino","Ing. Mecánica",4,"Barranco",0.4,"Caminando",0,16,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Más lockers en la universidad","Seguridad afuera de la universidad"
22,"Masculino","Ing. Electrónica",2,"Ate Vitarte",32,"Bus, Colectivo",3,180,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Más lockers en la universidad","Que tenga buses para trasladarse"
17,"Masculino","Ciencias de la computación",1,"Miraflores",2.3,"Auto propio, Caminando, Bicicleta",1,10,"Protegido","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Medio de transporte privado (bus universitario)",NA
18,"Masculino","Administración y negocios digitales",3,"Santiago De Surco",2.8,"Bus, Colectivo",1,14,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos",NA
17,"Femenino","Ciencias de la computación",1,"Lince",8.1,"Corredor, Bus",2,30,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
