Marca temporal,1. ¿ Cuál es tu edad?,2. ¿Qué ciclo te encuentras cursando?,3.¿Cuál es tu peso actual?(kg),4. ¿Cuál es tu género?,5. ¿Cuál es tu estatura (cm)? ,"6. Cuando tenías clases semipresenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana?","7. Cuando tenías clases presenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana? ","8.Cuando tenías clases virtuales o semipresenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?","9.Actualmente en las clases presenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?",10. ¿Qué tan seguido consumes comida rápida?,11. ¿La saciedad de tus alimentos a lo largo del día es suficiente para rendir correctamente en tus estudios académicos?,"12. ¿Cuántos minutos demoras en terminar una comida principal?",13. Tiempo aproximado entre el consumo de tu desayuno y almuerzo en horas.,14. Tiempo aproximado entre el consumo de tu almuerzo y cena en horas.,15.¿ Cuál es el alimento con el mayor  consumo semanal ?,16. ¿Qué tipo de comida consumes a diario?
27/09/2022 22:50:35,20,8,76,Femenino,161,70,60,3,3,Más de una vez a la semana,Sí,Menos de una hora,5,6,Carnes,Comida de restaurante
27/09/2022 22:51:00,17,2,75,Masculino,175,20,50,4,3,Una o más veces al mes,Sí,Menos de una hora,5,4,Verduras,Comida de casa
27/09/2022 22:51:18,17,2,51,Femenino,156,20,50,3,3,Una o más veces al mes,Sí,Menos de una hora,4,5,Carnes,Comida de casa
27/09/2022 22:51:39,17,4,100,Masculino,185,0,90,3,3,Una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de restaurante
27/09/2022 22:52:38,24,6,53,Femenino,158,50,80,3,3,Más de una vez a la semana,Sí,Menos de una hora,4,5,Carnes,Comida de casa
27/09/2022 22:54:02,20,3,54,Femenino,165,100,150,1,3,Una vez a la semana,Sí,Menos de una hora,5,4,Frutas,Comida de casa
27/09/2022 22:55:31,18,2,51,Femenino,167,170,200,4,5,Más de una vez a la semana,Sí,Una hora a más,5,5,Carnes,Comida de casa
27/09/2022 22:56:26,22,2,60,Masculino,172,50,80,3,3,Una o más veces al mes,Sí,Menos de una hora,3,3,Frituras,Comida de casa
27/09/2022 22:58:31,20,3,50,Femenino,155,40,100,3,3,Una vez a la semana,Sí,Menos de una hora,5,5,Carnes,Comida de restaurante
27/09/2022 22:59:15,21,10,84,Masculino,182,40,30,4,5,Una o más veces al mes,Sí,Menos de una hora,4,6,Carnes,Comida de casa
27/09/2022 23:03:24,20,8,55.5,Masculino,172,50,100,3,3,Una vez a la semana,No,Menos de una hora,3,3,Frutas,Comida de casa
27/09/2022 23:03:43,21,4,49.5,Femenino,145,100,300,3,5,Una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de casa
27/09/2022 23:03:44,18,2,50.1,Masculino,168,40,20,3,3,Una o más veces al mes,Sí,Menos de una hora,5,7,Verduras,Comida de casa
27/09/2022 23:06:04,21,2,60,Femenino,167,100,110,3,3,Una o más veces al mes,Sí,Una hora a más,3,5,Carnes,Comida de casa
27/09/2022 23:06:24,21,3,52.4,Femenino,158,100,150,3,3,Una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
27/09/2022 23:06:42,18,9,66.5,Masculino,168,100,500,3,3,Más de una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de casa
27/09/2022 23:07:52,20,8,48.7,Femenino,161,80,120,3,3,Más de una vez a la semana,Sí,Menos de una hora,5,5,Carnes,Comida de casa
27/09/2022 23:08:39,20,8,65.0,Femenino,157,150,170,4,4,Más de una vez a la semana,Sí,Menos de una hora,4,7,Carnes,Comida de casa
27/09/2022 23:08:40,20,8,56,Femenino,162,10,20,4,4,Una vez a la semana,Sí,Menos de una hora,5,4,Frutas,Comida de casa
27/09/2022 23:08:58,20,4,78,Masculino,178,20,100,4,5,Más de una vez a la semana,Sí,Menos de una hora,6,6,Productos lácteos,Comida de casa
27/09/2022 23:11:00,21,8,65,Femenino,168,10,30,4,6,Diario,Sí,Menos de una hora,4,7,Frituras,Comida de restaurante
27/09/2022 23:11:53,21,8,62,Masculino,169,50,100,3,4,Una o más veces al mes,Sí,Menos de una hora,6,9,Verduras,Comida de restaurante
27/09/2022 23:12:10,23,9,70.5,Masculino,180,100,500,3,3,Una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de casa
27/09/2022 23:12:32,20,3,56.9 ,Femenino,165,40,80,4,4,Una vez a la semana,No,Menos de una hora,6,6,Productos lácteos,Comida de restaurante
27/09/2022 23:14:14,20,4,53,Femenino,154,60,80,3,4,Más de una vez a la semana,Sí,Una hora a más,6,8,Productos lácteos,Comida de casa
27/09/2022 23:15:53,24,10,80.6,Masculino,190,100,200,3,4,Una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de casa
27/09/2022 23:16:03,21,5,58,Femenino,150,10,10,4,3,Nunca,Sí,Menos de una hora,4,6,Carnes,Comida de casa
27/09/2022 23:17:44,19,3,71,Masculino,180,20,120,3,4,Una vez a la semana,Sí,Una hora a más,5,6,Carnes,Comida de restaurante
27/09/2022 23:18:59,21,10,69,Masculino,175,70,110,4,3,Diario,Sí,Menos de una hora,5,6,Carnes,Comida de restaurante
27/09/2022 23:20:44,18,3,49.5,Femenino,155,10,20,2,3,Diario,Sí,Dos horas a más,4,4,Frutas,Comida de restaurante
27/09/2022 23:21:55,24,6,72,Femenino,168,90,150,4,5,Una vez a la semana,Sí,Menos de una hora,3,3,Frituras,Comida de restaurante
27/09/2022 23:22:13,20,2,57,Femenino,157,30,50,3,3,Una o más veces al mes,No,Menos de una hora,6,7,Carnes,Comida de casa
27/09/2022 23:22:38,20,3,68,Masculino,171,180,180,4,4,Más de una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
27/09/2022 23:22:59,20,3,65,Masculino,169,0,40,4,6,Más de una vez a la semana,Sí,Una hora a más,5,7,Carnes,Comida de casa
27/09/2022 23:24:47,20,6,69,Femenino,168,50,50,2,2,Una o más veces al mes,Sí,Una hora a más,6,3,Carnes,Comida de casa
27/09/2022 23:25:33,21,4,85,Masculino,185,150,200,4,7,Diario,Sí,Menos de una hora,6,6,Carnes,Comida de restaurante
27/09/2022 23:26:09,21,6,78,Masculino,173,10,25,3,4,Diario,No,Menos de una hora,3,8,Carnes,Comida de casa
27/09/2022 23:26:45,21,5,77,Masculino,183,100,35,4,3,Una o más veces al mes,Sí,Menos de una hora,4,6,Carnes,Comida de casa
27/09/2022 23:27:44,21,8,55,Femenino,157,10,20,3,4,Una vez a la semana,Sí,Menos de una hora,4,5,Carnes,Comida de casa
27/09/2022 23:29:27,20,2,68.5,Masculino,170,100,200,4,4,Una o más veces al mes,Sí,Menos de una hora,5,7,Carnes,Comida de casa
27/09/2022 23:32:59,20,8,70.8,Masculino,180,10,20,3,4,Una o más veces al mes,No,Menos de una hora,6,9,Carnes,Comida de casa
27/09/2022 23:34:20,20,4,55,Femenino,159,60,90,3,3,Una vez a la semana,Sí,Una hora a más,5,7,Productos lácteos,Comida de restaurante
27/09/2022 23:35:00,22,6,71,Masculino,165,40,30,3,2,Una vez a la semana,Sí,Una hora a más,6,7,Carnes,Comida de restaurante
27/09/2022 23:38:24,20,6,57,Femenino,154,50,150,2,4,Una o más veces al mes,No,Una hora a más,6,4,Frutas,Comida de casa
27/09/2022 23:42:38,20,6,81,Masculino,170,150,180,3,3,Nunca,Sí,Menos de una hora,5,7,Carnes,Comida de restaurante
27/09/2022 23:47:16,18,2,70,Masculino,170,250,300,3,2,Una o más veces al mes,Sí,Una hora a más,3,3,Productos lácteos,Comida de casa
28/09/2022 0:06:39,19,5,87,Masculino,177,20,50,4,5,Más de una vez a la semana,No,Menos de una hora,3,3,Carnes,Comida de casa
28/09/2022 0:12:15,21,9,73,Masculino,175,80,110,4,2,Una vez a la semana,Sí,Una hora a más,5,7,Carnes,Comida de casa
28/09/2022 0:29:18,20,8,68,Femenino,167,50,100,4,4,Diario,No,Menos de una hora,6,6,Frituras,Comida de restaurante
28/09/2022 0:40:14,18,2,70,Masculino,172,80,50,4,4,Más de una vez a la semana,Sí,Menos de una hora,4,5,Frituras,Comida de casa
28/09/2022 0:41:28,20,3,65,Femenino,167,20,50,2,7,Una vez a la semana,Sí,Menos de una hora,5,5,Carnes,Comida de restaurante
28/09/2022 0:44:19,25,4,83,Masculino,172,50,70,3,3,Una o más veces al mes,Sí,Menos de una hora,4,4,Carnes,Comida de casa
28/09/2022 0:54:20,20,10,52,Femenino,156,20,40,2,3,Una o más veces al mes,Sí,Una hora a más,4,7,Frutas,Comida de casa
28/09/2022 1:17:08,20,5,61,Masculino,179,30,50,4,5,Una o más veces al mes,No,Menos de una hora,4,5,Carnes,Comida de casa
28/09/2022 3:49:55,25,1,65,Femenino,155,20,50,3,2,Más de una vez a la semana,Sí,Menos de una hora,4,6,Verduras,Comida de casa
28/09/2022 4:18:08,19,8,55,Femenino,150,10,20,3,5,Nunca,Sí,Menos de una hora,6,6,Carnes,Comida de casa
28/09/2022 5:55:40,18,4,58.9,Femenino,153,150,170,3,3,Una vez a la semana,Sí,Menos de una hora,6,8,Carnes,Comida de casa
28/09/2022 7:13:44,21,10,105.0,Masculino,182,10,20,4,4,Más de una vez a la semana,Sí,Menos de una hora,5,7,Carnes,Comida de casa
28/09/2022 7:43:03,20,4,80.7,Masculino,176,0,60,1,3,Una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
28/09/2022 8:09:27,20,3,67,Masculino,173,100,150,4,3,Una vez a la semana,Sí,Menos de una hora,4,4,Verduras,Comida de casa
28/09/2022 8:45:17,18,2,70,Femenino,164,20,60,2,3,Una o más veces al mes,Sí,Menos de una hora,7,6,Frutas,Comida de casa
28/09/2022 8:51:41,21,2,57,Femenino,162,0,10,3,2,Una o más veces al mes,No,Menos de una hora,6,3,Carnes,Comida de casa
28/09/2022 9:02:03,18,2,65,Femenino,163,20,40,3,4,Una vez a la semana,Sí,Menos de una hora,4,7,Frutas,Comida de casa
28/09/2022 9:14:41,19,5,             63.4,Femenino,165,20,60,3,3,Una vez a la semana,No,Menos de una hora,5,6,Carnes,Comida de casa
28/09/2022 9:34:51,17,2,52,Femenino,162,100,200,4,5,Una vez a la semana,Sí,Menos de una hora,6,5,Frutas,Comida de casa
28/09/2022 9:45:41,19,6,65,Masculino,169,30,50,3,3,Una vez a la semana,Sí,Menos de una hora,5,6,Carnes,Comida de restaurante
28/09/2022 9:59:20,18,8,65,Masculino,176,15,15,3,3,Una o más veces al mes,Sí,Menos de una hora,5,7,Frutas,Comida de casa
28/09/2022 10:11:21,19,3,79,Femenino,163,50,60,3,2,Una vez a la semana,Sí,Menos de una hora,5,7,Frutas,Comida de casa
28/09/2022 10:20:48,18,4,56,Femenino,155,10,20,4,5,Una o más veces al mes,Sí,Menos de una hora,3,3,Verduras,Comida de casa
28/09/2022 10:25:43,18,4,68.4,Masculino,169,10,70,2,2,Nunca,Sí,Menos de una hora,6,7,Productos lácteos,Comida de restaurante
28/09/2022 10:39:07,18,1,51,Femenino,150,160,160,3,3,Una o más veces al mes,Sí,Menos de una hora,7,6,Carnes,Comida congelada
28/09/2022 10:47:03,20,6,75.5,Masculino,176,0,10,2,3,Nunca,No,Menos de una hora,3,3,Carnes,Comida de casa
28/09/2022 11:04:24,20,1,50,Femenino,150,100,100,4,3,Nunca,No,Una hora a más,6,7,Carnes,Comida de restaurante
28/09/2022 11:11:24,18,2,48,Femenino,157,80,80,4,4,Una vez a la semana,Sí,Menos de una hora,7,5,Productos lácteos,Comida de casa
28/09/2022 11:14:21,19,6,70.3,Masculino,165,0,50,2,2,Más de una vez a la semana,No,Menos de una hora,5,7,Carnes,Comida de casa
28/09/2022 11:16:41,18,2,65,Masculino,167,50,100,3,4,Más de una vez a la semana,Sí,Menos de una hora,5,3,Carnes,Comida de casa
28/09/2022 11:17:58,20,5,72,Masculino,178,40,50,3,3,Más de una vez a la semana,Sí,Menos de una hora,7,4,Frutas,Comida de casa
28/09/2022 11:19:01,25,10,62,Femenino,162,0,20,3,3,Una o más veces al mes,Sí,Menos de una hora,5,5,Carnes,Comida de casa
28/09/2022 11:24:58,26,7,82,Masculino,172,20,50,4,4,Una o más veces al mes,Sí,Una hora a más,3,3,Carnes,Comida de casa
28/09/2022 11:27:28,20,2,75.4,Masculino,170,10,20,4,4,Una vez a la semana,Sí,Menos de una hora,5,6,Carnes,Comida de casa
28/09/2022 11:34:56,20,3,58,Masculino,165,120,180,4,4,Más de una vez a la semana,No,Menos de una hora,4,7,Verduras,Comida de restaurante
28/09/2022 11:38:29,18,4,44.80,Femenino,153,80,120,2,2,Una o más veces al mes,Sí,Menos de una hora,5,6,Carnes,Comida de casa
28/09/2022 11:55:03,26,10,68,Masculino,170,0,10,4,4,Una o más veces al mes,Sí,Menos de una hora,5,5,Frituras,Comida de casa
28/09/2022 12:05:41,18,2,53.0,Femenino,160,50,250,3,6,Una vez a la semana,No,Menos de una hora,3,7,Carnes,Comida de casa
28/09/2022 12:11:12,18,2,54.6,Femenino,153,40,70,3,3,Una vez a la semana,Sí,Menos de una hora,3,3,Verduras,Comida de casa
28/09/2022 12:19:01,20,2,75,Masculino,170,20,10,3,2,Una o más veces al mes,Sí,Menos de una hora,4,5,Carnes,Comida de casa
28/09/2022 12:19:20,18,2,48,Femenino,151,10,10,3,3,Una o más veces al mes,Sí,Una hora a más,6,5,Verduras,Comida de casa
28/09/2022 12:28:28,18,6,78,Masculino,178,100,150,3,7,Más de una vez a la semana,Sí,Menos de una hora,6,6,Frutas,Comida de casa
28/09/2022 13:35:11,20,5,72,Masculino,178,10,20,3,3,Más de una vez a la semana,Sí,Una hora a más,5,4,Frutas,Comida de restaurante
28/09/2022 13:43:37,20,4,78.80,Masculino,172,60,80,3,3,Una o más veces al mes,Sí,Menos de una hora,8,8,Carnes,Comida de casa
28/09/2022 13:49:51,20,5,60,Femenino,160,20,20,3,3,Una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de restaurante
28/09/2022 14:05:09,18,4,65.8,Femenino,163,50,100,4,3,Una o más veces al mes,No,Menos de una hora,6,6,Frutas,Comida de casa
28/09/2022 15:12:24,21,1,59,Masculino,166,400,500,4,3,Más de una vez a la semana,Sí,Menos de una hora,3,6,Carnes,Comida de restaurante
28/09/2022 15:21:12,20,2,45,Femenino,150,40,60,4,4,Más de una vez a la semana,Sí,Menos de una hora,7,5,Carnes,Comida de casa
28/09/2022 15:22:47,20,2,45,Femenino,150,50,65,4,4,Más de una vez a la semana,Sí,Menos de una hora,7,5,Carnes,Comida de casa
28/09/2022 15:41:40,20,8,71,Masculino,179,50,100,3,5,Más de una vez a la semana,No,Una hora a más,4,5,Carnes,Comida de restaurante
28/09/2022 16:06:02,26,2,58,Masculino,168,100,130,3,4,Una o más veces al mes,Sí,Menos de una hora,9,5,Carnes,Comida de casa
28/09/2022 16:07:15,18,4,46,Femenino,157,20,100,4,4,Una o más veces al mes,Sí,Menos de una hora,6,8,Carnes,Comida de casa
28/09/2022 16:29:45,20,4,65,Masculino,180,20,40,3,3,Nunca,Sí,Menos de una hora,6,6,Productos lácteos,Comida de casa
28/09/2022 17:26:53,18,4,70,Femenino,174,0,15,4,3,Una vez a la semana,Sí,Una hora a más,4,6,Carnes,Comida de casa
28/09/2022 17:30:05,23,8,54,Femenino,156,40,70,3,5,Más de una vez a la semana,No,Menos de una hora,3,3,Frutas,Comida congelada
28/09/2022 18:41:15,20,4,65,Masculino,175,50,65,3,2,Una vez a la semana,No,Menos de una hora,7,9,Carnes,Comida de restaurante
28/09/2022 20:37:40,18,3,60,Masculino,170,10,60,3,4,Una vez a la semana,Sí,Menos de una hora,4,5,Frutas,Comida de restaurante
