Marca temporal,Edad,Sexo,Ciclo,Promedio_ponderado,Distrito,Transporte,Tiempo_transporte,Horas_dormidas,Min_pasaje,Max_pasaje,Hora_salida_hogar,Hora_salida_de_UTEC,Faltas,Max_pasaje_no_planeado,Min_pasaje_no_planeado,Max_pasaje_bus,Min_pasaje_bus
28/04/2023 22:51:27,19,Mujer,2,14.1,Santiago de Surco,Bus,30,8,2,2,8:30:00,9:00:00,2,10,8,1.25,0
28/04/2023 23:16:13,20,Hombre,4,16.43,San Juan de Lurigancho,Tren eléctrico,100,6,6,8,8:30:00,6:00:00,3,12,6,4,2
29/04/2023 11:15:24,18,Mujer,2,18.150000000000002,Chaclacayo,Colectivo,125,6,5.25,21,5:15:00,13:10:00,4,47,22,2.5,1.8
29/04/2023 12:55:45,18,Mujer,2,15,Puente piedra,Metropolitano,180,4,10,12,4:30:00,7:10:00,4,17,12,8,5
29/04/2023 14:25:41,21,Mujer,4,14.94,El agustino,Tren eléctrico,5,5,5.5,10,8:00:00,18:00:00,6,10,8,3,2
29/04/2023 22:33:07,18,Mujer,2,14,Chorrillos,Bus,40,5,1,3,9:00:00,5:00:00,5,20,10,3,2
29/04/2023 22:50:15,20,Mujer,2,14.7,San isidro,Colectivo,10,6,3,6,6:00:00,22:00:00,3,6,3,2,1
30/04/2023 17:13:32,17,Hombre,2,15.8,Barranco,Caminando,6,8,0,0,8:40:00,1:00:00,0,5,1,2.5,1
30/04/2023 17:15:18,20,Hombre,2,15.12,Chorrillos,Metropolitano,30,7,2,2,11:00:00,6:00:00,2,30,10,2,2
30/04/2023 17:18:24,17,Hombre,2,13,Santa Anita,Colectivo,3,4,3,4.5,6:20:00,13:00:00,0,3,3,3.5,3
30/04/2023 17:18:50,17,Hombre,2,16,Miraflores,Caminando,23,8,0,3,6:45:00,13:00:00,4,25,20,5,2
30/04/2023 17:19:24,20,Mujer,2,14.5,Puente piedra,Metropolitano,160,4,11,10,2:30:00,7:30:00,10 a más,5,4,4,2
30/04/2023 17:20:01,18,Hombre,2,15.04,Santa Rosa,Metropolitano,150,6,3.5,6.5,6:00:00,16:00:00,5,20,10,4,2
30/04/2023 17:20:30,26,Hombre,2,16,San Miguel,Metropolitano,60,5,1,12,5:15:00,9:50:00,1,100,50,2,1
30/04/2023 17:21:18,20,Mujer,3,16.439999999999998,San isidro,Bus,15,6,0,5,7:30:00,1:20:00,0,14,10,2,1
30/04/2023 17:27:19,17,Hombre,2,17.56,San borja,Otros,20,7,10,12,6:30:00,14:30:00,0,17,12,4,1
30/04/2023 17:28:57,16,Hombre,2,16.150000000000002,La molina,Metropolitano,60,7,7,16,6:00:00,11:00:00,1,50,20,2.5,1.76
30/04/2023 17:30:40,19,Mujer,2,15,San Martin de Porres,Metropolitano,20,6,5,7.3,7:00:00,22:00:00,5,30,20,1.2,1
30/04/2023 17:32:30,20,Mujer,2,14.89,Carabayllo,Metropolitano,130,4,5.75,13.4,6:15:00,2:10:00,3,14,9,7,5
30/04/2023 17:38:02,17,Mujer,2,17.2,Chorrillos,Bicicleta,35,5,1,5,5:30:00,13:00:00,6,30,16,2,1.5
30/04/2023 17:39:44,16,Hombre,2,13.450000000000001,Ate,Metropolitano,60,6,4.7,20,6:00:00,20:00:00,1,20,18,1,0.5
30/04/2023 17:42:25,20,Hombre,2,17.35,Santiago de Surco,Caminando,10,5,1,2,6:20:00,13:00:00,0,3,2,2,1
30/04/2023 17:45:45,17,Hombre,2,17,Santa Anita,Colectivo,30,4,3,4.5,6:20:00,13:00:00,0,4,4,3,0.5
30/04/2023 17:47:35,17,Hombre,2,16.4,San borja,Bus,35,7,2,4,5:50:00,13:00:00,0,15,12,1.5,0.5
30/04/2023 17:50:45,19,Mujer,2,16.3,Miraflores,Metropolitano,10,6,1.5,3.5,6:30:00,1:00:00,4,20,10,2.5,1
30/04/2023 17:53:26,19,Hombre,2,15,San Miguel,Alimentador,80,4,4.4,4.4,5:30:00,13:20:00,4,30,17,2.2,1.1
30/04/2023 18:04:32,17,Hombre,2,17,Rímac,Bus,50,5,4.4,8.4,5:45:00,13:00:00,1,21,20,0.11,0.1
30/04/2023 18:29:52,17,Hombre,2,16.419999999999998,Puente piedra,Metropolitano,140,4,8,10,4:30:00,15:00:00,3,0,0,4,2
30/04/2023 18:41:35,19,Hombre,2,15.42,San Juan de Lurigancho,Bus,150,5,5,10,5:00:00,16:00:00,0,20,15,4,2
30/04/2023 18:42:20,17,Hombre,2,16,El agustino,Metropolitano,60,6,11.5,25,5:25:00,12:30:00,0,7,5,4.5,1.8
30/04/2023 18:51:36,17,Mujer,2,17.959999999999997,Lince,Metropolitano,37,6,4.5,10,6:15:00,14:30:00,1,10,5,2.2,1
30/04/2023 18:57:17,17,Mujer,2,17.3,Miraflores,Carro propio,5,5,2,2.5,6:00:00,2:30:00,0,30,20,2,1.5
30/04/2023 18:58:22,18,Hombre,2,13.27,Breña,Bus,50,7,3,6,5:45:00,13:00:00,3,7,4,3,1
30/04/2023 19:02:33,17,Mujer,2,17,Santiago de Surco,Bus,20,5,2,3.5,6:30:00,2:00:00,0,7,5,2,1.5
30/04/2023 19:11:39,19,Hombre,7,14.32,El agustino,Bus,130,6,4,7,5:30:00,20:00:00,10 a más,35,20,4,2
30/04/2023 19:11:49,22,Mujer,2,18.05,Comas,Colectivo,120,5,8,23,5:40:00,8:00:00,7,35,23,2.5,1
30/04/2023 19:23:03,20,Hombre,2,16,Barranco,Bus,30,6,2,2,5:30:00,6:00:00,5,4,2,2,2
30/04/2023 19:24:38,16,Hombre,2,16.55,San borja,Metropolitano,35,6,3.5,5,6:25:00,1:00:00,4,25,12,3.5,2
30/04/2023 19:39:55,18,Mujer,2,12.350000000000001,Santiago de Surco,Colectivo,40,7,1.5,2,6:15:00,18:15:00,4,2,1,2,1.5
30/04/2023 19:56:05,18,Mujer,2,12.05,Santiago de Surco,Bus,30,7,1,1,8:00:00,4:00:00,4,10,10,2,2
30/04/2023 20:46:29,19,Mujer,4,15.62,Barranco,Caminando,5,6,0,0,7:00:00,8:00:00,1,5,0,4.5,2.5
30/04/2023 21:21:05,18,Mujer,2,14.69,Chorrillos,Metropolitano,15,4,4,8,6:30:00,8:30:00,2,20,10,5,3
30/04/2023 21:25:07,17,Hombre,2,17.5,Independencia,Metropolitano,100,7,3.2,3.2,5:45:00,13:00:00,0,30,8,4,2
30/04/2023 23:24:38,18,Hombre,2,2,Barranco,Metropolitano,1,1,0.2,1,2:00:00,3:03:00,5,1,0,1,1
30/04/2023 23:39:09,21,Mujer,4,13.98,San Juan de Miraflores,Bus,80,5,5,7,7:00:00,6:00:00,10 a más,30,22,2.5,1
1/05/2023 8:15:20,17,Hombre,2,15.31,Santiago de Surco,Bus,45,6,1.5,2,6:30:00,13:00:00,4,20,13,4,1
1/05/2023 13:27:56,20,Hombre,2,15,Miraflores,Bus,25,7,3,4,6:30:00,13:00:00,3,10,8,2,1
1/05/2023 16:22:07,16,Mujer,2,18,Santiago de Surco,Bus,75,6,1.5,4.5,5:45:00,13:00:00,2,15,10,3,1
1/05/2023 19:43:35,19,Hombre,2,13,Chorrillos,Bus,15,6,1,12,9:00:00,7:30:00,4,12,10,1.5,1
1/05/2023 22:09:46,19,Mujer,4,14,Barranco,Caminando,5,5,2.5,2.5,6:00:00,10:00:00,0,10,10,3.5,1
2/05/2023 7:10:47,18,Hombre,2,18.05,Barranco,Caminando,35,6.5,0,2.5,6:30:00,16:00:00,3,20,10,3.5,2
2/05/2023 7:11:00,18,Mujer,2,15.719999999999999,San Martin de Porres,Bus,10,6,4.5,2.3,5:30:00,6:00:00,10 a más,7,7,2,1
2/05/2023 8:03:46,18,Hombre,3,14.360000000000001,San Juan de Miraflores,Carro propio,60,7,3,3.5,8:00:00,18:00:00,2,25,15,5,3
2/05/2023 8:07:22,17,Hombre,3,15.2,Chorrillos,Bus,45,7,3,3.5,6:00:00,19:30:00,0,5,2,2,1
2/05/2023 8:07:50,17,Hombre,2,15.7,Chorrillos,Carro propio,20,7,1.5,3.3,7:00:00,13:00:00,0,0,0,3,1.5
2/05/2023 8:08:10,17,Hombre,2,16,Santiago de Surco,Otros,60,6,0,24,7:00:00,13:00:00,0,24,24,5,3
2/05/2023 8:10:15,22,Hombre,2,10.5,San Juan de Miraflores,Colectivo,50,6,7,10,9:00:00,13:00:00,6,35,15,5,3
2/05/2023 8:15:08,19,Mujer,4,14.3,Lurigancho,Bus,60,7,3,5,6:00:00,11:00:00,4,20,15,8,5
2/05/2023 8:15:13,20,Mujer,4,11.9,San Juan de Miraflores,Bus,80,5,4,15,6:00:00,11:00:00,3,20,15,7,3
2/05/2023 8:17:19,19,Mujer,4,12,Chorrillos,Bus,50,8,6,15,8:01:00,15:02:00,10 a más,21,20,8,3.54
2/05/2023 8:19:12,17,Hombre,3,12.93,Villa el Salvador,Metropolitano,120,7,9,9,12:00:00,8:30:00,5,30,30,5,2.5
2/05/2023 8:23:45,23,Hombre,5,15,San Juan de Lurigancho,Tren eléctrico,60,7,3.5,5,8:00:00,22:00:00,10 a más,30,30,2,1
2/05/2023 8:26:26,19,Mujer,5,12.3,Chorrillos,Metropolitano,40,6,2.25,4.5,10:00:00,20:00:00,3,0,0,2,1.5
2/05/2023 8:26:47,21,Hombre,3,14,La molina,Metropolitano,100,7,2.25,15,7:00:00,20:00:00,3,20,15,3.5,2
2/05/2023 8:28:27,18,Hombre,2,17.34,Santiago de Surco,Carro propio,30,6,3,15,5:30:00,4:00:00,2,24,17,4,2
2/05/2023 8:29:35,18,Hombre,3,13.870000000000001,Los Olivos,Metropolitano,90,7,1.25,1.25,5:30:00,19:00:00,7,35,25,2.5,2
2/05/2023 8:30:28,18,Mujer,3,16.07,La molina,Carro propio,50,5,0,0,6:15:00,7:00:00,0,0,0,2,1
2/05/2023 8:34:38,17,Hombre,2,15.4,Barranco,Caminando,5,8,0,0,7:00:00,20:00:00,0,0,0,7,5
2/05/2023 8:35:26,18,Hombre,5,17.3,San Juan de Lurigancho,Tren eléctrico,90,6,4.5,7,6:45:00,8:00:00,2,15,10,2.5,2
2/05/2023 8:38:50,17,Hombre,2,14.52,La molina,Metropolitano,75,7,5.4,6,7:00:00,13:00:00,2,40,30,1.8,1
2/05/2023 8:57:42,19,Mujer,4,17.35,Ate,Metropolitano,120,6,3.5,4.2,7:00:00,3:00:00,3,35,20,2.5,1.3
2/05/2023 9:00:19,18,Hombre,3,16.7,Santa Anita,Colectivo,115,5,2.5,5,8:00:00,5:00:00,2,60,25,3,1.1
2/05/2023 9:01:42,18,Hombre,2,16.32,Santiago de Surco,Bus,3,5,1,2,7:40:00,2:00:00,2,20,10,5,1
2/05/2023 9:06:59,21,Hombre,4,15.950000000000001,Barranco,Caminando,10,7,0,1.2,9:00:00,6:00:00,0,0,0,2.3,1.5
2/05/2023 9:27:34,18,Hombre,3,17.01,Miraflores,Caminando,30,3,0,1,8:00:00,20:00:00,5,0,0,2,0
2/05/2023 9:54:57,18,Hombre,3,13.89,Santiago de Surco,Colectivo,50,7,2,2.5,7:50:00,15:00:00,2,20,9,5,2
2/05/2023 10:18:41,20,Mujer,3,16.72,Cercado de Lima,Metropolitano,75,6,3.75,20,7:30:00,8:00:00,1,20,20,2.5,1
2/05/2023 10:22:34,18,Hombre,5,16.17,La molina,Bus,95,6,3.3499999999999996,6.75,8:30:00,4:00:00,7,25,12.5,3.3,1.5
2/05/2023 10:25:36,19,Mujer,3,17.939999999999998,San isidro,Bus,90,7,3.2,5.6,9:30:00,6:30:00,4,25,8,3.2,2.5
2/05/2023 10:29:59,19,Mujer,4,16.2,San Miguel,Alimentador,55,7,2.5,6.5,6:30:00,14:30:00,0,0,0,3.75,1.2
2/05/2023 11:16:12,18,Hombre,4,16.82,Chorrillos,Bus,12,7,1.2,3.75,8:30:00,16:00:00,2,12,12,3,1.25
2/05/2023 11:44:57,19,Mujer,4,13.350000000000001,Barranco,Caminando,5,5,0,0,9:00:00,20:00:00,0,0,0,6,3
2/05/2023 13:30:46,18,Hombre,3,16.53,Santiago de Surco,Carro propio,0,6,0,0,7:00:00,17:00:00,0,25,15,3,1.5
2/05/2023 13:33:35,18,Hombre,2,17.5,Santiago de Surco,Bus,7,6,3,3.5,9:00:00,18:00:00,3,30,15,3.5,1.5
2/05/2023 15:16:15,20,Mujer,3,14.350000000000001,Santiago de Surco,Bus,15,6,2,1,6:30:00,10:00:00,2,10,1,2,1
3/05/2023 0:57:57,19,Mujer,2,14.5,Villa el Salvador,Bus,90,5,4,5.5,6:00:00,7:00:00,4,15,10,3,2
3/05/2023 11:37:22,21,Mujer,4,14.5,Barranco,Caminando,14,6,0,0,10:30:00,1:00:00,0,0,0,0,0
3/05/2023 11:56:36,20,Mujer,3,13.55,Santiago de Surco,Bus,20,6,1,1.5,6:30:00,2:00:00,2,15,10,3,2
3/05/2023 11:58:29,20,Mujer,4,12,Barranco,Colectivo,15,6,1,1.5,7:10:00,6:15:00,2,9,5,5,4
3/05/2023 12:03:03,18,Mujer,3,12.34,Independencia,Metropolitano,120,5,6,8,5:30:00,15:00:00,6,8,6,7,5
3/05/2023 12:05:40,19,Hombre,4,14.6,Pueblo Libre,Metropolitano,50,7,2.3499999999999996,4.7,8:20:00,20:00:00,1,20,16,5,4.7
3/05/2023 13:02:42,20,Mujer,4,14,Barranco,Caminando,10,6,0,0,6:40:00,20:00:00,2,17,17,3.2,1.25
3/05/2023 14:17:22,19,Hombre,5,13.79,Barranco,Caminando,5,6,0,20,6:40:00,14:00:00,1,0,0,0,0
3/05/2023 16:15:11,18,Mujer,3,17.12,San isidro,Metropolitano,55,8,1.3,3.7,8:00:00,15:30:00,0,20,20,2.25,1
3/05/2023 16:20:42,19,Hombre,2,18.04,Lince,Bus,90,6,2.5,4.5,7:00:00,17:00:00,3,35,20,3.25,1.25
3/05/2023 16:23:26,21,Mujer,3,17.82,Ate,Bus,105,7,2.5,4.2,9:30:00,19:00:00,6,20,12,2.5,1
3/05/2023 16:27:01,18,Hombre,4,16.110000000000003,Ate,Bus,105,6,2.5,4.5,9:00:00,19:00:00,3,20,12,2.25,1
3/05/2023 16:27:11,19,Mujer,2,14.350000000000001,San Juan de Miraflores,Bus,40,6,1.5,3,6:00:00,3:00:00,3,20,15,3,2
3/05/2023 16:33:32,20,Mujer,3,14.3,San Juan de Miraflores,Bus,35,6,2,4,6:15:00,8:00:00,2,20,15,4,3
3/05/2023 16:36:59,20,Hombre,4,15.450000000000001,Barranco,Bus,10,6,1,1.5,7:30:00,8:00:00,0,12,10,3,2
3/05/2023 16:42:23,19,Hombre,2,15.229999999999999,La molina,Bus,100,5,3.5,5.75,9:30:00,20:00:00,8,25,11,2.75,1.2
3/05/2023 16:46:54,20,Mujer,4,13.8,Pachacamac,Bus,7,6,8,10,5:00:00,12:00:00,10 a más,14,9,3.6,1.8
3/05/2023 16:51:12,20,Hombre,4,16.54,Chorrillos,Bus,20,6,1.5,2,6:30:00,2:00:00,1,15,10,4,2
3/05/2023 17:10:47,19,Mujer,2,15.54,San Juan de Miraflores,Bus,85,5,3.5,5.2,9:30:00,16:00:00,0,33,18,4,1.25
3/05/2023 17:12:32,20,Mujer,4,14.370000000000001,El agustino,Bus,18.2,6,2,4,6:20:00,2:00:00,3,20,15,3,2
3/05/2023 17:21:10,20,Hombre,3,15.450000000000001,San Juan de Miraflores,Bus,40,6,2,4,6:00:00,8:00:00,2,20,12,3,2
3/05/2023 17:27:41,18,Hombre,2,17.67,Los Olivos,Bus,125,6,3.2,6.5,9:00:00,16:30:00,3,0,0,1.5,1
3/05/2023 17:29:29,19,Hombre,2,15.239999999999998,San Juan de Miraflores,Bus,120,4,7,9,5:30:00,21:00:00,1,24,10,2,1.5
3/05/2023 17:30:16,18,Mujer,4,14.55,La Victoria,Bus,30,6,2,3,7:20:00,4:00:00,2,15,10,3,2
3/05/2023 17:35:11,21,Hombre,4,17.45,La molina,Metropolitano,50,5,2,3,7:00:00,8:00:00,2,20,15,3,2
3/05/2023 17:42:53,20,Mujer,3,13.34,Santiago de Surco,Bus,15,7,2,5,9:00:00,4:00:00,1,12,10,6,4
3/05/2023 17:44:53,19,Mujer,3,14.870000000000001,Santa Anita,Colectivo,115,8,3.5,4.2,9:00:00,19:30:00,10 a más,0,0,2.6,1.1
3/05/2023 17:47:54,19,Hombre,3,15.11,Carabayllo,Bus,155,5,4.7,8.2,5:00:00,14:30:00,10 a más,45,25,3.7,1.5
3/05/2023 17:53:55,18,Hombre,3,15.39,San Luis,Bus,50,7,1.5,3.5,7:30:00,18:00:00,2,0,0,1.5,1
3/05/2023 17:54:13,19,Hombre,4,15.65,Independencia,Metropolitano,35,6,3,4,7:00:00,7:00:00,1,15,10,4,2
3/05/2023 18:04:56,20,Hombre,8,17.650000000000002,Villa Maria del Triunfo,Bus,45,5,3,8,5:00:00,11:00:00,2,60,20,3,1
3/05/2023 18:07:27,20,Mujer,3,13.56,Santiago de Surco,Bus,20,6,1.5,2,7:30:00,5:00:00,2,15,10,3,2
3/05/2023 18:14:10,18,Mujer,4,15.76,Barranco,Bus,15,7,1,1.5,8:00:00,3:00:00,1,12,10,1.5,1
3/05/2023 18:17:19,24,Mujer,5,16.4,Chorrillos,Bus,25,7,2,3,6:30:00,13:00:00,1,40,25,2,1
3/05/2023 18:48:00,18,Hombre,3,12.96,La molina,Bus,60,6,1.25,2.25,6:00:00,13:00:00,5,0,0,2.5,1.5
3/05/2023 18:50:01,21,Hombre,6,13.82,Lince,Bus,45,7,2.2,15,8:15:00,22:00:00,4,18,12,3.5,1
3/05/2023 19:08:15,22,Mujer,8,15,Barranco,Caminando,12,7,0,0,8:30:00,12:00:00,0,50,15,2,1
3/05/2023 19:12:04,21,Hombre,7,19.5,San Juan de Miraflores,Bus,40,4.5,2.5,4,10:00:00,18:00:00,2,40,10,4,1
3/05/2023 19:25:46,18,Hombre,3,11.97,La molina,Metropolitano,55,5,1.25,2.25,5:55:00,12:50:00,7,0,0,2.5,1
3/05/2023 21:17:15,19,Mujer,4,16,Independencia,Metropolitano,120,6,1.25,5,8:15:00,9:00:00,0,10,5,5,2
3/05/2023 21:20:40,20,Mujer,2,14.6,Puente piedra,Metropolitano,140,5,9,10,2:30:00,7:15:00,6,5,4,3,2
3/05/2023 22:23:35,19,Mujer,4,14.3,Chaclacayo,Metropolitano,150,6,8,32.5,5:00:00,4:00:00,5,32.5,22,2.5,1
4/05/2023 9:30:15,18,Mujer,2,15,Carabayllo,Metropolitano,110,5,6,8,7:00:00,16:00:00,2,9,6,3,2
4/05/2023 22:46:26,19,Hombre,4,13.5,La molina,Bus,50,5,1.25,2.25,5:55:00,14:00:00,5,0,0,3,1.25
4/05/2023 22:57:18,17,Hombre,3,12.8,Ate,Bus,70,7,2.25,2.25,5:30:00,15:00:00,4,0,0,2.5,1.5
5/05/2023 6:47:52,20,Hombre,2,19.99,San Juan de Miraflores,Metropolitano,10,2,2,50,5:00:00,4:00:00,10 a más,150,50,5,1
5/05/2023 15:13:37,19,Mujer,4,15,Jesús maría,Bus,45,6,3,5,8:00:00,7:00:00,3,23,15,4,1.7
5/05/2023 18:00:30,18,Mujer,3,14.5,Villa el Salvador,Bus,120,6,5,19,8:00:00,10:00:00,10 a más,26,16,3.7,1.9
