periodo;fproceso;anio_ing;id_df;distrito_fiscal;tipo_fiscalia;materia;especialidad;tipo_caso;sistema;tipo_especializada;ingresado;atendido
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;198;197
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;365;365
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;909;903
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;112;111
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;32;32
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;6;6
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;118;117
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;88;88
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;681;646
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;21;20
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;24;24
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;120;120
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;306;306
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;3;3
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;26;26
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;30;19
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;74;72
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;16;16
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;2010;1843
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;54;43
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;333;319
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;384;326
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;126;119
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;1060;680
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;243;221
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;82;63
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;21;17
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;205;190
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;38;34
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;166;164
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;13;9
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;57;54
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;14222;13587
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;3;1
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;139;116
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;18;18
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;415;415
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;;237;221
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;980;970
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;39;39
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;55;55
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;12;11
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;1;1
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;53;53
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;398;379
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;5;4
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;12;12
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;96;95
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;10;9
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;183;169
01/01/2018 - 31/12/2018;11/01/2019;2018;03;APURIMAC;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;34;30
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;5446;5360
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;58;53
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;1448;1402
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;821;773
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;237;233
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;489;452
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;265;246
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;11;10
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;1;1
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;452;424
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;125;120
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;03 ESPECIALIZADA EN DELITOS DE LAVADO DE ACTIVOS Y PERDIDA DE DOMINIO;101;100
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;205;195
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;60625;45502
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;30;29
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;137;129
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;591;591
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;;83;72
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;3349;2348
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;281;258
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;52;52
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;28;25
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;805;732
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;1634;1633
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;52;51
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;78;73
01/01/2018 - 31/12/2018;11/01/2019;2018;04;AREQUIPA;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;4;4
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;663;611
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;35;31
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;349;299
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;552;472
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;263;243
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;303;246
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;206;184
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;151;141
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;3;2
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;577;551
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;98;98
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;187;182
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;17;17
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;502;494
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;17 PENAL SUPRAPROVINCIAL;2;2
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;20156;18078
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;5;5
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;4;4
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;17 PENAL SUPRAPROVINCIAL;2;2
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;211;163
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;59;59
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;634;623
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;;137;127
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;317;316
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;90;90
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;12;11
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;5;5
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;44;44
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;81;81
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;718;715
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;273;273
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;30;30
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;195;195
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;24;24
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;312;308
01/01/2018 - 31/12/2018;11/01/2019;2018;05;AYACUCHO;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;32;32
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;3973;3854
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;115;114
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;1012;987
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;621;599
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;184;181
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;1116;1083
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;180;180
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;126;125
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;312;304
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;22;22
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;63;63
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;20360;19881
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;25;20
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;71;71
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;467;467
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;;753;749
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;1437;1426
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;9;9
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;20;19
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;17;16
01/01/2018 - 31/12/2018;11/01/2019;2018;06;CAJAMARCA;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;53;53
