Ciclo,Inicio_consumo,Cant_cursos,Bebida,cafeina_mg,Consumo_dia,desp_con_bebida,dormido_con_bebida,dormido_sin_bebida,Consumo_1_5,Consumo_6_10,Consumo_11_16,Nota_Promedio,Ranking,Incio_horas_consumo,Creeencia_de_Efectividad
2,2,6,Cafe,NA,0.5,3,6,8,5,6,5,14,QUINTO SUPERIOR,21,No estoy seguro
3,1,7,Volt,103,0.31,2,7,7,3.1,1.24,0.62,NA,QUINTO SUPERIOR,18,No
7,7,5,NA,NA,0.5,2,6,7,3.5,3.5,3.5,13.7,Ninguno de ellos,7,No
6,1,6,Monster Energy Drink,290,1,4,7,7,4,5,5,15.4,TERCIO SUPERIOR,6,No estoy seguro
2,1,7,Cafe,30,0.25,2,5,7,2,2.5,3,16,Ninguno de ellos,7,No
5,1,5,Cafe,NA,NA,2,7,8,1.75,8,7,14,Ninguno de ellos,17,No
5,1,5,Red Bull,300,0.5,4,4,6,4,6,4,15.52,TERCIO SUPERIOR,21,No estoy seguro
2,1,7,Cafe,64,0.5,4,4,8,2,3,3,16.55,QUINTO SUPERIOR,22,No estoy seguro
5,2,7,Cafe,100,0.8,3,3,6,2,4.5,5,14.77,QUINTO SUPERIOR,22,si
3,3,5,Cafe,NA,1,4,6,9,4,5,7,NA,Ninguno de ellos,20,No estoy seguro
3,2,7,Volt,103,0.5,4,3,8,4,4,9,15.65,Ninguno de ellos,18,No estoy seguro
4,1,7,C4 Ultimate,300,1,3,4,7,6,6,6,18.77,DECIMO SUPERIOR,07,No
5,4,5,Volt,103,1,2,5,8,1,3,4,15,QUINTO SUPERIOR,22,No estoy seguro
4,4,6,Cafe,7,0.25,1,5,7,4,4,4,NA,DECIMO SUPERIOR,9,No estoy seguro
2,2,6,Volt,103,1,6,1,6,NA,NA,NA,NA,Ninguno de ellos,21,si
7,1,5,Cafe,NA,0.5,2,6,8,2,2,2,13,Ninguno de ellos,22,No
3,3,7,No Consumo,NA,NA,NA,7,7,NA,NA,NA,15.42,Ninguno de ellos,0,No
4,1,6,Cafe,NA,0.4,3,9,7,2.5,4,3,12,Ninguno de ellos,21,No estoy seguro
2,1,7,Cafe,100,1,8,1,3,1,1,1,15.2,TERCIO SUPERIOR,2,No
3,2,7,Cafe,400,0.3,2,7,9,3,5,0.5,14,Ninguno de ellos,8,No
7,3,6,Cafe,40,1,2,6,8,1.75,7,7,14.48,Ninguno de ellos,8,si
3,1,8,Volt,103,NA,5,4,6,5,7,1.1,15,DECIMO SUPERIOR,20,No estoy seguro
9,7,3,Cafe,NA,1,2,6,6,3.6,3.6,4,15,DECIMO SUPERIOR,17,No estoy seguro
5,4,6,Cafe,100,0.9,5,5,8,4.5,8.5,3,18,DECIMO SUPERIOR,19,si
3,3,6,Cafe,10,0.5,1,7,7,NA,NA,NA,18.03,DECIMO SUPERIOR,20,No estoy seguro
3,2,6,Cafe,100,0.25,2,7,7,1,1.5,1.5,13.950000000000001,Ninguno de ellos,8,si
3,1,8,NA,NA,1,3,4,10,1.75,8,8,12,Ninguno de ellos,22,No estoy seguro
3,1,6,Monster Energy Drink,290,NA,4,2,9,NA,NA,2,13.350000000000001,Ninguno de ellos,22,si
3,2,5,Cafe,20,0.01,5,3,7,1,2,2,16,QUINTO SUPERIOR,18,No estoy seguro
2,1,7,No Consumo,NA,NA,NA,NA,8,NA,NA,NA,17.04,QUINTO SUPERIOR,0,No
3,1,6,Monster Energy Drink,290,0.4,12,3,6,2,2,2,14,Ninguno de ellos,20,si
5,1,5,Cafe,24,0.473,5,2,3,NA,4.73,0.946,18.58,DECIMO SUPERIOR,2,No estoy seguro
4,3,6,Volt,103,0.7,3,6,9,0.5,0.8,0.8,17.459999999999997,DECIMO SUPERIOR,22,si
5,4,6,Monster Energy Drink,290,0.23,2,4,6,0.805,1.1500000000000001,1.84,16.05,QUINTO SUPERIOR,8,si
4,2,7,Cafe,13.9,0.69,NA,7,7,4,6.44,6.44,17.759999999999998,QUINTO SUPERIOR,22,No
3,1,6,No Consumo,NA,NA,NA,NA,NA,NA,NA,NA,19.55,DECIMO SUPERIOR,0,No
7,2,5,Volt,103,0.23,4,6,8,0.23,0.46,0.69,9.25,Ninguno de ellos,21,No estoy seguro
5,2,5,Volt,103,0.23,4,9,6,1,NA,NA,16,QUINTO SUPERIOR,20,No estoy seguro
3,1,5,Cafe,41.7,0.46,3,8,10,4.6,4.6,9,13,Ninguno de ellos,9,No
2,1,6,Cafe,13.9,0.23,NA,8,8,1.1500000000000001,1.1500000000000001,1.61,17,QUINTO SUPERIOR,8,No
3,1,7,Cafe,10.425,0.345,2,7,9,2.4149999999999996,2.4149999999999996,2.4149999999999996,NA,Ninguno de ellos,7,No estoy seguro
2,1,4,Red Bull,300,0.5,2,8,8,3,2,2,13,Ninguno de ellos,12,No
7,4,5,Cafe,69.5,0.345,4,4,6,8.8,8.3,10.1,7,Ninguno de ellos,16,No estoy seguro
4,4,8,Cafe,20.85,0.23,1,5,7,NA,0.23,0.69,14.03,Ninguno de ellos,20,No estoy seguro
3,1,4,Volt,103,0.36,3,5,7,0.36,0.36,0.36,13,Ninguno de ellos,14,No
3,1,4,Volt,103,1,3,6,9,5,8,2.4,13,Ninguno de ellos,22,No estoy seguro
2,1,6,No Consumo,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERCIO SUPERIOR,0,No
7,1,6,Cafe,NA,0.23,2,7,8,5.75,5.75,5.75,13,Ninguno de ellos,8,No estoy seguro
2,1,NA,Red Bull,300,0.5,2,6,8,2,2,2,15,Ninguno de ellos,16,No estoy seguro
5,1,5,Cafe,13.9,0.23,3,2,5,1.84,2.7600000000000002,3.4499999999999997,11.29,TERCIO SUPERIOR,10,No
2,1,7,Cafe,41.7,0.46,4,4,7,0.69,0.69,0.69,14,Ninguno de ellos,23,No estoy seguro
7,10,7,Cafe,27.8,0.25,1,6,7,6.4,NA,56.349999999999994,13.6,Ninguno de ellos,10,si
2,1,6,Cafe,50,0.5,NA,8,8,1.75,1.75,1.75,NA,Ninguno de ellos,8,No estoy seguro
2,1,7,Cafe,20,0.23,2,4,6,6.9,8,1,16.4,TERCIO SUPERIOR,23,No estoy seguro
4,2,7,Cafe,5,0.46,2,4,6,2,2,2,16,TERCIO SUPERIOR,23,si
5,1,5,No Consumo,NA,NA,NA,NA,7,NA,NA,NA,15.03,DECIMO SUPERIOR,0,No
2,3,3,Cafe,NA,0.23,5,4,8,0.46,1.3800000000000001,2.07,15,Ninguno de ellos,3,No
4,4,7,No Consumo,NA,NA,4,6,8,NA,NA,NA,15,TERCIO SUPERIOR,21,No estoy seguro
3,1,5,No Consumo,NA,NA,NA,9,9,NA,NA,NA,16.979999999999997,DECIMO SUPERIOR,0,No
7,1,5,Cafe,13.9,NA,3,4,7,0.23,0.23,0.23,13,Ninguno de ellos,0,No
3,1,7,Cafe,69.5,NA,20,5,7,3.6,4,3,11,Ninguno de ellos,9,No estoy seguro
3,2,5,Cafe,20.8,0.23,4,3,7,2.07,2.57,2.3,15,Ninguno de ellos,20,No estoy seguro
4,3,8,Supernova,180,1,4,5,8,2,3,3,NA,Ninguno de ellos,10,No estoy seguro
3,1,5,Cafe,40,1.46,2,5,8,9.2,6.359999999999999,7.359999999999999,12,Ninguno de ellos,7,No estoy seguro
3,1,6,Cafe,13.9,0.46,2,6,8,2.3,3.4499999999999997,4.6,15.229999999999999,Ninguno de ellos,10,No
3,1,6,Monster Energy Drink,290,NA,3,3,5,NA,4.73,0.473,16,QUINTO SUPERIOR,20,si
7,6,6,Cafe,10,0.4,2,8,8,2,2,2,15.6,TERCIO SUPERIOR,21,No estoy seguro
7,7,5,No Consumo,NA,NA,NA,NA,8,NA,NA,NA,NA,TERCIO SUPERIOR,0,No
6,1,5,No Consumo,NA,NA,NA,NA,NA,NA,NA,NA,14.65,TERCIO SUPERIOR,0,No
3,10,NA,No Consumo,NA,NA,NA,NA,NA,NA,NA,NA,NA,DECIMO SUPERIOR,0,No
3,1,6,Cafe,1,1,1,7,8,NA,1,NA,NA,QUINTO SUPERIOR,16,No estoy seguro
5,1,5,Volt,103,0.14,3,6,10,0.08,0.17,0.21000000000000002,NA,DECIMO SUPERIOR,22,No estoy seguro
7,2,7,Cafe,20,0.5,4,3,7,0.5,0.8,0.2,NA,TERCIO SUPERIOR,17,si
5,3,6,Cafe,27.8,0.23,2,4,6,0.805,1.1500000000000001,1.61,16.55,QUINTO SUPERIOR,22,No estoy seguro
4,4,6,No Consumo,35,NA,2,6,7,0.6,1,1.5,14.7,TERCIO SUPERIOR,17,No estoy seguro
2,1,6,Cafe,27.8,NA,4,5,5,2.898,3,8.5,16,TERCIO SUPERIOR,20,si
2,4,6,No Consumo,NA,0.1,1,6,6,NA,1.46,NA,16.779999999999998,TERCIO SUPERIOR,6,No
5,1,4,Cafe,27.8,0.23,1,6,7,3.4499999999999997,3.4499999999999997,4.14,14,Ninguno de ellos,8,No estoy seguro
2,2,6,Monster Energy Drink,290,0.5,5,7,7,2,3,3,15.2,TERCIO SUPERIOR,8,No estoy seguro
8,3,4,No Consumo,NA,0.1,NA,7,7,0.23,0.23,0.23,15,Ninguno de ellos,15,No
7,1,6,Red Bull,300,0.25,NA,8,8,2.5,2.5,2.5,13.2,Ninguno de ellos,7,si
9,6,6,Cafe,25,0.23,2,6,8,1,1,1,NA,DECIMO SUPERIOR,20,si
4,1,6,Cafe,47,0.25,3,4,3,8.05,6.44,6.44,15.67,TERCIO SUPERIOR,8,No
4,1,7,Cafe,41.7,0.46,3,4,8,3.22,3.22,3.22,15.17,Ninguno de ellos,12,No
4,4,4,No Consumo,NA,0.25,2,8,8,1,1,1,13.2,Ninguno de ellos,8,No estoy seguro
2,2,5,Cafe,27.8,0.46,2,7,7,4.6,5.06,5.06,14.350000000000001,Ninguno de ellos,19,No estoy seguro
3,1,5,No Consumo,NA,NA,2,8,8,1,1,1,14,Ninguno de ellos,16,No
2,1,6,Cafe,39,NA,4,6,8,4.6,NA,NA,17.74,DECIMO SUPERIOR,4,No
4,1,8,Cafe,35,0.46,3,4,6,0.42,3,4,14.89,TERCIO SUPERIOR,18,No estoy seguro
2,1,6,Monster Energy Drink,290,0.23,3,4,7,0.56,0.45,0.33999999999999997,14.5,TERCIO SUPERIOR,20,No estoy seguro
4,1,6,Red Bull,300,0.1,3,4,8,0.25,0.75,0.75,17,QUINTO SUPERIOR,20,No estoy seguro
1,1,7,Cafe,NA,0.46,3,5,7,0.69,1.3800000000000001,1.3800000000000001,17.5,TERCIO SUPERIOR,17,No estoy seguro
2,1,7,Cafe,27.8,1.5,2,7,7,1.5,2,2,15.9,Ninguno de ellos,10,No estoy seguro
2,1,7,No Consumo,NA,NA,NA,6,8,6,5,7,14.8,QUINTO SUPERIOR,20,No
2,1,7,No Consumo,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERCIO SUPERIOR,0,No
3,1,6,Cafe,15,0.5,4,8,8,2,2,2,15,DECIMO SUPERIOR,11,No estoy seguro
2,1,7,Cafe,27.8,1.5,2,7,7,5,4,5,15.9,Ninguno de ellos,22,No estoy seguro
6,1,6,Cafe,15,0.4,2,5,5,1.5,2,1.5,17.4,DECIMO SUPERIOR,8,No estoy seguro
6,7,6,No Consumo,NA,NA,NA,NA,6,NA,NA,NA,18.32,DECIMO SUPERIOR,0,No
5,1,5,Cafe,27.8,0.46,5,3,5,2,3,2,18.3,DECIMO SUPERIOR,22,No estoy seguro
4,4,7,Red Bull,300,NA,3,9,7,5,8,8,14.2,Ninguno de ellos,22,No estoy seguro
5,5,7,Cafe,13.9,0.23,3,7,9,0.23,0.69,0.69,16.7,DECIMO SUPERIOR,8,No estoy seguro
3,2,6,Volt,103,0.5,4,3,8,4,6,4,17.150000000000002,TERCIO SUPERIOR,23,si
