Edad,Genero,Carrera,Realizacion_actividad_extra,Tipo_actividad_extra,Deportivas,Recreacionales,Acad√©micas,Trabajo,Cantidad_actividad_extra,Tiempo_semanal_actividad,Influencia_actividad,Facilidad_actividad,Promedio_2022.2,Facilidades_UTEC,Ninguna,Instalaciones,Horarios flexibles,Becas,Cursos_2022.2
19,Femenino,Ingenier√≠a Industrial,No,,No,No,No,No,,,,,15.98,,No,No,No,No,10
19,Masculino,Ingenier√≠a Ambiental,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,2,3,1,4,"13,78",Ninguna,SÌ,No,No,No,3
18,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Trabajo",SÌ,No,SÌ,SÌ,3,4,1,1,8,Ninguna,SÌ,No,No,No,1
19,Masculino,Ciencia de Datos,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Trabajo",No,No,SÌ,SÌ,2,4,2,4,16,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
18,Masculino,Ciencia de Datos,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,3,17,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
21,Masculino,Ingenier√≠a Civil,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,10,2,3,16,Ninguna,SÌ,No,No,No,3
17,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,2,2.5,1,3,17.89,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,8
21,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,3,2,3,15,Ninguna,SÌ,No,No,No,6
19,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,2,6,1,3,16,Ninguna,SÌ,No,No,No,1
18,Femenino,Ciencia de Datos,No,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2.5,1,3,14.76,Ninguna,SÌ,No,No,No,6
18,Femenino,Ingenier√≠a Mec√°nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,No,SÌ,2,"1,5",2,3,13,Ninguna,SÌ,No,No,No,9
18,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,2,"2,5",2,2,15,Ninguna,SÌ,No,No,No,5
18,Femenino,Ciencia de la Computaci√≥n,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,10,2,2,17,Ninguna,SÌ,No,No,No,1
17,Masculino,Ingenier√≠a Ambiental,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,2,4,15.89,Ninguna,SÌ,No,No,No,5
18,Masculino,Ciencia de Datos,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,3,2,3,17,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,7
18,Femenino,Ingenier√≠a Mecatr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,2,3,2,16,Ninguna,SÌ,No,No,No,5
,Femenino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,3h,1,3,15,"Me brinda becas por la actividad extracurricular que hago, Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias",No,No,SÌ,SÌ,6
20,Masculino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,3,5,2,4,16,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,4
22,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,2,3,17,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,4
18,Femenino,Ciencia de la Computaci√≥n,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,SÌ,No,3,18,1,3,16,Ninguna,SÌ,No,No,No,8
19,Masculino,Ingenier√≠a Ambiental,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,2,6,1,4,13.78,Ninguna,SÌ,No,No,No,6
20,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,SÌ,No,3,10,1,3,13.23,Ninguna,SÌ,No,No,No,6
18,Masculino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,4,"16,97",Ninguna,SÌ,No,No,No,6
19,Femenino,Ingenier√≠a Ambiental,No,,No,No,No,No,,,,,17,,No,No,No,No,5
17,Femenino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,SÌ,SÌ,5,3.5,1,3,16,Ninguna,SÌ,No,No,No,6
18,Femenino,Ingenier√≠a Ambiental,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,1,2,2,"15,89",Ninguna,SÌ,No,No,No,6
17,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,5,2.5,1,3,17.89,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
18,Masculino,Ingenier√≠a Industrial,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Trabajo",SÌ,No,SÌ,SÌ,3,5,3,1,8,Ninguna,SÌ,No,No,No,6
17,Femenino,Ingenier√≠a Ambiental,No,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,1,2,2,"15,89",Ninguna,SÌ,No,No,No,6
19,Femenino,Ingenier√≠a Industrial,No,,No,No,No,No,0,0,1,1,15,Ninguna,SÌ,No,No,No,7
19,Femenino,Ingenier√≠a Industrial,No,,No,No,No,No,,,,,15.45,,No,No,No,No,
,,,No,,No,No,No,No,,,,,11.76,,No,No,No,No,
18,Masculino,Ciencia de Datos,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,4,2,3,17,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,7
18,Femenino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,3,2,13.63,Ninguna,SÌ,No,No,No,5
17,Masculino,Ingenier√≠a Mecatr√≥nica,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,"7,5",2,4,"16,42",Ninguna,SÌ,No,No,No,6
,Masculino,Ingenier√≠a Qu√≠mica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,2,4,1,4,19,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
20,Masculino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,8,1,5,14.3,Ninguna,SÌ,No,No,No,6
18,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,4,13,2,2,"15,47",Ninguna,SÌ,No,No,No,6
19,Femenino,Bioingenier√≠a,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,4,3,2,4,"14,75",Ninguna,SÌ,No,No,No,5
17,Femenino,Administraci√≥n y Negocios Digitales,No,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,No,No,No,3,3,2,3,Estoy en 1er ciclo ,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,Ninguno
18,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,2,2,15,Ninguna,SÌ,No,No,No,6
20,Femenino,Ingenier√≠a Ambiental,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,8,2,2,"13,52",Ninguna,SÌ,No,No,No,5
20,Femenino,Ingenier√≠a Ambiental,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,8,2,1,14.83,Ninguna,SÌ,No,No,No,6
20,Femenino,Ingenier√≠a Ambiental,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,8,2,3,16.46,Ninguna,SÌ,No,No,No,6
19,Femenino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,3,"13,35",Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
20,Femenino,Ingenier√≠a Ambiental,S√≠,Trabajo,No,No,No,SÌ,2,20,3,3,"14,5",Ninguna,SÌ,No,No,No,5
18,Femenino,Ingenier√≠a Mec√°nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,3,2,3,14,Ninguna,SÌ,No,No,No,5
23,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,2.5,3,3,15.7,Ninguna,SÌ,No,No,No,5
18,Masculino,Ingenier√≠a Electr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,3,3,2,2,"15,5",Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,5
22,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,2,8,2,3,16,Ninguna,SÌ,No,No,No,6
19,Femenino,Ingenier√≠a Civil,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,3,1,3,"12,93",Ninguna,SÌ,No,No,No,6
19,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,2,1,16,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,7
18,Femenino,Ingenier√≠a Qu√≠mica,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,SÌ,SÌ,3,10,1,3,17,Ninguna,SÌ,No,No,No,5
21,Femenino,Bioingenier√≠a,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,8,1,3,"15,5",Ninguna,SÌ,No,No,No,6
18,Masculino,Ingenier√≠a Electr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,3,5,3,3,"15,3",Ninguna,SÌ,No,No,No,6
21,Masculino,Ingenier√≠a Qu√≠mica,S√≠,Trabajo,No,No,No,SÌ,1,5,1,3,15,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
19,Femenino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,7,1,3,"15,07",Ninguna,SÌ,No,No,No,6
20,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,4,12,Me brinda becas por la actividad extracurricular que hago,No,No,No,SÌ,5
18,Femenino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,9,1,4,14.84,Ninguna,SÌ,No,No,No,5
17,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,3,5,1,3,13,Ninguna,SÌ,No,No,No,6
23,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,10,1,3,11,Me brinda becas por la actividad extracurricular que hago,No,No,No,SÌ,6
21,Femenino,Ingenier√≠a Qu√≠mica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Trabajo",SÌ,No,No,SÌ,2,6,1,4,"14,75","Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,No,6
18,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,3,2,5,"14,5","Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,No,6
20,Masculino,Ingenier√≠a Mec√°nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,3,1,4,17.5,Me brinda becas por la actividad extracurricular que hago,No,No,No,SÌ,5
19,Masculino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,1,6,1,1,16.4,Ninguna,SÌ,No,No,No,7
18,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,5,5,3,3,16,Ninguna,SÌ,No,No,No,8
18,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,1,,"15,64",,No,No,No,No,6
20,Masculino,Ingenier√≠a Civil,S√≠,Trabajo,No,No,No,SÌ,1,5,2,4,16,Ninguna,SÌ,No,No,No,5
21,Masculino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,6,1,3,17,Ninguna,SÌ,No,No,No,3
20,Masculino,Bioingenier√≠a,S√≠,Trabajo,No,No,No,SÌ,2,7,2,2,16.8,Ninguna,SÌ,No,No,No,5
17,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,1,1,14,Ninguna,SÌ,No,No,No,7
18,Masculino,Ingenier√≠a de la Energ√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,10,1,2,"16,5",Ninguna,SÌ,No,No,No,6
18,Masculino,Bioingenier√≠a,No,,No,No,No,No,,,,,"16,9",,No,No,No,No,5
18,Masculino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,,,,,17.87,,No,No,No,No,6
21,Masculino,Ingenier√≠a Mec√°nica,No,,No,No,No,No,0,0,1,5,18,Ninguna,SÌ,No,No,No,5
17,Masculino,Administraci√≥n y Negocios Digitales,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,3,20.5,1,4,17.2,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
18,Femenino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,SÌ,SÌ,4,5,2,3,16,"Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,No,6
17,Femenino,Bioingenier√≠a,No,,No,No,No,No,0,,3,1,No estuve ,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,colegio
17,Otro,Bioingenier√≠a,No,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,2,2,3,No estuve ,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,No estuve 
19,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,2,3,11,,No,No,No,No,5
,,,No,,No,No,No,No,,,,,14,,No,No,No,No,
18,Masculino,Ingenier√≠a Civil,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,,,,,14,,No,No,No,No,7
23,Femenino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Trabajo",SÌ,No,No,SÌ,2,6,2,3,14.8,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
18,Masculino,Ciencia de la Computaci√≥n,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,No,SÌ,3,30,1,5,11,Ninguna,SÌ,No,No,No,4
25,Masculino,Ingenier√≠a Mec√°nica,S√≠,Trabajo,No,No,No,SÌ,1,32,2,3,12,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,1
19,Masculino,Ingenier√≠a Industrial,No,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,2,2,3,16,"Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Ninguna",SÌ,No,SÌ,No,3
18,Femenino,Ingenier√≠a Civil,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,10,1,3,16.75,Ninguna,SÌ,No,No,No,7
21,Masculino,Bioingenier√≠a,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica)",SÌ,No,SÌ,No,2,7,1,3,18.2,Ninguna,SÌ,No,No,No,6
993709676,Femenino,Bioingenier√≠a,S√≠,"Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,SÌ,No,3,"2,5",2,4,15.9,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,6
17,Masculino,Ingenier√≠a Qu√≠mica,No,,No,No,No,No,0,0,2,3,Estoy en mi primer ciclo ,Ninguna,SÌ,No,No,No,0
22,Masculino,Bioingenier√≠a,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,4,1,4,14.89,Ninguna,SÌ,No,No,No,5
17,Femenino,Bioingenier√≠a,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,1,2 horas ,3,3,12.38,Ninguna,SÌ,No,No,No,6
18,Masculino,Ingenier√≠a Electr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,SÌ,No,4,40,3,3,15,Ninguna,SÌ,No,No,No,6
21,Femenino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",SÌ,SÌ,SÌ,SÌ,4,40,2,5,15.63,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,6
18,Masculino,Ciencia de Datos,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,1,7,1,5,13.89,Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias,No,No,SÌ,No,10
21,Masculino,Ingenier√≠a Industrial,No,Trabajo,No,No,No,SÌ,1,5,2,3,11.3,Ninguna,SÌ,No,No,No,4
21,Otro,Ingenier√≠a Electr√≥nica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,3,6,2,4,12.94,"Cuenta con horarios flexibles para realizar mis actividades extracurriculares y mis actividades universitarias, Me brinda instalaciones adecuadas para mi actividad extracurricular",No,SÌ,SÌ,No,4
21,Femenino,Ingenier√≠a Civil,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,4,1,4,16,Me brinda instalaciones adecuadas para mi actividad extracurricular,No,SÌ,No,No,3
21,Masculino,Ingenier√≠a Mecatr√≥nica,S√≠,Trabajo,No,No,No,SÌ,1,8,2,3,14,Ninguna,SÌ,No,No,No,4
20,Masculino,Bioingenier√≠a,No,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,4,2,4,14.2,Ninguna,SÌ,No,No,No,6
