Marca temporal,Puntuación,1. ¿Cuál es tu edad?,2. ¿Cuál es tu género?,3. ¿Cuál es tu carrera?,4. ¿En qué ciclo de estudio te encuentras?,5. ¿Cuál es tu peso actual(kg)?,6. ¿Cuál es tu estatura (cm)?,7. ¿Cuántas horas de actividad física realizas a la semana?,8. ¿Cuántas veces a la semana  consumes comidas rápidas?,9. ¿Cuál es tu horario de almuerzo en un día laborable (días de clase)?,10. ¿Cuánto tiempo dedicas a almorzar?,11. ¿Qué tipo de comida consumes con mayor frecuencia a la semana? ,12. Con respecto a la pregunta anterior. ¿A qué se debe esa preferencia a este tipo de comida?,13. ¿Cuál es el alimento con el mayor consumo semanal?,14. ¿Cuántos litros de agua bebes al día?,15. ¿Consideras que tienes acceso a opciones de alimentos saludables en el campus universitario?,16.¿Cuánto dinero en soles aproximadamente gastas en comidas no saludables a la semana?,17. ¿Cuál es tu promedio ponderado en el último semestre/periodo académico?,18. ¿Qué tan satisfecho/a estás con tu rendimiento académico en general?,19. ¿Crees que tu alimentación afecta tu rendimiento académico?
26/04/2023 9:31:16,,21,Femenino,Ing. Industrial,6,70,160,2,3,13 horas,30,Comida rápida/chatarra,Tiempo empleado,Carbohidratos,2,Sí,50,17.83,Neutral,Sí
26/04/2023 9:54:51,,19,Femenino,Ing. Ambiental,2,54,158,0,1,14 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,2.5,No,30,14,Poco satisfecho,Sí
26/04/2023 10:43:27,,19,Masculino,Ciencia de datos,5,70,169,4,2,13 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,2,Sí,80,14,Neutral,Sí
26/04/2023 11:02:39,,18,Femenino,Bioingenería,5,50,158,6,1,15 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,20,13,Nada satisfecho,Sí
26/04/2023 11:42:24,,18,Masculino,Ing. Mecatrónica,2,60,170,2,1,13 horas,15,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,30,13.25,Neutral,No
26/04/2023 12:01:51,,19,Femenino,Ing. Ambiental,4,48,155,0,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,1.5,No,5,14,Poco satisfecho,Sí
26/04/2023 13:45:22,,19,Femenino,Bioingenería,5,46,155,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,15,Satisfecho,Sí
26/04/2023 15:06:42,,18,Femenino,Ciencias de la computación,3,70,170,6,1,13 horas,20,Comida de restaurante,Situación económica,Carbohidratos,1.5,Sí,10,16,Neutral,Sí
26/04/2023 15:57:08,,20,Masculino,Bioingenería,6,60,175,6,3,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,No,15,13,Neutral,Sí
26/04/2023 16:41:56,,19,Masculino,Ing. Mecatrónica,2,80,172,3,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,11,Neutral,Sí
26/04/2023 18:09:09,,23,Femenino,Ing. Ambiental,4,49,155,1,1,13 horas,20,Comida preparada en casa,Tiempo empleado,Frutas y Verduras,2,Sí,1,15.67,Neutral,Sí
26/04/2023 18:22:22,,24,Masculino,Ing. Mecatrónica,6,69,165,1,3,13 horas,20,Comida preparada en casa,Tiempo empleado,Carbohidratos,1.5,No,30,14,Neutral,Sí
27/04/2023 9:55:19,,20,Femenino,Ing. Ambiental,4,57,154,0,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,No,5,14.3,Neutral,No
27/04/2023 14:01:57,,19,Femenino,Ing. Ambiental,4,60,160,1,2,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,Sí,60,16,Satisfecho,Sí
27/04/2023 17:22:18,,19,Masculino,Ing. Mecatrónica,3,80,162,2,1,13 horas,35,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,12,14,Neutral,No
27/04/2023 17:31:51,,18,Masculino,Ing. Industrial,4,51,161,0,1,13 horas,60,Comida de restaurante,Tiempo empleado,Carbohidratos,2,No,60,15,Neutral,Sí
27/04/2023 17:40:05,,18,Masculino,Ing. Mecatrónica,3,54,167,4,1,13 horas,30,Comida preparada en casa,Tiempo empleado,Carbohidratos,3,No,40,15,Satisfecho,Sí
27/04/2023 17:40:59,,19,Masculino,Ing. Electrónica,4,55,162,0,2,13 horas,30,Comida de restaurante,Tiempo empleado,Grasas,1.5,No,50,15,Neutral,Sí
27/04/2023 17:55:22,,20,Masculino,Ciencias de la computación,4,80,170,4,4,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,14.22,Neutral,Sí
27/04/2023 18:14:50,,18,Masculino,Ciencias de la computación,3,78,173,6,2,13 horas,40,Comida de restaurante,Tiempo empleado,Proteínas,2.5,Sí,15,17,Satisfecho,No
27/04/2023 18:20:16,,18,Masculino,Ing. Civil,3,69,171,0,3,13 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,2.5,No,10,18,Satisfecho,No
27/04/2023 18:33:39,,20,Femenino,Ing. Civil,4,52,165,2,3,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,Mas de 3 litros,Sí,20,16.20,Neutral,Sí
27/04/2023 18:35:29,,19,Femenino,Ing. Industrial,4,58,158,2,5,13 horas,15,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,3,Sí,50,18,Muy satisfecho,Sí
27/04/2023 19:25:36,,21,Masculino,Ing. Química,5,52,165,1,2,12 horas,30,Comida de restaurante,Situación económica,Carbohidratos,1,Sí,7,15.45,Poco satisfecho,Sí
27/04/2023 20:05:00,,18,Femenino,Ing. Química,4,50,154,2,3,14 horas,30,Comida rápida/chatarra,Tiempo empleado,Carbohidratos,2,No,20,17,Neutral,Sí
28/04/2023 1:58:16,,18,Masculino,Ing. Electrónica,3,58,167,4,2,12 horas,25,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,5,16,Neutral,Sí
28/04/2023 12:01:57,,18,Femenino,Ing. Ambiental,4,50,154,2,1,12 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,3,No,30,13,Poco satisfecho,Sí
28/04/2023 14:43:20,,18,Femenino,Bioingenería,3,52,165,2,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,Sí,10,17,Satisfecho,Sí
28/04/2023 17:29:01,,19,Femenino,Ing. Industrial,3,45,145,2,2,12 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,Sí,30,14,Satisfecho,Sí
28/04/2023 17:59:52,,20,Femenino,Ing. Mecánica,3,55,153,2,2,12 horas,22,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,1,Sí,12,16,Neutral,Sí
28/04/2023 19:59:32,,19,Masculino,Ing. Civil,4,50,165,5,3,13 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,Mas de 3 litros,Sí,72,18,Muy satisfecho,Sí
28/04/2023 21:51:04,,20,Masculino,Ing. Electrónica,4,76,180,1,1,12 horas,20,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,Mas de 3 litros,Sí,13,13.4,Neutral,Sí
28/04/2023 23:30:12,,18,Femenino,Ing. Industrial,4,62,157,1,1,12 horas,40,Comida preparada en casa,Otros,Proteínas,1.5,No,10,12.34,Neutral,Sí
29/04/2023 15:57:35,,20,Masculino,Ing. Industrial,4,50,162,2,1,13 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,Mas de 3 litros,Sí,3,16.95,Neutral,Sí
30/04/2023 12:59:55,,19,Masculino,Ing. Ambiental,3,100,186,8,1,14 horas,40,Comida de restaurante,Tiempo empleado,Carbohidratos,Mas de 3 litros,Sí,30,14,Poco satisfecho,Sí
30/04/2023 14:57:58,,19,Femenino,Ing. Industrial,2,70,165,5,1,14 horas,25,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,17,Satisfecho,Sí
30/04/2023 16:57:25,,18,Femenino,Ing. Ambiental,2,70,170,10,3,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,20,19,Muy satisfecho,Sí
30/04/2023 17:50:08,,18,Masculino,Ing. Industrial,2,65,172,2,3,12 horas,40,Comida de restaurante,Otros,Proteínas,2,Sí,100,14,Neutral,No
30/04/2023 17:51:50,,20,Femenino,Ing. Industrial,2,70,157,2,2,13 horas,30,Comida de restaurante,Otros,Carbohidratos,2.5,No,20,15,Neutral,Sí
30/04/2023 18:54:31,,22,Masculino,Ing. Mecánica,6,72,179,6,0,14 horas,45,Comida preparada en casa,Tiempo empleado,Proteínas,Mas de 3 litros,No,0,13,Neutral,No
1/05/2023 23:47:04,,19,Femenino,Ing. Civil,4,50,160,3,2,14 horas,20,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,2,Sí,20,13,Satisfecho,Sí
2/05/2023 11:05:14,,21,Masculino,Ciencias de la computación,5,54,165,10,2,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,Sí,20,11,Poco satisfecho,Sí
2/05/2023 13:08:53,,19,Masculino,Ing. Mecánica,5,65,176,3,5,13 horas,60,Comida de restaurante,Tiempo empleado,Grasas,2,Sí,15,14,Neutral,No
2/05/2023 14:26:36,,18,Femenino,Ing. Industrial,2,62,156,0,3,14 horas,60,Comida de restaurante,Situación económica,Carbohidratos,1,No,15,17,Poco satisfecho,Sí
2/05/2023 14:35:28,,20,Femenino,Bioingenería,2,93,169,0,4,13 horas,60,Comida de restaurante,Otros,Carbohidratos,1.5,No,100,14.5,Neutral,Sí
2/05/2023 14:38:31,,23,Masculino,Ing. Química,6,53,167,8,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,1.5,Sí,20,12,Neutral,Sí
2/05/2023 14:50:37,,17,Femenino,Ing. Química,1,60,164,1,2,12 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,2,Sí,11,13,Neutral,No
2/05/2023 14:54:20,,17,Femenino,Bioingenería,1,68,172,0,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1,Sí,50,13,Neutral,Sí
2/05/2023 15:12:29,,20,Masculino,Ciencias de la computación,5,70,161,0,1,12 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,1,Sí,3,16,Satisfecho,Sí
2/05/2023 16:03:41,,20,Masculino,Ciencias de la computación,5,90,165,0,4,12 horas,60,Comida de restaurante,Tiempo empleado,Grasas,3,Sí,75,14,Poco satisfecho,Sí
2/05/2023 17:59:31,,18,Masculino,Ing. Mecatrónica,4,80,180,3,2,13 horas,30,Comida de restaurante,Tiempo empleado,Productos lácteos,Mas de 3 litros,No,120,11.6,Poco satisfecho,Sí
2/05/2023 18:00:28,,19,Masculino,Ciencias de la computación,4,72,170,4,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,No,8,16,Satisfecho,No
2/05/2023 18:07:36,,20,Masculino,Ing. Civil,4,70,162,2,2,12 horas,30,Comida preparada en casa,Situación económica,Proteínas,2,Sí,20,15.4,Neutral,Sí
2/05/2023 18:08:20,,21,Masculino,Ing. Civil,4,72,172,4,1,12 horas,20,Comida de restaurante,Situación económica,Frutas y Verduras,Mas de 3 litros,Sí,6,13.22,Satisfecho,Sí
2/05/2023 18:16:37,,18,Femenino,Ing. Industrial,1,50,160,2,1,12 horas,45,Comida preparada en casa,Situación económica,Frutas y Verduras,1,Sí,20,12,Nada satisfecho,Sí
2/05/2023 18:18:54,,19,Femenino,Ing. Civil,2,60,160,2,5,14 horas,20,Comida rápida/chatarra,Situación económica,Grasas,3,No,150,14.6,Neutral,Sí
2/05/2023 18:30:38,,22,Femenino,Bioingenería,10,56,160,2,2,12 horas,60,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,10,17.40,Satisfecho,Sí
2/05/2023 18:36:59,,21,Femenino,Ing. Química,4,62,155,0,5,13 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,2,Sí,20,13,Neutral,Sí
3/05/2023 0:23:26,,18,Femenino,Ing. Civil,2,60,165,5,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,50,16,Neutral,Sí
3/05/2023 0:25:07,,20,Masculino,Ing. Mecatrónica,4,70,180,10,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,2,Sí,30,18,Neutral,Sí
3/05/2023 2:21:55,,21,Masculino,Ing. Mecatrónica,3,75,170,4,3,16 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,30,19,Neutral,Sí
3/05/2023 2:24:53,,20,Femenino,Ing. de la Energía,3,65,158,3,4,13 horas,60,Comida de restaurante,Tiempo empleado,Productos lácteos,1.5,No,45,16,Satisfecho,Sí
3/05/2023 2:52:49,,18,Masculino,Bioingenería,2,70,168,4,2,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,17,Satisfecho,Sí
3/05/2023 8:46:03,,19,Femenino,Ing. Química,5,46,160,2,1,13 horas,30,Comida preparada en casa,Situación económica,Proteínas,2,Sí,200,15.44,Neutral,No
3/05/2023 11:22:24,,18,Femenino,Bioingenería,3,58,165,6,1,13 horas,45,Comida preparada en casa,Situación económica,Proteínas,1.5,No,3,15.7,Neutral,Sí
3/05/2023 11:26:33,,18,Femenino,Bioingenería,3,68.7,166,6,3,12 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,3,Sí,40,17.62,Poco satisfecho,Sí
3/05/2023 17:32:29,,18,Femenino,Ciencias de la computación,10,55,150,12,4,16 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,3,Sí,100,13.4,Muy satisfecho,Sí
3/05/2023 17:36:25,,17,Masculino,Bioingenería,6,60,175,10,4,15 horas,40,Comida preparada en casa,Situación económica,Productos lácteos,2,Sí,50,18,Satisfecho,Sí
3/05/2023 17:36:28,,18,Femenino,Bioingenería,3,54,165,2,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,3,Sí,10,18.45,Satisfecho,Sí
3/05/2023 17:37:52,,19,Femenino,Ing. Química,2,59,155,2,2,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,No,30,16,Satisfecho,Sí
3/05/2023 17:43:15,,23,Masculino,Ciencias de la computación,5,77,170,4,4,14 horas,70,Comida envasada/congelada,Tiempo empleado,Grasas,2,No,40,15,Satisfecho,No
3/05/2023 17:50:21,,19,Masculino,Ciencias de la computación,4,80,173,0,0,15 horas,30,Comida de restaurante,Situación económica,Carbohidratos,2,Sí,6,14,Neutral,Sí
3/05/2023 17:53:09,,19,Femenino,Ing. Civil,4,56.5,158,2,3,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,15,14.9,Neutral,Sí
3/05/2023 17:56:09,,20,Femenino,Bioingenería,9,59,161,3,3,13 horas,35,Comida preparada en casa,Situación económica,Proteínas,1,Sí,40,19,Satisfecho,Sí
3/05/2023 23:45:06,,23,Masculino,Ing. Mecatrónica,8,72.5,170,6,2,13 horas,30,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,2,No,30,15.7,Neutral,Sí
3/05/2023 23:47:13,,19,Masculino,Ing. Mecatrónica,4,60,170,9,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,50,14,Poco satisfecho,No
3/05/2023 23:52:56,,20,Femenino,Ing. Mecatrónica,5,54,173,2,1,13 horas,45,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,10,16.7,Neutral,Sí
4/05/2023 0:03:35,,18,Masculino,Ing. Mecatrónica,4,80,175,3,0,12 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,0,16.7,Neutral,Sí
4/05/2023 0:11:59,,21,Masculino,Ing. Civil,5,70,170,6,1,13 horas,26,Comida preparada en casa,Situación económica,Carbohidratos,Mas de 3 litros,Sí,15,14.6,Neutral,Sí
4/05/2023 1:38:31,,19,Femenino,Ing. Ambiental,4,50,150,0,1,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,Mas de 3 litros,No,40,14,Neutral,Sí
4/05/2023 2:25:31,,17,Masculino,Ing. Ambiental,1,69,164,4.5,3,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,No,23.5,13.7,Neutral,Sí
4/05/2023 8:57:41,,19,Femenino,Ing. Ambiental,4,54.5,158,0,1,13 horas,60,Comida de restaurante,Otros,Frutas y Verduras,2.5,Sí,17.5,13.5,Neutral,Sí
4/05/2023 9:00:12,,19,Femenino,Ing. Ambiental,4,48,158,1,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,2,No,10,15,Poco satisfecho,Sí
4/05/2023 10:04:41,,19,Masculino,Ciencias de la computación,4,75,173,0,1,15 horas,30,Comida de restaurante,Situación económica,Carbohidratos,2,Sí,10,14,Poco satisfecho,Sí
4/05/2023 10:18:31,,19,Masculino,Ing. Mecatrónica,4,65,160,1,3,16 horas,20,Comida de restaurante,Otros,Grasas,1,Sí,20,15,Neutral,Sí
4/05/2023 11:03:25,,21,Femenino,Ing. Industrial,4,58,163,3,4,14 horas,90,Comida de restaurante,Tiempo empleado,Frutas y Verduras,1.5,Sí,60,16,Poco satisfecho,Sí
4/05/2023 11:06:12,,19,Femenino,Bioingenería,4,52,150,1,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,18,14.5,Neutral,Sí
4/05/2023 13:12:48,,19,Femenino,Ing. Civil,4,67.7,171,4.5,2,13 horas,48,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,No,34.6,16.8,Satisfecho,Sí
4/05/2023 13:20:59,,23,Masculino,Ing. de la Energía,4,60,165,3,2,12 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,30,15,Satisfecho,Sí
4/05/2023 17:09:16,,23,Masculino,Ing. de la Energía,7,77.5,169,3.5,2,14 horas,58,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,25.6,14.50,Poco satisfecho,Sí
4/05/2023 17:59:44,,17,Masculino,Bioingenería,1,73,169,8,1,13 horas,15,Comida preparada en casa,Tiempo empleado,Carbohidratos,2.5,Sí,80,15,Muy satisfecho,Sí
4/05/2023 18:00:37,,19,Masculino,Bioingenería,1,89,179,1,2,12 horas,30,Comida de restaurante,Tiempo empleado,Productos lácteos,1,Sí,7,17.5,Satisfecho,Sí
4/05/2023 18:06:56,,19,Masculino,Ing. Mecánica,5,67,167,4,1,13 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,0,17.9,Neutral,Sí
4/05/2023 18:12:06,,20,Masculino,Ing. Civil,4,74,169,0,1,12 horas,30,Comida de restaurante,Tiempo empleado,Frutas y Verduras,1.5,Sí,20,17,Muy satisfecho,Sí
4/05/2023 18:36:31,,19,Masculino,Ciencia de datos,3,85,170,4,1,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,20,12.75,Neutral,No
4/05/2023 18:50:34,,20,Masculino,Ing. Civil,4,59,165,1,1,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,No,5,10,Satisfecho,Sí
4/05/2023 18:50:35,,19,Femenino,Ing. Civil,4,63.1,151,2,1,12 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,10,13.56,Neutral,Sí
4/05/2023 18:51:24,,23,Masculino,Ing. de la Energía,4,60,165,3,2,13 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,2,No,20,15,Satisfecho,Sí
4/05/2023 19:03:53,,18,Femenino,Ing. Industrial,2,58,160,8,2,12 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,Sí,50,14,Neutral,Sí
4/05/2023 19:43:54,,20,Femenino,Ing. Civil,4,53,160,6,5,13 horas,30,Comida de restaurante,Otros,Carbohidratos,1.5,No,70,11,Neutral,Sí
4/05/2023 19:54:01,,18,Femenino,Ciencias de la computación,2,65,155,3,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,12,16.4,Satisfecho,No
4/05/2023 21:52:34,,26,Femenino,Ing. Ambiental,8,60,168,4.5,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,2,No,35.8,16.8,Satisfecho,Sí
4/05/2023 21:53:14,,19,Masculino,Ing. Mecatrónica,4,67,177,2,1,12 horas,20,Comida de restaurante,Otros,Proteínas,3,Sí,10,16,Neutral,Sí
4/05/2023 22:02:04,,27,Masculino,Ing. Industrial,9,76.5,173,4.5,3,14 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,25.8,15.7,Neutral,Sí
4/05/2023 22:13:09,,20,Femenino,Bioingenería,5,58.5,160,4,3,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,No,25,16.8,Satisfecho,Sí
4/05/2023 22:21:04,,26,Masculino,Ing. Mecánica,7,80.5,170,2,4,13 horas,60,Comida rápida/chatarra,Tiempo empleado,Grasas,1.5,No,46.7,14.6,Poco satisfecho,Sí
