Marca temporal,"Ingresa tu Edad (en años, y en números enteros):",Selecciona tu Carrera Universitaria:,Selecciona tu Género:,¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho CALOR? [¿Cuánto te afecta?],¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho FRÍO? [¿Cuánto te afecta?],¿Qué medidas tomas cuando tienes una evaluación y hace mucho CALOR?,¿Qué medidas tomas cuando tienes una evaluación y hace mucho FRÍO?,Cuando prefieres dar una evaluación. ¿Cuándo hace FRÍO o CALOR?,¿Crees que tu rendimiento académico mejoraría al incluir un sistema de aire acondicionado en las aulas en época de mucho CALOR? [¿Mejoraría?],¿Crees que tu rendimiento académico mejoraría al incluir un sistema de calefacción en las aulas en época de mucho FRÍO? [¿Mejoraría?],¿Qué sensación te produce al estar en un ambiente CALUROSO y tener clase o examen en ella?,¿Qué sensación te produce al estar en un ambiente FRÍO y tener clase o examen en ella?,Rendiste tu examen parcial de Introducción a la Mecánica en la Universidad:,Nota de tu examen parcial de Introducción a la Mecánica:,Rendiste tu examen parcial de Laboratorio de Comunicación 2 en la Universidad:,Nota de tu examen final de Introducción a la Mecánica:,Nota de tu examen parcial de Laboratorio de Comunicación 2:,Nota de tu examen final de Laboratorio de Comunicación 2:
23/09/2022 12:09:44,21,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Técnicas de respiración,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Muy activo,No,8,No,6,13,13
23/09/2022 12:11:13,23,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Muy activo,Si,18,Si,15,20,17
23/09/2022 12:11:34,19,Ambiental,Femenino,No me afecta en nada,Me afecta pero puedo lidiarlo,Agua helada,Frotar mis manos,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Dolor de cabeza,Nervios,No,0,No,0,17,15
23/09/2022 12:12:00,19,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Sueño,Si,07,Si,13,13,15
23/09/2022 12:15:59,18,Ambiental,Femenino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Agua helada,Usar una manta,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Nervios,No,11,No,14,15,17
23/09/2022 12:19:13,18,Civil,Masculino,No me afecta en nada,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Incomodidad,Nervios,Si,0,Si,0,0,0
23/09/2022 12:19:31,18,Industrial,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Aire con cuaderno,Frotar mis manos,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Estrés,Sueño,No,8,No,8,16,13
23/09/2022 12:20:23,17,Industrial,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Nada,Nada,Cuando hace calor,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Incomodidad,Muy activo,Si,11,Si,09,08,13
23/09/2022 12:22:48,20,Mecánica,Masculino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Muy activo,No,0,No,0,0,0
23/09/2022 12:23:06,18,Mecánica,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace frío,Daría igual,Daría igual,Incomodidad,Muy activo,Si,15,Si,15,16,18
23/09/2022 12:23:15,21,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar una manta,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Sueño,Sueño,Si,6,Si,2,16,16
23/09/2022 12:23:50,23,Mecánica,Masculino,Me afecta en ciertas ocasiones,No me afecta en nada,Aire con cuaderno,Me encanta el frío,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Incomodidad,Muy activo,Si,10,Si,0,0,0
23/09/2022 12:24:15,17,Mecánica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Nada,Me encanta el frío,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Incomodidad,Muy activo,Si,0,Si,0,0,0
23/09/2022 12:24:18,17,Ciencia de la Computación,Masculino,Me afecta y de forma considerable,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Incomodidad,Nervios,No,17,No,18,18,20
23/09/2022 12:24:24,19,Mecatrónica,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Incomodidad,Muy activo,Si,11,Si,7,14,13
23/09/2022 12:27:27,18,Mecánica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Sueño,Sueño,Si,12,Si,12,12.,12
23/09/2022 12:29:33,22,Energía,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar una manta,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Sueño,No,15,No,13,16,16
23/09/2022 12:32:56,20,Industrial,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta y de forma considerable,Ropa ligera,Usar una manta,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Incomodidad,Si,11,Si,13,16,18
23/09/2022 12:35:57,19,Mecánica,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Abrir ventana,Alejasrse de ventanas,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Nervios,No,0,No,0,0,0
23/09/2022 12:40:07,19,Industrial,Masculino,No me afecta en nada,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Daría igual,Cansancio,Nervios,Si,0,Si,10,16,15
23/09/2022 12:41:02,17,Industrial,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,18,Si,16,18,17
23/09/2022 12:50:34,18,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Alejasrse de ventanas,Cuando hace frío,Mejoraría de forma considerable,Daría igual,Sueño,Muy activo,Si,15,Si,10,18,15
23/09/2022 12:52:44,23,Industrial,Masculino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Incomodidad,No,0,No,0,0,0
23/09/2022 13:06:52,20,Industrial,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Tomar café,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,7,Si,4,14,17
23/09/2022 13:07:47,20,Industrial,Femenino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Incomodidad,No,16,No,12,18,17
23/09/2022 13:18:52,20,Civil,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Pequeño ventilador,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Sueño,Si,10,Si,0,15,16
23/09/2022 13:20:01,17,Ambiental,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace frío,Daría igual,Mejoraría en un pequeño porcentaje,Cansancio,Sueño,Si,0,Si,0,0,0
23/09/2022 13:23:28,18,Bioingeniería,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Muy activo,Incomodidad,Si,11,Si,6,17,16
23/09/2022 13:25:26,20,Ciencia de la Computación,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Agua helada,Tomar café,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Estrés,Muy activo,Si,20,Si,20,12,16
23/09/2022 13:28:05,28,Electrónica,Masculino,No me afecta en nada,No me afecta en nada,Agua helada,Tomar café,Cuando hace frío,Daría igual,Mejoraría en un pequeño porcentaje,Cansancio,Muy activo,Si,17,Si,15,16,16
23/09/2022 13:55:56,22,Administración y Negocios Digitales,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Muy activo,Si,12,Si,14,11,11
23/09/2022 13:58:45,20,Bioingeniería,Masculino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Pequeño ventilador,Tomar café,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Estrés,Muy activo,Si,15,Si,15,16,16
23/09/2022 14:06:25,20,Industrial,Femenino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Dolor de cabeza,Sueño,No,0,No,0,0,0
23/09/2022 14:06:49,23,Ambiental,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Muy activo,Muy activo,Si,0000,Si,0000,17,15
23/09/2022 14:21:35,18,Electrónica,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Muy activo,Sueño,Si,17,Si,1,10,12
23/09/2022 14:49:37,18,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Cansancio,Muy activo,No,20,No,20,20,20
23/09/2022 15:00:29,20,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,8,Si,6,16,12
23/09/2022 15:29:19,18,Industrial,Femenino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Daría igual,Incomodidad,Nervios,Si,8,Si,10,12,14
23/09/2022 16:12:13,20,Industrial,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Abrir ventana,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Sueño,Muy activo,No,11,No,9,17,16
23/09/2022 16:13:32,17,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Nervios,Si,15,Si,15,18,18
23/09/2022 16:45:55,20,Ambiental,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Estrés,Sueño,No,0,No,0,15,14
23/09/2022 17:44:25,20,Bioingeniería,Femenino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Sueño,Si,15,Si,10,16,15
23/09/2022 18:21:14,20,Mecánica,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Daría igual,Sueño,Nervios,Si,11,Si,10,12,13
23/09/2022 18:23:21,18,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Daría igual,Mejoraría de forma considerable,Sueño,Sueño,No,9,No,6,17,17
23/09/2022 18:24:57,21,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,7,Si,12,16,18
23/09/2022 18:26:13,18,Ciencia de Datos,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Alejasrse de ventanas,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Incomodidad,Si,15,Si,15,17,17
23/09/2022 18:29:35,19,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,No,0,No,0,14,14
23/09/2022 18:32:41,23,Ciencia de Datos,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Agua helada,Usar abrigo ,Cuando hace frío,Daría igual,Mejoraría en un pequeño porcentaje,Cansancio,Incomodidad,No,0,No,0,16,15
23/09/2022 18:33:26,21,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Técnicas de respiración,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Nervios,Si,12,Si,14,16,13
23/09/2022 18:35:49,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,09,Si,05,18,16
23/09/2022 18:39:58,17,Ciencia de la Computación,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Tengo que aguantar,Me encanta el frío,Cuando hace calor,Daría igual,Daría igual,Muy activo,Nervios,Si,15,Si,11,16,17
23/09/2022 18:45:39,22,Ambiental,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Incomodidad,Incomodidad,Si,13,Si,14,14,14
23/09/2022 18:52:05,17,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Ropa ligera,Usar una manta,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Sueño,Si,12,Si,12,13,16
23/09/2022 18:56:38,20,Industrial,Femenino,Me afecta y de forma considerable,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Cansancio,Incomodidad,Si,13,Si,10,19,16
23/09/2022 18:59:25,18,Bioingeniería,Femenino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Nada,Alejasrse de ventanas,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Cansancio,Desconcentración,No,9,No,6,15,15
23/09/2022 18:59:41,19,Bioingeniería,Masculino,No me afecta en nada,Me afecta a tal punto de alterar mi concentración por completo,Nada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Muy activo,Sueño,No,06,No,01,12,12
23/09/2022 19:16:12,23,Química,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Me encanta el frío,Cuando hace frío,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Sueño,Estrés,Si,12,Si,5,16,15
23/09/2022 19:22:21,18,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Abrir ventana,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Muy activo,Desconcentración,No,6,No,6,12,14
23/09/2022 19:53:54,18,Electrónica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,9,Si,13,15,17
23/09/2022 20:11:01,18,Civil,Masculino,No me afecta en nada,No me afecta en nada,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Estrés,Nervios,Si,13,Si,11,15,15
23/09/2022 20:38:54,20,Civil,Femenino,No me afecta en nada,No me afecta en nada,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Muy activo,Sueño,Si,0,Si,0,0,0
23/09/2022 20:48:54,18,Bioingeniería,Masculino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Cansancio,Sueño,Si,11,Si,11,11,11
23/09/2022 21:07:22,17,Industrial,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,00,Si,00,00,00
23/09/2022 21:09:15,19,Civil,Masculino,No me afecta en nada,Me afecta a tal punto de alterar mi concentración por completo,Técnicas de respiración,Alejasrse de ventanas,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Cansancio,Desconcentración,Si,15,Si,15,15,15
23/09/2022 21:10:18,20,Electrónica,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Nada,Nada,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Sueño,Si,15,Si,13,18,18
23/09/2022 21:44:52,20,Industrial,Masculino,Me afecta pero puedo lidiarlo,Me afecta en ciertas ocasiones,Nada,Tomar café,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Muy activo,Muy activo,Si,0,Si,0,0,0
23/09/2022 21:46:55,18,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta a tal punto de alterar mi concentración por completo,Abrir ventana,Usar abrigo ,Cuando hace calor,Daría igual,Me mantendría muy activo académicamente,Muy activo,Sueño,No,14,No,12,17,19
23/09/2022 22:02:16,18,Industrial,Femenino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Usar una manta,Cuando hace calor,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Sueño,Si,12,Si,9,16,20
23/09/2022 22:25:50,21,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Sueño,Sueño,Si,13,Si,14,17,14
24/09/2022 2:34:56,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar una manta,Cuando hace frío,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Cansancio,Desconcentración,Si,6,Si,8,19,16
24/09/2022 7:44:39,19,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta y de forma considerable,Ropa ligera,Tomar café,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Desconcentración,Si,10,Si,14,0,0
24/09/2022 8:32:14,18,Ambiental,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Incomodidad,Estrés,Si,0,Si,0,0,0
24/09/2022 15:40:16,20,Industrial,Femenino,No me afecta en nada,Me afecta en ciertas ocasiones,Agua helada,Tomar café,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Sueño,Estrés,No,12,No,12,13,13
24/09/2022 15:46:37,19,Civil,Masculino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Cansancio,Nervios,No,10,No,11,12,11
24/09/2022 18:13:46,18,Civil,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Abrir ventana,Alejasrse de ventanas,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Estrés,Sueño,Si,11,Si,8,13,20
24/09/2022 19:20:24,17,Ciencia de Datos,Masculino,Me afecta pero puedo lidiarlo,Me afecta a tal punto de alterar mi concentración por completo,Ropa ligera,Usar una manta,Cuando hace calor,Mejoraría en un pequeño porcentaje,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,16,Si,16,17,18
25/09/2022 0:01:45,20,Industrial,Masculino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Sueño,Si,8,Si,5,16,16
25/09/2022 8:52:57,19,Bioingeniería,Femenino,No me afecta en nada,Me afecta pero puedo lidiarlo,Pequeño ventilador,Usar abrigo ,Cuando hace calor,Daría igual,Mejoraría en un pequeño porcentaje,Sueño,Desconcentración,Si,14.5,Si,13,13,15
25/09/2022 10:05:02,19,Ciencia de la Computación,Masculino,Me afecta y de forma considerable,Me afecta y de forma considerable,Ropa ligera,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Cansancio,Muy activo,No,0,No,0,16,13
25/09/2022 11:00:53,18,Mecatrónica,Masculino,Me afecta en ciertas ocasiones,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría en un pequeño porcentaje,Muy activo,Sueño,Si,7,Si,9,15,12
25/09/2022 13:49:21,18,Ciencia de la Computación,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Abrir ventana,Usar abrigo ,Cuando hace calor,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Muy activo,Sueño,Si,0,Si,0,15,17
25/09/2022 15:53:44,18,Ciencia de la Computación,Masculino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Sueño,Si,0,Si,0,16,16
25/09/2022 17:12:38,22,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Me mantendría muy activo académicamente,Sueño,Sueño,Si,08,Si,03,14,15
