Marca temporal,1. ¿Sigues el género K-pop?,2. ¿Qué edad tienes?,3.¿Cuál es su género?,4. ¿Hace cuántos años sigue el K-pop? ,5. ¿Pertenece a algún fan club?,6. ¿Qué es lo que más le gusta del género K-pop?,7. ¿Cuál es su grupo favorito?,8. ¿Cuán importante considera el K-pop en su vida? Siendo 1 poco importante y 5 muy importante,9.  ¿De qué forma le llegó a gustar el K-pop?,10. ¿Cómo se siente al escuchar K-pop?,11. ¿Qué medios de comunicación sueles utilizar para mantenerte al tanto del K-pop?,12. ¿Cuánto dinero (S/) mensualmente invierte en compras de productos relacionados al K-pop?,13. ¿Cuánto dinero (S/) mensualmente invierte en servicios relacionados al K-Pop?,14. ¿Qué productos compras o comprarías relacionados al K-pop? Elija 1 de acuerdo a su preferencia,15. ¿A qué servicios recurre o recurriría con temática K-pop? Elija 1 de acuerdo a su preferencia,16. ¿Te has sentido juzgado o discriminado por ser K-poper?
18/05/2021 16:11:23,Si,15,Masculino,2,Si,Coreografías,BTS,5,Influencia de un amiga (o),Esperanzada (o),Tik Tok,30,1,Ropa,Restaurantes,No
18/05/2021 17:46:57,Si,20,Femenino,1,Si,Look de los Idols,BTS,4,Escuché su música y me gustó,Tranquila (o),Facebook,10,10,Álbumes,Academia de Baile,No
18/05/2021 20:58:47,Si,17,Femenino,1,No,Coreografías,Black Pink,2,Influencia de un amiga (o),Alegre,Instagram,0,0,Juegos de Mesa,Academia de Baile,No
18/05/2021 21:42:02,Si,19,Femenino,1,Si,Letra de canciones,TXT,4,Influencia Redes Sociales,Alegre,Twitter,100,5,Álbumes,Merchandising online,Si
18/05/2021 21:45:12,Si,18,Femenino,4,Si,Todo,TXT,5,Influencia de un amiga (o),todas las anteriores ,Twitter,100,40,Álbumes,Conciertos,No
18/05/2021 21:52:00,Si,16,Femenino,2,Si,Letra de canciones,BTS,3,Escuché su música y me gustó,Tranquila (o),Páginas de K-pop,40,10,Álbumes,Conciertos,Si
18/05/2021 21:52:35,Si,16,Femenino,3,Si,Coreografías,gfriend,3,Influencia de un amiga (o),Tranquila (o),Twitter,0,0,Álbumes,Merchandising online,Si
18/05/2021 21:53:00,Si,19,Femenino,9,Si,Vestimenta,nct dream,2,Escuché su música y me gustó,Entusiasmada (o),Twitter,130,35,Álbumes,Conciertos,No
18/05/2021 21:55:22,Si,16,Femenino,1,Si,Coreografías,TXT,4,Influencia de un amiga (o),Alegre,Twitter,100,0,Álbumes,Conciertos,No
18/05/2021 21:56:00,Si,16,Femenino,3,Si,Letra de canciones,EXO,5,Influencia de un amiga (o),Fortalecida (o),Facebook,10,30,Álbumes,Conciertos,Si
18/05/2021 21:57:28,No,,,,,,,,,,,,,,,
18/05/2021 21:59:19,Si,21,Femenino,1,Si,Idols,TXT,5,Influencia Redes Sociales,Entusiasmada (o),Twitter,20,10,Álbumes,Conciertos,No
18/05/2021 22:00:21,Si,23,Femenino,6,Si,Todo ,BTS,5,Influencia Redes Sociales,Esperanzada (o),Whatsapp,0,0,Álbumes,Conciertos,Si
18/05/2021 22:01:03,Si,19,Femenino,1,No,Coreografías,TXT,4,Influencia de un amiga (o),Esperanzada (o),Twitter,75,50,Álbumes,Lounge coffee,No
18/05/2021 22:02:21,Si,16,Femenino,1,Si,Coreografías,TXT,4,Influencia de un amiga (o),Alegre,Twitter,0,0,Álbumes,Conciertos,Si
18/05/2021 22:03:19,Si,19,Masculino,3,No,Ritmo,BIGBANG,1,Influencia Redes Sociales,Alegre,Facebook,80,0,Juegos de Mesa,Restaurantes,No
18/05/2021 22:04:19,Si,17,Femenino,3,Si,Ritmo,BTS,4,Escuché su música y me gustó,casi todas las anteriores,Twitter,50,0,Álbumes,Conciertos,Si
18/05/2021 22:08:49,Si,16,Femenino,4,No,Otro,No veo mi mamammo  :'(,1,Influencia de un amiga (o),Relajada (o),Generalizando: las redes sociales xd,0,0,Ropa,Conciertos,Si
"18/05/2021 22:09:05,Si,16,Femenino,3,Si,Coreografías,WayV,5,Influencia de un amiga (o),""No hay un sentimiento en particular, dependiendo mí situación a veces me anima, en otras me relaja, etc. "",Twitter,30,0,Álbumes,Conciertos,Si"
18/05/2021 22:09:18,Si,15,Masculino,1,No,Coreografías,BTS,3,Escuché su música y me gustó,Entusiasmada (o),Instagram,80,0,Libros,Conciertos,No
18/05/2021 22:13:17,No,,,,,,,,,,,,,,,
18/05/2021 22:13:54,No,,,,,,,,,,,,,,,
18/05/2021 22:14:41,No,,,,,,,,,,,,,,,
18/05/2021 22:20:42,Si,17,Femenino,4,Si,Ritmo,BTS,3,Influencia de un amiga (o),Alegre,YouTube,0,0,Ropa,Conciertos,Si
18/05/2021 22:22:30,Si,19,Femenino,4,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Alegre,YouTube,3000,3000,Ropa,Merchandising online,Si
18/05/2021 22:24:55,No,,,,,,,,,,,,,,,
18/05/2021 22:30:58,Si,17,Femenino,13,Si,Letra de canciones,EXO,5,Escuché su música y me gustó,Entusiasmada (o),Twitter,1000,1000,Discos,Merchandising online,Si
18/05/2021 22:35:27,Si,16,Femenino,2,Si,Ritmo,EXO,4,Influencia de un amiga (o),Alegre,YouTube,0,0,Fotos,Kasoo,No
18/05/2021 22:38:49,Si,17,Femenino,5,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Relajada (o),Twitter,100,100,Álbumes,Academia de Baile,Si
18/05/2021 22:45:05,Si,16,Femenino,1,Si,Coreografías,BTS,5,Influencia Redes Sociales,Alegre,Páginas de K-pop,10000,20000,Ropa,Academia de Baile,Si
18/05/2021 23:02:05,Si,21,Femenino,4,Si,Letra de canciones,BTS,5,Influencia Redes Sociales,Entusiasmada (o),Páginas de K-pop,500,500,Ropa,Merchandising online,Si
18/05/2021 23:09:40,No,,,,,,,,,,,,,,,
18/05/2021 23:16:23,Si,17,Femenino,1,No,Letra de canciones,EXO,1,Escuché su música y me gustó,Relajada (o),YouTube,0,0,Discos,Conciertos,No
18/05/2021 23:28:45,Si,17,Femenino,6,Si,Todo,SEVENTEEN-MAMAMOO-BTS-W24-ENHYPEN,3,Escuché su música y me gustó,todo.,TWITTER-FB-IG-YOUTUBE,1,1,Álbumes,Restaurantes,Si
18/05/2021 23:37:28,Si,17,Femenino,13,Si,Todo,BTS,5,Influencia de mis hermanas desde pequeña.,Entusiasmada (o),Facebook,0,0,Álbumes,Restaurantes,Si
18/05/2021 23:41:42,Si,15,Femenino,3,Si,Letra de canciones,BTS,3,Escuché su música y me gustó,Tranquila (o),Twitter,100,50,Álbumes,Merchandising online,Si
19/05/2021 0:13:30,Si,19,Femenino,7,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Fortalecida (o),YouTube,100,50,Ropa,Academia de Baile,Si
19/05/2021 0:13:32,Si,26,Femenino,9,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),YouTube,100,50,Ropa,Academia de Baile,Si
19/05/2021 0:16:32,Si,19,Femenino,7,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),YouTube,100,50,Ropa,Academia de Baile,Si
19/05/2021 5:55:05,No,,,,,,,,,,,,,,,
19/05/2021 5:56:24,Si,19,Femenino,2,No,Letra de canciones,BTS,3,Escuché su música y me gustó,Relajada (o),Facebook,0,0,Agendas,Conciertos,No
"19/05/2021 7:14:42,Si,16,Femenino,1,Si,Todo,""Mayormente Bts, blackpink, stray kids, twice, entre otros"",5,Escuché su música y me gustó,Me siento feliz y con ganas de seguir para lograr mis metas.,""Twitter, facebook, youtube, whatsapp, telegram, tiktok, kwai, etc."",10,15,Ropa,Lounge coffee,Si"
19/05/2021 7:45:14,Si,15,Masculino,1,Si,Coreografías,TXT,3,Influencia Redes Sociales,Relajada (o),Páginas de K-pop,100,500,Revistas,Conciertos,No
19/05/2021 7:51:13,No,,,,,,,,,,,,,,,
19/05/2021 9:30:08,Si,16,Femenino,6,Si,Todo,BTS,5,Escuché su música y me gustó,Hermoso,YouTube,10,50,Discos,Conciertos,Si
19/05/2021 9:30:47,No,,,,,,,,,,,,,,,
19/05/2021 9:37:12,No,,,,,,,,,,,,,,,
19/05/2021 9:42:06,No,,,,,,,,,,,,,,,
19/05/2021 9:45:37,No,,,,,,,,,,,,,,,
19/05/2021 10:04:41,Si,15,Femenino,1,Si,Letra de canciones,EXO,4,Escuché su música y me gustó,Entusiasmada (o),YouTube,25,0,Ropa,Conciertos,No
19/05/2021 10:25:25,No,,,,,,,,,,,,,,,
19/05/2021 10:40:58,Si,18,Femenino,1,No,Coreografías,BTS,3,Escuché su música y me gustó,Relajada (o),Instagram,0,30,Libros,Academia de Baile,No
19/05/2021 10:48:01,Si,17,Femenino,2,Si,Todas las anteriores,Super Junior,5,Escuché su música y me gustó,Todas las anteriores,YouTube,60,60,Álbumes,Conciertos,No
19/05/2021 11:12:11,Si,9,Femenino,0,No,Letra de canciones,Black Pink,3,Influencia de un amiga (o),Tranquila (o),YouTube,0,0,Álbumes,Restaurantes,No
19/05/2021 15:55:43,Si,17,Femenino,1,Si,Letra de canciones,BTS,5,Influencia de un amiga (o),Fortalecida (o),Facebook,30,10,Ropa,Conciertos,No
19/05/2021 19:58:04,No,,,,,,,,,,,,,,,
19/05/2021 22:34:12,No,,,,,,,,,,,,,,,
19/05/2021 22:46:07,Si,17,Femenino,2,No,Coreografías,Black Pink,3,Influencia de un amiga (o),Entusiasmada (o),Facebook,0,25,Poster,Academia de Baile,No
19/05/2021 23:57:22,Si,19,Femenino,4,Si,Idols,BTS,4,Influencia de un amiga (o),Fortalecida (o),Twitter,50,0,Álbumes,Conciertos,No
20/05/2021 7:57:17,No,,,,,,,,,,,,,,,
"20/05/2021 13:52:42,Si,12,Femenino,6,Si,""Coreografías, Letra de canciones, Idols, Ritmo, Vestimenta, Look de los Idols"",""BTS, Black Pink"",5,Influencia de un amiga (o),Fortalecida (o),""Instagram, Whatsapp, Tik Tok, Correo electrónico, LinkedIn"",40,20,""Álbumes, Poster, Discos, Cuadernos, Ropa, Calendarios, Revistas, Fotos"",Conciertos,Si"
26/05/2021 0:10:38,Si,19,Femenino,4,Si,Ritmo,BTS,3,Influencia de un amiga (o),Alegre,YouTube,0,0,Álbumes,Conciertos,No
31/05/2021 19:18:27,No,,,,,,,,,,,,,,,
31/05/2021 21:00:05,No,,,,,,,,,,,,,,,
7/06/2021 13:56:16,Si,18,Femenino,2,Si,Letra de canciones,TXT,4,Influencia de un amiga (o),Alegre,Twitter,200,20,Álbumes,Restaurantes,Si
7/06/2021 15:33:06,No,,,,,,,,,,,,,,,
7/06/2021 21:48:48,No,,,,,,,,,,,,,,,
7/06/2021 21:48:53,No,,,,,,,,,,,,,,,
7/06/2021 21:52:57,No,,,,,,,,,,,,,,,
7/06/2021 21:53:22,No,,,,,,,,,,,,,,,
7/06/2021 21:54:26,Si,19,Femenino,3,No,Coreografías,BTS,3,Escuché su música y me gustó,Alegre,Twitter,0,0,Fotos,Lounge coffee,Si
7/06/2021 21:54:36,No,,,,,,,,,,,,,,,
7/06/2021 21:58:10,Si,16,Femenino,5,Si,Letra de canciones,BTS,5,Influencia de un amiga (o),Entusiasmada (o),Twitter,0,0,Álbumes,Conciertos,Si
7/06/2021 21:59:39,Si,17,Femenino,5,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Relajada (o),YouTube,0,0,Álbumes,Conciertos,Si
7/06/2021 22:02:43,Si,17,Femenino,17,Si,Coreografías,Black Pink,1,Influencia de un amiga (o),Entusiasmada (o),Instagram,5,5,Ropa,Academia de Baile,No
7/06/2021 22:06:48,Si,17,Femenino,5,Si,Idols,BTS,4,Influencia de un amiga (o),Relajada (o),YouTube,50,60,Revistas,Lounge coffee,No
7/06/2021 22:07:09,Si,18,Femenino,5,Si,Coreografías,BTS,1,Influencia Redes Sociales,Alegre,YouTube,0,0,Otro,Academia de Baile,Si
7/06/2021 22:16:54,No,,,,,,,,,,,,,,,
7/06/2021 22:19:48,Si,20,Femenino,3,No,Letra de canciones,BTS,3,Influencia de un amiga (o),Alegre,YouTube,0,0,Libros,Otro,No
7/06/2021 22:23:30,Si,17,Femenino,3,No,Coreografías,BTS,5,Escuché su música y me gustó,Entusiasmada (o),YouTube,0,0,Poster,Academia de Baile,No
7/06/2021 22:26:23,No,,,,,,,,,,,,,,,
7/06/2021 22:26:27,Si,17,Femenino,6,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Alegre,Instagram,5,5,Agendas,Conciertos,Si
7/06/2021 22:31:58,No,,,,,,,,,,,,,,,
7/06/2021 22:45:31,No,,,,,,,,,,,,,,,
7/06/2021 22:49:13,Si,16,Femenino,2,Si,Letra de canciones,BTS,3,Escuché su música y me gustó,Relajada (o),Twitter,20,0,Álbumes,Conciertos,Si
7/06/2021 23:08:54,Si,18,Femenino,5,Si,Coreografías,BTS,4,Influencia Redes Sociales,Alegre,Facebook,0,0,Álbumes,Academia de Baile,Si
8/06/2021 3:28:37,No,,,,,,,,,,,,,,,
8/06/2021 3:29:02,No,,,,,,,,,,,,,,,
8/06/2021 6:29:44,No,,,,,,,,,,,,,,,
8/06/2021 7:41:56,Si,21,Femenino,2,No,Coreografías,BTS,3,Influencia de un amiga (o),Fortalecida (o),Facebook,100,100,Discos,Restaurantes,No
8/06/2021 8:00:49,No,,,,,,,,,,,,,,,
8/06/2021 9:23:01,No,,,,,,,,,,,,,,,
8/06/2021 9:24:25,No,,,,,,,,,,,,,,,
8/06/2021 10:47:29,Si,19,Femenino,8,Si,Otro,Otro,2,Escuché su música y me gustó,Relajada (o),Twitter,0,0,Álbumes,Kasoo,No
8/06/2021 21:35:27,Si,17,Femenino,3,No,Coreografías,Black Pink,5,Influencia de un amiga (o),Alegre,Instagram,30,15,Cuadernos,Academia de Baile,No
10/06/2021 8:59:31,Si,15,Femenino,5,Si,Coreografías,Otro,5,Escuché su música y me gustó,Esperanzada (o),Páginas de K-pop,25,0,Sourvenir,Academia de Baile,No
10/06/2021 11:55:01,Si,19,Masculino,3,Si,Coreografías,BTS,5,Escuché su música y me gustó,Esperanzada (o),Páginas de K-pop,120,20,Ropa,Academia de Baile,Si
10/06/2021 12:02:52,Si,22,Femenino,3,Si,Letra de canciones,Black Pink,4,Influencia Redes Sociales,Alegre,Instagram,40,0,Álbumes,Lounge coffee,Si
10/06/2021 12:36:00,Si,19,Masculino,3,Si,Letra de canciones,BTS,4,Escuché su música y me gustó,Relajada (o),YouTube,200,100,Discos,Restaurantes,No
10/06/2021 12:43:52,Si,20,Femenino,5,Si,Coreografías,Black Pink,5,Influencia de un amiga (o),Fortalecida (o),Instagram,300,200,Poster,Conciertos,Si
10/06/2021 12:51:33,Si,17,Femenino,4,No,Ritmo,BIGBANG,3,Escuché su música y me gustó,Entusiasmada (o),Tik Tok,150,100,Ropa,Academia de Baile,Si
10/06/2021 13:08:26,Si,21,Femenino,2,Si,Idols,BIGBANG,5,Influencia Redes Sociales,Alegre,Facebook,50,50,Agendas,Lounge coffee,Si
10/06/2021 17:25:22,Si,20,Femenino,3,Si,Letra de canciones,BTS,4,Influencia de un amiga (o),Entusiasmada (o),Twitter,30,0,Agendas,Kasoo,Si
10/06/2021 17:26:44,Si,27,Masculino,6,Si,Idols,BTS,4,Escuché su música y me gustó,Alegre,Twitter,180,20,Discos,Merchandising online,Si
10/06/2021 17:28:08,Si,25,Femenino,2,Si,Coreografías,TXT,4,Escuché su música y me gustó,Alegre,Páginas de K-pop,80,31,Álbumes,Merchandising online,Si
10/06/2021 17:29:13,Si,17,Femenino,1,Si,Letra de canciones,BTS,3,Influencia Redes Sociales,Alegre,Instagram,30,0,Álbumes,Merchandising online,Si
10/06/2021 17:30:40,Si,19,Masculino,1,Si,Coreografías,TXT,4,Influencia Redes Sociales,Alegre,Instagram,20,20,Cuadernos,Merchandising online,Si
10/06/2021 17:31:45,Si,18,Femenino,2,Si,Vestimenta,Super Junior,5,Escuché su música y me gustó,Tranquila (o),Instagram,75,100,Discos,Academia de Baile,No
10/06/2021 17:33:58,Si,20,Femenino,2,Si,Coreografías,TXT,4,Influencia Redes Sociales,Alegre,Instagram,50,15,Álbumes,Merchandising online,Si
10/06/2021 17:38:10,Si,17,Masculino,1,No,Ritmo,GOT7,3,Influencia de un amiga (o),Alegre,Twitter,45,65,Discos,Restaurantes,Si
10/06/2021 17:41:42,Si,25,Femenino,7,Si,Letra de canciones,Wonder Girls,5,Escuché su música y me gustó,Esperanzada (o),Facebook,300,150,Álbumes,Merchandising online,No
10/06/2021 17:41:59,Si,22,Femenino,4,Si,Coreografías,Black Pink,4,Influencia Redes Sociales,Alegre,Instagram,30,10,Álbumes,Merchandising online,Si
10/06/2021 17:46:30,Si,22,Femenino,4,Si,Vestimenta,BTS,4,Influencia Redes Sociales,Alegre,Instagram,500,300,Poster,Restaurantes,Si
10/06/2021 17:50:28,Si,15,Femenino,2,Si,Coreografías,BTS,5,Influencia de un amiga (o),Entusiasmada (o),Facebook,400,150,Poster,Merchandising online,Si
10/06/2021 17:54:17,Si,16,Masculino,1,Si,Coreografías,Black Pink,4,Escuché su música y me gustó,Fortalecida (o),Instagram,100,136,Ropa,Lounge coffee,Si
10/06/2021 18:32:18,Si,17,Femenino,2,Si,Idols,Twice,4,Influencia de un amiga (o),Relajada (o),YouTube,150,220,Discos,Conciertos,Si
10/06/2021 18:33:23,Si,20,Masculino,1,Si,Coreografías,BTS,3,Influencia Redes Sociales,Alegre,Facebook,0,220,Otro,Conciertos,No
10/06/2021 18:53:51,Si,19,Femenino,2,Si,Letra de canciones,BTS,4,Escuché su música y me gustó,Alegre,Instagram,30,0,Revistas,Merchandising online,Si
10/06/2021 18:54:39,Si,20,Femenino,2,Si,Ritmo,BTS,4,Escuché su música y me gustó,Tranquila (o),Twitter,150,200,Agendas,Merchandising online,Si
10/06/2021 18:54:42,Si,18,Masculino,1,Si,Coreografías,BTS,5,Escuché su música y me gustó,Alegre,Twitter,45,10,Agendas,Merchandising online,Si
10/06/2021 18:57:09,Si,21,Masculino,2,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Alegre,Instagram,30,0,Discos,Merchandising online,Si
10/06/2021 18:57:16,Si,19,Masculino,3,No,Idols,BTS,5,Influencia Redes Sociales,Relajada (o),Facebook,100,120,Poster,Restaurantes,No
10/06/2021 19:03:47,Si,21,Femenino,2,Si,Letra de canciones,Black Pink,5,Influencia Redes Sociales,Entusiasmada (o),Instagram,55,21,Álbumes,Merchandising online,Si
10/06/2021 19:04:44,Si,22,Masculino,4,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Twitter,30,0,Discos,Merchandising online,Si
10/06/2021 19:06:24,Si,23,Femenino,3,Si,Letra de canciones,Black Pink,5,Influencia Redes Sociales,Entusiasmada (o),Facebook,70,10,Agendas,Merchandising online,Si
10/06/2021 19:22:20,Si,20,Masculino,3,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Instagram,20,0,Álbumes,Merchandising online,Si
10/06/2021 19:23:25,Si,22,Femenino,2,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Facebook,0,0,Álbumes,Merchandising online,No
10/06/2021 19:24:52,Si,18,Masculino,2,Si,Idols,BTS,4,Influencia de un amiga (o),Esperanzada (o),Tik Tok,95,87,Ropa,Merchandising online,No
10/06/2021 19:25:04,Si,19,Femenino,1,Si,Letra de canciones,Black Pink,5,Escuché su música y me gustó,Entusiasmada (o),Facebook,15,10,Revistas,Merchandising online,No
10/06/2021 19:45:39,No,,,,,,,,,,,,,,,
10/06/2021 19:45:52,Si,22,Femenino,5,Si,Idols,BTS,5,Influencia Redes Sociales,Alegre,Instagram,100,50,Discos,Academia de Baile,Si
10/06/2021 19:48:14,Si,20,Femenino,3,Si,Letra de canciones,BTS,4,Escuché su música y me gustó,Entusiasmada (o),Facebook,45,10,Álbumes,Merchandising online,Si
10/06/2021 19:49:03,Si,18,Masculino,3,Si,Coreografías,Black Pink,5,Escuché su música y me gustó,Fortalecida (o),Instagram,0,0,Discos,Conciertos,Si
10/06/2021 19:50:30,Si,28,Femenino,4,Si,Vestimenta,Twice,5,Influencia Redes Sociales,Esperanzada (o),Facebook,20,0,Poster,Lounge coffee,No
10/06/2021 19:51:26,Si,20,Masculino,2,Si,Coreografías,BTS,5,Escuché su música y me gustó,Alegre,Facebook,0,0,Álbumes,Conciertos,No
10/06/2021 19:52:20,Si,21,Masculino,3,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Entusiasmada (o),Facebook,20,0,Discos,Merchandising online,No
10/06/2021 19:56:03,Si,21,Masculino,6,No,Ritmo,Black Pink,1,Influencia de un amiga (o),Tranquila (o),YouTube,0,0,Discos,Conciertos,No
10/06/2021 19:56:07,Si,24,Femenino,5,No,Letra de canciones,BTS,5,Influencia de un amiga (o),Relajada (o),Instagram,150,100,Poster,Restaurantes,Si
10/06/2021 19:57:38,Si,18,Masculino,1,No,Coreografías,Black Pink,4,Escuché su música y me gustó,Alegre,Instagram,20,30,Álbumes,Lounge coffee,Si
10/06/2021 19:58:10,Si,20,Masculino,3,Si,Letra de canciones,Black Pink,4,Escuché su música y me gustó,Esperanzada (o),Facebook,45,10,Discos,Kasoo,Si
10/06/2021 19:58:58,Si,19,Masculino,1,No,Idols,Otro,1,Escuché su música y me gustó,Alegre,Instagram,0,0,Álbumes,Conciertos,No
10/06/2021 19:59:43,Si,23,Masculino,4,Si,Letra de canciones,TXT,5,Influencia Redes Sociales,Esperanzada (o),Facebook,20,0,Discos,Kasoo,No
10/06/2021 20:00:38,Si,22,Masculino,1,Si,Ritmo,Black Pink,3,Escuché su música y me gustó,Esperanzada (o),Facebook,60,20,Cuadernos,Merchandising online,Si
10/06/2021 20:02:18,Si,17,Masculino,2,Si,Coreografías,BTS,5,Influencia de un amiga (o),Alegre,Instagram,30,20,Poster,Conciertos,No
10/06/2021 20:03:24,Si,19,Masculino,3,Si,Coreografías,BTS,3,Escuché su música y me gustó,Esperanzada (o),Facebook,30,10,Calendarios,Kasoo,No
10/06/2021 20:04:51,Si,18,Femenino,3,No,Coreografías,BTS,3,Influencia Redes Sociales,Alegre,Facebook,0,0,Ropa,Conciertos,No
10/06/2021 20:08:47,Si,21,Femenino,3,Si,Letra de canciones,Black Pink,5,Escuché su música y me gustó,Esperanzada (o),Facebook,20,20,Discos,Conciertos,No
10/06/2021 20:13:55,Si,25,Femenino,3,Si,Coreografías,Twice,5,Influencia Redes Sociales,Alegre,Instagram,100,30,Álbumes,Restaurantes,No
10/06/2021 20:13:55,Si,21,Femenino,2,Si,Letra de canciones,BTS,5,Influencia Redes Sociales,Fortalecida (o),Instagram,0,0,Ropa,Academia de Baile,Si
10/06/2021 20:13:59,Si,30,Femenino,5,Si,Letra de canciones,BTS,5,Escuché su música y me gustó,Esperanzada (o),Facebook,40,10,Discos,Merchandising online,No
