Marca temporal,Â¿CuÃ¡l es su peso? En kg,Â¿CuÃ¡l es su estatura? En cm,Â¿QuÃ© tipo de comida preferirÃ­a que contenga la carta?,Â¿CuÃ¡ntas veces al mes consume en un restaurante? Incluya las veces que pide comida por delivery por la situaciÃ³n actual,Â¿CuÃ¡nto gasta mensualmente al recurrir a restaurantes?,"Â¿El tipo de comida determina su preferencia en un restaurante? Por ejemplo comida vegetariana, dietÃ©tica, etc.",Â¿QuÃ© tipo de dieta alimenticia sigue?,Â¿CuÃ¡ntas kilocalorÃ­as procura consumir en un plato de comida?
2/07/2021 16:36,57,154,Comida China,1,11,No,Normal,500
2/07/2021 17:19,53,156,"Comida Peruana, solo con ambiente K-pop",10,88,Sí,Hipocalorica,580
2/07/2021 18:02,52.5,170,"Comida Peruana, solo con ambiente K-pop",60,220,Sí,Hipocalorica,480
2/07/2021 18:44,55,153,"Comida Peruana, solo con ambiente K-pop",1,22,No,Normal,640
2/07/2021 19:27,58,162,"Comida Peruana, solo con ambiente K-pop",5,44,No,Normal,620
2/07/2021 20:10,100,180,"Comida Peruana, solo con ambiente K-pop",4,220,Sí,Vegetariana,890
2/07/2021 20:53,78,176,"Comida Peruana, solo con ambiente K-pop",40,330,No,Normal,700
2/07/2021 21:35,78,175,"Comida Peruana, solo con ambiente K-pop",5,55,No,Normal,640
2/07/2021 22:18,98.8,180,"Comida Peruana, solo con ambiente K-pop",8,22,Sí,Vegetariana,790
2/07/2021 23:01,58,160,"Comida Peruana, solo con ambiente K-pop",5,110,No,Normal,610
2/07/2021 23:44,70,173,"Comida Peruana, solo con ambiente K-pop",1,55,No,Normal,560
3/07/2021 00:26,52.8,161,"Comida Peruana, solo con ambiente K-pop",1,8.8,Sí,Vegetariana,500
3/07/2021 01:09,73,176,"Comida Peruana, solo con ambiente K-pop",1,8.8,Sí,Vegetariana,500
3/07/2021 01:52,75,171,Comida China,12,132,No,Normal,700
3/07/2021 02:35,58,165,"Comida Peruana, solo con ambiente K-pop",2,22,No,Normal,560
3/07/2021 03:17,84.5,175,Comida China,1,11,No,Normal,690
3/07/2021 04:00,58,159,Comida China,3,110,No,Normal,610
3/07/2021 04:43,98.3,168,"Comida Peruana, solo con ambiente K-pop",3,33,Sí,Vegetariana,900
3/07/2021 05:26,81,183,"Comida Peruana, solo con ambiente K-pop",1,11,No,Normal,580
3/07/2021 06:08,60,160,"Comida Peruana, solo con ambiente K-pop",1,22,Sí,Vegetariana,650
3/07/2021 06:51,45,160,"Comida Peruana, solo con ambiente K-pop",5,55,Sí,Hipercalorica,440
3/07/2021 07:34,60,175,"Comida Peruana, solo con ambiente K-pop",12,110,No,Normal,500
3/07/2021 08:17,51.9,170,Comida China,23,132,Sí,Vegetariana,400
3/07/2021 08:59,77.5,186,"Comida Peruana, solo con ambiente K-pop",4,110,No,Normal,550
3/07/2021 09:42,60.5,170,"Comida Peruana, solo con ambiente K-pop",3,33,No,Normal,540
3/07/2021 10:25,56,168,"Comida Peruana, solo con ambiente K-pop",6,13.2,Sí,Vegetariana,630
3/07/2021 11:08,67,163,Comida China,2,22,No,Normal,720
3/07/2021 11:50,70,159,"Comida Peruana, solo con ambiente K-pop",7,550,No,Normal,680
3/07/2021 12:33,60,167,Comida China,4,44,No,Normal,650
3/07/2021 13:16,46,155,"Comida Peruana, solo con ambiente K-pop",1,22,Sí,Hipocalorica,510
3/07/2021 13:59,57,165,Comida China,6,55,No,Normal,640
3/07/2021 14:41,53,149,"Comida Peruana, solo con ambiente K-pop",10,165,No,Normal,600
3/07/2021 15:24,65,163,"Comida Peruana, solo con ambiente K-pop",10,110,No,Normal,630
3/07/2021 16:07,44,155,"Comida Peruana, solo con ambiente K-pop",4,55,Sí,Vegetariana,520
3/07/2021 16:50,85,180,"Comida Peruana, solo con ambiente K-pop",20,330,No,Normal,730
3/07/2021 17:32,55,160,"Comida Peruana, solo con ambiente K-pop",5,165,Sí,Vegetariana,610
3/07/2021 18:15,48,154,"Comida Peruana, solo con ambiente K-pop",2,77,No,Normal,600
3/07/2021 18:58,53,156,"Comida Peruana, solo con ambiente K-pop",1,5.5,Sí,Vegetariana,600
3/07/2021 19:41,65,160,"Comida Peruana, solo con ambiente K-pop",3,44,No,Normal,730
3/07/2021 20:23,51,158,"Comida Peruana, solo con ambiente K-pop",2,55,Sí,Vegetariana,570
3/07/2021 21:06,54,150,Comida China,2,220,No,Normal,560
3/07/2021 21:49,53.4,157,"Comida Peruana, solo con ambiente K-pop",4,55,No,Normal,610
3/07/2021 22:32,75,158,Comida China,4,220,No,Normal,890
3/07/2021 23:14,60.5,170,"Comida Peruana, solo con ambiente K-pop",2,55,No,Normal,610
3/07/2021 23:57,88,181,"Comida Peruana, solo con ambiente K-pop",8,132,No,Normal,690
4/07/2021 00:40,97,190,"Comida Peruana, solo con ambiente K-pop",5,66,No,Normal,690
4/07/2021 01:23,61.3,169,"Comida Peruana, solo con ambiente K-pop",20,330,No,Normal,650
4/07/2021 02:05,52,165,"Comida Peruana, solo con ambiente K-pop",10,165,No,Normal,500
4/07/2021 02:48,70,175,"Comida Peruana, solo con ambiente K-pop",2,22,No,Normal,590
4/07/2021 03:31,50,156,"Comida Peruana, solo con ambiente K-pop",3,22,No,Normal,550
4/07/2021 04:14,54,170,Comida China,40,440,No,Normal,490
4/07/2021 04:56,69,177,Comida China,4,55,Sí,Hipocalorica,600
4/07/2021 05:39,53,153,Comida China,4,165,No,Normal,600
4/07/2021 06:22,65.3,165,"Comida Peruana, solo con ambiente K-pop",3,55,No,Normal,540
4/07/2021 07:05,88.5,175,"Comida Peruana, solo con ambiente K-pop",5,110,Sí,Vegetariana,640
4/07/2021 07:47,60,170,Comida China,5,66,No,Normal,610
4/07/2021 08:30,95,173,"Comida Peruana, solo con ambiente K-pop",2,66,No,Normal,810
4/07/2021 09:13,50,153,"Comida Peruana, solo con ambiente K-pop",5,110,No,Normal,540
4/07/2021 09:56,80,176,"Comida Peruana, solo con ambiente K-pop",4,55,No,Normal,700
4/07/2021 10:38,70,155,"Comida Peruana, solo con ambiente K-pop",1,110,No,Normal,760
4/07/2021 11:21,74,172,"Comida Peruana, solo con ambiente K-pop",1,11,No,Normal,740
4/07/2021 12:04,58,160,"Comida Peruana, solo con ambiente K-pop",3,33,Sí,Hipocalorica,590
4/07/2021 12:47,85,169,"Comida Peruana, solo con ambiente K-pop",20,275,Sí,Vegetariana,860
4/07/2021 13:29,68,171,"Comida Peruana, solo con ambiente K-pop",4,22,No,Normal,610
4/07/2021 14:12,60,172,"Comida Peruana, solo con ambiente K-pop",50,220,No,Normal,610
4/07/2021 14:55,68,170,Comida China,4,220,No,Normal,500
4/07/2021 15:38,56,162,"Comida Peruana, solo con ambiente K-pop",4,66,Sí,Hipocalorica,530
4/07/2021 16:20,74.8,169,"Comida Peruana, solo con ambiente K-pop",4,110,No,Normal,680
4/07/2021 17:03,70,172,Comida China,3,110,Sí,Vegetariana,550
4/07/2021 17:46,60,160,"Comida Peruana, solo con ambiente K-pop",6,55,No,Normal,640
4/07/2021 18:29,64,150,"Comida Peruana, solo con ambiente K-pop",2,22,Sí,Vegetariana,650
4/07/2021 19:11,65,160,"Comida Peruana, solo con ambiente K-pop",3,165,No,Normal,660
4/07/2021 19:54,51,157,"Comida Peruana, solo con ambiente K-pop",8,99,No,Normal,600
4/07/2021 20:37,51.2,156,"Comida Peruana, solo con ambiente K-pop",6,66,Sí,Vegetariana,620
4/07/2021 21:20,51,167,"Comida Peruana, solo con ambiente K-pop",20,550,No,Normal,470
4/07/2021 22:02,65,168,Comida China,2,330,Sí,Vegetariana,610
4/07/2021 22:45,78,187,Comida China,10,110,No,Normal,570
4/07/2021 23:28,60.8,164,"Comida Peruana, solo con ambiente K-pop",5,220,Sí,Vegetariana,610
5/07/2021 00:11,88,170,Comida China,2,44,No,Normal,830
5/07/2021 00:53,63.2,173,"Comida Peruana, solo con ambiente K-pop",3,44,No,Normal,580
5/07/2021 01:36,65,160,"Comida Peruana, solo con ambiente K-pop",7,77,Sí,Vegetariana,650
5/07/2021 02:19,51.7,152,"Comida Peruana, solo con ambiente K-pop",3,44,No,Normal,600
5/07/2021 03:02,95,175,"Comida Peruana, solo con ambiente K-pop",20,385,No,Normal,770
5/07/2021 03:44,97.4,172,"Comida Peruana, solo con ambiente K-pop",2,22,Sí,Vegetariana,790
5/07/2021 04:27,54,156,Comida China,20,550,Sí,Hipocalorica,580
5/07/2021 05:10,53,158,"Comida Peruana, solo con ambiente K-pop",2,220,Sí,Vegetariana,580
5/07/2021 05:53,45.5,153,"Comida Peruana, solo con ambiente K-pop",2,33,Sí,Vegetariana,580
5/07/2021 06:35,59,155,Comida China,1,22,No,Normal,580
5/07/2021 07:18,90,176,Comida China,7,132,No,Normal,780
5/07/2021 08:01,56,168,Comida China,4,220,No,Normal,550
5/07/2021 08:44,77,176,"Comida Peruana, solo con ambiente K-pop",4,55,Sí,Hipocalorica,640
5/07/2021 09:26,50,162,"Comida Peruana, solo con ambiente K-pop",11,330,No,Normal,630
5/07/2021 10:09,68,175,"Comida Peruana, solo con ambiente K-pop",6,115.5,No,Normal,650
5/07/2021 10:52,72,159,"Comida Peruana, solo con ambiente K-pop",5,165,No,Normal,690
5/07/2021 11:35,73,183,Comida China,24,165,No,Normal,500
5/07/2021 12:17,75,165,Comida China,5,110,No,Normal,730
5/07/2021 13:00,72,175,Comida China,2,55,Sí,Vegetariana,560
5/07/2021 13:43,70,175,Comida China,5,55,No,Normal,630
5/07/2021 14:26,71.4,160,"Comida Peruana, solo con ambiente K-pop",1,11,No,Normal,640
5/07/2021 15:08,53.5,158,"Comida Peruana, solo con ambiente K-pop",1,22,Sí,Hipocalorica,600
5/07/2021 15:51,52,159,"Comida Peruana, solo con ambiente K-pop",3,22,No,Normal,600
5/07/2021 16:34,62,169,"Comida Peruana, solo con ambiente K-pop",4,110,No,Normal,500
5/07/2021 17:17,79,176,"Comida Peruana, solo con ambiente K-pop",2,33,Sí,Vegetariana,670
5/07/2021 17:59,57,160,"Comida Peruana, solo con ambiente K-pop",6,165,No,Normal,620
5/07/2021 18:42,80.7,169,Comida China,4,110,No,Normal,740
5/07/2021 19:25,68,175,"Comida Peruana, solo con ambiente K-pop",12,110,No,Normal,620
5/07/2021 20:08,58,162,"Comida Peruana, solo con ambiente K-pop",1,55,Sí,Hipocalorica,550
5/07/2021 20:50,96,181,"Comida Peruana, solo con ambiente K-pop",4,110,No,Normal,890
5/07/2021 21:33,71.4,195,Comida China,20,440,Sí,Vegetariana,510
5/07/2021 22:16,70,180,Comida China,15,495,No,Normal,600
5/07/2021 22:59,70,164,"Comida Peruana, solo con ambiente K-pop",1,2.2,Sí,Vegetariana,710
5/07/2021 23:41,80,174,"Comida Peruana, solo con ambiente K-pop",1,44,No,Normal,680
6/07/2021 00:24,57.6,158,"Comida Peruana, solo con ambiente K-pop",1,44,Sí,Vegetariana,570
6/07/2021 01:07,70,174,Comida China,4,55,No,Normal,540
6/07/2021 01:50,58,159,"Comida Peruana, solo con ambiente K-pop",10,165,Sí,Hipocalorica,620
6/07/2021 02:32,86,160,Comida China,8,88,No,Normal,850
6/07/2021 03:15,67,169,"Comida Peruana, solo con ambiente K-pop",8,70.4,No,Normal,650
6/07/2021 03:58,54,159,Comida China,6,165,No,Normal,540
6/07/2021 04:41,50,172,"Comida Peruana, solo con ambiente K-pop",16,77,Sí,Hipercalorica,390
6/07/2021 05:23,55,160,"Comida Peruana, solo con ambiente K-pop",2,33,Sí,Vegetariana,640
6/07/2021 06:06,63,162,"Comida Peruana, solo con ambiente K-pop",1,16.5,No,Normal,540
6/07/2021 06:49,65,160,"Comida Peruana, solo con ambiente K-pop",6,132,No,Normal,730
6/07/2021 07:32,58,154,Comida China,2,44,Sí,Hipocalorica,630
6/07/2021 08:14,72,173,"Comida Peruana, solo con ambiente K-pop",15,220,No,Normal,640
6/07/2021 08:57,78.8,175,Comida China,15,275,Sí,Vegetariana,690
6/07/2021 09:40,49,165,"Comida Peruana, solo con ambiente K-pop",10,220,Sí,Vegetariana,420
6/07/2021 10:23,58,163,Comida China,3,55,No,Normal,530
6/07/2021 11:05,77,175,"Comida Peruana, solo con ambiente K-pop",7,88,No,Normal,690
6/07/2021 11:48,73,178,"Comida Peruana, solo con ambiente K-pop",1,22,Sí,Vegetariana,640
6/07/2021 12:31,60,168,"Comida Peruana, solo con ambiente K-pop",10,55,No,Normal,600
6/07/2021 13:14,53,164,"Comida Peruana, solo con ambiente K-pop",5,55,No,Normal,650
6/07/2021 13:56,66,169,"Comida Peruana, solo con ambiente K-pop",5,71.5,No,Normal,590
6/07/2021 14:39,71,173,"Comida Peruana, solo con ambiente K-pop",6,165,No,Normal,570
6/07/2021 15:22,52,160,"Comida Peruana, solo con ambiente K-pop",4,44,No,Normal,600
6/07/2021 16:05,54,175,"Comida Peruana, solo con ambiente K-pop",6,33,Sí,Hipercalorica,400
6/07/2021 16:47,64,163,Comida China,10,110,No,Normal,580
6/07/2021 17:30,58.5,160,"Comida Peruana, solo con ambiente K-pop",2,22,No,Normal,570
6/07/2021 18:13,73,163,"Comida Peruana, solo con ambiente K-pop",5,44,No,Normal,640
6/07/2021 18:56,71.3,163,Comida China,6,55,No,Normal,730
6/07/2021 19:38,54.5,150,"Comida Peruana, solo con ambiente K-pop",3,66,No,Normal,590
6/07/2021 20:21,52,155,Comida China,2,88,No,Normal,600
6/07/2021 21:04,87.6,167,"Comida Peruana, solo con ambiente K-pop",6,66,No,Normal,880
6/07/2021 21:47,80,172,"Comida Peruana, solo con ambiente K-pop",10,66,No,Normal,720
6/07/2021 22:29,65,161,"Comida Peruana, solo con ambiente K-pop",3,55,No,Normal,650
6/07/2021 23:12,86,182,"Comida Peruana, solo con ambiente K-pop",3,55,Sí,Vegetariana,730
6/07/2021 23:55,58,170,"Comida Peruana, solo con ambiente K-pop",10,220,No,Normal,550
7/07/2021 00:38,74,170,"Comida Peruana, solo con ambiente K-pop",2,15.4,No,Normal,750
7/07/2021 01:20,60,169,"Comida Peruana, solo con ambiente K-pop",3,110,No,Normal,560
7/07/2021 02:03,50,160,"Comida Peruana, solo con ambiente K-pop",1,55,Sí,Vegetariana,570
7/07/2021 02:46,63,179,"Comida Peruana, solo con ambiente K-pop",8,330,Sí,Vegetariana,550
7/07/2021 03:29,59,162,"Comida Peruana, solo con ambiente K-pop",4,44,No,Normal,600
