Edad,Genero,Profesion,Ciclo,Modalidad_Preferenci,Horas_de_sueno_al_dia_semana_presencial,Horas_de_sueno_al_dia_semana_virtual,Costo_transporte,Tiempo_de_traslado,Tiempo_en_la_universidad,Costo_alimentacion,Tiemppo_en_cada_curso,Numero_de_cursos,Satisfaccion_de_horario,Riesgo_de_robo,Satisfaccion_de_Modalidad
20,Masculino,energia,9,Presencial,8,9,0,0.05,4,2,3,4,3,1,1
17,Femenino,cs,2,Presencial,6,6.5,2,0.15,4,20,8,7,7,2,6
20,Femenino,bioingeneria,2,Hibrida,6.3,7.3,7,0.4,8,14,5,6,2,5,7
18,Femenino,ambiental,2,Presencial,6.4,8.3,3,0.2,4,20,6,4,10,2,7
19,Femenino,ambiental,2,Hibrida,5.3,8.3,5,1.3,8,10,4,7,5,9,2
21,Femenino,industrial,2,Virtual,6.3,7.3,7.5,2,6,30,3,6,5,8,9
18,Masculino,cs,4,Virtual,6.5,6,6,1.2,7,20,2,4,4,10,3
19,Masculino,ambiental,5,Presencial,7.3,7.15,0,0.05,5,20,6,6,8,2,7
20,Masculino,mecatronica,6,Hibrida,4.3,10,0,0.15,0.15,15,3,5,5,6,1
21,Masculino,energia,6,Presencial,9,10,6,1.3,8.3,5,2,6,10,7,8
18,Masculino,bioingeneria,2,Virtual,7,7,8.4,1,12,10,3,7,7,3,5
24,Masculino,ambiental,8,Presencial,6,7,6,1.5,5,5,4,4,7,7,6
20,Femenino,ambiental,9,Hibrida,5,7,11,3,4,20,4,4,3,9,8
21,Masculino,ambiental,5,Presencial,7,8,8,1.3,4.3,13,3,6,9,7,8
19,Masculino,mecatronica,4,Presencial,8,8,3,1,6,4,3,5,5,5,3
19,Femenino,ambiental,3,Hibrida,5.3,7,3,0.3,6,15,9,7,6,7,7
18,Masculino,mecanica,3,Presencial,7,7,2,0.18,4,5,2,5,6,3,5
22,Masculino,industrial,9,Virtual,7.3,7.3,3,0.2,2,0,4,4,8,2,7
18,Masculino,bioingeneria,2,Presencial,5,7,0,0.18,13,11,6,7,6,7,6
18,Masculino,mecatronica,3,Presencial,8,8,0,0.7,6,20,5,5,10,3,2
26,Masculino,ambiental,8,Virtual,6,8,15,1.3,6,50,1,6,3,7,4
17,Masculino,mecatronica,2,Hibrida,5.3,5.3,0,0.01,6.3,20,6,6,10,2,9
19,Femenino,bioingeneria,7,Hibrida,7,8,6,1,5,10,5,6,7,7,7
19,Femenino,ambiental,3,Hibrida,7,9,10,1.3,5,10,3,5,7,6,3
18,Masculino,industrial,3,Presencial,8,8,9,1,9,14,5,7,8,5,5
18,Masculino,ambiental,1,Presencial,6.3,7.3,7,1.3,10,12.5,4,6,8,7,4
20,Masculino,mecatronica,3,Hibrida,6.3,8,5,2,10,15,4,6,7,6,7
18,Masculino,mecatronica,3,Hibrida,7.3,6.3,10,6.3,7.1,10,2,4,4,3,7
18,Femenino,bioingeneria,3,Virtual,5,8,3,0.3,12,10,1.2,5,4,5,3
19,Masculino,and,3,Hibrida,6.3,7,8,0.5,4,35,3,6,5,7,7
17,Femenino,bioingeneria,2,Virtual,5,8,10,2,6,20,10,7,8,10,3
18,Femenino,bioingeneria,3,Presencial,5.3,5.3,12,0.3,8,10,6,5,7,7,5
17,Masculino,cs,1,Presencial,5.3,6.3,0,0.3,6.3,14.5,8,6,7,3,7
19,Femenino,ambiental,4,Virtual,7.3,9,1.75,2.15,8.3,14.2,10.3,4,7,9,7
20,Femenino,ambiental,7,Presencial,4.3,7,6,1.3,8.3,18,4,5,4,9,6
22,Femenino,ambiental,5,Presencial,6,6,6,2.3,8,20,3,6,6,7,5
17,Masculino,ambiental,1,Hibrida,4,4.3,3.5,1.3,1.3,20.5,0.3,5,9,3,9
19,Femenino,ambiental,8,Virtual,4,6,10,3.2,8,20,4,6,5,7,7
18,Femenino,ambiental,2,Virtual,6,8,10.5,1.3,6,10,3,6,2,9,4
17,Masculino,ambiental,1,Hibrida,7.3,8.3,5,1.1,7,6.5,4,6,7,7,10
22,Femenino,ambiental,7,Hibrida,5.3,5.3,12,2.3,7.3,12,5,7,7,6,8
17,Masculino,cs,1,Presencial,6,5.4,4,0.3,5,10,2,6,6,7,1
19,Masculino,ambiental,6,Hibrida,4,6,2.5,1.3,6,5,7,6,7,6,8
18,Femenino,mecatronica,3,Virtual,6,7,4.5,2.3,5.3,20.15,4.3,4,7,8,7
20,Femenino,bioingeneria,6,Hibrida,4,6,10,1.45,6,15,5,6,4,9,6
17,Masculino,cs,1,Presencial,8.3,6.4,6,0.25,4,20,2.3,4,3,7,3
19,Masculino,mecatronica,3,Presencial,6,6,10,3.1,4,4,4,4,5,4,7
17,Masculino,cs,1,Presencial,5.3,7,11,1.3,11,11,5,6,5,9,6
18,Masculino,civil,3,Hibrida,7,9,5,1.1,9,14,5,4,8,8,9
20,Femenino,industrial,2,Hibrida,6.3,6.3,15,2,6,15,2,7,8,10,10
19,Masculino,cs,1,Presencial,4.3,4.3,4,0.4,14.3,15,4.3,6,10,6,1
18,Masculino,industrial,3,Virtual,8,10,10,1.45,6,18.5,12,5,7,9,6
22,Femenino,bioingeneria,3,Hibrida,6,8,10,1.1,6,16,5,4,8,10,10
18,Femenino,industrial,3,Virtual,8,8,5,1.2,12,10,7,5,8,2,7
19,Masculino,mecatronica,3,Hibrida,7.3,7.3,7.5,1.25,7.3,15.5,3.3,4,5,9,7
20,Masculino,cs,3,Hibrida,9,9,0,0,0,40,6,2,8,5,10
18,Femenino,quimica,3,Hibrida,7.5,6,4,2,8,21,6,4,9,3,9
20,Masculino,mecatronica,2,Presencial,4,4,13,0.2,12,15,15,7,7,7,1
18,Femenino,bioingeneria,3,Hibrida,7,6,4,0.4,4,15,3,5,5,6,5
18,Masculino,mecatronica,3,Hibrida,6.5,8,5,2,2,7,5,5,9,6,10
17,Femenino,industrial,2,Presencial,3.3,4.3,9,2.15,13,13,5,8,8,9,10
17,Masculino,electronica,3,Hibrida,6,7,6.5,1.4,6,12,2,4,10,5,8
21,Masculino,civil,4,Virtual,7,9,10,1.3,6,20,4,7,8,6,4
18,Femenino,industrial,5,Hibrida,4,6,6.5,6.5,7,25,5,5,4,10,7
18,Femenino,ambiental,3,Presencial,8.3,8.3,15,0.2,5.3,0,2.3,6,7,5,1
24,Masculino,cd,1,Presencial,7,9,5,0.2,2,10,2,6,2,2,4
18,Masculino,cs,3,Presencial,7,8,0,0.2,4,0,5,6,2,7,1
20,Masculino,mecatronica,4,Presencial,6,8,10,2,4,20,4,8,6,7,7
20,Masculino,civil,2,Hibrida,5,5,0,0.15,10,10,3,8,6,6,6
19,Masculino,civil,2,Presencial,7,7,2,0.2,10,10,4,6,6,6,2
20,Femenino,bioingeneria,5,Hibrida,7,9.3,18,0.18,4,12,5,6,3,2,5
18,Masculino,mecanica,3,Hibrida,7,8.5,13,0.15,5,20,4,5,7,3,8
19,Masculino,bioingeneria,3,Hibrida,6,7,4,1,6,12,6,5,8,7,7
19,Femenino,industrial,3,Hibrida,5,6,8,1.1,9,20,3,8,7,9,9
18,Masculino,industrial,2,Presencial,4,5,0,0.1,12,30,12,6,7,3,2
19,Masculino,mecatronica,4,Hibrida,7,6.3,6.5,1.35,6,14,4,8,2,8,4
20,Masculino,cs,4,Presencial,6.3,6.3,15.5,0.3,7.3,15,8,7,8,2,3
18,Femenino,industrial,3,Virtual,7,8.3,3.5,0.35,4.3,0,5.3,4,8,3,6
20,Masculino,bioingeneria,5,Hibrida,5,7,7,0.5,5,11,4,5,7,4,5
18,Femenino,civil,2,Presencial,7,7,10.5,1.4,10,10,6,6,8,7,5
18,Masculino,mecatronica,3,Hibrida,5,7,0,5,4,10,2,5,9,1,10
17,Masculino,cs,1,Hibrida,5,7,0,0.1,5,0,4,7,5,2,4
18,Femenino,ambiental,3,Hibrida,7,9,6,2,10,12,4,6,6,7,7
22,Masculino,cs,2,Virtual,6,8,12,3.3,4,15,3,5,6,8,8
20,Femenino,civil,4,Presencial,4,7,7,2.3,8,20,12,8,1,8,5
19,Masculino,mecanica,5,Presencial,5,8,2.5,15,5,10,5,4,4,7,6
18,Masculino,mecatronica,5,Hibrida,4,10,7,0.3,6.5,7,6,6,6,4,5
20,Masculino,civil,4,Presencial,5,8,9,1.5,10,12.2,3,8,3,7,8
20,Masculino,electronica,4,Virtual,4.3,6.3,7,1,14,15,10,6,8,9,8
19,Femenino,quimica,2,Presencial,5.3,6.3,0,0.15,7,14,4,6,8,2,2
18,Masculino,civil,3,Presencial,7,8,2,0.1,5,22,1,7,6,5,6
20,Femenino,industrial,2,Presencial,5,8,6,1.3,6,13,4,6,6,10,6
17,Masculino,mecatronica,2,Presencial,7.34,6.5,4,0.2,6.4,12,2,6,6,5,9
18,Femenino,bioingeneria,3,Virtual,6,7.5,3,0.2,8,0,6,4,1,3,7
18,Masculino,ambiental,4,Presencial,4,6.3,17,2,15,10,3,6,4,8,5
18,Femenino,civil,2,Virtual,0,6.3,0,0,0,0,9,6,9,1,2
21,Masculino,mecanica,4,Hibrida,5.3,8,2.5,0.4,6,12.5,8,7,7,5,8
20,Masculino,cs,7,Hibrida,5.3,6.3,4.1,2,8,10,8,6,6,10,8
20,Masculino,industrial,4,Virtual,7,7,0,0.15,4,16,2,6,6,8,4
20,Femenino,mecatronica,3,Hibrida,7.2,7.2,6,1.2,5,10,4,5,5,10,8
19,Masculino,industrial,5,Hibrida,8,8,2.5,1.15,4,5,6,5,5,7,7
21,Femenino,ambiental,6,Virtual,5,15,10,2,6,12,12,7,1,7,5
18,Femenino,mecatronica,3,Hibrida,6,7.5,5.25,1.2,3,0,5,8,5,8,10
21,Masculino,mecatronica,8,Hibrida,10.2,19,7.5,0.45,6.5,18.5,10.5,4,5,5,3
20,Masculino,mecatronica,9,Virtual,7,7,15,1,7,20,4,4,3,4,7
18,Femenino,bioingeneria,3,Hibrida,5.3,7,2.5,0.2,14,16,6,5,4,4,5
18,Femenino,bioingeneria,5,Virtual,7,8,35,0.3,5,5,2,6,3,4,2
19,Masculino,mecatronica,5,Presencial,5,4,4.75,0.4,6,10,10,6,5,7,8
21,Femenino,industrial,2,Virtual,5,7,14,2,6,15,5,6,6,8,7
20,Masculino,industrial,6,Presencial,7,6,3.5,0.5,6.3,13,3,5,6,6,3
18,Masculino,mecatronica,3,Hibrida,5,8,3,0.4,10,14,20,6,7,5,5
18,Masculino,bioingeneria,3,Hibrida,7,8,2.5,0.3,4,20,5,4,10,5,5
23,Masculino,mecatronica,3,Hibrida,7,7,0,0.3,2,6,4,6,7,5,7
19,Femenino,quimica,3,Hibrida,6,8,0,0.07,2,0,6,5,5,6,10
17,Masculino,quimica,1,Presencial,6,7,6,1.5,8,10,5,5,7,5,6
21,Masculino,mecatronica,3,Hibrida,7,7,2.5,0.3,8,20,5,6,4,7,4
18,Femenino,ambiental,3,Hibrida,6.3,7,5,1.3,7,1.5,4.5,6,6,7,7
19,Femenino,ambiental,3,Presencial,4,1,20,0.2,10,25,4,1,3,4,5
16,Femenino,bioingeneria,1,Hibrida,6,8,5,1.3,6,5,2,7,6,5,8
18,Femenino,bioingeneria,2,Hibrida,6,8,10,1.45,7,15,4.5,6,5,10,8
17,Femenino,ambiental,1,Hibrida,3.3,8.3,6,0.25,8.3,20.5,5.3,6,5,8,8
18,Masculino,cs,2,Hibrida,5,7,12.5,1.3,4,20,2,4,7,8,5
20,Femenino,ambiental,5,Hibrida,6,8,15,0.25,7,15,7,5,8,4,8
18,Masculino,quimica,3,Hibrida,7,10,0,0.4,6,15,2,5,7,4,7
18,Masculino,civil,3,Presencial,7.3,6,25,3,5,16,4,7,2,7,9
20,Masculino,industrial,5,Hibrida,6.4,7.5,3,0.3,6,5,4,5,8,9,10
17,Masculino,cs,4,Presencial,5.3,7,3.5,0.4,8,10,3,5,8,7,1
18,Femenino,mecatronica,5,Virtual,3.5,9,6,2,4,15,4,8,7,6,6
18,Masculino,mecatronica,6,Hibrida,6.5,6.5,4.5,1.3,5.3,13,5,4,8,7,10
18,Femenino,quimica,5,Presencial,5.4,7.3,10,3,6,14,2,7,9,6,7
21,Masculino,mecatronica,4,Hibrida,6.2,8.3,7,1.5,7,20,7,5,5,8,7
20,Femenino,cs,5,Hibrida,9,8.3,7,1,8,6,4.3,6,6,9,10
20,Masculino,industrial,6,Hibrida,5.3,7.3,5,1.2,6.5,0,5,6,6,7,9
20,Femenino,cd,1,Hibrida,5,6,4.5,1.3,7,10,2.3,6,1,4,1
19,Masculino,cs,3,Presencial,6,7.15,10,3,14,15,4,8,4,9,5
21,Masculino,mecatronica,2,Virtual,6,10,15,3,5,15,5,8,6,8,10
18,Masculino,civil,4,Presencial,6.3,10,6,1.45,6,18.5,5,6,3,10,10
21,Femenino,civil,5,Presencial,3.3,7,7.2,1.4,6,16,2,6,8,6,8
20,Masculino,bioingeneria,5,Presencial,7.3,7,3.4,0.45,6.3,10,4.3,5,8,9,2
17,Femenino,mecanica,2,Presencial,6.3,7,5,1.55,10,15.5,12,5,6,10,8
18,Femenino,bioingeneria,4,Virtual,7,8,10,2.5,4,12,5,8,5,2,7
20,Masculino,industrial,2,Presencial,8,8,3,0.25,2,0,9,6,5,9,3
18,Masculino,industrial,3,Virtual,6,8,8,2.4,2,15,8,5,1,7,5
18,Femenino,mecatronica,2,Hibrida,6.3,8,10,3,6,15,8,5,5,8,5
20,Femenino,cs,2,Hibrida,6.4,6,12,3.2,6,7,2,7,5,8,7
17,Masculino,industrial,2,Virtual,5.3,7.3,0,0.15,7,13,4,8,3,7,10
18,Femenino,bioingeneria,4,Hibrida,6.3,8,1.75,0.2,10,12,6,4,4,4,6
18,Masculino,mecatronica,2,Hibrida,7,7,6,2,6,20,12,4,3,7,4
18,Masculino,quimica,4,Virtual,6,6,6,1.4,7,15,5,5,5,9,7
21,Masculino,quimica,7,Hibrida,6.3,8,3.5,1.45,4,15,10.5,6,6,2,9
20,Masculino,mecatronica,4,Presencial,6.3,7,10,3,2,18.4,4,6,6,5,10
21,Femenino,ambiental,3,Presencial,8,6.3,10.5,3.2,6,16,6,6,7,10,1
17,Masculino,ambiental,5,Presencial,7,7,5,1.3,6,10,2,5,10,5,6
19,Masculino,bioingeneria,2,Hibrida,6,5,12,3.3,6,15.5,10,6,8,3,10
19,Femenino,bioingeneria,5,Presencial,6,7.3,4,0.5,9,40,5,4,8,8,7
18,Femenino,ambiental,3,Hibrida,9,4,2.5,0.35,5.3,16,3,6,10,5,7
18,Masculino,cs,3,Presencial,5.3,2.1,4.5,1.45,2,15,5,5,7,10,10
20,Femenino,mecatronica,5,Hibrida,5,6,10,3,4,15,2.3,6,8,8,9
18,Masculino,cs,3,Hibrida,6,6.3,6,2,4,7,4,6,8,8,1
18,Masculino,industrial,3,Presencial,6,8,10,3.2,7,13,5,5,5,4,5
19,Masculino,bioingeneria,6,Virtual,6.3,7,11,3.4,8,12,5,5,8,4,10
17,Masculino,civil,1,Presencial,3.3,8,5,2,4,20,2,8,9,7,10
18,Femenino,mecatronica,4,Hibrida,7.3,5.3,15,3.35,5,12,4.3,6,7,9,8
17,Masculino,cs,1,Hibrida,6.3,6.3,4,1.45,6,20,12,5,5,7,2
19,Masculino,ambiental,6,Presencial,5,9,10,3.1,9,10,5,5,9,6,8
20,Femenino,cs,1,Hibrida,6.3,7,10,3,5,10,9,7,8,7,7
22,Femenino,civil,3,Hibrida,5,6,5,1.45,6,12,8,8,10,6,3
17,Masculino,mecanica,2,Virtual,5.3,4.3,7.5,2.45,2,0,8,4,8,8,6
18,Femenino,mecatronica,1,Hibrida,5.3,6,0,0.1,2,0,2,4,4,9,3
18,Masculino,civil,3,Virtual,7.3,8,4,1.4,8,20,6,5,7,7,7
19,Femenino,electronica,3,Presencial,4.3,8.3,13,3.1,5,30,2,4,2,7,6
19,Masculino,quimica,4,Presencial,6,5.3,10.5,3,4,14,3,7,2,4,9
18,Masculino,civil,3,Virtual,4,5,0,0.15,10,15,5,5,6,9,10
19,Masculino,cs,4,Presencial,4,6,0,0.12,6,15,3,6,6,8,1
21,Femenino,mecatronica,4,Presencial,6,7,6,2.25,5,11,4,6,6,10,6
20,Masculino,civil,6,Hibrida,7.3,6,7,2.5,5,10,5,6,3,6,10
19,Femenino,civil,2,Virtual,5.3,6.4,7,2.4,4,10,4,8,7,9,7
19,Femenino,bioingeneria,5,Virtual,5,6,2.5,0.42,7,25,6,8,8,10,7
17,Masculino,mecanica,5,Hibrida,4,7,7,2.25,6,14,5,6,7,2,10
18,Masculino,bioingeneria,5,Hibrida,6,6,9,2.5,5,15,5,6,7,9,9
20,Masculino,industrial,6,Presencial,4,4.3,7,2.1,6,20.5,3,5,4,3,1
19,Masculino,industrial,7,Hibrida,8.3,7,0,0.14,6,20,4,5,7,4,5
21,Femenino,industrial,7,Virtual,6,5,2,0.3,8,15,5,8,2,7,10
22,Femenino,mecatronica,8,Hibrida,5.3,6,6,2,4,15,4,6,2,1,10
20,Masculino,cs,6,Presencial,5,7,4,1.4,5.3,16,6,8,6,2,8
19,Femenino,industrial,5,Presencial,4.4,6,3,1.35,6,15,3,7,6,7,7
17,Masculino,bioingeneria,2,Presencial,6.2,7.2,17,3.25,5,13,4,4,3,8,10
18,Masculino,civil,4,Presencial,5,6,0,0.15,8,11,6,5,5,8,9
