Marca temporal,¿Cuántos años tienes? (Ingrese un valor entero),Año de egreso del colegio (Ingrese un valor entero. Ejem 2020),"Ciclo de ingreso a la universidad (Ejem. 2022.1, 2021.2)",Género biológico , ¿En qué ciclo estás actualmente? (del 2 al 10),¿Qué carrera estudias?,¿Tuviste orientación vocacional antes de elegir la carrera que actualmente estudias?, ¿Qué influyó en la elección de tu carrera? (Puedes marcar más de una),¿Cuánto tiempo le dedicas a estudiar al dia ? (Escribir en horas y si requiere de decimales usar el punto.  Ejem: 2.5 => 2 h 30min),¿Cuál es el monto mensual de salario que esperas después de graduarte? (Usa punto decimal),¿Te encuentras en riesgo académico?,¿Alguna vez pensaste en retirarte de la carrera que actualmente estudias en UTEC?,Si tuvieras la oportunidad de volver a estudiar una carrera.¿Estudiarías tu carrera actual de UTEC? ,Del 1 al 10 qué tan satisfecho te encuentras con la carrera que estudias?, ¿Cuál es tu promedio ponderado exacto del semestre pasado? Use punto decimal (0 al 20),Según la siguiente escala. ¿Cómo consideras que se encuentra tu salud mental?
24/04/2023 16:41:16,19,2020,2021-2,Femenino,4,Ingeniería Industrial,No,Posibilidad de obtener una beca,5.5,5000,No,Sí,No,5,14,Regular
24/04/2023 17:00:54,20,2020,2020,Masculino,5,Ingeniería Industrial,No,plata,2.5,100000000000000,No,No,No,1,19,Muy malo
24/04/2023 17:06:03,20,2019,2022-2,Femenino,2,Ingeniería Ambiental,No,"Habilidades, Intereses",3,4500,No,No,No,8,16.8,Regular
24/04/2023 17:06:28,19,2019,2021-2,Masculino,4,Bioingeniería,No,"Intereses, Posibilidad de obtener una beca",2,2000,No,Sí,Si,6,15,Muy malo
24/04/2023 17:09:28,20,2019,2021-1,Femenino,4,Ingeniería Industrial,Si,"Presión familiar, Posibilidad de obtener una beca",4,2000,No,No,No,8,13.45,Bueno
24/04/2023 17:17:38,17,2021,2022-2,Femenino,2,Bioingeniería,Si,"Presión familiar, Salario, Campo laboral, Intereses",2,1900.00,No,Sí,Si,8,15.24,Muy malo
24/04/2023 17:21:04,18,2020,2021-2,Femenino,3,Ingeniería Industrial,No,"Presión familiar, Salario, Campo laboral, Posibilidad de obtener una beca",2.5,3000,No,Sí,No,4,14,Regular
24/04/2023 17:24:06,18,2021,2022-2,Masculino,2,Ingeniería Química,No,"Salario, Campo laboral, Intereses, Posibilidad de obtener una beca",4.5,2000,No,No,No,9,17.2,Bueno
24/04/2023 17:50:25,18,2020,2021-2,prefiero no decirlo,4,Ingeniería Industrial,Si,"Test vocacional, Habilidades, Intereses, Ubicación de la universidad",8,3000,No,No,Si,9,19,Regular
24/04/2023 17:55:13,18,2021,2022-II,Masculino,2,Ingeniería Civil,Si,Posibilidad de obtener una beca,2,3500,Si,Sí,Si,5,14,Malo
24/04/2023 17:56:38,19,2021,2021-2,Femenino,4,Ingeniería Ambiental,No,"Intereses, Posibilidad de obtener una beca",2,5000,No,Sí,Si,5,13,Malo
24/04/2023 18:22:40,21.162.527,2018,"626262655151,554251616,6717 ¡¡no pongan la opción de escribir!!",Soy un Pokémon que se identifica como una iguana extraterrestre con género macho y hembra a la vez,7,Ingeniería Mecánica,No,"Test vocacional, Habilidades, Intereses",100.000.000.000.000.000.000,10.000.000.000.000.000.000.000.000.000.000,No,No,Si,8,14.2,Bueno
24/04/2023 18:28:33,19,2019,2022-1,Masculino,4,Ingeniería Civil,No,"Salario, Campo laboral, Habilidades, Intereses",8,10000,No,No,Si,10,15,Muy bueno
24/04/2023 18:37:49,20,2019,2020-1,Femenino,7,Ingeniería Industrial,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses",4,2000,No,No,Si,9,18.65,Bueno
24/04/2023 18:46:21,20,2018,2021-2,Masculino,4,Ingeniería Industrial,Si,"Campo laboral, Intereses, Posibilidad de obtener una beca",4,3000,No,Sí,Si,8,16.95,Muy bueno
24/04/2023 19:11:54,19,2020,2021.2,Masculino,4,Ingeniería Industrial,Si,"Presión familiar, Intereses, Posibilidad de obtener una beca",9,8000,No,No,Si,8,11,Muy bueno
24/04/2023 19:16:08,20,2019,2022.2,Masculino,2,Ingeniería Mecánica,Si,Test vocacional,6.5,3500,No,No,Si,10,17.89,Bueno
24/04/2023 19:19:28,20,2021,2022.2,Masculino,2,Ciencia de la computación,Si,"Salario, Campo laboral, Habilidades",5,10000,No,No,Si,8,14.7,Regular
24/04/2023 20:00:40,18,2021,2022.2,Masculino,2,Ingeniería Mecánica,Si,"Campo laboral, Intereses",1,5000,No,No,Si,9,13,Bueno
24/04/2023 20:14:26,19,2019,2021.1,Femenino,5to,Ingeniería Industrial,Si,"Campo laboral, Habilidades, Intereses",5.30,4000,No,No,No,4,16.4,Regular
24/04/2023 20:44:08,22,2017,2022.2,Femenino,2,Ingeniería Industrial,Si,"Salario, Test vocacional, Intereses",2.34,5000,No,No,No,8,15.6,Regular
24/04/2023 21:00:24,18,2020,2022.1,Femenino,2,Ingeniería Civil,Si,"Salario, Campo laboral, Test vocacional, Habilidades",3.30,5800,No,No,Si,10,14.69,Bueno
24/04/2023 21:29:41,19,2019,2021,Masculino,5,Ingeniería Mecatrónica,Si,"Campo laboral, Test vocacional, Intereses",2.3,3000,No,No,Si,7,14.67,Regular
24/04/2023 22:34:03,18,2020,2022.1,Masculino,3,Ingeniería Mecánica,Si,"Presión familiar, Campo laboral, Test vocacional, Habilidades, Intereses",4,5000,No,No,No,8,12,Bueno
24/04/2023 22:37:14,18,2020,2022.2,Femenino,2,Ingeniería Ambiental,Si,"Presión familiar, Campo laboral, Test vocacional, Intereses, Posibilidad de obtener una beca",3.5,1500,No,Sí,No,7,15.65,Regular
25/04/2023 10:07:33,21,2018,2021.0,Masculino,5,Ingeniería Mecatrónica,Si,"Habilidades, Intereses",3,3000,No,No,Si,8,14.5,Bueno
25/04/2023 10:10:11,21,2019,2021.1,Femenino,5,Ingeniería Mecatrónica,No,"Presión familiar, Campo laboral, Habilidades, Intereses",4.5,2500,No,No,Si,7,14.31,Regular
25/04/2023 11:05:56,18,2021,2022.1,Masculino,3,Ciencia de la computación,No,Intereses,1.5,3000,No,No,Si,8,16.64,Bueno
25/04/2023 11:27:17,21,2018,2021.2,Femenino,4,Ingeniería Industrial,Si,Posibilidad de obtener una beca,4,6000,No,Sí,No,10,14.94,Bueno
25/04/2023 12:12:19,19,2020,2021.2,Femenino,4,Ingeniería Civil,Si,"Presión familiar, Test vocacional, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",2.4,2000,No,Sí,Si,8,13,Regular
25/04/2023 13:44:27,17,2021,2022.1,Masculino,3,Ingeniería Ambiental,No,"Presión familiar, Campo laboral, Intereses",2,4.000,No,Sí,Si,7,15.89,Regular
25/04/2023 17:29:19,19,2019,2022,Femenino,2,Ingeniería Química,Si,"Campo laboral, Habilidades",6,3000,No,No,Si,9,16,Malo
25/04/2023 21:56:42,18,2022,2022.1,Masculino,3,Ingeniería Industrial,No,"Presión familiar, Salario, Habilidades, Intereses, Ubicación de la universidad",2.5,2500.00,No,No,No,6,14,Regular
26/04/2023 8:06:47,20,2019,2022.1,Femenino,3,Ingeniería Ambiental,Si,Intereses,4,5000,No,Sí,No,9,14.16,Regular
26/04/2023 9:48:27,18,2021,2022.2,Masculino,2,Ingeniería Industrial,No,"Salario, Campo laboral, Intereses, Posibilidad de obtener una beca",3,5000,No,No,No,5,15,Muy malo
26/04/2023 9:48:53,19,2020,2022.2,Femenino,2,Ingeniería Ambiental,Si,Intereses,5.00,9000,No,No,Si,10,14,Muy malo
26/04/2023 11:43:30,18,2020,2022.2,Masculino,2,Ingeniería Mecatrónica,Si,"Campo laboral, Test vocacional, Intereses",4,3000,No,No,Si,9,16,Regular
26/04/2023 13:02:16,18,2021,2022,Femenino,2,Ingeniería Industrial,Si,"Salario, Habilidades, Intereses, Posibilidad de obtener una beca",2,2.500,No,Sí,Si,6,15,Bueno
26/04/2023 15:50:58,18,2021,2022.1,Femenino,3,Ingeniería Mecatrónica,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses, Ubicación de la universidad",5,3000,No,Sí,Si,7,13.63,Muy malo
26/04/2023 19:02:02,18,2020,2022,Femenino,3,Ingeniería Química,Si,"Presión familiar, Salario, Test vocacional, Posibilidad de obtener una beca",3.20,3000,No,No,Si,8,15.5,Regular
26/04/2023 19:03:26,17,2021,2022,Masculino,2,Ingeniería Mecatrónica,No,"Salario, Campo laboral, Habilidades, Intereses, Posibilidad de obtener una beca",12,19000,No,No,Si,10,16.5,Bueno
26/04/2023 19:07:03,20,2018,2019.1,Masculino,9,Ciencia de la computación,Si,"Salario, Campo laboral, Intereses",3,5000,No,Sí,Si,10,15.5,Regular
26/04/2023 19:11:10,21,2018,2020,Femenino,7,Ingeniería Industrial,Si,"Presión familiar, Salario, Campo laboral, Intereses",2,8000,No,No,Si,9,17.83,Regular
26/04/2023 19:40:36,1,2021,2022,Femenino,3,Bioingeniería,Si,"Presión familiar, Salario, Campo laboral, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",4.0,5000,No,Sí,Si,7,18.34,Bueno
27/04/2023 15:26:18,19,2020,2022.2,Masculino,2,Ingeniería Civil,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Posibilidad de obtener una beca",3,3500,No,No,Si,9,16.15,Regular
28/04/2023 8:09:00,21,2019,2022.1,Masculino,3,Bioingeniería,Si,"Campo laboral, Intereses",1.5,5000,Si,No,Si,8,12.85,Bueno
28/04/2023 9:30:23,22,2017,2021.2,Masculino,4,Bioingeniería,No,"Test vocacional, Intereses",3,3000,No,No,Si,10,11,Regular
28/04/2023 9:39:03,19,2021,2021.1,Masculino,3,Administración y negocios digitales,No,"Campo laboral, Habilidades, Intereses",4,200.000,Si,Sí,No,6,12,Regular
28/04/2023 17:57:44,19,2019,2021.2,Femenino,4,Ingeniería Civil,Si,"Habilidades, Intereses",7,5000,No,No,Si,10,13,Bueno
28/04/2023 18:39:03,19,2020,2021.1,Femenino,3,Ingeniería Mecatrónica,Si,"Presión familiar, Habilidades, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",2,1700,Si,No,Si,9,10.35,Bueno
28/04/2023 21:26:00,17,2021,2022.2,Masculino,2,Ingeniería Civil,No,"Salario, Campo laboral, Intereses",4,2100,No,No,No,10,17.5,Muy bueno
29/04/2023 13:57:34,25,2014,2016.1,Masculino,5,Ingeniería Industrial,Si,"Salario, Campo laboral, Habilidades, Intereses",3,3000,No,No,No,7,13,Bueno
29/04/2023 15:59:52,18,2021,2022,Masculino,2,Ingeniería Mecánica,Si,"Presión familiar, Salario, Campo laboral, Habilidades, Posibilidad de obtener una beca",4.5,2000,No,No,Si,8,18.05,Bueno
30/04/2023 17:05:57,18,2021,2022.2,Femenino,2,Ingeniería Industrial,No,Campo laboral,3,2500,No,No,Si,8,14,Regular
30/04/2023 17:08:37,20,2019,2022.2,Femenino,2,Ingeniería Industrial,Si,"Campo laboral, Habilidades, Intereses",3.5,2000,No,No,Si,8,15.7,Bueno
30/04/2023 17:09:06,20,2020,2022.2,Femenino,2,Ingeniería Industrial,Si,"Salario, Test vocacional, Habilidades, Posibilidad de obtener una beca",4,5.000,No,Sí,Si,8,15,Bueno
30/04/2023 17:09:39,18,2020,2022.2,Masculino,2,Ingeniería Civil,No,"Salario, Campo laboral",7,4000,No,No,Si,8,13.85,Regular
30/04/2023 23:25:55,19,2019,2021.2,Femenino,4,Bioingeniería,No,"Campo laboral, Habilidades, Intereses, Posibilidad de obtener una beca",4,5000,No,Sí,Si,10,16.32,Malo
30/04/2023 23:27:11,18,2021,2022.2,Femenino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses",2.5,2500,No,No,Si,9,18.15,Bueno
1/05/2023 0:12:44,19,2019,2022.1,Masculino,3,Ingeniería Industrial,No,"Presión familiar, Salario, Campo laboral, Habilidades, Intereses",4,7000,No,No,Si,9,13,Regular
1/05/2023 19:54:19,17,2021,2022.1,Masculino,3,Ingeniería Mecánica,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",4.5,3500,No,No,Si,9,17.89,Muy bueno
1/05/2023 19:56:14,19,2021,2021.2,Masculino,4,Bioingeniería,No,Test vocacional,5.55,10000,No,Sí,No,10,17.5,Malo
1/05/2023 20:02:33,21,2019,2021.2,Femenino,4,Bioingeniería,No,"Habilidades, Intereses, Posibilidad de obtener una beca",3,3000,No,No,No,9,15,Regular
1/05/2023 21:50:47,18,2021,2022.1,Femenino,3,Bioingeniería,Si,"Campo laboral, Test vocacional, Intereses",4,1500,No,Sí,Si,8,15,Regular
1/05/2023 22:01:39,19,2019,2021.2,Femenino,4,Ingeniería Civil,No,"Presión familiar, Salario, Campo laboral, Posibilidad de obtener una beca",4,2000,No,No,No,8,14,Regular
2/05/2023 11:26:15,20,2021,2022,Masculino,3,Ingeniería Mecánica,No,Intereses,5,20000,No,No,Si,10,17.5,Muy bueno
2/05/2023 11:37:23,18,2021,2022.2,Femenino,2,Ingeniería Industrial,Si,"Test vocacional, Habilidades, Ubicación de la universidad",4,2400,No,No,No,8,15.6,Regular
2/05/2023 11:37:47,18,2021,2022.1,Femenino,3,Ingeniería Mecánica,Si,"Presión familiar, Salario, Test vocacional, Habilidades, Posibilidad de obtener una beca",2.5,5000,No,Sí,Si,7,14,Regular
2/05/2023 11:40:37,18,2020,2021.1,Femenino,5,Ingeniería Mecatrónica,Si,"Salario, Campo laboral, Habilidades, Intereses",4,3000,No,No,Si,7,15.34,Bueno
2/05/2023 11:40:40,20,2019,2021.1,Masculino,5,Ciencia de la computación,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",3,4000,No,No,Si,10,15.3,Bueno
2/05/2023 11:40:41,20,2021,2021.1,Femenino,5,Bioingeniería,No,Presión familiar,6,3000,No,No,Si,9,15.25,Malo
2/05/2023 11:42:18,18,2020,2021.1,Femenino,5,Ingeniería Civil,Si,"Test vocacional, Intereses",4,10000,No,No,Si,8,15.14,Muy malo
2/05/2023 11:42:43,20,2016,2020.1,Masculino,7,Ingeniería Mecánica,No,"Salario, Campo laboral",8,8000,No,No,No,9,15.82,Muy malo
2/05/2023 11:43:45,19,2021,2022.1,Masculino,3,Bioingeniería,No,"Campo laboral, Habilidades, Intereses",8,3000,No,Sí,Si,10,16.8,Regular
2/05/2023 11:44:07,19,2020,2021,Masculino,5,Ingeniería Industrial,No,"Presión familiar, Salario, Campo laboral, Habilidades, Intereses",5,3000,No,No,No,6,14.5,Regular
2/05/2023 11:46:50,22,2017,2022.1,Masculino,3,Ingeniería Mecánica,Si,Intereses,1.5,4500,No,No,Si,9,12.98,Bueno
2/05/2023 11:49:27,18,2021,2022.2,Masculino,2,Bioingeniería,Si,"Salario, Campo laboral, Test vocacional, Habilidades",2,10000,No,No,Si,10,14.29,Muy bueno
2/05/2023 11:50:01,19,2019,2021.2,Femenino,4,Ingeniería Civil,Si,"Test vocacional, Intereses",6,5000,No,No,Si,10,13,Bueno
2/05/2023 11:51:37,22,2017,2018.1,Masculino,3,Ingeniería Mecatrónica,Si,"Salario, Test vocacional, Habilidades, Intereses",6.5,2000,No,Sí,Si,9,13.7,Bueno
2/05/2023 11:52:16,17,2021,2022.2,Masculino,3,Ingeniería Industrial,Si,"Test vocacional, Habilidades, Intereses",4.5,10000,No,No,Si,6,12.5,Bueno
2/05/2023 11:53:42,19,2020,2021.1,Masculino,5,Bioingeniería,Si,"Salario, Test vocacional, Habilidades, Intereses",2,20000,Si,No,Si,10,12.1,Muy bueno
2/05/2023 11:55:27,17,2021,2022,Masculino,3,Administración y negocios digitales,No,"Presión familiar, Campo laboral",4.0,4000.0,No,No,Si,7,14.0,Regular
2/05/2023 11:55:51,23,2016,2022.2,Masculino,2,Ciencia de la computación,Si,Presión familiar,2,5000,No,Sí,No,7,14,Bueno
2/05/2023 11:56:49,20,2019,2020.1,Femenino,7,Bioingeniería,Si,Campo laboral,5,2600,No,Sí,Si,8,15,Bueno
2/05/2023 11:56:53,21,2018,2022.2,Masculino,2,Ciencia de la computación,Si,"Campo laboral, Intereses",2.0,2500.00,No,No,Si,9,16.0,Bueno
2/05/2023 11:58:15,17,2021,2022.1,Femenino,3,Administración y negocios digitales,Si,"Presión familiar, Campo laboral, Test vocacional, Intereses",2.5,6000,No,Sí,No,10,14.6,Malo
2/05/2023 11:59:35,18,2021,2022.1,Masculino,3,Administración y negocios digitales,Si,"Salario, Campo laboral, Habilidades, Intereses, Ubicación de la universidad",2,20000,No,Sí,No,7,15,Muy bueno
2/05/2023 12:04:14,19,2020,2021,Masculino,4,Ingeniería Industrial,Si,"Campo laboral, Test vocacional, Habilidades",2,4000,No,Sí,Si,7,14.7,Bueno
2/05/2023 12:04:33,19,2020,2021.2,Femenino,4,Ingeniería Industrial,Si,"Test vocacional, Intereses, Posibilidad de obtener una beca",5.5,4.5,No,No,Si,7,15.32,Regular
2/05/2023 12:04:58,18,2021,2021.1,Femenino,4,Ingeniería Industrial,Si,"Presión familiar, Campo laboral, Test vocacional",4,3000,Si,Sí,Si,10,14,Regular
2/05/2023 12:08:21,21,2021,2021.1,Masculino,4,Ingeniería Mecánica,No,Test vocacional,5,5000,No,No,No,7,15,Regular
2/05/2023 12:56:53,20,2019,2020,Masculino,5,Ingeniería Civil,No,"Salario, Campo laboral, Ubicación de la universidad, Posibilidad de obtener una beca",5,3000,No,Sí,Si,9,14.2,Bueno
2/05/2023 13:53:31,19,2020,2021.2,Masculino,4,Ingeniería Eléctrica,Si,"Salario, Test vocacional, Habilidades, Intereses",2,3800,No,No,Si,8,13.8,Regular
2/05/2023 13:53:32,21,2018,2021.2,Femenino,3,Ingeniería Ambiental,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",2,3000,No,No,Si,9,14,Muy malo
2/05/2023 13:59:43,17,2022,2022.2,Masculino,1,Ingeniería de la Energía,No,"Salario, Campo laboral, Intereses",4.0,5.600,No,No,Si,10,20,Regular
2/05/2023 14:03:20,20,2019,2021.2,Masculino,4,Ingeniería Civil,Si,"Salario, Campo laboral, Habilidades",5,3000,No,No,Si,9,15,Muy bueno
2/05/2023 14:06:05,20,2019,2021.2,Femenino,4,Ingeniería Industrial,Si,"Presión familiar, Campo laboral, Test vocacional, Habilidades, Intereses",7,2500,No,No,Si,8,12,Regular
2/05/2023 14:16:02,18,2021,2022.1,Masculino,3,Ciencia de la computación,No,"Habilidades, Intereses, Ubicación de la universidad",4,10.000,Si,No,Si,10,13,Muy malo
2/05/2023 14:16:10,17,2021,2022.1,Masculino,3,Ingeniería Mecatrónica,No,Presión familiar,2.30,3000,Si,No,No,6,12.5,Bueno
2/05/2023 14:26:32,18,2020,2021,Masculino,4,Ingeniería Mecatrónica,Si,"Test vocacional, Habilidades, Intereses",2.5,5000,No,No,Si,8,13,Bueno
2/05/2023 14:27:52,18,2021,2022,Femenino,3,Bioingeniería,Si,"Presión familiar, Intereses, Ubicación de la universidad",2,15000,Si,Sí,No,5,10,Muy malo
2/05/2023 14:28:01,17,2021,2022.1,Femenino,2,Bioingeniería,Si,"Campo laboral, Intereses",3,20000,Si,No,Si,7,12.42,Muy malo
2/05/2023 14:28:04,18,2021,2022.1,Masculino,3,Ingeniería Mecatrónica,Si,"Presión familiar, Salario, Campo laboral",1,3000,Si,Sí,No,5,12.5,Malo
2/05/2023 14:33:11,21,2018,2019.1,Masculino,5,Administración y negocios digitales,No,Presión familiar,1.5,4000,No,No,Si,9,15.3,Muy bueno
2/05/2023 14:33:33,21,2019,2020,Masculino,5,Administración y negocios digitales,Si,"Presión familiar, Salario, Campo laboral, Habilidades, Ubicación de la universidad",1,2500,No,No,Si,9,16.28,Muy bueno
