Edad,Ciclo,Carrera,Numero_billeteras,Billetera_principal,Dias_billetera,Compras_diaria_billetera,Gasto_diario_billetera,Disponible_semanal_billetera,Tiempo_billetera,Percepcion_seguridad_billetera,Satisfaccion_billetera,Razon_billetera,Dificultad_billetera,Dias_efectivo,Compras_diaria_efectivo,Gasto_diario_efectivo,Disponible_semanal_efectivo,Tiempo_efectivo,Satisfaccion_efectivo,Razon_efectivo
22,4,Bioingeniería,1,Yape,5,3,27,150,2,Neutro,Satisfecho,Rapidez,Dificultad de entender el aplicativo,0,0,0,3,3,Neutro,No aceptan pagos con billeteras digitales
20,4,Ingeniería Química,1,Yape,5,2,20,90,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,10,40,6,Satisfecho,Prefiero no sacar mi celular
19,4,Ingeniería Civil,1,Yape,2,1,12,50,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,2,22,100,2,Satisfecho,Mayor costumbre
18,4,Ingeniería Civil,1,Yape,5,3,20,160,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,5,10,70,1,Satisfecho,El pago a realizar es pequeño
19,4,Ingeniería Civil,1,Yape,5,2,20,100,5,Seguro,Satisfecho,Rapidez,Posible situación de peligro,5,5,30,50,6,Neutro,Prefiero no sacar mi celular
20,6,Ingeniería Civil,2,Yape,5,2,25,200,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,1,1,5,15,1,Satisfecho,El pago a realizar es pequeño
20,4,Ingeniería Civil,3,Yape,7,5,50,500,1,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,2,0,6,30,5,Neutro,Mayor costumbre
18,5,Administración y Negocios Digitales,2,Yape,6,3,20,100,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,2,2,20,2,Neutro,El pago a realizar es pequeño
19,4,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Inseguro,No uso,NA,No uso billeteras digitales,1,1,5,100,5,Neutro,Mayor costumbre
21,4,Ingeniería Industrial,2,Yape,3,2,20,100,1.5,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,7,5,30,100,2,Neutro,Mayor costumbre
18,6,Bioingeniería,1,Yape,5,4,30,160,2,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,2,20,100,3,Satisfecho,El pago a realizar es pequeño
20,8,Ingeniería Química,4,Plin,7,5,50,600,2.5,Seguro,Neutro,Registrar gastos,Dificultad de entender el aplicativo,0,0,0,200,1,Neutro,El pago a realizar es pequeño
19,4,Ingeniería Mecatrónica,2,Yape,5,2,20,200,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,4,2,20,100,1,Satisfecho,El pago a realizar es pequeño
18,3,Ingeniería Mecánica,1,Yape,4,1,13,150,2.5,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,4,2,17,50,3,Satisfecho,Mayor costumbre
20,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,4,15,100,5,Neutro,Prefiero no sacar mi celular
19,5,Ingeniería Civil,3,Plin,6,6,50,100,1.2,Seguro,Neutro,Más costumbre,Problemas con la conexión a internet,6,2,2,5,6,Neutro,Prefiero no sacar mi celular
20,4,Ingeniería Civil,1,Yape,6,3,20,50,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,4,10,50,5,Neutro,El pago a realizar es pequeño
22,4,Ingeniería Civil,3,Yape,6,2,20.5,10,3,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,2,6,15,70,2,Neutro,Mayor costumbre
21,4,Ingeniería Civil,1,Yape,5,5,20,100,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,1,12,50,4,Neutro,No aceptan pagos con billeteras digitales
22,9,Ingeniería Mecatrónica,1,Yape,5,2,22,50,1,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,5,1,12,60,3,Neutro,No aceptan pagos con billeteras digitales
21,4,Ingeniería Civil,1,Yape,5,6,50,120,3,Neutro,Neutro,Registrar gastos,Posible situación de peligro,7,5,10,50,5,Neutro,El pago a realizar es pequeño
19,4,Ingeniería Civil,1,Yape,2,2,15,60,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,3,15,60,6,Satisfecho,Mayor costumbre
20,5,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,5,4,10,50,1,Satisfecho,Mayor costumbre
20,6,Ingeniería Industrial,1,Yape,7,2,15,100,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,5,10,1,Satisfecho,El pago a realizar es pequeño
20,4,Ingeniería Civil,1,Yape,2,1,5,20,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,10,100,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,4,20,100,5,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,1,Yape,3,2,12.5,30,1,Neutro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,2,2,2,2,2,Neutro,Mayor costumbre
17,3,Ciencias de la Computación,2,Yape,5,2,25,180,1,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,1,1,10,10,5,Neutro,No aceptan pagos con billeteras digitales
17,3,Ingeniería Química,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,3,4,30,2,Satisfecho,El pago a realizar es pequeño
20,6,Ingeniería Electrónica,1,Yape,5,3,25,125,1,Seguro,Satisfecho,Más costumbre,Problemas con la conexión a internet,1,4,2,10,3,Neutro,El pago a realizar es pequeño
18,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,2,1,10,30,2,Neutro,Mayor costumbre
21,6,Ingeniería Civil,1,Yape,7,4,12.5,50,3,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,7,2,10,50,2,Satisfecho,Mayor costumbre
18,3,Ciencias de la Computación,1,Plin,5,1,15,100,2,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,0,0,0,0,0,Neutro,No aceptan pagos con billeteras digitales
18,3,Ingeniería Mecatrónica,1,Yape,3,2,20,50,2,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,2,7,50,2,Neutro,Prefiero no sacar mi celular
18,3,Ingeniería Mecatrónica,2,Plin,4,6,40,150,2,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,4,4,25,100,3,Satisfecho,El pago a realizar es pequeño
19,4,Ingeniería Civil,1,Yape,4,2,30,30,5,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,3,2,10,30,5,Neutro,El pago a realizar es pequeño
21,4,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,5,15,110,2,Satisfecho,Mayor costumbre
22,4,Ingeniería Civil,2,Yape,4,4,50,500,5,Neutro,Neutro,Rapidez,Dificultad de entender el aplicativo,7,5,30,100,1,Neutro,Mayor costumbre
17,1,Ingeniería Civil,1,Yape,6,1,5,40,3,Seguro,Satisfecho,Más costumbre,No aceptan la billetera digital,7,3,5,40,4,Neutro,No aceptan pagos con billeteras digitales
22,9,Ingeniería Química,2,Yape,3,3,15,100,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,2,2,5,30,1,Satisfecho,Mayor costumbre
17,3,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,4,2,8,50,1,Satisfecho,Mayor costumbre
22,5,Ciencias de la Computación,1,Yape,3,2,20,100,1,Neutro,Satisfecho,Rapidez,No aceptan la billetera digital,4,5,30,50,1,Satisfecho,Mayor costumbre
18,3,Ciencias de la Computación,1,Yape,3,3,30,20,2,Neutro,Neutro,Rapidez,Posible situación de peligro,7,8,2,20,5,Neutro,El pago a realizar es pequeño
18,3,Ingeniería Mecatrónica,1,Yape,6,3,8,150,1,Seguro,Satisfecho,Registrar gastos,No aceptan la billetera digital,7,7,5,40,1,Neutro,El pago a realizar es pequeño
19,5,Ingeniería Química,1,Yape,4,3,20,250,3,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,2,10,50,4,Neutro,El pago a realizar es pequeño
20,9,Bioingeniería,2,Plin,4,1,5,60,2.5,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,3,1,5,20,4,Neutro,No aceptan pagos con billeteras digitales
17,3,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,7,3,7,50,1,Satisfecho,El pago a realizar es pequeño
22,3,Ciencia de Datos,1,Yape,2,2,5,5,6,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,4,7,48,3,Neutro,Mayor costumbre
20,4,Ingeniería Civil,2,Yape,3,2,20,100,5,Neutro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,7,3,15,100,5,Satisfecho,El pago a realizar es pequeño
18,3,Ciencia de Datos,1,Yape,2,3,30,40,2,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,3,20,30,3,Neutro,El pago a realizar es pequeño
19,3,Ingeniería ambiental,2,Yape,2,3,10,50,0,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,3,1,15,50,1,Neutro,No aceptan pagos con billeteras digitales
18,3,Ciencia de Datos,1,Plin,5,1,25.5,125.6,1.5,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,6,3,35,104.5,2.5,Neutro,No aceptan pagos con billeteras digitales
18,3,Ciencias de la Computación,1,Yape,6,2,18,100,2,Seguro,Satisfecho,Registrar gastos,No aceptan la billetera digital,2,1,2,20,1,Neutro,No aceptan pagos con billeteras digitales
19,4,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,5,20,60,3,Satisfecho,Mayor costumbre
22,4,Ingeniería Mecatrónica,1,Yape,4,4,48,70,1,Seguro,Satisfecho,Más costumbre,Problemas con la conexión a internet,4,1,48,70,1,Satisfecho,Mayor costumbre
18,3,Ingeniería Mecatrónica,1,Yape,5,5,30,30,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,1,10,15,3,Satisfecho,Mayor costumbre
18,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,5,6,30,100,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,5,3,10,100,2,Satisfecho,Mayor costumbre
19,5,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,6,12,3,20,0.7,Satisfecho,El pago a realizar es pequeño
22,5,Ingeniería Industrial,1,Yape,5,3,10,15,2,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,1,1,5,1,Satisfecho,Prefiero no sacar mi celular
19,4,Bioingeniería,3,Yape,7,5,40,100,0.5,Seguro,Satisfecho,Más costumbre,No aceptan la billetera digital,1,3,15.5,20,1,Satisfecho,Mayor costumbre
21,4,Ingeniería Industrial,1,Yape,3,2,10,50,1,Seguro,Neutro,Registrar gastos,No aceptan la billetera digital,3,2,20,100,1,Neutro,Mayor costumbre
19,5,Ingeniería Industrial,1,Yape,2,1,2,50,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,1,12,50,3,Satisfecho,Mayor costumbre
20,2,Ingeniería Civil,1,Yape,7,2,30,210,3,Seguro,Satisfecho,Rapidez,Posible situación de peligro,2,4,4,10,3,Insatisfecho,El pago a realizar es pequeño
17,1,Ingeniería Mecatrónica,2,Plin,7,4,25,250,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,1,1,4,10,1,Neutro,No aceptan pagos con billeteras digitales
22,8,Ingeniería Industrial,2,Yape,7,3,30,500,2,Seguro,Satisfecho,Rapidez,Posible situación de peligro,2,1,3,40,6,Neutro,El pago a realizar es pequeño
22,4,Ingeniería Civil,1,Yape,4,1,30,100,4,Neutro,Neutro,Más costumbre,Problemas con la conexión a internet,7,5,20,100,3,Satisfecho,Mayor costumbre
20,8,Ingeniería Civil,2,Plin,6,2,30,200,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,2,1,10,20,1,Satisfecho,El pago a realizar es pequeño
21,7,Ingeniería Mecatrónica,2,Plin,7,3,20,110,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,7,40,5,Neutro,El pago a realizar es pequeño
19,4,Ingeniería Electrónica,1,Yape,2,4,30,100,3,Seguro,Satisfecho,Registrar gastos,Dificultad de entender el aplicativo,2,4,16,50,2,Satisfecho,Mayor costumbre
18,2,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,6,4,25,170,1,Neutro,Mayor costumbre
20,2,Ingeniería Industrial,3,Yape,3,2,30.8,0,5,Neutro,Neutro,Registrar gastos,Problemas con la conexión a internet,7,3,11,20,1,Neutro,Prefiero no sacar mi celular
18,3,Ciencias de la Computación,1,Yape,3,3,16,50,3,Inseguro,Neutro,Registrar gastos,Problemas con la conexión a internet,3,4,20,50,3,Neutro,Mayor costumbre
18,3,Ingeniería Mecatrónica,2,Yape,4,1,5,50,2,Seguro,Satisfecho,Rapidez,Posible situación de peligro,5,4,10,60,4,Satisfecho,El pago a realizar es pequeño
19,5,Ingeniería Civil,1,Yape,5,3,20.5,50.5,1.5,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,5,30.5,60.5,3.5,Neutro,Prefiero no sacar mi celular
20,5,Ingeniería Industrial,1,Plin,7,1,5,150,3,Seguro,Satisfecho,Más costumbre,No aceptan la billetera digital,0,0,0,0,3,Neutro,No aceptan pagos con billeteras digitales
20,2,Ingeniería Mecánica,1,Yape,4,2,15,50,2,Seguro,Satisfecho,Rapidez,Dificultad de entender el aplicativo,7,4,20,100,1,Neutro,Mayor costumbre
18,1,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,3,20,60,1,Satisfecho,Prefiero no sacar mi celular
19,1,Ingeniería Mecánica,1,Yape,1,1,10,100,5,Neutro,Neutro,Registrar gastos,Problemas con la conexión a internet,1,7,15,50,5,Satisfecho,Mayor costumbre
21,7,Ingeniería Mecatrónica,1,Yape,7,5,25,80,2,Seguro,Satisfecho,Rapidez,Dificultad de entender el aplicativo,7,10,25,100,3,Satisfecho,El pago a realizar es pequeño
19,2,Ingeniería Industrial,1,Yape,5,1,10,250,2,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,2,1,5,60,2,Neutro,No aceptan pagos con billeteras digitales
21,7,Ingeniería Electrónica,1,Plin,4,2,50,50,1,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,2,20,40,1,Neutro,No aceptan pagos con billeteras digitales
20,4,Ingeniería Industrial,1,Yape,2,3,20,80,2,Neutro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,5,4,100,200,5,Neutro,Mayor costumbre
17,2,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,5,20,30,100,5,Neutro,Mayor costumbre
19,2,Ingeniería Mecatrónica,1,Yape,3,1,20,200,1,Seguro,Satisfecho,Rapidez,Posible situación de peligro,3,3,20,50,5,Satisfecho,Prefiero no sacar mi celular
17,1,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,7,5,12.5,70,1,Satisfecho,Mayor costumbre
17,1,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Inseguro,No uso,NA,No uso billeteras digitales,7,5,45,50,2,Neutro,Mayor costumbre
18,3,Ingeniería Mecatrónica,2,Plin,7,3,50,150,1,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,2,1,5,30,4,Neutro,Prefiero no sacar mi celular
18,3,Bioingeniería,1,Yape,6,2,35,160,1.5,Neutro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,6,2,20,100,1,Satisfecho,Mayor costumbre
18,2,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,5,2,15,100,3,Insatisfecho,Mayor costumbre
20,6,Bioingeniería,1,Yape,4,1,10,100,3,Neutro,Satisfecho,Rapidez,No aceptan la billetera digital,7,5,20,100,2,Satisfecho,Mayor costumbre
17,1,Administración y Negocios Digitales,1,Yape,4,3,30,160,5,Neutro,Neutro,Rapidez,No aceptan la billetera digital,1,1,10,0,1,Satisfecho,No aceptan pagos con billeteras digitales
22,5,Bioingeniería,2,Plin,6,3,30,100,1,Seguro,Satisfecho,Registrar gastos,No aceptan la billetera digital,6,2,5,20,3,Neutro,No aceptan pagos con billeteras digitales
22,4,Ingeniería de la Energía,1,Yape,4,3,50,50,3,Neutro,Neutro,Rapidez,Posible situación de peligro,7,7,20,100,5,Neutro,Mayor costumbre
19,4,Ingeniería Electrónica,1,Yape,5,4,40,150.5,0.5,Seguro,Neutro,Rapidez,Problemas con la conexión a internet,5,2,10,80,1,Neutro,El pago a realizar es pequeño
21,4,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,5,20,15,70,1,Neutro,Mayor costumbre
20,7,Ingeniería Mecatrónica,1,Plin,6,1,10,60,0.5,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,6,2,6,36,0.3,Satisfecho,No aceptan pagos con billeteras digitales
18,3,Ciencia de Datos,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,3,12.5,80,1,Satisfecho,Mayor costumbre
18,5,Ingeniería Industrial,1,Yape,6,4,40.5,140,2.5,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,7,5,10,50,6,Neutro,Prefiero no sacar mi celular
22,8,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,4,5,10,60,5,Satisfecho,Mayor costumbre
19,4,Bioingeniería,2,Plin,3,2,20,200,3,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,4,3,10,80,2,Neutro,Prefiero no sacar mi celular
20,3,Ingeniería ambiental,1,Yape,4,6,58.5,100,1.5,Seguro,Satisfecho,Registrar gastos,Posible situación de peligro,2,5,50.5,40.7,6,Neutro,Mayor costumbre
20,3,Ingeniería ambiental,2,Yape,7,5,20,400,1,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,5,4,5,20,1,Neutro,Mayor costumbre
19,5,Ingeniería Electrónica,1,Yape,6,1,10,100,1,Seguro,Satisfecho,Rapidez,Posible situación de peligro,1,0,0,5,1,Neutro,Mayor costumbre
19,5,Ingeniería Electrónica,1,Yape,5,1,10,20,1,Seguro,Satisfecho,Más costumbre,Posible situación de peligro,5,2,10,40,1,Satisfecho,Mayor costumbre
22,5,Ciencias de la Computación,2,Yape,7,5,35,300,1,Seguro,Satisfecho,Más costumbre,No aceptan la billetera digital,6,1,10,100,2,Neutro,No aceptan pagos con billeteras digitales
18,2,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,3,7,50,3,Satisfecho,El pago a realizar es pequeño
18,2,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Inseguro,No uso,NA,Dificultad de entender el aplicativo,0,0,10,50,5,Insatisfecho,El pago a realizar es pequeño
20,4,Ingeniería Civil,1,Yape,2,1,1,50,1.5,Neutro,Neutro,Más costumbre,Problemas con la conexión a internet,5,4,12,70,1,Neutro,Mayor costumbre
17,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,4,3,3.5,10.5,2,Satisfecho,Mayor costumbre
20,3,Ingeniería Industrial,1,Yape,2,2,20,50,3,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,10,10,60,5,Neutro,Mayor costumbre
18,3,Ingeniería Mecatrónica,2,Yape,7,4,30,250,2,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,7,3,7,100,2,Neutro,El pago a realizar es pequeño
18,3,Ingeniería Mecatrónica,1,Yape,6,1,10,30,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,12,100,1,Neutro,Mayor costumbre
18,3,Ingeniería Electrónica,1,Yape,3,2,10,50,1,Neutro,Satisfecho,Más costumbre,Problemas con la conexión a internet,5,2,5,20,1,Satisfecho,El pago a realizar es pequeño
20,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,5,3,23,150,2,Satisfecho,Prefiero no sacar mi celular
18,5,Ciencia de Datos,1,Yape,7,5,30,250,2,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,7,4,10,40,4,Satisfecho,El pago a realizar es pequeño
19,5,Bioingeniería,4,Yape,7,1,15,175,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,0,0,0,50,1,Neutro,No aceptan pagos con billeteras digitales
20,3,Ingeniería Mecánica,1,Yape,1,1,5,50,5,Neutro,Satisfecho,Rapidez,No aceptan la billetera digital,7,7,5,50,2,Satisfecho,Mayor costumbre
22,7,Ciencias de la Computación,2,Plin,6,2,10,135.89,0.5,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,4,5.3,35.63,1,Satisfecho,El pago a realizar es pequeño
20,2,Administración y Negocios Digitales,2,Yape,4,3,20,100,3,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,3,2,5,30,3,Neutro,Prefiero no sacar mi celular
22,7,Ingeniería Industrial,1,Yape,4,1,30,150,2,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,7,4,30,100,7,Satisfecho,Mayor costumbre
17,3,Ciencia de Datos,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,7,3,23,100,1,Neutro,Mayor costumbre
20,3,Ingeniería Electrónica,1,Yape,6,2,20,160,2.5,Seguro,Satisfecho,Registrar gastos,Posible situación de peligro,6,2,20,20,1,Neutro,Mayor costumbre
18,3,Bioingeniería,1,Yape,7,2,10,50,3,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,20,60,1,Neutro,Mayor costumbre
21,4,Bioingeniería,1,Yape,6,2,20,70,3,Seguro,Neutro,Rapidez,Problemas con la conexión a internet,6,1,10,50,2,Neutro,No aceptan pagos con billeteras digitales
20,7,Ingeniería Civil,2,Yape,6,6,50,300,2,Neutro,Neutro,Registrar gastos,Posible situación de peligro,4,2,30,150,1,Neutro,Mayor costumbre
21,5,Ingeniería Civil,1,Yape,6,6,50,40,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,2,5,30,1,Neutro,El pago a realizar es pequeño
19,4,Ingeniería Civil,2,Yape,6,4,20,50,4,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,15,100,5,Satisfecho,El pago a realizar es pequeño
21,4,Ingeniería Civil,1,Yape,6,1,15,100,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,2,15,80,1.5,Satisfecho,No aceptan pagos con billeteras digitales
20,7,Ciencias de la Computación,2,Yape,5,3,15,100,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,3,2,5,20,2,Neutro,El pago a realizar es pequeño
19,6,Bioingeniería,1,Yape,5,6,40,300,3,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,2,5,5,35,2,Neutro,No aceptan pagos con billeteras digitales
19,5,Bioingeniería,1,Yape,3,1,15,80,2,Neutro,Neutro,Registrar gastos,Problemas con la conexión a internet,4,2,15,20,5,Neutro,Mayor costumbre
