C9_CARRERA,SELECT,C9P901_ORD,C9P901,C9P902,C9P903,C9P904,C9P905,C9P906,C9P907,C9P908,C9P909,C9P910,C9P911,C9P912,C9P913,C9P914,C9P915,C9P916,C9P917,C9P918,C9P919,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
938,U0002,10,INGENIERIA ELECTRICA,10,4,56,35,170,35,35,11,1,0,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
939,U0002,11,MATEMA_TICAS,10,4,55,40,126,40,40,18,6,8,1,1,1,1,1,2,2,0,0,0,0,0,1,1,5
940,U0002,12,ARTE,10,4,65,75,126,75,75,26,7,4,0,0,1,1,1,2,2,0,0,0,0,0,1,1,5
941,U0002,13,ARQUEOLOGIA,10,4,55,15,87,15,15,5,2,2,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
942,U0002,14,CIENCIAS DE LA COMUNICACION,10,4,62,21,115,21,21,17,8,6,3,0,1,1,1,2,2,0,0,0,0,0,1,1,5
943,U0002,15,EDUCACION,10,4,60,105,183,105,105,27,10,8,6,2,1,1,1,2,2,0,0,0,0,0,1,1,5
944,U0002,16,EDUCACION INICIAL,10,4,55,25,62,25,25,15,2,6,2,1,1,1,1,2,2,0,0,0,0,0,1,1,5
945,U0002,17,EDUCACION PRIMARIA,10,4,55,25,80,25,25,15,5,5,2,0,1,1,1,2,2,0,0,0,0,0,1,1,5
946,U0002,18,PSICOLOGIA,10,4,50,30,72,30,30,15,8,2,3,0,1,1,1,2,2,0,0,0,0,0,1,1,5
947,U0002,19,SOCIOLOGIA,10,4,62,25,120,25,25,27,10,10,7,0,1,1,1,2,2,0,0,0,0,0,1,1,5
948,U0002,20,DERECHO Y CIENCIAS POLITICAS,10,4,75,25,386,25,25,80,45,25,6,3,1,1,1,2,2,0,0,0,0,0,1,1,5
949,U0002,21,ENFERMERIA,10,4,65,32,414,32,32,45,30,10,4,1,1,1,1,2,2,0,0,0,0,0,1,1,5
950,U0002,22,INGENIERI_A AGRI_COLA,10,4,53,50,109,50,50,25,1,11,11,1,1,1,1,2,2,0,0,0,0,0,1,1,5
951,U0002,23,ARQUITECTURA,10,4,60,38,209,38,38,25,2,8,2,0,1,1,1,2,2,0,0,0,0,0,1,1,5
952,U0002,24,INGENIERIA DE SISTEMAS,10,4,60,54,395,54,54,35,10,15,2,0,1,1,1,2,2,0,0,0,0,0,1,1,5
953,U0002,25,INGENIERIA MECANICA ELECTRICA,10,4,63,50,150,50,50,26,6,0,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
954,U0002,26,INGENIERIA DE INDUSTRIAS ALIMENTARIAS,10,4,68,42,210,41,42,12,1,1,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
955,U0002,27,INGENIERIA QUIMICA,10,4,73,42,87,42,42,34,4,2,11,2,1,1,1,2,2,0,0,0,0,0,1,1,5
956,U0002,28,INGENIERIA ZOOTECNIA,10,4,63,35,130,35,35,23,6,4,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
957,U0002,29,MEDICINA HUMANA,12,4,78,30,750,30,30,72,20,9,3,7,1,1,1,2,2,0,0,0,0,0,1,1,5
958,U0002,30,MEDICINA VETERINARIA,10,4,73,50,295,50,50,25,3,15,2,2,1,1,1,2,2,0,0,0,0,0,1,1,5
576,U0003,2,INGENIERIA DE SISTEMAS,10,4,62,27,66,27,435,47,1,16,1,6,29,46,22,1,1,4,240,240,998,2688,0,0,1
577,U0003,3,ARQUITECTURA,10,4,55,39,103,39,238,5,1,1,1,1,0,0,0,1,1,4,240,240,998,2688,0,0,1
578,U0003,4,COMUNICACION,10,4,61,131,322,131,1784,171,1,30,1,5,142,140,32,1,1,4,240,240,998,2688,0,0,1
579,U0003,5,DERECHO,12,4,67,46,117,46,1027,153,1,31,1,17,59,88,80,1,1,4,240,240,998,2688,0,0,1
582,U0003,6,PSICOLOGIA,12,4,61,31,84,31,508,73,1,14,1,7,32,21,4,1,1,4,240,240,998,2688,0,0,1
590,U0003,7,ADMINISTRACION,10,4,64,153,386,153,2271,126,1,73,1,1,133,180,47,1,1,4,240,240,998,2688,0,0,1
592,U0003,9,ECONOMIA,10,4,60,31,66,31,419,88,1,43,1,3,30,30,1,1,1,4,240,240,998,2688,0,0,1
593,U0003,10,CONTABILIDAD,10,4,64,14,41,14,228,5,1,1,1,1,13,15,0,1,1,4,240,240,998,2688,0,0,1
594,U0003,11,NEGOCIOS INTERNACIONALES,10,4,60,51,145,51,673,5,1,1,1,1,51,15,1,2,1,4,240,240,998,2688,0,0,1
859,U0004,1,ADMINISTRACION,10,4,1,1,1,1,10,999,99,9,1,9,1,1,1,1,1,4,245,245,998,3792,0,0,1
860,U0004,2,CONTABILIDAD,10,4,1,1,1,1,10,99,1,6,1,1,1,1,1,2,1,4,245,245,998,3792,0,0,1
861,U0004,3,DERECHO,12,4,1,1,1,1,10,9,1,6,1,1,1,1,1,2,1,4,245,245,998,3792,0,0,1
862,U0004,4,ECONOMIA,10,4,1,1,1,1,10,99,1,14,1,14,1,1,1,2,1,4,245,245,998,3792,0,0,1
863,U0004,5,FINANZAS,10,4,1,1,1,1,10,9,1,1,1,3,1,1,1,2,1,4,245,245,998,3792,0,0,1
864,U0004,6,INGENIERIA DE LA INFORMACION,10,4,1,1,1,1,10,9,1,5,1,1,1,1,1,2,1,4,245,245,998,3792,0,0,1
865,U0004,7,INGENIERIA EMPRESARIAL,10,4,1,1,1,1,10,9,1,5,1,1,1,1,1,2,1,4,245,245,998,3792,0,0,1
866,U0004,8,NEGOCIOS INTERNACIONALES,10,4,1,1,1,1,10,99,1,9,1,9,1,1,1,1,1,4,245,245,998,3792,0,0,1
789,U0005,1,CIENCIAS BIOLOGIA,10,4,110,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,2292,1
790,U0005,2,CIENCIAS FARMACIA Y BIOQUIMICA,10,4,53,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1942,1
791,U0005,3,CIENCIAS QUIMICA,10,4,47,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1942,1
792,U0005,4,CIENCIAS NUTRICION,10,4,46,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1942,1
793,U0005,5,MEDICINA,14,4,78,1,1,1,1,4,1,1,1,1,1,1,1,1,2,0,0,0,0,0,102,2417,1
794,U0005,6,TECNOLOGIA MEDICA,10,4,53,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,917,1
795,U0005,7,EDUCACION,10,4,67,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1000,1
796,U0005,8,VETERINARIA Y ZOOTECNIA,10,4,56,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,2117,1
797,U0005,9,PSICOLOGIA,10,4,57,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1750,1
798,U0005,10,ESTOMATOLOGIA,11,4,63,1,1,1,1,4,1,1,1,1,1,1,1,1,2,0,0,0,0,0,102,2292,1
799,U0005,11,SALUD PUBLICA Y SALUD GLOBAL,10,4,51,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1292,1
800,U0005,12,ADMINISTRACION EN SALUD,10,4,51,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,1292,1
801,U0005,13,ENFERMERIA,10,4,42,1,1,1,1,4,1,1,1,1,1,1,1,2,2,0,0,0,0,0,102,604,1
1478,U0006,1,EducaciÇün,10,4,62,151,164,151,150,61,2,8,1,3,80,80,80,2,2,0,0,0,0,0,400,4200,1
1479,U0006,2,PSICOLOGIA,12,4,62,36,38,36,35,61,2,8,1,3,0,0,0,2,2,0,0,0,0,0,400,5600,1
1480,U0006,3,Contabilidad,10,4,62,56,63,56,54,4,1,1,1,0,0,0,0,2,2,0,0,0,0,0,400,5600,1
1481,U0006,4,ADMINISTRACION,10,4,62,15,18,15,14,3,1,1,1,0,0,0,0,2,2,0,0,0,0,0,400,5600,1
748,U0007,1,FILOSOFIA,10,4,63,40,33,28,28,8,0,3,0,3,28,10,3,1,1,7,1,1,285,960,0,0,1
749,U0007,2,TEOLOGIA,10,4,89,40,17,17,17,9,0,4,0,5,23,17,6,1,1,7,1,1,285,960,0,0,1
802,U0007,3,EDUCACION,10,4,38,30,22,15,15,7,0,3,0,2,19,15,5,1,2,0,0,0,0,0,1,1,1
433,U0008,1,NEGOCIOS INTERNACIONALES,10,4,62,120,177,86,343,130,1,18,0,9,57,41,2,2,2,0,0,0,0,0,100,426,1
435,U0008,3,CIENCIAS CONTABLES Y FINANCIERAS,10,4,64,182,292,160,516,130,1,18,0,9,0,71,48,2,2,0,0,0,0,0,100,416,1
438,U0008,6,INGENIERIA COMERCIAL,10,4,60,175,252,142,695,130,1,18,0,9,141,92,44,2,2,0,0,0,0,0,100,426,1
443,U0008,7,INGENIERIA DE LA PRODUCCION Y ADMINISTRACION,10,4,63,45,25,16,50,130,1,18,0,9,6,2,0,2,2,0,0,0,0,0,100,436,1
444,U0008,8,ADMISNITRACION TURISTICO HOTELERA,10,4,60,55,53,25,89,130,1,18,0,9,14,12,1,2,2,0,0,0,0,0,100,416,1
446,U0008,10,INGENIERIA ELECTRONICA,10,4,56,46,40,29,79,106,1,15,0,15,10,6,9,2,2,0,0,0,0,0,100,446,1
464,U0008,11,ECONOMIA Y MICROFINANZAS,10,4,63,50,47,28,75,130,0,18,0,9,5,1,0,2,2,0,0,0,0,0,100,426,1
466,U0008,12,INGENIERIA DE SISTEMAS,10,4,56,63,91,60,191,106,1,15,0,5,32,28,10,2,2,0,0,0,0,0,100,446,1
513,U0008,13,INGENIERIA CIVIL,10,4,53,136,309,142,708,106,1,15,0,5,79,69,36,2,2,0,0,0,0,0,100,446,1
514,U0008,14,INGENIERIA AGROINDUSTRIAL,10,4,65,51,31,30,94,106,1,15,0,5,13,19,6,2,2,0,0,0,0,0,100,436,1
515,U0008,15,INGENIERIA AMBIENTAL,10,4,56,60,124,58,99,106,1,15,0,5,0,0,0,2,2,0,0,0,0,0,100,456,1
516,U0008,16,ARQUITECTURA,10,4,47,136,181,110,388,36,1,5,0,2,35,40,18,2,2,0,0,0,0,0,100,446,1
517,U0008,17,CIENCIAS DE LA COMUNICACION,10,4,60,27,46,19,111,39,1,14,0,4,8,9,5,2,2,0,0,0,0,0,100,416,1
518,U0008,18,EDUCACION,10,4,56,51,13,10,73,39,1,14,0,4,28,26,7,2,2,0,0,0,0,0,100,292,1
519,U0008,19,PSICOLOGIA,10,4,52,72,117,49,173,34,0,14,0,4,0,0,0,2,2,0,0,0,0,0,100,416,1
520,U0008,20,DERECHO,12,4,72,170,266,150,763,49,1,5,0,6,71,93,37,2,1,2,100,100,406,416,0,0,1
521,U0008,21,MEDICINA HUMANA,12,5,47,65,444,60,367,114,1,15,0,10,59,56,58,2,1,2,150,150,692,766,0,0,1
522,U0008,22,ODONTOLOGIA,10,5,56,53,113,50,182,114,1,15,0,10,24,24,19,2,1,2,150,150,691,701,0,0,1
523,U0008,23,TECNOLOGIA MEDICA,10,5,49,52,39,48,100,114,1,15,0,10,8,0,0,2,2,0,0,0,0,0,150,564,1
57,U0009,1,DERECHO Y CIENCIAS POLITICAS,12,4,70,400,500,400,252,114,0,7,0,5,255,212,210,2,2,0,0,0,0,0,76,1800,1
58,U0009,2,OBSTETRICIA,10,4,60,150,147,147,72,45,1,6,0,3,39,35,33,2,2,0,0,0,0,0,76,1880,1
59,U0009,3,INGENIERIA DE SISTEMAS E INFORMATICA,10,4,65,220,230,211,82,59,1,7,0,2,25,21,13,2,2,0,0,0,0,0,76,2000,1
60,U0009,4,ENFERMERIA,10,4,55,320,310,307,159,77,1,4,0,1,114,122,83,2,2,0,0,0,0,0,76,1880,1
61,U0009,5,EDUCACION BASICA INICIAL Y PRIMARIA,10,4,70,90,90,86,48,72,1,13,0,4,34,32,28,2,2,0,0,0,0,0,76,1120,1
62,U0009,6,INGENIERIA CIVIL,10,4,66,400,400,400,400,37,1,0,0,0,57,39,36,2,2,0,0,0,0,0,76,2000,1
63,U0009,7,ARQUITECTURA,10,4,65,200,200,170,89,17,0,1,0,0,34,18,14,2,2,0,0,0,0,0,76,2000,1
64,U0009,8,EAP EDUCACION ESPECIALIDAD IDIOMA EXTRANJERO,10,4,70,25,25,25,5,1,1,0,0,0,7,1,0,2,2,0,0,0,0,0,76,1360,1
65,U0009,9,ADMINISTRACION DE EMPRESAS,10,4,65,400,400,400,306,41,1,3,0,0,40,43,18,2,2,0,0,0,0,0,76,1440,1
66,U0009,10,CONTABILIDAD Y FINANZAS,10,4,63,400,350,300,232,39,0,3,0,0,50,61,26,2,2,0,0,0,0,0,76,1440,1
67,U0009,11,TURISMO HOTELERIA Y GASTRONOMIA,10,4,70,100,102,100,21,14,1,0,0,0,6,2,0,2,2,0,0,0,0,0,76,2000,1
68,U0009,12,PSICOLOGIA,12,4,70,90,90,80,35,19,1,0,0,0,2,2,0,2,2,0,0,0,0,0,76,1800,1
69,U0009,13,INGENIERIA AMBIENTAL,10,4,70,400,400,346,176,28,1,0,0,0,14,4,0,2,2,0,0,0,0,0,76,2000,1
70,U0009,14,MARKETING Y NEGOCIOS INTERNACIONALES,10,4,70,100,100,77,33,11,1,0,0,0,1,0,0,2,2,0,0,0,0,0,76,2000,1
86,U0009,15,ODONTOLOGIA,12,4,70,150,150,134,57,46,1,5,0,1,35,33,33,2,2,0,0,0,0,0,76,3200,1
984,U0010,1,LICENCIADO EN PERIODISMO,10,4,75,100,150,100,80,70,20,10,5,5,70,40,30,1,1,5,195,195,450,550,0,0,1
591,U0011,1,ADMINISTRACION Y SISTEMAS,10,4,69,400,2577,800,2122,200,0,67,0,12,500,187,80,2,2,0,0,0,0,0,450,2500,3
595,U0011,2,ARQUITECTURA,10,4,81,329,359,329,272,81,0,32,0,12,52,10,1,2,2,0,0,0,0,0,450,3000,5
596,U0011,3,CONTABILIDAD Y FINANZAS,10,4,70,2261,2416,800,2038,266,0,70,0,20,823,388,124,2,2,0,0,0,0,0,450,2500,5
597,U0011,4,DERECHO,12,4,95,1778,1893,800,1484,302,0,40,0,10,516,296,166,2,2,0,0,0,0,0,460,3000,5
598,U0011,5,EDUCACION INICIAL,10,4,74,292,339,292,236,90,0,12,0,8,36,25,24,2,2,0,0,0,0,0,440,2000,5
599,U0011,6,EDUCACION PRIMARIA,10,4,74,185,193,185,138,90,0,12,0,8,74,67,42,2,2,0,0,0,0,0,440,2000,5
600,U0011,7,ENFERMERIA,10,4,72,201,201,201,164,510,0,70,0,18,112,75,37,2,2,0,0,0,0,0,480,2700,5
601,U0011,8,FARMACIA Y BIOQUIMICA,10,4,74,194,194,194,171,510,0,70,0,18,110,79,100,2,2,0,0,0,0,0,480,3100,5
602,U0011,9,INGENIERIA CIVIL,10,4,80,1379,1602,800,1260,343,0,32,0,12,325,127,122,2,2,0,0,0,0,0,470,3500,5
604,U0011,11,INGENIERIA INDUSTRIAL,10,4,76,297,315,297,254,343,0,32,0,12,65,19,3,2,2,0,0,0,0,0,450,3000,5
606,U0011,12,MEDICINA HUMANA,13,4,56,93,296,93,91,86,0,12,0,4,48,73,83,2,2,0,0,0,0,0,720,9998,5
607,U0011,13,MEDICINA VETERINARIA Y ZOOTECNIA,10,4,77,72,69,72,62,510,0,70,0,18,21,11,15,2,2,0,0,0,0,0,480,3200,5
608,U0011,14,OBSTETRICIA,10,4,68,131,124,131,110,510,0,70,0,18,63,60,42,2,2,0,0,0,0,0,480,3100,5
632,U0011,16,OPTOMETRIA,10,4,75,80,83,80,66,510,0,70,0,18,35,11,4,2,2,0,0,0,0,0,480,3200,5
633,U0011,17,PSICOLOGIA,12,4,70,929,1000,800,784,510,0,70,0,18,11,189,30,2,2,0,0,0,0,0,480,3000,5
635,U0011,18,TECNOLOGIA MEDICA LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,10,4,74,67,58,67,53,510,0,70,0,18,19,5,0,2,2,0,0,0,0,0,480,3200,5
636,U0011,19,TECNOLOGIA MEDICA RADIOLOGIA,10,4,71,44,36,44,36,510,0,70,0,18,11,6,0,2,2,0,0,0,0,0,480,3200,5
637,U0011,20,TECNOLOGIA MEDICA TERAPIA FISICA Y REHABILITACION,10,4,71,42,36,42,31,510,0,70,0,18,12,2,0,2,2,0,0,0,0,0,480,3200,5
638,U0011,21,INGENIERIA DE SISTEMAS Y COMPUTACION,10,4,76,639,611,639,529,343,0,32,0,12,221,127,51,2,2,0,0,0,0,0,450,3200,5
639,U0011,22,NUTRICION HUMANA,10,4,78,70,66,70,59,510,0,70,0,18,16,11,0,2,2,0,0,0,0,0,480,3200,5
892,U0012,1,ADMINISTRACION Y MARKETING,10,4,64,305,413,305,895,243,0,1,0,1,56,56,0,1,1,5,350,350,315,698,0,0,1
893,U0012,2,ADMINISTRACION Y FINANZAS,10,4,64,177,224,177,519,243,0,1,0,1,49,49,0,1,1,5,350,350,315,698,0,0,1
894,U0012,3,ECONOMIA Y NEGOCIOS INTERNACIONALES,10,4,64,271,359,271,808,243,0,1,0,1,56,56,0,1,1,5,350,350,315,698,0,0,1
895,U0012,4,DERECHO CORPORATIVO,12,4,77,65,92,65,263,243,0,1,0,1,0,0,0,2,1,5,350,350,315,698,0,0,1
896,U0012,5,INGENIERIA INDUSTRIAL Y COMERCIAL,10,4,63,217,304,217,535,243,0,1,0,1,77,77,0,2,1,5,350,350,315,698,0,0,1
897,U0012,6,INGENIERIA DE TECNOLOGIAS DE INFORMACION Y SISTEMAS,10,4,64,53,87,53,95,243,0,1,0,1,10,10,0,2,1,5,350,350,315,698,0,0,1
898,U0012,7,PSICOLOGIA DEL CONSUMIDOR,10,4,65,20,24,20,96,246,0,1,0,1,0,0,0,2,1,5,350,350,315,698,0,0,1
899,U0012,8,PSICOLOGIA ORGANIZACIONAL,10,4,65,36,49,36,131,243,0,1,0,1,0,0,0,2,1,5,350,350,315,698,0,0,1
875,U0013,1,ARQUITECTURA,10,4,72,70,90,89,83,51,0,6,0,4,17,17,2,1,2,0,0,0,0,0,1400,1086,1
876,U0013,2,MEDICINA HUMANA,14,5,95,80,116,91,91,24,0,5,0,4,0,0,0,1,2,0,0,0,0,0,1400,2046,1
877,U0013,3,INGENIERIA DE SISTEMAS,10,4,73,70,74,74,62,34,5,9,0,6,47,47,5,1,2,0,0,0,0,0,1400,916,1
878,U0013,4,NUTRICION HUMANA,10,4,57,40,42,41,34,29,3,5,1,6,17,17,2,1,2,0,0,0,0,0,1400,931,1
879,U0013,5,PSICOLOGIA,10,4,70,90,101,97,86,54,5,8,1,3,57,57,3,1,2,0,0,0,0,0,1400,931,1
880,U0013,6,ADMINISTRACION Y NEGOCIOS INTERNACIONALES,10,4,76,90,93,90,89,74,1,25,0,6,0,0,0,1,2,0,0,0,0,0,1400,845,1
881,U0013,7,TEOLOGIA,10,4,79,120,69,63,63,86,1,20,3,11,126,126,4,1,2,0,0,0,0,0,1400,914,1
882,U0013,8,ENFERMERIA,10,4,46,60,43,42,32,28,0,8,1,3,30,30,4,1,2,0,0,0,0,0,1400,1010,1
883,U0013,9,EDUCACION MUSICAL Y ARTES,10,4,84,15,10,10,10,12,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1400,876,1
884,U0013,10,INGENIERIA DE ALIMENTOS,10,4,72,35,38,37,30,35,2,4,1,7,16,16,0,1,2,0,0,0,0,0,1400,835,1
885,U0013,11,INGENIERIA CIVIL,10,4,75,80,159,159,156,18,1,3,0,0,0,0,0,1,2,0,0,0,0,0,1400,1041,1
886,U0013,12,CONTABILIDAD Y GESTION TRIBUTARIA,10,4,74,80,61,60,48,32,1,7,0,2,0,0,0,1,2,0,0,0,0,0,1400,845,1
887,U0013,13,CIENCIAS DE LA COMUNICACION,10,4,69,35,36,35,22,35,1,7,0,1,11,11,0,1,2,0,0,0,0,0,1400,808,1
888,U0013,14,EDUCACION PRIMARIA,10,4,80,15,14,14,14,22,1,5,1,1,5,5,0,1,2,0,0,0,0,0,1400,774,1
889,U0013,15,EDUCACION INICIAL,10,4,80,15,13,13,12,9,1,2,0,0,8,8,1,1,2,0,0,0,0,0,1400,774,1
890,U0013,16,EDUCACION LINGUISTICA E INGLES,10,4,71,15,14,13,10,19,0,3,0,0,5,5,1,1,2,0,0,0,0,0,1400,774,1
891,U0013,17,INGENIERIA AMBIENTAL,10,4,73,70,160,159,151,54,0,10,1,4,45,45,2,1,2,0,0,0,0,0,1400,917,1
1391,U0014,1,DERECHO,12,5,87,75,249,44,79,7,0,2,0,0,0,0,0,2,2,0,0,0,0,0,240,1395,1
1392,U0014,2,ADMINISTRACION EN TURISMO,10,5,78,82,113,28,201,12,0,2,0,0,59,0,5,2,2,0,0,0,0,0,240,1395,1
1393,U0014,3,ECONOMIA,10,5,73,76,204,60,301,15,0,5,0,1,55,34,1,2,2,0,0,0,0,0,240,1395,1
1394,U0014,4,ADMINISTRACION,10,5,74,70,327,64,299,14,0,5,0,0,48,79,0,2,2,0,0,0,0,0,240,1395,1
1395,U0014,5,IDIOMAS,10,5,73,80,63,24,184,15,0,5,0,0,25,17,4,2,2,0,0,0,0,0,240,1395,1
1396,U0014,6,CONTABILIDAD,10,5,73,148,449,114,444,19,0,10,0,1,62,63,27,2,2,0,0,0,0,0,240,1325,1
1397,U0014,7,INGENIERIA SANITARIA,10,5,78,73,127,32,242,3,1,0,0,0,14,0,0,2,2,0,0,0,0,0,240,1395,1
1398,U0014,8,INGENIERIA AMBIENTAL,10,5,78,75,190,48,283,33,0,9,0,0,53,56,39,2,2,0,0,0,0,0,240,1395,1
1399,U0014,9,MEDICIONA HUMANA,13,5,54,38,228,58,135,21,0,11,0,3,0,0,0,2,2,0,0,0,0,0,240,1395,1
1400,U0014,10,ENFERMERIA,10,5,50,77,92,34,221,19,0,3,0,2,28,58,26,2,2,0,0,0,0,0,240,1395,1
1401,U0014,11,OBSTETRICIA,10,5,62,78,102,38,256,36,0,13,0,7,27,43,38,2,2,0,0,0,0,0,240,1395,1
1402,U0014,12,ARQUITECTURA Y URBANISMO,10,5,66,72,234,64,286,15,0,4,0,0,24,0,0,2,2,0,0,0,0,0,240,1395,1
1403,U0014,13,INGENIERIA CIVIL,10,5,72,70,490,65,391,27,0,7,0,2,46,39,18,2,2,0,0,0,0,0,240,1395,1
1404,U0014,14,INGENIERIA AGROINDUSTRIAL,10,5,71,163,87,49,359,33,0,12,0,7,58,36,16,2,2,0,0,0,0,0,240,1395,1
1405,U0014,15,MEDICINA VETERINARIA Y ZOOTECNIA,10,5,74,86,60,23,140,13,0,2,0,0,0,0,0,2,2,0,0,0,0,0,240,1395,1
1406,U0014,16,AGRONOMIA,10,5,79,170,154,41,328,25,0,21,0,4,73,62,61,2,2,0,0,0,0,0,240,1395,1
1407,U0014,17,INGENIERIA DE SISTEMAS INFORMATICA,10,5,68,73,148,56,325,29,0,2,0,2,54,23,22,2,2,0,0,0,0,0,240,1395,1
1025,U0015,1,ADMINISTRACION,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,14,0,5
1026,U0015,2,CONTABILIDAD,10,4,61,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1027,U0015,3,ECONOMIA,10,4,65,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1028,U0015,4,INGENIERIA ELECTRICA,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1029,U0015,5,INGENIERIA ELCTRONICA,10,4,66,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,5
1030,U0015,6,INGENIERIA DE ALIMENTOS,10,4,71,1,1,1,1,5,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,1,5
