C9P901,C9P902,C9P903,C9P904,C9P908,C9P914,C9P917,C9P918,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
EDUCACION INICIAL,10,4,74,236,36,No,No,0,0,0,0,440,2000,No aplica
EDUCACION PRIMARIA,10,4,74,138,74,No,No,0,0,0,0,440,2000,No aplica
ENFERMERIA,10,4,72,164,112,No,No,0,0,0,0,480,2700,No aplica
FARMACIA Y BIOQUIMICA,10,4,74,171,110,No,No,0,0,0,0,480,3100,No aplica
INGENIERIA CIVIL,10,4,80,1260,325,No,No,0,0,0,0,470,3500,No aplica
INGENIERIA INDUSTRIAL,10,4,76,254,65,No,No,0,0,0,0,450,3000,No aplica
MEDICINA HUMANA,13,4,56,91,48,No,No,0,0,0,0,720,9998,No aplica
MEDICINA VETERINARIA Y ZOOTECNIA,10,4,77,62,21,No,No,0,0,0,0,480,3200,No aplica
OBSTETRICIA,10,4,68,110,63,No,No,0,0,0,0,480,3100,No aplica
OPTOMETRIA,10,4,75,66,35,No,No,0,0,0,0,480,3200,No aplica
PSICOLOGIA,12,4,70,784,11,No,No,0,0,0,0,480,3000,No aplica
TECNOLOGIA MEDICA LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,10,4,74,53,19,No,No,0,0,0,0,480,3200,No aplica
TECNOLOGIA MEDICA RADIOLOGIA,10,4,71,36,11,No,No,0,0,0,0,480,3200,No aplica
TECNOLOGIA MEDICA TERAPIA FISICA Y REHABILITACION,10,4,71,31,12,No,No,0,0,0,0,480,3200,No aplica
INGENIERIA DE SISTEMAS Y COMPUTACION,10,4,76,529,221,No,No,0,0,0,0,450,3200,No aplica
NUTRICION HUMANA,10,4,78,59,16,No,No,0,0,0,0,480,3200,No aplica
ADMINISTRACION Y MARKETING,10,4,64,895,56,Sí,Sí,350,350,315,698,0,0,Mensual
ADMINISTRACION Y FINANZAS,10,4,64,519,49,Sí,Sí,350,350,315,698,0,0,Mensual
ECONOMIA Y NEGOCIOS INTERNACIONALES,10,4,64,808,56,Sí,Sí,350,350,315,698,0,0,Mensual
DERECHO CORPORATIVO,12,4,77,263,0,No,Sí,350,350,315,698,0,0,Mensual
INGENIERIA INDUSTRIAL Y COMERCIAL,10,4,63,535,77,No,Sí,350,350,315,698,0,0,Mensual
INGENIERIA DE TECNOLOGIAS DE INFORMACION Y SISTEMAS,10,4,64,95,10,No,Sí,350,350,315,698,0,0,Mensual
PSICOLOGIA DEL CONSUMIDOR,10,4,65,96,0,No,Sí,350,350,315,698,0,0,Mensual
PSICOLOGIA ORGANIZACIONAL,10,4,65,131,0,No,Sí,350,350,315,698,0,0,Mensual
ARQUITECTURA,10,4,72,83,17,Sí,No,0,0,0,0,1400,1086,Mensual
MEDICINA HUMANA,14,5,95,91,0,Sí,No,0,0,0,0,1400,2046,Mensual
INGENIERIA DE SISTEMAS,10,4,73,62,47,Sí,No,0,0,0,0,1400,916,Mensual
NUTRICION HUMANA,10,4,57,34,17,Sí,No,0,0,0,0,1400,931,Mensual
PSICOLOGIA,10,4,70,86,57,Sí,No,0,0,0,0,1400,931,Mensual
ADMINISTRACION Y NEGOCIOS INTERNACIONALES,10,4,76,89,0,Sí,No,0,0,0,0,1400,845,Mensual
TEOLOGIA,10,4,79,63,126,Sí,No,0,0,0,0,1400,914,Mensual
ENFERMERIA,10,4,46,32,30,Sí,No,0,0,0,0,1400,1010,Mensual
EDUCACION MUSICAL Y ARTES,10,4,84,10,0,Sí,No,0,0,0,0,1400,876,Mensual
INGENIERIA DE ALIMENTOS,10,4,72,30,16,Sí,No,0,0,0,0,1400,835,Mensual
INGENIERIA CIVIL,10,4,75,156,0,Sí,No,0,0,0,0,1400,1041,Mensual
CONTABILIDAD Y GESTION TRIBUTARIA,10,4,74,48,0,Sí,No,0,0,0,0,1400,845,Mensual
CIENCIAS DE LA COMUNICACION,10,4,69,22,11,Sí,No,0,0,0,0,1400,808,Mensual
EDUCACION PRIMARIA,10,4,80,14,5,Sí,No,0,0,0,0,1400,774,Mensual
EDUCACION INICIAL,10,4,80,12,8,Sí,No,0,0,0,0,1400,774,Mensual
EDUCACION LINGUISTICA E INGLES,10,4,71,10,5,Sí,No,0,0,0,0,1400,774,Mensual
INGENIERIA AMBIENTAL,10,4,73,151,45,Sí,No,0,0,0,0,1400,917,Mensual
DERECHO,12,5,87,79,0,No,No,0,0,0,0,240,1395,Mensual
ADMINISTRACION EN TURISMO,10,5,78,201,59,No,No,0,0,0,0,240,1395,Mensual
ECONOMIA,10,5,73,301,55,No,No,0,0,0,0,240,1395,Mensual
ADMINISTRACION,10,5,74,299,48,No,No,0,0,0,0,240,1395,Mensual
IDIOMAS,10,5,73,184,25,No,No,0,0,0,0,240,1395,Mensual
CONTABILIDAD,10,5,73,444,62,No,No,0,0,0,0,240,1325,Mensual
INGENIERIA SANITARIA,10,5,78,242,14,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA AMBIENTAL,10,5,78,283,53,No,No,0,0,0,0,240,1395,Mensual
MEDICIONA HUMANA,13,5,54,135,0,No,No,0,0,0,0,240,1395,Mensual
ENFERMERIA,10,5,50,221,28,No,No,0,0,0,0,240,1395,Mensual
OBSTETRICIA,10,5,62,256,27,No,No,0,0,0,0,240,1395,Mensual
ARQUITECTURA Y URBANISMO,10,5,66,286,24,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA CIVIL,10,5,72,391,46,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA AGROINDUSTRIAL,10,5,71,359,58,No,No,0,0,0,0,240,1395,Mensual
MEDICINA VETERINARIA Y ZOOTECNIA,10,5,74,140,0,No,No,0,0,0,0,240,1395,Mensual
AGRONOMIA,10,5,79,328,73,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA DE SISTEMAS INFORMATICA,10,5,68,325,54,No,No,0,0,0,0,240,1395,Mensual
ADMINISTRACION,10,4,66,1,1,Sí,No,0,0,0,0,14,0,No aplica
CONTABILIDAD,10,4,61,1,1,Sí,No,0,0,0,0,1,0,No aplica
ECONOMIA,10,4,65,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA ELECTRICA,10,4,66,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA ELCTRONICA,10,4,66,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA DE ALIMENTOS,10,4,71,1,1,Sí,No,0,0,0,0,1,1,No aplica
INGENIERIA PESQUERA,10,4,66,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA INDUSTRIAL,10,4,67,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA DE SISTEMAS,10,4,66,1,1,Sí,No,0,0,0,0,1,1,No aplica
INGENIERIA QUIMICA,10,4,67,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA MECANICA,10,4,64,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA DE ENERGIA,10,4,66,1,1,Sí,No,0,0,0,0,1,0,No aplica
ENFERMERIA,10,4,49,1,1,Sí,No,0,0,0,0,1,0,No aplica
FISICA,10,4,50,1,1,Sí,No,0,0,0,0,1,0,No aplica
MATEMATICA,10,4,50,1,1,Sí,No,0,0,0,0,1,0,No aplica
INGENIERIA AMBIENTAL,10,4,72,1,1,Sí,No,0,0,0,0,1,0,No aplica
PSICOLOGIA,12,4,84,654,67,No,Sí,320,320,750,1920,0,0,Semestral
EDUCACIÇüN INICIAL,10,4,76,274,43,No,Sí,320,320,750,1920,0,0,No aplica
EDUCACION PRIMARIA,10,4,79,26,4,No,Sí,320,320,750,1920,0,0,No aplica
EDUCACION ESPECIAL,10,4,79,175,27,No,Sí,320,320,750,1920,0,0,No aplica
TRADUCCION E INTERPRETACION,10,4,74,285,40,No,Sí,320,320,750,1920,0,0,No aplica
CIENCIAS DE LA COMUNICACION,10,4,79,118,16,No,Sí,320,320,750,1920,0,0,No aplica
ARQUITECTURA,10,4,78,253,36,No,Sí,320,320,750,1920,0,0,No aplica
NUTRICION Y DIETETICA,10,4,71,238,41,No,Sí,320,320,750,1920,0,0,No aplica
INGENIERIA DE SISTEMAS Y GESTION DE TECNOLOGIA DE INFORMACION,10,4,76,26,7,No,Sí,320,320,750,1920,0,0,No aplica
ADMINISTRACION DE NEGOCIOS INTERNACIONALES,10,4,86,205,16,No,Sí,320,320,750,1920,0,0,No aplica
DERECHO,12,4,103,169,40,No,Sí,320,320,750,1920,0,0,No aplica
COMUNICACION SOCIAL,10,6,58,63,23,No,Sí,462,532,430,500,0,0,Mensual
TEOLOGIA,10,6,42,2,5,No,Sí,462,532,430,500,0,0,Mensual
PUBLICIDAD Y MULTIMEDIA,10,6,50,73,28,No,Sí,462,532,430,500,0,0,Mensual
PSICOLOGIA,10,6,51,76,39,No,Sí,462,532,430,500,0,0,Mensual
EDUCACION,10,6,70,32,18,No,Sí,462,532,430,500,0,0,Mensual
TURISMO Y HOTELERIA,10,6,60,32,27,No,Sí,462,532,430,500,0,0,Mensual
INGENIERIA INDUSTRIAL,10,6,65,165,84,No,Sí,558,658,520,620,0,0,Mensual
INGENIERIA MECANICA MECANICA ELECTRICA Y MECATRONICA,10,6,70,163,25,Sí,Sí,558,658,520,620,0,0,Mensual
INGENIERIA DE SISTEMAS,10,6,70,99,28,Sí,Sí,558,658,520,620,0,0,Mensual
INGENIERIA DE MINAS,10,6,24,131,0,No,Sí,558,658,520,620,0,0,Mensual
INGENIERIA AGRONOMICA Y AGRICOLA,10,6,70,30,5,No,Sí,558,658,520,620,0,0,Mensual
MEDICINA VETERINARIA Y ZOOTECNIA,10,6,64,74,32,No,Sí,558,658,520,620,0,0,Mensual
INGENIERIA DE INDUSTRIAS ALIMENTARIAS,10,6,69,52,19,No,Sí,558,658,520,620,0,0,Mensual
ARQUITECTURA,10,6,63,118,75,No,Sí,558,658,520,620,0,0,Mensual
INGENIERIA CIVIL,10,6,69,127,27,No,Sí,558,658,620,620,0,0,Mensual
INGENIERIA AMBIENTAL,10,6,24,83,0,No,Sí,558,658,620,620,0,0,Mensual
ENFERMERIA,10,6,44,54,37,No,Sí,620,720,580,680,0,0,Mensual
MEDICINA HUMANA,14,6,62,120,143,Sí,Sí,767,867,720,820,0,0,Mensual
OBSTETRICIA Y PUERICULTURA,10,6,50,56,31,No,Sí,620,720,580,680,0,0,Mensual
ODONTOLOGIA,10,6,60,116,62,Sí,Sí,767,867,720,820,0,0,Mensual
INGENIERIA BIOTECNOLOGICA,10,6,48,54,29,No,Sí,620,720,580,680,0,0,Mensual
FARMACIA Y BIOQUIMICA,10,6,51,51,30,No,Sí,620,720,580,680,0,0,Mensual
CONTABILIDAD,10,6,61,103,32,No,Sí,473,553,440,520,0,0,Mensual
INGENIERIA COMERCIAL,10,6,70,122,61,No,Sí,473,553,440,520,0,0,Mensual
ADMINISTRACION DE EMPRESAS,10,6,60,159,63,No,Sí,473,553,440,520,0,0,Mensual
DERECHO,12,6,68,185,102,No,Sí,473,553,440,520,0,0,Mensual
derecho,12,1,1,1,1,Sí,Sí,420,420,420,420,0,0,Mensual
ESCUELA DE FORMACION PROFESIONAL DE AGRONOMIA,10,4,64,568,34,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE EDUCACION INICIAL,10,4,60,190,25,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE EDUCACION PRIMARIA,10,4,60,205,30,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE EDUCACION SECUNDARIA,10,4,65,458,60,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE EDUCACION FISICA,10,4,64,178,25,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE ADMINISTRACION DE EMPRESAS,10,4,60,640,61,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE CONTABILIDAD Y AUDITORIA,10,4,60,710,53,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE BIOLOGIA,10,4,58,504,42,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE ECONOMIA,10,4,60,703,70,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE ANTROPOLOGIA,10,4,60,375,33,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE ARQUEOLOGIA E HISTORIA,10,4,55,290,29,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE TRABAJO SOCIAL,10,4,65,377,45,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE DERECHO,12,4,66,695,85,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE ENFERMERIA,10,4,55,437,59,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA DE MINAS,10,4,60,398,50,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA CIVIL,10,4,60,599,104,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE OBSTETRICIA,11,4,57,502,53,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA EN INDUSTRIAS ALIMENTARIAS,10,4,63,326,18,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGRICOLA,10,4,65,578,56,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGROINDUSTRIAL,10,4,59,322,25,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE CIENCIAS DE LA COMUNICACION,10,4,63,441,45,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE MEDICINA VETERINARIA,12,4,78,279,21,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE CIENCIAS FISICO MATEMATICA,10,4,42,200,6,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA DE SISTEMAS,10,4,62,495,42,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE INGENIERIA AGROFORESTAL,10,4,67,225,0,No,No,0,0,0,0,64,0,Semestral
ESCUELA DE FORMACION PROFESIONAL DE MEDICINA HUMANA,14,4,54,63,0,No,No,0,0,0,0,64,0,Semestral
INGENIERIA AGRONOMICA,10,4,75,357,27,No,No,0,0,0,0,0,0,No aplica
INGENIERIA AGROINDUSTRIAL,10,4,61,300,28,No,No,0,0,0,0,0,0,No aplica
INGENIERIA TOPOGRAFICA Y AGRIMENSURA,10,4,69,452,45,No,No,0,0,0,0,0,0,No aplica
MEDICINA VETERINARIA Y ZOOTECNIA,10,4,65,679,8,No,No,0,0,0,0,0,0,No aplica
INGENIERIA ECONOMICA,10,4,56,717,123,No,No,0,0,0,0,0,0,No aplica
CIENCIAS CONTABLES,10,4,62,965,113,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION,10,4,60,636,115,No,No,0,0,0,0,0,0,No aplica
TRABAJO SOCIAL,10,4,56,590,56,No,No,0,0,0,0,0,0,No aplica
ENFERMERIA,10,4,53,553,74,No,No,0,0,0,0,0,0,No aplica
INGENIERIA DE MINAS,10,4,62,717,47,No,No,0,0,0,0,0,0,No aplica
SOCIOLOGIA,10,4,60,499,83,No,No,0,0,0,0,0,0,No aplica
TURISMO,10,4,57,508,62,No,No,0,0,0,0,0,0,No aplica
ANTROPOLOGIA,10,4,61,376,29,No,No,0,0,0,0,0,0,No aplica
CIENCIAS DE LA COMUNICACION SOCIAL,10,4,57,571,75,No,No,0,0,0,0,0,0,No aplica
ARTE,10,4,60,385,42,No,No,0,0,0,0,0,0,No aplica
BIOLOGIA,10,4,61,420,34,No,No,0,0,0,0,0,0,No aplica
EDUCACION SECUNDARIA,10,4,60,786,131,No,No,0,0,0,0,0,0,No aplica
EDUCACION PRIMARIA,10,4,60,309,67,No,No,0,0,0,0,0,0,No aplica
EDUCACION INICIAL,10,4,60,316,26,No,No,0,0,0,0,0,0,No aplica
EDUCACION FISICA,10,4,60,218,15,No,No,0,0,0,0,0,0,No aplica
INGENIERIA ESTADISTICA E INFORMATICA,10,4,60,320,18,No,No,0,0,0,0,0,0,No aplica
