Marca temporal,Puntuación,"¿Cuántos años tienes?
ingresar un número entero",Sexo,Ciclo,¿Cuántas materias estas llevando este ciclo 2023-1?,¿Haces uso de las instalaciones de recreación disponibles en la Universidad UTEC para disfrutar de tu tiempo libre?,¿Qué nivel de estrés has experimentado durante este ciclo académico 2023-1?,¿Cuál ha sido tu nivel de ansiedad durante este ciclo académico 2023-1?,"¿Cuántas horas al día, en promedio, dedicas a actividades de ocio, recreación o diversión durante tu tiempo libre?
ingresar un número entero y sin unidades, ejemplo: Una hora = 1",¿Qué calificación le darías a los espacios de recreación en términos de su impacto en la mejora de tu salud mental?
26/05/2023 9:55:43,,22,Masculino,9,4,Sí,4,3,3,1
26/05/2023 9:56:59,,21,Femenino,7,5,Sí,5,4,4,2
26/05/2023 9:57:13,,24,Masculino,7,4,Sí,4,4,5,4
26/05/2023 9:58:55,,21,Femenino,5,4,Sí,4,5,6,5
26/05/2023 10:00:34,,21,Masculino,4,5,Sí,5,4,5,4
26/05/2023 10:00:49,,20,Masculino,5,6,Sí,4,2,6,5
26/05/2023 10:01:14,,25,Femenino,8,4,Sí,3,2,2,3
26/05/2023 10:02:13,,20,Masculino,4,6,Sí,3,4,3,3
26/05/2023 10:03:32,,23,Femenino,6,6,No,4,3,4,3
26/05/2023 10:03:48,,23,Masculino,9,4,Sí,3,2,5,1
26/05/2023 10:04:18,,25,Femenino,9,3,Sí,3,4,4,4
26/05/2023 10:07:12,,22,Masculino,8,5,Sí,5,3,6,1
26/05/2023 10:09:08,,18,Masculino,2,6,No,3,4,5,0
26/05/2023 10:19:40,,20,Masculino,5,5,Sí,3,3,5,4
26/05/2023 10:21:59,,21,Femenino,7,5,Sí,4,2,4,3
26/05/2023 10:23:39,,21,Masculino,6,5,Sí,4,3,5,0
26/05/2023 10:25:56,,21,Masculino,7,5,Sí,5,3,6,1
26/05/2023 10:31:45,,20,Masculino,5,5,Sí,3,2,3,4
26/05/2023 10:34:52,,20,Masculino,6,5,Sí,3,3,2,1
26/05/2023 10:35:23,,19,Masculino,5,5,Sí,3,4,1,2
26/05/2023 10:37:31,,22,Femenino,9,5,Sí,4,2,5,2
26/05/2023 10:38:20,,20,Femenino,6,5,Sí,4,3,2,1
26/05/2023 10:41:11,,22,Femenino,8,4,Sí,5,3,6,5
26/05/2023 10:42:36,,21,Masculino,7,5,Sí,4,4,7,1
26/05/2023 10:43:49,,18,Masculino,4,5,Sí,3,2,2,2
26/05/2023 10:45:37,,19,Masculino,6,6,Sí,4,4,1,1
26/05/2023 10:46:40,,23,Masculino,10,3,Sí,2,3,5,3
26/05/2023 10:50:06,,21,Masculino,5,4,Sí,5,3,7,2
26/05/2023 10:50:43,,22,Masculino,7,4,Sí,5,4,7,1
26/05/2023 10:53:31,,22,Femenino,8,5,Sí,4,4,7,3
26/05/2023 11:05:39,,20,Masculino,5,5,Sí,3,4,2,2
26/05/2023 11:06:12,,19,Masculino,5,5,Sí,2,3,2,3
26/05/2023 11:06:50,,19,Masculino,5,5,Sí,3,3,2,3
26/05/2023 11:07:20,,21,Masculino,7,4,Sí,2,2,1,2
26/05/2023 11:07:49,,20,Femenino,6,5,Sí,3,4,2,1
26/05/2023 11:08:21,,20,Masculino,6,5,Sí,3,3,2,4
26/05/2023 11:08:55,,19,Masculino,5,6,Sí,4,5,2,2
26/05/2023 11:10:10,,22,Masculino,5,5,Sí,3,3,2,2
26/05/2023 11:10:33,,20,Masculino,5,6,Sí,4,4,1,1
26/05/2023 11:11:33,,18,Femenino,4,6,Sí,3,2,3,3
26/05/2023 11:14:06,,19,Masculino,5,6,Sí,4,4,2,2
26/05/2023 11:27:27,,19,Masculino,5,5,Sí,3,3,2,2
26/05/2023 11:28:00,,20,Femenino,6,5,Sí,3,2,2,3
26/05/2023 11:28:24,,20,Femenino,6,5,Sí,3,3,2,1
26/05/2023 11:28:49,,20,Masculino,6,6,Sí,4,4,2,2
26/05/2023 11:29:20,,19,Masculino,5,5,Sí,3,3,2,3
26/05/2023 11:29:46,,19,Masculino,5,5,Sí,4,4,1,1
26/05/2023 11:30:08,,19,Masculino,5,4,Sí,1,2,2,4
26/05/2023 11:30:34,,20,Masculino,6,5,Sí,3,3,3,2
26/05/2023 11:31:04,,19,Masculino,5,5,Sí,3,3,2,3
26/05/2023 11:31:28,,21,Femenino,7,4,Sí,3,3,2,2
26/05/2023 11:31:49,,20,Masculino,5,5,Sí,3,2,3,2
26/05/2023 11:32:20,,20,Masculino,6,5,Sí,3,4,2,1
26/05/2023 11:32:51,,20,Femenino,6,5,Sí,3,3,2,2
26/05/2023 11:33:18,,19,Masculino,5,5,Sí,4,4,2,4
26/05/2023 11:33:43,,19,Masculino,5,5,Sí,3,2,1,3
26/05/2023 11:34:09,,20,Femenino,6,5,Sí,3,3,2,2
26/05/2023 11:34:36,,19,Femenino,5,5,Sí,3,3,1,2
26/05/2023 11:34:58,,19,Femenino,5,5,Sí,3,3,1,3
26/05/2023 11:35:25,,20,Masculino,6,4,Sí,3,2,2,2
26/05/2023 11:35:53,,20,Masculino,5,5,Sí,2,3,2,2
26/05/2023 13:19:35,,21,Masculino,5,4,Sí,4,3,3,2
26/05/2023 13:31:37,,21,Masculino,5,6,Sí,4,3,3,1
26/05/2023 13:33:08,,22,Masculino,8,5,Sí,4,5,4,1
26/05/2023 13:33:50,,21,Masculino,7,4,Sí,3,2,4,3
26/05/2023 13:34:25,,21,Masculino,7,5,Sí,5,3,4,2
26/05/2023 13:34:59,,21,Femenino,7,5,Sí,4,3,4,4
26/05/2023 13:36:02,,22,Masculino,8,5,Sí,4,3,4,3
26/05/2023 13:37:27,,22,Masculino,8,5,Sí,4,4,3,3
26/05/2023 13:38:02,,20,Masculino,5,6,Sí,5,4,3,2
26/05/2023 13:38:59,,20,Femenino,5,5,Sí,3,3,4,4
26/05/2023 13:39:43,,23,Masculino,10,4,Sí,3,3,3,3
26/05/2023 13:40:20,,22,Masculino,7,5,Sí,4,1,4,4
26/05/2023 13:41:13,,21,Masculino,6,5,Sí,4,2,3,3
26/05/2023 13:41:55,,20,Masculino,5,6,Sí,5,3,3,3
26/05/2023 13:43:21,,21,Femenino,6,5,Sí,4,4,3,1
26/05/2023 13:44:07,,21,Femenino,5,5,Sí,4,3,3,3
26/05/2023 13:45:03,,20,Femenino,5,6,Sí,4,4,3,2
26/05/2023 13:45:58,,19,Masculino,3,5,No,3,1,4,1
26/05/2023 13:47:41,,22,Femenino,7,5,Sí,4,3,4,3
26/05/2023 13:52:20,,22,Masculino,7,4,Sí,4,2,4,3
26/05/2023 13:53:21,,22,Femenino,8,5,Sí,5,4,4,2
26/05/2023 13:54:23,,23,Masculino,10,4,Sí,3,1,3,5
26/05/2023 13:55:13,,21,Masculino,6,5,Sí,3,3,4,3
26/05/2023 13:56:09,,21,Masculino,7,4,Sí,4,4,4,2
26/05/2023 13:57:38,,21,Masculino,5,5,Sí,4,5,3,1
26/05/2023 13:58:30,,21,Masculino,6,6,Sí,5,5,3,2
26/05/2023 13:59:14,,22,Masculino,7,5,Sí,4,3,3,2
26/05/2023 14:26:57,,21,Masculino,6,4,Sí,3,3,3,2
26/05/2023 14:31:07,,20,Femenino,5,5,Sí,4,4,3,3
26/05/2023 14:31:59,,20,Femenino,3,6,Sí,5,5,3,2
26/05/2023 14:32:35,,20,Femenino,5,6,Sí,4,3,3,3
26/05/2023 14:33:51,,20,Femenino,4,6,Sí,4,4,3,2
26/05/2023 14:36:26,,21,Masculino,7,5,Sí,4,4,3,1
26/05/2023 14:37:20,,21,Femenino,6,6,Sí,5,3,4,2
26/05/2023 14:39:57,,21,Femenino,8,5,Sí,4,4,4,1
26/05/2023 14:40:22,,20,Femenino,6,5,Sí,3,2,1,2
26/05/2023 14:40:43,,20,Masculino,6,5,Sí,3,3,2,3
26/05/2023 14:40:48,,21,Masculino,7,6,Sí,5,4,3,3
26/05/2023 14:41:09,,19,Femenino,5,5,Sí,3,3,2,2
26/05/2023 14:41:29,,19,Masculino,5,5,Sí,3,2,1,2
26/05/2023 14:41:59,,20,Masculino,7,4,Sí,3,4,2,3
26/05/2023 14:42:13,,20,Masculino,5,6,Sí,4,4,4,2
26/05/2023 14:42:31,,18,Masculino,4,4,Sí,2,1,2,3
26/05/2023 14:42:54,,21,Femenino,8,4,Sí,3,3,1,4
26/05/2023 14:42:54,,21,Femenino,5,6,Sí,3,3,5,5
26/05/2023 14:43:12,,19,Masculino,5,6,Sí,3,4,1,1
26/05/2023 14:43:33,,20,Femenino,6,6,Sí,2,2,2,2
26/05/2023 14:44:00,,19,Masculino,5,5,Sí,4,4,1,1
26/05/2023 14:44:05,,23,Masculino,9,4,Sí,4,2,5,3
26/05/2023 14:44:19,,20,Femenino,7,5,Sí,2,3,3,4
26/05/2023 14:45:11,,20,Masculino,5,6,Sí,5,5,3,1
26/05/2023 14:48:16,,21,Femenino,6,5,Sí,4,4,2,3
26/05/2023 14:48:51,,29,Masculino,3,5,Sí,5,5,2,4
26/05/2023 14:49:40,,22,Masculino,4,5,No,3,4,3,2
26/05/2023 14:50:15,,24,Masculino,3,5,No,5,3,4,1
26/05/2023 14:51:00,,25,Femenino,9,4,Sí,3,4,.2,4
26/05/2023 14:51:54,,18,Femenino,2,6,Sí,4,5,4,5
26/05/2023 14:53:40,,20,Femenino,6,7,Sí,4,4,4,2
26/05/2023 14:54:47,,24,Femenino,5,7,No,3,2,5,4
26/05/2023 14:58:23,,24,Femenino,7,6,Sí,5,5,6,4
26/05/2023 14:58:55,,22,Femenino,8,4,Sí,4,3,4,2
26/05/2023 14:59:21,,26,Masculino,6,5,Sí,3,4,4,2
