Marca temporal,Puntuación,Ciclo,Edad (años),Sexo,"¿Qué tan sociable eras antes de la pandemia?
1. Poco Sociable  
2. Sociable  
3.Muy Sociable","¿Qué tan sociable eres después de la pandemia?
1. Poco Sociable  2. Sociable  3.Muy Sociable  ",¿De qué manera prefieres socializar?,¿Sientes que te desenvuelves mejor en un salón de clases o por una reunión de zoom?,"¿Antes de la pandemia tu personalidad era introvertida o extrovertida ?
",¿Me podrías indicar la cantidad de amigos  que tienes en total (Online y presencialmente)?,"¿Me podrías indicar  la cantidad de  redes sociales  que usas para conocer personas nuevas?
",¿Cuál es la cantidad   de amigos a los que  les hablas frecuentemente por whatsap ?,¿Me podrías indicar la cantidad  de amigos a los que  les hablas frecuentemente por telegram?,¿Cuánto tiempo dialogas con tus  amigos de forma presencial a la semana ?(Horas:Minutos),"¿Del 1 al  5 qué tan necesarias crees que son las redes sociales para la formación de tu grupo social?
donde 1 es nada y 5 total mente necesario ",¿Cuál es  tiempo que  dialogas de forma virtual a la semana ? (Horas:Minutos),¿Cuánto tiempo usas  telegram al día?  (Horas:Minutos),¿Me podrías indicar la cantidad  de   tiempo que  usas  whatsapp al día ?  (Horas:Minutos),¿Cuántas tiempo usas  instagram al día ?  (Horas:Minutos),¿Cuál es la cantidad  de  tiempo que usas  facebook al día ?  (Horas:Minutos),"¿Cuántos seguidores tienes  por instagram  ?
",¿Me podrías indicar la cantidad de contactos de amigos tienes en tu celular?  ,"¿Cuántos amigos tienes por facebook tienes ?
","¿De cuántas personas componen tu grupo social(amigos cercanos)?
","Es muy necesario la redes sociales  para la formación de los grupos sociales.
(1 en desacuerdo , 5 muy de acuerdo ) [1 al 5 ]","Soy muy sociable después  de la pandemia. 
(1 poco sociable , 5 muy sociable ) [1 a 5 ]","Me desenvuelvo mejor en un salón de clases que en un salón virtual.
(1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]","Antes de la pandemia mi personalidad era muy introvertida.
 (1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]"
30/04/2023 16:27:09,,4,19,Mujer,1,2,Presencial,Salón de clases,Extrovertida,20,2,10,2,10,4,9:00:00,1:00:00,3:00:00,1:00:00,0:30:00,643,140,514,7,4,3,3,4
30/04/2023 17:14:02,,2,18,Mujer,2,1,Presencial,Salón de clases,Extrovertida,10,3,3,0,6,3,6:00:00,1:00:00,12:00:00,7:30:00,2:00:00,215,2,157,3,2,3,4,2
30/04/2023 17:38:53,,2,20,Mujer,2,2,Presencial,Salón de clases,Introvertida,9,1,9,0,8,5,10:20:00,0:00:00,5:50:00,0:00:00,0:00:00,1,20,23,9,4,4,4,2
30/04/2023 17:46:04,,2,17,Varon,3,3,Presencial,Reunión de zoom,Extrovertida,15,1,6,2,15,2,2:05:00,0:30:00,18:00:00,2:00:00,0:20:00,17,128,4329,4,1,5,4,4
30/04/2023 19:11:09,,5,19,Mujer,1,2,Presencial,Salón de clases,Introvertida,20,1,7,0,16,4,5:00:00,0:30:00,1:30:00,1:30:00,0:00:00,210,100,250,6,3,4,4,3
30/04/2023 20:19:51,,2,20,Mujer,1,1,Virtual,Salón de clases,Introvertida,8,3,4,0,2,3,2:30:00,0:10:00,9:30:00,3:30:00,0:30:00,267,19,320,5,3,2,3,4
30/04/2023 21:07:44,,1,19,Varon,2,1,Presencial,Salón de clases,Introvertida,200,1,4,0,5,3,7:15:00,0:00:00,3:00:00,2:00:00,0:15:00,270,250,323,12,4,3,3,4
30/04/2023 21:14:09,,2,18,Mujer,2,2,Presencial,Salón de clases,Extrovertida,10,4,6,0,2,4,3:00:00,1:00:00,4:00:00,1:00:00,2:00:00,276,200,700,4,2,3,4,3
30/04/2023 21:44:34,,2,19,Mujer,1,1,Presencial,Salón de clases,Introvertida,15,2,8,0,10,4,0:00:00,0:00:00,2:00:00,1:00:00,1:30:00,15,16,150,8,4,1,3,4
30/04/2023 22:33:44,,2,18,Mujer,1,3,Presencial,Salón de clases,Introvertida,8,2,3,0,3,3,4:00:00,0:00:00,1:00:00,0:20:00,0:20:00,80,30,150,5,2,4,4,5
30/04/2023 22:49:50,,2,17,Varon,1,1,Presencial,Salón de clases,Extrovertida,1,1,1,1,30,1,0:30:00,0:30:00,2:00:00,0:00:00,0:00:00,1,60,1,1,3,3,3,5
30/04/2023 23:06:35,,4,19,Varon,1,3,Presencial,Salón de clases,Introvertida,10,1,30,0,4000,5,2:00:00,1:00:00,18:00:00,1:00:00,8:00:00,15,150,200,10,5,4,5,4
30/04/2023 23:09:06,,4,18,Varon,3,2,Presencial,Salón de clases,Extrovertida,13,3,17,9,120,3,2:00:00,0:30:00,7:00:00,1:30:00,2:00:00,7,170,137,5,3,3,4,1
30/04/2023 23:32:34,,2,18,Varon,2,2,Presencial,Salón de clases,Introvertida,1,1,1,1,1,2,11:02:00,21:01:00,12:12:00,12:12:00,12:12:00,122,111,123,121,2,2,2,2
30/04/2023 23:32:52,,5,18,Varon,3,2,Presencial,Salón de clases,Extrovertida,15,2,4,0,42,2,12:00:00,0:00:00,12:00:00,2:00:00,0:00:00,447,400,500,7,2,4,4,1
30/04/2023 23:35:25,,4,19,Mujer,2,3,Presencial,Salón de clases,Introvertida,13,1,4,0,150,4,2:00:00,0:10:00,1:00:00,0:00:00,0:10:00,40,16,3,6,4,3,5,3
1/05/2023 0:43:46,,4,19,Mujer,2,2,Virtual,Salón de clases,Introvertida,4,1,3,0,40,3,0:50:00,0:30:00,2:00:00,0:10:00,0:10:00,58,50,1,4,2,2,4,2
2/05/2023 14:28:54,,2,19,Mujer,3,2,Presencial,Salón de clases,Extrovertida,5,2,5,0,9,5,1:00:00,0:00:00,2:02:00,0:00:00,0:00:00,1,1000,5,5,5,4,4,1
2/05/2023 14:31:59,,8,23,Varon,2,2,Presencial,Salón de clases,Introvertida,40,2,5,0,14,3,1:30:00,0:00:00,0:30:00,0:00:00,0:00:00,134,477,100,3,2,2,2,4
2/05/2023 14:32:03,,2,18,Mujer,1,2,Presencial,Salón de clases,Introvertida,20,2,7,0,180,3,1:00:00,0:00:00,12:00:00,3:00:00,0:30:00,1121,25,3,4,3,3,4,4
2/05/2023 14:42:16,,2,20,Mujer,2,2,Presencial,Salón de clases,Extrovertida,8,4,8,0,2,4,0:30:00,0:10:00,8:00:00,0:00:00,0:30:00,275,12,200,4,4,3,4,3
2/05/2023 14:47:55,,1,17,Mujer,1,2,Presencial,Salón de clases,Introvertida,28,2,3,0,2,3,0:30:00,1:00:00,1:30:00,4:00:00,0:00:00,124,84,01,2,4,4,5,5
2/05/2023 15:06:13,,2,19,Varon,2,2,Presencial,Salón de clases,Extrovertida,598,4,20,0,6,1,2:00:00,0:00:00,16:00:00,0:00:00,1:00:00,100,200,800,4,1,3,4,1
2/05/2023 17:08:41,,2,24,Mujer,1,1,Virtual,Reunión de zoom,Introvertida,2,4,7,0,6,3,3:00:00,0:30:00,5:00:00,1:00:00,0:30:00,100,20,400,5,3,2,3,2
2/05/2023 17:34:19,,2,18,Mujer,2,3,Presencial,Salón de clases,Extrovertida,65,1,7,0,66,4,5:00:00,1:00:00,3:00:00,0:10:00,0:00:00,203,167,100,5,4,3,3,3
2/05/2023 18:13:52,,2,19,Mujer,1,1,Virtual,Reunión de zoom,Introvertida,5,2,3,0,20,4,0:30:00,0:00:00,12:00:00,0:00:00,2:00:00,140,110,380,3,5,3,1,5
2/05/2023 18:14:02,,1,18,Mujer,3,1,Virtual,Salón de clases,Introvertida,1,1,4,1,4,5,3:30:00,3:00:00,12:00:00,1:00:00,1:00:00,640,120,5000,5,4,4,4,4
2/05/2023 18:28:01,,7,21,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,20,1,20,0,3,4,13:00:00,0:00:00,12:00:00,12:00:00,1:00:00,170,250,445,5,4,4,3,3
2/05/2023 18:35:52,,8,20,Mujer,2,2,Presencial,Salón de clases,Introvertida,20,1,6,0,1,4,3:00:00,0:00:00,3:00:00,0:30:00,0:00:00,32,50,10,5,4,3,4,5
2/05/2023 19:11:45,,4,19,Varon,2,1,Virtual,Reunión de zoom,Extrovertida,20,4,10,4,2,5,2:30:00,1:00:00,5:00:00,2:00:00,2:00:00,300,99,680,1,5,1,3,5
2/05/2023 19:14:30,,4,22,Varon,1,1,Presencial,Salón de clases,Extrovertida,78,4,10,0,17,2,2:47:00,1:12:00,15:20:00,1:42:00,1:20:00,5,100,460,10,2,2,3,1
2/05/2023 19:25:23,,4,22,Varon,2,1,Virtual,Salón de clases,Introvertida,100,150,12,17,12,3,12:14:00,1:15:00,12:24:00,1:50:00,1:24:00,5,13,700,10,2,3,2,3
3/05/2023 8:50:00,,2,17,Mujer,2,2,Presencial,Salón de clases,Extrovertida,100,3,10,2,1,4,4:00:00,1:00:00,7:00:00,2:00:00,1:00:00,52,150,320,5,3,4,4,2
3/05/2023 9:25:38,,3,19,Varon,2,2,Presencial,Salón de clases,Extrovertida,1,2,1,1,10,3,0:05:00,0:05:00,0:30:00,1:00:00,1:30:00,60,1,10,2,2,2,2,2
3/05/2023 11:48:48,,2,18,Mujer,1,1,Presencial,Salón de clases,Introvertida,2,1,4,0,9,1,1:00:00,0:00:00,5:00:00,0:00:00,1:00:00,12,80,1289,30,4,1,4,2
3/05/2023 11:52:11,,3,17,Varon,2,1,Presencial,Salón de clases,Introvertida,5,3,5,0,10,4,8:00:00,0:00:00,4:00:00,2:00:00,1:00:00,40,30,105,5,4,3,5,3
3/05/2023 12:28:42,,2,19,Varon,2,3,Presencial,Salón de clases,Extrovertida,100,2,10,0,10,5,20:00:00,0:30:00,5:00:00,0:00:00,6:00:00,28,350,750,10,5,3,3,2
3/05/2023 15:42:26,,6,20,Mujer,1,1,Virtual,Reunión de zoom,Introvertida,35,1,5,0,10,3,0:30:00,0:00:00,0:10:00,0:00:00,0:20:00,1,5,65,5,3,1,1,4
3/05/2023 17:33:53,,2,18,Mujer,2,2,Presencial,Salón de clases,Extrovertida,40,5,7,3,1,3,2:00:00,1:00:00,2:30:00,1:00:00,0:30:00,20,25,40,5,3,3,3,3
3/05/2023 17:34:10,,2,19,Mujer,2,2,Presencial,Salón de clases,Extrovertida,3,2,4,0,3,3,1:20:00,0:00:00,8:00:00,0:00:00,0:00:00,120,10,50,4,3,3,3,3
3/05/2023 17:36:28,,2,19,Mujer,2,1,Presencial,Salón de clases,Extrovertida,30,3,15,3,6,4,5:00:00,2:00:00,8:00:00,6:00:00,5:00:00,30,20,50,10,4,4,4,4
3/05/2023 19:11:46,,2,18,Mujer,1,2,Presencial,Reunión de zoom,Introvertida,6,1,5,1,120,3,5:00:00,1:00:00,5:00:00,0:00:00,1:00:00,21,10,120,3,2,2,3,3
3/05/2023 19:12:19,,2,18,Varon,1,2,Virtual,Salón de clases,Introvertida,25,1,5,0,1,2,7:00:00,1:00:00,6:00:00,0:00:00,2:00:00,10,116,100,15,2,3,3,3
3/05/2023 19:28:11,,2,18,Mujer,3,3,Presencial,Salón de clases,Extrovertida,2000,1,400,0,100,2,15:00:00,0:00:00,15:00:00,3:00:00,3:00:00,938,507,2000,5,4,5,5,1
4/05/2023 7:04:12,,4,18,Mujer,1,1,Virtual,Reunión de zoom,Extrovertida,4,2,4,0,15,4,2:00:00,0:05:00,0:30:00,0:30:00,1:00:00,20,40,50,4,3,2,3,3
4/05/2023 15:08:32,,2,18,Mujer,1,2,Presencial,Salón de clases,Introvertida,10,1,4,0,1,2,1:30:00,0:00:00,2:00:00,0:10:00,0:30:00,1,10,4,3,1,3,4,3
4/05/2023 17:54:18,,2,17,Varon,1,1,Presencial,Salón de clases,Introvertida,15,1,4,0,5,3,21:00:00,0:00:00,1:00:00,0:00:00,2:00:00,1,20,300,3,3,3,4,4
4/05/2023 18:25:01,,2,17,Mujer,1,1,Presencial,Reunión de zoom,Introvertida,4,1,5,3,2,3,1:00:00,0:00:00,7:00:00,0:30:00,0:40:00,8,60,270,2,3,3,3,4
4/05/2023 18:25:52,,3,21,Mujer,2,3,Presencial,Salón de clases,Extrovertida,30,3,5,4,2,3,3:30:00,1:20:00,1:20:00,2:00:00,0:00:00,223,101,120,7,3,3,4,3
4/05/2023 18:28:08,,2,18,Varon,2,3,Presencial,Salón de clases,Introvertida,100,370000,10,0,1,3,1:20:00,0:00:00,2:00:00,2:00:00,2:00:00,1,50,4700,50,3,2,3,2
4/05/2023 18:29:32,,2,18,Varon,2,3,Presencial,Salón de clases,Extrovertida,50,5,15,0,9,5,2:00:00,0:00:00,10:10:00,0:00:00,1:00:00,10,200,250,10,4,5,4,4
4/05/2023 18:43:02,,1,17,Mujer,1,2,Presencial,Salón de clases,Introvertida,2,2,3,0,4,4,1:00:00,0:00:00,8:00:00,1:00:00,5:00:00,100,200,300,1,1,3,1,2
4/05/2023 18:47:21,,4,20,Varon,2,2,Presencial,Salón de clases,Introvertida,10,1,3,0,2,4,1:00:00,0:00:00,1:00:00,0:15:00,0:00:00,58,327,467,10,2,2,2,4
4/05/2023 18:47:29,,4,19,Mujer,2,2,Virtual,Reunión de zoom,Introvertida,9,2,10,0,4,2,4:00:00,0:00:00,2:00:00,0:00:00,1:30:00,200,120,478,4,3,3,3,3
4/05/2023 18:51:07,,3,17,Varon,1,2,Presencial,Salón de clases,Introvertida,2,1,3,1,8,5,5:30:00,0:00:00,12:00:00,0:00:00,0:00:00,1,20,40,3,3,3,3,3
4/05/2023 18:55:01,,3,18,Mujer,2,1,Presencial,Salón de clases,Extrovertida,17,2,8,0,32,5,0:00:00,0:00:00,3:22:00,15:30:00,0:00:00,1300,500,1,14,1,1,1,4
4/05/2023 18:55:02,,4,20,Mujer,1,3,Presencial,Salón de clases,Extrovertida,32,2,13,0,54,4,5:00:00,0:00:00,5:00:00,0:00:00,0:00:00,114,50,01,14,5,5,5,5
4/05/2023 18:58:10,,4,23,Varon,1,2,Presencial,Reunión de zoom,Introvertida,5,1,6,0,5,3,5:00:00,0:00:00,10:00:00,0:00:00,20:00:00,300,30,300,5,3,3,3,3
4/05/2023 18:58:29,,2,19,Mujer,3,3,Presencial,Salón de clases,Extrovertida,10,3,6,0,450,4,4:01:00,0:00:00,7:00:00,1:00:00,2:00:00,600,217,1840,5,3,4,4,1
4/05/2023 19:02:36,,2,18,Varon,2,1,Presencial,Salón de clases,Introvertida,3,2,6,0,4,3,3:04:00,0:00:00,9:08:00,0:00:00,0:00:00,1,14,160,3,3,3,3,3
4/05/2023 19:04:52,,7,20,Varon,2,2,Presencial,Salón de clases,Extrovertida,600,3,10,2,14,3,4:00:00,0:20:00,1:00:00,0:30:00,0:30:00,80,50,700,30,3,4,4,3
4/05/2023 20:02:49,,3,19,Varon,1,1,Presencial,Salón de clases,Extrovertida,10,7,3,2,1,2,2:00:00,0:30:00,8:00:00,2:00:00,1:50:00,21,34,365,3,3,2,5,3
4/05/2023 20:26:02,,2,22,Mujer,2,2,Presencial,Salón de clases,Introvertida,15,5,25,5,24,4,8:40:00,2:00:00,12:00:00,4:00:00,6:00:00,630,89,178,5,4,4,4,4
4/05/2023 20:50:15,,2,19,Mujer,1,2,Presencial,Salón de clases,Introvertida,5,2,5,0,5,4,2:00:00,0:00:00,12:00:00,0:00:00,2:00:00,23,154,150,5,3,2,1,2
4/05/2023 21:26:30,,2,18,Varon,2,2,Presencial,Salón de clases,Introvertida,10,2,8,0,30,4,8:00:00,0:00:00,5:00:00,0:30:00,0:30:00,18,35,208,8,4,3,5,3
4/05/2023 22:01:59,,3,18,Mujer,2,2,Virtual,Salón de clases,Extrovertida,21,4,4,1,10,2,7:00:00,1:00:00,15:00:00,5:00:00,8:00:00,70,120,70,4,2,2,2,2
4/05/2023 23:07:40,,2,18,Mujer,2,2,Virtual,Reunión de zoom,Introvertida,5,4,3,0,60,5,8:00:00,0:00:00,6:00:00,0:00:00,2:00:00,1,15,30,3,5,2,4,3
5/05/2023 2:35:59,,10,19,Mujer,1,3,Presencial,Salón de clases,Introvertida,30,2,3,0,50,5,0:45:00,0:00:00,3:00:00,0:30:00,0:45:00,40,30,101,3,3,4,3,4
5/05/2023 9:14:13,,2,18,Mujer,2,1,Presencial,Salón de clases,Introvertida,59,577,7,3,9,5,9:00:00,2:00:00,5:00:00,1:00:00,2:00:00,18,159,300,8,5,3,5,4
5/05/2023 9:40:55,,2,20,Varon,2,1,Virtual,Reunión de zoom,Introvertida,6,3,5,1,3,4,2:30:00,1:40:00,4:05:00,1:00:00,2:00:00,9,19,20,6,4,3,3,3
5/05/2023 9:46:03,,4,20,Varon,2,2,Virtual,Salón de clases,Introvertida,20,34,12,123,11,1,12:33:00,12:04:00,1:08:00,12:34:00,12:34:00,22,1334,12,12,2,3,3,3
5/05/2023 9:51:32,,4,20,Varon,2,2,Presencial,Reunión de zoom,Extrovertida,5,3,1,1,1,5,2:00:00,1:00:00,4:00:00,0:00:00,5:00:00,5,40,4200,4,3,3,1,2
5/05/2023 9:53:10,,2,17,Varon,2,3,Presencial,Salón de clases,Introvertida,8,1,20,4,5,3,1:09:00,0:00:00,8:36:00,0:00:00,2:00:00,123,128,4367,3,4,4,3,4
5/05/2023 9:59:45,,4,22,Varon,1,1,Presencial,Salón de clases,Introvertida,25,1,8,0,3,3,1:00:00,0:05:00,2:30:00,1:00:00,0:10:00,62,25,110,10,3,3,4,3
5/05/2023 10:10:20,,1,17,Varon,2,1,Presencial,Salón de clases,Introvertida,30,3,10,0,7,4,3:00:00,0:00:00,3:00:00,0:30:00,0:30:00,16,30,96,5,4,3,4,4
5/05/2023 14:09:17,,2,17,Mujer,2,2,Presencial,Reunión de zoom,Extrovertida,13,1,8,1,5.3,2,0:00:00,1:00:00,12:50:00,3:00:00,0:30:00,92,300,150,7,3,3,3,1
5/05/2023 14:11:33,,2,20,Mujer,2,2,Presencial,Salón de clases,Extrovertida,8,2,5,2,5,4,5:00:00,1:00:00,6:00:00,1:00:00,2:00:00,190,24,120,5,3,2,2,2
5/05/2023 14:27:57,,10,22,Varon,1,2,Presencial,Reunión de zoom,Introvertida,3,2,2,0,0.3,4,0:03:00,0:00:00,0:02:00,0:00:00,0:00:00,1,123,15,3,4,1,1,4
5/05/2023 14:30:42,,4,21,Mujer,2,2,Presencial,Salón de clases,Extrovertida,6,3,6,3,20,4,2:20:00,1:00:00,11:00:00,1:00:00,1:00:00,2,20,21,4,4,3,4,4
5/05/2023 14:31:03,,4,21,Varon,3,1,Presencial,Salón de clases,Extrovertida,8,2,3,0,2,3,2:30:00,0:20:00,1:00:00,0:30:00,1:00:00,395,60,700,4,4,3,4,1
5/05/2023 14:31:09,,4,19,Varon,2,2,Virtual,Salón de clases,Extrovertida,1,2,2,0,4,3,3:00:00,0:00:00,6:02:00,2:00:00,1:00:00,80,400,500,3,2,2,2,3
5/05/2023 14:44:28,,2,18,Mujer,1,2,Presencial,Reunión de zoom,Introvertida,20,3,9,0,30,4,12:00:00,1:00:00,10:00:00,5:00:00,1:00:00,441,60,400,4,4,4,3,4
5/05/2023 15:56:19,,4,20,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,150,2,10,0,300,4,7:00:00,0:10:00,3:00:00,0:10:00,1:00:00,50,100,425,10,2,3,3,4
5/05/2023 16:39:33,,1,20,Varon,3,2,Presencial,Salón de clases,Introvertida,15,3,7,0,13,3,10:00:00,0:00:00,2:00:00,0:00:00,1:00:00,1,18,30,10,3,3,5,3
5/05/2023 16:50:30,,3,19,Mujer,1,1,Presencial,Salón de clases,Extrovertida,6,1,3,0,2,4,0:00:00,0:00:00,5:00:00,5:00:00,2:00:00,395,5,600,3,5,2,4,4
5/05/2023 16:52:07,,2,17,Otro,1,2,Presencial,Reunión de zoom,Introvertida,10,1,6,0,1000,4,3:00:00,0:00:00,3:00:00,0:00:00,1:00:00,43,10,150,6,4,3,2,5
5/05/2023 17:00:59,,8,26,Varon,3,3,Presencial,Salón de clases,Extrovertida,500,4,30,10,02,4,10:00:00,3:00:00,8:00:00,2:00:00,5:00:00,500,150,3000,10,1,1,1,4
5/05/2023 17:01:22,,7,20,Varon,1,2,Virtual,Reunión de zoom,Introvertida,14,1,3,0,16,2,14:00:00,0:00:00,15:00:00,10:00:00,4:00:00,200,89,96,5,3,1,3,4
5/05/2023 17:03:08,,2,18,Mujer,3,3,Presencial,Reunión de zoom,Extrovertida,101,3,5,2,50,3,3:00:00,2:00:00,1:00:00,1:00:00,6:00:00,208,356,302,5,5,5,5,5
5/05/2023 17:03:14,,2,18,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,20,2,10,10,4,4,2:00:00,0:00:00,2:30:00,0:30:00,1:00:00,300,80,250,3,2,2,1,2
5/05/2023 17:05:22,,4,19,Mujer,3,1,Virtual,Salón de clases,Extrovertida,10,2,2,0,21,2,9:00:00,0:00:00,3:00:00,5:00:00,1:00:00,82,70,100,5,2,5,1,5
5/05/2023 17:05:23,,7,21,Varon,2,2,Presencial,Salón de clases,Extrovertida,10,1,2,0,21,3,7:00:00,0:00:00,2:00:00,1:00:00,0:30:00,110,20,70,8,2,2,5,1
5/05/2023 17:08:00,,4,18,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,10,3,10,2,1,3,3:00:00,2:00:00,8:00:00,5:00:00,2:00:00,905,200,20,10,4,4,4,4
5/05/2023 17:08:06,,2,18,Mujer,1,2,Presencial,Reunión de zoom,Extrovertida,11,1,6,0,8,3,2:30:00,2:30:00,2:30:00,1:50:00,2:45:00,45,56,1256,2,3,4,4,3
5/05/2023 17:08:15,,3,18,Varon,3,2,Virtual,Salón de clases,Extrovertida,8,8,8,0,5,3,2:00:00,0:00:00,2:00:00,1:00:00,5:00:00,150,180,209,1,2,2,4,4
