,Identificador,Nombre,Equipos,Saldo,Provincia,Distrito,Latitud,Longitud,Tipo,Giro,Clasificación,Trimestre1,Trimestre2,Trimestre3,Trimestre4
16,990683463,E000000139135,U,1496,BARRANCA,BARRANCA,-10.75268,-77.7548,MINORISTAS,BODEGA,C,78,63,51,73
17,995146365,E000000142136,U,1650,BARRANCA,BARRANCA,-10.75452,-77.76191,MINORISTAS,BODEGA,C,33,84,72,81
18,958519664,E000000057937,U,957,BARRANCA,SUPE,-10.7448105,-77.6138301,MINORISTAS,BODEGA,D,79,59,86,51
19,w004010183,E000000164177,U,275,BARRANCA,PATIVILCA,-10.69614,-77.77804,MINORISTAS,CABINA DE INTERNET,D,21,63,30,45
20,5115628333,E000000156626,U,1826,BARRANCA,BARRANCA,-10.7329,-77.77576,MINORISTAS,BODEGA,C,94,55,31,72
21,985929029,E000000130639,U,1331,BARRANCA,SUPE PUERTO,-10.77806,-77.74438,MINORISTAS,BODEGA,C,88,83,65,111
22,956929693,E000000054324,U,517,BARRANCA,PARAMONGA,-11.4971458,-77.2132048,MINORISTAS,BODEGA,D,29,44,84,75
23,985219715,E000000127210,U,2057,BARRANCA,BARRANCA,-10.75016,-77.75996,MINORISTAS,BODEGA,C,191,177,107,176
24,978422732,E000000112422,U,3960,BARRANCA,BARRANCA,-10.73823,-77.77228,MINORISTAS,BODEGA,C,388,531,520,540
25,w004010132,E000000164144,U,1793,BARRANCA,BARRANCA,-10.75268,-77.76345,MINORISTAS,CABINA DE INTERNET,C,31,49,46,51
26,963503842,E000000068995,U,1727,BARRANCA,BARRANCA,-10.753908,-77.76055,MINORISTAS,CENTRO COMERCIAL,C,65,82,81,87
27,995436994,E000000143552,U,539,BARRANCA,BARRANCA,-10.75231,-77.7666,MINORISTAS,BODEGA,D,87,38,73,45
28,950974252,E000000036936,U,2893,BARRANCA,BARRANCA,-10.7532797,-77.7592316,MINORISTAS,BODEGA,C,203,128,136,168
29,964068748,E000000070369,U,3520,BARRANCA,BARRANCA,-10.7446861,-77.7534996,MINORISTAS,BODEGA,C,386,628,434,808
30,999646080,E000000154986,U,44,BARRANCA,BARRANCA,-11.10318,-77.60402,MINORISTAS,BODEGA,E,20,23,38,17
31,985692469,E000000129620,U,1474,BARRANCA,BARRANCA,-10.75671,-77.76469,MINORISTAS,BODEGA,C,94,96,65,69
32,w004010080,E000000164108,U,4378,BARRANCA,BARRANCA,-10.74706,-77.76222,MINORISTAS,BODEGA,C,588,198,367,797
33,w004010049,E000000164086,V,4510,BARRANCA,PARAMONGA,-10.674,-77.81914,MINORISTAS,CABINA DE INTERNET,C,398,390,588,695
34,962686982,E000000067999,V,957,BARRANCA,BARRANCA,-10.77671,-77.744689,MINORISTAS,BODEGA,D,101,81,37,96
35,952615349,E000000041139,U,660,BARRANCA,BARRANCA,-10.7487645,-77.7608042,MINORISTAS,AMBULANTE,D,128,75,83,90
36,998798107,E000000152033,U,4224,BARRANCA,BARRANCA,-10.74894,-77.76363,MINORISTAS,BODEGA,C,299,603,566,833
37,999646258,E000000154988,U,2640,BARRANCA,BARRANCA,-10.74518,-77.75321,MINORISTAS,BODEGA,C,283,237,147,234
38,961917411,E000000064848,V,1265,BARRANCA,BARRANCA,-10.749109,-77.761428,MINORISTAS,BODEGA,C,63,69,10,57
39,w004010068,E000000164099,U,2728,BARRANCA,BARRANCA,-10.6771,-77.81857,MINORISTAS,BODEGA,C,203,186,140,202
40,951886747,E000000039254,U,726,BARRANCA,SUPE,-10.794848,-77.718722,MINORISTAS,CABINA DE INTERNET,D,59,81,48,70
41,w004010165,E000000164164,V,4048,BARRANCA,PATIVILCA,-10.68956,-77.77401,MINORISTAS,CABINA DE INTERNET,C,864,834,230,389
42,5115861545,E000000156645,U,6303,BARRANCA,BARRANCA,-11.49262,-77.20157,MINORISTAS,CABINA DE INTERNET,C,521,556,344,254
43,964763491,E000000072261,U,913,BARRANCA,PARAMONGA,-10.675629,-77.819185,MINORISTAS,CENTRO COMERCIAL,D,63,100,49,91
44,949423664,E000000032622,U,2024,BARRANCA,SUPE,-10.789932,-77.713798,MINORISTAS,FERRETERIA,C,149,129,97,268
45,951058196,E000000037301,U,1045,BARRANCA,BARRANCA,-10.753154,-77.752462,MINORISTAS,BODEGA,C,15,46,96,51
46,984599543,E000000124534,U,66,BARRANCA,BARRANCA,-10.75076,-77.75951,MINORISTAS,BODEGA,E,31,29,20,46
47,990363480,E000000137511,U,1694,BARRANCA,BARRANCA,-10.67846,-77.81957,MINORISTAS,BODEGA,C,84,113,55,88
48,975415108,E000000104073,U,528,BARRANCA,BARRANCA,-10.79376,-77.73254,MINORISTAS,BODEGA,D,92,55,39,91
49,996059302,E000000146328,U,2200,BARRANCA,PATIVILCA,-10.69463,-77.77518,MINORISTAS,BODEGA,C,209,182,201,196
50,999784220,E000000155529,U,5291,BARRANCA,SUPE,-10.79875,-77.71373,MINORISTAS,BODEGA,C,790,655,522,686
51,990549316,E000000138449,U,1628,BARRANCA,BARRANCA,-10.75324,-77.75915,MINORISTAS,CENTRO COMERCIAL,C,89,46,76,101
52,w004010037,E000000164078,U,1056,BARRANCA,BARRANCA,-10.74821,-77.75917,MINORISTAS,CABINA DE INTERNET,C,93,80,106,93
53,w004010039,E000000164080,U,1518,BARRANCA,SUPE,-10.79663,-77.71503,MINORISTAS,CABINA DE INTERNET,C,47,111,55,58
54,990967394,E000000140353,U,1254,BARRANCA,BARRANCA,-10.75469,-77.7597,MINORISTAS,BODEGA,C,124,72,14,68
55,999568138,E000000154684,V,66,BARRANCA,BARRANCA,-10.7499,-77.7628,MINORISTAS,BODEGA,E,32,31,26,30
56,w004010036,E000000164077,U,44,BARRANCA,BARRANCA,-10.75627,-77.75674,MINORISTAS,CABINA DE INTERNET,E,19,28,29,26
57,990404333,E000000137678,V,5082,BARRANCA,BARRANCA,-10.74647,-77.76478,MINORISTAS,BODEGA,C,658,647,101,834
58,980044320,E000000118654,U,4334,BARRANCA,SUPE,-10.79702,-77.73186,MINORISTAS,BODEGA,C,576,846,537,404
59,984875690,E000000125573,U,2233,BARRANCA,PARAMONGA,-10.67534,-77.80744,PERSONAL,PERSONAL,C,184,155,91,164
60,990118730,E000000136472,U,13684,BARRANCA,BARRANCA,-10.74855,-77.75893,MINORISTAS,LIBRERIA BAZAR,B,428,458,505,341
61,947415201,E000000027452,U,759,BARRANCA,BARRANCA,-10.754052,-77.754205,MINORISTAS,BODEGA,D,74,60,81,75
62,51943832051,E000000158286,U,935,BARRANCA,PARAMONGA,-10.67395,-77.81851,MINORISTAS,CABINA DE INTERNET,D,36,37,95,85
63,w004010099,E000000164116,U,2552,BARRANCA,BARRANCA,-10.746,-77.75711,MINORISTAS,CABINA DE INTERNET,C,209,102,163,154
64,966145040,E000000075925,U,440,BARRANCA,BARRANCA,-10.7526218,-77.7577313,MINORISTAS,LIBRERIA BAZAR,D,29,76,50,66
65,994499630,E000000141094,U,1155,BARRANCA,BARRANCA,-10.75077,-77.75951,MINORISTAS,BODEGA,C,54,115,108,91
66,951568020,E000000038255,U,4147,BARRANCA,BARRANCA,-10.755177,-77.766377,MINORISTAS,BODEGA,C,396,702,781,846
67,w004010086,E000000164110,U,143,BARRANCA,BARRANCA,-10.75425,-77.76115,MINORISTAS,CABINA DE INTERNET,D,44,27,23,48
68,5145803589,E000000156679,U,2816,BARRANCA,PARAMONGA,-10.67791,-77.81965,MINORISTAS,CABINA DE INTERNET,C,152,203,218,159
69,954668026,E000000045913,U,6182,BARRANCA,BARRANCA,-12.141792,-77.0192913,MINORISTAS,BODEGA,C,515,777,550,349
70,w004010063,E000000164096,U,4444,BARRANCA,BARRANCA,-10.67441,-77.81917,MINORISTAS,LICORERIA,C,714,899,378,281
71,5115709061,E000000156631,U,6160,BARRANCA,SUPE,-10.79698,-77.71355,MINORISTAS,FERRETERIA,C,594,272,390,640
72,988370746,E000000132928,U,1133,BARRANCA,BARRANCA,-10.7445,-77.75093,MINORISTAS,BODEGA,C,30,103,80,99
73,954010861,E000000043861,U,1166,BARRANCA,BARRANCA,-10.7453022,-77.7574955,MINORISTAS,LIBRERIA BAZAR,C,127,12,70,77
74,998664673,E000000151452,U,1617,BARRANCA,BARRANCA,-10.75687,-77.76187,MINORISTAS,BODEGA,C,103,51,90,52
75,w004010088,E000000164112,U,2442,BARRANCA,BARRANCA,-10.7375,-77.77191,MINORISTAS,BODEGA,C,232,257,195,181
76,w004010303,E000000164386,U,2651,BARRANCA,PARAMONGA,-10.67452,-77.81532,MINORISTAS,BODEGA,C,74,237,154,159
77,w004010139,E000000164147,U,1683,BARRANCA,BARRANCA,-10.74476,-77.76282,MINORISTAS,CABINA DE INTERNET,C,65,81,90,114
78,954941477,E000000046778,U,5819,BARRANCA,SUPE,-10.7966178,-77.7135294,MINORISTAS,LIBRERIA BAZAR,C,752,596,497,964
79,948172660,E000000029972,U,1221,BARRANCA,PARAMONGA,-10.6772285,-77.8176442,MINORISTAS,BODEGA,C,81,123,41,67
80,w004010129,E000000164141,U,9812,BARRANCA,BARRANCA,-10.67851,-77.81612,MINORISTAS,CABINA DE INTERNET,C,561,363,213,520
81,5146880411,E000000156681,U,8756,BARRANCA,PARAMONGA,-10.67452,-77.81532,MINORISTAS,BODEGA,C,563,548,471,617
82,985207791,E000000127157,U,979,BARRANCA,BARRANCA,-10.4426,-77.0982,MINORISTAS,BODEGA,D,80,65,87,70
83,988896075,E000000135407,U,1100,BARRANCA,BARRANCA,-10.75391,-77.76055,MINORISTAS,CENTRO COMERCIAL,C,26,76,72,69
84,975394344,E000000103988,V,2046,BARRANCA,SUPE,-10.79477,-77.71314,MINORISTAS,BODEGA,C,185,234,214,191
85,972867040,E000000098394,U,2222,BARRANCA,PATIVILCA,-10.695883,-77.780261,MINORISTAS,BODEGA,C,185,233,162,252
86,w004010151,E000000164153,U,1078,BARRANCA,BARRANCA,-10.75241,-77.75968,MINORISTAS,CABINA DE INTERNET,C,66,73,25,79
87,w004010113,E000000164129,U,1914,BARRANCA,BARRANCA,-10.77597,-77.74412,MINORISTAS,CABINA DE INTERNET,C,94,155,101,200
88,945649652,E000000025100,U,4466,BARRANCA,BARRANCA,-10.743,-77.7437,MINORISTAS,CABINA DE INTERNET,C,485,550,522,476
89,920514511,E000000002238,U,1111,BARRANCA,PARAMONGA,-10.6767302,-77.8162613,MINORISTAS,BODEGA,C,60,52,90,60
90,w004010305,E000000164387,U,22,BARRANCA,BARRANCA,-10.74845,-77.76084,MINORISTAS,BODEGA,E,24,30,6,20
91,971998187,E000000097411,U,385,BARRANCA,BARRANCA,-10.73991,-77.772616,MINORISTAS,BODEGA,D,46,92,45,63
92,953667068,E000000043185,U,1991,BARRANCA,BARRANCA,-10.7473982,-77.7558482,MINORISTAS,BODEGA,C,100,99,128,131
93,947840987,E000000028693,U,2387,BARRANCA,BARRANCA,-10.750957,-77.768417,MINORISTAS,BODEGA,C,170,257,71,221
94,971960104,E000000097198,U,1199,BARRANCA,BARRANCA,-10.74951,-77.761619,PERSONAL,PERSONAL,C,58,60,52,94
95,996263924,E000000147156,U,2145,BARRANCA,BARRANCA,-10.75899,-77.7546,MINORISTAS,FERRETERIA,C,149,141,162,26
96,5118857753,E000000156651,U,1078,BARRANCA,BARRANCA,-10.7513,-77.7607,MINORISTAS,CABINA DE INTERNET,C,55,99,57,88
97,5122880537,E000000156653,U,2288,BARRANCA,BARRANCA,-10.74948,-77.76681,MINORISTAS,BODEGA,C,182,239,58,134
98,990863016,E000000139915,U,2200,BARRANCA,BARRANCA,-10.75972,-77.76073,MINORISTAS,KIOSKO,C,136,109,219,189
99,5140598983,E000000156660,U,1551,BARRANCA,BARRANCA,-10.76133,-77.76109,MINORISTAS,CABINA DE INTERNET,C,87,90,41,36
100,980187063,E000000119509,U,1364,BARRANCA,BARRANCA,-10.74586,-77.77445,MINORISTAS,BODEGA,C,87,124,78,68
101,969297637,E000000085437,U,858,BARRANCA,PATIVILCA,-10.693717,-77.776591,MINORISTAS,BODEGA,D,85,34,50,117
102,w004010119,E000000164133,U,1265,BARRANCA,BARRANCA,-10.75089,-77.76426,MINORISTAS,CABINA DE INTERNET,C,74,104,46,62
103,958551445,E000000058031,V,4510,BARRANCA,BARRANCA,-10.7438576,-77.7728702,MINORISTAS,CONSUMO FINAL,C,660,578,511,647
104,985202922,E000000127143,V,4202,BARRANCA,BARRANCA,-10.74253,-77.75013,MINORISTAS,BODEGA,C,477,421,572,500
105,985991935,E000000130934,U,2013,BARRANCA,BARRANCA,-10.74747,-77.75551,MINORISTAS,BODEGA,C,157,222,192,277
106,980190936,E000000119548,U,1782,BARRANCA,BARRANCA,-10.74963,-77.76169,MINORISTAS,BODEGA,C,78,77,61,58
107,990286131,E000000137203,U,3850,BARRANCA,BARRANCA,-10.75074,-77.76364,MINORISTAS,BODEGA,C,295,681,566,558
108,944896246,E000000022243,U,451,BARRANCA,BARRANCA,-10.7180662,-77.7019472,MINORISTAS,BODEGA,D,61,57,90,61
109,988926469,E000000135544,U,616,BARRANCA,PARAMONGA,-10.67421,-77.8198,MINORISTAS,BODEGA,D,68,87,62,85
110,968998009,E000000083741,U,2178,BARRANCA,BARRANCA,-10.737776,-77.7716942,MINORISTAS,BODEGA,C,192,145,186,140
111,962890228,E000000068421,U,473,BARRANCA,PARAMONGA,-10.7965406,-77.7154041,MINORISTAS,BODEGA,D,36,54,63,59
112,w004010127,E000000164139,U,3641,BARRANCA,BARRANCA,-10.74971,-77.76214,MINORISTAS,CABINA DE INTERNET,C,421,598,544,513
113,965997058,E000000075256,U,2255,BARRANCA,PARAMONGA,-10.681275,-77.818606,MINORISTAS,BODEGA,C,144,140,185,212
114,968163936,E000000080202,U,2552,BARRANCA,BARRANCA,-12.001542,-77.0555213,MINORISTAS,CENTRO COMERCIAL,C,102,195,103,196
115,942436433,E000000016105,U,2519,BARRANCA,BARRANCA,-10.7598718,-77.7579013,MINORISTAS,BODEGA,C,164,84,154,138
116,5100667891,E000000156617,U,1562,BARRANCA,SUPE,-10.80311,-77.74468,MINORISTAS,CABINA DE INTERNET,C,91,80,70,91
117,976985311,E000000110263,U,1859,BARRANCA,BARRANCA,-10.75077,-77.75951,MINORISTAS,CABINA DE INTERNET,C,114,100,34,42
118,w004010131,E000000164143,U,1628,BARRANCA,BARRANCA,-10.74894,-77.76363,MINORISTAS,CABINA DE INTERNET,C,81,49,78,89
119,995911541,E000000145605,U,330,BARRANCA,BARRANCA,-10.74893,-77.75908,MINORISTAS,BODEGA,D,54,38,51,93
120,966517022,E000000076681,U,22,CAJATAMBO,CAJATAMBO,-11.974634,-77.097661,MINORISTAS,BODEGA,E,20,23,18,20
121,999332142,E000000153867,U,12562,CAJATAMBO,GORGOR,-10.47236,-76.99256,MINORISTAS,BODEGA,B,323,366,406,768
122,981803019,E000000121505,U,19316,CAJATAMBO,CAJATAMBO,-12.1343547,-76.9679243,MINORISTAS,CASA DE VIDEOS,B,617,342,349,572
123,945100171,E000000023059,U,23430,CAJATAMBO,GORGOR,-10.4723589,-76.9925573,MINORISTAS,BODEGA,B,308,639,792,446
124,988475825,E000000133460,U,330,CAJATAMBO,CAJATAMBO,-10.47236,-76.99256,MINORISTAS,BODEGA,D,79,50,73,76
125,961529115,E000000063357,U,1496,CAJATAMBO,CAJATAMBO,-10.4559898,-77.0730286,MINORISTAS,BODEGA,C,28,64,100,98
126,961652148,E000000063966,U,1353,CAÑETE,IMPERIAL,-13.0639,-76.3494,MINORISTAS,BODEGA,C,124,76,51,42
127,976554370,E000000108164,U,1034,CAÑETE,IMPERIAL,-13.0551,-76.3482,MINORISTAS,BODEGA,C,78,95,60,80
128,15051000266,E000000158202,U,2859.78,CAÑETE,CHILCA,-12.52189,-76.73259,MINORISTAS,BODEGA,C,206,200,138,249
129,962601578,E000000067598,U,4114,CAÑETE,IMPERIAL,-13.046,-76.3637,MINORISTAS,BODEGA,C,544,744,720,592
130,999584910,E000000154751,U,154,CAÑETE,SAN LUIS,-13.0772,-76.3864,MINORISTAS,BODEGA,D,24,9,54,23
131,959424751,E000000060287,V,935,CAÑETE,IMPERIAL,-13.0326,-76.3335,MINORISTAS,BODEGA,D,57,96,17,65
132,950949178,E000000036838,U,1353,CAÑETE,SAN VICENTE DE CAÑETE,-13.0796,-76.3862,MINORISTAS,BODEGA,C,61,68,53,83
133,947509272,E000000027779,V,2310,CAÑETE,SAN VICENTE DE CAÑETE,-13.075,-76.3849,PERSONAL,PERSONAL,C,153,241,162,172
134,984871519,E000000125540,V,2134,CAÑETE,IMPERIAL,-13.019,-76.3394,MINORISTAS,BODEGA,C,205,181,166,137
135,971293886,E000000093756,U,2409,CAÑETE,MALA,-12.6551743,-76.6353856,MINORISTAS,BODEGA,C,132,127,107,236
136,975160472,E000000102879,U,1518,CAÑETE,CHILCA,-12.4695,-76.7438,MINORISTAS,BODEGA,C,55,76,49,94
137,942653481,E000000016910,U,220,CAÑETE,SAN VICENTE DE CAÑETE,-13.0771,-76.3881,MINORISTAS,BODEGA,D,70,51,50,68
138,985751941,E000000129877,U,3729,CAÑETE,SAN VICENTE DE CAÑETE,-13.0707,-76.3655,MINORISTAS,BODEGA,C,597,522,718,212
139,979099656,E000000114936,U,1419,CAÑETE,MALA,-12.03892,-77.01513,MINORISTAS,BODEGA,C,62,67,51,59
140,970019561,E000000088009,U,1793,CAÑETE,IMPERIAL,-13.0641,-76.349,MINORISTAS,CABINA DE INTERNET,C,97,68,65,55
141,950493444,E000000035520,U,2222,CAÑETE,SAN VICENTE DE CAÑETE,-13.067,-76.3558,MINORISTAS,BODEGA,C,159,154,271,131
142,945061100,E000000022920,V,5258,CAÑETE,MALA,-12.4841,-76.7784,MINORISTAS,BODEGA,C,632,414,359,249
143,970962122,E000000089351,U,286,CAÑETE,IMPERIAL,-13.059,-76.3482,PERSONAL,PERSONAL,D,68,66,66,84
144,945952179,E000000026396,U,1804,CAÑETE,ASIA,-12.7116418,-76.609647,MINORISTAS,BODEGA,C,71,69,44,53
145,949962326,E000000034450,U,4796,CAÑETE,CERRO AZUL,-13.0341,-76.4556,MINORISTAS,BODEGA,C,630,270,563,283
146,945406679,E000000024202,V,946,CAÑETE,CHILCA,-12.4720602,-76.7467575,MINORISTAS,BODEGA,D,48,22,52,85
147,959420878,E000000060270,V,2838,CAÑETE,CHILCA,-12.4720602,-76.7467575,MINORISTAS,BODEGA,C,195,209,123,136
148,988717790,E000000134588,U,2756.6,CAÑETE,MALA,-12.67035,-76.64446,MINORISTAS,BODEGA,C,210,206,178,156
149,956952958,E000000054427,U,7062,CAÑETE,QUILMANA,-12.9847,-76.4054,MINORISTAS,BODEGA,C,769,630,779,497
150,938413979,E000000008239,U,275,CAÑETE,CHILCA,-12.4689,-76.7451,MINORISTAS,BODEGA,D,37,15,14,56
151,964846070,E000000072683,U,2563,CAÑETE,MALA,-12.6592802,-76.6302382,MINORISTAS,BODEGA,C,166,207,185,218
152,975371659,E000000103906,U,132,CAÑETE,SAN LUIS,-13.0402,-76.4265,MINORISTAS,BODEGA,D,18,37,26,28
153,985283902,E000000127551,U,3905.44,CAÑETE,CHILCA,-12.47533,-76.75185,MINORISTAS,BODEGA,C,474,436,755,355
154,975403550,E000000104026,U,3630,CAÑETE,MALA,-12.66156,-76.61881,MINORISTAS,BODEGA,C,395,324,693,368
155,996277938,E000000147203,U,1166,CAÑETE,CERRO AZUL,-13.0252,-76.4793,MINORISTAS,AMBULANTE,C,111,53,51,88
156,973968857,E000000099999,U,3113,CAÑETE,SAN VICENTE DE CAÑETE,-13.1349,-76.334,MINORISTAS,BODEGA,C,443,379,525,604
157,999583658,E000000154748,U,1155,CAÑETE,SAN VICENTE DE CAÑETE,-13.065,-76.4126,MINORISTAS,BODEGA,C,87,77,86,62
158,988174759,E000000131865,U,2728,CAÑETE,SAN LUIS,-13.0444,-76.3898,MINORISTAS,BODEGA,C,154,294,258,190
159,938266484,E000000007731,U,2046,CAÑETE,SAN VICENTE DE CAÑETE,-13.0799,-76.3809,MINORISTAS,BODEGA,C,89,160,162,112
160,939663004,E000000013250,U,1782,CAÑETE,CHILCA,-12.5219402,-76.7307041,MINORISTAS,BODEGA,C,110,59,66,97
161,988528793,E000000133764,U,44,CAÑETE,MALA,-12.65402,-76.63546,MINORISTAS,BODEGA,E,19,29,30,22
162,990419749,E000000137734,U,63558,CAÑETE,CHILCA,-12.48575,-76.73539,MINORISTAS,BODEGA,B,633,405,532,575
163,995468057,E000000143672,U,308,CAÑETE,IMPERIAL,-13.0584,-76.3539,MINORISTAS,BODEGA,D,58,47,46,58
164,951016795,E000000037101,U,3894,CAÑETE,SAN VICENTE DE CAÑETE,-13.0734,-76.385,MINORISTAS,BODEGA,C,689,663,736,692
165,998612871,E000000151256,U,2321,CAÑETE,IMPERIAL,-13.0326,-76.3335,MINORISTAS,BODEGA,C,34,244,167,239
166,980286907,E000000120057,U,385,CAÑETE,MALA,-12.51761,-76.73188,AUTOSERVICIO,MINI MERCADO,D,88,37,86,45
167,995698094,E000000144680,V,4422,CAÑETE,IMPERIAL,-13.0404,-76.3943,MINORISTAS,BODEGA,C,632,351,594,339
168,961040644,E000000062606,U,2596,CAÑETE,SAN VICENTE DE CAÑETE,-13.0938,-76.3878,MINORISTAS,BODEGA,C,251,106,168,216
169,975591352,E000000104752,U,616,CAÑETE,MALA,-12.61832,-76.64203,MINORISTAS,BODEGA,D,62,48,104,91
170,975552929,E000000104621,U,4158,CAÑETE,SAN VICENTE DE CAÑETE,-13.038,-76.4255,MINORISTAS,BODEGA,C,470,360,605,358
171,951097122,E000000037457,U,9702,CAÑETE,SAN VICENTE DE CAÑETE,-13.0659,-76.4533,MINORISTAS,BODEGA,C,528,461,861,183
172,950014268,E000000034673,U,7986,CAÑETE,IMPERIAL,-13.0634,-76.3491,MINORISTAS,BODEGA,C,541,507,617,535
173,984637350,E000000124781,U,5489,CAÑETE,QUILMANA,-12.9557,-76.3688,MINORISTAS,BAZAR,C,453,407,660,417
174,981811626,E000000121539,U,7359,CAÑETE,SAN ANTONIO,-12.4845,-76.7785,MINORISTAS,BODEGA,C,297,786,887,681
175,990275968,E000000137166,U,4093.54,CAÑETE,MALA,-12.66815,-76.62281,MINORISTAS,FARMACIA,C,816,538,776,575
176,51901020999,E000000158251,U,1001,CAÑETE,SAN VICENTE DE CAÑETE,-13.076,-76.3853,MINORISTAS,BODEGA,C,57,88,59,102
177,964815638,E000000072548,U,3586,CAÑETE,MALA,-12.634432,-76.656418,MINORISTAS,BODEGA,C,728,434,332,565
178,w0050100036,E000000164969,U,2244,CAÑETE,IMPERIAL,-13,-76,MINORISTAS,CABINA DE INTERNET,C,286,251,144,235
179,985977877,E000000130879,V,9889,CAÑETE,SAN VICENTE DE CAÑETE,-13.075,-76.3846,PERSONAL,PERSONAL,C,789,514,366,616
180,981904161,E000000121939,U,73.7,CAÑETE,CHILCA,-12.51626,-76.73659,MINORISTAS,FARMACIA,E,18,34,26,33
181,978494578,E000000112742,U,330,CAÑETE,SAN VICENTE DE CAÑETE,-13.0731,-76.3904,MINORISTAS,BODEGA,D,101,84,74,47
182,980404153,E000000120536,U,5016,CAÑETE,MALA,-12.1302,-76.96613,MINORISTAS,BODEGA,C,263,541,665,742
183,978807609,E000000113398,V,396,CAÑETE,IMPERIAL,-13.0387,-76.3512,MINORISTAS,BODEGA,D,76,81,66,23
184,970962040,E000000089342,U,14927,CAÑETE,SAN VICENTE DE CAÑETE,-13.0231,-76.4791,PERSONAL,PERSONAL,B,393,734,484,314
185,998704241,E000000151631,U,1463,CAÑETE,CHILCA,-12.4637,-76.7501,MINORISTAS,BODEGA,C,94,110,118,78
186,950039898,E000000034782,V,506,CAÑETE,CHILCA,-12.5173136,-76.7318246,MINORISTAS,BODEGA,D,46,79,52,76
187,990732472,E000000139319,U,6160,CAÑETE,SAN VICENTE DE CAÑETE,-13.0719,-76.3858,MINORISTAS,BODEGA,C,319,784,682,482
188,939734603,E000000013487,U,3696,CAÑETE,SAN LUIS,-13.0521002,-76.4298172,MINORISTAS,FARMACIA,C,304,506,585,677
189,985409615,E000000128209,V,4312,CAÑETE,SAN VICENTE DE CAÑETE,-13.0751,-76.3882,MINORISTAS,BODEGA,C,419,704,467,242
190,966901541,E000000078390,V,154,CAÑETE,QUILMANA,-12.9467697,-76.3827133,MINORISTAS,BODEGA,D,28,39,4,31
191,975211697,E000000103113,U,1023,CAÑETE,MALA,-12.6568,-76.6362,MINORISTAS,BODEGA,C,72,62,79,80
192,985935062,E000000130664,U,1870,CAÑETE,IMPERIAL,-13.0584,-76.3493,MINORISTAS,BODEGA,C,52,35,60,49
193,950431724,E000000035246,U,913,CAÑETE,MALA,-12.6556,-76.6252,MINORISTAS,BODEGA,D,78,66,104,48
194,967682500,E000000079024,U,6138,CAÑETE,IMPERIAL,-13.0621,-76.3521,MINORISTAS,BODEGA,C,391,340,546,597
195,999269411,E000000153608,U,66,CAÑETE,IMPERIAL,-13.0543,-76.3503,MINORISTAS,BODEGA,E,13,12,29,24
196,976682505,E000000108819,V,5038,CAÑETE,NUEVO IMPERIAL,-13.087,-76.3204,MINORISTAS,BODEGA,C,596,491,720,201
197,948546742,E000000030700,U,3850,CAÑETE,SAN VICENTE DE CAÑETE,-13.0738,-76.3827,MINORISTAS,BODEGA,C,464,576,633,303
198,998761391,E000000151867,U,12804,CAÑETE,ASIA,-12.7968,-76.57,MINORISTAS,BODEGA,B,600,355,508,416
199,979429458,E000000116099,U,792,CAÑETE,IMPERIAL,-13.0743,-76.3846,MINORISTAS,FERRETERIA,D,97,103,66,111
