"","0","Identificador","Nombre","Equipos","Saldo","Provincia","Distrito","Latitud","Longitud","Tipo","Giro","Clasificación","Trimestre1","Trimestre2","Trimestre3","Trimestre4"
"78",78,"920179703","E000000001074","V",264,"LIMA","VILLA MARIA DEL TRIUNFO",-12.1781547,-76.9488542,"MINORISTAS","FARMACIA","D",68,23,41,84
"79",79,"920184774","E000000001086","U",66,"LIMA","RIMAC",-12.0401973,-77.0181262,"MINORISTAS","BODEGA","E",26,27,34,32
"80",80,"920197205","E000000001116","U",330,"LIMA","ATE",-12.0221565,-76.8821278,"MINORISTAS","BODEGA","D",50,89,61,103
"81",81,"920205658","E000000001142","U",374,"LIMA","SAN MARTIN DE PORRES",-12.026192,-77.0881263,"MINORISTAS","BODEGA","D",74,71,54,91
"82",82,"920209732","E000000001154","V",1166,"LIMA","VILLA EL SALVADOR",-12.2183124,-76.9495423,"MINORISTAS","BODEGA","C",52,73,92,25
"83",83,"920213154","E000000001164","U",2365,"LIMA","EL AGUSTINO",-12.05,-77.0112,"MINORISTAS","BODEGA","C",149,192,147,277
"84",84,"920213515","E000000001165","U",1265,"HUARAL","HUARAL",-11.616619,-77.2333127,"MINORISTAS","BOTICA","C",103,71,99,99
"85",85,"920213608","E000000001166","U",902,"LIMA","VILLA EL SALVADOR",-12.1923,-76.9528,"MINORISTAS","BODEGA","D",65,98,116,61
"86",86,"920213860","E000000001168","U",143,"LIMA","SAN JUAN DE LURIGANCHO",-12.0039,-76.9942,"MINORISTAS","BODEGA","D",37,33,23,45
"87",87,"920218901","E000000001182","U",3949,"LIMA","COMAS",-11.9151045,-77.0517107,"MINORISTAS","BODEGA","C",511,707,445,735
"88",88,"920229919","E000000001214","U",814,"LIMA","SAN LUIS",-12.0777181,-76.9980378,"MINORISTAS","AMBULANTE","D",75,76,87,35
"89",89,"920231983","E000000001221","U",2365,"LIMA","LOS OLIVOS",-12.004832,-77.0679813,"MINORISTAS","BODEGA","C",223,149,88,262
"90",90,"920253790","E000000001298","U",5236,"LIMA","SANTA ANITA",-12.0430298,-76.9624634,"MINORISTAS","BAZAR","C",342,539,448,618
"91",91,"920256536","E000000001310","V",22,"LIMA","SAN MARTIN DE PORRES",-12.0272852,-77.0784543,"MINORISTAS","BODEGA","E",20,13,16,29
"92",92,"920266403","E000000001347","V",1232,"LIMA","LIMA",-12.0557,-77.0313,"MINORISTAS","BODEGA","C",102,71,62,110
"93",93,"920266569","E000000001348","V",1254,"LIMA","ANCON",-11.8142,-77.1299,"MINORISTAS","PUESTO	DE MERCADO","C",61,120,86,74
"94",94,"920270692","E000000001356","U",1265,"LIMA","INDEPENDENCIA",-12.0001966,-77.0501262,"MINORISTAS","BODEGA","C",91,53,69,81
"95",95,"920288911","E000000001427","U",594,"LIMA","SAN MARTIN DE PORRES",-12.0317492,-77.093273,"MINORISTAS","BODEGA","D",120,117,110,133
"96",96,"920289168","E000000001429","U",638,"LIMA","LOS OLIVOS",-11.9714,-77.0683,"MINORISTAS","BODEGA","D",101,141,73,103
"97",97,"920291112","E000000001435","U",9867,"LIMA","RIMAC",-12.0229278,-77.0333138,"MINORISTAS","BODEGA","C",376,494,465,756
"98",98,"920291151","E000000001436","U",825,"LIMA","LIMA",-12.0513776,-77.0351087,"MINORISTAS","AMBULANTE","D",106,111,62,55
"99",99,"920291290","E000000001438","U",1639,"LIMA","CARABAYLLO",-11.86324,-77.00818,"MINORISTAS","FARMACIA","C",53,96,48,77
"100",100,"920291959","E000000001441","U",638,"LIMA","VILLA MARIA DEL TRIUNFO",-12.1869497,-76.9351196,"MINORISTAS","BODEGA","D",75,63,98,76
"101",101,"920298382","E000000001517","U",528,"LIMA","PACHACAMAC",-12.0871,-76.8794,"MINORISTAS","BODEGA","D",82,62,68,60
"102",102,"920303383","E000000001536","U",4796,"LIMA","LURIN",-12.276927,-76.870242,"MINORISTAS","BODEGA","C",664,766,695,557
"103",103,"920319167","E000000001562","U",3949,"LIMA","JESUS MARIA",-12.063476,-77.08284,"MINORISTAS","BODEGA","C",409,647,850,902
"104",104,"920330479","E000000001592","U",462,"LIMA","LOS OLIVOS",-11.9918196,-77.0723313,"MINORISTAS","BODEGA","D",95,36,55,52
"105",105,"920330553","E000000001594","U",2035,"LIMA","ATE",-12.0381804,-76.8931808,"MINORISTAS","BODEGA","C",146,266,242,167
"106",106,"920331915","E000000001599","U",5676,"LIMA","VILLA EL SALVADOR",-12.2378201,-76.912126,"MINORISTAS","BODEGA","C",571,671,678,837
"107",107,"920337462","E000000001616","U",660,"LIMA","VILLA EL SALVADOR",-12.160682,-76.9522126,"MINORISTAS","LICORERIA","D",77,84,77,81
"108",108,"920365397","E000000001711","U",2908.62,"LIMA","VILLA EL SALVADOR",-12.224601,-76.930632,"MINORISTAS","BODEGA","C",112,125,208,158
"109",109,"920373844","E000000001738","U",1232,"LIMA","BREÑA",-12.063405,-77.050073,"MINORISTAS","BODEGA","C",98,72,40,37
"110",110,"920376796","E000000001751","U",440,"LIMA","SAN JUAN DE MIRAFLORES",-12.1264414,-76.9510013,"MINORISTAS","BODEGA","D",71,40,84,20
"111",111,"920385688","E000000001790","U",1914,"LIMA","SAN JUAN DE LURIGANCHO",-12.0145,-77.006,"MINORISTAS","BODEGA","C",269,153,137,137
"112",112,"920399465","E000000001835","U",4358.2,"LIMA","VILLA EL SALVADOR",-12.196939,-76.960645,"MINORISTAS","BODEGA","C",444,436,527,680
"113",113,"920402992","E000000001843","U",2981,"LIMA","EL AGUSTINO",-12.038124,-76.994012,"MINORISTAS","BODEGA","C",488,607,218,533
"114",114,"920403948","E000000001849","U",2948,"LIMA","SAN JUAN DE MIRAFLORES",-12.1945363,-76.9746555,"MINORISTAS","BODEGA","C",308,476,657,570
"115",115,"920408558","E000000001866","U",889.02,"LIMA","CHORRILLOS",-12.1942824,-76.9851949,"MINORISTAS","BODEGA","D",113,46,65,122
"116",116,"920412887","E000000001876","U",1672,"LIMA","LURIGANCHO",-11.9702618,-76.9414214,"MINORISTAS","BODEGA","C",103,61,88,49
"117",117,"920417193","E000000001893","V",473,"LIMA","LIMA",-12.0396239,-77.055079,"MINORISTAS","AMBULANTE","D",66,21,58,47
"118",118,"920417480","E000000001895","V",550,"LIMA","LURIGANCHO",-11.9810422,-76.9446833,"MINORISTAS","PUESTO	DE MERCADO","D",91,52,98,33
"119",119,"920419155","E000000001898","U",44,"LIMA","CHACLACAYO",-11.9845518,-76.8076555,"MINORISTAS","BODEGA","E",53,32,42,35
"120",120,"920419156","E000000001899","U",198,"LIMA","LURIGANCHO",-11.980115,-76.839402,"MINORISTAS","BODEGA","D",20,22,67,97
"121",121,"920421089","E000000001904","U",88,"LIMA","COMAS",-11.896447,-77.042749,"MINORISTAS","BODEGA","E",25,27,37,25
"122",122,"920428233","E000000001931","V",2112,"LIMA","LURIN",-12.2867627,-76.8530348,"MINORISTAS","BODEGA","C",240,130,129,90
"123",123,"920432322","E000000001943","V",44,"LIMA","CHORRILLOS",-12.177044,-77.005224,"MINORISTAS","FARMACIA","E",40,16,32,40
"124",124,"920434159","E000000001948","V",4488,"LIMA","SAN JUAN DE LURIGANCHO",-12.025362,-77.0116613,"MINORISTAS","CABINA DE INTERNET","C",613,304,540,428
"125",125,"920434280","E000000001949","U",1144,"LIMA","SAN JUAN DE LURIGANCHO",-11.9958,-77.013,"MINORISTAS","BODEGA","C",69,72,96,90
"126",126,"920435994","E000000001957","U",704,"CAÑETE","ASIA",-12.789268,-76.5672291,"MINORISTAS","BODEGA","D",71,93,55,13
"127",127,"920436207","E000000001959","U",6457,"LIMA","EL AGUSTINO",-29.3064802,-49.7775816,"MINORISTAS","BODEGA","C",819,544,804,491
"128",128,"920436540","E000000001962","U",3696,"LIMA","ATE",-12.0199271,-76.8878282,"MINORISTAS","BODEGA","C",744,397,961,688
"129",129,"920441377","E000000001979","U",1540,"LIMA","MAGDALENA DEL MAR",-12.085962,-77.0721263,"MINORISTAS","BODEGA","C",110,89,35,77
"130",130,"920443436","E000000001984","U",616,"LIMA","PUENTE PIEDRA",-11,-77,"MINORISTAS","BODEGA","D",79,87,71,79
"131",131,"920450179","E000000002013","U",176,"LIMA","SAN JUAN DE LURIGANCHO",-12.0324,-77.0135,"MINORISTAS","BODEGA","D",58,73,53,77
"132",132,"920450856","E000000002018","U",902,"LIMA","SANTA ANITA",-12.0430298,-76.9624634,"MINORISTAS","BAZAR","D",73,72,45,36
"133",133,"920454802","E000000002029","U",2992,"LIMA","CHORRILLOS",-12.075592,-77.0299713,"MINORISTAS","BOTICA","C",339,697,570,580
"134",134,"920460403","E000000002042","U",902,"LIMA","SAN JUAN DE LURIGANCHO",-11.933,-76.9722,"MINORISTAS","BODEGA","D",92,47,77,41
"135",135,"920467132","E000000002066","V",1540,"LIMA","MIRAFLORES",-12.099442,-77.0339313,"MINORISTAS","BODEGA","C",83,65,52,90
"136",136,"920467283","E000000002068","U",873.4,"LIMA","CHORRILLOS",-12.1900444,-76.994863,"MINORISTAS","BODEGA","D",101,84,86,81
"137",137,"920468603","E000000002077","U",968,"LIMA","VILLA EL SALVADOR",-12.21521,-76.9421692,"MINORISTAS","BODEGA","D",103,49,54,74
"138",138,"920472600","E000000002086","U",5929,"LIMA","SAN JUAN DE LURIGANCHO",-12.0032,-77.0039,"MINORISTAS","LIBRERIA","C",661,629,425,642
"139",139,"920482321","E000000002117","V",2222,"LIMA","SAN JUAN DE LURIGANCHO",-11.9621196,-77.0011262,"MINORISTAS","BOTICA","C",195,134,168,225
"140",140,"920483173","E000000002120","U",1225.4,"LIMA","LURIN",-12.29713,-76.85159,"MINORISTAS","LIBRERIA","C",93,76,65,95
"141",141,"920484028","E000000002122","U",1485,"LIMA","LURIN",-12.2544687,-76.8799206,"MINORISTAS","BODEGA","C",62,58,82,47
"142",142,"920484194","E000000002124","U",198,"LIMA","SAN JUAN DE MIRAFLORES",-12.1514,-76.9794,"MINORISTAS","BODEGA","D",51,76,82,61
"143",143,"920502724","E000000002172","U",2673,"LIMA","CHORRILLOS",-12.1951998,-76.9831261,"MINORISTAS","BODEGA","C",215,197,212,182
"144",144,"920511895","E000000002221","U",1254,"LIMA","BREÑA",-12.063898,-77.047073,"MINORISTAS","BODEGA","C",79,87,85,74
"145",145,"920513296","E000000002231","U",1628,"LIMA","SAN BORJA",-12.101232,-77.0063913,"MINORISTAS","BODEGA","C",101,46,72,50
"146",146,"920513376","E000000002232","U",352,"LIMA","ATE",-12.0118012,-76.8080005,"MINORISTAS","BODEGA","D",64,40,49,74
"147",147,"920514511","E000000002238","U",1111,"BARRANCA","PARAMONGA",-10.6767302,-77.8162613,"MINORISTAS","BODEGA","C",60,52,90,60
"148",148,"920516260","E000000002244","U",1749,"LIMA","VILLA EL SALVADOR",-12.2199,-76.9363,"MINORISTAS","BODEGA","C",90,55,111,92
"149",149,"920519668","E000000002254","U",484,"LIMA","VILLA EL SALVADOR",-12.2289814,-76.9153999,"MINORISTAS","BODEGA","D",42,38,70,63
"150",150,"920521317","E000000002262","U",3135,"LIMA","PUENTE PIEDRA",-11.8618616,-77.0737061,"MINORISTAS","BODEGA","C",736,799,487,864
"151",151,"920523875","E000000002272","U",638,"LIMA","COMAS",-11.9077284,-77.0364276,"MINORISTAS","FARMACIA","D",26,52,103,103
"152",152,"920524069","E000000002276","U",1639,"LIMA","SAN JUAN DE LURIGANCHO",-12.0044,-77.0122,"MINORISTAS","BODEGA","C",51,133,69,62
"153",153,"920527086","E000000002291","U",1826,"LIMA","COMAS",46.265419,12.4811201,"MINORISTAS","BODEGA","C",37,31,56,65
"154",154,"920538062","E000000002316","U",1199,"LIMA","SAN JUAN DE MIRAFLORES",-12.1611993,-76.9636126,"MINORISTAS","BODEGA","C",81,85,83,33
"155",155,"920538448","E000000002319","U",286,"LIMA","ATE",-11.9491958,-77.0874126,"MINORISTAS","BODEGA","D",9,78,64,30
"156",156,"920545777","E000000002336","U",374,"LIMA","LURIGANCHO",-11.934452,-76.6941613,"MINORISTAS","BODEGA","D",50,39,35,40
"157",157,"920554740","E000000002371","U",2640,"CAÑETE","CHILCA",-12.1891997,-76.9761261,"MINORISTAS","BODEGA","C",62,207,168,177
"158",158,"920559591","E000000002384","U",1650,"LIMA","LA VICTORIA",-12.0753298,-77.015831,"MINORISTAS","BODEGA","C",74,103,36,45
"159",159,"920560141","E000000002387","U",10736,"LIMA","VILLA EL SALVADOR",-12.21521,-76.9421692,"MINORISTAS","BODEGA","B",691,470,515,453
"160",160,"920560226","E000000002388","U",770,"LIMA","SAN JUAN DE MIRAFLORES",-12.1861997,-76.9591261,"MINORISTAS","BODEGA","D",83,50,69,32
"161",161,"920561014","E000000002391","U",1089,"LIMA","SAN MARTIN DE PORRES",-11.97089,-77.1041794,"MINORISTAS","BODEGA","C",113,106,49,83
"162",162,"920563760","E000000002399","U",649,"LIMA","LOS OLIVOS",-11.9952197,-77.0736613,"MINORISTAS","BODEGA","D",105,76,78,78
"163",163,"920565780","E000000002406","U",1903,"LIMA","BARRANCO",-12.1391989,-77.0181262,"MINORISTAS","BODEGA","C",287,147,211,140
"164",164,"920567710","E000000002414","U",2376,"LIMA","PUENTE PIEDRA",-11.918,-77.0591,"MINORISTAS","BOTICA","C",114,164,195,210
"165",165,"920570181","E000000002424","U",1716,"CAÑETE","QUILMANA",-13.4152198,-76.1334312,"MINORISTAS","BODEGA","C",70,52,91,75
"166",166,"920574429","E000000002431","U",1067,"LIMA","CHORRILLOS",-12.1871997,-77.0151262,"MINORISTAS","BODEGA","C",131,103,48,107
"167",167,"920581654","E000000002445","U",594,"LIMA","SAN JUAN DE LURIGANCHO",-12.0039501,-77.0069504,"MINORISTAS","BODEGA","D",95,103,101,51
"168",168,"920586722","E000000002460","U",825,"LIMA","ATE",-12.0291971,-76.9082126,"MINORISTAS","BODEGA","D",76,81,108,62
"169",169,"920633231","E000000002617","U",1441,"LIMA","SAN JUAN DE LURIGANCHO",-11.9441957,-76.9721261,"MINORISTAS","AMBULANTE","C",75,92,105,93
"170",170,"920653416","E000000002662","V",704,"LIMA","EL AGUSTINO",-12.0341972,-76.9961262,"MINORISTAS","BODEGA","D",88,78,53,91
"171",171,"920665211","E000000002694","U",2937,"LIMA","SANTA ANITA",-12.0461974,-76.9644126,"MINORISTAS","BODEGA","C",149,207,221,181
"172",172,"920680675","E000000002742","U",16181,"LIMA","LA VICTORIA",-12.069402,-77.0015513,"MINORISTAS","BODEGA","B",630,422,423,397
"173",173,"920689760","E000000002772","U",2860,"LIMA","SAN LUIS",-12.0711978,-76.9961262,"MINORISTAS","BODEGA","C",164,205,72,131
"174",174,"920705945","E000000002830","U",759,"LIMA","SAN JUAN DE LURIGANCHO",-12.005042,-77.0146813,"MINORISTAS","BAZAR","D",74,59,36,66
"175",175,"920712144","E000000002854","U",836,"LIMA","SAN MIGUEL",-12.088722,-77.0796013,"MINORISTAS","BODEGA","D",70,118,78,79
"176",176,"920716005","E000000002864","U",418,"LIMA","SAN JUAN DE LURIGANCHO",-11.9711961,-76.9971262,"MINORISTAS","BODEGA","D",41,69,33,38
"177",177,"920723430","E000000002881","V",220,"LIMA","ATE",-12.0801979,-76.9801261,"MINORISTAS","BODEGA","D",37,61,92,32
"178",178,"920729070","E000000002906","U",6314,"LIMA","LURIN",-12.2867403,-76.8302612,"MINORISTAS","BODEGA","C",388,621,670,377
"179",179,"920733425","E000000002916","U",4796,"LIMA","SAN JUAN DE LURIGANCHO",-12.033,-77.0169983,"MINORISTAS","BAZAR","C",335,651,524,620
"180",180,"920750355","E000000002964","U",44,"LIMA","SAN MARTIN DE PORRES",-11.9751962,-77.0991263,"MINORISTAS","BODEGA","E",25,19,39,44
