Marca temporal,"¿Quién es tu referente?
Este datito es opcional, pero nos ayuda a saber quién no anda trabajando 🤔","¿En que ciclo académico te encuentras actualmente en la UTEC?
*Tu ciclo lo define tu curso de menor ciclo que NO has llevado (o recién estás llevando).","¿Cuántos ciclos has cursado desde que ingresaste a la UTEC?
*Los ciclos de verano no se toman en cuenta.",¿Cuál es tu género?,¿Cuántos años tienes?,¿Cuál es tu situación sentimental?,¿Qué carrera estás estudiando?,"¿En que distrito resides actualmente?
Los siete distritos del Callao también figuran.","¿Cuánto tiempo te toma llegar a la UTEC?
Puede que haya días en los que enfrentas más tránsito o no, en ese caso te pedimos una media aproximada.",(2023-1) ¿Cuántos cursos en total estás llevando este ciclo?  📚📙,"(2023-1) ¿Cuántos créditos en total estás llevando este ciclo?
El máximo de créditos por ciclo es 26.","(2023-1) De tu total de créditos, ¿cuántos son de cursos de carrera?  👨‍🎓
El máximo de créditos por ciclo es 26.","(2023-1) De tu total de cursos, ¿cuántos son cursos de carrera?","(2022-2) ¿Cuántos créditos llevaste el ciclo pasado?
El máximo de créditos por ciclo es 26.",(2022-2) ¿Cuántos cursos en total llevaste el ciclo pasado?  📚📙,"(2022-2) De tu anterior total de créditos, ¿cuántos eran de cursos de carrera?  👨‍🎓
El máximo de créditos por ciclo es 26.","(2022-2) De tu anterior total de cursos, ¿cuántos eran cursos de carrera?","(2022-2) ¿Cuál es tu promedio ponderado del ciclo pasado?
Te pedimos que de ser posible, al menos puedas especificar la primera cifra decimal (ejem: 15.6).","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿SEMANALMENTE cuántas horas sueles DORMIR (ciclo 2023-1)?  😴
*Cuántas horas duermes en una semana aprox*",¿SEMANALMENTE cuántas horas SOLÍAS DORMIR (ciclo 2022-2)?,¿SEMANALMENTE cuántas horas SUELES DEDICAR al deporte (ciclo 2023-1)?  ⛹️‍♂️,¿SEMANALMENTE cuántas horas SOLÍAS DEDICAR al deporte (ciclo 2022-2)?,¿SEMANALMENTE cuántas horas SUELES ESTUDIAR (ciclo 2023-1)?  🦕,¿SEMANALMENTE cuántas horas SOLÍAS ESTUDIAR (ciclo 2022-2)?,"Salud y deporte.
Hábitos que sean beneficiosos para tu bienestar general (alimentación, sueño y ejercicio).","Dinero (finanzas y economía).
Tu relación con el dinero, la forma en la que gestionas tus gastos y ahorros.","Carrera y trabajo.
Desarrollo de habilidades profesionales, desempeño en la universidad y desempeño laboral (en caso tengas trabajo).","Familia y amor.
Tu relación con tu familia y pareja (en caso tengas una).","Entorno y amigos.
La calidad y la cantidad de las relaciones sociales y de amistad tienes en tu vida.","Desarrollo personal.
Tiempo dedicado a reflexionar y trabajar en tus habilidades, personalidad, mentalidad, salud y felicidad.","Pasatiempos y entretenimiento.
Sentimiento de satisfacción y suficiencia respecto al tiempo que le dedicas a tu diversión.","Espiritualidad.
Conexión personal con tu vida espiritual (religión, práctica espiritual personal o su sentido de propósito y significado en la vida).","Salud y deporte.
Hábitos que sean beneficiosos para tu bienestar general (alimentación, sueño y ejercicio).","Dinero (finanzas y economía).
Tu relación con el dinero, la forma en la que gestionas tus gastos y ahorros.","Carrera y trabajo.
Desarrollo de habilidades profesionales, desempeño en la universidad y desempeño laboral (en caso tengas trabajo).","Familia y amor.
Tu relación con tu familia y pareja (en caso tengas una).","Entorno y amigos.
La calidad y la cantidad de las relaciones sociales y de amistad tienes en tu vida.","Desarrollo personal.
Tiempo dedicado a reflexionar y trabajar en tus habilidades, personalidad, mentalidad, salud y felicidad.","Pasatiempos y entretenimiento.
Sentimiento de satisfacción y suficiencia respecto al tiempo que le dedicas a tu diversión.","Espiritualidad.
Conexión personal con tu vida espiritual (religión, práctica espiritual personal o su sentido de propósito y significado en la vida)."
1/05/2023 23:59:38,Luciana.,Tercer ciclo.,22,Masculino.,17,Solter@.,Ingeniería Química.,Comas,De 1 a 2 horas.,6,19,5,1,19,5,4,0,16.2,6 - 7 am,8 - 9 am,7 - 8 am,7 - 8 am,2 - 3 pm,2 - 3 pm,3 - 4 pm,1 - 2 pm,10 - 11 pm,7 - 8 pm,9 - 10 pm,8 - 9 pm,5,6,1,2,10,8,5,5,6,7,4,7,6,6,4,4,7,8,5,8,4,7
2/05/2023 0:03:18,Luciana.,Cuarto ciclo.,4,Femenino.,21,Solter@.,Ingeniería Industrial.,Puente Piedra,De 1 a 2 horas.,5,16,0,0,12,5,0,0,13.45,7 - 8 am,10 - 11 am,9 - 10 am,10 - 11 am,1 - 2 pm,3 - 4 pm,1 - 2 pm,3 - 4 pm,No ceno.,No ceno.,No ceno.,No ceno.,6,7,2,0,32,28,6,8,9,9,9,9,9,8,6,6,6,7,6,6,6,6
2/05/2023 0:06:21,Luciana.,Segundo ciclo.,20,Femenino.,19,Solter@.,Ingeniería Química.,Puente Piedra,De 2 a 3 horas.,5,16,4,1,15,4,4,1,12,9 - 10 am,9 - 10 am,No desayuno.,9 - 10 am,12 - 1 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,No ceno.,8 - 9 pm,No ceno.,No ceno.,6,8,6,16,4,2,5,5,6,8,9,10,6,8,8,6,7,8,9,10,7,9
2/05/2023 0:14:46,Luciana.,Cuarto ciclo.,3,Femenino.,18,Solter@.,Ingeniería Química.,Barranco,Menos de media hora.,6,22,4,1,26,7,26,1,14.5,6 - 7 am,7 - 8 am,5 - 6 am,7 - 8 am,12 - 1 pm,1 - 2 pm,1 - 2 pm,11 am - 12 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,6,6,0,0,16,14,6,8,8,2,4,8,5,7,4,7,7,1,5,7,3,7
2/05/2023 0:45:57,Luciana.,Tercer ciclo.,4,Femenino.,20,Solter@.,Ingeníera Ambiental.,Ate,De 1 a 2 horas.,5,16,8,2,24,6,7,2,11.5,7 - 8 am,7 - 8 am,7 - 8 am,7 - 8 am,1 - 2 pm,2 - 3 pm,1 - 2 pm,1 - 2 pm,11 pm - 12 am,8 - 9 pm,11 pm - 12 am,8 - 9 pm,6,5,0,0,30,25,7,7,7,8,8,7,3,6,6,8,7,7,7,7,5,6
2/05/2023 7:28:07,Luciana.,Quinto ciclo.,5,Femenino.,19,Solter@.,Ingeniería Química.,San Isidro,Media hora a 1 hora.,4,14,4,1,16,5,5,1,13.4,7 - 8 am,8 - 9 am,7 - 8 am,8 - 9 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,10 - 11 pm,8 - 9 pm,9 - 10 pm,8 - 9 pm,6,6,1.5,0,7,4,5,4,4,8,8,5,4,4,3,4,4,6,5,4,5,3
2/05/2023 8:34:30,Gaby.,Segundo ciclo.,13,Masculino.,17,Solter@.,Ingeniería Industrial.,Barranco,Menos de media hora.,7,22,3,1,21,7,2,1,18.75,5 - 6 am,7 - 8 am,5 - 6 am,7 - 8 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,50,50,7,0,4,4,8,7,5,3,9,7,7,6,8,7,7,7,9,8,8,7
2/05/2023 8:46:37,Luciana.,Cuarto ciclo.,3,Masculino.,19,Solter@.,Ingeniería Industrial.,Barranco,Menos de media hora.,7,24,11,3,23,7,8,2,14.7,8 - 9 am,9 - 10 am,8 - 9 am,9 - 10 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,7 - 8 pm,8 - 9 pm,7 - 8 pm,8 - 9 pm,35,42,6,8,10,12,5,4,7,8,5,7,8,8,6,9,9,10,8,8,8,8
2/05/2023 8:59:14,Luciana.,Quinto ciclo.,6,Masculino.,20,Prefiero no decirlo.,Ingeniería Mecánica.,Lurín,De 2 a 3 horas.,5,13,0,0,14,4,0,0,14.2,8 - 9 am,10 - 11 am,8 - 9 am,10 - 11 am,4 - 5 pm,5 - 6 pm,5 - 6 pm,5 - 6 pm,10 - 11 pm,9 - 10 pm,10 - 11 pm,9 - 10 pm,5,9,4,2,6,4,10,7,8,4,5,4,5,1,7,7,6,2,8,8,5,5
2/05/2023 11:46:31,Luciana.,Quinto ciclo.,5,Masculino.,19,Prefiero no decirlo.,Ingeniería Química.,Ate,De 2 a 3 horas.,5,20,8,2,16,4,0,0,15.51,9 - 10 am,6 - 7 am,11 - 12 am,6 - 7 am,12 - 1 pm,12 - 1 pm,12 - 1 pm,12 - 1 pm,10 - 11 pm,10 - 11 pm,10 - 11 pm,10 - 11 pm,8,6,1,3,2,4,8,7,7,7,7,7,8,9,7,8,7,7,7,7,7,7
2/05/2023 10:38:37,Luciana.,Cuarto ciclo.,4,Femenino.,21,Con pareja.,Ingeniería Química.,Puente Piedra,De 1 a 2 horas.,5,18,4,1,21,6,4,1,14.75,7 - 8 am,7 - 8 am,5 - 6 am,7 - 8 am,1 - 2 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,10 - 11 pm,10 - 11 pm,10 - 11 pm,10 - 11 pm,6,5,0.5,0,20,22,7,7,7,6,6,6,4,2,6,7,7,6,6,6,4,2
2/05/2023 11:05:57,Gaby.,Tercer ciclo.,3,Masculino.,18,Con pareja.,Ingeniería Mecatrónica.,San Borja,Media hora a 1 hora.,5,19,4,1,19,6,0,0,15.64,7 - 8 am,8 - 9 am,7 - 8 am,8 - 9 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,52,52,0,0,4,4,7,8,6,9,9,7,8,9,7,8,8,9,9,8,8,9
2/05/2023 11:38:21,Luciana.,Segundo ciclo.,3,Femenino.,17,Con pareja.,Ingeniería Química.,Pueblo Libre,De 1 a 2 horas.,4,12,4,1,18,5,0,0,10.2,7 - 8 am,No desayuno.,8 - 9 am,No desayuno.,No almuerzo.,2 - 3 pm,No almuerzo.,2 - 3 pm,No ceno.,No ceno.,No ceno.,No ceno.,64,41,2,0,23,16,7,9,8,7,9,9,7,8,5,8,2,2,6,3,3,4
2/05/2023 12:07:33,Gaby.,Tercer ciclo.,3,Masculino.,18,Solter@.,Ingeniería Mecatrónica.,La Molina,De 1 a 2 horas.,5,18,4,1,19,6,0,0,16.5,6 - 7 am,8 - 9 am,6 - 7 am,8 - 9 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,7 - 8 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8,8,1,3,8,4,2,3,7,5,8,6,3,4,7,2,8,5,7,6,6,5
2/05/2023 12:10:22,Gaby.,Tercer ciclo.,3,Masculino.,19,Solter@.,Bioingeniería.,La Molina,De 1 a 2 horas.,4,15,12,3,21,7,4,1,16.8,4 - 5 am,5 - 6 am,4 - 5 am,4 - 5 am,11 am - 12 pm,12 - 1 pm,11 am - 12 pm,11 am - 12 pm,5 - 6 pm,6 - 7 pm,5 - 6 pm,5 - 6 pm,7,5,8,0,12,24,8,7,10,5,8,8,10,10,9,9,9,9,9,9,9,9
2/05/2023 12:20:08,Kiara.,Tercer ciclo.,3,Femenino.,18,Solter@.,Bioingeniería.,Barranco,Menos de media hora.,5,18,0,0,21,7,2,1,17.62,8 - 9 am,10 - 11 am,No desayuno.,10 - 11 am,1 - 2 pm,12 - 1 pm,3 - 4 pm,1 - 2 pm,8 - 9 pm,7 - 8 pm,10 - 11 pm,8 - 9 pm,6,5,5,0,5,7,8,7,3,4,8,3,3,2,3,7,2,3,7,3,2,1
2/05/2023 12:44:06,Kiara.,Tercer ciclo.,2,Femenino.,18,Solter@.,Bioingeniería.,Barranco,Menos de media hora.,5,18,0,0,21,7,2,2,18.3,8 - 9 am,9 - 10 am,7 - 8 am,9 - 10 am,12 - 1 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,56,56,9,6,7,7,10,8,9,8,8,9,8,8,9,7,9,7,7,7,7,6
2/05/2023 13:02:13,Luciana.,Tercer ciclo.,3,Femenino.,21,Solter@.,Ingeniería Química.,San Juan de Lurigancho,De 1 a 2 horas.,5,17,4,1,21,5,3,1,15.0,10 - 11 am,8 - 9 am,9 - 10 am,8 - 9 am,12 - 1 pm,1 - 2 pm,12 - 1 pm,12 - 1 pm,7 - 8 pm,6 - 7 pm,7 - 8 pm,6 - 7 pm,5,6,0,1,48,36,8,7,6,8,8,8,6,7,6,7,7,8,7,8,8,7
2/05/2023 13:41:27,Gaby.,Tercer ciclo.,3,Masculino.,18,Solter@.,Ingeniería Mecatrónica.,San Juan de Lurigancho,De 2 a 3 horas.,5,19,4,1,19,6,0,0,14,7 - 8 am,9 - 10 am,5 - 6 am,8 - 9 am,12 - 1 pm,2 - 3 pm,2 - 3 pm,2 - 3 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,4,5,1,5,12,10,3,3,6,5,10,4,6,2,3,5,3,4,9,3,3,3
2/05/2023 14:32:33,Derkhenz.,Sexto ciclo.,5,Masculino.,20,Con pareja.,Ciencias de la Computación.,La Molina,De 1 a 2 horas.,5,24,8,2,24,5,12,4,14.7,6 - 7 am,8 - 9 am,6 - 7 am,8 - 9 am,1 - 2 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,10 - 11 pm,8 - 9 pm,10 - 11 pm,8 - 9 pm,46,56,0,2,2,2,8,9,8,8,7,8,8,8,9,6,7,8,9,9,9,7
2/05/2023 14:35:50,Derkhenz.,Cuarto ciclo.,6,Masculino.,20,Prefiero no decirlo.,Ingeniería Mecatrónica.,San Juan de Lurigancho,De 1 a 2 horas.,6,23,17,4,23,6,17,4,14.49,10 - 11 am,10 - 11 am,10 - 11 am,10 - 11 am,2 - 3 pm,2 - 3 pm,2 - 3 pm,2 - 3 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,28,28,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2/05/2023 14:39:31,Derkhenz.,Séptimo ciclo.,8,Masculino.,21,Solter@.,Ingeniería Mecatrónica.,Chaclacayo,De 2 a 3 horas.,5,19,17,4,18,5,16,4,14.6,7 - 8 am,8 - 9 am,7 - 8 am,8 - 9 am,12 - 1 pm,2 - 3 pm,12 - 1 pm,2 - 3 pm,10 - 11 pm,9 - 10 pm,10 - 11 pm,9 - 10 pm,28,28,2,6,15,20,4,5,8,5,9,5,3,7,8,5,3,5,8,6,4,7
2/05/2023 14:47:55,Luciana.,Cuarto ciclo.,4,Femenino.,19,Solter@.,Ingeniería Industrial.,Ate,De 1 a 2 horas.,7,20,8,2,20,6,8,2,15.32,6 - 7 am,8 - 9 am,6 - 7 am,8 - 9 am,12 - 1 pm,12 - 1 pm,12 - 1 pm,12 - 1 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,6,6,1,2,5,5,5,6,6,6,5,6,6,6,5,4,6,4,7,4,6,4
2/05/2023 14:53:12,Luciana.,Cuarto ciclo.,23,Femenino.,19,Solter@.,Ingeniería Industrial.,Jesús María,Media hora a 1 hora.,6,23,8,3,23,6,8,4,16.45,7 - 8 am,6 - 7 am,7 - 8 am,6 - 7 am,12 - 1 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,5 - 6 pm,8 - 9 pm,6 - 7 pm,7 - 8 pm,45,76,12,8,46,88,7,2,7,8,6,8,8,2,7,9,3,8,4,8,4,4
2/05/2023 15:07:35,Derkhenz.,Sexto ciclo.,8,Masculino.,20,Solter@.,Ingeniería Mecatrónica.,Chorrillos,Media hora a 1 hora.,5,16,14,4,16,5,10,3,12,7 - 8 am,7 - 8 am,6 - 7 am,7 - 8 am,2 - 3 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,9 - 10 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,8,8,4,4,10,5,4,4,3,8,8,5,8,9,5,4,7,6,8,8,7,10
