"EDAD","GÉNERO","CARRERA","DISTRITO","CICLO DE ESTUDIO","NIVEL DE SU EDUCACIÓN FINANCIERA","CURSO DE FINANZAS","CANTIDAD DE AHORRO","CANTIDAD DE VECES QUE COME FUERA DE CASA","CONTROL DE FINANZAS PERSONALES","INVERSIÓN","TARJETA DE CRÉDITO","SOLICITO PRESTAMO","ESTABLECE PRESUPUESTO MENSUAL","CONTABILIZA GASTOS EN TRANSPORTE Y COMIDA","TIEMPO QUE LLEVA AHORRANDO","CANTIDAD DE AHORROS AL DÍA DE HOY"
20,"Femenino","Ingeniería Civil","Chorrillos","6","3",TRUE,25,"3-5",TRUE,TRUE,TRUE,FALSE,"Nunca",TRUE,12,400
21,"Masculino","Ingeniería Civil","Independencia","5","5",TRUE,250,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,24,9000
21,"Masculino","Ingeniería Civil","Jesús María","7","4",TRUE,75,"5-10",TRUE,FALSE,FALSE,TRUE,"A veces",TRUE,5,3000
19,"Femenino","Ingeniería Ambiental","Barranco","4","3",FALSE,25,"5-10",FALSE,FALSE,FALSE,FALSE,"Nunca",FALSE,1,50
19,"Femenino","Ingeniería Industrial","Barranco","3","5",FALSE,250,"0",FALSE,TRUE,TRUE,FALSE,"Nunca",FALSE,29,1000
18,"Masculino","Ingeniería Civil","Barranco","4","4",FALSE,150,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,12,240
18,"Masculino","Ingeniería Química","San Juan de Lurigancho","3","3",FALSE,75,"<3",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,4,150
18,"Femenino","Ingeniería Industrial","Villa María del Triunfo","2","3",FALSE,0,"<3",FALSE,FALSE,TRUE,FALSE,"A veces",FALSE,0,10
21,"Masculino","Administración y Negocios Digitales","Chorrillos","4","3",TRUE,25,">10",FALSE,FALSE,FALSE,FALSE,"A veces",TRUE,3,100
20,"Femenino","Ingeniería Ambiental","San Juan de Lurigancho","4","3",FALSE,250,"5-10",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,24,5000
21,"Masculino","Ingeniería Mecánica","Lince","7","4",TRUE,0,">10",TRUE,TRUE,FALSE,FALSE,"Siempre",TRUE,0,900
19,"Masculino","Ciencias de la Computación","San Isidro","5","3",TRUE,75,">10",FALSE,FALSE,FALSE,FALSE,"A veces",FALSE,4,326
19,"Masculino","Ciencias de la Computación","Santiago de Surco","5","3",TRUE,0,">10",TRUE,FALSE,FALSE,FALSE,"Nunca",TRUE,0,500
19,"Masculino","Ingeniería Civil","Independencia","4","4",FALSE,250,"<3",TRUE,TRUE,TRUE,FALSE,"Siempre",TRUE,9,6000
19,"Femenino","Ingeniería Mecatrónica","Barranco","5","3",TRUE,150,"3-5",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,3,150
20,"Femenino","Ingeniería Química","Miraflores","3","4",TRUE,25,"<3",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,5,56
17,"Masculino","Ingeniería Química","San Martin de Porres","1","4",FALSE,150,"3-5",TRUE,FALSE,TRUE,FALSE,"Nunca",TRUE,8,2880
18,"Masculino","Ingeniería Electrónica","Ate","1","4",FALSE,25,"3-5",FALSE,FALSE,FALSE,FALSE,"A veces",TRUE,5,200
18,"Masculino","Ingeniería Industrial","Chorrillos","2","5",FALSE,250,"<3",TRUE,FALSE,TRUE,TRUE,"Siempre",TRUE,3,700
17,"Masculino","Ciencias de la Computación","Lince","1","4",FALSE,150,"3-5",TRUE,TRUE,FALSE,FALSE,"Nunca",TRUE,48,6500
18,"Masculino","Ingeniería Mecatrónica","Villa el Salvador","2","3",FALSE,25,"<3",TRUE,FALSE,TRUE,FALSE,"Nunca",TRUE,6,600
20,"Masculino","Ingeniería Industrial","San Juan de Lurigancho","4","2",FALSE,0,"0",FALSE,FALSE,FALSE,FALSE,"A veces",TRUE,1,20
17,"Masculino","Ingeniería Mecánica","Barranco","1","2",FALSE,75,">10",TRUE,TRUE,FALSE,FALSE,"Siempre",TRUE,1,30
17,"Femenino","Bioingeniería","Chorrillos","1","3",FALSE,25,"3-5",TRUE,TRUE,FALSE,FALSE,"Siempre",TRUE,1,25
20,"Masculino","Ingeniería Industrial","Santa Anita","2","3",FALSE,250,"3-5",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,4,1000
18,"Femenino","Ingeniería Industrial","Chaclacayo","2","3",FALSE,150,"0",FALSE,FALSE,TRUE,FALSE,"Nunca",TRUE,8,530
18,"Masculino","Ingeniería Química","Barranco","2","3",FALSE,150,">10",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,2,300
17,"Masculino","Ingeniería Mecatrónica","Surquillo","1","3",FALSE,75,"<3",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,500,150
17,"Masculino","Bioingeniería","Surquillo","1","1",FALSE,25,"<3",FALSE,TRUE,FALSE,FALSE,"Nunca",TRUE,0,5
21,"Masculino","Ingeniería Industrial","San Juan de Lurigancho","1","3",FALSE,75,"<3",FALSE,FALSE,FALSE,FALSE,"Nunca",TRUE,3,100
16,"Masculino","Ingeniería Química","Barranco","1","4",FALSE,75,"<3",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,6,700
20,"Masculino","Ingeniería Electrónica","Jesús María","2","3",FALSE,75,"<3",FALSE,FALSE,FALSE,FALSE,"Nunca",FALSE,10,1000
17,"Masculino","Ingeniería Mecatrónica","Puente Piedra","1","3",FALSE,75,"5-10",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,48,450
17,"Masculino","Ingeniería Civil","Los Olivos","1","2",FALSE,25,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",FALSE,1,200
17,"Masculino","Ingeniería Mecánica","Santiago de Surco","1","5",FALSE,150,"5-10",TRUE,TRUE,FALSE,FALSE,"Nunca",FALSE,9,1000
16,"Masculino","Ingeniería Mecatrónica","Chorrillos","1","4",FALSE,75,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,6,300
18,"Masculino","Ingeniería Mecánica","Los Olivos","3","3",FALSE,75,"<3",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,2,60
18,"Femenino","Ingeniería Ambiental","Santiago de Surco","2","3",FALSE,75,">10",TRUE,FALSE,TRUE,FALSE,"Nunca",TRUE,4,200
19,"Femenino","Ingeniería Ambiental","Barranco","2","4",FALSE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,6,200
17,"Femenino","Ingeniería Ambiental","San Juan de Lurigancho","2","4",FALSE,250,">10",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,2,500
20,"Masculino","Ingeniería Ambiental","San Martin de Porres","2","2",TRUE,150,"5-10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,6,600
19,"Femenino","Bioingeniería","Chorrillos","5","4",FALSE,75,"5-10",FALSE,FALSE,TRUE,FALSE,"A veces",TRUE,4,300
18,"Masculino","Ingeniería Ambiental","Barranco","2","3",FALSE,75,"3-5",FALSE,FALSE,FALSE,FALSE,"Nunca",TRUE,2,1200
21,"Femenino","Ingeniería Ambiental","Carabayllo","10","4",TRUE,150,">10",TRUE,FALSE,TRUE,TRUE,"A veces",TRUE,18,750
18,"Masculino","Ingeniería Civil","San Juan de Lurigancho","4","5",TRUE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"Siempre",TRUE,3,670
20,"Femenino","Ingeniería Ambiental","San Juan de Lurigancho","3","5",FALSE,75,"<3",TRUE,TRUE,FALSE,FALSE,"Siempre",TRUE,4,500
22,"Femenino","Ingeniería Ambiental","Independencia","5","3",TRUE,75,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,6,500
18,"Femenino","Ingeniería Industrial","Cercado de Lima","4","2",FALSE,25,"<3",TRUE,TRUE,TRUE,FALSE,"A veces",FALSE,12,200
20,"Masculino","Ingeniería Civil","Santiago de Surco","5","4",TRUE,150,"3-5",TRUE,FALSE,FALSE,TRUE,"A veces",TRUE,7,400
17,"Femenino","Ingeniería Química","Los Olivos","3","3",FALSE,75,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,4,150
18,"Femenino","Ingeniería Industrial","Barranco","2","3",FALSE,25,"5-10",FALSE,FALSE,TRUE,FALSE,"A veces",TRUE,4,100
19,"Femenino","Ingeniería Ambiental","Ancón","2","4",FALSE,75,">10",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,4,2000
18,"Femenino","Ciencias de la Computación","Surquillo","3","2",FALSE,0,">10",FALSE,FALSE,TRUE,FALSE,"Siempre",FALSE,0,10
19,"Masculino","Ingeniería Industrial","Barranco","2","3",FALSE,25,">10",FALSE,TRUE,TRUE,FALSE,"A veces",FALSE,0,100
18,"Masculino","Bioingeniería","Rímac","2","3",FALSE,250,"<3",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,6,400
21,"Femenino","Ingeniería Mecatrónica","Chorrillos","4","5",FALSE,25,"3-5",TRUE,FALSE,FALSE,TRUE,"A veces",TRUE,11,100
20,"Masculino","Ingeniería Civil","Barranco","5","2",FALSE,150,"3-5",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,2,400
20,"Masculino","Ingeniería Mecatrónica","Ancón","3","3",FALSE,25,"3-5",FALSE,FALSE,TRUE,TRUE,"Nunca",FALSE,12,10
18,"Femenino","Ingeniería Mecatrónica","San Miguel","3","4",FALSE,150,">10",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,3,120
21,"Femenino","Bioingeniería","Lince","9","3",FALSE,25,"<3",FALSE,FALSE,TRUE,FALSE,"A veces",TRUE,3,500
17,"Masculino","Ingeniería Civil","Los Olivos","1","3",FALSE,150,"3-5",FALSE,FALSE,FALSE,FALSE,"A veces",TRUE,1,200
17,"Masculino","Ingeniería Mecatrónica","El Agustino","1","3",FALSE,25,"3-5",FALSE,FALSE,FALSE,FALSE,"Nunca",TRUE,24,600
21,"Femenino","Ingeniería Civil","Ate","7","3",TRUE,25,">10",FALSE,TRUE,FALSE,FALSE,"A veces",TRUE,12,500
20,"Femenino","Ingeniería Civil","Barranco","5","1",FALSE,0,"<3",FALSE,TRUE,TRUE,TRUE,"A veces",TRUE,1,50
21,"Femenino","Ingeniería Electrónica","San Isidro","1","3",FALSE,25,"<3",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,0,1
18,"Masculino","Ingeniería Mecatrónica","Breña","3","4",FALSE,75,"5-10",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,2,120
18,"Otro","Bioingeniería","Santiago de Surco","3","2",FALSE,25,">10",FALSE,FALSE,FALSE,FALSE,"Nunca",TRUE,1,130
18,"Otro","Bioingeniería","Chaclacayo","3","3",FALSE,75,"5-10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,4,100
22,"Masculino","Ingeniería Civil","Barranco","7","5",TRUE,150,">10",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,20,2500
22,"Femenino","Ingeniería Industrial","Barranco","2","3",FALSE,75,"3-5",TRUE,TRUE,FALSE,TRUE,"Siempre",TRUE,2,150
19,"Masculino","Ingeniería Mecatrónica","Barranco","4","2",FALSE,75,">10",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,14,7777
18,"Masculino","Ingeniería Mecatrónica","San Martin de Porres","3","2",FALSE,250,">10",FALSE,FALSE,TRUE,FALSE,"Nunca",FALSE,10,1300
18,"Masculino","Ciencias de Datos","San Juan de Miraflores","3","3",FALSE,75,"0",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,10,300
19,"Masculino","Ingeniería Mecatrónica","Rímac","2","3",TRUE,25,">10",TRUE,TRUE,FALSE,FALSE,"Nunca",TRUE,2,10
21,"Femenino","Ingeniería Química","San Martin de Porres","4","5",FALSE,250,"3-5",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,4,2000
18,"Femenino","Ingeniería Industrial","Chorrillos","3","3",FALSE,75,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,6,100
21,"Masculino","Ingeniería de la Energía","San Miguel","7","5",TRUE,150,"3-5",TRUE,FALSE,FALSE,TRUE,"A veces",FALSE,1,300
18,"Masculino","Ingeniería Mecatrónica","Miraflores","4","4",FALSE,150,">10",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,36,4000
32,"Masculino","Ingeniería Mecánica","Santiago de Surco","5","4",TRUE,250,">10",TRUE,TRUE,TRUE,TRUE,"A veces",TRUE,12,6000
20,"Masculino","Ingeniería de la Energía","Miraflores","6","4",TRUE,250,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,18,250
20,"Masculino","Ingeniería Electrónica","Miraflores","7","4",TRUE,150,"5-10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,60,20
19,"Masculino","Ingeniería Civil","Lurigancho","4","3",TRUE,250,"<3",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,2,300
21,"Masculino","Ingeniería Mecatrónica","Magdalena del Mar","7","4",TRUE,75,">10",FALSE,TRUE,FALSE,FALSE,"Siempre",FALSE,15,500
18,"Femenino","Ciencias de la Computación","Surquillo","3","5",FALSE,75,"5-10",TRUE,FALSE,TRUE,FALSE,"A veces",FALSE,0,50
18,"Masculino","Ciencias de la Computación","Lurigancho","3","4",FALSE,250,"3-5",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,3,1000
16,"Femenino","Ingeniería Mecatrónica","San Martin de Porres","1","3",FALSE,75,"3-5",FALSE,TRUE,FALSE,FALSE,"A veces",TRUE,12,950
18,"Femenino","Ciencias de Datos","Santiago de Surco","2","3",FALSE,150,"5-10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,240,400
18,"Femenino","Ingeniería Química","La Molina","3","2",FALSE,75,"3-5",TRUE,FALSE,TRUE,FALSE,"Siempre",TRUE,18,400
19,"Masculino","Bioingeniería","La Molina","4","5",TRUE,150,"3-5",TRUE,TRUE,TRUE,TRUE,"Siempre",TRUE,22,1000
21,"Femenino","Ingeniería Mecánica","La Molina","3","4",FALSE,0,"5-10",FALSE,FALSE,TRUE,FALSE,"Nunca",FALSE,3,200
17,"Masculino","Ingeniería Mecatrónica","Barranco","6","3",FALSE,25,"<3",FALSE,TRUE,TRUE,FALSE,"A veces",FALSE,3,400
19,"Femenino","Ciencias de la Computación","Santiago de Surco","6","3",TRUE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"Siempre",TRUE,26,1200
23,"Masculino","Ingeniería Industrial","Miraflores","8","4",TRUE,250,"3-5",TRUE,TRUE,TRUE,TRUE,"Siempre",FALSE,27,2100
19,"Femenino","Ingeniería Química","San Isidro","5","3",FALSE,25,">10",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,3,300
20,"Femenino","Ingeniería Industrial","San Juan de Lurigancho","2","3",FALSE,75,"5-10",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,4,560
22,"Masculino","Ingeniería Civil","Jesús María","9","5",TRUE,150,"5-10",TRUE,TRUE,TRUE,TRUE,"Siempre",TRUE,35,1000
18,"Masculino","Ingeniería Mecánica","Los Olivos","6","4",TRUE,150,"5-10",TRUE,FALSE,TRUE,FALSE,"Nunca",FALSE,0,200
19,"Masculino","Bioingeniería","San Isidro","4","2",FALSE,25,"5-10",FALSE,FALSE,TRUE,TRUE,"Nunca",FALSE,2,50
20,"Masculino","Ingeniería Industrial","Santiago de Surco","2","4",TRUE,150,"3-5",FALSE,TRUE,FALSE,TRUE,"Siempre",TRUE,6,800
17,"Femenino","Ingeniería Industrial","Los Olivos","3","5",TRUE,25,">10",TRUE,TRUE,FALSE,FALSE,"Nunca",TRUE,2,1200
20,"Femenino","Ingeniería Electrónica","Santiago de Surco","2","2",FALSE,0,"<3",FALSE,FALSE,TRUE,FALSE,"A veces",FALSE,0,1
22,"Masculino","Ingeniería Industrial","San Juan de Lurigancho","3","4",FALSE,150,"3-5",TRUE,TRUE,FALSE,FALSE,"Siempre",TRUE,12,1200
18,"Masculino","Ingeniería Mecatrónica","Chorrillos","5","4",TRUE,75,"5-10",TRUE,TRUE,FALSE,TRUE,"Siempre",TRUE,24,2300
23,"Masculino","Ingeniería Química","Cercado de Lima","6","5",TRUE,75,"5-10",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,5,150
20,"Masculino","Ingeniería Civil","Los Olivos","3","1",TRUE,0,">10",TRUE,FALSE,FALSE,FALSE,"A veces",FALSE,1,100
21,"Masculino","Ingeniería Mecánica","Santa Anita","7","3",TRUE,150,"5-10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,61,2500
20,"Masculino","Ciencias de Datos","Jesús María","6","3",FALSE,75,"3-5",TRUE,TRUE,TRUE,FALSE,"Nunca",TRUE,5,350
18,"Femenino","Ingeniería Industrial","San Juan de Miraflores","1","4",FALSE,75,"3-5",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,36,1300
17,"Femenino","Ingeniería Civil","Santiago de Surco","1","2",FALSE,25,"5-10",FALSE,FALSE,FALSE,FALSE,"Nunca",FALSE,0,50
24,"Masculino","Ingeniería Mecatrónica","Surquillo","7","3",FALSE,250,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,4,800
23,"Masculino","Ciencias de la Computación","San Juan de Lurigancho","9","4",FALSE,250,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,37,6800
17,"Masculino","Ingeniería Ambiental","Santiago de Surco","1","4",FALSE,250,">10",TRUE,FALSE,FALSE,FALSE,"A veces",FALSE,2,600
19,"Masculino","Ciencias de la Computación","Lince","1","3",FALSE,150,">10",FALSE,FALSE,FALSE,FALSE,"Siempre",TRUE,1,300
17,"Masculino","Ciencias de la Computación","San Isidro","1","3",FALSE,75,">10",FALSE,TRUE,FALSE,FALSE,"Nunca",FALSE,0,1200
16,"Masculino","Ingeniería Mecatrónica","Chorrillos","1","3",FALSE,25,"<3",TRUE,FALSE,FALSE,FALSE,"Nunca",TRUE,5,200
19,"Masculino","Ingeniería Mecatrónica","Santiago de Surco","7","2",TRUE,25,"<3",FALSE,FALSE,FALSE,FALSE,"Nunca",FALSE,2,814.18
17,"Masculino","Ingeniería Mecatrónica","La Molina","1","3",FALSE,25,"3-5",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,216,500
17,"Masculino","Ingeniería Mecatrónica","Magdalena del Mar","1","3",FALSE,75,"<3",FALSE,FALSE,FALSE,FALSE,"A veces",TRUE,144,120
21,"Femenino","Ingeniería Industrial","Cercado de Lima","4","3",TRUE,75,">10",FALSE,FALSE,TRUE,TRUE,"Nunca",FALSE,0,0
23,"Masculino","Ingeniería Mecatrónica","Ate","8","3",TRUE,75,">10",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,6,500
18,"Femenino","Administración y Negocios Digitales","Cercado de Lima","2","4",FALSE,75,"3-5",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,1,8
22,"Masculino","Administración y Negocios Digitales","Los Olivos","5","2",TRUE,25,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,1,60
20,"Femenino","Administración y Negocios Digitales","Villa María del Triunfo","2","3",FALSE,25,"<3",TRUE,FALSE,FALSE,FALSE,"A veces",FALSE,3,140
19,"Femenino","Bioingeniería","Santiago de Surco","5","1",FALSE,25,"3-5",FALSE,FALSE,TRUE,FALSE,"Nunca",TRUE,2,0
19,"Femenino","Ingeniería Civil","San Borja","3","3",FALSE,75,">10",TRUE,TRUE,TRUE,TRUE,"A veces",TRUE,3,300
17,"Masculino","Ingeniería Civil","Barranco","2","3",FALSE,150,"5-10",FALSE,FALSE,TRUE,TRUE,"A veces",TRUE,2,500
19,"Femenino","Ingeniería Civil","Santiago de Surco","2","4",FALSE,250,">10",TRUE,TRUE,TRUE,FALSE,"Nunca",TRUE,8,1600
20,"Masculino","Ingeniería Electrónica","Chaclacayo","2","3",FALSE,250,"5-10",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,1,300
18,"Femenino","Ingeniería Industrial","Barranco","2","4",FALSE,75,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,3,700
20,"Masculino","Ingeniería Industrial","San Juan de Miraflores","2","3",FALSE,250,">10",FALSE,FALSE,TRUE,FALSE,"Nunca",FALSE,17,3500
20,"Masculino","Ingeniería Civil","Carabayllo","4","3",TRUE,250,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,5,1600
