Edad,Genero,Carrera,Ciclo,Estado.animo,Situacion.economica,Salud,Desempenho,Efecto.desempenho,Efecto.carrera,Horas.estudio,Pre.pandemia,Cursos.jalados.retirados,Actividades
21,Masculino,Ingeniería Mecatrónica,10,4,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,7,No,0,Trabajar
18,Masculino,Ingeniería Civil,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,No afecto mi carrera,2,No,1,"Deporte/ejercicio, Ver series/películas"
19,Femenino,Ingeniería Industrial,6,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Lectura (Aparte de las de la Universidad), Ver series/películas"
21,Femenino,Ingeniería Industrial,6,3,Clase Media,Tuve alguna otra enfermedad,4,Lo mejoró,No afecto mi carrera,8,No,0,"Ver series/películas, Otras actividades"
19,Femenino,Ingeniería Industrial,6,3,Clase Baja,Pasé por un deceso familiar,4,Se mantuvo igual,No afecto mi carrera,7,Si,0,"Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Ambiental,3,3,Clase Alta,Pasé por un deceso familiar,3,Lo empeoró,No afecto mi carrera,5,Si,1,"Jugar videojuegos, Salir de fiesta, Ver series/películas"
18,Masculino,Bioingeniería,3,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Jugar videojuegos, Otras actividades"
18,Masculino,Bioingeniería,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,No afecto mi carrera,5,No,0,"Jugar videojuegos, Ver series/películas"
21,Masculino,Ingeniería Civil,4,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,Perjudico mucho mi carrera,6,No,2,"Deporte/ejercicio, Trabajar"
18,Masculino,Ciencia de la Computacion,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,Beneficio mucho mi carrera,5,No,0,"Deporte/ejercicio, Jugar videojuegos"
23,Femenino,Ingeniería Mecatrónica,5,3,Clase Media,Pasé por un deceso familiar,1,Lo empeoró,Perjudico mucho mi carrera,2,No,2,Ver series/películas
22,Masculino,Ingeniería Mecatrónica,5,5,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Se mantuvo igual,No afecto mi carrera,4,No,1,"Jugar videojuegos, Ver series/películas, Trabajar"
18,Femenino,Bioingeniería,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,Beneficio un poco mi carrera,6,No,0,Ver series/películas
18,Femenino,Bioingeniería,3,1,Clase Media,Algún familiar se vio afectado con el Covid-19,1,Lo empeoró,Perjudico un poco mi carrera,8,No,0,Jugar videojuegos
18,Femenino,Bioingeniería,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,4,No,0,Ver series/películas
20,Femenino,Ingeniería Mecatrónica,3,3,Clase Baja,Me contagié de Covid-19,1,Lo empeoró,Perjudico un poco mi carrera,3,No,4,Otras actividades
19,Masculino,Ingeniería Industrial,4,3,Clase Media,Tuve alguna otra enfermedad,3,Lo empeoró,Perjudico un poco mi carrera,5,No,2,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
17,Femenino,Bioingeniería,3,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Beneficio un poco mi carrera,9,Si,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Trabajar"
20,Femenino,Ingeniería Civil,4,2,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo mejoró,Perjudico un poco mi carrera,6,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas"
20,Masculino,Ciencia de la Computacion,7,2,Clase Media,Me contagié de Covid-19,2,Lo empeoró,Perjudico mucho mi carrera,1,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
18,Masculino,Ingeniería Mecánica,3,3,Clase Media,Pasé por un deceso familiar,4,Se mantuvo igual,Perjudico un poco mi carrera,1,No,1,Jugar videojuegos
18,Femenino,Ingeniería Ambiental,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,Perjudico mucho mi carrera,7,No,0,Deporte/ejercicio
22,Masculino,Ingeniería Civil,5,4,Clase Media,Me contagié de Covid-19,2,Lo empeoró,No afecto mi carrera,5,No,2,"Jugar videojuegos, Ver series/películas"
18,Femenino,Ingeniería Industrial,3,3,Clase Baja,Pasé por un deceso familiar,4,Lo empeoró,Perjudico un poco mi carrera,4,No,0,"Deporte/ejercicio, Ver series/películas"
18,Femenino,Ingeniería Civil,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Beneficio un poco mi carrera,8,Si,0,Lectura (Aparte de las de la Universidad)
18,Masculino,Bioingeniería,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,Perjudico un poco mi carrera,2,No,0,"Deporte/ejercicio, Jugar videojuegos, Salir de fiesta, Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Industrial,3,3,Clase Alta,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Se mantuvo igual,No afecto mi carrera,2,No,3,"Jugar videojuegos, Ver series/películas, Otras actividades"
20,Masculino,Ingeniería Mecánica,7,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,7,Si,3,"Jugar videojuegos, Ver series/películas, Otras actividades"
20,Femenino,Bioingeniería,5,3,Clase Alta,Algún familiar se vio afectado con el Covid-19,2,Se mantuvo igual,No afecto mi carrera,3,No,3,"Ver series/películas, Otras actividades"
20,Masculino,Ingeniería Industrial,4,1,Clase Media,Tuve alguna otra enfermedad,1,Lo empeoró,Beneficio mucho mi carrera,9,No,5,Lectura (Aparte de las de la Universidad)
19,Femenino,Ingeniería Civil,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo mejoró,No afecto mi carrera,3,No,2,"Deporte/ejercicio, Ver series/películas"
19,Masculino,Ingeniería Civil,3,3,Clase Media,Pasé por un deceso familiar,3,Lo empeoró,Perjudico un poco mi carrera,8,No,1,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
18,Femenino,Ingeniería Ambiental,3,3,Clase Media,Pasé por un deceso familiar,4,Lo mejoró,No afecto mi carrera,4,No,1,Ver series/películas
18,Femenino,Ingeniería Ambiental,3,1,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo mejoró,No afecto mi carrera,10,No,0,"Deporte/ejercicio, Ver series/películas"
18,Femenino,Ingeniería Ambiental,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,4,Si,1,"Lectura (Aparte de las de la Universidad), Jugar videojuegos"
19,Femenino,Bioingeniería,5,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo mejoró,Perjudico un poco mi carrera,9,Si,0,"Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
19,Masculino,Administración y Negocios Digitales,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,4,Si,0,Jugar videojuegos
20,Masculino,Ingeniería Electrónica,9,5,Clase Baja,Tuve alguna otra enfermedad,3,Se mantuvo igual,Beneficio mucho mi carrera,3,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas, Otras actividades"
26,Masculino,Bioingeniería,5,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico mucho mi carrera,4,No,1,"Deporte/ejercicio, Ver series/películas"
17,Masculino,Ciencia de la Computacion,3,3,Clase Baja,Tuve alguna otra enfermedad,3,Lo empeoró,Perjudico mucho mi carrera,2,No,0,Lectura (Aparte de las de la Universidad)
19,Masculino,Ingeniería de la Energía,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,2,Lo empeoró,No afecto mi carrera,3,No,4,Otras actividades
18,Femenino,Bioingeniería,3,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,No afecto mi carrera,9,No,0,Otras actividades
18,Masculino,Ciencia de la Computacion,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo mejoró,Beneficio mucho mi carrera,9,No,1,Jugar videojuegos
18,Femenino,Ingeniería Civil,3,4,Clase Media,Me contagié de Covid-19,4,Lo empeoró,No afecto mi carrera,2,No,0,Ver series/películas
19,Femenino,Bioingeniería,6,2,Clase Baja,Tuve alguna otra enfermedad,3,Se mantuvo igual,Perjudico un poco mi carrera,5,No,0,"Ver series/películas, Otras actividades"
18,Femenino,Ingeniería Mecatrónica,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,3,Si,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas, Otras actividades"
18,Femenino,Bioingeniería,3,2,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,No afecto mi carrera,8,No,3,"Lectura (Aparte de las de la Universidad), Otras actividades"
18,Femenino,Ingeniería Industrial,3,5,Clase Alta,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,Beneficio un poco mi carrera,7,Si,3,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Salir de fiesta, Ver series/películas, Trabajar, Otras actividades"
19,Femenino,Ingeniería Industrial,3,3,Clase Baja,Pasé por un deceso familiar,3,Lo empeoró,No afecto mi carrera,5,No,2,Lectura (Aparte de las de la Universidad)
19,Masculino,Ingeniería Electrónica,5,3,Clase Media,Me contagié de Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,5,No,0,"Ver series/películas, Trabajar, Otras actividades"
17,Femenino,Ingeniería Civil,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,10,No,0,"Deporte/ejercicio, Ver series/películas, Trabajar"
19,Masculino,Ingeniería Mecatrónica,5,4,Clase Alta,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo empeoró,Perjudico un poco mi carrera,1,Si,0,"Deporte/ejercicio, Salir de fiesta"
19,Masculino,Ingeniería Mecatrónica,4,4,Clase Baja,Pasé por un deceso familiar,3,Lo mejoró,Beneficio un poco mi carrera,4,No,0,"Jugar videojuegos, Ver series/películas"
17,Femenino,Ingeniería Industrial,3,4,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,10,Si,0,Otras actividades
22,Masculino,Ingeniería de la Energía,3,1,Clase Baja,Pasé por un deceso familiar,2,Lo empeoró,Perjudico mucho mi carrera,6,Si,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas, Trabajar, Otras actividades"
22,Masculino,Ciencia de la Computacion,9,5,Clase Alta,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo mejoró,No afecto mi carrera,4,No,0,Jugar videojuegos
19,Femenino,Ingeniería Industrial,3,4,Clase Media,Pasé por un deceso familiar,4,Se mantuvo igual,No afecto mi carrera,7,No,0,Otras actividades
18,Masculino,Ciencia de la Computacion,3,2,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,No afecto mi carrera,2,No,2,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Otras actividades"
19,Masculino,Ciencia de la Computacion,5,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,Perjudico un poco mi carrera,3,No,0,"Jugar videojuegos, Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Mecatrónica,5,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Se mantuvo igual,No afecto mi carrera,6,No,0,"Jugar videojuegos, Ver series/películas, Otras actividades"
18,Masculino,Ciencia de la Computacion,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Beneficio mucho mi carrera,3,No,0,"Deporte/ejercicio, Jugar videojuegos"
20,Masculino,Ciencia de la Computacion,7,5,Clase Media,Algún familiar se vio afectado con el Covid-19,5,Lo mejoró,Beneficio mucho mi carrera,4,Si,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
19,Femenino,Ingeniería Industrial,5,4,Clase Media,Pasé por un deceso familiar,3,Se mantuvo igual,Perjudico un poco mi carrera,8,Si,0,"Salir de fiesta, Ver series/películas"
20,Masculino,Ingeniería Industrial,6,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,2,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
22,Masculino,Ingeniería Química,5,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,2,Lo empeoró,Perjudico un poco mi carrera,1,Si,2,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
20,Masculino,Ciencia de la Computacion,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,2,Si,3,Ver series/películas
18,Femenino,Ciencia de la Computacion,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Perjudico un poco mi carrera,7,No,0,"Deporte/ejercicio, Ver series/películas"
18,Masculino,Ingeniería Mecatrónica,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,2,No,1,Jugar videojuegos
20,Masculino,Ingeniería Civil,4,2,Clase Baja,Me contagié de Covid-19,3,Se mantuvo igual,No afecto mi carrera,4,No,1,"Deporte/ejercicio, Jugar videojuegos"
18,Femenino,Ingeniería Mecánica,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,7,Si,0,"Deporte/ejercicio, Ver series/películas"
19,Masculino,Ingeniería Ambiental,3,1,Clase Baja,Me contagié de Covid-19,4,Lo empeoró,Perjudico un poco mi carrera,10,No,0,"Deporte/ejercicio, Jugar videojuegos"
19,Femenino,Ingeniería Industrial,3,2,Clase Media,Me contagié de Covid-19,4,Se mantuvo igual,No afecto mi carrera,9,Si,1,"Deporte/ejercicio, Ver series/películas, Trabajar"
19,Masculino,Bioingeniería,5,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo mejoró,Perjudico un poco mi carrera,10,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas"
18,Masculino,Ingeniería Mecatrónica,3,4,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,2,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas"
20,Masculino,Ingeniería Industrial,3,4,Clase Baja,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,No afecto mi carrera,3,No,0,"Deporte/ejercicio, Jugar videojuegos, Otras actividades"
20,Masculino,Ciencia de la Computacion,5,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
20,Femenino,Bioingeniería,6,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo mejoró,Perjudico un poco mi carrera,5,No,0,"Deporte/ejercicio, Ver series/películas"
20,Masculino,Bioingeniería,5,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,3,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
18,Femenino,Administración y Negocios Digitales,3,3,Clase Media,Me contagié de Covid-19,2,Lo empeoró,No afecto mi carrera,3,No,1,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas"
18,Masculino,Ciencia de la Computacion,3,5,Clase Baja,Pasé por un deceso familiar,3,Se mantuvo igual,Beneficio mucho mi carrera,4,No,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Salir de fiesta, Ver series/películas"
18,Masculino,Ingeniería Mecatrónica,3,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,No afecto mi carrera,5,No,0,"Jugar videojuegos, Ver series/películas"
21,Masculino,Ingeniería Civil,4,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
20,Masculino,Ingeniería Electrónica,8,4,Clase Media,Me contagié de Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,7,No,0,"Deporte/ejercicio, Jugar videojuegos, Otras actividades"
19,Femenino,Ingeniería Electrónica,7,2,Clase Media,Pasé por un deceso familiar,5,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Ver series/películas, Otras actividades"
18,Masculino,Ingeniería Mecatrónica,3,2,Clase Baja,Pasé por un deceso familiar,3,Lo empeoró,Perjudico un poco mi carrera,4,No,2,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
20,Masculino,Ingeniería Química,3,4,Clase Baja,Algún familiar se vio afectado con el Covid-19,5,Se mantuvo igual,Perjudico un poco mi carrera,3,Si,0,"Jugar videojuegos, Ver series/películas, Trabajar"
17,Femenino,Bioingeniería,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,2,No,1,"Deporte/ejercicio, Ver series/películas"
21,Masculino,Bioingeniería,4,3,Clase Baja,Me contagié de Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,5,No,0,"Lectura (Aparte de las de la Universidad), Ver series/películas"
22,Masculino,Administración y Negocios Digitales,6,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Perjudico un poco mi carrera,5,No,1,Deporte/ejercicio
19,Masculino,Ingeniería Civil,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Lo empeoró,Perjudico mucho mi carrera,4,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
21,Masculino,Ingeniería Ambiental,8,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo mejoró,Beneficio un poco mi carrera,8,No,0,"Jugar videojuegos, Ver series/películas, Otras actividades"
18,Femenino,Ingeniería Ambiental,3,2,Clase Media,Pasé por un deceso familiar,2,Lo empeoró,Perjudico un poco mi carrera,5,No,2,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
18,Femenino,Ingeniería Industrial,3,3,Clase Media,Tuve alguna otra enfermedad,3,Lo empeoró,Beneficio un poco mi carrera,6,No,0,"Salir de fiesta, Ver series/películas"
19,Femenino,Ingeniería Ambiental,3,3,Clase Baja,Me contagié de Covid-19,4,Lo mejoró,No afecto mi carrera,4,No,0,"Deporte/ejercicio, Ver series/películas"
19,Femenino,Ingeniería Ambiental,4,2,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Perjudico un poco mi carrera,4,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Trabajar"
19,Femenino,Ingeniería Ambiental,3,2,Clase Media,Me contagié de Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,6,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
19,Masculino,Ingeniería Civil,3,3,Clase Baja,Me contagié de Covid-19,3,Se mantuvo igual,Perjudico un poco mi carrera,7,No,0,Deporte/ejercicio
18,Masculino,Ciencia de Datos,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Lo mejoró,Perjudico un poco mi carrera,4,No,0,"Jugar videojuegos, Ver series/películas"
18,Femenino,Ingeniería Ambiental,3,2,Clase Media,Tuve alguna otra enfermedad,2,Lo empeoró,Perjudico un poco mi carrera,5,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
17,Masculino,Ingeniería Mecatrónica,8,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Se mantuvo igual,Beneficio un poco mi carrera,2,No,0,Ver series/películas
19,Femenino,Ingeniería Civil,3,3,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,8,No,0,Ver series/películas
20,Femenino,Ingeniería Industrial,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,3,No,0,"Ver series/películas, Otras actividades"
20,Femenino,Ingeniería Industrial,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,No afecto mi carrera,4,No,0,"Lectura (Aparte de las de la Universidad), Ver series/películas"
21,Masculino,Ingeniería Industrial,3,3,Clase Baja,Pasé por un deceso de un amigo cercano,3,Lo mejoró,Beneficio un poco mi carrera,6,No,0,"Deporte/ejercicio, Otras actividades"
21,Femenino,Ingeniería Industrial,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,Beneficio un poco mi carrera,6,No,0,"Jugar videojuegos, Ver series/películas"
16,Masculino,Ingeniería Industrial,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Perjudico un poco mi carrera,6,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad)"
19,Masculino,Ingeniería Mecatrónica,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico mucho mi carrera,7,No,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos"
19,Masculino,Ingeniería Civil,4,1,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Perjudico un poco mi carrera,3,No,1,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad)"
20,Masculino,Ingeniería Mecatrónica,7,1,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Perjudico un poco mi carrera,6,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas"
23,Masculino,Ingeniería Mecatrónica,3,5,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,5,Se mantuvo igual,Perjudico un poco mi carrera,4,No,0,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Ver series/películas, Otras actividades"
17,Femenino,Ingeniería Industrial,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Perjudico mucho mi carrera,8,No,5,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
19,Femenino,Ingeniería Civil,3,3,Clase Baja,Tuve alguna otra enfermedad,3,Se mantuvo igual,No afecto mi carrera,6,No,1,Otras actividades
19,Masculino,Ingeniería Industrial,3,2,Clase Baja,Tuve alguna otra enfermedad,3,Se mantuvo igual,No afecto mi carrera,5,No,0,"Deporte/ejercicio, Jugar videojuegos, Ver series/películas, Trabajar, Otras actividades"
19,Femenino,Ingeniería Mecatrónica,3,3,Clase Media,Pasé por un deceso familiar,3,Se mantuvo igual,No afecto mi carrera,5,No,0,"Jugar videojuegos, Ver series/películas, Trabajar"
19,Masculino,Ingeniería Industrial,3,5,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,Perjudico un poco mi carrera,3,No,0,Lectura (Aparte de las de la Universidad)
22,Femenino,Ingeniería Industrial,3,2,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Se mantuvo igual,No afecto mi carrera,9,Si,0,"Ver series/películas, Otras actividades"
19,Femenino,Ingeniería Industrial,3,2,Clase Baja,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,3,No,0,Otras actividades
19,Masculino,Ingeniería Mecánica,4,3,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Perjudico un poco mi carrera,4,No,0,"Deporte/ejercicio, Jugar videojuegos, Otras actividades"
20,Femenino,Ingeniería Ambiental,7,2,Clase Media,Algún familiar se vio afectado con el Covid-19,2,Se mantuvo igual,Beneficio un poco mi carrera,7,No,1,Ver series/películas
19,Masculino,Ingeniería Industrial,3,3,Clase Baja,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,No afecto mi carrera,7,No,0,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
17,Masculino,Ingeniería Industrial,3,2,Clase Baja,Me contagié de Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,5,No,1,"Lectura (Aparte de las de la Universidad), Salir de fiesta, Ver series/películas"
18,Masculino,Ingeniería Industrial,3,2,Clase Media,Pasé por un deceso familiar,2,Lo empeoró,Perjudico un poco mi carrera,3,No,0,"Jugar videojuegos, Ver series/películas"
20,Femenino,Administración y Negocios Digitales,5,5,Clase Media,Tuve alguna otra enfermedad,4,Se mantuvo igual,Beneficio un poco mi carrera,6,No,0,Deporte/ejercicio
21,Masculino,Ingeniería Electrónica,4,2,Clase Media,Pasé por un deceso familiar,3,Lo empeoró,Perjudico un poco mi carrera,1,No,2,Jugar videojuegos
18,Masculino,Ingeniería Civil,3,2,Clase Baja,Pasé por un deceso familiar,3,Lo empeoró,No afecto mi carrera,8,No,2,"Deporte/ejercicio, Lectura (Aparte de las de la Universidad), Ver series/películas"
