"Sexo","Carrera","Edad","Ciclo","Frecuencia_INC","Tiempo_de_demora","Nivel_confianza","Estrategia_veracidad","Acciones_INC","Medida_responsabilidad","Tmax_estudio_tradicional","Tmax_estudio_digital","Tmin_estudio_tradicional","Tmin_estudio_digital","Herramientas_D","Frecuencia_herramientas_D","Capacitacion_INC","Consideracion_info","Acciones_responsables","Percepcion_efectividad"
"Femenino","Ingeniería Química",20,"4","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",5,19,6,4,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Bioingeniería",20,"3","Con frecuencia",8,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Muy responsable",15,20,6,13,"Herramientas de toma de notas","Siempre","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Civil",20,"4","A veces",5,"Neutral","Consultar a un profesor o experto en el tema","La utilizo, pero la verifico con otras fuentes confiables","Neutral",18,22,14,14,"Herramientas de toma de notas","Rara vez","C2","Rumores o leyendas urbanas","A2","Neutral"
"Femenino","Ingeniería Industrial",20,"4","A veces",5,"Muy confiable","Comparar la información con otras fuentes confiables","La utilizo tal cual, sin verificar su veracidad","Muy responsable",16,17,19,14,"Aplicaciones de gestión del tiempo","A veces","C1","Noticias falsas","A4","Positiva"
"Femenino","Ingeniería Ambiental",19,"7","A veces",120,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",5,50,9,40,"Plataformas de aprendizaje en línea","Rara vez","C1","Noticias falsas","A1","Positiva"
"Masculino","Bioingeniería",18,"2","A veces",10,"Muy confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",12,24,9,21,"Plataformas de aprendizaje en línea","A veces","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Civil",19,"4","A veces",20,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",4,18,3,8,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería de la Energía",20,"3","Con frecuencia",8,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",6,23,1,15,"Herramientas de toma de notas","Siempre","C3","Noticias falsas","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",15,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",15,30,9,20,"Herramientas de toma de notas","A veces","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",10,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",7,20,10,10,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ciencias de la Computación",18,"3","Con frecuencia",3,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",8,12,8,12,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Información engañosa o sesgada","A3","Positiva"
"Femenino","Ingeniería Ambiental",19,"3","A veces",8,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",20,24,8,8,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Noticias falsas","A1","Positiva"
"Masculino","Ingeniería Civil",21,"3","A veces",6,"Confiable","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Responsable",17,21,13,15,"Plataformas de aprendizaje en línea","A veces","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Industrial",20,"5","Rara vez",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",18,20,13,15,"Aplicaciones de gestión del tiempo","A veces","C2","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",20,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",0,20,0,10,"Herramientas de toma de notas","A veces","C3","Desinformación intencionada","A1","Neutral"
"Femenino","Ingeniería Ambiental",19,"4","A veces",30,"Confiable","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Poco responsable",4,70,5,50,"Plataformas de aprendizaje en línea","A veces","C2","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Ambiental",18,"4","Con frecuencia",15,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",0,35,0,14,"Aplicaciones de gestión del tiempo","Siempre","C3","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Ambiental",19,"4","Con frecuencia",10,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Poco responsable",14,45,5,30,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ciencias de la Computación",19,"4","Con frecuencia",10,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",7,50,2,35,"Aplicaciones de gestión del tiempo","Con frecuencia","C2","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Ambiental",19,"4","A veces",15,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Poco responsable",5,24,2,6,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Electrónica",18,"3","A veces",5,"Neutral","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Neutral",8,30,5,13,"Herramientas de toma de notas","Con frecuencia","C1","Desinformación intencionada","A2","Negativa"
"Masculino","Ingeniería Industrial",18,"4","A veces",10,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",30,70,20,60,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Industrial",19,"4","Con frecuencia",2,"Poco confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",4,20,1,18,"Plataformas de aprendizaje en línea","A veces","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecatrónica",18,"3","A veces",4,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",5,20,1,4,"Herramientas de toma de notas","Con frecuencia","C3","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"3","A veces",3,"Confiable","Verificar la fuente de la información","Me rio y lo reporto.","Muy responsable",30,18,10,1,"Aplicaciones de gestión del tiempo","A veces","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Civil",19,"4","A veces",20,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Muy responsable",16,22,10,14,"Herramientas de toma de notas","A veces","C1","Noticias falsas","A1","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",5,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",10,25,5,20,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Ambiental",20,"4","A veces",15,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",4,35,8,15,"Aplicaciones de gestión del tiempo","A veces","C3","Noticias falsas","A1","Positiva"
"Masculino","Ciencias de la Computación",21,"7","Siempre",30,"Neutral","No utilizo estrategias para verificar la veracidad de la información en línea","No la utilizo y busco fuentes confiables","Neutral",0,40,0,20,"Chat-gpt","Siempre","C1","Cualquier tipo de información sin sustento académico por detras","A2","Positiva"
"Femenino","Ingeniería Civil",18,"5","Con frecuencia",5,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",2,8,2,8,"Aplicaciones de gestión del tiempo","A veces","C1","Desinformación intencionada","A3","Neutral"
"Masculino","Ciencias de la Computación",21,"5","Siempre",20,"Confiable","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Nada responsable",30,30,14,35,"Herramientas de toma de notas","Rara vez","C3","Rumores o leyendas urbanas","A1","Neutral"
"Masculino","Ciencias de la Computación",21,"6","Con frecuencia",2,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Nada responsable",0,70,0,35,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Bioingeniería",20,"3","A veces",8,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",6,42,20,45,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería Mecánica",18,"3","A veces",7,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",9,22,3,5,"Herramientas de toma de notas","A veces","C1","Rumores o leyendas urbanas","A2","Neutral"
"Masculino","Ingeniería Mecánica",20,"3","A veces",6,"Poco confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Muy responsable",2,5,2,5,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"2","A veces",5,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",5,16,6,15,"Herramientas de toma de notas","A veces","C3","Noticias falsas","A1","Neutral"
"Masculino","Bioingeniería",20,"7","Con frecuencia",65,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",0,50,0,50,"Aplicaciones de gestión del tiempo","Siempre","C2","Noticias falsas","A2","Positiva"
"Masculino","Bioingeniería",20,"7","A veces",30,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",0,55,0,10,"Herramientas de toma de notas","Siempre","C1","Noticias falsas","A1","Neutral"
"Femenino","Ingeniería Ambiental",19,"2","A veces",8,"Poco confiable","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Neutral",0,40,0,0,"Aplicaciones de gestión del tiempo","Siempre","C3","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Química",18,"3","A veces",4,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",2,8,7,12,"Plataformas de aprendizaje en línea","A veces","C2","Información engañosa o sesgada","A1","Negativa"
"Femenino","Ingeniería Química",18,"3","A veces",10,"Confiable","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Responsable",3,25,1,10,"Herramientas de toma de notas","A veces","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Química",18,"3","Siempre",2,"Neutral","Verificar la fuente de la información","La utilizo tal cual, sin verificar su veracidad","Neutral",0,0,0,0,"No encuentro ninguna herramienta digital eficiente o efectiva","Nunca","C1","Rumores o leyendas urbanas","A1","Positiva"
"Masculino","Ciencias de la Computación",18,"3","A veces",10,"Neutral","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Neutral",18,12,4,2,"Herramientas de toma de notas","Rara vez","C2","Información engañosa o sesgada","A3","Neutral"
"Masculino","Ingeniería Industrial",20,"5","A veces",5,"Confiable","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Neutral",0,5,0,2,"Plataformas de aprendizaje en línea","A veces","C3","Información engañosa o sesgada","A3","Neutral"
"Masculino","Ingeniería Industrial",18,"5","Con frecuencia",20,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,10,0,5,"No encuentro ninguna herramienta digital eficiente o efectiva","Nunca","C3","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",19,"5","Rara vez",5,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Nada responsable",1,5,0,1,"Aplicaciones de gestión del tiempo","Siempre","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",19,"5","A veces",10,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",1,15,0,10,"Aplicaciones de gestión del tiempo","A veces","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Ambiental",18,"5","Siempre",20,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",2,30,20,8,"Aplicaciones de gestión del tiempo","A veces","C2","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ciencias de la Computación",18,"3","A veces",30,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",2,18,1,7,"Herramientas de toma de notas","A veces","C2","Noticias falsas","A1","Neutral"
"Masculino","Ingeniería Mecánica",22,"6","A veces",4,"Confiable","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Poco responsable",5,50,3,45,"Aplicaciones de gestión del tiempo","Con frecuencia","C1","Información engañosa o sesgada","A2","Positiva"
"Masculino","Ingeniería Mecatrónica",24,"10","A veces",5,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",15,25,15,25,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información sin fuentes.","A1","Positiva"
"Masculino","Administración y Negocios digitales",18,"3","A veces",6,"Neutral","Comparar la información con otras fuentes confiables","La utilizo tal cual, sin verificar su veracidad","Poco responsable",9,11,6,18,"Plataformas de aprendizaje en línea","A veces","C2","Desinformación intencionada","A2","Positiva"
"Masculino","Ingeniería Ambiental",20,"4","Con frecuencia",10,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",0,28,1,28,"Herramientas de toma de notas","Siempre","C3","Información engañosa o sesgada","A3","Positiva"
"Femenino","Ingeniería Ambiental",19,"4","Rara vez",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",20,24,15,10,"Plataformas de aprendizaje en línea","Rara vez","C1","Rumores o leyendas urbanas","A1","Positiva"
"Femenino","Ingeniería Mecánica",20,"4","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",4,14,2,10,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Industrial",19,"4","Con frecuencia",12,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",8,18,2,10,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Desinformación intencionada","A2","Positiva"
"Femenino","Ingeniería Industrial",19,"4","Con frecuencia",5,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",2,15,2,10,"Plataformas de aprendizaje en línea","A veces","C1","Rumores o leyendas urbanas","A1","Positiva"
"Masculino","Ingeniería Civil",21,"7","A veces",5,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",15,16,6,10,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Civil",20,"6","A veces",10,"Neutral","Consultar a un profesor o experto en el tema","La utilizo tal cual, sin verificar su veracidad","Neutral",20,21,17,17,"Aplicaciones de gestión del tiempo","Rara vez","C2","Rumores o leyendas urbanas","A3","Positiva"
"Femenino","Ingeniería Mecatrónica",20,"4","Con frecuencia",15,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",6,20,2,15,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Industrial",21,"4","Con frecuencia",10,"Neutral","Consultar a un profesor o experto en el tema","La utilizo, pero la verifico con otras fuentes confiables","Responsable",5,30,20,3,"Herramientas de toma de notas","Rara vez","C2","Rumores o leyendas urbanas","A1","Neutral"
"Masculino","Ciencias de la Computación",20,"5","A veces",1,"Confiable","Consultar a un profesor o experto en el tema","La utilizo tal cual, sin verificar su veracidad","Neutral",10,15,13,16,"No encuentro ninguna herramienta digital eficiente o efectiva","Rara vez","C2","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ciencias de la Computación",20,"5","Con frecuencia",5,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",5,20,4,13,"Plataformas de aprendizaje en línea","A veces","C1","Noticias falsas","A1","Positiva"
"Masculino","Ciencias de la Computación",20,"5","Rara vez",5,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Nada responsable",18,22,14,16,"Plataformas de aprendizaje en línea","A veces","C1","Noticias falsas","A2","Positiva"
"Masculino","Ciencias de la Computación",20,"5","Rara vez",5,"Muy confiable","Verificar la fuente de la información","La utilizo tal cual, sin verificar su veracidad","Muy responsable",18,22,14,16,"Plataformas de aprendizaje en línea","Nunca","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",21,"4","A veces",30,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",6,20,10,20,"Herramientas de toma de notas","A veces","C2","Información engañosa o sesgada","A3","Neutral"
"Masculino","Ciencias de la Computación",19,"5","Con frecuencia",5,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",14,62,23,51,"Aplicaciones de gestión del tiempo","A veces","C1","Noticias falsas","A1","Positiva"
"Masculino","Ingeniería de la Energía",21,"3","A veces",5,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Neutral",0,10,0,3,"Herramientas de toma de notas","Siempre","C3","Noticias falsas","A1","Positiva"
"Masculino","Bioingeniería",20,"5","A veces",10,"Neutral","No utilizo estrategias para verificar la veracidad de la información en línea","No la utilizo y busco fuentes confiables","Poco responsable",1,20,0,10,"Plataformas de aprendizaje en línea","Nunca","C3","Rumores o leyendas urbanas","A2","Neutral"
"Masculino","Ingeniería Civil",20,"6","Con frecuencia",10,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Muy responsable",6,6,2,2,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Desinformación intencionada","A2","Neutral"
"Masculino","Ingeniería Civil",21,"6","A veces",30,"Confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Muy responsable",10,72,2,48,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Mecánica",22,"9","Con frecuencia",3,"Muy confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",0,35,0,20,"Herramientas de toma de notas","Rara vez","C3","Información engañosa o sesgada","A1","Positiva"
"Masculino","Bioingeniería",22,"5","A veces",5,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",15,16,13,10,"Herramientas de toma de notas","A veces","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Bioingeniería",18,"1","A veces",5,"Neutral","Consultar a un profesor o experto en el tema","La utilizo, pero la verifico con otras fuentes confiables","Neutral",2,2,2,1,"Plataformas de aprendizaje en línea","A veces","C3","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería Electrónica",20,"2","A veces",8,"Confiable","Verificar la fuente de la información","La utilizo, pero la verifico con otras fuentes confiables","Responsable",15,12,12,12,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Mecatrónica",19,"4","Con frecuencia",120,"Neutral","No utilizo estrategias para verificar la veracidad de la información en línea","No la utilizo y busco fuentes confiables","Responsable",2,3,1,1,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ciencia de datos",18,"3","Con frecuencia",8,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",2,40,4,20,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Industrial",18,"3","A veces",5,"Confiable","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Nada responsable",1,18,7,16,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Femenino","Ingeniería Química",21,"4","A veces",10,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",7,20,7,20,"Aplicaciones de gestión del tiempo","Con frecuencia","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Mecatrónica",19,"4","Con frecuencia",20,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",20,50,20,50,"Herramientas de toma de notas","Siempre","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Mecánica",22,"3","A veces",10,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,20,0,12,"Herramientas de toma de notas","A veces","C3","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Química",17,"3","Con frecuencia",4,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Poco responsable",17,10,17,15,"Aplicaciones de gestión del tiempo","Con frecuencia","C3","Noticias falsas","A2","Positiva"
"Masculino","Ingeniería Mecánica",21,"3","A veces",30,"Neutral","Utilizar bases de datos académicas y fuentes confiables","La utilizo tal cual, sin verificar su veracidad","Responsable",5,6,6,6,"Herramientas de toma de notas","A veces","C3","Rumores o leyendas urbanas","A2","Neutral"
"Masculino","Ingeniería Industrial",21,"4","A veces",7,"Neutral","Consultar a un profesor o experto en el tema","La utilizo tal cual, sin verificar su veracidad","Neutral",18,22,15,16,"Herramientas de toma de notas","A veces","C2","Rumores o leyendas urbanas","A3","Neutral"
"Femenino","Ingeniería Industrial",19,"4","A veces",15,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,30,0,15,"Herramientas de toma de notas","Con frecuencia","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",22,"4","A veces",15,"Confiable","Utilizar bases de datos académicas y fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Neutral",2,4,14,28,"Herramientas de toma de notas","Con frecuencia","C3","Información engañosa o sesgada","A1","Positiva"
"Masculino","Bioingeniería",19,"6","Con frecuencia",20,"Confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",10,20,5,10,"Plataformas de aprendizaje en línea","Con frecuencia","C2","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Industrial",19,"4","Con frecuencia",16,"Confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",0,21,0,15,"Herramientas de toma de notas","Siempre","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Bioingeniería",21,"6","A veces",10,"Confiable","No utilizo estrategias para verificar la veracidad de la información en línea","No la utilizo y busco fuentes confiables","Responsable",2,3,5,8,"Plataformas de aprendizaje en línea","Rara vez","C1","Noticias falsas","A1","Positiva"
"Femenino","Ingeniería Industrial",22,"5","Con frecuencia",20,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",2,6,2,10,"Aplicaciones de gestión del tiempo","Con frecuencia","C2","Información engañosa o sesgada","A1","Neutral"
"Femenino","Bioingeniería",19,"6","A veces",5,"Confiable","No utilizo estrategias para verificar la veracidad de la información en línea","No la utilizo y busco fuentes confiables","Neutral",4,18,10,10,"Plataformas de aprendizaje en línea","Con frecuencia","C3","Rumores o leyendas urbanas","A1","Neutral"
"Femenino","Ingeniería Industrial",21,"4","A veces",5,"Confiable","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",10,15,10,5,"Herramientas de toma de notas","Rara vez","C2","Desinformación intencionada","A3","Positiva"
"Femenino","Ingeniería Industrial",20,"4","A veces",10,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",3,20,10,10,"Plataformas de aprendizaje en línea","A veces","C1","Información engañosa o sesgada","A1","Neutral"
