CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,INF_200,P200_N,P203,P204,P205_A,P205_B,P206,P207_1,P208,P209,P209_N,P209_1,P210,P210_N,P210_1,P211_N,P211_1,P200_APORTANTE,P211_N_PARENTESCO,P211_N_SEXO,P211_N_AÑOS,P211_N_MESES,P211_N_ECIVIL,P211_N_MIGRANTE,factorfinal
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00103,00257,32,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,4,2,5,11.Otro no pariente,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,3.Otro país,2.No, ,3.Otro país,4,4.Otro, ,11,1,42, ,1,1,36.8443160934628
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12187,09697,19,1,1,3.Medio,1.Completa,1.Completa,1.Sí,5,2,4,4.Yerno/nuera,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,3,4.Otro, ,3,1,20, ,1,1,17.5677605416671
11,ICA,01,ICA,01,ICA,Ica,34362,11707,4,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,2.No quiso dar Nº,1.Sí,2.No, ,1.Perú,2.No, ,1.Perú,1,4.Otro, ,1,1,20, ,1,1,35.8756689538651
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00139,00313,9,1,1,5.Alto,1.Completa,1.Completa,1.Sí,6,1,5,11.Otro no pariente,2.Mujer,16, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,4,4.Otro, ,11,1,19, ,1,1,36.8443160934628
13,LA LIBERTAD,01,TRUJILLO,05,LA ESPERANZA,Trujillo,10350,05199,7,1,1,3.Medio,1.Completa,1.Completa,1.Sí,7,1,5,4.Yerno/nuera,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,2.Venezuela,4,4.Otro, ,3,1,20, ,1,1,33.7211559817993
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00144,00101,1,1,1,2.Medio bajo,2.Incompleta,2.Incompleta,1.Sí,4,2,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,1,4.Otro, ,1,1,21, ,1,1,18.4221580467314
15,LIMA,01,LIMA,35,SAN MARTIN DE PORRES,Lima,19826,32107,7,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,1.Perú,1,4.Otro, ,1,1,30, ,1,1,133.030685853111
15,LIMA,01,LIMA,17,LOS OLIVOS,Lima,2020601,26032,7,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,1,4.Otro, ,1,1,23, ,1,1,133.030685853111
11,ICA,01,ICA,01,ICA,Ica,34315,11254,3,1,1,3.Medio,1.Completa,1.Completa,1.Sí,5,1,3,4.Yerno/nuera,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,3.Otro país,2,4.Otro, ,3,1,22, ,1,1,21.5254013723191
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00071,00896,13,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,1.Perú,2.No, ,1.Perú,1,4.Otro, ,1,1,19, ,1,1,7.36886321869257
15,LIMA,01,LIMA,35,SAN MARTIN DE PORRES,Lima,19474,29328,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,1.Perú,1,4.Otro, ,1,1,27, ,1,2,199.546028779666
14,LAMBAYEQUE,01,CHICLAYO,05,JOSE LEONARDO ORTIZ,Chiclayo,03865,02553,2,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,16, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,1.Perú,1,4.Otro, ,1,1,24, ,1,1,10.826
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01181,02214,20,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,8,2,8,11.Otro no pariente,2.Mujer,15, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,1.Perú,7,4.Otro, ,8,1,21, ,1,1,31.3682242140087
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00084,00973,15,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,12,1,7,4.Yerno/nuera,1.Hombre,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,4,4.Otro, ,3,2,19, ,1,1,36.8443160934628
07,LIMA,01,CALLAO,06,VENTANILLA,Lima,17491,19497,15,2,2,4.Medio alto,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,1.Perú,2.No, ,1.Perú,1,4.Otro, ,1,1,21, ,1,1,133.030685853111
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,2227402,47275,16,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,1,5,8.Otro pariente,2.Mujer,16, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,4,4.Otro, ,7,1,29, ,1,1,133.030685853111
15,LIMA,01,LIMA,10,COMAS,Lima,21140,24363,11,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,1,1,2,11.Otro no pariente,2.Mujer,16, ,6.Soltero/a,3.No tiene,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,1.Perú,1,4.Otro, ,1,2,18, ,6,2,399.092057559333
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,3,3.Hijo/a o hijastro/a,2.Mujer,14, ,6.Soltero/a,3.No tiene,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,4,3.Hijo/a o hijastro/a,2.Mujer,12, ,6.Soltero/a, ,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,5,3.Hijo/a o hijastro/a,1.Hombre,3, , , ,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,6,3.Hijo/a o hijastro/a,1.Hombre,1, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,7,7.Hermano/a,1.Hombre,18, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,8,11.Otro no pariente,1.Hombre,32, ,6.Soltero/a,3.No tiene,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,9,11.Otro no pariente,1.Hombre,23, ,6.Soltero/a,1.El Nº es,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,1,1.Jefe/a del hogar,1.Hombre,27, ,2.Casado/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,2,2.Esposo/a o compañero/a,2.Mujer,27, ,2.Casado/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,3,3.Hijo/a o hijastro/a,2.Mujer,6, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,4,3.Hijo/a o hijastro/a,2.Mujer,3, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,5,6.Padres/suegros,2.Mujer,41, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,6,8.Otro pariente,2.Mujer,8, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,5, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26847,44151,17,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,7,2,7,8.Otro pariente,2.Mujer, ,3, , ,1.Sí,2.No, ,2.Venezuela,1.Sí,5, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,40,SANTIAGO DE SURCO,Lima,26944,45027,4,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,36, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,40,SANTIAGO DE SURCO,Lima,26944,45027,4,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,2,1,2,7.Hermano/a,1.Hombre,34, ,6.Soltero/a,4.No Sabe,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27431,60898,9,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,25, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27431,60898,9,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,3.Hijo/a o hijastro/a,1.Hombre,1, , , ,1.Sí,2.No, ,1.Perú,1.Sí,1, , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27564,61799,20,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,26, ,6.Soltero/a,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27564,61799,20,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,2,7.Hermano/a,1.Hombre,28, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27569,62100,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,2.Mujer,48, ,2.Casado/a,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27569,62100,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,1.Hombre,53, ,2.Casado/a,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27569,62100,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,19, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27668,62694,18,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,1.Hombre,52, ,4.Divorciado/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27668,62694,18,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,2,3.Hijo/a o hijastro/a,1.Hombre,26, ,1.Conviviente,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27668,62694,18,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,3,4.Yerno/nuera,2.Mujer,19, ,1.Conviviente,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27701,62087,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,1,1.Jefe/a del hogar,1.Hombre,31, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27701,62087,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,2,2.Esposo/a o compañero/a,2.Mujer,34, ,1.Conviviente,2.No quiso dar Nº,1.Sí, , , , , , , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27701,62087,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,3,3.Hijo/a o hijastro/a,2.Mujer,3, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27701,62087,2,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,4,3.Hijo/a o hijastro/a,1.Hombre,2, , , ,1.Sí,1.Sí,1, ,1.Sí,2, , , , , , , , , , ,199.546028779666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28016,63904,22,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,45, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28016,63904,22,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,2,1,2,7.Hermano/a,1.Hombre,31, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28112,64788,3,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,2.Mujer,35, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,2.Mujer,21, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,1.Hombre,32, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28132,64497,8,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,2.Mujer,46, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65091,4,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,2.Mujer,19, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65091,4,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,1.Hombre,25, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28218,65091,4,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,1, , , ,1.Sí,1.Sí,2, ,1.Sí,1, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,42,VILLA EL SALVADOR,Lima,28377,65703,12,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,1.Hombre,49, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,42,VILLA EL SALVADOR,Lima,28377,65697,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,1.Hombre,27, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,42,VILLA EL SALVADOR,Lima,28377,65697,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,2.Mujer,28, ,1.Conviviente,3.No tiene,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,42,VILLA EL SALVADOR,Lima,28377,65697,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,2.Mujer,5, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25486,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,2.Mujer,36, ,6.Soltero/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25486,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,2,6.Padres/suegros,2.Mujer,61, ,3.Viudo/a,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25486,21,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,1,3,11.Otro no pariente,1.Hombre,36, ,5.Separado o Ex conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,2,1,1.Jefe/a del hogar,1.Hombre,28, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,2,2,2.Esposo/a o compañero/a,2.Mujer,23, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21435,25483,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,1,1.Jefe/a del hogar,1.Hombre,26, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21435,25483,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,2,2.Esposo/a o compañero/a,2.Mujer,19, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21435,25483,8,1,1,3.Medio,1.Completa,1.Completa,1.Sí,2,1,3,6.Padres/suegros,2.Mujer,52, ,5.Separado o Ex conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,133.030685853111
15,LIMA,01,LIMA,28,RIMAC,Lima,21681,35234,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,1,1.Jefe/a del hogar,2.Mujer,19, ,5.Separado o Ex conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,28,RIMAC,Lima,21681,35234,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,2,3.Hijo/a o hijastro/a,2.Mujer,2, , , ,1.Sí,2.No, ,3.Otro país,1.Sí,1, , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,28,RIMAC,Lima,21681,35234,9,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,3,3.Hijo/a o hijastro/a,1.Hombre, ,9, , ,1.Sí,2.No, ,4.Falleció/No sabe,1.Sí,1, , , , , , , , , , ,99.7730143898332
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22547,48338,11,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,2,1,1.Jefe/a del hogar,1.Hombre,36, ,1.Conviviente,1.El Nº es,2.No, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22547,48338,11,1,1,3.Medio,1.Completa,1.Completa,1.Sí,1,2,2,2.Esposo/a o compañero/a,2.Mujer,48, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22595,48837,10,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,1,1.Jefe/a del hogar,1.Hombre,30, ,1.Conviviente,4.No Sabe,2.No, , , , , , , , ,1.No migrante que SI aporta, , , , , , ,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22595,48837,10,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,2,2.Esposo/a o compañero/a,2.Mujer,23, ,1.Conviviente,1.El Nº es,1.Sí, , , , , , , , , , , , , , , ,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22595,48837,10,1,1,3.Medio,1.Completa,1.Completa,1.Sí,3,2,3,3.Hijo/a o hijastro/a,1.Hombre,5, , , ,1.Sí,2.No, ,2.Venezuela,1.Sí,2, , , , , , , , , , ,79.8184115118666
