"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"29","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,7,7,6,15.5,16,7,6,4,4,"Medio","Medio","Poco interesado","No","No","No estaba enterado",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"30","Masculino","CIENCIA DE DATOS","2do ciclo",6,4,7.5,6,5,3,12.6,14.8,5,4,3.5,2,"Medio","Muy alto","Nada interesado","Si","No","No estaba enterado, Malas referencias, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito, No sabia",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"31","Masculino","INGENIERÍA CIVIL","3er ciclo",6,7,5,5,6,7,17,16,6,6,2,2,"Alto","Muy alto","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza, Considero que no lo necesito",1,"Virtuales","Redes sociales, Correo Institucional"
"32","Masculino","INGENIERÍA ELECTRÓNICA","3er ciclo",6,6,8,8,8,7,16.13,14.34,5,5,2,3,"Alto","Alto","Muy interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"33","Masculino","INGENIERÍA MECATRÓNICA","5to ciclo",7,7,6,3,8,9,16.12,15.36,7,7,4,2,"Medio","Muy alto","Poco interesado","Si","No","No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"34","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",5,5,7,6,5,5,13,15,3,5,2,2,"Medio","Alto","Poco interesado","Si","No","Malas referencias, No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional"
"35","Masculino","INGENIERÍA ELECTRÓNICA","4rto ciclo",5,5,6,6,6,5,14,14.3,5,4,6,5,"Alto","Muy alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Volantes en la universidad, CHARLAS"
"36","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,7,8,5,15.95,15.47,7,6,1.5,1,"Alto","Alto","Nada interesado","Si","No","Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"37","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,6,5,6,7,14.5,13.07,7,5,2,4,"Medio","Muy alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"38","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",6,6,5.5,4.5,8,8,13.4,11.4,6,4,3,3,"Bajo","Alto","Nada interesado","Si","No","Considero que no lo necesito",5,"Presenciales","Correo Institucional, Volantes en la universidad"
"39","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,6,4,4,5,6,16,16,6,6,3,3.5,"Alto","Muy alto","Poco interesado","No","No","No contaba con tiempo",5,"Presenciales","Volantes en la universidad"
"40","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,5,5,6,6,4,13.7,13.55,6,4,4,4,"Alto","Medio","Poco interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Correo Institucional, CHARLAS"
"41","Femenino","INGENIERÍA AMBIENTAL","2do ciclo",1,7,8,4,3,6,16,12,1,5,4,1,"Medio","Muy alto","Muy interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"42","Femenino","INGENIERÍA CIVIL","3er ciclo",5,5,6,5,6,6,14,15.8,4,5,2,2,"Alto","Alto","Poco interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",1,"Virtuales","Redes sociales, Volantes en la universidad, CHARLAS"
"43","Masculino","INGENIERÍA MECÁNICA","6to ciclo",5,5,7,7,6,6,12,12,5,5,4,4,"Medio","Medio","Poco interesado","No","No","No estaba enterado, Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"44","Masculino","BIOINGENIERÍA","2do ciclo",7,7,4,4,7,7,16.05,15.11,7,6,3,3,"Alto","Muy alto","Nada interesado","No","No","Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"45","Masculino","BIOINGENIERÍA","3er ciclo",8,8,4.5,5,9,9,15,14,8,8,1,1,"Muy alto","Muy alto","Nada interesado","Si","No","No contaba con tiempo",5,"Presenciales","Volantes en la universidad"
"46","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,7,6.5,6,6,18.15,17.03,7,6,4.5,3.5,"Bajo","Medio","Nada interesado","No","No","No estaba enterado",3,"Presenciales","Redes sociales, Correo Institucional"
"47","Masculino","INGENIERÍA INDUSTRIAL","2do ciclo",7,5,7,7,5,3,14.39,15.34,7,5,3,5,"Alto","Medio","Poco interesado","No","No","No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"48","Femenino","BIOINGENIERÍA","3er ciclo",5,6,7,4,4,5,14.7,14.2,5,5,3,1,"Bajo","Medio","Poco interesado","Si","No","Considero que no lo necesito",1,"Virtuales","Correo Institucional, Volantes en la universidad, CHARLAS"
"49","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,7,7,5,6,16.38,14.57,6,6,4,3,"Medio","Alto","Nada interesado","Si","No","Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional"
"50","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,7,6,5,5,5,16.9,16.9,7,7,2,2,"Medio","Medio","Nada interesado","No","No","No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"51","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,8,6.6,5,6,18.3,18.75,7,6,6,4,"Bajo","Alto","Muy interesado","Si","No","Cometí un error y no se reservo la cita",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"52","Masculino","INGENIERÍA ELECTRÓNICA","4rto ciclo",6,6,3.5,4.5,7,7,15.66,16.55,6,6,3.5,4.5,"Muy alto","Medio","Poco interesado","Si","No","Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional"
"53","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,8,5,5,16.75,15.74,6,5,1,2,"Medio","Medio","Nada interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional"
"54","Femenino","INGENIERÍA MECÁNICA","4rto ciclo",6,6,6.5,7,4,4,15.8,16.75,6,6,4,4,"Muy alto","Medio","Poco interesado","No","No","No estaba enterado, No contaba con tiempo",2,"Virtuales","Redes sociales, Correo Institucional"
"55","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,6,5.5,4.5,5,5,17.8,18,6,6,4,3,"Medio","Alto","Nada interesado","Si","No","Considero que no lo necesito",3,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"56","Masculino","CIENCIA DE LA COMPUTACIÓN","4rto ciclo",6,5,7,6,6,6,16.33,13.5,6,3,3,3,"Bajo","Alto","Nada interesado","Si","No","Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"57","Masculino","CIENCIA DE DATOS","2do ciclo",7,6,8,7,7,7,14.9,14.5,7,6,3,3,"Alto","Alto","Muy interesado","No","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"58","Femenino","INGENIERÍA ELECTRÓNICA","2do ciclo",6,6,5,5,4,5,18.05,17.37,6,6,5,4,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",1,"Presenciales","Redes sociales, Correo Institucional"
"59","Masculino","CIENCIA DE LA COMPUTACIÓN","4rto ciclo",5,5,6,6,6,7,17.65,16.34,5,5,3,3,"Medio","Alto","Nada interesado","Si","No","No estaba enterado",2,"Presenciales","Redes sociales"
"60","Masculino","CIENCIA DE LA COMPUTACIÓN","5to ciclo",3,4,4,2,2,3,14.38,15.98,3,2,1,0,"Alto","Muy alto","Muy interesado","No","No","No contaba con tiempo",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"61","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","2do ciclo",6,6,9,4,6,6,16,14,6,5,5,3,"Bajo","Alto","Poco interesado","Si","No","No contaba con tiempo, Considero que no lo necesito",3,"Virtuales","Correo Institucional, Volantes en la universidad, Charlas"
"62","Femenino","BIOINGENIERÍA","6to ciclo",7,6,5,6,5,5,18,16.5,7,6,6,6,"Alto","Muy alto","Muy interesado","Si","No","Habían problemas con la página web",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"63","Femenino","BIOINGENIERÍA","6to ciclo",7,7,6,6,7,7,14.5,13.5,6,7,4,3,"Medio","Alto","Muy interesado","No","No","No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"64","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,8,7.5,4.5,4,6,15.8,13.9,6,7,6,4,"Medio","Muy alto","Nada interesado","No","No","No estaba enterado",3,"Virtuales","Redes sociales, Charlas"
"65","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,4,7,6,14,13,7,6,6,4,"Medio","Medio","Poco interesado","No","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional"
"66","Femenino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,6,5,5,5,14.9,14.84,7,6,3,3,"Alto","Medio","Poco interesado","Si","No","No contaba con tiempo, Miedo y vergüenza",5,"Virtuales","Redes sociales, Correo Institucional"
"67","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",7,6,6,5,7,5,15.05,14.78,7,6,3,1,"Alto","Muy alto","Muy interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",3,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"68","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,8,6,6,6,15.33,12.3,7,6,4,5,"Medio","Alto","Nada interesado","Si","No","No estaba enterado, No contaba con tiempo",3,"Virtuales","Redes sociales, Correo Institucional"
"69","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7.5,7.5,5,5,15.1,15.64,7,6,5,5,"Bajo","Bajo","Nada interesado","No","No","Considero que no lo necesito",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"70","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",7,7,6,6,6,6,14.43,15.73,7,7,5,4,"Medio","Alto","Nada interesado","Si","No","No estaba enterado, Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional"
"71","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","4rto ciclo",6,6,6,7,3,4,15.6,16.5,6,6,3.5,5,"Bajo","Medio","Nada interesado","Si","No","No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"72","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",6,6,6,4,4,6,16.25,14.5,6,6,5,5,"Alto","Medio","Poco interesado","Si","No","Considero que no lo necesito",5,"Presenciales","Redes sociales, Volantes en la universidad"
"73","Masculino","INGENIERÍA MECATRÓNICA","5to ciclo",5,4,6,7,5,4,11.5,12,3,4,2,4,"Alto","Alto","Poco interesado","No","No","No contaba con tiempo",2,"Presenciales","Correo Institucional, Volantes en la universidad"
"74","Masculino","INGENIERÍA MECATRÓNICA","6to ciclo",7,6,6,7,3,3,15.21,15.1,6,6,5,6,"Alto","Alto","Poco interesado","Si","No","No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"75","Femenino","INGENIERÍA MECATRÓNICA","7mo ciclo",6,6,5,5,8,8,14,15.5,6,6,3,4,"Medio","Medio","Nada interesado","Si","No","Malas referencias, No contaba con tiempo, Considero que no lo necesito",1,"Presenciales","Redes sociales, Volantes en la universidad"
"76","Femenino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","2do ciclo",7,6,5,6.5,8,7,13.95,11.4,7,4,4.5,6,"Medio","Muy alto","Muy interesado","No","No","No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"77","Femenino","INGENIERÍA ELECTRÓNICA","6to ciclo",5,5,7,5,5,6,15,12,5,4,4,3,"Medio","Muy alto","Muy interesado","No","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Charlas"
"78","Masculino","INGENIERÍA MECATRÓNICA","9no ciclo",6,5,5,3,4,4,12.3,8.5,2,2,2,2,"Muy alto","Medio","Muy interesado","Si","No","Malas referencias, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"79","Femenino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","5to ciclo",5,6,7,7,6,7,12.27,12.4,5,5,6,5,"Bajo","Medio","Nada interesado","Si","No","No contaba con tiempo, Me olvidaba",5,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"80","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",5,6,7,7,4,5,15,14,5,6,4,4,"Medio","Alto","Poco interesado","No","No","No estaba enterado, Considero que no lo necesito",3,"Presenciales","Volantes en la universidad, Charlas"
"81","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",5,5,5,4,4,4,16.53,15.72,5,5,6,4,"Alto","Muy alto","Poco interesado","Si","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"82","Masculino","INGENIERÍA ELECTRÓNICA","7mo ciclo",4,6,5,4,4,3,13.2,13.8,4,4,8,6,"Bajo","Bajo","Muy interesado","No","No","No estaba enterado, Malas referencias, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"83","Masculino","INGENIERÍA DE LA ENERGÍA","6to ciclo",5,4,4,4,4,5,12.3,11.7,5,3,2.5,4,"Alto","Medio","Nada interesado","Si","No","No estaba enterado, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"84","Masculino","INGENIERÍA CIVIL","6to ciclo",7,8,8,6,6,8,14.5,15,7,8,2,1,"Medio","Alto","Poco interesado","No","No","No estaba enterado",2,"Presenciales","Volantes en la universidad"
"85","Masculino","INGENIERÍA ELECTRÓNICA","5to ciclo",6,4,9,9,7,5,16.3,16.5,6,4,4,6,"Medio","Medio","Nada interesado","No","No","Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"86","Masculino","INGENIERÍA MECATRÓNICA","7mo ciclo",6,6,6,6,5,5,13.4,14.3,6,5,3,3,"Medio","Alto","Nada interesado","No","No","No estaba enterado, Malas referencias, No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"87","Masculino","INGENIERÍA MECATRÓNICA","7mo ciclo",5,6,5,6,4,5,14,13,5,6,1,1,"Medio","Alto","Poco interesado","Si","No","No contaba con tiempo",1,"Presenciales","Redes sociales, Volantes en la universidad"
"88","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",6,6,6,6,6,6,15,15.4,6,6,5,6,"Alto","Alto","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional"
"89","Masculino","INGENIERÍA CIVIL","6to ciclo",8,7,5,7,7,7,14.7,14.56,8,7,4,4,"Medio","Medio","Poco interesado","No","No","No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Volantes en la universidad, Charlas"
"90","Masculino","INGENIERÍA CIVIL","5to ciclo",7,7,2,1,8,8,15.55,15.4,7,7,2,2,"Muy alto","Alto","Poco interesado","Si","No","No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"91","Masculino","INGENIERÍA QUÍMICA","5to ciclo",4,5,7,6,5,6,16,15,4,3,4,3,"Bajo","Alto","Poco interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Correo Institucional"
"92","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6.8,6,5,5,15.56,12.9,6,5,2,3.5,"Medio","Medio","Nada interesado","Si","No","Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"93","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,5,5.5,7,5,4,14.8,15.6,6,5,3.5,4.5,"Alto","Medio","Muy interesado","No","No","No estaba enterado, Miedo y vergüenza",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"94","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,5,6,7,5,5,14.48,14.3,6,5,3,4,"Medio","Alto","Muy interesado","No","No","No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"95","Masculino","INGENIERÍA INDUSTRIAL","5to ciclo",7,6,7,6,5,6,15,14.92,7,6,6,4,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"96","Femenino","BIOINGENIERÍA","3er ciclo",6,5,5,5,7,6,14,14,5,4,5,5,"Alto","Alto","Nada interesado","Si","No","No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"97","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,6.8,6,5,5,15.56,12.63,6,5,2,3.5,"Medio","Medio","Nada interesado","No","No","Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"98","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",5,6,7,7,5,4,12.05,12.57,4,5,3,3,"Alto","Medio","Poco interesado","Si","No","Considero que no lo necesito",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"99","Femenino","INGENIERÍA QUÍMICA","4rto ciclo",4,5,6.5,6.5,5,6,15.5,14.8,4,5,4,3.5,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional"
"100","Masculino","INGENIERÍA MECÁNICA","6to ciclo",6,5,5,5,7,6,14,13,6,6,3,4,"Medio","Medio","Nada interesado","Si","No","No estaba enterado, No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"101","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,4,5,6,4,2,16.4,16.1,5,4,4,4,"Muy alto","Medio","Muy interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
